"sensspec1"	"sensspec2"	"sensspec3"	"sensspec4"	"crit1"	"crit2"	"crit3"	"crit4"	"sens1"	"sens2"	"sens3"	"sens4"	"spec1"	"spec2"	"spec3"	"spec4"	"meanF1"	"SDF1"	"meanFP"	"SDFP"
"MSE_KENDALLR_CORC"	0	0	0	0	0.65678241	0.65678241	0.65678241	0.65678241	0	0	0	0	0.9974277	0.9974684	0.9974291	0.99744	0	0	0.0025587	1.8884738106048e-05
"MSEC_EUCC"	0	0	0	0	0.90770478	0.90770478	0.90770478	0.90770478	0	0	0	0	0.9949775	0.995057	0.9949804	0.9950016	0	0	0.00499587500000001	3.6850633192205e-05
"EUCnonull"	0	0	0	0	0.70404568	0.70404568	0.70404568	0.70404568	0	0	0	0	0.9990547	0.9990696	0.9990552	0.9990592	0	0	0.000940324999999992	6.91634537406608e-06
"EUCC"	0	0	0	0	0.92015314	0.92015314	0.92015314	0.92015314	0	0	0	0	0.9970932	0.9971392	0.9970949	0.9971072	0	0	0.002891375	2.1316406044795e-05
"MSEnonull"	0	0	0	0	0.97776245	0.97776245	0.97776245	0.97776245	0	0	0	0	0.9990161	0.9990316	0.9990166	0.9990208	0	0	0.000978724999999986	7.19878461965284e-06
"MSEC_KENDALLR_EUCC"	0	0	0	0	0.89590424	0.89590424	0.89590424	0.89590424	0	0	0	0	0.9914084	0.9915443	0.9914133	0.9914496	0	0	0.00854609999999997	6.30059785523206e-05
"EUCRnonull"	0	0	0	0	0.63541688	0.63541688	0.63541688	0.63541688	0	0	0	0	0.9979678	0.998	0.997969	0.9979776	0	0	0.00202140000000001	1.49193386806167e-05
"MSE_GEE"	0	0	0	0	0.88453255	0.88453255	0.88453255	0.88453255	0	0	0	0	0.9926109	0.9927278	0.9926152	0.9926464	0	0	0.00734992499999998	5.41775706973778e-05
"MSE_GEECE"	0	0	0	0	0.89341228	0.89341228	0.89341228	0.89341228	0	0	0	0	0.9931768	0.9932848	0.9931808	0.9932096	0	0	0.00678700000000002	5.00469113266041e-05
"MSE_EUCC"	0	0	0	0	0.88333853	0.88333853	0.88333853	0.88333853	0	0	0	0	0.9952733	0.9953481	0.995276	0.995296	0	0	0.00470165	3.46776104520502e-05
"EUC"	0	0	0	0	0.91293442	0.91293442	0.91293442	0.91293442	0	0	0	0	0.9968939	0.996943	0.9968957	0.9969088	0	0	0.00308964999999997	2.27570501896294e-05
