	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Htr3a_tdTpositive_cell_109	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_64	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_47	Rbp4_tdTpositive_cell_48	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_68	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_32	Slc17a6_tdTpositive_cell_35	Slc17a6_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
Nrp1	0.06	0.0	0.0	38.09	0.0	0.0	0.0	0.06	0.0	0.01	0.0	0.0	0.0	0.0	42.27	59.35	0.0	0.0	0.0	0.0	5.52	46.45	88.65	114.42	29.42	69.97	58.17	194.56	0.0	20.03	4.39	32.4	70.75	43.27	73.45	0.0	74.83	0.0	7.66	39.9	37.87	83.03	112.98	102.68	108.55	101.6	211.37	73.98	0.0	41.33	18.42	63.13	0.0	58.39	102.43	9.53	10.95	4.6	50.01	1.31	1.49	1.98	19.81	9.76	22.49	31.01	20.84	0.0	0.0	9.87	16.25	0.0	0.0	0.0	7.71	83.55	0.0	66.28	0.0	79.87	0.0	102.64	74.65	66.75	99.89	94.79	62.08	62.79	64.41	47.8	80.63	42.1	86.26	70.4	65.12	38.6	29.39	45.29	87.68	1.1	24.92	19.27	54.19	90.65	102.68	132.25	1.18	125.05	0.04	39.13	57.73	44.64	36.28	0.0
Nudt3	241.99	409.03	652.62	822.43	475.38	512.97	516.5	398.26	595.68	290.44	334.16	582.2	563.91	382.66	428.83	752.17	452.49	579.64	340.32	533.39	395.57	1252.97	1096.12	634.73	708.66	860.48	768.38	1051.89	537.54	376.06	717.06	366.06	713.59	446.1	535.3	990.51	500.41	904.19	789.17	1156.73	1130.8	1142.92	644.15	876.1	913.46	826.09	1006.41	610.02	579.53	534.1	253.59	532.0	369.18	322.23	335.54	502.33	333.96	739.77	614.88	371.81	239.42	786.86	312.38	414.32	116.44	292.87	210.55	146.37	594.38	751.36	803.64	508.79	531.9	320.9	625.73	821.46	431.09	812.3	538.08	1263.44	328.23	811.34	823.4	760.83	900.94	926.85	681.24	613.16	583.17	640.18	672.4	516.0	313.83	266.68	275.85	1083.06	707.26	231.02	105.02	275.52	188.72	485.9	797.82	484.03	553.02	667.49	605.47	958.46	532.62	606.66	742.84	592.05	925.87	411.92
Nxph3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.88	0.15	0.38	0.91	0.0	1.39	25.88	0.19	0.0	0.0	6.53	0.0	6.09	7.02	34.34	0.0	8.66	0.98	0.54	1.05	8.85	20.88	2.32	9.68	14.68	7.26	0.24	0.0	10.89	0.64	100.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.48	0.0	0.0	3.25	0.17	10.62	11.59	7.8	6.2	2.62	3.85	2.14	2.38	3.59	4.8	6.51	1.18	0.0	0.0	0.0	0.0	16.09	0.0	0.0	1.4	0.0	0.0	1.08	0.35	0.0	0.0	0.0	0.11	0.37	0.0
Pcp4	0.0	0.62	0.72	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	3670.93	0.0	0.0	0.0	0.0	3754.32	4325.62	4273.51	4785.11	3966.76	5853.47	4251.63	4442.44	5178.03	6240.76	4858.15	5498.56	7407.1	5341.11	2988.27	3733.22	4254.91	5620.14	3145.39	2617.95	4083.35	5456.32	2834.49	4027.97	2818.19	4964.42	3397.62	2925.0	3487.6	3039.73	3686.11	828.58	332.96	0.0	1415.43	3582.85	2672.56	4504.36	1708.21	1817.94	1841.15	2181.4	2202.57	4470.96	2439.89	1887.88	2461.7	1806.07	0.0	0.0	2642.63	0.0	0.0	1.01	0.0	5084.45	0.0	892.8	0.0	4796.79	0.0	0.0	4246.61	4480.25	3150.04	4373.65	4108.26	3507.01	3446.01	4928.48	3901.08	5219.57	2919.09	3442.63	3306.12	3341.84	3262.02	4654.82	6941.16	6670.6	6291.11	8685.7	3459.49	3195.7	2497.0	1551.42	3172.57	2962.73	2540.58	420.2	3194.88	3944.75	4044.68	1978.35
Pdlim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	23.24	0.0	0.0	0.0	0.0	316.11	121.57	583.74	265.56	0.0	155.76	314.66	778.87	0.0	132.27	0.15	0.0	69.67	231.45	186.69	0.79	368.35	0.86	287.68	192.77	185.32	0.0	80.89	164.27	0.39	369.37	628.1	116.89	577.67	292.04	0.54	0.0	0.0	143.85	194.68	268.65	0.0	36.08	200.24	0.0	0.0	0.0	26.43	0.0	0.0	0.0	0.0	3.51	0.0	0.0	523.12	0.52	0.0	0.0	0.0	109.32	0.0	0.0	0.0	112.55	0.0	0.0	220.51	309.8	268.34	174.32	227.67	155.27	87.35	84.49	24.72	54.69	65.81	111.49	149.38	332.25	308.04	0.0	284.65	0.3	219.26	32.16	226.8	151.25	112.18	0.0	132.96	292.92	0.0	0.0	0.0	158.79	0.0	0.0
Pitpnc1	7.23	45.98	16.19	0.12	0.0	0.0	5.32	0.0	40.58	0.0	2.76	0.0	39.03	0.11	0.0	65.41	12.45	0.06	4.5	0.0	7.68	119.27	50.58	208.51	155.43	76.13	124.22	344.17	213.91	12.61	9.79	47.69	201.95	36.05	243.19	71.22	8.08	150.25	82.99	116.04	128.99	345.19	99.21	139.62	150.67	202.14	160.44	57.66	96.47	42.76	73.47	0.1	0.0	0.0	3.55	0.83	0.0	3.13	19.38	7.28	0.0	177.38	8.66	36.47	6.22	0.08	7.17	0.0	6.51	0.0	129.57	0.0	0.0	0.0	0.0	219.15	6.21	36.85	5.74	173.45	0.0	9.2	185.86	123.22	124.4	96.16	170.29	99.54	143.67	117.29	113.82	90.15	254.83	198.77	240.23	75.16	203.12	19.73	0.13	3.01	41.38	63.46	36.94	20.25	45.15	44.24	40.45	104.9	87.09	1.2	99.98	109.05	128.15	20.41
Plekhb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.08	0.0	0.0	86.88	0.18	0.0	130.9	142.25	0.0	0.0	0.0	0.14	0.0	0.0	0.26	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	17.12	0.16	0.0	0.0	0.0	0.0	230.89	0.32	0.0	0.0	145.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.12	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.31	0.0	0.3	0.0	2.39	108.2	63.78	50.64	46.08	39.77	53.37	21.68	53.93	69.43	110.38	60.56	91.08	0.0	0.0	0.0	0.0	0.0	136.11	0.0	0.0	190.67	0.0	1.7	0.0	48.87	0.0	0.14	0.0	12.96	11.54	0.29
Pphln1	14.29	19.71	1.15	7.54	83.31	15.28	49.79	7.18	50.9	65.13	1.46	11.32	41.34	3.02	11.83	0.6	1.44	1.92	0.4	37.26	0.52	1.33	49.55	6.81	51.14	46.34	67.66	23.97	1.9	38.77	39.9	1.19	0.22	40.44	5.45	35.01	4.82	37.82	0.33	2.97	104.31	112.11	94.65	95.77	109.73	96.38	0.56	12.5	52.99	74.78	34.93	6.79	0.9	10.56	1.85	2.35	7.72	2.75	0.96	26.8	33.84	0.85	16.81	23.51	28.61	3.27	17.5	26.02	1.08	0.6	68.38	0.61	3.93	9.1	7.27	25.61	1.59	67.63	7.0	2.54	2.81	3.26	44.9	13.04	18.69	20.85	17.76	19.76	27.85	15.81	20.29	24.57	23.38	27.67	18.81	9.86	92.23	7.09	19.12	16.36	4.69	0.27	0.0	65.18	110.66	2.14	50.0	2.19	77.33	8.39	56.84	0.33	2.42	16.25
Prkcb	69.92	72.68	160.94	105.57	60.45	67.54	166.71	31.75	128.07	153.48	192.76	121.56	98.82	123.19	204.45	459.79	129.52	107.82	126.65	82.06	458.48	383.22	401.05	259.76	318.43	317.53	315.78	251.54	200.66	488.0	357.69	143.75	283.48	463.55	205.22	352.18	326.68	353.97	586.24	448.74	550.2	517.46	444.61	436.12	507.33	338.09	314.91	441.96	648.85	377.69	520.7	230.48	287.67	168.6	219.26	78.79	263.2	418.38	161.64	43.63	48.41	252.51	117.39	110.83	36.32	81.49	103.63	108.59	101.67	37.92	354.98	89.68	153.88	212.32	205.48	530.85	191.05	237.82	104.49	235.48	45.98	113.47	309.5	267.34	322.54	387.42	298.74	313.34	329.4	217.93	257.9	281.09	279.7	261.35	235.19	309.09	352.93	205.14	399.85	258.63	247.11	248.14	232.08	376.91	435.32	313.84	429.98	180.17	512.27	27.77	257.05	190.88	145.36	152.42
Qpct	0.0	0.78	0.46	0.0	0.0	0.0	144.63	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	19.71	110.31	0.21	0.09	0.0	0.0	0.0	81.03	344.89	139.95	72.14	0.0	0.14	4.08	36.19	159.48	150.49	197.87	146.57	80.15	109.11	0.45	144.64	0.15	141.15	243.94	247.85	65.88	69.95	272.87	211.32	464.87	67.8	119.02	26.91	120.63	172.96	0.0	119.61	0.0	0.0	0.0	0.0	0.0	72.66	0.0	0.0	28.11	0.0	10.83	0.0	0.0	0.0	0.41	0.31	283.46	0.0	0.0	0.31	0.0	92.3	110.65	160.86	0.0	110.74	0.0	0.32	132.59	91.08	62.68	138.93	232.32	60.95	124.77	111.66	101.74	97.67	154.64	148.01	147.35	0.18	251.49	98.01	0.0	0.23	147.06	78.09	0.0	3.6	115.74	0.0	0.0	477.31	0.02	0.0	164.21	85.2	344.98	0.27
Rai14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	0.0	0.0	0.0	0.0	0.12	0.66	39.5	13.75	7.04	0.0	50.96	0.0	0.0	0.0	0.04	0.0	0.07	2.28	48.07	10.24	0.0	0.35	0.0	76.74	2.31	6.55	28.45	0.0	0.0	0.0	0.83	100.53	3.11	94.37	37.25	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.71	0.13	26.09	0.0	0.0	0.0	0.0	10.88	7.88	20.19	12.86	11.18	20.86	12.99	11.23	11.64	6.3	32.35	12.68	14.72	16.56	38.11	0.29	0.47	0.09	26.84	15.96	14.99	0.0	1.32	0.0	28.78	3.99	66.62	0.0	0.0	72.11	130.96	18.68
Rell1	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.03	0.0	0.0	0.56	0.0	0.09	39.64	70.56	42.68	8.92	34.61	2.62	5.59	7.84	47.2	7.42	20.07	9.84	10.63	35.4	24.08	35.51	18.99	14.62	24.56	0.0	25.62	86.7	26.49	33.94	45.15	9.95	8.64	22.67	0.0	0.67	4.38	0.0	0.0	0.0	0.0	40.27	7.99	0.0	0.0	2.34	126.59	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.62	0.0	0.0	0.18	0.0	149.73	0.0	0.0	0.0	126.01	0.0	0.0	36.73	51.86	39.63	48.18	28.57	29.25	22.11	27.02	31.28	18.3	46.55	35.54	44.87	17.1	139.04	150.05	13.37	51.79	53.85	125.19	76.52	48.48	35.31	0.09	49.83	72.85	46.09	0.0	57.85	22.23	36.4	14.6
Rph3a	3.61	0.85	135.69	236.39	2.9	27.41	6.07	1.97	1.95	0.14	69.23	0.0	137.68	0.28	29.58	114.63	0.0	0.29	93.5	208.43	97.2	153.13	223.78	69.33	118.39	0.45	114.99	139.65	233.88	51.41	3.3	52.97	9.24	217.42	126.23	119.5	108.03	2.16	76.97	89.98	120.85	144.12	28.19	116.77	89.26	71.92	97.12	249.15	95.2	147.57	382.45	75.17	0.51	0.88	0.3	0.25	0.07	0.15	0.29	10.66	78.3	83.32	39.75	29.15	108.04	57.58	56.6	6.32	2.91	0.34	157.76	0.53	24.34	13.6	0.55	105.79	172.96	132.08	19.51	70.37	0.12	0.43	70.15	99.51	66.15	89.03	126.6	136.01	149.69	141.53	112.62	119.03	133.37	114.4	122.7	0.6	3.87	0.07	87.31	77.91	99.14	107.49	66.89	54.83	67.5	1.68	46.61	112.5	0.43	28.19	141.39	107.81	62.08	25.63
Rprm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	840.42	8.74	0.0	0.0	0.0	1142.26	128.74	203.18	201.51	260.63	77.19	285.08	35.48	319.86	9.55	221.29	5.86	2.95	747.84	115.54	459.75	798.89	205.13	94.38	385.69	143.46	176.64	528.36	154.43	331.98	189.42	494.82	1170.43	3.72	307.33	507.3	25.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	47.55	1.12	0.18	0.0	0.94	61.64	4.08	0.0	0.0	0.0	0.45	138.04	0.0	0.0	0.0	258.59	62.33	65.25	0.0	152.83	0.0	0.0	211.71	202.46	245.4	270.69	195.59	287.25	276.1	144.13	579.7	330.45	40.28	224.26	206.3	134.97	135.32	89.58	15.01	31.97	89.17	4.69	56.47	235.02	182.77	0.0	293.26	357.01	109.7	0.0	86.25	229.15	190.23	38.49
Rtn4	376.93	451.56	434.36	84.27	414.07	293.05	206.72	428.22	271.09	260.56	455.54	267.96	472.94	24.02	419.47	348.87	20.58	173.71	109.33	350.28	489.77	626.13	445.06	640.58	380.69	312.82	224.97	498.59	435.3	286.99	336.71	332.4	315.89	380.65	271.78	365.9	442.24	560.42	271.26	443.39	270.69	357.52	206.53	598.84	268.77	329.64	448.18	498.14	663.94	307.45	148.94	444.65	238.08	302.42	45.02	117.64	378.39	410.36	121.88	232.46	291.22	410.72	152.44	218.17	362.16	240.8	189.11	286.07	244.99	79.41	552.81	283.55	232.74	238.09	319.93	215.53	286.62	227.62	261.79	285.51	179.06	511.53	392.14	347.33	247.45	342.73	355.24	301.22	290.68	290.87	281.55	337.34	209.84	228.01	222.14	586.07	422.92	172.89	141.86	130.21	220.05	264.45	112.69	309.82	626.98	158.39	715.93	475.36	97.12	38.42	595.99	513.89	195.15	331.68
Scg3	55.55	163.97	77.76	470.07	250.05	75.57	116.51	162.7	31.54	61.42	310.79	49.95	463.17	0.31	0.79	334.63	122.63	93.78	71.23	0.18	267.74	198.01	338.65	280.82	350.33	154.31	521.22	471.7	715.48	66.23	341.15	325.89	264.34	312.14	278.18	535.96	58.38	222.17	319.01	341.45	76.64	702.71	264.58	540.88	631.13	582.13	647.04	38.18	305.5	255.34	149.8	199.29	40.41	14.32	244.55	62.67	7.47	96.16	120.01	121.29	274.06	427.8	111.81	187.65	76.18	146.69	14.28	170.47	261.06	101.83	532.23	13.72	239.52	65.62	242.35	1046.61	179.06	160.48	249.75	266.52	60.3	103.91	215.34	380.17	282.83	327.29	361.77	229.07	383.35	324.11	421.24	460.5	298.32	340.19	327.25	0.16	86.18	512.77	0.52	161.94	452.25	220.76	440.96	773.0	310.89	184.37	77.0	321.07	210.4	144.04	303.69	375.63	252.77	25.52
Sec62	144.37	111.45	67.44	31.97	246.36	78.56	73.52	75.06	107.3	55.55	95.76	187.55	37.37	58.91	25.88	223.02	52.03	28.73	48.26	81.75	210.43	32.38	25.37	158.12	210.96	95.15	115.65	108.58	296.3	59.86	86.18	81.36	176.19	149.61	102.77	265.63	129.92	118.97	106.74	30.55	270.38	92.82	81.19	242.95	165.72	99.94	174.08	205.98	87.04	74.4	118.91	28.72	69.26	19.55	132.43	51.75	58.3	22.61	41.81	100.48	145.76	147.26	160.41	161.34	159.01	71.29	196.12	114.82	27.74	37.54	168.44	39.27	104.93	56.68	138.09	15.82	90.64	116.07	30.72	100.02	51.15	16.49	131.38	112.81	94.7	127.91	106.59	130.45	180.9	125.53	138.94	114.2	172.96	158.53	176.0	309.46	34.75	52.85	212.88	92.44	147.64	119.05	238.58	276.88	159.91	80.8	36.98	309.0	72.98	238.97	147.38	230.73	187.04	156.75
Sema3e	0.06	0.36	0.25	0.0	0.21	0.43	0.29	0.17	0.2	0.14	0.25	0.0	0.26	0.13	0.0	38.32	0.33	0.2	0.12	0.11	47.5	38.47	56.87	90.9	102.87	0.05	86.86	48.05	0.28	0.2	3.69	23.13	4.41	42.38	20.95	32.17	3.76	4.0	0.34	1.65	48.97	163.13	38.42	118.47	0.04	62.24	19.14	33.76	87.63	43.85	0.89	101.81	51.57	20.25	0.31	0.21	5.3	63.69	52.25	0.35	0.3	115.07	6.21	86.2	0.36	0.12	0.38	0.16	0.11	0.18	30.39	0.23	0.51	0.0	0.95	30.01	0.36	87.55	0.0	173.97	0.0	0.16	18.95	32.58	51.65	26.37	16.61	22.43	49.68	40.59	17.25	24.34	44.77	28.72	34.32	124.72	0.37	2.79	0.21	28.36	0.14	4.66	104.51	0.0	83.49	65.39	0.18	12.08	51.55	0.33	68.49	105.4	7.03	0.41
Sept9	19.41	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	61.02	3.16	0.0	34.78	30.8	0.0	15.47	59.58	37.37	0.09	0.07	0.0	0.0	1.8	0.0	0.81	41.79	0.0	80.95	0.19	25.81	1.03	26.39	146.69	16.69	123.67	88.24	33.17	44.36	96.9	2.22	2.53	2.81	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.14	140.16	1.23	0.0	0.92	0.0	2.59	0.07	1.07	0.0	26.91	0.0	0.0	0.0	0.0	57.34	0.0	0.64	0.67	44.02	0.0	0.0	23.37	23.78	28.69	30.11	23.81	9.76	10.89	17.66	17.95	18.76	13.75	29.94	27.9	128.23	18.63	26.6	79.99	101.3	27.31	15.63	99.93	1.41	0.0	0.0	0.0	0.62	71.11	0.0	51.71	1.21	170.75	0.0
Sez6	0.0	0.0	2.2	38.69	0.0	0.0	0.0	0.0	59.93	1.75	0.27	0.0	0.67	0.0	0.84	127.57	0.0	0.1	0.05	0.0	223.45	29.86	3.38	2.16	39.38	1.84	0.0	66.57	68.36	0.0	114.02	17.76	0.09	221.19	77.96	69.05	57.98	0.21	98.88	39.29	232.43	1.82	103.31	156.75	124.23	97.45	72.53	184.08	39.12	245.48	17.13	0.0	4.81	0.0	110.98	65.22	11.92	195.81	50.58	0.0	1.12	19.83	13.45	59.11	16.63	21.17	0.19	1.88	48.13	0.0	81.61	0.0	0.0	0.87	0.0	74.64	0.0	0.53	44.5	13.51	0.0	0.0	48.68	30.07	51.34	46.83	39.78	48.13	57.13	46.97	48.71	20.69	36.28	42.36	41.01	108.88	89.08	0.07	71.48	1.71	58.08	99.41	44.53	0.3	30.33	54.14	61.4	89.51	36.55	80.95	54.51	196.14	80.72	2.85
Sil1	0.0	0.22	0.0	0.0	0.0	0.0	24.34	119.86	0.0	6.63	24.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.33	0.0	2.69	97.6	0.0	89.58	0.0	77.39	83.36	0.0	0.0	0.13	0.15	48.86	0.26	0.27	75.71	64.15	0.0	0.0	81.56	112.79	75.9	0.0	78.75	75.89	0.0	0.3	8.94	0.0	0.0	0.0	47.69	57.88	121.71	0.0	0.0	60.05	0.0	0.0	0.0	0.0	93.0	6.79	0.0	77.27	0.0	0.0	0.0	0.0	0.0	78.66	0.0	82.76	0.0	0.0	0.0	0.0	0.0	0.0	11.48	0.0	0.0	40.03	2.14	20.37	21.27	29.63	23.98	33.03	18.32	24.15	4.95	32.57	27.91	22.78	0.0	0.0	103.31	0.0	84.04	0.0	0.0	0.0	0.0	0.0	20.84	0.0	19.84	0.0	0.74	0.98	73.36	29.13	0.0
Slc35f1	0.08	0.22	0.18	0.0	0.0	4.52	0.0	0.0	0.0	0.37	0.0	0.0	0.2	0.14	0.16	106.34	0.0	48.45	0.13	0.0	3.44	1.16	3.68	26.41	19.2	0.0	0.14	9.6	8.04	3.72	28.24	13.85	15.22	5.47	17.39	49.09	8.63	14.13	4.01	17.9	21.01	13.75	49.49	0.0	24.78	6.34	2.8	57.88	18.57	33.58	20.91	0.0	0.0	0.0	0.15	0.0	0.0	0.21	0.24	0.14	0.41	3.08	0.56	0.11	14.16	15.99	0.15	6.91	0.0	3.09	1.02	0.0	0.24	0.0	0.0	0.0	0.38	2.6	0.26	1.1	0.0	0.0	23.65	15.61	12.53	21.57	15.6	19.42	14.81	14.64	8.06	17.49	14.05	16.12	18.68	10.23	15.14	66.13	132.86	69.22	29.06	5.53	46.51	4.31	90.28	0.05	69.35	0.07	10.3	1.34	4.87	0.0	3.14	17.21
Slc50a1	288.49	0.0	46.86	59.02	0.0	0.0	117.6	0.0	77.38	0.0	0.0	96.04	184.18	0.0	0.0	119.53	0.0	0.0	0.0	0.0	290.99	41.87	86.54	93.6	79.73	304.97	219.85	59.52	124.46	273.09	0.66	140.62	50.91	144.93	0.0	296.65	404.3	218.08	491.08	162.93	379.7	0.0	457.68	233.73	188.16	377.33	114.97	0.48	0.0	230.03	2.62	152.92	43.41	208.04	57.7	0.0	0.0	94.14	0.88	92.59	161.92	115.99	118.61	256.09	2.43	435.12	224.95	247.87	92.74	85.84	211.85	0.0	206.02	94.9	1.9	97.38	68.81	5.15	63.55	102.25	0.0	0.0	171.97	197.1	175.42	109.26	281.47	215.71	177.51	178.39	126.39	264.97	146.43	182.69	164.98	179.23	1074.26	373.29	223.73	295.61	228.53	159.24	324.29	222.43	333.82	45.09	173.05	218.56	233.76	0.0	135.47	278.44	0.39	232.22
Sox5	0.0	0.05	0.6	0.0	11.04	19.87	0.0	4.34	0.0	12.86	0.08	8.01	0.0	0.14	0.12	0.06	0.07	5.18	0.04	0.0	0.05	29.57	21.86	15.72	28.01	0.05	5.74	9.2	44.52	0.31	22.44	0.03	32.7	0.9	0.03	0.05	3.41	46.91	13.84	32.15	22.38	6.33	4.19	7.13	5.74	3.26	6.04	0.07	27.23	11.88	5.66	36.57	0.0	0.0	1.42	18.09	3.19	16.59	12.83	0.0	0.0	0.97	2.32	5.32	0.08	0.04	0.1	0.0	0.0	0.0	6.25	0.11	10.5	0.0	0.26	11.61	0.09	16.38	3.31	5.37	0.44	0.0	14.95	17.22	12.55	12.91	13.04	17.98	23.01	27.51	13.4	16.51	8.66	8.04	7.67	6.2	10.68	0.0	9.52	16.07	0.04	8.91	15.15	0.11	3.71	31.68	29.89	12.14	0.03	20.69	81.23	0.14	0.04	6.02
Syt6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.96	0.0	0.0	0.0	0.0	1.14	5.72	0.0	40.4	27.8	48.24	3.98	53.04	0.0	0.0	0.44	0.0	47.79	39.14	0.0	45.17	38.52	90.89	13.99	10.44	25.82	56.01	16.81	24.11	54.14	47.6	167.07	2.52	284.99	0.8	16.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.39	0.0	0.0	0.0	0.0	27.05	0.0	0.0	0.0	24.18	0.0	0.07	13.95	30.71	27.66	20.66	26.85	22.9	23.06	13.09	30.93	34.76	27.0	21.1	28.78	40.45	87.26	0.0	0.0	94.11	0.0	87.74	89.49	0.0	41.06	0.0	89.3	0.57	0.0	0.0	0.0	87.35	135.96	0.0
