	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_120	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_55	Htr3a_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_86	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_70	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51
Pgk1	1367.3	550.15	863.29	835.49	521.18	738.55	766.27	676.8	854.42	1365.35	1455.82	1158.21	2095.22	1325.26	441.09	536.08	1919.41	1158.09	1247.52	1484.2	1551.82	1610.19	1890.92	1505.94	1498.66	1235.04	1263.34	1469.6	1114.8	1909.95	1499.49	1839.76	1311.67	1191.15	1300.38	1242.12	1179.29	1209.77	1443.53	1205.5	892.89	1404.56	1072.74	791.13	963.35	1190.11	1605.54	954.33	966.44	1221.64	597.35	448.59	1234.37	1327.0	736.29	1693.53	1364.99	854.46	952.78	207.19	670.75
Plxna4	0.0	2.41	22.15	20.24	3.25	0.0	14.59	0.18	0.0	0.0	0.03	0.08	0.0	6.87	0.0	0.05	30.04	5.46	0.71	0.47	17.0	25.04	15.11	48.23	14.26	6.61	7.85	8.91	6.36	10.38	7.47	12.57	9.01	12.89	12.94	1.36	21.36	26.13	1.87	12.5	10.62	23.24	9.37	7.27	4.15	1.96	0.3	34.4	0.29	2.06	0.05	0.0	42.58	0.0	3.0	32.68	12.31	0.0	0.05	9.27	13.16
Pnpo	0.08	0.0	0.0	0.0	0.37	110.6	0.0	147.86	106.32	525.67	277.76	0.0	0.0	173.27	323.74	0.0	0.0	242.26	354.13	342.63	185.81	210.88	331.95	139.78	174.03	364.87	208.46	376.91	201.74	281.77	72.06	275.01	0.0	395.37	326.5	477.48	476.07	322.59	381.65	731.53	114.53	110.8	376.31	279.18	576.11	77.77	323.67	163.6	209.12	144.55	87.63	238.87	54.45	0.32	250.62	79.19	230.29	0.0	266.74	233.94	0.23
Ppargc1a	9.35	0.0	0.09	20.83	0.12	1.73	0.18	10.32	0.0	131.21	33.51	0.0	0.0	49.39	0.0	0.0	27.63	61.76	45.88	17.15	11.83	34.82	38.01	34.07	47.55	55.31	74.86	31.7	92.42	21.91	95.71	50.39	41.39	66.26	49.14	61.51	133.21	62.05	62.11	49.16	57.76	81.86	99.43	23.0	100.09	87.71	5.99	0.16	0.1	0.24	0.0	0.0	0.0	0.4	10.1	59.02	17.53	0.08	0.09	0.0	0.0
Ppp2ca	0.08	60.58	0.0	93.05	52.52	203.99	190.78	14.95	208.95	357.12	4.7	101.1	204.84	12.88	0.0	0.22	61.17	110.3	25.36	71.63	62.77	91.1	204.96	158.67	0.0	121.26	48.54	149.74	6.66	102.01	384.05	127.51	46.77	80.78	62.55	65.1	62.02	30.84	172.25	183.33	139.53	19.28	19.91	144.18	67.57	324.45	3.49	191.52	28.73	145.85	93.53	19.87	119.31	3.42	136.68	0.21	120.8	259.22	199.74	0.0	0.0
Psme3	1.92	0.0	0.0	0.0	0.0	0.0	5.44	8.61	0.0	0.0	0.0	0.0	0.0	66.07	0.0	0.0	23.24	1.59	0.0	1.45	0.0	0.0	2.01	0.57	0.34	2.04	11.75	21.49	2.03	0.0	0.0	1.64	0.0	37.65	13.03	0.2	18.58	16.41	0.15	8.74	65.4	0.0	6.83	0.0	34.37	56.0	0.0	0.0	0.06	0.0	0.0	0.24	40.65	116.51	0.0	18.99	0.0	0.0	0.0	0.0	0.18
Rmnd5a	0.0	0.0	0.0	56.04	0.0	0.0	0.0	82.14	12.76	0.0	0.07	0.0	0.0	0.07	63.89	6.06	0.0	39.33	26.53	127.65	15.98	46.22	0.0	6.41	7.35	20.61	34.07	21.45	0.0	0.0	4.74	0.48	3.61	33.9	25.22	64.04	51.0	41.16	0.5	13.3	31.04	92.09	28.59	0.0	113.33	10.19	6.82	8.12	108.11	0.12	0.0	42.55	0.0	0.0	113.08	27.68	13.99	0.0	0.0	0.0	15.64
Scn8a	30.06	49.57	70.85	0.0	24.82	42.51	66.41	58.98	28.43	20.22	57.05	7.15	11.18	22.7	0.48	0.08	69.79	60.36	32.22	41.18	55.18	12.6	20.23	44.84	63.94	76.4	60.36	46.92	108.48	24.6	80.69	62.6	35.67	52.44	48.83	27.13	65.86	72.13	55.67	43.88	50.34	106.88	44.01	37.61	56.36	63.65	50.82	92.51	16.49	17.11	41.74	2.28	90.9	77.77	3.12	28.67	51.28	20.85	15.83	34.61	3.1
Sdr39u1	0.0	473.9	0.0	117.19	112.52	119.45	319.57	0.04	100.78	62.44	0.0	0.0	475.03	371.65	279.86	574.36	384.58	100.7	76.43	107.09	233.7	179.92	125.52	339.31	163.81	182.33	20.37	220.71	162.62	425.9	194.05	157.92	43.5	347.0	231.86	0.0	261.26	404.48	90.97	273.03	66.77	143.4	366.61	399.16	331.69	200.21	0.0	610.43	26.7	142.71	0.0	0.53	138.02	95.26	64.71	255.09	156.74	0.0	270.37	146.74	0.39
Serp2	0.0	0.0	0.8	0.0	49.11	0.0	0.0	3.45	0.0	102.08	0.0	11.25	0.0	1.53	1.87	0.0	0.0	18.86	55.26	59.78	194.0	54.62	32.17	4.15	36.58	7.36	24.81	27.39	66.76	42.74	59.93	156.66	60.52	83.88	65.23	0.0	28.43	53.67	39.97	50.28	119.3	79.34	30.65	155.82	137.78	62.56	0.0	0.0	0.0	40.75	74.46	7.89	13.79	73.22	90.63	33.84	36.09	0.0	0.0	0.0	0.0
Slc24a2	139.96	0.0	32.85	48.2	67.9	38.22	47.33	86.84	37.34	88.61	0.2	51.11	41.15	61.42	63.8	6.48	100.09	172.15	291.85	92.25	161.25	154.51	85.06	177.1	130.81	291.39	190.72	199.02	113.59	122.26	179.07	251.8	326.34	226.75	216.92	190.0	163.73	190.47	219.5	248.29	131.25	314.26	409.04	405.48	370.46	274.03	117.7	54.37	0.8	106.42	105.26	81.95	103.64	21.16	103.16	297.44	31.72	87.72	66.22	72.2	20.14
Slc25a11	0.16	0.0	0.0	1.65	56.83	0.0	78.62	10.76	0.43	116.06	291.91	0.0	0.0	522.3	9.51	0.0	609.56	133.15	289.46	268.84	171.89	81.46	139.08	168.36	358.09	120.54	173.08	171.52	115.84	104.9	55.35	273.22	89.14	251.62	93.3	245.42	166.11	234.56	328.69	116.63	80.73	182.23	64.44	189.7	143.63	173.53	0.0	54.33	0.61	630.62	88.65	52.3	32.12	45.45	189.22	105.26	165.3	131.54	7.24	1.05	0.58
Slc4a3	0.0	0.0	0.0	0.6	0.17	9.26	3.84	0.44	16.11	0.0	0.0	0.11	0.66	1.87	17.25	0.0	14.91	0.4	7.9	0.17	19.81	21.94	1.51	38.41	0.39	12.65	0.14	0.18	7.47	9.92	0.0	0.1	7.36	7.82	8.42	4.13	31.84	19.57	37.74	33.38	18.85	18.71	3.0	21.48	1.03	57.55	0.0	51.34	33.2	0.0	0.0	0.0	4.12	0.73	12.14	7.04	63.39	1.02	0.35	0.0	0.0
Ssbp2	47.44	103.88	4.53	0.0	45.16	68.8	75.91	157.31	70.86	46.08	11.73	172.13	74.2	23.88	75.4	19.73	90.35	130.97	38.28	83.96	96.8	18.06	47.45	62.99	34.51	49.52	54.9	109.88	0.16	57.76	72.52	57.26	110.13	82.24	48.96	73.0	48.89	77.09	94.68	35.45	47.73	7.61	67.39	174.12	10.08	123.23	55.91	137.81	7.39	3.26	74.27	50.88	42.16	53.51	52.89	93.67	77.39	1.31	45.51	77.41	80.83
Ssx2ip	28.01	0.0	0.0	0.0	1.31	11.41	0.17	0.06	48.31	0.0	98.73	0.0	3.26	15.42	0.0	0.0	0.0	61.26	6.28	22.15	1.28	46.05	0.0	1.01	42.87	8.69	0.0	68.38	24.31	0.0	0.0	24.58	0.06	0.0	28.18	3.67	0.0	35.54	26.33	21.08	83.34	0.1	12.71	0.0	59.24	1.81	3.22	0.0	16.83	0.0	0.0	9.55	48.37	0.19	0.0	52.89	0.0	0.75	0.3	12.49	125.36
St8sia1	0.09	0.1	0.13	0.4	0.26	0.52	4.83	0.21	0.23	0.24	28.84	1.24	1.0	41.41	0.0	0.22	20.49	8.15	0.27	0.08	0.0	26.91	2.26	5.26	0.48	6.36	10.11	10.57	0.07	4.58	9.04	25.32	2.45	20.37	1.27	0.21	23.38	7.51	6.0	16.18	18.42	40.0	6.62	0.51	34.04	1.94	0.32	0.16	0.04	3.31	0.19	0.29	0.07	0.13	31.65	8.33	41.27	0.22	32.13	0.22	0.39
Stmn3	900.61	492.92	483.54	823.79	887.83	760.57	677.5	595.64	513.55	1103.8	708.99	463.35	12.38	1030.58	603.28	457.56	1229.55	1949.12	1470.46	1002.54	1663.61	1346.49	1898.98	1418.45	1212.85	2094.32	1444.99	1835.33	829.74	1217.48	1911.51	1531.99	1515.99	2257.61	1730.34	1439.8	1803.13	1606.99	1348.53	1303.58	1123.38	1510.75	1322.82	1658.88	1453.66	1575.36	1002.93	1298.54	1303.0	256.75	651.44	870.88	571.98	640.63	1351.88	1077.74	1652.49	321.78	348.18	974.53	1068.18
Sv2a	184.89	316.97	203.98	180.98	113.94	0.0	5.87	78.37	68.58	81.21	95.74	19.2	238.26	83.55	310.75	0.11	247.15	239.57	147.97	133.45	208.97	111.02	170.9	93.74	101.06	185.68	139.25	188.62	96.09	158.52	82.66	75.17	180.33	199.87	140.98	134.23	261.68	110.57	193.45	100.12	88.3	154.11	340.85	292.56	337.42	176.8	85.57	0.0	127.34	0.2	75.05	10.93	24.17	114.7	14.39	239.31	110.01	56.82	72.33	0.12	90.47
Tmem132c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.94	0.0	0.0	0.11	73.95	0.0	0.0	0.58	70.48	126.78	46.61	138.83	31.03	100.57	47.92	140.78	80.62	140.97	44.93	12.75	46.04	132.68	198.06	113.6	59.74	23.48	1.23	77.58	154.8	115.83	134.2	132.77	187.87	64.92	107.3	77.35	56.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.22	34.65	0.0	0.0	0.0	0.0
Tmem25	159.51	0.0	196.34	0.0	183.52	11.69	0.25	58.73	2.08	0.0	0.0	0.0	0.0	90.95	144.39	0.0	205.97	289.04	336.0	0.0	165.76	71.95	256.25	80.56	104.84	117.28	481.47	226.84	125.14	186.32	73.53	124.99	149.04	256.63	181.79	291.95	175.69	304.54	17.8	4.87	343.27	131.33	99.39	1.13	138.78	355.04	0.14	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	115.29	70.76	0.0	0.07	0.21	0.39
Tmem30a	9.52	0.8	0.0	0.15	82.92	85.6	251.18	7.11	132.22	88.54	0.12	81.9	96.47	132.69	2.95	552.81	134.54	97.98	235.56	334.07	147.12	200.27	158.34	54.97	52.7	110.24	51.33	115.35	129.06	8.67	34.43	35.72	61.47	129.23	103.71	126.74	61.07	112.09	161.89	141.64	69.08	83.68	105.45	91.95	229.05	74.53	37.55	194.11	0.71	62.33	113.02	60.08	170.79	98.31	52.59	129.0	64.56	5.66	40.07	0.26	129.2
Tmem65	0.12	0.0	0.0	0.13	0.21	5.52	33.52	0.42	47.24	85.3	39.89	0.0	65.19	115.75	0.0	0.0	83.94	55.66	25.86	51.24	34.29	93.13	37.44	8.19	21.9	77.14	94.55	96.84	51.16	79.09	65.95	89.12	88.03	19.8	18.61	128.05	5.54	110.5	116.43	64.14	74.97	67.25	15.06	8.55	76.48	130.41	1.46	31.01	0.04	20.69	1.64	35.8	0.81	0.0	18.43	34.44	35.55	0.11	0.05	0.4	0.0
Tpi1	1563.79	413.97	1150.69	1223.2	629.04	965.62	718.41	983.88	475.57	1257.25	1453.02	818.02	77.45	2097.41	633.84	435.7	1652.68	1259.63	992.15	1178.65	1445.58	1050.14	659.96	1766.51	1076.18	894.77	933.92	1138.5	787.84	1288.1	818.53	1199.72	1344.44	1404.09	1380.05	1357.5	1255.54	1495.66	1268.13	1506.14	1432.77	697.39	1225.71	746.47	1365.22	1122.08	805.72	1468.72	1584.08	1286.72	874.72	945.43	782.26	697.67	1337.25	1097.86	828.09	215.2	158.26	1014.38	1410.41
Ttll7	48.84	18.37	0.0	85.11	60.83	42.21	0.0	39.21	13.27	36.72	0.0	105.35	0.0	42.08	5.95	13.34	49.61	66.25	63.53	25.62	12.81	40.9	35.48	85.5	34.71	55.7	43.75	77.0	11.75	52.52	53.99	74.26	71.64	74.35	46.29	57.44	73.22	74.71	54.08	104.48	34.73	76.99	99.31	113.66	121.19	71.93	84.25	9.17	39.13	0.5	5.76	0.0	30.22	22.67	13.81	20.33	67.57	0.0	0.15	13.11	0.15
Uqcrc1	931.88	1237.45	257.73	929.24	1115.15	338.83	273.75	750.6	651.38	705.38	569.41	781.68	484.62	1078.79	504.19	35.53	630.71	840.56	1057.88	1384.44	1204.54	1017.68	1049.05	766.15	899.89	869.5	1032.42	954.36	1158.65	1047.34	1268.33	1321.34	1675.03	727.92	881.33	829.15	725.59	1202.43	797.85	546.16	760.53	871.27	919.34	1191.83	705.44	1090.67	394.92	548.08	475.8	304.68	536.85	172.66	650.41	639.41	588.31	1011.64	1229.1	520.49	314.46	292.71	2.82
Vdac1	1186.7	144.05	35.68	4.9	509.31	483.79	581.59	708.29	539.95	443.81	1035.35	213.69	258.79	726.4	693.1	32.28	692.85	665.4	599.28	612.46	755.15	679.93	548.51	466.73	1003.63	826.63	666.98	634.29	585.65	834.87	938.0	1140.14	999.32	848.05	580.01	500.9	351.32	423.47	734.87	875.92	338.78	358.81	549.57	438.19	469.96	608.71	412.47	471.19	335.48	280.18	249.08	435.27	218.79	442.65	511.11	870.14	427.07	318.72	232.66	130.41	929.59
mt_AK154943	46.82	80.87	95.59	86.46	39.49	164.43	133.75	195.0	80.36	287.57	62.35	95.88	32.87	116.42	136.38	48.35	140.4	389.59	381.95	273.79	220.64	280.53	192.22	98.56	164.83	312.45	301.49	317.1	188.98	167.77	266.97	288.25	209.79	323.02	224.94	209.95	246.08	226.6	279.88	245.94	263.61	271.13	281.3	139.5	249.12	263.85	24.22	41.76	21.13	41.42	126.56	25.08	101.21	43.91	112.68	330.08	242.0	45.05	64.12	95.7	94.39
