	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_87	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Ncald	382.25	188.52	234.83	397.3	171.03	257.98	0.0	0.0	306.5	0.0	233.13	2310.88	287.34	1967.62	476.8	719.52	608.01	2178.67	851.36	1333.64	1270.08	1216.43	1.43	1046.52	582.28	925.53	764.93	711.41	509.56	636.1	500.51	371.57	394.27	438.72	121.3	228.5	444.39	421.8	304.53	165.55	359.05	374.23	341.05	394.61	574.89	304.57	501.94	396.23	201.68	212.68	593.67	987.42	278.65	580.26	408.97	327.0	393.63	169.1	657.44	108.96	328.24	452.58	399.28	260.85	307.53	563.32	206.27	363.03	390.14	0.0	37.72	34.19	177.81	107.5	320.47	0.31	285.58	313.43	220.86	147.8	345.91	734.43
Ndrg3	287.26	222.03	654.25	335.89	222.08	731.74	0.0	0.0	734.92	0.0	277.09	209.09	1001.4	1570.57	474.55	507.47	1622.52	1561.31	936.61	1682.97	1010.18	1388.96	0.0	1910.2	1648.64	1282.98	818.49	535.69	1237.12	325.74	963.55	676.78	541.76	917.24	261.91	678.46	552.46	364.64	324.11	563.45	330.86	684.29	705.34	854.53	1337.23	718.27	1070.63	391.66	701.72	787.15	774.85	1047.08	492.53	1225.48	1241.05	414.13	644.49	519.57	714.9	232.76	434.72	501.25	251.77	649.39	702.58	589.43	835.74	447.8	541.0	0.0	461.42	814.4	364.64	500.67	635.58	892.93	552.24	776.98	547.81	599.02	526.2	763.07
Ndrg4	871.85	1252.43	1072.41	813.75	130.77	716.37	0.0	0.0	1792.63	0.0	1304.22	2107.98	1422.06	2051.33	1950.07	1579.81	1262.69	1585.72	1541.25	1798.16	837.34	1427.95	335.95	1496.87	1414.3	3166.04	1009.56	1075.17	1612.59	871.27	1449.26	1069.69	1279.17	906.67	693.97	758.61	1429.63	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	1810.18	2179.26	2113.78	784.5	940.51	964.18	1899.82	2258.5	741.05	2031.15	2171.66	633.32	1135.89	600.75	1255.29	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	1450.54	583.92	1133.73	0.0	1348.9	1938.72	660.41	746.05	1177.69	1856.94	906.58	1262.98	767.51	993.09	801.6	1723.26
Ndst3	0.35	0.34	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	1.82	79.84	0.05	141.22	42.41	28.79	235.74	89.07	84.61	15.07	31.34	24.59	0.0	58.25	50.92	60.06	0.18	22.39	91.88	0.13	0.46	0.31	0.0	0.05	0.06	0.0	0.03	0.0	0.02	0.13	0.02	2.4	0.0	0.0	29.0	0.25	0.11	0.0	0.0	0.0	3.63	51.06	0.0	23.27	0.07	0.0	0.0	0.04	31.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.32	0.0	0.12	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
Ndufs1	33.89	61.99	138.76	53.3	196.25	110.12	0.15	0.0	449.96	0.18	237.2	336.89	237.22	119.15	196.89	38.97	40.44	268.28	73.74	190.79	348.01	137.33	0.68	299.02	294.62	203.08	14.46	17.52	210.4	188.77	404.71	472.03	210.69	116.27	31.82	276.51	140.51	438.54	66.3	294.7	114.73	96.12	399.04	185.56	311.01	177.68	321.31	268.96	130.6	54.84	159.52	516.82	193.55	123.42	272.22	66.33	76.95	117.53	117.25	251.24	45.71	76.49	186.7	51.45	195.77	144.43	124.04	64.26	272.28	0.0	136.35	26.23	69.32	92.55	223.49	206.44	116.69	301.47	277.63	124.07	36.32	0.0
Necab1	0.62	41.23	1.37	0.0	0.27	0.32	3.95	0.71	168.73	0.19	0.51	14.91	234.78	338.05	38.77	102.47	169.52	466.97	14.25	139.77	473.95	347.6	2.75	370.88	343.45	229.79	28.67	1.6	217.88	52.12	46.15	0.41	0.41	0.88	1.89	0.67	0.52	0.89	0.76	0.57	0.33	0.19	0.43	0.53	86.64	0.09	0.79	0.54	0.62	0.57	75.1	41.59	0.75	4.27	26.19	0.84	0.23	0.21	124.3	0.59	0.58	0.63	0.0	0.42	0.32	0.76	1.09	0.53	0.33	0.31	0.17	0.98	0.29	0.8	0.95	0.31	0.64	4.05	0.18	0.06	0.32	1.46
Nfia	0.0	0.0	0.0	0.0	0.0	0.37	0.08	9.01	14.97	79.89	0.0	38.14	6.94	8.84	42.43	111.02	41.0	9.45	32.92	79.18	102.93	16.88	0.0	4.98	0.0	67.12	40.7	55.71	98.07	5.0	7.54	0.07	0.0	0.08	0.0	0.16	0.0	0.05	0.04	0.0	0.0	0.03	3.31	0.0	36.86	1.45	11.03	1.76	0.0	0.0	77.95	110.83	1.4	80.19	29.31	11.82	3.13	0.0	21.32	0.0	5.85	0.0	0.0	1.33	0.0	0.0	0.0	1.49	0.0	42.37	0.0	10.84	0.05	0.04	0.0	0.0	0.0	0.0	0.0	2.97	0.0	8.51
Nfix	0.0	0.01	0.0	0.0	0.0	0.22	0.0	0.0	124.32	0.0	0.0	434.17	110.34	135.34	160.99	247.83	126.16	141.42	144.1	110.6	148.38	126.51	0.0	62.23	298.22	237.75	241.06	118.92	216.94	81.98	360.09	0.01	0.0	0.23	0.02	0.13	0.1	0.19	0.08	0.0	0.24	0.0	0.15	0.0	161.87	2.86	0.09	0.0	0.0	0.0	171.88	214.34	0.0	311.43	126.93	0.0	22.78	0.0	259.16	0.0	0.07	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.05	0.15	0.0	0.0	0.0	0.12	0.0	102.93
Nmnat2	84.23	220.25	55.13	79.45	204.51	111.56	0.0	0.0	258.57	0.0	53.32	350.36	311.58	173.43	242.51	93.84	273.91	237.37	69.92	374.47	237.85	299.99	152.21	208.82	480.21	111.19	446.93	310.96	191.73	203.22	280.1	72.53	89.34	56.04	125.58	143.19	63.97	101.16	126.35	32.4	136.68	122.16	89.54	113.95	74.23	68.66	109.68	40.13	134.71	100.9	198.34	130.48	61.2	88.89	204.4	23.9	100.94	104.45	512.91	5.68	52.95	34.31	102.96	104.41	80.04	86.23	234.87	37.13	50.36	0.0	73.8	138.26	96.2	32.84	78.48	91.42	42.85	119.5	40.2	80.7	114.04	80.62
Npy	138375.8	64781.64	173305.25	1.6	1.46	115124.65	0.0	0.0	24321.93	0.0	16044.9	43922.94	108594.8	20681.08	96206.73	82245.2	42632.64	68542.73	39772.71	67463.47	21807.38	65548.38	14635.6	57444.26	13956.14	77711.12	45335.24	125016.83	59230.28	80627.8	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	36041.21	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	24726.66	0.0	145032.54	13964.96	180453.32	92572.95	128781.07	23340.13	137945.15	70964.58	95298.15	137580.94	120620.2	68416.93
Nt5dc3	1.82	1.9	15.96	0.15	0.86	2.08	9.28	1.56	22.25	0.16	23.29	27.28	1.2	64.11	66.47	72.6	80.8	67.28	232.62	69.93	77.22	65.11	8.17	10.24	30.65	6.91	12.75	45.82	2.3	3.46	2.7	1.16	8.63	19.28	1.84	7.15	2.1	10.97	1.43	1.91	7.75	3.94	2.42	2.17	11.73	3.04	10.96	2.72	0.86	27.75	42.85	70.87	4.99	5.85	1.69	11.24	1.82	1.76	39.37	1.85	2.39	6.9	2.04	2.33	1.91	2.62	1.96	7.2	57.23	2.23	2.88	1.78	4.94	19.85	5.84	4.26	1.73	1.45	2.64	7.07	0.33	32.61
Ogfrl1	0.0	0.0	8.08	0.0	0.0	0.05	0.0	0.0	0.0	0.02	0.54	162.8	40.27	108.34	151.05	269.4	180.51	71.52	29.06	397.24	189.88	287.65	0.0	181.24	233.21	131.73	19.24	68.67	35.06	66.62	120.66	7.67	6.15	26.73	84.65	0.03	0.05	0.02	18.55	0.0	25.74	0.11	0.0	0.91	122.21	0.86	0.0	0.79	28.08	30.74	93.11	105.53	0.66	23.81	41.69	24.67	0.34	6.19	76.73	1.49	0.21	0.04	24.61	4.0	58.81	0.06	0.0	0.0	43.61	0.0	0.53	7.68	0.0	58.17	1.26	0.0	5.33	0.0	9.84	0.06	0.09	10.84
Olfm1	32.7	81.82	49.55	112.29	109.79	129.52	349.27	0.0	60.86	0.0	84.02	150.13	174.78	183.25	613.98	289.94	639.86	158.02	162.03	231.71	226.81	445.24	53.9	590.25	348.53	56.35	397.46	68.34	66.64	70.68	237.26	118.24	15.98	55.71	21.92	2.17	43.41	77.37	59.29	85.63	101.7	133.15	38.48	47.62	144.89	13.34	117.08	76.08	117.48	80.67	129.59	261.27	63.53	196.46	229.59	20.57	67.17	69.79	257.05	41.79	52.81	122.99	7.74	31.53	65.41	93.75	109.81	36.04	63.81	0.0	127.94	22.64	75.52	102.56	50.01	23.79	39.17	23.46	36.23	133.7	0.54	929.92
Osbpl8	19.38	20.19	2.02	4.45	0.47	0.47	0.65	1.11	31.2	1.58	1.83	76.78	82.25	16.97	130.25	92.37	61.88	57.73	189.59	141.24	70.71	128.59	4.2	133.71	19.42	46.34	77.12	49.25	37.13	11.36	41.4	5.24	27.37	1.07	7.78	2.68	23.95	2.6	1.33	12.04	0.87	1.2	1.02	0.89	26.31	8.2	2.73	24.02	5.32	3.96	12.86	36.68	1.7	106.23	25.72	13.93	22.53	14.98	80.21	4.36	2.01	2.87	2.38	1.95	0.8	13.24	16.33	6.32	41.48	0.95	13.83	3.98	3.57	0.78	17.88	2.19	12.49	8.87	4.64	7.24	58.11	112.17
Pdha1	115.45	155.13	114.01	93.29	155.29	192.58	2676.61	0.16	283.26	0.0	343.04	566.34	591.69	474.77	519.76	598.36	1066.8	955.88	0.0	523.97	344.51	1518.67	0.0	978.4	341.24	619.11	296.42	294.94	818.74	462.14	616.86	214.48	145.45	175.09	93.22	318.43	112.82	254.87	250.78	375.69	186.09	320.69	276.55	332.31	370.46	454.11	111.92	394.19	324.37	287.56	747.93	175.88	227.77	730.71	787.9	311.97	141.97	225.31	254.67	0.0	168.41	593.62	114.82	285.04	220.94	410.86	251.53	345.09	395.13	0.0	134.34	351.54	187.49	118.72	12.86	227.06	218.6	96.77	216.72	154.87	276.21	524.16
Pebp1	649.21	615.78	415.03	157.98	72.74	804.69	0.0	0.0	956.09	0.0	491.79	1309.51	1128.5	721.5	1570.26	825.65	1487.2	738.82	951.39	943.31	947.62	647.83	271.31	1440.16	646.87	1211.57	1541.14	957.52	820.89	819.79	1192.09	764.49	761.78	629.48	396.2	463.6	541.02	335.26	635.25	756.32	975.83	448.65	869.36	793.9	476.19	473.39	667.22	853.42	575.09	665.86	1055.76	1476.31	528.02	1117.47	929.68	821.18	568.66	440.21	1089.52	14.34	580.55	650.89	524.06	325.11	581.83	552.59	656.52	716.61	583.6	0.67	654.43	522.33	639.35	631.2	693.36	373.9	943.44	457.42	1066.47	769.15	761.56	1435.53
Pgbd5	0.68	7.61	19.62	53.17	112.85	18.62	0.0	0.0	235.04	0.0	27.57	60.57	55.78	145.96	328.19	135.52	222.36	60.73	55.79	131.38	135.82	166.52	0.0	87.37	106.05	274.32	69.22	206.47	130.12	81.56	53.27	29.46	12.08	37.34	82.43	0.06	1.74	18.44	0.08	22.36	96.19	0.0	20.99	0.0	34.83	13.24	4.26	17.98	29.2	0.26	326.15	158.08	20.28	493.08	82.68	10.39	0.0	11.48	118.92	6.49	33.73	19.51	0.0	23.88	0.1	9.9	0.0	13.88	37.3	0.0	0.0	34.56	19.76	0.36	61.99	48.5	0.0	0.0	38.17	18.38	1.25	26.0
Phactr1	46.38	0.0	50.38	36.61	0.09	23.31	0.0	0.0	111.47	0.09	0.0	326.3	79.13	48.55	129.81	251.27	123.39	151.67	177.84	187.05	38.52	156.15	0.74	164.16	255.94	379.05	104.63	128.39	159.75	169.03	115.3	34.44	16.83	0.22	0.0	1.64	9.0	0.5	0.13	0.06	36.54	0.57	13.29	25.52	275.17	21.69	23.98	0.0	46.8	0.13	126.04	162.08	51.38	168.12	127.46	74.37	61.89	40.02	64.32	7.4	14.31	32.48	38.17	0.08	40.06	31.24	15.85	5.18	32.5	0.0	20.93	16.54	4.7	0.97	8.18	31.01	14.51	45.62	0.0	8.2	47.48	4.8
Plekho1	0.0	0.0	37.48	0.0	0.0	0.0	0.0	0.0	12.05	0.0	0.0	35.69	39.75	57.29	35.93	156.54	0.0	16.1	22.74	6.74	36.33	113.71	0.0	190.26	0.0	1.27	29.36	53.27	88.92	80.96	63.92	0.0	29.18	32.64	0.09	0.25	0.0	0.0	0.0	0.0	0.47	0.0	28.23	0.0	20.53	0.64	0.48	0.0	0.0	0.0	5.87	2.72	0.0	34.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.72	2.56	0.0	0.0	0.0	36.89	27.37	0.0	0.0	0.0	0.0	125.57
Plk2	15.76	144.57	0.24	46.07	3.39	0.66	0.0	0.0	749.75	0.0	65.18	742.22	159.23	558.2	295.56	477.94	214.84	143.58	739.65	286.78	206.41	176.85	3.52	353.21	621.38	316.03	405.17	304.47	155.44	595.13	413.93	8.56	1.96	20.66	0.13	0.12	62.92	1.61	0.0	122.01	0.11	45.23	0.0	83.09	378.75	0.32	44.07	55.93	0.5	0.0	343.29	315.87	0.0	354.99	179.89	0.0	0.09	0.0	201.64	33.93	0.71	6.1	24.97	0.0	19.56	68.33	48.05	0.53	86.43	0.0	0.2	163.28	0.08	49.62	0.52	82.98	60.26	1.17	1.16	22.56	0.03	466.89
Pls3	108.89	120.23	22.09	17.82	68.82	77.88	0.26	321.27	145.97	0.0	136.19	505.78	781.11	305.2	216.3	210.37	384.06	303.81	129.34	372.91	460.88	135.02	113.09	289.67	188.06	79.47	404.07	463.09	493.73	129.23	171.81	71.68	127.38	74.64	199.08	117.23	69.3	66.45	44.28	78.11	49.91	90.99	55.86	99.52	333.53	193.06	95.27	112.84	74.18	41.17	437.72	581.55	57.28	371.0	399.55	76.24	149.19	118.75	345.32	0.08	59.95	121.76	113.86	240.05	7.48	152.28	30.57	61.85	225.34	0.0	41.42	1.56	141.7	187.19	72.98	265.39	76.94	104.61	108.16	62.1	87.39	64.94
Pnoc	0.0	0.0	0.0	255.29	88.72	0.0	0.0	0.0	601.26	0.0	0.0	1009.59	509.32	817.85	410.19	541.76	615.53	736.88	518.7	1181.04	561.89	293.08	0.44	1002.92	301.04	674.29	975.85	237.05	228.81	484.08	427.06	0.0	0.0	0.11	0.06	0.16	0.71	0.33	0.16	0.0	0.0	0.0	0.19	0.0	207.32	0.0	0.0	10.93	0.0	0.0	393.42	807.53	0.14	848.94	267.23	0.0	0.0	0.0	217.3	0.0	0.0	0.13	0.0	0.07	0.0	0.08	0.17	0.41	161.31	0.42	0.14	0.33	0.11	101.33	0.14	1.11	0.0	226.9	0.2	0.08	0.13	1117.38
Ppm1h	104.28	108.23	88.42	58.81	48.55	37.73	368.32	0.49	417.88	0.0	108.48	211.37	257.5	132.82	199.17	316.94	390.63	186.13	120.93	210.32	279.27	200.58	471.99	367.82	165.36	397.36	311.07	351.47	503.52	198.42	230.2	58.55	127.63	69.12	104.34	124.24	160.83	182.04	98.52	102.29	93.01	106.22	160.81	208.6	284.64	89.12	131.13	146.3	162.06	66.86	504.48	352.71	77.28	392.06	299.52	134.59	84.42	96.6	261.12	59.35	141.45	145.28	127.83	186.26	120.74	52.69	104.06	85.47	99.29	0.0	85.24	157.53	123.33	192.76	63.84	69.82	133.52	149.98	85.12	111.99	58.79	295.04
Psmf1	18.17	53.95	21.73	0.11	81.4	70.64	0.11	0.0	0.0	0.0	98.9	71.38	7.78	51.8	101.16	64.16	0.14	243.6	47.1	48.53	46.89	0.0	0.28	145.65	227.18	172.57	0.0	97.02	62.45	178.22	55.78	46.6	60.85	1.2	31.76	63.1	11.97	53.56	66.38	73.84	58.87	11.61	37.22	29.25	0.87	35.52	4.8	23.11	49.09	27.15	70.16	60.43	26.21	93.54	22.6	0.36	86.9	0.12	223.15	0.0	92.86	67.03	0.16	108.27	0.0	51.59	0.0	35.49	3.87	0.0	1.29	4.6	0.26	82.43	46.17	5.11	19.06	25.56	71.82	43.78	76.58	0.0
Pten	32.82	19.0	17.21	0.1	10.38	10.31	0.29	0.0	65.0	42.64	24.81	47.65	29.14	46.81	43.75	17.66	93.22	53.37	125.95	104.61	57.7	59.63	9.0	47.58	11.11	14.69	54.99	71.08	88.52	11.76	47.07	16.3	45.22	20.68	2.16	22.71	27.32	12.7	12.66	14.15	18.72	31.83	25.52	32.19	31.57	3.96	16.16	20.19	15.4	21.33	75.4	39.96	33.38	17.06	8.99	18.37	20.17	6.36	45.27	34.61	15.94	16.44	17.79	5.83	18.84	14.46	6.46	10.45	67.04	242.01	42.31	37.95	15.66	30.2	21.79	9.32	26.98	30.59	11.73	18.81	16.46	14.17
Rab14	142.0	77.27	96.19	7.89	0.0	171.79	0.0	453.51	458.26	3.48	76.53	207.11	42.55	275.44	87.19	150.66	191.18	259.29	322.43	140.37	225.83	244.95	0.0	343.33	270.64	131.35	73.32	172.46	166.35	19.84	32.67	36.77	51.92	3.15	107.05	109.06	4.72	178.33	56.98	63.79	84.51	90.01	142.32	142.93	156.78	16.12	82.0	14.08	37.28	93.1	30.2	29.27	1.89	5.6	136.05	71.87	6.44	32.98	38.23	16.76	87.55	30.73	34.63	5.68	112.45	93.45	17.29	73.18	197.11	0.0	52.59	39.36	44.16	34.36	39.72	29.43	38.58	203.33	105.73	96.68	62.27	231.26
Rab2b	16.49	83.54	66.79	71.08	0.0	23.62	0.0	0.93	8.93	0.0	157.52	0.04	40.66	17.2	102.79	218.15	83.35	116.73	611.72	81.1	108.87	249.95	0.7	390.66	0.0	102.63	4.49	59.56	144.42	149.7	45.83	37.93	14.78	27.65	5.55	72.53	0.2	0.18	23.53	49.25	2.47	61.69	0.14	17.63	240.96	6.57	139.29	0.0	60.51	0.09	135.14	0.0	22.49	28.99	308.76	122.91	135.89	0.39	184.87	219.54	0.0	79.75	32.06	0.42	1.29	51.96	18.98	110.42	227.92	0.0	0.94	58.35	0.0	145.23	175.86	44.11	36.97	93.9	74.6	43.43	23.58	24.89
Rab3c	77.38	256.64	55.7	102.77	58.71	37.01	0.2	0.04	197.45	0.14	233.06	670.55	355.7	652.58	525.52	527.23	697.53	569.8	829.53	780.64	581.13	1007.13	13.3	454.56	633.55	447.36	777.51	595.22	378.23	511.91	487.05	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	55.64	94.52	98.6	51.22	67.84	9.66	380.52	442.85	44.15	175.16	412.28	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	325.0	0.13	108.57	23.08	13.59	202.55	63.86	116.66	51.49	133.64	124.77	62.1	47.48	75.75
Rab6a	77.83	91.2	103.17	145.5	78.28	39.23	185.26	16.31	308.72	0.0	188.69	506.96	180.6	446.89	959.14	940.15	673.51	226.63	942.91	796.8	336.2	498.69	0.0	168.16	133.56	200.39	400.51	279.1	239.3	108.53	117.17	58.41	119.59	52.89	8.86	139.6	180.09	90.02	88.25	58.98	41.82	73.1	57.38	107.39	181.57	56.62	38.74	71.58	49.45	104.85	303.55	164.32	143.18	272.26	176.67	43.83	11.08	113.94	220.06	153.83	7.67	50.29	143.23	37.97	79.93	39.25	77.62	97.49	93.61	0.0	32.7	192.91	83.7	176.6	98.39	75.77	110.92	25.02	170.28	143.87	232.04	243.21
Rasl11a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.78	0.0	68.96	159.79	0.0	98.0	0.0	1050.7	336.23	132.87	402.6	408.34	362.34	0.57	240.36	11.47	0.0	121.82	104.31	0.0	96.12	89.22	133.38	38.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.1	72.74	0.0	0.0	0.0	0.0	0.0	243.92	828.86	0.0	435.3	0.0	0.0	0.0	0.0	169.73	0.0	0.0	0.0	0.0	0.0	8.77	0.0	0.0	0.0	40.61	0.0	0.0	542.56	0.0	0.0	0.0	372.91	0.0	86.28	0.0	0.0	0.0	0.0
Rbm18	118.8	285.99	115.15	27.35	99.46	156.07	0.0	0.0	365.41	0.0	290.33	0.05	263.72	169.21	193.54	117.66	26.01	0.0	0.0	149.83	500.27	323.06	0.0	251.0	587.31	165.49	201.02	235.74	241.95	136.41	722.82	100.51	195.93	42.38	163.66	76.68	51.51	142.9	93.67	121.61	293.29	0.11	9.61	29.93	136.77	21.03	117.39	219.2	137.9	163.37	293.71	336.87	74.69	208.59	70.36	66.59	84.18	115.71	205.78	1.24	165.13	32.32	83.08	0.0	71.67	174.63	3.5	23.06	0.7	0.0	112.55	295.94	111.57	45.65	55.02	99.81	138.93	167.8	91.85	81.91	208.87	0.0
Rgs10	0.0	65.79	0.0	212.05	0.0	0.0	0.0	0.0	1106.87	1197.17	0.35	56.73	331.87	677.93	380.35	776.2	1014.81	417.53	1770.98	1067.25	469.15	278.37	0.0	240.83	145.36	64.61	1167.7	725.78	1601.41	212.59	316.71	0.2	0.44	44.4	0.14	0.4	1.75	0.74	1.06	0.0	0.0	0.0	0.0	0.0	329.74	0.0	68.69	179.26	0.0	0.0	1206.17	1242.49	0.35	1700.16	360.44	0.0	0.0	0.0	514.44	0.0	132.48	9.99	79.21	0.0	0.33	0.0	0.0	0.0	50.5	5512.15	0.0	0.0	0.0	86.08	0.0	78.64	0.0	64.74	0.23	0.73	0.0	787.36
Rgs7bp	0.58	10.29	1.06	0.0	0.69	0.43	2.46	1.07	127.99	2.42	8.06	28.85	25.0	86.94	100.71	123.92	194.24	165.5	71.97	52.63	118.76	54.32	28.19	117.28	144.38	16.13	66.05	84.9	47.53	33.22	33.32	1.03	0.13	4.23	0.49	0.49	9.15	13.63	4.73	11.46	29.27	23.83	11.42	14.41	92.22	4.55	1.26	9.69	4.34	3.97	42.79	66.15	0.69	23.85	92.27	7.66	14.1	0.49	21.89	1.67	10.32	0.71	0.46	0.93	7.49	0.6	0.58	3.13	18.57	1.57	25.93	16.47	0.15	0.42	0.4	59.33	6.09	23.01	0.72	11.89	3.78	26.1
Rnf187	71.52	0.76	121.06	44.06	0.38	144.29	0.0	0.0	111.83	158.64	39.61	41.27	0.1	70.7	89.39	306.52	0.0	37.21	282.51	27.73	91.66	164.14	0.0	204.28	80.98	97.69	6.79	9.2	42.0	82.58	242.01	34.83	37.33	8.89	26.73	45.35	86.82	5.97	29.68	4.52	1.94	30.68	98.15	18.96	6.57	46.17	103.17	55.68	33.67	104.77	34.61	0.0	26.17	46.32	20.36	0.17	23.34	29.99	164.72	4.16	106.74	24.85	33.55	44.4	19.36	22.49	10.27	4.11	150.66	0.0	10.58	153.34	37.1	0.0	19.08	80.09	14.05	159.69	50.83	30.83	18.78	81.95
Rora	2.77	61.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.08	55.07	5.18	167.84	220.73	210.63	1.1	1.73	18.79	4.25	0.0	2.41	0.0	106.68	144.16	146.34	52.73	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.23	201.62	0.0	0.0	0.0	0.0	0.0	0.0	68.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.94	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.63
Rph3a	51.39	119.48	76.82	185.95	5.61	0.19	0.0	0.0	195.45	0.16	155.81	10.74	33.76	148.55	282.63	269.57	318.16	185.83	13.83	325.57	153.88	180.93	121.7	157.36	0.44	62.75	78.23	254.99	124.73	100.27	51.72	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	114.66	26.4	118.7	0.32	8.71	51.57	4.68	134.3	14.26	94.74	60.03	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	44.57	0.28	76.8	80.2	11.54	46.94	41.22	106.29	75.04	0.24	47.14	43.48	32.02	81.93
Rsrc2	154.94	75.09	88.6	48.17	117.37	88.79	0.0	159.08	234.15	0.22	202.6	142.88	23.39	285.65	142.94	335.78	436.79	151.86	138.82	280.9	70.8	330.54	31.42	368.69	136.43	142.8	77.09	171.63	241.26	212.39	255.2	45.75	121.71	43.17	67.52	84.85	81.41	5.79	81.17	35.67	0.0	61.04	73.38	56.11	210.77	129.94	18.5	169.25	96.99	40.24	280.33	119.8	136.89	150.11	44.96	64.45	21.07	48.67	237.69	31.35	37.39	44.74	8.24	54.98	161.14	41.9	115.73	84.12	215.9	15.08	135.24	109.68	85.88	162.73	120.52	54.0	68.73	120.65	40.15	25.94	7.26	101.91
