	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Sncb	0.0	0.0	0.0	0.0	0.0	91.79	248.84	130.72	153.5	80.26	114.6	0.0	0.0	0.0	0.0	0.0	0.0	98.48	181.79	0.0	274.62	337.89	0.0	137.06	20.69	36.67	28.54	54.17	74.88	152.92	197.23	131.95	0.0	0.0	0.0	0.0	0.0	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	77.68	75.75	56.1	128.44	41.09	82.07	62.85	147.09	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	0.0	0.71	0.0	0.0	0.0	0.0	1.54	0.0	0.92	0.37	0.22	0.63	0.0	0.0	1.24	0.7	176.44	164.47	114.28	96.94	171.03	151.74	75.33	98.25	115.76	273.28	63.97	173.6	97.47	117.15	86.27	160.29	78.31	500.1	550.38	513.95
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	5.36	6.43	6.02	5.29	14.63	0.0	0.0	0.0	0.0	0.0	0.0	4.41	8.56	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	5.58	15.42	0.0	26.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	9.65	0.0	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.26	0.0	0.0	3.15	7.66	0.0	16.54	12.13	0.0	4.47	1.71	14.21	8.48	0.0	5.74	6.22	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	5.36	6.43	6.02	5.29	14.63	0.0	0.0	0.0	0.0	0.0	0.0	4.41	8.56	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	5.58	15.42	0.0	26.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	9.65	0.0	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.26	0.0	0.0	3.15	7.66	0.0	16.54	12.13	0.0	4.47	1.71	14.21	8.48	0.0	5.74	6.22	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	5.36	6.43	6.02	5.29	14.63	0.0	0.0	0.0	0.0	0.0	0.0	4.41	8.56	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	5.58	15.42	0.0	26.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	9.65	0.0	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.26	0.0	0.0	3.15	7.66	0.0	16.54	12.13	0.0	4.47	1.71	14.21	8.48	0.0	5.74	6.22	1.22	1.15	1.9
Sult4a1	0.0	0.0	0.0	0.0	0.0	191.89	136.54	184.34	240.86	78.07	78.21	0.0	0.0	0.0	0.0	0.0	0.0	238.49	247.7	0.0	314.27	294.41	0.0	167.15	156.8	261.62	163.34	241.22	8.58	37.94	113.98	102.76	0.0	0.0	0.0	0.12	0.0	0.0	239.08	131.22	226.46	124.05	259.38	162.79	314.85	127.45	242.74	175.9	184.1	458.31	501.4	474.99	453.85	498.07	232.14	81.03	106.16	262.98	228.49	353.43	170.35	170.21	105.23	206.3	134.51	151.16	396.35	178.43	298.29	404.17	291.58	165.27	238.61	0.0	0.0	0.7	0.0	0.0	0.0	0.0	2.01	0.0	0.82	0.91	0.54	1.86	0.23	0.0	1.21	0.34	265.22	148.36	91.5	143.76	184.94	291.16	368.08	610.15	337.69	376.46	134.42	247.81	355.53	234.24	329.23	135.78	39.83	438.7	457.81	456.98
Taf11	192.04	0.0	0.0	0.0	0.0	50.67	88.82	54.26	0.0	149.34	17.46	0.0	0.0	0.0	0.0	0.0	0.0	236.52	40.11	0.0	15.56	22.91	0.0	111.79	25.19	44.89	39.55	171.44	156.69	0.0	101.77	0.0	0.0	0.0	0.57	496.26	0.0	0.0	0.0	6.18	0.0	5.02	9.1	32.82	9.14	5.6	0.0	40.97	47.1	92.75	87.98	84.41	0.0	49.15	50.72	50.06	0.0	0.0	0.0	13.69	1.63	0.0	0.0	89.58	57.26	42.73	38.3	11.47	133.15	51.61	32.36	63.15	34.68	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	42.96	0.29	0.0	38.09	0.0	0.0	26.09	102.53	32.2	0.79	0.0	0.0	17.92	0.79	21.77	13.0	131.97	51.09	54.18	49.09
Tmem231	0.0	0.0	0.0	0.0	0.0	5.32	39.65	0.25	0.0	47.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	9.22	0.0	12.61	1.3	0.0	13.52	0.0	9.88	2.9	0.0	0.0	0.0	0.0	0.0	0.0	2.65	3.43	0.03	0.0	22.68	0.0	0.0	0.0	7.68	9.54	2.29	1.48	0.0	0.84	60.15	0.0	9.64	47.73	112.96	0.0	0.0	0.0	0.0	4.48	0.0	77.8	0.08	0.35	0.0	0.1	29.42	5.87	0.0	1.04	0.0	0.0	0.0	0.0	379.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	8.43	0.0	2.42	2.15	0.0	0.0	1.45	0.0	0.0	0.0	11.15	11.2	12.02
Tmem38a	0.0	0.0	204.52	0.0	0.0	62.1	78.67	82.4	206.06	163.73	125.22	349.11	0.64	778.86	0.0	0.2	507.67	194.7	215.33	0.0	141.12	99.69	0.0	14.76	252.57	414.83	108.51	7.17	2.45	114.35	0.5	197.71	0.0	737.58	0.0	0.13	0.0	0.0	259.97	136.68	90.25	3.15	2.08	4.09	154.64	213.27	26.98	299.94	111.03	124.05	79.35	89.13	156.21	68.56	0.0	83.93	56.22	269.34	22.47	310.31	55.95	111.03	211.29	609.34	0.0	323.84	113.99	77.81	116.19	86.06	135.97	114.73	178.03	0.0	0.0	0.4	359.37	0.0	0.0	0.0	0.0	0.0	1.87	0.62	0.49	0.89	0.26	0.14	0.0	0.0	219.42	250.77	93.29	131.44	51.44	2.68	415.57	114.08	3.29	110.89	68.7	158.62	285.36	122.28	102.21	58.08	760.49	118.0	125.7	118.34
Trpv2	0.0	0.0	0.0	0.0	0.0	49.33	48.94	0.0	31.1	10.38	51.1	0.0	0.0	0.0	0.0	0.0	0.0	8.26	32.51	0.0	19.93	33.82	0.0	1.49	0.0	75.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.85	17.2	22.43	0.0	27.51	8.13	129.9	0.16	30.67	44.26	33.77	0.28	15.9	92.78	0.0	12.76	49.9	0.0	0.0	0.0	0.0	54.28	34.01	48.46	11.4	103.48	0.34	0.0	48.36	0.0	44.92	49.52	47.6	25.06	21.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.84	0.0	0.0	17.79	3.91	1.92	204.99	2.55	39.04	14.75	0.0	0.0	52.66	0.17	22.92	0.85	186.68	15.67	17.5	15.88
Tspyl4	0.0	0.0	0.0	0.0	0.0	244.73	224.24	252.82	234.06	221.1	521.71	0.0	0.0	0.0	0.0	0.0	0.0	232.27	248.29	0.0	503.83	374.42	0.0	750.92	372.59	487.27	172.8	312.69	312.64	512.31	314.76	65.91	0.0	0.0	0.0	0.14	0.0	0.0	271.33	353.3	255.96	82.85	422.1	282.02	212.47	268.87	249.75	374.3	332.5	415.51	410.02	394.1	514.95	644.8	407.13	142.71	112.38	337.99	402.0	271.44	192.88	232.54	451.17	584.52	98.6	255.94	143.23	280.58	238.3	175.16	342.16	304.97	295.36	0.0	0.0	0.21	0.0	0.0	25.78	0.0	1.37	0.0	0.73	0.55	0.33	0.85	0.27	25.38	0.37	0.21	249.94	344.25	160.89	370.94	400.67	467.34	616.77	268.15	397.39	669.91	236.54	398.09	135.65	476.46	419.11	304.5	360.61	398.34	408.0	381.62
Unc13a	0.0	0.0	0.0	0.0	0.0	2.93	2.52	8.81	3.96	5.11	10.57	0.0	0.06	0.0	0.0	0.0	0.0	1.96	2.03	0.0	5.44	17.91	0.0	1.21	0.89	1.39	1.78	4.83	30.76	3.93	1.82	3.97	0.0	0.0	0.0	0.0	0.0	0.0	1.51	2.48	2.34	2.37	4.43	25.99	17.28	4.18	7.76	1.92	4.2	6.54	4.16	4.86	5.81	3.2	3.1	3.48	6.7	4.01	2.83	3.69	4.67	4.16	0.79	1.05	7.39	6.16	9.15	1.82	2.95	4.73	5.98	1.96	1.92	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.03	0.18	0.0	0.0	0.09	0.1	1.67	6.59	4.11	4.61	16.42	3.88	1.79	9.82	8.35	4.34	1.36	0.78	2.18	2.77	3.96	2.67	24.09	173.28	162.24	184.32
