	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Hmmr	2.74	10.02	0.8	4.23	32.71	4.83	15.92	12.59	5.87	14.06	30.58	16.04	8.79	9.99	11.45	6.21	7.0	5.92	8.87	2.84	6.15	7.63	6.05	10.44	5.85	4.69	10.37	4.33	5.94	7.59	10.2	13.91	7.58	10.99	1.52	9.2	3.93	5.08	6.48	12.84	11.18	5.69	6.92	4.99	10.31	17.84	49.24	37.97	109.9	18.33	39.94	0.58	6.72	10.39	5.6	27.42	5.2	6.01	5.76	2.55	8.43
Ifnar1	51.21	84.83	35.88	112.35	66.18	28.68	102.66	120.98	65.02	109.8	156.73	98.28	33.0	29.58	72.09	31.02	65.66	30.57	37.49	37.65	39.08	26.6	30.14	38.45	30.45	20.12	27.63	30.13	71.51	57.77	42.05	51.71	19.3	78.05	23.18	74.02	28.04	78.71	37.24	74.03	61.3	69.62	48.66	39.27	57.85	142.94	493.89	384.33	470.17	381.26	235.83	51.48	52.14	57.97	67.82	130.11	16.12	21.51	45.03	23.68	40.92
Il1rl1	1.2	0.18	0.24	1.6	4.22	1.42	2.54	1.54	1.2	3.27	6.29	2.26	3.0	3.22	3.26	2.25	0.42	0.57	1.35	0.5	1.0	0.97	1.23	1.13	0.77	0.54	1.04	1.42	0.92	1.29	2.26	1.47	1.34	1.54	0.77	1.26	1.24	1.29	0.74	0.9	2.23	1.02	0.79	1.67	2.1	8.06	26.88	19.83	7.86	11.3	4.59	0.86	1.06	2.3	0.65	5.04	1.67	1.16	0.67	1.03	1.9
Il5ra	3.43	6.89	3.27	10.08	31.9	8.02	20.57	21.14	13.55	34.76	8.98	28.92	4.85	11.38	11.5	4.78	9.06	6.52	4.43	9.37	4.62	7.26	6.14	8.3	4.67	1.9	11.04	4.06	10.71	2.95	17.82	5.99	2.41	2.18	2.86	14.01	6.74	8.95	6.56	3.58	7.54	8.06	9.66	4.47	4.03	17.12	88.24	60.68	49.65	15.6	52.4	6.51	6.48	6.85	8.16	21.38	4.45	2.5	7.44	2.02	2.85
Intu	4.8	5.92	4.27	5.11	20.24	8.53	11.64	20.27	17.01	29.7	37.17	10.54	6.79	10.82	20.7	2.67	7.13	9.24	6.08	1.41	6.86	7.2	4.76	10.05	5.33	5.4	3.29	3.48	4.52	6.49	12.26	13.35	5.8	7.85	5.41	7.29	1.63	10.34	4.17	4.99	8.12	6.0	4.28	7.95	4.54	16.74	107.59	101.98	129.87	28.32	52.31	2.2	5.38	10.27	6.8	63.6	2.91	2.25	2.59	1.82	9.67
Itga4	2.12	5.3	1.44	3.12	6.3	4.12	8.79	6.65	4.97	14.21	13.73	5.07	4.36	8.99	5.6	1.94	5.5	4.86	4.09	3.79	1.52	3.93	3.33	5.48	3.93	5.13	4.53	2.75	3.3	2.42	3.35	3.21	4.0	3.91	2.04	4.12	3.83	6.0	4.21	4.05	3.84	3.45	3.54	2.75	3.25	63.96	64.23	76.31	75.37	25.67	44.0	2.7	2.74	2.73	3.25	10.43	2.97	2.58	2.93	2.79	8.5
Jub	0.73	1.5	1.45	2.29	3.11	2.87	1.12	1.44	3.01	2.42	11.26	2.91	0.77	2.1	1.54	0.32	1.36	1.14	0.79	0.67	0.92	1.08	1.39	1.71	0.75	0.85	2.24	1.18	1.64	0.96	1.9	1.74	1.38	1.52	1.89	1.45	2.13	1.12	1.08	0.45	0.95	1.11	0.98	1.24	2.15	16.75	22.0	26.06	10.5	7.16	18.48	2.01	1.68	1.8	1.52	3.92	1.39	1.05	0.38	1.72	2.14
Kbtbd10	1.62	3.69	0.99	3.66	5.49	4.39	3.87	4.48	5.37	4.33	11.79	4.06	4.42	5.07	4.64	0.71	1.26	1.52	1.54	1.16	3.3	2.72	3.13	2.47	1.77	4.58	2.44	3.82	3.07	2.46	4.53	3.58	2.97	2.81	2.23	3.41	2.94	1.85	1.17	3.82	3.94	2.38	1.17	0.58	3.62	22.41	51.58	41.71	47.02	23.5	26.57	1.71	2.35	5.72	2.31	5.64	2.83	1.41	2.25	1.84	5.68
Kcnq1ot1	41.78	32.9	9.39	28.19	100.48	38.16	50.52	56.69	63.66	106.03	162.48	62.11	54.93	53.51	55.22	26.73	39.0	38.23	36.61	16.83	27.17	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.87	41.06	30.82	41.47	37.15	37.47	23.92	41.51	27.93	46.41	28.37	27.34	45.75	27.36	29.48	32.73	32.11	247.32	430.78	465.29	644.25	389.16	306.38	29.47	30.75	45.81	27.94	80.16	17.87	19.92	24.37	13.18	61.97
Lhx5	0.0	0.54	0.21	0.93	1.8	1.74	0.86	1.09	2.23	1.76	3.66	0.86	1.32	0.94	1.07	0.72	0.42	0.24	0.8	0.31	0.19	0.42	0.55	0.76	0.55	0.33	0.55	0.84	0.24	0.67	0.61	1.55	1.01	0.26	0.15	0.52	0.34	0.48	0.84	0.47	0.79	0.38	0.8	0.48	0.49	5.42	11.97	6.42	2.84	5.19	9.32	0.38	0.52	1.01	0.32	1.08	0.52	0.71	0.54	0.72	1.28
Lipi	0.87	1.94	0.0	1.08	4.41	1.41	2.0	3.28	1.15	2.52	3.26	1.16	2.31	2.85	3.35	1.62	0.25	1.08	0.88	0.33	0.71	1.43	0.33	1.22	0.94	1.32	2.0	0.99	0.76	0.58	1.21	1.0	0.22	0.33	0.15	1.54	1.26	2.72	0.71	0.0	1.18	1.5	0.55	0.63	1.01	6.64	6.18	23.78	28.22	15.49	21.78	2.94	0.75	1.75	1.34	4.63	0.9	0.89	0.41	0.63	3.85
Lpp	0.51	1.35	0.92	1.04	4.37	1.88	25.54	2.35	3.21	2.58	5.74	3.16	6.1	1.36	2.77	0.57	1.44	0.63	0.66	0.5	0.87	0.98	0.59	1.84	0.62	1.09	0.89	0.85	0.92	0.66	1.5	1.46	0.43	0.65	0.63	1.79	1.91	1.47	1.13	1.27	0.93	0.87	1.02	0.92	0.75	5.88	14.98	12.1	80.56	6.22	12.3	0.46	0.59	2.02	1.29	2.91	0.49	0.51	0.64	0.61	2.45
Lrrn4cl	3.43	5.07	1.0	5.73	9.3	7.92	4.36	6.34	7.06	6.97	25.46	9.0	7.32	13.57	12.88	1.99	3.68	3.65	3.48	1.78	3.16	3.45	4.76	3.79	3.78	5.67	4.9	2.63	2.35	4.75	5.47	3.39	6.18	3.09	2.48	4.54	4.82	5.67	2.11	3.62	18.62	3.56	2.5	2.26	3.23	25.94	86.85	109.35	120.9	25.65	49.6	4.27	2.81	9.89	4.06	17.05	3.99	2.84	2.18	1.86	18.03
Luc7l3	43.12	96.84	43.69	86.69	302.89	171.93	182.01	322.43	219.71	279.18	865.38	363.9	131.02	202.8	91.42	27.47	123.25	69.8	90.0	71.81	66.41	76.25	99.34	251.87	88.27	125.11	97.71	88.2	38.77	64.84	151.26	71.15	121.81	69.0	58.67	213.93	7.82	19.72	113.69	1.85	60.77	43.4	49.29	68.42	41.62	370.57	2172.42	1344.07	272.45	590.77	603.51	74.43	161.28	144.31	12.68	201.27	29.13	35.99	18.82	23.41	180.28
Mageb16-ps1	3.6	4.39	0.56	1.81	16.05	3.36	10.51	12.01	7.26	10.14	10.22	10.11	5.68	5.74	5.18	3.05	3.21	10.76	2.17	2.45	3.33	4.97	3.33	4.66	3.75	4.43	3.3	2.73	2.88	3.68	5.41	3.46	3.16	3.02	3.77	4.12	4.9	3.5	3.73	5.25	1.11	2.36	1.78	2.58	3.43	18.31	38.1	26.6	73.62	33.13	26.79	0.75	2.55	5.73	6.32	11.93	2.63	1.96	1.86	4.35	10.06
Mc1r	0.0	1.31	0.34	0.58	1.52	0.9	1.79	1.1	1.96	3.78	2.8	2.82	2.89	2.39	1.67	0.55	0.57	0.95	1.23	0.67	0.77	0.66	0.65	1.58	0.83	0.91	0.65	0.89	1.18	1.05	2.38	0.81	0.51	3.35	0.6	1.6	1.49	1.6	0.53	1.24	1.14	0.9	0.75	1.06	0.89	8.08	19.48	7.76	13.53	10.9	4.77	0.15	0.76	0.52	1.23	2.61	0.86	1.03	0.74	0.49	2.62
Mrgprb1	0.0	0.29	0.0	0.23	0.34	0.49	0.6	0.54	0.91	0.58	1.88	0.82	0.53	0.38	0.6	0.16	0.27	0.18	0.03	0.19	0.07	0.27	0.47	0.44	0.21	0.26	0.0	0.0	0.17	0.37	0.65	0.17	0.4	0.32	0.36	0.22	0.14	0.29	0.1	0.42	0.26	0.0	0.26	0.3	0.48	0.51	5.76	4.28	8.55	1.64	1.92	0.14	0.43	0.64	0.15	0.54	0.29	0.12	0.08	0.03	0.49
Mtap2	46.23	34.87	16.78	17.88	120.24	91.04	91.45	11.35	101.52	94.91	244.55	68.85	29.0	79.5	17.87	17.31	33.26	74.02	25.11	40.4	10.0	29.1	18.32	35.27	69.88	11.94	33.08	26.78	42.62	66.15	60.67	31.03	31.29	35.62	24.63	56.84	64.2	102.62	62.54	65.61	28.41	9.53	39.46	48.3	31.24	249.76	1310.69	253.84	350.43	142.08	31.57	30.5	8.05	58.15	23.6	167.16	22.49	78.28	1.27	23.79	76.67
Mylk4	0.93	2.33	0.61	0.45	4.36	1.24	2.37	1.84	0.43	2.75	3.97	0.65	1.62	1.84	2.8	0.68	0.65	1.87	1.29	1.04	0.5	1.02	0.96	1.26	1.68	0.55	1.83	1.38	1.14	0.51	0.99	1.09	0.75	1.34	1.14	1.37	1.11	1.37	1.25	0.38	0.56	1.85	0.96	0.79	0.98	4.56	13.87	4.15	13.73	5.07	6.48	0.21	0.42	0.7	0.45	1.65	0.49	0.76	1.57	0.62	2.74
Naip2	1.39	1.75	0.43	1.17	4.18	1.01	1.27	2.71	1.52	2.99	5.28	1.01	1.55	1.42	2.6	0.31	0.35	1.0	1.35	1.21	1.0	0.59	0.96	1.64	0.95	1.84	1.71	0.86	1.51	0.75	1.38	0.9	0.68	1.46	0.99	0.88	1.29	0.76	0.34	0.95	0.99	0.65	1.07	1.39	0.78	6.64	20.5	3.02	21.42	3.42	5.78	1.77	1.07	1.04	2.02	3.75	1.52	1.46	0.27	0.57	2.3
Neurl3	3.86	6.24	0.65	2.26	13.09	3.01	2.66	8.56	9.31	9.8	21.94	8.52	3.59	5.99	5.13	3.69	2.41	3.63	5.33	2.38	3.25	2.87	5.34	3.52	4.84	2.71	3.02	1.59	1.84	2.95	2.35	3.84	4.51	2.32	2.04	3.19	3.75	3.4	3.27	3.04	7.81	3.41	1.87	3.79	5.0	20.83	55.19	51.66	114.31	45.75	43.13	3.85	2.88	3.92	3.89	19.36	2.53	2.9	1.24	1.25	8.95
Nphs1	2.29	2.11	1.16	3.63	10.55	4.27	4.47	5.67	5.19	5.3	9.83	6.17	3.87	3.85	3.55	1.48	1.32	1.99	1.91	1.04	1.58	2.31	2.52	5.05	2.85	2.77	3.22	1.77	1.78	3.27	3.52	1.82	1.79	2.33	1.41	4.8	2.89	2.32	2.46	2.15	3.02	1.87	1.71	2.75	2.96	17.18	37.65	35.31	38.68	11.17	28.24	3.13	3.45	2.61	2.75	6.51	1.5	1.73	2.19	1.79	5.61
Npy	138375.8	173305.25	40775.82	115124.65	43922.94	108594.8	96206.73	82245.2	67463.47	65548.38	14635.6	77711.12	125016.83	80627.8	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	8484.11	137945.15	95298.15	137580.94	120620.2	68416.93
Nsl1	4.06	3.89	0.94	3.37	6.67	5.2	4.72	7.64	8.74	7.71	18.59	9.24	4.4	6.12	9.82	2.03	2.73	1.94	3.17	2.91	1.73	2.13	2.41	4.57	2.25	2.44	3.53	3.35	2.85	2.85	4.9	3.04	4.27	3.95	4.51	7.73	5.46	6.2	3.64	5.34	4.51	3.2	2.89	3.34	4.48	24.39	73.65	54.8	67.67	17.48	28.14	3.51	4.42	11.29	3.37	12.17	1.89	2.92	4.82	1.51	5.86
Olfr613	41.09	50.22	21.6	48.02	101.01	49.38	62.58	50.04	67.51	180.95	161.42	75.83	60.38	84.18	66.94	39.2	56.31	47.35	40.37	20.38	34.77	43.94	33.95	40.54	37.4	34.94	43.91	49.06	36.87	33.51	44.33	54.81	48.4	39.88	51.05	53.88	54.07	37.15	36.16	33.94	27.78	32.98	32.83	37.24	35.84	169.53	560.75	402.72	679.38	213.58	414.44	21.32	35.27	59.36	41.91	49.66	40.03	37.46	24.44	14.32	44.68
Olfr856-ps1	106.27	106.18	52.71	84.85	340.44	85.94	268.96	295.9	156.29	467.21	677.76	222.07	188.57	179.24	166.03	56.66	110.97	97.92	37.06	43.84	61.36	33.3	111.04	137.09	78.62	86.91	84.61	99.67	64.54	105.37	142.59	109.38	164.81	97.17	85.27	153.04	77.4	83.02	93.55	62.94	81.74	160.83	70.08	55.33	110.17	342.31	1524.7	1896.55	2008.72	306.3	772.36	86.08	105.25	191.85	82.24	268.28	80.23	91.0	85.99	46.08	158.31
Onecut3	0.39	0.95	0.23	1.05	2.06	1.05	0.64	0.44	0.52	3.17	2.75	0.54	0.42	1.71	0.99	0.62	0.25	0.86	0.3	0.12	0.48	0.7	0.16	0.52	0.58	0.78	0.47	0.58	0.41	0.74	0.9	0.52	0.45	0.49	0.37	0.45	0.56	0.85	0.28	0.33	0.81	1.0	0.41	0.87	1.0	2.55	8.26	2.92	8.88	4.96	5.41	0.41	0.59	0.39	0.48	1.86	0.26	0.3	0.39	0.12	1.01
Pde4c	0.8	1.95	0.81	0.93	3.98	1.4	2.9	2.1	2.1	5.26	4.37	2.72	2.17	2.5	3.22	0.77	1.82	1.28	0.81	0.87	1.23	0.94	0.44	1.01	0.84	1.34	1.54	2.09	0.96	1.01	1.1	1.18	1.21	1.57	1.36	1.84	0.92	1.49	0.44	0.84	2.08	1.61	0.94	0.93	0.97	12.61	27.26	14.9	25.91	17.24	21.08	1.06	1.08	2.04	1.82	7.1	0.5	0.46	0.74	0.79	3.61
Phex	0.16	0.79	0.26	0.48	0.9	0.18	0.5	0.7	0.1	0.41	3.63	1.55	0.34	0.66	0.26	0.13	0.17	0.48	0.37	0.33	0.17	0.41	0.12	0.77	0.05	0.08	0.56	0.23	0.35	0.45	0.67	0.29	0.2	0.22	0.22	0.24	0.81	0.66	0.22	0.24	0.32	0.32	0.15	0.42	0.25	30.69	7.8	3.72	6.55	4.01	4.4	0.23	0.41	0.46	0.29	0.28	0.41	0.68	0.11	0.47	0.62
Pi15	10.02	13.78	1.67	13.93	29.66	15.27	14.59	16.94	23.68	44.52	60.11	16.73	19.76	15.64	20.51	10.3	9.98	9.19	16.19	10.17	7.13	15.06	9.99	22.41	8.81	10.06	16.11	9.94	10.43	12.49	10.69	8.52	10.7	10.32	10.66	19.22	12.48	11.34	13.95	10.51	13.46	8.3	7.87	9.23	9.91	86.51	223.44	147.8	216.91	94.14	119.68	7.66	11.28	14.01	8.97	36.81	8.6	9.01	7.11	6.46	28.66
Pot1b	16.3	16.03	7.5	9.86	56.65	16.38	21.58	23.38	17.31	39.05	116.95	32.0	18.81	16.18	21.07	10.99	9.86	11.01	8.12	5.35	3.71	10.76	12.9	23.81	13.12	14.81	21.67	22.46	11.77	14.36	15.42	10.88	18.78	13.45	8.41	23.71	7.19	18.83	8.53	11.24	13.73	12.04	11.12	9.7	15.95	95.89	264.28	157.69	353.87	187.99	294.87	10.06	10.23	30.81	9.09	50.42	10.29	5.27	3.95	20.74	98.18
Ppp1r12b	8.79	16.62	1.84	6.98	24.23	8.18	17.28	19.9	54.31	26.71	52.19	15.95	16.0	11.33	6.5	10.2	18.57	15.04	6.17	4.59	5.21	6.57	5.68	13.33	5.34	5.81	9.88	4.58	5.0	8.25	12.83	10.5	8.29	9.46	6.9	6.83	15.32	29.09	10.58	7.39	9.82	8.95	7.44	6.86	12.13	45.74	264.94	182.31	592.06	64.97	237.85	8.79	6.55	34.55	9.71	19.2	6.07	8.94	10.1	8.9	13.32
Psg28	8.4	10.26	1.14	6.94	19.74	10.81	10.92	20.8	18.24	16.15	34.78	10.89	11.37	12.06	15.11	8.32	11.15	8.17	8.35	5.86	5.9	9.43	5.35	11.47	5.93	5.47	8.49	4.44	7.51	10.4	7.04	8.89	7.05	9.98	5.67	10.24	6.03	13.98	7.09	2.08	9.8	8.46	10.37	8.41	5.74	44.61	62.11	84.55	150.16	88.87	102.01	4.26	5.76	11.35	4.51	14.13	3.04	4.43	6.29	3.69	13.62
Ptpn7	0.35	0.26	0.5	1.45	2.21	0.87	1.4	1.82	1.04	4.41	7.29	1.82	0.8	2.06	1.07	1.38	1.27	0.88	1.03	0.42	0.4	1.04	1.24	1.98	1.29	0.59	1.38	1.28	0.94	1.1	0.61	1.89	0.46	1.65	1.1	1.73	0.77	1.24	0.71	0.97	2.39	1.12	1.3	1.63	0.83	12.55	23.36	14.82	12.39	9.62	23.15	1.02	1.0	1.21	1.14	3.33	0.97	1.12	0.22	0.25	1.48
Rdh1	13.02	17.69	3.05	17.75	59.56	21.98	18.21	32.56	29.2	55.74	112.38	36.07	20.35	36.42	27.01	13.27	15.36	11.26	33.67	10.78	17.45	24.34	14.97	29.68	11.95	15.61	26.52	14.37	18.44	19.37	15.06	17.26	20.17	15.02	14.22	25.62	22.24	17.23	12.32	14.85	18.21	14.15	11.6	11.71	14.7	156.88	346.4	213.95	392.21	187.12	180.44	15.94	18.15	22.06	15.77	57.79	12.21	14.62	8.58	11.72	37.2
Rdh18-ps	4.36	8.03	0.49	0.36	21.72	11.84	0.97	7.85	8.56	10.74	12.9	14.11	13.56	1.13	0.0	2.51	1.4	12.36	0.03	0.0	7.1	2.09	0.0	2.62	5.26	0.74	0.55	4.52	2.76	11.58	7.88	0.86	3.29	2.8	0.0	0.0	6.08	10.9	2.27	1.89	4.22	3.45	4.35	0.82	3.7	11.33	3.45	32.33	29.75	4.06	12.47	6.38	0.62	4.2	0.0	12.63	2.77	0.25	0.25	1.87	17.64
Scn8a	11.11	1.62	10.93	22.85	64.56	28.61	33.93	51.93	12.61	29.1	99.88	22.14	25.38	17.84	32.81	19.35	27.62	14.51	0.62	4.45	0.83	0.84	22.26	37.81	14.66	43.77	9.12	27.8	4.12	1.37	14.2	21.33	4.46	33.7	11.53	35.75	0.0	35.78	11.16	6.99	9.25	1.12	9.79	7.0	10.7	95.39	102.53	219.46	61.98	161.74	143.36	0.0	8.24	26.53	17.18	15.79	24.0	45.36	1.44	10.73	26.69
Sh2d4a	0.39	2.5	0.16	0.55	5.51	2.21	2.31	2.48	3.44	4.94	9.74	0.16	1.7	1.39	2.74	0.37	0.95	1.45	1.25	0.56	0.46	1.1	0.44	1.53	1.58	1.58	1.19	0.75	0.45	0.42	0.66	0.63	1.32	1.0	0.37	2.17	1.22	3.82	0.27	0.79	0.62	1.81	0.22	0.48	1.24	5.91	15.34	14.59	23.22	13.65	16.24	0.62	1.04	1.31	1.39	4.79	0.4	0.54	0.33	0.51	2.26
Skint4	5.58	2.81	2.19	3.6	12.17	6.18	8.03	5.78	11.79	18.59	29.95	10.27	11.12	5.23	4.96	3.8	3.71	5.45	8.6	3.64	2.58	5.28	2.93	4.92	4.85	3.47	6.0	2.37	4.1	3.12	2.24	3.84	3.67	5.25	2.1	7.83	8.39	4.05	5.69	4.92	4.32	4.84	2.66	2.74	4.5	29.21	47.94	115.61	101.87	34.78	48.11	4.34	2.69	4.75	3.08	8.33	1.76	1.57	2.8	2.57	9.59
Slc10a1	4.79	14.19	2.16	10.26	23.95	6.75	15.21	7.51	13.55	20.59	27.42	19.31	13.92	24.32	16.17	5.56	8.78	8.2	10.6	6.8	7.05	4.68	6.41	12.86	11.97	9.16	14.43	12.65	10.91	10.99	11.61	5.19	7.29	15.81	8.73	5.13	7.31	11.9	8.54	7.83	10.27	6.48	6.2	9.65	5.19	54.6	88.71	126.18	177.46	43.19	45.3	8.08	12.64	6.62	9.99	19.14	4.02	6.26	8.2	6.88	13.73
Slc15a1	0.81	1.1	0.11	0.8	1.68	1.06	1.23	0.51	0.68	2.4	4.1	1.08	0.27	1.37	2.14	0.7	0.52	0.29	0.76	0.29	0.34	0.5	0.35	0.67	0.48	0.63	0.47	0.59	0.78	0.48	0.59	0.53	0.21	0.47	0.36	0.88	1.01	0.86	0.43	0.38	0.58	0.39	0.44	0.36	1.28	5.3	12.65	11.07	16.04	6.85	5.65	0.45	0.28	0.77	0.59	3.13	0.16	0.45	0.43	0.41	2.26
Slc1a7	1.61	0.86	2.28	1.68	4.84	0.97	3.16	4.26	1.53	1.79	7.75	5.9	0.78	1.54	1.05	1.48	1.15	1.08	1.58	0.87	0.63	1.03	1.4	1.37	0.57	2.79	3.09	0.44	0.55	0.88	0.7	0.59	0.0	0.53	0.81	1.06	2.14	5.03	0.87	0.59	1.51	1.4	0.69	3.02	1.54	7.63	9.19	13.97	28.67	5.28	3.73	1.56	1.59	1.47	3.32	5.36	2.31	1.02	3.04	0.44	1.31
Slc23a1	3.54	5.85	2.29	8.81	17.61	7.28	4.64	9.87	6.7	11.33	28.2	8.85	5.82	7.12	4.19	4.76	3.85	3.31	4.49	1.68	3.54	4.9	6.84	6.14	4.22	5.63	5.59	2.64	2.97	2.9	7.27	3.79	3.61	4.35	3.19	5.5	8.97	7.8	4.91	3.05	4.06	3.42	2.57	4.93	5.83	21.72	96.77	60.66	57.73	38.98	37.92	3.41	5.03	5.52	3.35	11.35	3.75	3.94	3.36	2.34	7.17
Slc28a3	0.19	0.97	0.64	1.32	2.59	2.63	1.69	1.55	0.83	4.81	5.2	0.95	1.7	1.53	1.81	0.89	0.76	0.46	0.72	0.84	1.12	0.94	0.94	1.65	0.69	1.23	1.7	0.97	0.61	0.67	1.94	0.72	0.56	1.29	0.4	1.16	0.35	1.0	0.1	0.59	1.6	0.17	0.48	0.97	1.16	6.15	23.18	19.92	20.89	6.45	8.85	1.07	0.98	1.46	0.5	1.59	0.5	1.04	0.88	0.15	3.91
Slc6a18	2.0	1.99	1.12	2.56	10.12	5.58	4.9	5.18	5.32	10.95	16.29	10.0	5.15	5.94	2.92	1.59	1.75	3.64	5.75	2.19	2.38	4.23	2.05	4.67	2.06	1.85	3.82	1.59	2.18	1.12	5.94	2.55	1.41	1.25	1.45	5.3	1.93	2.86	3.18	3.28	2.58	2.98	2.47	2.75	1.79	24.63	48.64	51.11	47.72	24.54	20.52	2.21	3.69	5.46	3.4	7.4	2.58	1.67	1.93	1.3	2.75
Slfn8	4.9	1.81	0.59	4.94	9.19	5.2	2.85	8.24	9.78	5.27	19.49	5.43	3.49	5.77	6.48	3.9	4.61	3.03	4.88	2.39	3.77	4.01	1.51	1.62	1.56	1.86	3.14	2.59	3.11	2.21	3.16	2.4	4.47	2.61	1.79	1.85	1.74	4.76	2.57	4.19	3.87	4.13	2.73	2.55	5.03	9.76	57.2	32.61	61.7	28.93	86.55	4.82	1.36	2.79	2.75	5.67	2.89	0.28	1.2	0.84	7.62
Sp110	7.42	12.62	1.4	7.81	18.25	11.36	7.57	5.47	15.08	24.64	42.08	9.48	4.95	5.76	17.43	16.04	4.49	13.6	3.19	2.26	2.52	3.96	6.32	9.36	6.6	7.36	6.64	9.1	6.96	8.86	10.93	16.21	5.01	6.89	8.83	8.9	8.72	9.55	3.85	4.06	5.83	4.57	4.8	7.84	9.78	69.11	108.25	59.25	86.64	89.39	159.85	6.9	6.7	5.92	3.91	20.86	9.98	8.16	8.23	2.36	6.75
Spc24	12.64	21.44	4.18	18.45	31.82	13.5	19.79	33.71	22.02	37.41	71.16	21.08	20.54	34.7	33.41	10.17	8.73	13.58	10.13	9.46	10.69	12.75	11.18	15.77	12.08	7.24	14.86	11.78	17.76	18.03	21.05	15.88	21.66	20.62	7.99	12.22	17.46	22.08	15.81	16.7	15.62	13.54	7.93	18.21	14.74	137.88	264.44	182.07	372.86	99.42	185.02	13.62	11.51	22.42	10.4	68.49	8.48	15.85	9.76	7.66	32.86
Srsf2	242.81	297.26	102.87	245.62	912.06	758.9	720.21	1006.2	557.9	1406.82	1231.08	1316.62	553.74	685.96	486.49	127.1	198.74	171.03	335.96	321.32	409.35	279.84	297.03	358.99	279.67	105.96	155.82	136.1	312.55	205.09	614.24	297.71	298.31	172.86	380.67	337.9	565.07	183.02	160.13	220.6	112.23	473.24	116.89	43.72	261.83	337.66	1480.82	1401.22	866.05	763.78	834.44	349.85	274.67	658.88	297.67	573.58	191.59	265.21	214.19	118.71	582.24
Strbp	56.49	42.39	23.08	47.47	174.79	152.41	182.06	100.13	164.33	115.67	369.7	109.6	72.44	96.11	75.76	42.02	29.42	81.24	45.24	28.62	24.53	68.11	29.52	62.06	67.87	68.43	76.77	88.4	46.42	42.23	160.99	58.92	28.34	37.57	19.54	29.48	30.12	90.93	44.91	33.68	90.46	110.31	64.97	25.57	70.52	184.73	1325.84	144.56	613.32	94.42	143.77	32.58	38.72	94.45	54.26	58.7	55.77	53.58	36.91	32.28	73.21
Tigit	12.05	13.33	4.96	8.51	58.62	10.37	18.56	6.78	24.65	37.67	81.88	19.46	17.21	28.72	34.25	6.06	5.96	6.94	14.44	3.96	7.68	7.22	10.48	10.42	7.49	10.92	29.09	14.01	9.97	11.83	18.95	22.7	12.04	13.96	8.07	21.87	14.58	14.69	7.39	6.73	11.53	13.09	4.38	12.05	11.82	124.32	214.4	121.62	194.04	126.15	248.07	7.82	4.57	12.55	14.05	20.99	8.05	16.67	7.39	4.22	21.16
