	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_58	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_29	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_59	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_27	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_40
Myo1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.52	0.0
Ncald	239.8	971.15	248.36	301.85	192.47	256.28	373.69	257.09	353.67	143.27	8.03	347.43	398.61	210.14	359.56	108.77	128.06	128.51	430.44	330.6	270.92	244.24	488.87	5.92	474.75	346.37	62.24	191.06	399.15	1372.53	1894.96	947.48	1041.66	1058.08	1611.01	2028.98	1464.91	1889.42	659.1	155.66	819.51	531.28	616.13	320.45	978.05	853.81	584.46	648.79	540.82	469.41	330.55	385.65	600.96	562.62	356.09	357.06	321.91	187.67	451.58	376.86	358.48	498.22	1241.71	485.22	403.93	135.46	303.47	607.81	367.29	718.79	108.37	1161.28	1026.73	1164.61	1114.79	972.99	1321.55	891.34	773.19	1012.98	860.33	1262.88	1134.7	1213.82	644.12
Nfia	0.0	6.15	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.52	0.14	0.0	0.0	132.86	83.9	235.5	72.38	193.36	69.7	85.11	111.86	131.54	10.58	0.22	0.0	0.11	2.93	13.12	17.76	0.04	0.0	0.17	7.66	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	7.46	0.0	118.46	0.0	0.0	0.0	0.0	0.0	0.0	147.67	0.1	142.97	134.97	131.56	131.48	113.28	108.45	111.67	97.54	118.15	94.09	178.6	150.54	154.44	0.03
Nfib	53.92	33.82	0.01	0.05	0.03	62.44	0.0	0.0	30.4	0.0	0.0	0.0	56.12	0.0	0.0	0.0	0.02	0.0	38.61	0.0	0.06	0.05	0.11	31.68	0.0	0.21	0.15	47.12	1.41	154.61	244.43	282.72	135.57	336.92	226.59	224.13	315.33	296.58	6.13	0.0	27.69	84.86	26.88	0.29	0.05	13.4	62.16	24.98	0.72	17.71	0.0	0.0	33.2	0.56	0.0	0.02	6.13	0.0	0.0	13.67	3.37	0.1	157.33	0.0	0.0	0.0	1.18	0.24	0.08	217.74	0.27	224.49	196.57	312.69	167.16	185.55	281.91	233.3	151.04	186.96	138.64	333.81	218.53	203.8	91.43
Nhp2	120.43	9.63	17.64	14.07	97.88	292.91	0.0	109.17	0.0	78.62	38.6	133.17	0.0	65.33	0.0	86.47	227.45	106.5	91.87	100.35	47.14	103.52	0.0	400.99	0.0	0.0	0.44	90.94	246.88	119.55	60.67	187.12	96.67	166.73	56.02	195.71	97.34	279.99	70.0	232.68	194.73	225.67	83.43	1.3	72.29	159.27	205.42	190.33	37.67	186.23	123.45	0.0	56.18	63.06	157.52	39.25	0.25	91.51	0.0	97.62	113.47	0.0	381.38	0.0	387.38	179.52	197.72	223.29	202.12	118.36	0.0	229.01	239.43	133.41	232.5	237.16	155.91	172.56	238.5	210.06	188.69	191.52	203.96	188.23	170.62
Nipsnap1	212.23	286.31	197.62	6.39	294.4	139.18	389.38	56.36	142.16	143.4	0.0	0.22	181.28	0.0	0.0	390.69	398.15	192.47	136.62	0.4	8.77	332.86	0.79	660.16	119.24	0.24	111.9	295.61	407.62	116.44	117.86	264.43	120.03	75.48	104.81	253.75	173.53	158.51	320.75	126.08	156.21	258.93	99.1	144.23	102.05	466.44	508.52	142.01	182.96	180.68	81.71	399.65	226.32	87.41	456.36	171.14	193.3	168.26	304.11	221.48	69.58	283.75	1.36	397.64	459.34	261.08	287.83	104.15	3.09	323.7	146.35	197.85	182.94	192.86	172.98	165.72	221.67	179.4	319.19	219.42	171.42	205.06	197.89	176.3	85.25
Nlrp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.98	4.28	0.0	13.23	7.29	0.0	0.15	0.87	1.28	0.05	5.58	1.79	7.04	0.0
Nos1ap	0.0	5.74	4.5	0.07	0.0	0.0	3.84	76.32	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.93	80.67	5.92	0.0	35.59	0.0	0.0	0.15	0.0	0.0	0.0	0.0	43.01	64.55	59.79	25.95	22.7	100.56	101.42	64.5	96.94	1.8	0.0	43.4	9.72	2.71	10.36	0.0	7.39	0.0	0.54	5.76	0.14	0.0	0.0	0.35	6.63	0.12	0.0	0.16	0.0	0.0	0.0	0.0	0.0	109.42	0.0	0.0	0.0	0.0	0.4	21.34	62.34	0.0	74.32	63.28	57.63	57.6	50.7	68.18	84.08	61.86	52.47	78.78	38.74	52.38	52.04	0.0
Nptx1	0.73	119.74	77.62	0.09	0.1	1.0	0.21	162.2	109.95	0.0	0.0	0.0	13.71	0.11	0.0	0.08	4.3	105.69	57.17	127.25	98.46	0.07	30.46	52.76	0.4	106.82	30.73	3.35	0.0	12.95	75.07	65.49	32.37	99.53	7.08	243.48	187.98	43.25	100.1	104.36	17.23	0.05	56.99	26.84	51.81	45.99	2.42	17.28	26.9	46.6	9.41	39.16	0.8	0.06	31.79	36.45	33.99	0.19	5.53	1.41	53.76	23.16	133.76	0.0	64.4	13.89	38.02	83.09	4.13	166.84	0.0	84.8	140.04	103.28	99.6	85.33	155.78	122.58	82.97	104.73	130.22	76.51	86.04	78.5	0.0
Nrp1	0.0	36.99	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	179.53	46.45	156.29	69.97	63.44	58.17	0.0	73.45	102.68	99.17	30.3	0.0	47.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.33	0.0	0.0	78.47	0.0	0.0	42.79	0.0	0.0	0.0	0.0	0.0	0.05	79.87	0.0	74.65	66.75	99.89	94.79	62.08	62.79	64.41	47.8	80.63	42.1	86.26	70.4	65.12	39.13
Ociad2	213.31	665.31	225.32	379.84	152.25	254.6	361.45	78.69	257.86	474.25	365.17	470.86	279.89	27.83	414.96	381.92	450.43	477.33	336.96	210.95	457.96	394.01	241.91	305.79	208.82	389.38	335.81	265.14	84.91	583.16	563.61	429.93	569.24	727.51	612.32	298.52	197.35	396.28	246.34	573.11	168.34	92.9	273.12	623.7	332.77	143.21	72.74	149.75	297.65	549.77	229.0	357.8	49.71	26.99	303.76	168.92	345.1	165.42	131.24	243.62	237.96	227.65	109.65	287.72	257.43	68.34	432.78	61.94	135.09	490.23	102.71	361.51	269.95	447.27	427.88	336.89	386.2	281.8	295.61	216.7	204.32	368.02	353.78	339.51	196.95
Pde1a	3.66	241.93	68.44	181.92	20.38	217.59	3.49	0.64	101.25	0.2	0.34	0.37	0.35	113.94	488.6	1.61	232.52	1.55	1.06	0.0	1.49	0.78	0.72	1.84	0.41	1.96	0.47	0.24	1.21	887.47	206.99	519.37	391.17	727.38	843.04	783.66	539.85	677.78	638.1	679.12	702.66	0.89	312.05	226.95	19.38	363.02	1839.74	660.71	649.23	66.28	173.66	0.78	0.8	0.35	2.86	1.11	2.34	0.57	0.71	0.0	0.85	1.33	877.39	0.55	1.35	0.97	0.68	1.63	0.65	944.12	103.2	814.94	607.37	666.8	487.07	582.88	629.81	441.74	626.86	667.82	683.61	554.82	457.56	457.83	72.45
Pdlim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	121.57	80.6	155.76	88.86	314.66	0.0	186.69	164.27	1.97	0.0	0.0	0.0	0.42	0.43	71.8	0.0	0.0	0.0	0.21	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.19	47.93	0.0	0.0	0.0	0.0	0.58	0.0	112.55	0.0	220.51	309.8	268.34	174.32	227.67	155.27	87.35	84.49	24.72	54.69	65.81	111.49	149.38	0.0
Pitpnc1	108.6	3.91	0.0	0.0	43.83	3.36	1.06	33.79	0.84	0.0	0.0	20.41	16.19	4.07	112.73	3.86	0.0	21.43	0.0	0.34	26.06	0.06	0.08	45.94	0.0	14.63	13.44	0.04	12.32	429.15	119.27	172.95	76.13	30.52	124.22	213.91	243.19	139.62	4.55	77.27	0.0	48.9	28.98	61.88	179.2	103.83	34.83	89.85	123.84	56.41	11.35	6.0	68.91	0.0	0.52	0.16	21.23	1.7	11.3	9.39	1.26	1.96	368.23	8.7	0.0	0.0	20.2	0.21	1.03	173.45	280.15	185.86	123.22	124.4	96.16	170.29	99.54	143.67	117.29	113.82	90.15	254.83	198.77	240.23	1.2
Ppa1	328.66	442.86	245.37	10.44	0.18	447.37	4.2	159.79	377.93	12.69	34.31	1.32	3.08	0.45	701.33	165.24	130.01	73.0	246.75	3.5	123.02	271.64	2.08	557.4	286.42	211.52	148.65	173.11	34.94	562.97	334.96	252.41	380.36	142.41	226.08	11.19	450.26	330.63	127.27	498.92	14.96	153.58	152.48	40.93	419.91	126.26	691.68	258.93	350.28	97.51	73.63	132.36	118.77	354.97	280.67	167.55	124.71	94.08	122.14	62.12	120.96	252.12	216.53	0.77	220.01	176.39	418.49	3.14	164.45	100.22	353.66	295.51	291.9	388.79	373.73	357.08	272.3	208.66	239.9	327.09	338.43	284.58	314.39	282.56	35.26
Prkag2	10.28	67.62	59.99	0.0	0.0	0.0	0.17	92.56	121.07	0.0	0.0	0.0	10.38	0.0	0.0	1.14	19.86	0.0	0.0	1.31	0.24	31.27	68.41	20.23	0.0	55.05	0.0	0.0	0.0	11.4	7.59	125.81	80.49	0.15	0.0	1.4	15.98	103.6	1.2	99.33	0.05	122.39	71.05	0.0	0.0	31.18	0.0	0.0	57.91	5.27	15.6	126.81	0.04	0.0	42.72	0.0	38.56	118.41	18.11	0.1	0.0	0.0	68.74	0.0	0.0	0.0	0.81	62.57	237.98	1.7	0.27	34.34	17.2	33.04	35.95	46.9	63.36	50.16	48.66	26.27	40.34	41.64	47.97	39.07	136.79
Prkcb	34.11	214.13	154.9	136.38	32.18	82.27	4.28	67.83	30.73	21.13	16.47	50.32	160.94	209.19	83.27	4.07	106.55	60.11	98.31	107.95	227.56	135.5	156.55	78.96	66.49	213.83	112.64	81.32	46.56	353.43	383.22	269.14	317.53	348.32	315.78	200.66	205.22	436.12	219.62	126.89	181.53	69.71	79.43	125.91	304.64	207.97	65.69	128.73	153.42	180.01	107.1	68.75	109.48	27.12	84.16	177.81	11.53	95.29	119.58	78.99	23.61	94.5	287.67	3.01	20.19	101.03	151.7	68.09	17.05	235.48	38.35	309.5	267.34	322.54	387.42	298.74	313.34	329.4	217.93	257.9	281.09	279.7	261.35	235.19	27.77
Prkcc	0.0	27.95	0.0	0.04	0.0	0.0	0.0	0.0	0.15	132.39	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.12	37.68	0.0	0.0	0.0	0.0	0.0	19.34	0.0	0.0	0.05	0.0	123.9	7.48	198.23	99.88	243.74	238.21	91.76	433.01	393.25	5.98	0.0	145.11	309.84	28.44	0.0	46.44	0.25	276.63	58.15	66.11	33.82	0.0	0.0	0.1	0.08	0.06	0.15	0.32	0.0	40.0	0.0	4.97	34.34	181.51	0.0	0.0	0.0	0.0	43.08	0.17	127.24	25.94	256.12	190.63	313.37	249.21	181.88	219.56	209.75	156.03	149.97	200.79	197.02	237.03	205.52	382.48
Psma3	692.58	544.63	963.71	511.35	576.81	563.9	160.83	672.95	745.88	399.0	618.3	1080.68	822.99	701.55	653.75	704.56	1099.28	631.99	207.09	143.45	913.21	1026.01	733.56	159.05	664.81	125.82	483.44	394.35	366.69	756.92	945.61	1006.23	643.92	1010.27	726.89	675.14	859.26	443.83	698.59	896.12	877.07	661.75	1003.0	487.22	643.87	674.73	379.24	849.92	561.96	685.28	582.76	348.35	328.6	726.55	644.98	449.66	576.12	788.38	466.82	536.97	517.55	384.57	183.74	259.28	855.1	602.98	434.42	971.57	1246.22	474.2	352.16	827.93	687.48	713.84	722.67	786.25	722.4	697.44	869.55	813.04	902.58	695.04	630.54	590.48	295.54
Psmb7	576.69	499.11	395.68	172.33	120.05	229.48	349.32	431.71	184.6	204.1	382.99	137.84	119.75	231.63	204.26	594.58	232.27	332.64	156.93	361.57	393.94	400.24	378.13	288.92	351.28	365.89	118.24	305.98	172.8	178.44	124.62	350.58	141.04	438.62	344.27	207.87	488.3	339.11	216.55	203.7	407.91	752.92	354.29	256.74	599.18	508.32	365.08	306.54	386.47	324.34	106.82	294.99	863.52	236.84	371.2	130.77	137.97	1.07	231.4	0.24	29.45	314.03	344.05	167.87	343.27	238.9	232.39	509.47	3.45	445.8	151.7	383.61	319.07	299.75	408.38	365.42	296.72	361.54	386.62	320.83	347.62	216.52	343.0	280.51	178.51
Psmc2	149.18	240.58	440.12	133.86	230.26	0.21	793.26	217.11	288.82	121.85	67.46	485.56	664.71	433.11	471.57	116.45	171.69	205.58	232.84	456.79	175.47	367.77	0.56	570.53	805.75	784.31	221.96	681.64	31.4	430.28	315.87	429.94	693.69	351.86	780.73	212.35	379.26	663.16	290.9	588.21	333.02	251.05	270.59	334.22	154.45	429.41	724.43	335.85	330.88	372.68	39.8	728.68	217.58	203.84	199.82	301.35	266.99	204.14	173.98	393.98	496.45	259.74	293.64	459.11	312.93	0.0	205.07	321.2	433.89	335.28	451.64	448.71	438.03	505.35	445.41	470.38	453.77	424.1	333.73	407.46	504.22	387.02	414.75	420.29	136.46
Psmd14	594.71	272.05	97.47	668.3	750.74	788.35	252.11	512.41	352.8	835.84	359.74	485.26	776.6	898.46	282.1	998.15	325.24	323.09	349.53	195.49	1131.62	558.84	345.08	578.11	159.23	436.99	1302.68	107.99	927.79	544.11	489.33	654.8	990.04	984.38	583.26	146.67	551.57	694.16	832.57	483.43	628.78	364.22	481.67	390.09	501.14	60.83	225.02	616.62	870.43	499.12	196.95	198.4	435.4	279.95	898.64	757.92	710.36	427.09	281.78	202.77	188.79	296.65	866.48	595.19	624.11	247.41	566.71	292.83	780.51	1444.96	534.56	834.35	835.94	656.66	673.5	585.91	613.92	805.14	617.43	600.98	662.41	753.78	665.98	639.86	86.21
Ptchd1	9.1	146.76	270.91	60.6	73.69	35.35	0.0	39.32	0.0	70.2	0.0	0.0	27.17	50.82	0.0	0.03	398.97	226.24	124.5	292.64	347.58	28.23	121.11	50.73	0.0	56.16	46.76	112.85	22.31	3.68	407.98	205.07	250.8	43.05	174.58	126.38	175.53	334.58	93.25	0.0	102.9	44.07	55.44	26.19	68.55	52.6	565.58	42.39	116.37	79.01	0.0	0.0	117.16	100.34	0.05	66.98	0.24	0.0	47.51	0.0	27.4	49.08	45.66	0.0	0.0	0.0	77.95	114.06	0.03	326.65	0.09	208.67	207.66	249.82	157.68	138.43	190.38	161.91	72.75	152.68	65.71	388.53	201.89	237.57	94.17
Rab26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.96	0.0	0.0	0.0	271.36	0.0	0.0	0.0	0.0	0.0	79.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.57	0.46	66.56	2.11	0.49	68.31	23.97	199.55	5.03	3.99	0.0	25.85	0.0	0.0	0.0	82.14	6.85	278.93	192.94	0.0	0.0	0.0	0.0	0.06	117.68	0.0	0.0	5.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.82	118.45	80.97	82.86	100.33	131.7	135.96	82.98	128.13	20.67	24.41	59.23	73.7	0.0
Rai14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.66	15.14	0.0	0.07	50.96	0.0	48.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8	25.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88	7.88	20.19	12.86	11.18	20.86	12.99	11.23	11.64	6.3	32.35	12.68	14.72	0.0
Ramp3	0.0	0.24	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3	140.69	4.43	108.51	83.97	135.53	0.77	172.39	108.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	37.3	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	71.44	171.8	244.32	158.81	153.04	115.42	276.68	319.31	275.17	309.35	176.1	243.52	244.29	0.0
Rap1gds1	311.66	78.29	191.96	117.5	70.44	0.11	73.02	112.03	68.91	306.32	414.82	0.0	59.56	269.28	300.83	5.43	284.74	225.41	116.12	285.33	494.09	401.42	287.45	23.38	95.53	0.55	39.93	35.91	169.42	289.85	165.55	280.24	382.24	399.14	114.62	469.09	351.56	176.22	268.2	369.22	357.47	16.8	212.06	352.92	247.99	168.71	874.25	56.52	382.68	140.08	0.8	5.58	82.4	329.45	6.23	78.45	189.38	61.36	130.82	172.32	189.89	710.98	123.69	378.68	272.24	232.03	6.21	236.73	149.4	348.7	0.17	210.7	177.76	264.42	173.43	270.92	352.98	263.15	169.95	234.82	136.81	163.34	241.35	252.04	81.59
Rap2b	51.1	47.13	30.3	38.07	59.57	52.67	48.49	7.54	1.48	34.2	94.39	31.82	77.62	81.66	18.71	17.51	33.36	121.32	38.73	40.86	57.81	66.98	98.56	13.51	64.07	47.93	66.72	22.87	2.22	62.97	133.84	119.72	37.8	59.76	34.06	63.92	34.75	122.21	76.48	37.98	58.08	20.48	34.8	41.72	44.91	59.33	37.12	110.06	73.13	83.45	45.95	38.38	21.83	61.71	41.58	31.09	80.37	18.26	11.52	53.74	25.33	6.61	77.88	39.71	56.24	62.96	105.3	30.3	69.76	48.57	29.23	85.35	76.6	68.61	57.31	68.21	109.93	87.37	49.11	81.89	45.7	199.7	135.11	137.06	44.8
Rell1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.0	17.21	6.66	6.78	13.99	0.0	0.0	0.0	0.0	0.0	51.38	0.0	1.57	0.0	0.0	30.84	39.64	29.06	34.61	46.6	2.62	7.84	35.4	26.49	0.21	0.0	35.06	0.16	11.87	15.7	0.0	14.61	10.73	30.76	15.07	2.34	0.0	0.0	26.3	0.0	1.09	21.94	0.08	0.0	0.0	0.2	0.0	0.0	14.11	0.0	0.0	19.7	16.32	0.0	0.0	126.01	0.0	36.73	51.86	39.63	48.18	28.57	29.25	22.11	27.02	31.28	18.3	46.55	35.54	44.87	0.0
Rnf6	743.93	202.76	155.07	152.45	0.22	162.68	1.08	0.0	113.39	157.82	110.2	125.71	143.62	80.06	230.92	4.07	99.52	107.81	0.38	139.36	449.1	125.35	174.77	75.34	42.49	155.34	172.14	187.35	0.54	170.91	160.04	54.09	96.82	25.05	128.72	299.43	98.64	128.51	299.97	307.11	123.2	124.94	168.03	224.03	207.64	53.23	110.54	133.87	47.17	111.18	122.86	120.99	37.74	3.09	470.34	0.07	127.98	196.34	226.95	407.54	6.99	124.88	193.88	0.0	7.78	0.0	120.58	206.0	304.51	31.15	370.4	67.72	99.41	159.83	55.5	77.02	121.25	122.1	53.6	60.56	45.31	131.33	116.28	95.29	128.76
Rogdi	185.46	193.13	372.26	629.59	42.93	340.36	29.16	623.18	352.68	434.77	289.34	719.83	216.61	0.42	491.48	335.75	209.14	307.79	161.86	364.53	437.27	191.26	312.92	728.41	298.96	676.46	511.23	430.36	319.11	220.04	430.37	763.68	322.56	562.02	507.22	219.38	510.38	436.6	147.49	400.12	434.81	109.65	547.9	437.3	0.0	415.84	304.23	463.07	616.0	22.32	322.49	0.0	701.28	412.97	6.66	322.65	677.43	563.07	445.54	410.39	541.05	513.32	254.21	83.52	587.86	203.96	371.7	853.89	772.7	355.58	167.11	674.54	549.95	546.81	563.91	684.41	620.88	558.02	530.67	542.8	472.08	518.79	549.07	601.45	170.57
Rprm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.24	1.28	0.0	6.77	128.74	107.98	77.19	155.06	285.08	319.86	115.54	154.43	94.63	0.0	87.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.33	0.0	60.72	0.0	0.0	75.02	362.38	183.19	0.0	39.39	0.0	0.48	0.0	152.83	0.0	211.71	202.46	245.4	270.69	195.59	287.25	276.1	144.13	579.7	330.45	40.28	224.26	206.3	0.0
Samd8	138.76	91.68	50.82	163.61	16.08	28.68	0.77	63.96	75.05	23.84	109.95	70.17	85.5	111.72	32.22	69.54	44.75	0.6	0.94	126.56	56.03	149.12	10.16	24.55	0.89	46.31	88.61	31.8	27.01	8.94	85.53	103.16	69.14	32.46	68.19	40.6	3.64	75.68	45.73	39.01	61.12	46.71	35.57	62.09	41.37	80.41	71.03	97.91	68.9	34.97	214.3	2.97	75.93	6.31	2.74	95.09	10.77	55.69	141.99	43.88	5.45	78.69	23.43	5.18	155.05	35.88	98.11	121.72	87.69	23.6	49.24	60.16	57.91	88.71	53.19	67.51	81.26	75.97	44.67	71.26	38.89	99.04	62.59	56.16	1.14
Sema3e	0.3	0.05	0.23	0.19	0.22	0.31	0.0	0.39	0.0	0.0	0.23	0.5	0.25	0.16	0.42	0.04	0.31	0.25	0.3	0.11	0.23	0.12	0.29	0.39	0.21	0.13	0.2	0.04	0.11	0.73	38.47	36.43	0.05	125.0	86.86	0.28	20.95	118.47	37.74	0.3	0.33	0.19	0.13	0.09	22.54	51.65	0.41	11.18	56.45	73.34	0.0	0.18	0.2	0.02	0.1	0.26	0.08	0.14	0.0	0.07	0.07	0.12	37.14	0.0	0.16	0.13	0.24	0.13	0.14	173.97	0.04	18.95	32.58	51.65	26.37	16.61	22.43	49.68	40.59	17.25	24.34	44.77	28.72	34.32	0.33
Serpinb8	87.83	0.0	0.94	0.17	0.14	1.01	0.89	1.66	0.78	1.1	0.0	2.98	0.44	0.0	1.65	0.38	0.73	0.35	1.54	0.0	0.72	0.35	0.28	0.41	0.59	0.76	0.0	0.09	0.0	9.27	84.3	158.21	1.16	119.09	111.39	0.67	44.34	296.38	132.32	68.45	0.45	0.48	0.45	85.43	1.13	129.85	0.25	39.82	80.94	69.22	179.76	0.69	0.7	1.01	1.04	190.54	0.21	0.18	0.78	0.25	1.16	0.69	272.36	0.66	0.62	0.53	0.0	0.5	0.58	90.36	0.16	81.68	61.94	62.8	45.88	62.09	54.67	58.29	62.27	99.95	49.51	75.75	66.91	64.3	0.48
