	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Oxct1	152.79	103.4	0.0	24.86	23.27	10.15	98.53	1.17	0.0	14.67	654.69	78.29	9.85	445.78	165.94	133.83	88.18	110.66	108.5	103.03	177.08	168.75	78.48	107.5	202.23	145.91	219.64	129.53	118.9	256.73	132.09	98.7	165.93	250.77	42.99	136.73	81.51	176.68	43.58	88.3	118.26	37.72	141.33	80.28	36.97	102.57	227.71	214.01	53.35	241.39	65.87	20.58	99.93	66.56	107.57	16.74	165.79	256.29	128.07	128.33	123.52	80.74	0.0	4.51	0.42	4.35	237.85	234.89	230.25
Pacsin1	0.0	40.05	0.0	0.0	0.0	1.69	0.0	17.37	0.0	0.0	0.0	31.18	0.0	0.35	0.57	4.42	40.63	11.82	54.71	75.6	53.8	4.03	7.39	86.75	26.98	43.28	29.96	21.82	10.77	21.87	69.46	11.23	47.0	0.94	8.61	13.09	15.93	33.71	14.39	12.31	22.01	2.18	29.37	120.82	21.24	126.5	62.38	47.41	65.99	131.52	49.78	55.44	60.89	61.77	75.23	107.98	3.84	93.03	23.61	23.37	9.2	3.84	0.0	0.0	0.09	0.0	282.11	283.76	304.93
Pcdh7	3.87	0.0	43.65	0.0	0.0	11.8	0.0	15.21	0.0	0.0	63.63	5.79	41.37	0.23	30.77	4.46	10.63	0.0	34.12	32.74	17.98	0.0	32.3	35.42	14.24	49.95	88.1	38.87	19.11	72.42	14.69	14.67	10.14	33.66	36.16	2.53	20.36	32.61	39.42	29.6	32.6	22.12	1.62	55.04	0.5	44.92	0.9	28.3	7.7	60.09	22.6	0.0	14.27	0.0	8.76	6.84	8.31	52.43	31.49	64.26	0.77	8.68	0.13	0.07	0.38	0.0	50.86	49.1	53.42
Pde1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.01	0.0	0.0	0.0	1.28	0.0	0.0	0.0	18.95	0.0	11.14	0.0	22.13	0.0	0.0	2.15	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	1.45	23.29	20.29	5.95	0.68	0.0	0.0	0.0	0.94	23.52	0.0	0.0	4.24	1.07	0.0	36.16	5.09	1.66	0.94	0.0	3.34	0.0	0.0	0.0	0.0	0.0	0.0	245.53	258.71	247.87
Pitpna	11.53	0.0	0.0	17.2	0.0	10.52	13.45	196.48	0.0	0.0	0.0	105.04	0.0	0.32	171.76	102.58	71.66	66.51	99.95	45.33	55.4	136.37	125.16	145.65	156.34	101.45	74.36	58.43	78.19	106.32	31.17	21.96	64.33	6.31	119.4	97.64	114.53	65.58	143.25	67.35	111.95	69.93	66.95	67.44	72.6	107.71	114.43	45.28	59.18	71.91	30.91	185.51	68.19	135.42	102.08	46.24	141.51	201.04	146.83	56.63	171.72	104.45	0.0	0.0	0.1	0.0	225.42	225.66	222.62
Plcl2	0.0	5.17	0.0	0.0	154.68	0.0	0.0	0.15	0.0	0.0	0.0	23.82	0.0	0.0	22.67	24.91	0.0	0.0	14.39	15.11	9.62	0.0	0.0	7.36	15.56	8.7	0.0	2.84	2.78	28.33	0.0	0.0	26.2	0.0	20.83	14.63	0.13	0.0	0.0	13.67	0.2	9.01	11.48	21.7	0.11	55.53	0.0	29.77	0.0	0.0	0.0	0.0	21.71	0.0	0.55	32.0	0.0	31.19	30.03	1.82	0.0	12.97	17.71	0.0	0.09	16.21	48.89	47.95	46.14
Plxna2	0.0	0.0	0.0	0.0	0.0	1.19	0.0	35.55	0.0	0.0	0.0	5.72	0.0	0.16	13.43	0.0	0.09	6.78	5.88	7.96	0.0	5.49	1.42	10.73	1.26	16.23	16.33	6.55	8.1	12.1	34.39	3.97	0.79	41.83	1.46	0.47	4.88	27.64	0.0	13.33	5.25	1.17	17.07	4.59	8.69	24.2	15.83	0.39	1.11	0.51	1.44	10.53	3.67	2.66	27.56	0.47	0.0	1.19	21.46	22.7	33.55	4.69	0.0	0.07	0.23	0.0	47.46	43.4	46.56
Pou6f1	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.16	0.0	0.27	0.0	0.0	0.13	74.42	0.0	34.69	0.07	0.33	2.61	0.0	20.93	45.02	0.0	34.38	27.89	8.02	0.0	21.11	2.67	16.5	0.79	2.36	0.0	0.0	1.14	0.07	45.92	15.49	25.77	0.44	14.04	5.85	1.13	4.33	0.0	0.0	13.56	34.1	4.71	13.95	27.71	0.0	3.52	12.43	0.49	22.95	5.4	0.53	0.0	12.99	0.0	0.18	0.16	0.0	75.93	74.16	76.43
Ppm1b	0.0	0.0	0.0	36.41	0.0	1.62	0.0	108.34	0.0	9.47	0.0	9.5	0.0	0.0	5.61	8.9	19.43	111.92	47.99	24.24	0.0	73.04	77.19	60.47	0.39	24.72	52.03	21.58	26.65	45.7	0.24	44.36	32.45	72.48	14.21	29.74	2.58	61.35	38.01	29.51	56.86	0.12	7.46	11.93	61.12	156.06	104.14	0.73	17.18	75.97	9.11	35.32	3.31	99.44	0.0	0.0	54.44	75.25	44.7	20.35	1.73	64.77	0.0	0.0	0.0	0.0	107.35	104.81	105.18
Ppp1r1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.7	0.0	0.0	0.0	5.97	0.0	0.47	4.22	24.4	0.0	0.0	0.0	0.0	12.5	7.23	12.07	0.0	13.31	0.0	34.95	1.31	0.95	5.65	0.0	26.84	0.0	15.04	0.0	42.72	0.0	13.84	0.0	4.53	0.0	40.06	2.37	0.0	0.34	34.56	27.88	0.0	29.43	20.16	0.0	15.96	2.14	1.45	11.67	5.47	28.63	15.74	10.32	0.0	0.0	0.0	0.0	0.0	0.29	0.0	123.86	128.2	126.28
Ppp2r2c	0.0	20.89	0.0	0.0	0.0	31.24	0.88	60.01	0.0	0.0	0.0	27.79	0.0	0.15	7.01	16.92	25.82	24.19	38.66	25.41	32.21	56.74	44.47	25.5	23.26	26.47	17.43	10.48	5.92	61.59	55.08	85.31	3.86	1.65	48.53	61.62	72.02	48.24	95.25	44.57	79.87	63.98	123.84	23.78	51.08	77.67	52.2	77.89	26.18	38.5	39.33	4.43	11.13	31.66	40.37	32.57	30.0	23.86	69.56	10.34	174.1	43.28	0.0	0.41	1.0	0.0	446.28	420.01	458.99
Ppp2r2d	0.0	14.66	0.0	0.0	0.0	41.12	2.49	0.31	0.0	0.0	0.0	71.81	0.0	0.0	42.74	37.48	40.66	109.71	38.51	41.57	100.5	39.96	7.17	2.33	45.52	59.64	0.0	14.91	0.29	46.5	0.0	0.67	50.19	20.9	82.29	51.79	32.26	48.18	97.59	74.72	54.93	5.41	59.17	0.0	3.85	121.23	0.0	42.58	1.06	54.48	153.25	155.46	0.0	49.62	15.33	29.53	141.27	27.95	48.0	99.65	50.39	27.85	0.0	0.2	0.0	0.0	66.87	66.28	62.18
Prkce	0.0	0.89	0.0	0.1	0.0	21.84	4.89	108.56	0.24	0.04	0.0	38.63	0.0	0.38	57.2	29.01	2.92	36.24	26.9	55.14	54.91	45.32	44.87	28.08	26.82	66.56	63.13	72.86	17.37	24.63	0.24	36.28	100.06	23.91	37.4	37.01	55.61	69.04	15.93	31.97	12.17	15.45	29.69	25.61	28.57	54.03	35.1	53.63	34.59	27.33	12.85	46.27	27.51	32.04	39.5	39.46	37.85	96.4	58.8	81.95	77.93	31.32	0.0	0.29	0.21	0.39	203.76	201.38	207.81
Prr12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	5.1	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	18.87	0.0	0.35	0.0	1.59	0.0	0.0	0.0	0.0	1.02	0.0	0.06	0.0	0.0	0.0	1.7	3.1	0.0	0.0	0.0	0.59	1.4	0.0	11.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.08	25.31	25.2
Ptges2	0.0	0.0	0.0	0.0	0.0	0.0	76.34	0.0	0.0	0.0	0.0	44.21	0.0	0.0	78.1	46.72	0.0	13.33	74.12	4.38	44.2	0.0	0.0	0.0	0.0	0.0	11.25	0.0	37.06	18.12	0.0	11.61	1.08	0.0	0.0	0.84	11.41	0.0	69.94	14.41	0.0	0.0	0.0	0.0	5.85	0.0	0.0	0.0	1.11	0.5	0.0	0.0	0.0	0.0	34.18	2.31	9.16	88.18	0.75	0.0	0.0	1.21	0.0	0.21	0.0	0.0	36.65	38.21	38.88
Rbfox2	0.0	17.06	0.0	0.0	0.0	1.72	0.23	2.17	0.0	0.0	0.0	9.17	0.0	0.09	20.88	9.59	3.97	23.7	1.11	28.71	7.54	24.71	3.35	6.28	10.29	21.87	28.57	1.75	0.27	13.39	0.35	11.8	5.9	0.0	0.17	5.01	1.9	1.04	16.93	14.96	6.98	15.61	16.74	0.08	0.2	4.27	0.12	2.34	2.29	8.68	7.75	6.57	6.39	2.35	0.08	49.84	0.0	26.91	30.62	20.33	28.12	0.06	0.0	0.06	0.33	0.0	114.48	109.59	110.57
Rims1	0.0	13.05	0.0	0.0	0.0	25.88	0.0	33.11	0.0	0.0	0.0	15.88	0.0	0.0	40.04	35.7	9.93	28.13	17.99	0.0	27.35	47.93	109.16	30.15	30.03	27.7	34.29	9.22	4.82	54.16	0.37	58.62	34.58	14.81	7.62	91.91	87.3	1.06	3.78	23.5	84.84	43.49	33.7	31.37	14.03	86.08	1.23	23.15	51.4	24.67	31.08	30.08	33.93	1.45	70.57	57.51	43.43	146.86	127.44	73.43	20.58	63.72	0.0	0.0	0.0	0.0	204.32	173.43	223.79
Rnf11	0.0	9.94	0.0	0.0	0.0	81.38	15.57	0.3	0.0	0.0	741.93	164.85	0.0	0.28	66.44	18.85	78.53	162.25	90.62	7.27	61.11	53.36	87.29	47.4	73.96	18.9	74.03	69.35	47.38	74.93	257.03	61.25	8.87	187.36	140.72	0.0	115.64	70.1	68.68	44.88	69.1	13.85	2.3	84.25	59.8	85.4	43.24	129.15	35.12	37.22	67.7	114.79	48.18	0.0	1.06	71.01	93.22	170.42	64.12	101.84	40.98	42.85	0.0	0.0	0.0	0.0	267.55	268.6	261.45
Rnf165	0.0	0.0	2.59	0.22	0.0	0.0	0.0	0.0	0.24	0.51	0.31	4.08	0.17	0.0	0.0	0.0	0.07	0.06	0.25	0.11	0.07	6.97	0.09	0.21	0.13	0.07	0.21	0.07	0.62	0.09	0.42	0.19	1.9	2.82	0.0	0.11	0.12	0.18	5.09	0.2	0.19	2.91	4.0	0.14	0.18	0.25	0.11	1.55	0.39	0.19	0.0	0.14	0.15	0.62	4.35	0.44	0.22	0.04	11.13	5.64	0.44	0.06	0.0	0.09	0.2	0.0	24.71	25.79	25.0
Rnf208	0.0	0.0	0.0	0.0	0.0	2.07	0.0	63.4	0.0	0.0	0.0	12.23	0.0	0.0	17.74	34.43	54.26	127.64	45.84	62.65	0.42	42.75	0.0	23.66	12.08	32.29	0.0	17.38	1.38	60.14	0.0	9.5	42.07	105.66	0.0	18.39	4.84	15.08	44.86	38.97	35.4	2.19	0.0	49.51	7.35	75.68	88.48	51.64	14.07	84.5	23.36	51.48	0.0	54.2	73.48	39.33	5.5	36.73	48.93	69.29	0.52	35.94	0.0	0.0	0.28	0.0	124.6	138.39	125.1
Rnf39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	10.12	8.63
Rnf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.62	3.08	15.07	18.34	5.95	0.0	0.0	0.78	0.0	9.81	0.32	0.0	0.0	0.0	0.77	0.0	15.67	0.0	0.0	0.0	3.13	0.0	23.57	0.0	0.0	0.0	0.0	61.51	0.0	7.12	0.0	46.61	1.34	27.43	0.0	9.74	47.51	0.0	0.0	0.0	38.15	0.0	0.0	7.35	0.17	0.0	0.0	0.0	0.0	0.0	36.51	35.78	33.56
Rnft2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	14.25	0.0	0.0	36.38	0.0	0.0	0.0	0.0	0.0	4.07	0.94	5.1	0.37	0.0	22.93	0.0	5.82	0.93	0.0	9.33	1.64	1.48	0.0	0.0	0.13	16.15	1.02	16.13	0.0	13.17	3.2	3.75	17.38	1.4	7.1	10.05	0.0	3.28	0.09	0.0	0.0	1.54	0.57	5.35	13.1	0.0	10.04	14.39	0.0	2.25	20.1	0.24	4.86	13.1	0.0	0.0	0.0	0.0	58.46	59.35	61.39
Rragc	0.0	0.0	0.0	0.0	0.0	0.24	0.0	7.96	0.0	0.0	0.0	42.22	0.0	0.23	34.15	71.33	54.61	1.65	36.19	124.52	30.56	0.0	6.81	22.16	137.35	32.13	0.0	54.12	38.34	0.0	0.0	0.18	31.18	0.0	0.0	47.88	0.0	0.24	0.0	4.67	38.53	32.48	72.37	2.5	50.68	135.37	41.73	0.0	0.0	0.37	99.96	36.67	58.49	42.44	19.97	0.16	0.0	101.94	3.9	1.35	102.29	0.0	0.0	0.16	0.14	0.0	68.22	72.12	68.72
Rtf1	28.92	2.25	0.07	0.0	0.0	0.54	0.0	0.27	0.0	0.18	0.0	0.8	0.0	0.7	12.42	1.43	0.0	18.77	2.05	0.55	1.39	7.78	3.91	0.0	0.14	16.08	0.19	6.16	1.3	5.97	0.19	5.97	0.24	0.29	0.18	42.1	0.0	0.47	0.0	3.66	15.57	0.18	12.29	0.43	2.15	20.45	0.16	5.61	5.15	4.88	18.26	0.0	42.92	9.21	4.63	0.09	2.12	18.62	4.27	13.97	0.14	0.04	0.2	0.14	0.61	0.63	51.07	46.92	51.09
Scn1b	0.0	0.0	0.0	0.0	0.0	8.51	0.0	0.63	0.0	0.0	0.0	4.23	0.0	0.4	3.58	7.53	6.42	1.6	3.67	6.72	15.0	1.68	16.23	1.06	28.65	31.59	6.02	4.82	5.62	17.88	0.0	3.39	0.35	75.91	1.75	0.82	1.06	30.1	0.0	9.61	32.47	2.47	6.85	1.01	8.78	44.83	1.39	10.43	1.45	4.86	10.84	3.66	9.71	5.24	16.42	1.91	0.51	9.19	24.82	13.03	8.4	33.42	0.0	0.0	0.0	0.0	508.98	541.93	555.14
Scn8a	3.32	32.03	0.0	0.0	0.0	85.11	69.14	31.96	0.0	0.02	0.0	27.19	1.13	0.11	60.36	56.0	37.8	24.16	49.68	76.27	45.92	79.76	96.35	99.5	115.41	60.77	60.36	73.98	66.85	103.08	13.92	28.69	97.65	126.39	68.89	108.22	70.42	48.67	62.0	69.2	65.33	74.65	88.97	52.44	40.27	73.88	34.15	65.37	11.47	52.31	33.3	81.6	57.61	58.06	88.43	82.13	64.08	126.29	88.05	121.49	62.12	81.71	0.0	0.15	1.33	0.0	111.53	100.99	112.93
Sel1l3	0.0	0.05	0.0	0.0	0.0	55.46	0.0	43.75	0.0	0.0	0.0	30.14	0.0	0.13	43.9	84.56	1.2	14.6	48.04	50.79	18.68	44.22	43.29	65.28	0.24	13.48	19.42	37.89	29.94	28.4	34.24	6.03	10.95	38.53	0.0	0.18	0.0	0.0	35.16	15.4	0.0	5.84	5.6	30.11	19.91	49.4	13.85	0.09	21.34	22.56	93.05	7.56	24.92	17.33	0.0	10.81	0.33	74.2	0.08	1.32	52.73	26.29	0.0	0.09	0.08	0.0	45.77	42.88	44.99
Setd7	0.0	0.07	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.04	0.0	0.56	0.06	0.09	10.65	11.06	4.7	15.58	14.79	5.79	24.93	25.76	14.46	17.8	12.95	8.89	8.5	2.81	9.12	5.92	0.1	11.81	12.99	29.08	16.36	1.74	12.42	13.56	0.64	14.96	6.71	8.29	24.67	8.65	13.03	33.14	11.51	23.55	0.33	27.86	30.82	14.71	9.27	18.54	24.09	19.58	26.43	18.5	44.37	14.25	1.04	2.81	0.05	0.0	0.25	0.0	83.54	75.5	83.81
Slc39a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.94	0.0	13.87	14.36	0.0	1.25	1.6	0.0	14.46	4.47	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	1.72	0.0	2.38	1.79	0.0	10.53	20.32	31.24	0.0	0.0	42.85	0.0	19.98	0.35	0.0	2.84	17.4	0.0	0.0	31.93	0.0	0.0	0.0	0.0	60.42	61.8	64.04
Slc6a17	0.0	127.92	0.0	0.0	0.0	4.67	14.31	15.37	0.24	0.08	0.41	23.06	0.0	0.28	70.12	35.9	0.94	31.29	40.61	44.1	31.14	35.44	49.95	25.74	54.2	31.52	30.59	44.31	30.06	88.75	26.1	27.66	29.4	111.62	39.23	32.43	9.48	13.31	22.86	29.35	60.55	74.16	28.36	59.79	60.11	93.73	110.72	40.68	75.78	36.39	57.29	70.11	41.45	32.13	37.82	24.37	41.17	59.11	6.68	38.86	83.77	30.08	0.13	0.07	0.88	0.0	242.23	238.44	246.45
Slc6a8	0.0	15.88	0.0	0.0	0.0	54.65	0.0	59.48	0.08	0.14	0.0	26.34	0.0	0.54	14.74	42.6	0.94	0.6	14.42	25.19	42.19	0.0	5.91	16.67	23.16	9.96	7.88	3.12	26.71	59.14	46.83	0.0	14.71	84.53	0.0	0.0	3.3	0.15	18.54	19.04	22.46	42.18	26.64	0.0	14.16	46.6	62.07	5.19	7.45	45.18	79.38	18.35	46.41	26.57	37.18	107.31	47.82	31.29	42.97	7.92	1.1	43.64	0.0	0.34	0.0	0.0	61.85	65.48	65.64
Slit3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	19.75	0.0	0.0	0.12	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.27	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.89	25.15	27.05
Smarca4	22.78	10.59	1.87	0.34	0.0	9.35	3.94	0.34	0.05	0.0	87.5	4.88	0.0	0.1	10.94	0.0	0.04	14.17	1.22	6.1	17.11	20.79	7.5	8.95	2.95	9.34	15.97	7.72	2.6	5.81	32.87	5.84	9.48	0.17	1.34	46.22	15.86	4.06	0.0	25.24	22.35	8.82	43.69	10.17	2.37	6.1	13.1	2.66	34.33	40.28	1.45	0.0	1.08	3.91	18.45	0.0	2.62	9.73	6.62	0.05	12.51	31.31	0.0	0.13	0.11	0.0	63.89	65.92	68.05
Smg1	5.35	0.0	0.0	3.92	3.1	10.06	95.62	17.45	6.22	2.12	0.0	7.5	29.97	4.5	5.02	24.04	7.38	0.57	4.25	9.25	2.89	8.09	18.1	2.15	13.23	25.01	3.68	8.14	13.4	12.55	0.1	8.55	3.07	34.03	3.6	5.87	22.69	9.75	20.03	9.03	5.06	1.39	9.31	7.04	7.14	26.89	10.82	8.9	3.61	6.48	22.01	5.82	10.45	25.19	4.0	3.31	3.07	34.4	10.38	22.97	14.03	3.27	0.34	6.15	8.35	0.04	45.02	36.92	47.73
Snap91	0.0	38.61	0.0	0.0	0.11	69.44	21.23	2.05	0.07	0.0	0.0	59.82	0.0	0.14	81.9	47.03	38.92	29.29	53.6	97.31	76.04	120.3	171.15	22.27	109.6	55.03	32.22	4.38	75.75	187.3	30.73	84.01	107.27	341.01	89.56	35.27	109.41	41.69	46.43	86.96	106.17	40.36	83.01	29.36	43.82	144.53	93.22	41.75	31.63	131.62	97.39	120.09	73.47	102.43	122.56	112.65	33.91	234.5	240.09	177.5	78.58	84.31	0.0	0.29	0.69	0.0	254.03	253.8	241.24
Srgap3	15.28	12.92	0.0	19.13	0.0	18.42	19.15	42.01	28.89	9.85	31.08	23.07	159.05	3.05	32.16	18.92	13.25	16.64	29.1	23.04	53.4	63.73	44.2	55.42	16.28	56.52	60.53	25.48	42.07	56.77	59.53	39.13	16.68	33.08	19.3	66.5	27.81	19.37	9.82	30.0	43.06	37.84	70.61	25.42	39.93	79.37	36.49	76.34	30.3	44.25	73.94	44.25	25.1	35.92	27.88	51.36	22.96	66.72	72.16	29.69	31.36	26.16	0.13	2.41	32.0	0.4	121.23	113.19	124.22
Srm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.12	0.54	63.31	0.0	53.64	0.0	0.0	0.64	0.0	45.07	20.49	0.52	0.0	0.0	44.66	3.0	47.56	2.12	0.0	65.65	2.3	0.0	0.0	32.3	16.07	7.16	15.21	0.63	2.89	3.08	0.0	22.6	37.06	0.0	0.0	28.15	0.48	2.05	11.49	4.24	3.08	53.91	0.0	0.0	14.76	33.15	0.0	0.0	0.0	0.0	0.0	0.0	77.35	82.32	75.39
Svop	0.0	30.44	0.0	0.0	0.15	27.38	0.0	0.0	0.0	0.0	0.0	20.74	0.0	0.19	43.96	49.35	31.39	16.75	34.45	2.41	18.92	19.25	5.77	24.72	23.43	1.74	0.0	20.58	8.23	13.21	42.48	8.32	0.0	0.0	40.59	37.35	0.0	42.35	39.57	10.29	6.0	29.53	0.0	0.0	0.0	31.44	18.3	26.41	0.0	3.0	12.83	7.34	0.0	44.49	0.7	0.0	8.85	17.77	6.69	1.32	0.0	0.06	0.0	0.26	0.58	0.0	162.41	167.3	157.31
Tfip11	0.0	0.07	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	35.4	24.56	0.07	0.0	14.07	0.0	0.0	0.0	0.0	0.0	6.08	16.77	15.26	6.66	0.0	2.0	0.0	32.15	0.0	45.2	15.47	8.99	4.87	8.82	0.19	9.82	26.56	0.57	24.15	0.0	58.61	9.1	15.15	2.5	19.28	0.0	0.0	4.43	10.86	0.0	0.0	8.16	0.0	0.0	0.1	7.32	43.02	37.2	0.0	0.0	0.1	0.0	35.65	37.75	36.35
Tle1	0.0	0.0	33.77	0.0	0.0	9.21	0.0	0.0	7.98	0.0	0.0	0.0	0.1	0.0	0.0	1.75	0.0	14.0	0.54	3.32	0.0	0.19	0.0	3.23	0.0	0.0	32.13	7.51	0.0	6.34	1.05	0.0	0.0	1.44	0.0	0.0	14.09	3.16	12.19	0.0	0.0	0.74	3.15	0.11	0.0	3.96	2.16	19.31	0.0	0.32	0.14	0.12	0.0	6.35	0.0	22.07	0.09	0.0	0.16	4.88	0.08	0.0	0.0	0.0	0.0	0.15	21.48	23.56	22.5
Tmem93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	74.12	0.0	4.38	0.0	0.0	0.0	28.35	0.0	0.82	4.98	2.42	10.44	0.0	30.41	0.0	8.66	0.0	0.0	0.0	0.0	3.58	8.12	0.0	16.75	5.88	0.0	17.55	0.76	38.17	22.16	0.0	28.58	26.48	5.09	0.0	13.6	10.24	3.12	30.98	0.0	11.96	9.89	27.1	33.84	96.25	0.0	0.0	0.0	0.0	0.0	47.16	53.14	47.95
Tnpo2	0.0	1.0	0.0	0.11	0.0	2.19	0.0	3.52	0.0	0.0	0.0	33.05	0.0	10.47	4.47	7.14	2.38	15.96	4.93	11.14	14.87	11.34	13.33	3.22	2.54	5.47	5.22	0.0	6.08	32.39	1.1	4.02	9.35	2.94	13.43	3.14	5.57	9.62	0.77	24.75	6.67	4.24	3.36	11.0	14.99	16.42	8.66	8.35	9.45	25.06	21.5	20.88	13.52	20.54	12.52	18.54	4.07	32.94	23.01	11.63	7.98	28.22	0.0	0.17	0.08	0.0	98.65	98.42	99.6
Tomm70a	0.0	0.06	0.0	0.0	0.0	0.0	65.45	0.5	0.0	0.0	0.0	48.67	0.0	0.16	6.08	30.4	26.92	53.95	36.78	105.81	18.64	121.85	0.5	0.0	8.99	29.47	174.88	15.7	6.29	80.99	38.16	23.41	111.53	63.72	0.1	13.46	35.28	29.31	0.18	6.4	63.23	80.83	59.82	117.1	47.09	32.18	35.68	35.12	77.07	108.41	100.59	2.44	102.11	0.0	85.9	0.0	101.08	61.28	67.61	101.52	0.0	1.67	0.0	0.11	0.29	0.0	162.49	155.46	154.23
