	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rell2	6.97	3.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.42	134.45	1.03	8.94	4.19	8.99	56.47	0.38	20.92	41.7	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	36.35	0.0	0.0	0.1	41.83	2.23	0.75	20.27	0.0	0.0	5.78	0.3	24.37	12.52	1.01	13.88	10.39	48.09	0.0	7.87	5.66	17.52	0.0	3.54	0.0	0.0	0.0	0.58	8.07	0.0	16.57	0.61	0.59	0.0	2.02	0.0	0.0	0.0	0.0	3.25	0.19	0.0	3.24	0.55	0.0	0.0	0.0	132.63	150.46	147.42
Rph3a	51.39	76.82	0.19	0.0	0.21	0.48	0.0	0.0	0.0	33.76	148.55	282.63	269.57	318.16	185.83	13.83	325.57	180.93	157.36	62.75	78.23	254.99	0.09	0.0	0.0	0.0	100.27	0.0	0.0	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	118.7	0.32	8.71	51.57	4.68	134.3	14.26	94.74	60.03	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	0.0	0.0	0.3	76.8	11.54	46.94	41.22	75.04	47.14	43.48	32.02	81.93	260.55	249.44	277.37
Rtn3	558.14	322.33	177.61	0.0	0.0	0.24	0.0	0.0	0.0	144.09	145.97	301.63	476.85	383.09	48.79	545.31	278.53	506.7	277.03	10.93	127.94	113.59	0.0	0.18	0.0	0.11	338.23	5.28	0.17	182.06	71.9	45.67	164.72	91.5	83.27	117.48	130.27	152.88	152.96	163.71	295.0	168.79	154.3	98.57	170.79	126.75	153.56	71.75	101.09	152.41	91.2	98.81	82.04	82.15	73.19	57.65	141.52	67.95	144.29	37.53	122.13	84.97	179.64	78.3	162.96	174.88	0.0	0.5	145.58	171.97	288.1	149.85	152.99	185.76	230.63	90.01	77.75	912.78	919.98	888.17
Sept3	48.11	105.25	69.48	0.54	0.0	0.0	0.0	0.0	0.0	69.31	16.08	144.74	260.67	322.8	55.05	59.32	174.33	264.29	78.09	140.18	12.33	104.16	0.0	1.5	0.22	0.37	176.11	0.0	0.17	99.61	124.39	51.22	0.23	53.06	71.95	9.16	53.04	84.79	18.23	78.84	68.67	59.86	43.92	102.53	52.16	43.42	162.21	154.0	161.46	152.93	191.02	133.21	71.39	52.75	40.17	40.69	44.52	128.04	71.71	28.06	111.97	119.26	94.04	74.34	35.64	0.11	0.11	0.06	10.76	42.17	77.52	3.89	109.27	45.58	120.28	28.15	1.45	270.67	257.5	265.53
Sfpq	50.07	41.34	23.68	152.59	146.9	100.96	61.44	80.25	0.0	59.69	60.17	80.43	309.81	118.79	109.2	115.64	87.01	219.19	81.19	211.23	73.92	76.47	162.75	589.83	0.21	63.3	44.46	13.13	14.46	48.67	55.35	18.62	36.36	25.22	43.95	27.87	45.31	32.22	47.98	16.37	53.64	20.91	38.26	61.92	29.74	99.72	26.54	137.05	82.25	45.09	128.15	42.74	19.78	20.39	15.9	93.22	35.82	66.36	38.26	41.16	26.08	25.71	28.63	15.52	46.3	21.38	21.52	50.2	39.29	75.1	34.63	40.37	25.29	138.25	18.85	17.56	61.16	144.14	132.92	152.84
Slc2a13	1.55	37.53	2.37	0.0	0.0	0.0	0.0	0.0	0.0	40.71	302.4	337.23	113.28	597.56	35.33	354.65	417.94	379.06	99.17	124.68	238.06	297.05	0.0	0.0	0.0	0.0	90.09	0.0	0.0	3.97	22.72	13.53	49.35	0.03	4.48	31.55	20.35	0.47	0.0	43.61	34.85	5.44	15.17	1.15	9.88	0.0	0.04	149.52	220.3	50.37	261.85	29.49	37.73	29.17	2.35	85.21	0.0	5.34	14.49	2.94	6.93	20.18	45.84	0.07	41.34	0.0	0.0	0.0	13.84	23.87	15.75	18.44	29.0	1.19	23.23	30.72	115.14	67.34	63.59	65.25
Stard7	24.17	44.67	42.52	0.0	0.0	0.13	0.0	0.0	0.0	0.0	187.49	128.9	20.38	89.48	2.29	54.99	95.26	198.15	174.82	115.76	0.0	24.64	0.0	0.0	0.0	0.0	88.81	0.0	912.84	0.0	77.24	9.51	0.0	42.25	0.0	0.1	0.04	46.9	26.77	34.47	1.12	10.36	44.49	1.82	0.0	54.17	50.48	156.11	15.94	2.34	165.27	0.0	15.69	78.42	6.83	97.33	0.0	115.02	0.07	0.18	65.7	0.0	36.15	0.9	0.0	0.0	0.0	0.0	61.67	26.79	0.11	95.56	34.22	21.76	8.36	0.0	76.17	89.19	86.61	83.84
Strn3	61.19	4.34	47.84	221.39	0.0	8.45	290.44	223.99	0.0	94.06	142.7	17.66	218.0	115.58	79.57	271.13	13.25	267.52	99.51	133.88	12.51	12.91	0.0	0.0	171.3	0.0	68.38	0.0	49.98	0.0	91.37	29.01	0.0	29.45	1.01	57.51	3.11	25.78	0.44	60.76	18.77	63.24	30.11	16.0	32.95	41.51	6.37	21.4	16.79	115.85	48.0	43.81	20.48	0.06	5.66	12.36	0.0	21.88	41.57	45.12	43.41	1.04	40.68	10.53	41.88	0.0	0.0	0.0	62.01	42.01	96.48	17.84	40.94	41.36	41.89	1.16	66.09	52.95	50.99	52.55
Strn4	4.9	0.0	0.08	0.0	0.0	0.12	0.0	0.0	0.0	0.11	30.45	3.27	177.01	98.92	0.55	182.26	46.54	191.39	50.63	29.48	0.0	0.14	0.05	0.0	0.0	0.0	0.0	0.0	0.0	19.67	0.21	30.92	0.0	49.5	0.0	0.06	0.0	16.32	0.18	0.0	0.0	18.93	0.0	34.26	0.0	0.0	0.0	49.97	79.2	0.0	3.1	0.55	0.0	0.0	0.0	44.81	0.4	41.68	0.0	0.7	0.0	0.0	8.73	0.0	1.33	0.0	0.0	0.0	0.0	16.59	0.0	31.0	6.32	15.52	0.0	0.0	0.4	158.54	169.33	162.89
Supt6h	4.69	18.55	2.29	93.49	9.95	0.07	0.0	0.0	0.0	47.59	7.4	3.18	14.83	0.0	33.55	26.08	23.77	89.2	115.51	15.16	12.68	1.76	0.0	0.0	0.0	0.0	33.31	57.73	0.0	15.81	24.27	13.79	9.28	23.67	0.23	3.16	3.41	28.24	59.32	14.63	7.29	12.0	2.32	0.0	14.55	0.0	0.0	29.1	43.94	13.65	32.38	3.91	0.0	12.22	0.0	0.63	0.0	37.97	5.18	1.42	11.27	36.26	5.69	41.63	3.42	0.0	0.39	0.0	17.89	0.0	18.29	17.07	2.64	11.79	17.91	4.08	24.55	82.51	87.27	84.8
Surf1	163.09	116.53	104.74	0.0	0.0	0.0	0.0	7.42	603.02	239.96	216.65	217.38	136.33	231.06	170.45	235.65	252.38	427.91	248.31	256.47	112.08	206.3	524.52	0.0	0.0	0.0	268.14	0.0	0.0	39.57	177.24	63.77	57.52	51.42	173.52	174.99	91.91	220.17	115.53	109.49	91.14	234.34	88.37	96.61	154.85	128.11	230.96	113.4	312.44	309.04	115.75	87.56	46.55	166.48	49.83	79.81	0.0	199.53	89.6	84.49	166.87	33.23	75.53	181.35	191.92	0.0	23.4	0.0	42.61	69.38	167.22	91.28	124.38	123.29	140.88	30.28	134.39	74.66	79.13	72.92
Sv2a	87.21	188.74	86.37	0.0	0.0	0.0	0.0	0.0	0.0	114.86	521.14	293.01	728.63	645.86	363.2	708.27	451.82	607.98	133.15	496.73	76.77	316.92	0.0	0.0	0.0	0.0	255.89	0.0	0.0	172.66	150.24	149.6	76.27	60.63	138.62	155.33	139.92	44.28	31.77	60.44	54.79	127.08	153.44	64.42	190.79	181.48	119.27	171.42	110.35	72.42	96.41	115.03	47.95	83.75	77.31	229.46	106.52	135.34	83.75	57.37	130.42	30.97	28.39	15.96	59.77	0.0	0.0	0.0	36.62	36.85	232.03	20.83	128.48	30.62	86.59	69.32	302.89	289.26	306.68	286.94
Syn2	352.96	100.1	147.37	0.0	0.0	0.0	0.0	0.0	0.0	9.66	286.03	259.86	528.93	308.51	155.92	401.54	298.3	229.06	412.4	185.51	143.06	225.59	0.0	0.0	0.0	0.0	177.62	0.0	0.0	234.46	19.19	169.2	14.71	139.66	93.64	64.62	124.7	125.14	83.98	133.31	52.18	63.4	65.04	158.86	179.21	70.85	160.98	97.6	99.16	173.77	259.29	63.3	134.37	104.97	100.18	175.12	70.81	12.44	51.32	230.18	99.26	49.87	83.18	23.96	59.41	0.0	0.0	0.0	147.12	136.4	62.43	43.18	181.79	146.62	206.75	113.48	184.41	385.63	397.76	386.53
Syt1	875.24	654.41	399.55	0.0	0.0	0.0	7.1	0.0	0.0	452.05	848.92	1020.63	871.19	1547.35	605.96	1679.16	579.26	1764.47	906.02	979.99	508.04	630.22	0.03	0.0	0.0	0.0	599.96	0.0	0.0	759.38	590.98	647.51	651.97	532.79	496.46	463.82	652.79	621.04	607.09	563.51	636.11	417.57	551.28	527.41	349.07	327.05	423.53	539.7	490.39	544.46	617.72	564.61	488.54	601.27	328.78	633.07	272.39	403.12	486.59	542.74	685.36	221.98	487.06	404.66	206.98	0.0	0.0	0.0	284.6	434.79	91.71	699.53	689.79	743.33	574.5	743.79	1014.33	931.59	920.94	916.63
Taok2	14.76	1.5	0.79	0.0	0.0	1.48	0.72	0.0	0.0	1.12	55.05	17.06	1.14	1.93	0.48	1.85	0.0	38.03	37.39	0.68	1.69	0.5	0.56	1.42	0.0	0.0	0.1	0.0	1.21	0.36	0.5	0.28	1.14	29.95	2.73	0.06	17.61	0.81	0.49	1.28	0.0	1.21	0.24	1.01	0.93	0.45	1.53	1.24	1.39	1.05	0.0	1.09	0.58	0.57	9.62	9.75	1.64	0.56	0.95	1.1	0.17	0.43	0.37	0.55	0.05	0.0	2.36	0.0	0.17	0.55	0.87	0.7	0.48	0.25	0.42	0.25	0.98	75.09	76.41	76.63
Tmod2	38.38	35.27	40.36	0.24	0.13	0.11	0.0	0.03	60.26	84.35	47.92	72.3	120.29	100.83	28.4	30.22	65.53	114.03	5.75	31.73	25.34	8.52	0.69	0.0	0.0	0.02	20.72	0.0	12.53	43.48	30.08	35.82	3.09	42.94	16.64	61.71	40.63	51.24	43.24	45.36	79.76	37.94	38.52	50.76	40.87	83.54	47.44	2.69	90.11	65.87	22.39	38.34	51.35	51.78	54.53	83.04	16.39	55.05	24.74	36.14	42.2	15.73	19.68	30.54	32.63	215.3	0.09	0.35	45.24	39.32	67.68	40.4	31.19	11.32	33.09	44.58	77.01	147.06	135.01	149.73
Tspan3	296.92	137.89	141.98	0.0	0.24	0.0	0.19	195.69	0.0	90.76	294.38	135.79	547.53	306.98	92.15	494.43	364.74	777.62	159.02	328.32	59.87	266.32	0.0	0.0	0.0	0.0	159.82	0.0	0.0	54.7	113.87	104.95	182.78	28.64	75.75	109.04	290.62	47.74	35.76	167.87	21.81	50.84	136.02	38.03	62.3	164.44	139.65	219.84	89.25	247.13	8.88	40.19	132.83	40.62	123.93	57.64	233.3	0.9	57.54	176.11	243.2	63.14	143.57	35.08	150.77	0.0	2.8	19.96	246.54	98.64	29.85	86.77	104.74	96.2	159.09	88.18	248.98	382.25	408.36	393.74
Ube2ql1	13.13	3.57	33.24	0.0	0.0	0.0	0.0	0.0	0.0	47.2	135.17	115.56	237.39	81.23	44.86	34.82	43.1	115.35	56.58	0.16	22.71	63.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.63	6.84	30.45	0.13	0.0	0.2	8.33	0.04	0.09	3.47	0.0	26.32	1.06	16.77	4.84	0.0	13.75	0.0	96.98	15.51	1.86	74.91	80.27	0.0	27.73	0.0	138.77	0.0	1.71	0.0	0.1	32.92	0.0	22.22	2.42	29.09	0.0	0.0	0.0	30.56	0.0	0.0	11.27	24.07	29.87	0.11	0.07	40.85	174.48	185.53	183.77
Ubr1	2.12	7.57	9.25	0.0	0.0	0.0	176.57	0.0	0.0	22.13	72.06	13.88	57.77	94.14	0.0	0.0	29.93	96.59	0.0	0.0	0.0	1.09	19.41	0.0	0.0	0.0	8.25	0.0	0.0	0.3	18.0	16.37	0.05	23.41	5.02	32.37	11.2	0.0	0.0	31.15	0.15	23.37	14.18	0.0	30.26	12.8	48.44	1.11	0.0	18.98	54.51	0.0	0.78	5.42	28.47	0.0	5.98	17.29	13.63	28.96	0.0	21.21	5.09	34.51	17.52	0.0	0.0	0.0	25.52	16.17	27.33	0.0	39.75	28.56	18.41	48.41	0.0	27.03	25.25	25.69
Uevld	0.82	17.53	0.17	0.11	0.0	0.08	0.0	0.0	0.0	0.0	0.44	44.26	0.17	0.45	22.69	0.2	0.24	55.13	68.36	0.43	1.0	0.36	0.21	0.0	0.34	0.16	0.63	0.0	0.0	0.37	16.36	0.12	0.12	0.22	0.4	0.12	16.77	0.21	0.0	0.05	0.5	15.55	0.16	8.51	0.3	0.0	29.12	0.0	0.9	10.84	0.23	10.58	0.0	12.25	0.08	0.19	0.0	13.28	0.26	13.61	0.2	0.22	0.48	0.09	12.24	0.0	0.0	0.26	0.18	0.14	0.21	0.18	0.67	0.04	0.13	0.22	0.77	10.34	10.67	10.11
Ufc1	120.96	5.14	177.52	0.0	0.0	0.0	0.0	0.0	0.0	56.51	91.88	136.49	319.2	111.27	117.3	152.11	523.58	573.7	324.45	159.66	0.0	96.23	0.0	0.0	0.0	0.0	204.73	0.0	0.0	110.71	314.92	41.92	39.91	145.41	110.45	303.04	49.22	275.08	175.03	75.57	82.5	24.93	53.81	121.48	231.35	267.08	165.51	366.96	0.0	0.0	327.94	147.93	28.26	215.7	12.69	178.94	0.0	63.86	293.57	142.57	47.98	36.93	140.75	68.27	237.34	0.0	111.95	0.0	83.82	135.75	265.17	238.46	86.66	215.66	327.63	130.3	143.26	105.63	111.48	107.51
Zcchc11	0.21	16.88	7.12	0.0	0.0	0.0	0.0	5.15	0.0	12.85	95.62	33.58	1.05	39.73	0.0	1.09	10.71	58.93	24.59	39.32	40.26	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.03	22.77	0.04	43.43	0.35	0.0	0.08	1.51	17.37	0.0	1.26	8.11	13.69	2.42	8.89	25.17	6.7	17.12	28.04	0.8	2.77	0.0	2.88	0.0	4.27	7.94	0.0	35.41	0.13	2.69	0.0	0.0	1.25	0.08	7.39	10.75	0.0	12.75	0.0	0.0	0.07	0.77	0.0	4.62	0.0	2.44	0.15	0.58	17.97	13.78	18.58
Zfand6	114.34	0.0	75.11	0.0	0.0	311.38	0.0	436.08	0.0	59.86	43.58	15.42	192.59	136.98	113.76	12.26	171.17	346.15	98.42	169.93	0.0	128.1	0.0	4.91	0.0	0.0	31.08	82.58	0.0	38.39	0.0	0.1	74.58	121.35	2.6	0.19	83.35	135.12	56.22	51.57	18.51	0.0	4.25	13.95	80.87	98.63	0.0	146.1	0.0	46.87	13.31	42.98	4.15	7.48	99.39	97.15	8.06	0.0	57.67	3.06	0.0	13.39	58.28	50.41	66.28	0.0	43.24	0.0	98.15	23.79	98.7	42.69	39.69	165.51	80.29	120.28	156.37	64.25	59.79	65.4
Zfp871	31.19	1.06	0.73	0.29	0.11	0.01	277.0	0.0	0.0	97.73	38.15	51.57	93.76	12.14	70.63	134.5	15.46	82.22	54.67	58.15	45.95	28.48	0.03	0.24	0.08	0.0	28.93	0.0	0.04	10.83	6.79	0.05	42.06	15.33	0.02	4.51	2.91	28.63	24.38	9.22	15.15	18.05	17.94	1.72	8.55	15.05	0.03	30.8	38.73	19.73	16.13	0.65	0.0	0.05	2.73	0.06	11.25	4.74	15.5	0.86	2.63	20.28	11.9	15.89	15.61	0.05	0.0	0.25	0.0	15.77	0.14	27.25	34.39	10.37	4.22	17.45	136.69	39.08	32.97	39.89
