	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_20	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_32	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_65	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Olfr77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paqr4	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	26.7	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3	5.17	12.23	0.52	7.36	0.0	0.0	17.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.32	0.0	6.98	0.0	0.0	0.0	0.0	0.18	0.0	0.64	0.0	0.0	0.0	0.91	0.0	6.81	20.75	6.96	2.99	16.47	15.23	21.56	5.23	15.48	5.96	5.14	7.08	56.06	56.39	58.59
Penk	11138.18	3263.8	6509.27	6917.38	4958.89	7669.37	10714.69	21119.42	0.0	7052.5	4584.86	8723.78	1085.68	14614.46	252.93	308.37	4834.5	30305.82	14273.96	24078.42	18579.64	5419.03	1442.38	29110.93	10693.84	7583.12	15168.53	23047.57	13973.88	19453.81	4293.64	11802.85	8394.0	3505.97	22944.38	850.82	23364.23	0.35	0.0	0.0	5.24	14.7	16623.49	7740.57	7531.18	24984.25	1.61	7859.51	4578.01	8575.12	4970.72	8940.47	7467.25	2125.8	5904.45	898.03	1.9	9357.5	9658.52	11865.47	5578.16	225.27	3.6	708.52	305.39	464.43	1.67	256.82	824.22	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	1.73	1.49	3.51	368.19	372.55	337.73
Ppp1r1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	20.01	6.4	0.0	0.0	39.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.26	18.74	17.32	11.55	49.78	64.1	58.51	7.66	35.71	47.05	28.76	25.36	454.86	500.69	444.22
Prdm2	0.07	0.15	0.0	0.03	0.0	63.17	27.55	0.0	0.0	0.0	1.66	0.0	0.25	0.79	0.04	0.13	0.28	0.11	32.51	39.74	107.75	0.61	1.25	10.59	5.21	0.37	0.0	2.61	1.88	0.0	0.45	6.93	18.6	0.17	62.27	0.0	13.38	13.06	0.94	11.54	3.6	7.08	0.38	0.0	0.23	0.31	38.06	0.2	0.49	0.16	0.16	0.1	0.0	64.3	0.12	0.07	16.44	0.09	8.62	0.0	22.83	0.41	2.23	0.48	0.11	0.08	0.14	31.49	0.07	6.15	9.72	10.02	3.42	5.78	1.29	7.47	5.05	7.68	5.09	5.88	5.97	26.89	26.87	24.83
Rasl11b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28	14.22	139.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	31.36	16.48	15.97	11.22	49.8	43.52	27.13	38.92	18.05	39.39	30.61	87.11	102.18	88.75
Rfx3	0.4	0.1	0.05	0.06	4.83	0.0	0.04	0.0	0.0	0.12	0.0	0.0	0.0	24.3	0.08	8.58	16.48	0.0	0.0	10.94	86.03	0.0	18.7	2.48	0.0	0.05	0.14	12.48	0.0	0.03	0.04	0.0	0.12	0.04	0.52	0.07	0.32	0.0	0.0	10.62	25.52	9.55	0.05	0.0	0.0	0.11	0.0	1.68	0.0	9.15	0.0	0.0	0.0	1.73	4.27	0.0	0.08	52.39	13.25	0.0	1.1	0.17	0.06	2.82	4.57	18.71	0.25	0.0	0.0	1.61	2.08	5.77	4.62	0.62	8.12	9.8	3.0	3.8	7.26	4.67	5.54	20.96	18.01	21.36
Rnf146	106.96	117.45	115.36	78.86	122.51	5.34	0.58	106.9	0.0	0.0	230.01	10.44	145.39	25.1	0.0	8.71	148.53	124.56	8.53	190.98	578.11	0.0	0.0	1.08	55.58	0.11	0.6	31.86	0.0	0.0	0.0	0.0	16.63	0.0	6.36	121.65	0.0	0.0	10.13	57.04	28.99	0.34	0.0	58.91	242.46	0.0	31.74	0.0	70.77	7.48	136.47	8.16	19.23	253.26	103.79	0.49	0.0	0.0	226.46	0.0	41.62	60.3	98.11	0.49	0.14	0.36	0.18	116.48	119.84	46.04	105.89	69.87	32.19	46.23	58.83	53.19	30.11	45.46	73.62	41.92	39.29	37.02	34.17	34.88
Rxfp3	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.24	1.98
S1pr4	0.13	0.43	0.0	0.2	0.0	0.0	0.73	0.0	0.55	0.0	0.0	0.15	0.0	0.26	0.0	0.0	0.47	1.5	0.46	0.19	1.32	0.32	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.25	0.0	0.11	0.0	0.08	0.27	0.0	0.27	0.0	0.11	0.0	0.11	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.12	0.33	0.67	1.05	0.0	0.27	0.74	0.0	0.2	0.22	0.0	0.0	0.0	0.26	0.0	0.0	0.13	0.0	0.14	0.15	0.4	0.25	0.0	0.24	0.33	0.0	0.0	0.21	0.0	0.29	0.61	0.55	0.45
Sec23a	85.03	160.12	0.0	53.48	0.6	200.33	0.0	126.78	0.16	69.02	50.38	0.0	1.23	318.78	0.0	0.0	0.0	0.2	0.0	188.08	632.07	0.59	123.51	75.32	0.16	70.37	0.0	22.17	0.0	0.0	28.0	0.0	0.0	224.26	82.46	0.0	0.0	0.0	7.65	68.65	46.57	27.78	18.79	0.0	164.33	0.0	0.81	0.12	258.01	0.0	164.11	0.0	78.58	532.58	294.51	32.29	276.56	0.12	126.12	0.12	134.37	0.33	24.05	0.0	0.44	197.46	0.19	27.29	0.0	74.28	59.41	128.01	57.88	54.04	92.71	83.05	69.49	28.41	120.84	81.84	101.38	77.89	76.58	68.8
Setd3	0.0	116.0	84.34	25.95	0.0	0.0	0.0	117.93	0.0	113.46	86.21	0.0	0.0	0.0	0.0	13.76	0.0	0.0	0.0	0.0	215.33	0.0	191.89	0.0	13.27	0.0	0.96	99.31	0.0	0.0	31.83	0.0	0.0	0.0	83.11	71.82	0.0	0.0	9.97	62.71	29.36	27.92	0.15	0.0	1.35	0.0	13.66	23.02	0.0	0.0	233.29	0.0	127.66	20.31	0.18	3.16	0.0	0.0	183.41	0.0	0.18	180.24	16.23	0.0	0.0	0.0	42.25	0.0	9.18	43.12	61.22	71.25	50.02	61.49	44.36	80.7	92.95	60.13	63.83	46.32	51.04	146.71	143.74	145.47
Sgms1	0.0	0.0	0.0	0.13	0.0	0.0	0.0	13.71	0.0	0.0	0.0	1.72	3.53	0.0	30.8	0.02	0.0	3.78	0.0	0.0	156.01	0.0	0.0	0.0	0.0	0.0	23.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.98	27.55	0.0	0.0	0.0	11.7	25.59	31.5	0.0	0.0	0.0	0.16	0.17	0.0	0.15	49.09	0.0	50.88	28.05	40.34	35.58	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.24	0.0	0.0	10.17	14.76	16.83	16.78	5.31	7.37	6.08	2.18	6.82	6.33	3.41	6.47	25.38	23.06	23.72
Siah1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.06	176.99	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	12.53	16.81	35.83	35.19	77.5	57.29	3.46	0.0	0.0	0.0	50.62	0.0	0.0	0.0	0.0	0.0	26.42	131.59	24.05	118.7	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.66	8.03	26.67	17.84	1.77	16.59	5.0	10.84	8.77	7.26	10.14	4.64	31.01	30.39	29.68
Skap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.46	0.0	0.0	0.0	0.14	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.35	21.85	0.0	1.22	50.26	19.09	5.12	0.0	0.0	8.66	4.85	8.61	1.94	1.92	1.67
Smyd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	1.54	2.05
Sos2	0.0	0.0	0.0	0.07	0.0	0.21	0.0	0.0	0.0	19.32	5.96	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	61.72	0.0	0.07	4.28	0.18	0.08	0.0	0.09	0.0	0.0	0.04	0.0	0.0	0.14	0.0	0.0	18.31	0.0	0.0	3.47	2.15	0.34	0.08	7.02	0.0	0.0	0.0	0.0	0.0	3.78	0.15	0.0	0.0	72.13	7.24	24.12	0.0	0.0	5.4	0.0	0.09	0.0	0.0	0.0	46.71	0.0	0.0	0.16	3.98	5.38	2.4	5.66	5.67	0.77	2.48	0.3	4.96	3.45	7.11	5.88	3.3	19.39	17.21	17.87
St8sia1	0.05	0.17	0.1	0.07	0.0	0.05	0.18	0.13	0.0	2.2	0.06	44.18	0.2	0.0	0.38	0.14	0.09	0.07	0.06	0.42	50.8	22.57	0.17	0.87	0.03	8.6	0.36	6.36	0.2	0.13	0.38	0.12	0.42	0.23	0.29	0.21	0.2	1.03	2.08	9.24	7.82	19.33	0.11	0.2	0.33	0.17	0.18	0.18	0.22	0.32	0.4	0.48	12.19	0.37	1.47	0.0	0.55	0.21	0.99	0.24	0.22	0.39	0.43	0.16	1.56	0.34	0.58	0.39	0.31	0.09	0.24	1.43	0.56	1.38	1.58	2.46	0.06	0.26	1.34	2.14	1.72	18.92	19.58	19.21
Stk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.32	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	1.39	0.0	0.0	291.79	0.0	0.0	0.0	0.0	0.0	0.0	6.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.93	9.95	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	181.34	0.0	0.0	54.19	0.37	0.0	0.0	91.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.5	9.62	10.68	20.44	4.93	5.22	11.63	15.94	6.69	5.02	16.27	11.1	12.75	11.04	10.08	10.28
Tab3	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.04	0.0	2.1	0.0	0.0	0.0	0.0	10.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55	3.78	0.34	0.0	0.0	60.85	0.0	0.0	84.84	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	0.0	0.0	0.0	0.0	0.0	0.0	0.08	4.79	3.94	0.1	1.83	0.79	0.09	1.34	2.87	0.03	5.74	1.98	4.2	11.96	9.75	10.57
Tbl3	0.0	0.0	22.72	3.86	11.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.48	0.48	0.0	0.0	195.65	0.0	0.0	188.7	0.0	0.0	0.0	0.0	180.28	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.07	0.0	4.86	0.0	0.0	0.12	33.51	29.19	2.91	0.0	110.07	0.0	275.66	0.0	88.15	0.0	0.0	0.0	0.0	3.98	221.25	0.0	0.0	0.0	0.0	0.0	0.0	0.19	144.86	0.0	0.0	0.0	0.0	0.31	0.18	0.0	41.72	39.79	41.2	30.47	24.07	19.6	43.32	49.62	23.86	22.11	24.68	15.63	22.39	27.91	24.73
Tbrg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.35	0.0	0.0	140.23	0.0	0.54	0.0	1.56	28.82	7.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.92	1.73	20.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	3.7	4.14	0.1	0.0	0.17	0.0	0.0	0.2	0.0	0.0	0.0	0.22	0.25	0.0	0.0	1.67	14.7	12.3	11.51	11.19	10.86	8.22	17.94	1.0	10.97	10.8	10.29	25.98	27.91	25.75
Tm7sf2	0.0	0.0	0.0	0.0	0.0	0.0	30.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.81	162.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.47	0.1	33.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.23	0.0	0.0	0.0	0.0	61.83	31.13	0.0	0.0	0.0	0.0	0.0	0.42	0.0	44.69	37.77	0.0	48.43	10.11	12.45	32.09	22.35	21.29	31.23	22.45	39.08	23.02	27.73	23.2	22.0	26.19	23.21
Tmem117	0.25	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.25	0.0	0.0	141.51	0.0	0.0	10.07	0.0	0.0	160.1	229.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.32	0.0	0.0	0.0	0.0	0.0	0.0	0.19	81.06	0.0	0.21	0.0	0.0	0.2	0.0	222.68	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.63	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	1.61	0.87	0.5	6.1	6.48	5.27
Tom1l2	0.11	33.87	0.0	33.75	0.0	1.97	0.0	11.55	141.66	0.0	2.33	43.93	0.0	0.0	0.24	0.0	105.75	11.57	0.0	41.28	190.17	53.96	0.0	3.04	1.26	2.51	0.0	0.2	0.0	112.01	10.72	0.18	44.94	3.51	32.25	0.0	0.0	0.1	12.76	26.93	7.37	12.22	0.09	5.22	0.0	4.34	0.0	12.09	27.67	7.26	17.3	0.0	100.61	0.0	50.8	28.74	77.5	82.03	0.08	0.0	0.0	3.23	5.59	52.94	0.12	36.7	5.11	0.18	9.73	13.45	16.01	31.02	11.53	12.85	12.93	20.07	15.93	12.68	20.67	14.51	19.0	168.3	164.9	170.24
Tomt	0.0	0.0	0.0	82.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.89	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	2.54	1.31	3.59	8.19	4.35	4.12	0.0	9.5	1.83	0.26	9.67	7.27	7.96
Ube3c	0.47	0.0	0.0	1.33	14.44	0.0	3.07	0.0	17.49	0.65	40.51	0.0	0.0	0.0	0.0	0.0	0.0	4.22	0.21	0.0	116.75	14.31	0.75	25.72	0.0	17.71	0.09	0.0	0.0	16.4	0.0	0.36	1.72	0.11	7.35	4.35	0.0	0.0	9.28	10.78	10.65	37.87	0.0	0.0	0.0	0.1	4.37	0.0	1.07	0.0	0.0	0.16	0.0	10.62	0.0	0.0	0.0	0.0	117.16	0.0	0.0	0.18	0.0	0.0	23.82	0.0	0.0	9.09	0.0	4.75	3.66	12.97	7.58	8.11	24.49	18.17	14.85	6.41	14.67	12.46	14.62	55.48	54.31	55.77
Vrk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	20.03	26.58	9.2	17.18	10.05	0.15	0.94	7.11	7.7	4.62	2.24	2.2	2.24
Wipf3	0.0	0.0	0.27	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.55	0.0	0.0	0.0	0.0	0.0	0.0	64.88	0.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.09	16.59	0.0	0.0	0.0	0.0	21.75	5.7	38.24	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	14.09	35.68	19.11	12.25	8.67	11.48	18.47	9.02	29.55	9.17	16.66	17.32	86.45	99.02	90.36
Xpr1	29.24	26.42	0.0	22.01	50.71	63.9	0.0	0.0	0.0	5.87	0.0	6.46	0.0	21.18	0.0	0.0	0.0	0.0	0.0	0.0	117.06	148.03	0.0	0.62	0.0	0.07	0.0	0.0	0.0	4.02	2.76	0.12	12.18	0.0	40.56	0.17	0.0	0.0	0.04	15.05	14.67	0.18	0.23	0.0	7.86	0.0	3.09	0.22	0.0	8.01	0.06	24.49	0.0	16.56	50.87	16.64	0.04	0.0	0.54	83.51	3.0	0.13	0.65	0.0	0.15	14.15	36.18	0.05	0.0	15.84	7.34	14.61	11.8	7.36	10.77	17.6	5.19	6.44	11.37	5.72	12.04	53.69	46.36	51.42
Zfp472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.63	0.0	0.0	0.0	0.0	0.0	0.0	258.3	0.0	0.0	0.0	0.0	259.26	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.22	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.33	0.0	0.0	10.67	32.75	32.34	0.37	6.96	21.0	0.0	9.44	0.0	6.79	13.45	6.56	4.4	3.31	4.85
Zfp955b	0.04	0.0	0.0	0.0	0.31	0.08	86.98	0.0	0.0	0.0	140.1	131.33	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	223.42	0.0	2.4	0.0	0.0	0.0	193.29	0.0	278.82	0.0	37.81	48.79	0.19	0.0	0.0	157.54	0.3	0.15	0.0	50.02	37.21	1.34	65.51	0.0	0.0	2.89	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	16.05	8.43	0.0	0.0	0.45	1.12	0.0	0.33	253.31	0.15	82.76	85.68	46.73	47.76	77.47	79.4	55.29	42.77	76.78	34.63	32.66	31.64	14.43	11.37	13.86
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	1.71	0.0	0.79	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	1.71	0.0	0.79	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	1.71	0.0	0.79	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	1.71	0.0	0.79	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	4.83	261.93	46.91	210.2	12.15	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
