	"NCI.H2126"	"NCI.H1355"	"LB2241.RCC"	"LB996.RCC"	"EKVX"	"X697"	"ECC12"	"KE.37"	"NCI.SNU.5"	"P30.OHK"	"SCH"	"SIG.M5"	"SW684"	"BL.41"	"BL.70"	"A3.KAW"	"NCI.H2107"	"D.263MG"	"EW.12"	"CL.11"	"KARPAS.231"	"NU.DUL.1"	"SU.DHL.6"	"WIL2.NS"	"A498"	"KARPAS.45"	"KP.N.RT.BM.1"	"Kasumi.3"	"P116"	"CP67.MEL"	"NCI.H378"	"NCI.H250"	"SW780"	"NCI.H2170"	"SW756"	"MIA.PaCa.2"	"NCI.H2291"	"SW1573"	"KYSE.70"	"OVCAR.3"	"MCF7"	"Hs.578.T"	"HOP.92"	"CAL.72"	"Detroit562"	"FADU"	"HEC.1"	"HT.1376"	"HT55"	"DMS.53"	"Mewo"	"MG.63"	"NCI.H441"	"NCI.H2452"	"NCI.H1793"	"NCI.H28"	"Saos.2"	"SW13"	"OE19"	"COLO.678"	"NY"	"C3A"	"NCI.H1651"	"SW1990"	"MDA.MB.415"	"SiHa"	"SKG.IIIa"	"TT"	"NCI.H2023"	"H2369"	"H2461"	"Hs.766T"	"huH.1"	"KON"	"KYSE.30"	"MCC26"	"OCUM.1"	"PANC.04.03"	"PCI.30"	"SU.DHL.5"	"SU.DHL.10"	"SW1116"	"NCI.H929"	"MHH.CALL.2"	"MOLT.16"	"TI.73"	"BALL.1"	"CML.T1"	"Jurkat"	"CRO.AP3"	"KARPAS.1106P"	"MOLM.16"	"OVCA432"	"MM1S"	"OCI.LY7"	"Set2"
"PIK-93"	1.802005	1.990278	1.458103	0.544287	1.554475	0.0	0.0	0.0	1.289277	0.0	1.800562	0.0	2.495098	0.0	0.0	0.0	0.0	0.995559	0.0	1.246718	0.0	0.0	0.0	0.0	1.90363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.843641	0.74342	1.427881	1.687704	2.372278	2.107997	0.546647	1.831149	1.776775	1.510821	1.277872	2.013325	0.608887	1.06877	1.08785	2.057264	1.185209	1.960418	0.956912	1.800718	1.703422	1.780888	1.086337	0.889584	2.330174	1.761708	1.965573	1.315108	1.297577	1.802121	1.579786	1.511921	0.68178	2.072267	2.269171	1.896792	0.933123	0.715704	1.270683	2.134676	2.134199	1.610072	0.0	1.776295	1.756111	1.48688	0.775861	0.0	0.0	2.172528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SB52334"	1.249501	1.032062	1.170479	1.149406	2.109192	0.0	0.0	0.0	1.22961	0.0	1.427177	0.0	2.118502	0.0	0.0	0.0	0.0	1.034927	0.0	1.174533	0.0	0.0	0.0	0.0	1.916238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.306898	0.509071	0.472916	1.258438	1.985716	1.137816	1.110443	1.362552	1.164437	0.937575	1.115229	1.460278	0.733677	0.439991	1.062543	1.536721	1.299887	1.413868	0.128468	1.340519	1.579618	1.493963	1.66368	0.63745	1.911411	1.142688	1.444472	1.460778	0.967242	1.300384	1.279732	1.12844	1.836191	1.557433	1.821344	1.5625	0.782411	0.669669	1.111919	1.165834	1.639593	0.989302	0.0	1.723045	1.416837	1.103997	1.094762	0.0	0.0	1.820012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TPCA-1"	1.538467	1.558225	0.934265	0.0	1.833368	0.0	0.0	0.0	1.664625	0.0	1.816746	0.0	2.347873	0.0	0.0	0.0	0.0	1.568284	0.0	1.080727	0.0	0.0	0.0	0.0	1.7441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.801853	0.865929	1.467611	1.57709	2.079855	1.708457	0.982837	1.63466	1.61489	1.736583	1.229127	1.856737	1.040392	0.307247	1.536569	1.90047	1.3467	0.492232	1.729336	1.763652	0.0	1.692741	1.542102	0.595821	2.18877	1.599184	1.829806	1.695718	0.660062	1.71827	1.54467	1.596548	2.120675	1.91651	1.959275	1.462586	0.719883	0.65074	1.054518	2.069226	1.979216	1.416688	0.0	1.510104	1.417443	1.711797	0.887307	0.0	0.0	2.033444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fedratinib"	1.691027	1.399622	1.032265	1.335277	1.176473	0.0	0.0	0.0	1.802833	0.0	1.002706	0.0	2.238834	0.0	0.0	0.0	0.0	1.806488	0.0	2.037953	0.0	0.0	0.0	0.0	0.364177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.751465	0.797037	2.043007	1.518721	2.431116	0.67326	0.496263	1.938995	1.749578	0.938156	1.962566	2.010052	0.673963	0.432374	1.068661	1.226621	1.783925	1.546608	1.555939	1.947845	1.783942	2.015374	0.938675	0.500733	1.67489	1.636793	1.743684	1.155252	1.340049	1.862161	1.723685	1.98912	2.305372	2.074504	2.176287	0.240075	1.491562	0.850447	1.250558	1.797229	1.828113	0.574367	0.0	1.708617	1.305837	1.077691	1.112201	0.0	0.0	2.435466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Foretinib"	2.094485	1.356618	0.841224	0.421638	1.787126	0.0	0.0	0.0	0.0	0.0	0.55611	0.0	3.725395	0.0	0.0	0.0	0.0	0.31426	0.0	0.69352	0.0	0.0	0.0	0.0	3.266408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.363378	1.408966	2.293604	0.761642	3.612575	0.990274	0.816327	3.046137	2.863778	0.321915	1.139473	1.415473	0.223142	0.495776	0.874872	3.199988	1.780585	2.001827	0.959495	3.07648	0.923593	2.566546	0.929646	0.887319	3.538371	0.893437	1.132988	0.727869	0.967571	0.966193	0.859615	1.052638	3.470746	2.681983	3.454635	0.607262	0.502252	0.074233	0.84401	0.933205	3.292892	0.53831	0.0	3.054904	1.250316	0.595635	0.478234	0.0	0.0	1.292011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Y-39983"	1.300864	1.618771	0.745392	0.815054	0.838925	0.0	0.0	0.0	1.083922	0.0	1.265329	0.0	1.914053	0.0	0.0	0.0	0.0	0.377108	0.0	1.094939	0.0	0.0	0.0	0.0	1.590966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.972132	0.73701	0.701353	1.110558	0.998827	1.533884	0.66338	1.098799	1.023868	0.610194	1.047332	1.25014	0.315814	0.582518	0.928796	1.371225	1.090631	1.255823	0.809326	1.147734	1.357623	1.184348	1.62592	0.55809	1.720828	1.00459	1.218941	1.313309	0.747197	1.136712	0.992678	1.33118	1.500161	1.390339	1.635273	1.734603	1.205668	0.301547	0.975709	1.384483	1.465929	0.661079	0.0	0.853785	0.589594	1.919068	0.732882	0.0	0.0	1.852624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"YM201636"	0.637608	1.480742	0.52924	0.741859	2.695157	0.0	0.0	0.0	1.693321	0.0	1.893042	0.0	2.592583	0.0	0.0	0.0	0.0	1.090186	0.0	1.905287	0.0	0.0	0.0	0.0	2.140732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.771333	0.689818	1.986014	1.269208	2.444884	1.60636	0.741827	1.782351	1.627179	0.939302	1.880393	1.88207	0.399036	0.864599	0.927084	2.003887	1.131912	1.879574	1.431393	1.84802	1.008272	1.417658	1.696758	0.782699	2.38303	1.606487	1.635103	1.416056	1.304097	1.764014	1.750265	1.991854	1.501797	1.46081	2.147703	1.416476	0.001547	0.11621	0.676772	2.031074	2.105415	1.449915	0.0	2.192426	1.883176	1.900266	0.531315	0.0	0.0	2.512659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tivozanib"	1.319063	1.358972	0.579005	0.671553	3.217835	0.0	0.0	0.0	0.577228	0.0	0.877152	0.0	1.732722	0.0	0.0	0.0	0.0	0.999222	0.0	0.241748	0.0	0.0	0.0	0.0	1.771401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.702704	0.543968	0.9489	0.62067	1.837325	1.237996	0.73206	0.847837	0.473181	0.732422	0.576738	0.838258	0.193015	0.211598	0.303267	1.071678	0.643204	0.880924	0.617744	0.865343	1.46487	0.836032	1.697153	0.795154	1.681243	0.41661	0.936462	0.992571	0.401891	0.684851	0.76913	0.494435	1.573156	1.115596	1.539435	1.706468	0.913825	0.388025	1.190107	0.749836	1.240585	0.0	0.0	0.798099	0.883498	1.094524	0.974172	0.0	0.0	1.305791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"GSK690693"	1.204639	1.290721	0.906595	0.851615	2.02319	0.0	0.0	0.0	0.879139	0.0	0.518333	0.0	1.385937	0.0	0.0	0.0	0.0	1.065367	0.0	1.086468	0.0	0.0	0.0	0.0	0.876178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93454	0.863457	1.081303	0.874753	1.431631	0.702502	0.38875	0.996776	0.832124	0.946054	0.999059	0.929169	0.375537	0.717032	0.758835	1.099894	0.927724	1.011531	0.972305	1.004469	1.329679	1.079687	1.385985	0.767675	1.339712	0.81742	1.035725	1.143079	0.800794	0.93001	0.828318	1.09134	0.658352	1.114791	1.304563	1.39372	0.600068	0.65958	1.14918	1.228053	1.173886	0.688033	0.0	0.994501	1.006586	1.44211	1.033808	0.0	0.0	1.38072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SNX-2112"	1.753133	1.931913	1.812395	0.0	1.311307	0.0	0.0	0.0	1.618782	0.0	2.100142	0.0	2.483587	0.0	0.0	0.0	0.0	0.506327	0.0	1.387506	0.0	0.0	0.0	0.0	1.987562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.597457	1.153488	1.210241	1.357269	2.433162	2.173885	0.939741	1.864194	1.945171	1.470528	0.0	2.127812	0.962846	0.376977	1.667095	1.897914	1.033775	1.744476	1.609568	2.012742	1.605997	1.428556	2.323981	1.289075	2.387796	1.860392	0.306424	0.990155	1.174307	0.0	1.253739	2.141869	1.952721	2.072255	2.123764	1.183444	1.026484	0.0	1.533997	2.011625	1.896373	1.410819	0.0	2.175842	1.440497	1.623548	0.681183	0.0	0.0	2.45605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"QL-XI-92"	1.38535	1.129335	1.094162	1.159301	2.64071	0.0	0.0	0.0	1.060899	0.0	0.962964	0.0	1.847227	0.0	0.0	0.0	0.0	1.258228	0.0	0.924819	0.0	0.0	0.0	0.0	1.158203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.131955	0.967065	0.836518	1.02034	1.66201	0.798594	0.701017	1.221222	0.996825	1.147485	1.196016	1.305401	0.81376	0.779611	0.773951	1.361756	1.112713	1.239962	1.157597	1.231707	1.383272	1.32927	1.518677	0.332724	1.726318	0.973216	1.264618	1.472409	0.953692	1.128652	1.168186	0.806982	1.655309	1.382059	1.640759	1.761936	1.041325	0.816858	1.429231	1.405687	1.303992	0.731746	0.0	0.934325	1.244819	1.409113	0.861026	0.0	0.0	1.831461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"XMD13-2"	1.761737	1.515266	1.36233	1.324397	2.409719	0.0	0.0	0.0	1.325537	0.0	1.491291	0.0	1.825256	0.0	0.0	0.0	0.0	1.029914	0.0	0.772879	0.0	0.0	0.0	0.0	1.579747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.807424	1.193987	0.708813	0.343511	2.065927	1.396092	0.301395	1.483182	1.262533	1.286712	1.004704	1.26646	0.542621	0.1733	0.723657	1.613936	0.531132	1.452956	0.731347	1.296562	1.329697	1.595578	2.005883	1.160179	1.982524	1.006025	1.51892	1.853782	0.57635	1.393709	1.195866	1.216624	1.716322	1.641332	1.895711	2.004249	1.59777	0.221316	1.687802	1.749957	1.720525	0.744525	0.0	1.124452	0.990385	1.494668	1.003612	0.0	0.0	1.931754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"QL-X-138"	1.452319	1.586407	2.126296	1.63629	1.278106	0.0	0.0	0.0	1.258686	0.0	1.061568	0.0	1.144316	0.0	0.0	0.0	0.0	1.523808	0.0	1.750582	0.0	0.0	0.0	0.0	0.886114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44791	1.224904	0.685293	2.010623	2.295891	0.895388	0.765506	2.221352	1.958689	1.243049	2.238088	2.273881	0.864133	0.622025	0.874956	2.275927	2.14387	2.236904	1.963827	2.228708	2.0175	2.310407	0.319446	1.29225	1.736839	0.993634	2.16591	0.779582	1.333619	2.007322	2.11962	0.883448	1.60029	1.241804	2.399919	2.27206	1.227467	0.937391	1.331852	1.544711	2.408036	1.262976	0.0	1.927299	1.167805	0.880124	0.867177	0.0	0.0	2.528944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"XMD15-27"	1.266722	1.440334	0.664302	0.815467	2.642182	0.0	0.0	0.0	0.610244	0.0	0.895626	0.0	1.893161	0.0	0.0	0.0	0.0	0.985834	0.0	0.870638	0.0	0.0	0.0	0.0	1.673645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.722002	0.595833	1.029003	0.651784	1.724526	1.275599	0.724359	0.847498	0.515423	0.7452	0.888821	0.96707	0.271055	0.0	0.36711	1.055468	0.663611	0.877255	0.949292	0.863014	1.523592	1.016985	1.633002	0.670822	1.579247	0.485392	0.777989	1.241753	0.451728	0.712293	0.77821	1.037903	1.490381	1.07503	1.468352	1.648339	0.762971	0.335125	1.155451	1.394759	1.204698	0.111145	0.0	1.004694	0.881342	1.876448	0.550378	0.0	0.0	1.774611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"T0901317"	1.064532	1.198204	0.557238	0.912624	2.651818	0.0	0.0	0.0	0.32269	0.0	0.66149	0.0	0.996751	0.0	0.0	0.0	0.0	0.552891	0.0	0.165901	0.0	0.0	0.0	0.0	1.599786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.714828	0.478316	0.0	0.109534	1.363381	0.947301	0.418043	0.939828	0.594941	0.856148	0.934517	0.635498	0.092119	0.332012	0.126422	1.086795	0.650429	0.481457	0.674592	0.836696	0.670692	1.078292	1.427073	0.777033	1.552467	0.421483	0.655323	1.216499	0.611383	0.816164	0.847468	0.364549	0.642619	1.119395	1.382879	1.563121	0.890262	0.285743	1.189722	0.901341	1.175068	0.0	0.0	1.03586	0.0	1.28818	0.383429	0.0	0.0	1.727092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"KIN001-270"	1.429015	1.474022	0.425451	0.929681	3.098201	0.0	0.0	0.0	0.991123	0.0	0.737795	0.0	2.218421	0.0	0.0	0.0	0.0	0.893033	0.0	1.108952	0.0	0.0	0.0	0.0	1.739423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.604065	0.610173	0.270507	0.259833	0.824311	1.456291	1.108591	1.128468	0.681303	0.84901	0.0	1.284605	0.0	0.278401	0.752276	1.415017	1.03689	0.13482	0.990404	1.085541	1.305626	1.222966	1.347412	1.466752	1.939088	0.828514	1.29131	1.809061	0.685493	1.090208	0.849246	0.571991	1.506109	1.398766	1.726411	1.952005	1.146743	0.327985	1.277268	1.592064	1.544656	0.150602	0.0	1.602199	0.971728	1.656296	1.069967	0.0	0.0	1.372981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"THZ-2-102-1"	1.781983	1.723991	1.654323	1.955669	0.360631	0.0	0.0	0.0	2.249026	0.0	2.376618	0.0	2.722038	0.0	0.0	0.0	0.0	0.770116	0.0	1.80285	0.0	0.0	0.0	0.0	2.534811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.035796	1.06235	1.510002	0.271997	2.673653	1.679629	0.160254	2.312786	1.837867	0.0	1.330281	2.33711	0.947345	0.641613	1.078272	2.395344	0.942517	2.320375	0.492787	2.285158	0.989118	1.403404	1.431276	0.986477	2.129877	1.748479	2.340031	1.260695	2.073179	1.368359	1.613818	2.228077	0.007687	1.123623	2.053161	0.0	1.750763	0.357594	0.836776	2.52133	2.414603	1.774979	0.0	1.482324	1.785581	1.166879	1.640909	0.0	0.0	2.726205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
