	"58.Elutriation2:Sample2:Time5.0hrs"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"514.2.5mM DTT 030 min"	"516.2.5mM DTT 060 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YHR096C"	-0.802	2.05	4.316	5.573	5.3105	4.401	3.4085	5.0375	5.238	-3.693	-0.455	-0.492	-4.15	-3.066	1.686	2.339	1.669	4.284	5.741	5.093	5.155	5.155	4.52	5.687	4.524	-0.759	0.585	4.426	4.823	4.644	4.582	3.276	4.069	4.974	4.183	5.745	6.472	5.826	1.841	3.498	2.941	1.274	3.148	3.597	3.595	1.659	2.337	3.101	2.974	2.108	3.156	2.415	2.23	3.201	6.7425	-0.554	-0.616	-0.266	-0.08	-0.284	-0.141	1.377	1.897	2.01	1.926	1.213	0.958	0.957	0.118	0.394	-0.216	1.75	1.279	-0.163	2.204	1.026	0.999	1.972	1.936	1.927	2.337	1.942	2.186	1.14	1.066	5.589	5.478	4.324	4.216	6.151	4.914	6.856	4.354	5.733	4.467	3.821	4.401	4.015	4.219
"YHR160C"	-0.11	1.042	1.224	1.4005	1.237	1.0915	0.9665	1.3915	0.869	-0.585	0.056	-0.553	-0.401	-0.287	0.508	0.819	1.274	2.803	2.285	3.129	2.892	3.668	3.757	5.293	1.754	-0.08	0.514	1.87	2.171	1.972	0.87	2.914	1.936	1.829	2.887	3.407	3.939	3.173	0.686	1.186	1.789	0.205	1.511	2.219	2.121	0.901	2.013	2.425	1.422	1.995	2.57	2.466	2.55	3.31	1.0445	-0.438	-0.071	0.634	0.486	-0.052	-0.01	0.336	0.512	-0.374	0.566	-0.479	-0.004	1.656	0.736	1.551	1.093	2.359	2.182	0.147	1.218	0.333	0.808	0.565	1.473	1.153	1.288	1.645	1.53	1.588	1.107	1.524	1.37	0.512	1.708	1.638	0.763	1.186	0.641	1.699	2.004	0.563	0.634	0.872	0.913
"YIL097W"	-0.354	1.7225	2.275	2.1145	-0.0095	1.996	1.3105	1.8625	1.8665	-0.485	-0.456	-0.415	-1.379	-0.584	0.95	1.195	0.867	3.652	2.439	2.393	2.036	2.507	2.43	3.556	2.729	0.733	1.252	1.732	2.315	1.786	1.294	2.356	1.47	2.0	2.636	2.674	2.268	1.763	1.985	1.835	1.241	0.938	0.714	0.921	0.413	0.81	0.982	0.788	1.203	1.37	1.884	2.382	2.447	2.515	2.0615	-0.414	-0.516	0.177	0.106	-0.447	-0.472	1.372	1.721	1.332	1.538	1.116	1.482	2.227	1.796	2.372	1.344	2.265	1.547	-0.127	0.776	0.735	0.995	0.786	0.914	1.299	0.764	0.835	0.708	0.764	0.118	2.145	1.491	1.067	1.995	2.194	0.877	1.863	-0.098	1.004	1.12	0.803	1.23	0.712	1.075
"YIL101C"	-0.301	3.5095	4.1215	4.271	NaN	3.439	3.398	3.9075	3.7695	-1.848	-1.7	0.263	-3.059	-2.717	1.783	1.746	0.957	4.085	3.455	3.613	3.609	3.977	2.863	4.152	3.241	0.536	-0.084	2.324	2.418	1.78	1.936	1.742	2.114	3.227	2.8	4.566	4.346	4.03	2.172	2.598	2.523	1.829	1.93	2.166	1.643	1.053	1.652	1.944	3.301	1.39	1.982	1.981	2.369	1.881	4.3735	-0.624	-0.805	-1.158	-0.401	-1.413	-0.747	0.759	0.455	0.944	0.619	-1.321	1.16	1.633	1.534	1.234	0.774	0.661	0.435	-1.042	0.04	0.278	0.348	0.2	0.375	0.331	-0.065	0.381	-0.247	0.276	0.891	1.3765	1.809	1.642	2.0685	1.6855	1.1155	1.2415	1.032	0.991	0.6585	0.828	1.183	1.152	1.071
"YIL107C"	-0.613	1.0715	2.092	2.137	NaN	1.9595	1.993	2.0835	1.712	-1.133	-0.646	0.546	-1.222	-1.169	0.607	0.05	1.274	3.104	2.688	2.798	2.727	3.167	3.632	4.232	2.055	-0.125	0.875	2.196	1.378	1.436	1.555	2.425	2.194	2.663	2.959	2.551	1.671	1.3	1.919	2.179	2.359	1.167	1.686	1.831	1.754	1.489	1.687	1.951	2.551	1.695	1.931	2.323	2.341	2.295	2.0415	-0.192	-0.251	-0.169	0.29	-0.536	-0.146	0.54	0.185	0.401	0.363	0.1	0.898	0.664	0.401	0.208	-0.066	NaN	-1.252	-0.57	1.294	1.107	1.051	0.126	1.351	0.653	1.04	1.542	0.779	1.923	0.63	1.951	2.139	1.752	2.091	2.0635	1.178	1.966	0.4935	0.924	0.869	0.984	1.5325	1.384	1.015
"YIR037W"	0.172	0.421	1.4695	1.4315	1.597	1.3675	1.249	1.6065	1.702	-0.156	0.802	0.956	-0.229	-0.48	0.671	0.399	0.828	2.365	2.359	2.605	2.529	2.554	2.21	2.393	0.718	0.111	1.096	1.584	1.617	0.942	1.262	2.657	1.952	1.864	2.343	2.858	2.315	1.399	1.184	0.924	0.562	0.521	0.349	0.823	1.319	-0.401	-0.149	0.254	1.663	1.853	1.626	1.519	1.07	1.82	1.691	0.01	-0.279	0.797	0.308	0.774	0.506	0.893	1.513	0.755	1.521	0.55	1.092	1.467	2.155	0.931	1.134	0.117	0.79	0.073	1.307	0.514	0.925	1.083	1.152	1.18	1.007	0.981	0.965	0.442	-0.323	2.251	2.551	1.775	2.719	2.741	2.341	2.351	1.673	1.528	1.243	1.976	2.0	1.811	1.7
"YIR038C"	-0.384	0.8275	2.3635	2.9845	2.6665	2.406	2.3685	2.499	2.734	-1.298	-0.49	0.971	-1.364	-0.909	0.423	0.751	1.624	2.688	2.939	2.784	3.094	3.422	2.764	4.672	1.247	0.59	0.977	2.004	2.091	1.659	1.539	2.776	2.776	2.764	3.481	4.704	4.358	3.022	2.245	2.037	0.772	0.592	0.485	1.496	1.706	-0.113	0.542	0.924	2.816	2.428	2.533	2.361	2.143	2.408	2.6325	-0.43	-0.583	0.007	-0.094	0.189	-0.097	1.564	2.951	1.673	3.303	1.355	1.548	2.6	3.367	1.983	2.679	1.513	2.159	-0.164	1.589	1.118	1.153	1.192	1.57	1.55	1.009	1.542	0.9	1.458	0.899	2.945	3.199	2.621	4.229	3.133	2.934	3.154	2.478	2.331	2.376	1.258	2.237	0.679	1.889
"YJL103C"	0.276	1.054	2.011	3.288	1.943	1.6305	1.3185	1.3855	1.0685	-1.295	-0.07	-0.093	-0.823	0.064	0.858	1.137	0.596	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.515	0.364	0.14	1.735	2.684	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.006	2.229	2.668	0.772	1.007	0.448	1.066	0.805	0.197	0.758	0.867	0.352	1.466	1.552	1.399	1.989	2.047	1.6965	-0.638	0.552	0.052	-0.776	0.221	-0.079	0.851	1.325	1.356	0.989	-0.314	0.574	0.296	0.086	0.433	-0.307	-0.197	-1.907	-0.276	-0.082	0.077	-0.543	0.193	0.283	-0.515	0.192	0.462	-0.122	1.592	0.074	1.9115	3.146	2.8995	2.897	3.1435	2.411	2.663	1.0455	1.528	1.6935	0.162	0.189	0.0455	0.7415
"YJL164C"	-0.004	0.965	2.1985	3.007	-0.121	2.5085	2.594	3.178	2.788	-1.45	-0.594	0.585	-1.546	-1.656	1.305	1.899	1.345	2.713	2.389	2.642	3.115	3.387	3.53	3.922	1.602	-0.553	-0.009	2.024	1.678	1.178	1.432	1.968	2.744	2.975	3.214	3.039	3.766	3.209	1.887	1.674	3.32	2.095	2.635	2.616	2.669	2.55	3.102	2.783	1.964	2.033	2.003	1.459	1.432	2.125	3.0105	-0.38	-0.611	-0.287	-0.044	-0.667	-0.371	1.808	1.839	1.417	1.623	0.216	3.526	2.362	1.231	1.542	1.011	0.856	0.837	-0.014	0.165	-0.093	0.128	0.053	0.156	-0.124	-0.056	-0.057	-0.193	0.791	-1.785	0.558	1.278	0.941	1.499	1.742	0.986	2.348	1.661	1.916	1.472	1.285	1.401	1.891	0.093
"YJL185C"	-0.071	0.4015	1.414	0.475	0.9745	0.768	0.6965	0.9725	0.984	-0.637	-0.585	-0.943	-0.704	0.575	0.43	0.316	0.772	2.062	2.22	2.091	1.526	1.748	2.056	3.178	1.358	-0.467	0.195	1.2	1.493	2.057	1.529	2.666	1.76	2.126	2.385	2.188	4.108	3.299	0.875	1.918	1.018	0.127	0.917	1.013	1.133	0.835	0.875	0.895	1.301	0.543	1.031	0.863	1.374	1.798	1.1405	0.417	0.249	0.239	0.242	-0.289	-0.026	0.789	1.507	0.744	1.587	0.309	0.676	1.62	0.607	1.665	1.146	1.552	1.194	-0.723	0.955	0.696	-0.731	0.937	1.036	1.02	1.162	1.075	0.726	0.153	0.284	2.152	1.808	0.81	1.727	2.015	1.118	1.24	2.0	2.908	2.711	0.77	1.076	0.664	0.386
"YJR008W"	-0.307	2.404	4.05	3.38	2.5185	2.6695	2.33	2.81	2.208	-1.138	-0.214	0.159	-0.955	-1.563	1.315	2.423	1.78	2.34	2.316	3.929	3.529	4.368	3.419	3.964	3.745	0.365	0.506	3.536	2.826	1.935	3.793	3.467	3.586	3.187	3.699	4.553	5.21	4.377	1.931	1.781	1.838	1.049	1.667	1.513	1.765	1.555	1.425	1.54	2.805	2.324	2.3	2.326	2.183	2.084	2.806	-0.03	0.049	0.585	0.61	-0.319	-0.147	1.648	2.174	1.073	2.487	1.402	1.879	2.892	2.152	2.264	1.959	2.514	2.029	-0.314	1.209	0.994	0.751	1.07	1.408	1.208	1.394	1.148	0.982	0.493	0.782	3.648	3.265	2.533	3.072	3.435	2.523	3.297	2.472	2.944	2.817	0.915	2.079	1.684	1.537
"YJR155W"	-0.165	0.044	0.584	0.2855	0.446	0.0685	0.455	0.4125	0.193	-0.503	-0.409	0.182	-0.545	-0.128	0.076	0.018	0.158	2.018	1.913	1.985	1.927	2.816	2.757	4.25	0.671	-0.488	0.083	0.962	1.689	1.485	0.592	1.807	1.913	3.029	3.8	3.105	4.435	2.971	1.651	1.861	0.043	0.016	-0.156	0.446	0.511	-0.258	0.201	0.359	2.418	0.245	1.314	2.375	2.196	3.209	0.3485	-0.134	-0.271	0.09	0.073	-0.08	0.125	0.345	0.29	0.153	0.718	-0.237	0.331	0.062	0.158	0.282	0.726	0.818	0.268	0.172	0.236	0.796	0.401	0.848	1.452	0.709	1.141	1.363	1.293	1.18	1.771	2.634	2.97	2.692	3.253	2.215	1.388	2.745	1.726	2.897	2.44	1.472	1.478	0.951	0.737
"YKL026C"	-0.455	0.9095	1.979	2.2195	2.506	1.669	1.275	2.0745	1.793	-1.322	-0.869	-0.573	-1.167	-0.206	0.788	0.865	1.417	4.553	3.42	4.251	4.429	4.068	3.618	5.561	3.587	0.973	2.628	3.848	3.239	3.305	3.067	3.106	2.687	3.137	3.607	4.354	3.97	3.468	3.843	3.191	1.806	0.538	0.766	1.439	1.522	0.762	1.227	1.317	1.288	1.381	2.371	2.834	2.644	2.609	2.634	-0.193	-0.071	0.869	0.769	0.212	0.553	1.03	1.649	0.95	1.847	0.8	1.157	2.974	1.764	1.061	0.876	2.999	1.505	0.156	1.561	0.704	1.121	1.559	1.784	1.74	1.944	1.981	1.653	1.292	1.838	3.937	5.449	4.434	3.949	4.063	3.2	3.668	3.417	4.872	4.16	3.385	2.394	3.546	2.959
"YKL093W"	1.193	0.86	1.489	2.467	1.907	1.872	1.138	1.891	2.147	-0.926	-0.809	-0.669	-0.626	-0.901	1.052	2.013	1.477	5.448	4.655	4.714	4.393	4.525	4.208	4.369	2.966	0.19	0.661	3.199	3.212	2.953	3.082	4.872	3.902	2.916	2.536	2.725	3.515	2.14	2.251	2.314	2.515	0.796	1.45	1.642	1.688	1.52	1.819	1.784	2.745	1.924	2.544	1.743	1.753	2.33	2.213	-0.136	-0.183	0.974	0.862	0.144	0.28	0.743	0.508	0.675	1.001	0.086	0.925	0.389	0.111	0.848	0.531	0.957	0.842	-0.338	0.655	0.307	-0.321	0.278	0.695	0.923	0.87	1.101	0.76	0.38	0.414	4.428	4.865	2.992	4.992	4.664	3.337	3.528	2.899	3.144	3.011	0.919	1.775	0.941	1.4
"YKL107W"	-0.565	1.325	1.325	1.0	0.857	1.263	0.862	0.923	0.503	-0.922	-0.493	-0.131	-0.434	0.755	0.237	0.491	0.025	1.977	2.059	2.503	3.68	4.957	3.01	2.551	1.921	-0.609	-0.377	2.906	3.458	3.261	3.268	0.377	1.672	3.239	2.313	2.83	4.046	3.889	1.061	1.854	1.714	0.022	1.216	1.707	1.777	0.682	1.343	1.704	3.415	0.332	1.147	1.153	1.626	2.877	0.974	-0.199	-0.161	0.46	1.086	-0.588	-0.189	0.501	1.203	0.393	0.997	0.014	2.24	1.367	0.498	1.711	1.73	2.253	1.648	-0.539	2.317	1.066	1.121	1.894	2.233	2.253	2.07	1.851	1.562	1.287	2.291	0.468	2.498	2.107	1.177	2.125	1.052	2.807	2.224	2.837	1.872	2.534	3.094	3.18	2.366
"YKL188C"	-0.098	0.823	1.035	1.47	1.231	1.135	0.893	1.523	0.943	-1.0	0.134	0.022	-0.711	-0.903	0.867	1.29	0.609	3.327	2.618	3.762	3.442	3.541	3.541	4.022	1.904	0.027	0.313	2.493	2.062	2.272	2.582	3.154	2.7	2.25	2.41	1.848	2.413	1.164	0.997	1.446	1.11	0.564	1.257	1.36	1.164	0.915	1.195	1.318	0.653	2.073	2.004	2.364	2.278	2.804	0.683	-0.522	-0.372	0.325	-0.18	-0.126	-0.23	0.241	-0.185	-0.353	0.171	-0.741	-0.085	0.296	0.316	-0.716	-0.463	-0.354	NaN	0.01	0.168	0.77	0.45	0.516	0.109	-0.117	0.353	0.401	0.191	0.548	-0.994	1.348	1.935	0.837	2.464	1.642	1.509	1.838	0.534	1.192	1.455	1.165	1.003	0.089	1.252
"YKR076W"	-0.328	0.915	2.43	3.246	3.251	3.167	2.682	2.836	NaN	-1.827	-0.703	0.0	-1.823	-0.018	0.982	0.594	1.109	3.875	3.412	4.51	4.77	4.76	3.109	4.215	2.521	-0.503	-0.152	2.875	3.119	2.854	2.389	3.911	4.278	4.042	4.538	4.985	4.234	3.654	2.004	2.728	1.583	1.21	0.85	1.538	2.137	0.584	1.153	1.71	3.177	2.489	3.59	3.693	3.257	3.773	2.74	-0.149	-0.015	0.662	0.677	0.568	0.036	0.839	1.315	0.825	1.476	0.124	0.288	2.637	0.141	1.29	1.961	0.155	0.873	-0.978	0.915	0.659	0.218	0.649	0.674	0.645	0.723	0.708	-0.027	0.226	0.959	3.013	2.863	1.964	4.538	3.998	2.687	3.66	1.7	2.512	2.075	1.69	1.369	1.293	1.37
"YLR038C"	-0.1945	0.47	1.066	0.416	0.529	0.355	0.11	0.478	0.269	0.098	-1.23	-0.267	0.072	0.24	0.531	-0.188	0.1	2.334	3.06	3.644	2.917	2.446	2.258	1.139	1.631	1.243	0.932	1.558	1.943	1.743	1.632	2.849	2.58	2.437	2.519	2.403	1.712	0.964	1.138	1.83	-0.227	0.795	-0.836	-0.492	-0.447	-0.661	-0.552	-0.513	1.856	1.199	1.249	1.764	1.853	2.225	0.71	0.07	0.197	0.423	0.562	0.709	0.723	0.079	0.058	0.046	0.336	0.84	0.733	1.063	0.828	0.195	0.378	0.142	0.027	-0.127	0.258	-0.106	0.335	0.312	0.003	0.224	0.139	-0.05	0.28	-0.045	-0.058	2.593	3.805	3.545	1.645	2.985	3.373	3.427	0.867	1.159	0.807	-0.483	-0.131	-0.562	-0.238
"YLR312C"	-0.055	2.56	2.513	3.556	3.544	2.257	1.469	1.793	1.485	-2.244	-0.749	-0.469	-1.371	-1.778	0.863	2.15	0.945	4.821	5.627	6.446	5.561	5.97	4.818	6.051	3.422	0.493	1.232	3.545	2.674	4.286	4.34	4.955	5.214	4.896	5.569	6.764	7.043	6.406	1.69	2.783	3.408	0.803	2.156	2.71	2.679	2.276	2.596	2.62	3.462	4.649	4.618	4.916	4.296	5.025	2.405	0.064	-0.121	0.212	0.583	0.008	0.061	1.458	0.645	1.462	1.006	1.092	2.187	1.063	0.547	1.837	0.996	2.274	2.041	-0.117	0.322	0.227	-0.1	-0.002	0.664	0.439	0.26	0.748	0.977	0.324	-0.837	3.148	4.818	3.267	4.18	4.667	4.284	4.571	1.443	2.931	2.954	2.188	2.517	2.244	1.991
"YLR345W"	-0.758	1.107	5.322	NaN	3.123	NaN	NaN	NaN	NaN	-1.555	-0.582	0.058	-1.311	-1.152	0.916	0.146	1.361	3.284	2.557	2.973	2.201	2.879	2.964	4.453	2.564	0.568	0.858	2.391	1.773	1.801	1.588	2.784	2.404	2.672	2.873	4.165	4.077	3.495	2.233	2.483	2.044	1.513	1.481	2.064	1.826	1.203	1.932	1.928	2.882	1.506	1.39	1.549	1.377	1.632	NaN	-0.439	-0.562	0.404	0.138	-0.967	-0.642	1.91	2.52	2.381	2.472	-1.234	1.406	2.183	1.322	2.899	2.11	1.425	1.415	0.194	0.563	0.36	1.072	0.498	0.749	1.154	0.714	0.71	0.368	0.703	0.595	3.184	2.929	2.177	2.961	2.519	2.651	2.696	1.981	2.368	2.017	1.332	1.112	1.566	0.974
"YMR041C"	-0.08	0.281	0.952	1.483	0.861	1.112	1.184	1.608	1.121	-0.379	-0.592	0.439	-0.345	-0.675	0.972	1.264	1.064	2.698	2.004	2.832	2.978	2.929	2.621	3.076	1.775	0.188	0.413	2.112	1.896	1.753	1.758	2.527	2.599	1.92	2.51	2.402	2.04	1.155	0.862	0.622	1.326	0.462	1.065	0.997	0.797	1.514	1.446	1.257	0.72	2.477	1.853	2.301	1.491	2.169	1.071	-0.566	-1.394	-1.085	-0.688	-1.073	-0.703	0.211	0.423	0.054	-0.009	-0.44	-0.13	-0.084	-0.378	0.441	-0.098	0.331	-0.113	-0.389	-0.1	0.401	0.072	0.162	0.486	0.221	0.255	0.383	0.221	-0.793	0.102	1.382	0.902	0.692	1.59	2.577	0.799	1.99	1.025	1.482	1.469	0.883	0.57	0.423	0.692
"YMR081C"	-0.751	1.053	2.043	1.638	1.345	0.696	0.796	1.351	1.75	-1.617	-0.445	-0.184	-1.325	0.197	0.398	1.057	0.183	5.134	4.866	4.127	4.854	4.825	5.524	6.678	6.135	1.019	0.852	5.55	5.535	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	4.226	2.582	2.79	1.049	0.324	0.599	0.557	0.25	0.322	0.255	0.177	4.371	2.369	3.016	3.007	3.482	3.108	2.226	-0.085	0.012	0.286	0.359	0.315	-0.127	NaN	1.0	1.279	0.569	1.269	1.918	0.843	-0.438	0.68	-0.147	0.514	-1.627	0.952	0.523	-0.015	0.936	0.384	0.299	0.89	1.173	1.289	1.031	0.013	-0.205	6.135	5.714	4.436	5.379	4.766	3.029	3.912	2.769	2.807	2.795	1.16	1.44	1.115	1.03
"YMR118C"	-0.233	0.049	0.67	0.05	-0.193	-0.208	0.0	0.139	0.297	-0.322	-0.294	-0.231	-0.346	0.221	0.068	0.284	-0.11	1.566	2.237	2.784	3.914	5.005	4.013	3.37	0.42	-0.041	-0.258	0.486	2.062	3.038	3.051	2.625	2.637	3.669	3.896	3.917	3.997	2.908	1.266	2.03	0.553	-0.145	0.867	0.624	0.166	1.034	0.677	0.375	4.034	0.76	3.12	3.327	3.427	3.886	0.435	0.462	0.021	-0.132	0.139	0.523	0.154	0.102	0.078	0.037	-0.184	-0.914	0.279	0.707	0.418	-0.604	-0.859	NaN	NaN	-0.162	2.642	1.907	1.996	2.422	2.415	2.321	2.779	3.374	2.665	3.163	2.854	1.914	3.07	3.019	1.55	3.693	1.817	3.974	1.663	3.018	3.073	1.253	1.639	3.599	3.793
"YMR174C"	NaN	0.9215	1.811	1.7945	2.043	1.7395	1.6945	1.9835	2.045	-1.246	-0.0035	0.1445	-0.7545	-1.0045	0.8645	1.2455	0.9475	2.678	2.6485	3.0455	3.699	3.6805	3.611	3.5505	2.5985	0.9925	0.601	2.959	2.7335	3.0985	2.8305	1.236	1.8525	2.3295	1.8395	2.9795	3.0215	2.842	NaN	NaN	2.2635	1.2415	1.504	2.4555	2.9635	1.0835	1.901	2.27	2.665	1.452	2.107	1.3505	1.118	1.247	1.817	-0.3655	-0.335	1.1735	0.923	0.993	0.794	0.9425	1.708	0.531	1.8545	1.1485	1.015	2.4485	2.563	1.7555	1.7105	1.8025	2.1165	0.239	1.601	0.8115	1.026	1.436	1.4985	1.452	1.537	1.452	2.0935	1.513	1.7175	1.5985	2.554	1.46	2.6685	3.2015	1.914	2.776	2.8975	3.914	3.1675	2.2905	2.683	2.8295	2.6675
"YMR175W"	NaN	2.646	3.928	1.9415	3.0925	2.83	1.585	0.5345	0.2925	-0.9375	-0.332	-0.6755	-1.1175	0.8515	0.903	0.105	0.2695	5.2865	5.624	5.018	6.2215	5.866	5.4325	5.448	3.9905	1.9555	2.255	5.2745	6.0905	6.604	6.4745	3.0655	3.638	4.378	4.597	6.0275	6.34	5.682	NaN	NaN	2.4265	1.033	1.1555	2.1675	2.8565	1.3345	2.092	0.763	3.661	1.5845	3.602	2.2925	2.8615	2.7475	3.677	0.0615	0.3275	3.1575	3.1355	3.4115	3.2005	0.6715	1.6965	0.787	1.805	1.957	0.838	2.137	3.6275	3.4705	4.1115	3.664	2.461	-0.9835	4.062	2.832	2.622	2.5895	3.8595	3.993	4.1025	4.207	4.9345	5.0335	4.062	3.134	5.1555	4.892	3.6655	5.6325	4.27	5.027	4.655	5.623	4.783	3.601	3.583	4.3415	3.95
"YMR253C"	0.26	0.397	0.335	0.856	1.29	0.392	1.0	1.147	0.737	-0.521	-0.359	0.263	-0.568	-0.688	0.794	0.419	0.068	1.837	1.746	1.652	1.671	1.707	2.565	2.087	1.641	-0.03	0.341	1.306	1.224	1.463	1.238	1.474	1.079	1.335	1.748	1.266	1.474	1.211	0.637	0.713	1.582	0.681	1.796	1.7	1.623	1.578	1.535	1.61	1.04	1.382	1.406	1.586	1.252	1.604	0.774	-0.57	-0.544	-0.287	0.097	0.045	-0.317	0.837	0.88	0.816	1.109	0.88	0.774	0.936	0.142	0.747	0.124	1.805	0.786	0.106	0.204	0.179	0.296	0.511	0.518	0.434	0.623	0.133	0.342	0.873	0.242	-0.064	0.578	-0.01	0.476	0.203	0.042	1.57	0.713	1.048	1.248	0.758	0.767	1.073	0.644
"YMR256C"	NaN	0.465	1.935	0.706	0.869	0.759	0.881	1.095	1.248	-0.107	-0.418	-0.098	-0.553	0.12	0.576	-0.13	-0.186	1.956	3.733	3.752	3.004	2.535	2.231	2.263	2.129	1.487	1.064	1.388	2.064	1.834	1.596	2.619	2.226	1.955	2.039	3.598	3.098	2.096	NaN	NaN	-0.066	1.015	-0.392	0.062	0.24	-0.32	-0.121	-0.216	1.843	0.724	1.701	1.387	0.97	1.196	1.387	-0.215	0.11	0.349	0.299	0.571	0.441	0.5	0.769	0.269	0.853	0.044	0.145	1.037	0.978	-0.995	-0.941	NaN	NaN	0.691	0.493	0.026	0.031	0.271	0.571	0.532	0.149	0.688	1.247	-0.124	0.477	2.73	2.949	2.952	1.861	3.152	2.399	2.31	0.844	1.115	1.061	-0.457	-0.596	-1.123	-1.171
