	"812.1M sorbitol - 45 min (* centrifugation problem)"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"
"YLR043C"	0.324	-2.278	-4.337	-0.231	-0.228	-1.218	-1.648	-1.81	-0.434	-0.671	-1.762	-1.786	-1.552	0.073	0.193	0.154	0.106	0.348	0.591	-0.777	-0.825	-0.942	-0.517	-0.19	-0.138
"YLR045C"	-0.031	-1.804	-2.728	0.445	-0.266	-0.988	-1.052	-0.794	-1.092	-1.01	-1.829	-1.751	-2.74	-0.077	0.04	0.172	0.339	0.172	0.09	-1.124	-1.177	-0.419	-1.65	0.065	0.36
"YLR060W"	-0.118	-4.941	-5.967	-1.049	-2.093	-1.988	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	0.076	0.156	0.423	0.185	-0.005	-1.72	-1.77	-1.452	-2.018	-0.624	-0.589
"YLR291C"	-0.114	-3.037	-4.762	-0.721	-1.324	-1.096	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	-0.181	-0.027	0.011	0.026	0.019	-0.025	-1.466	-1.248	-1.501	-1.028	-0.657	-0.468
"YLR293C"	0.021	-3.488	-6.281	-1.204	-2.107	-1.751	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	0.168	-0.127	-0.348	-0.244	-0.17	-1.553	-1.559	-1.887	-1.39	-0.625	-0.706
"YLR301W"	0.176	-3.676	-5.415	-0.024	-1.53	-1.429	-1.605	-2.439	-0.925	-1.325	-2.581	-2.218	-2.268	0.196	-0.102	0.527	0.289	0.07	0.273	-0.843	-0.813	-1.276	-0.97	0.54	0.764
"YLR345W"	1.222	4.453	2.744	1.64	2.391	1.773	1.801	1.588	2.672	2.873	4.165	4.077	3.495	-0.333	0.9	0.737	0.52	0.421	0.398	1.39	1.549	1.377	1.632	0.8	1.483
"YML038C"	-0.149	-2.091	-2.385	-0.089	-0.778	-0.333	-0.647	-0.712	-0.403	-0.835	-1.905	-1.837	-2.117	-0.153	-0.022	0.24	0.038	-0.012	0.175	-0.622	-0.722	-0.922	-0.681	0.125	0.294
"YML074C"	-0.202	-2.837	-5.319	-0.69	-1.258	-1.23	-1.664	-0.962	-1.207	-1.673	-2.826	-3.214	-3.466	-0.02	0.124	0.709	0.946	0.408	0.448	-1.569	-1.058	-1.082	-1.062	0.154	0.41
"YMR011W"	-0.265	-2.802	-4.162	0.467	3.646	3.052	2.407	1.878	-2.517	-3.183	-2.255	-2.278	-2.421	-0.734	NaN	-0.306	-0.368	-0.517	-0.292	-0.906	-1.753	-1.857	-1.991	-0.388	0.294
"YMR033W"	-0.263	-3.063	-4.454	0.124	-1.114	-1.054	-1.514	-1.984	-1.244	-1.469	-1.745	-1.826	-1.988	-0.266	0.071	0.333	0.391	0.402	0.019	-0.924	-0.77	-0.709	-0.418	0.473	0.504
"YMR040W"	0.354	2.675	2.565	1.338	0.515	1.564	1.642	1.629	2.174	2.714	2.027	2.608	2.208	0.12	0.105	0.115	0.342	0.174	-0.042	1.439	2.125	1.769	2.403	0.144	0.291
"YMR079W"	0.163	-2.074	-3.648	-0.788	-2.164	-1.512	-1.837	-1.777	-1.258	-1.294	-1.666	-1.971	-2.855	0.177	-0.031	-0.189	-0.21	-0.056	-0.265	-1.732	-1.54	-1.041	-1.669	-0.714	-0.724
"YMR136W"	0.181	3.822	3.472	0.953	1.675	1.86	1.615	1.525	1.491	2.1	3.818	3.637	3.119	-0.136	0.062	-0.919	-1.163	-0.754	-0.626	1.923	1.203	NaN	1.071	0.246	0.131
"YMR235C"	0.14	-3.534	-5.187	-0.465	-1.622	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.196	-0.11	0.591	0.65	0.485	0.4	-1.955	-1.504	-1.586	-1.878	0.4	-0.105
"YMR307W"	0.194	-5.132	-5.877	-1.816	-2.484	-2.482	-3.284	-3.878	-2.493	-3.39	-4.432	-5.016	-4.56	0.827	0.095	-0.306	-0.414	-0.171	-0.098	-3.414	-3.754	-3.788	-4.475	-1.093	-0.695
"YNL016W"	-0.16	-1.2125	-3.2085	-0.2735	-0.815	-0.6455	-1.4025	-1.3055	-0.714	-0.745	-1.256	-1.271	-1.9635	-0.037	0.184	-0.00599999999999999	0.11	0.037	-0.0425	-0.7485	-0.5155	-0.3395	-1.017	0.1565	-0.2385
"YNL026W"	0.066	-1.792	-4.57	-0.522	0.0	-0.467	-0.633	-1.031	-0.536	-0.769	-1.742	-1.531	-1.966	-0.427	0.201	0.411	0.364	0.11	0.33	-0.952	-0.604	-0.742	-0.617	0.09	-0.002
"YNL090W"	-0.107	-2.438	-2.292	-0.357	2.369	-1.2	-1.032	-1.162	-1.304	-1.549	-1.844	-1.862	-2.234	0.056	0.103	0.244	-0.062	0.008	-0.019	-0.558	-0.739	-0.784	-0.416	0.209	0.429
"YNL125C"	-0.071	3.359	1.187	0.67	1.542	1.266	1.196	1.209	1.44	2.192	2.609	2.753	1.969	0.106	0.023	-0.07	-0.027	0.159	0.184	0.697	0.859	0.788	0.745	-0.044	NaN
"YNL189W"	-0.263	-2.367	-4.06	0.184	-0.86	-0.875	-1.183	-1.19	-1.33	-1.294	-2.058	-2.641	-3.084	-0.273	-0.06	0.185	0.287	0.199	0.123	-0.967	-1.047	-1.062	-1.102	-0.055	-0.116
"YNL247W"	-0.127	-3.191	-4.64	-1.475	-2.34	-2.065	-2.13	-2.019	-1.899	-2.277	-2.658	-3.388	-2.515	-0.061	-0.394	0.497	0.291	0.432	0.294	-1.822	-2.534	-2.379	-3.057	-1.294	-0.801
"YOR175C"	-0.31	-2.083	-3.7925	-0.2165	-1.1305	-1.012	-0.9665	-1.374	-0.806	-0.705	-1.33	-1.323	-1.64	-0.217	0.005	0.033	0.282	0.188	0.31	-0.782	-0.753	-0.936	-0.607	0.031	0.075
"YOR209C"	0.05	-2.998	-6.004	-0.932	-1.3455	-1.865	-1.647	-1.516	-0.906	-1.227	-1.897	-2.681	-2.954	-0.05	0.133	0.219	0.278	0.087	0.279	-1.757	-1.232	-1.354	-0.843	-0.196	-0.137
