	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"681.YP galactose vs reference pool"	"684.YP fructose vs reference pool"	"854.YPD_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YOR145C"	0.39	0.115	0.139	-3.045	-3.98	-3.649	-3.795	-2.871	-3.492	-3.402	0.261	-0.21	0.385	-4.1305	0.079	-0.787	-0.002	-0.737	-0.552	-2.247	-1.434	-1.641	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	0.119	-0.449	-3.948	1.066	1.006	0.084	0.066	0.646	0.302	-0.386	-0.301	0.212	0.265	0.806	-3.36	-3.1	-3.061	-2.784	-2.207	-2.785	-3.41	-3.77	-2.036	-3.355	-3.644	-3.265	-4.493	-1.998
"YOR146W"	0.562	0.158	0.23	-2.407	-3.231	-2.16	-2.681	-3.597	-3.42	-3.036	0.293	-0.077	0.381	-3.402	-0.005	-0.296	-0.123	-0.77	-0.535	-2.119	-1.411	-1.335	-1.605	-2.933	-1.348	-1.656	-2.496	-2.291	0.118	-0.088	-4.259	0.564	0.884	0.099	-0.242	0.127	-0.038	-0.159	-0.665	-0.336	-0.062	0.496	-2.482	-2.621	-2.951	-2.851	-2.236	-2.734	-2.747	-3.316	-1.828	-2.045	-2.594	-2.065	-2.731	-1.055
"YOR206W"	0.245	0.116	0.237	-3.294	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	0.123	-0.672	0.736	-5.827	0.141	-3.888	-0.064	-0.586	-0.399	-2.465	-1.407	-1.355	-2.438	-3.65	-2.191	-1.944	-2.398	-2.168	0.254	-0.037	-5.066	0.778	0.971	0.029	-0.013	-0.011	-0.362	-0.305	-0.576	0.207	0.154	0.317	-2.692	-2.957	-2.678	-3.013	-2.178	-2.89	-2.693	-3.011	-2.376	-3.782	-3.839	-4.003	-4.817	-2.585
"YOR243C"	0.078	-0.217	-0.107	-3.173	-3.594	-2.991	-3.234	-2.436	-3.633	-3.982	-0.063	-0.242	0.204	-3.8055	-0.145	-3.635	0.092	-0.08	-0.26	-2.009	-0.774	-1.763	-1.837	-1.872	-1.457	-1.498	-1.652	-1.335	0.236	-0.065	-4.099	0.396	0.229	0.086	0.118	-0.274	-0.305	-0.308	-0.214	-0.158	-0.049	0.028	-1.522	-1.65	-1.719	-1.815	-1.329	-1.514	-1.028	-1.855	-1.007	-2.442	-2.845	-2.616	-2.825	-2.065
"YOR294W"	-0.673	0.222	0.146	-3.856	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	0.416	-0.11	0.692	-5.6475	0.009	-1.284	-0.101	-0.929	-0.714	-3.115	-1.643	-2.141	-3.09	-3.461	-1.971	-2.747	-3.216	-3.031	0.104	-0.126	-4.852	0.446	0.753	0.525	-0.215	-0.312	-0.673	-0.424	-0.757	-0.442	-0.168	0.191	-2.448	-2.729	-3.161	-2.527	-2.113	-2.423	-3.102	-3.764	-2.77	-3.894	-4.841	-3.042	-5.145	-2.254
"YOR315W"	0.254	0.391	0.925	-1.754	-2.356	3.954	-2.611	-2.196	-1.918	-2.468	1.008	0.415	-0.478	-3.8935	0.003	-2.638	-0.665	0.007	0.061	-1.706	-0.868	-2.193	-2.047	-2.864	-2.75	-1.863	-2.342	-2.827	0.237	0.59	-2.442	0.637	0.699	0.534	0.443	0.366	0.176	-0.123	-0.296	0.587	0.473	0.817	-3.24	-3.76	-3.097	-3.604	-2.588	-4.028	-3.766	-2.983	-4.426	-2.405	-2.806	-3.042	-1.822	-2.187
"YPL012W"	0.467	-0.045	0.12	1.2775	-0.684	1.8185	2.33	-1.322	0.039	0.737	0.488	-0.196	-0.4285	-1.86466666666667	-0.298	-2.844	-0.056	-1.405	-1.014	-1.4415	-2.296	-0.6745	-1.2655	-1.316	-1.4685	-0.648	-0.9785	-0.848	0.152	0.386	0.195	0.114	0.028	0.228	0.171	-0.019	0.322	1.289	-0.083	-0.155	0.486	0.013	-2.353	-2.326	-2.129	-2.379	-3.491	-3.491	-2.999	-2.069	NaN	-2.627	-4.458	-4.6	-4.344	-3.666
"YPL043W"	-0.061	-0.145	-0.451	-2.829	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	-0.044	-0.771	-0.277	-4.668	-0.44	-3.89	-0.013	-1.027	-0.995	-2.31	-1.305	-1.843	-2.339	-2.772	-2.128	-1.506	-2.207	-2.26	0.2335	-0.087	-4.555	0.431	0.637	-0.083	0.023	-0.136	-0.012	-0.416	-0.349	0.104	-0.075	0.509	-2.795	-2.77	-2.896	-2.597	-2.451	-3.038	-2.009	-2.192	-2.094	-4.18	-3.988	-2.639	-4.308	-2.784
"YPL044C"	0.427	-0.096	-0.346	-3.287	-4.106	-2.347	-2.774	-3.653	-4.783	-4.009	0.508	-0.053	0.012	-4.1695	-0.662	-3.164	0.049	-0.502	0.047	-2.488	-1.176	-1.379	-2.268	-2.683	-1.927	-1.517	-2.327	-1.645	0.1	0.107	-4.807	0.054	0.313	-0.066	-0.257	-0.074	0.202	-0.007	-0.149	0.283	-0.178	0.194	-2.5	-2.303	-3.178	-2.587	-1.971	-2.168	-0.606	-4.166	-1.583	-1.495	-2.213	-1.495	-2.954	-2.261
"YPL093W"	0.206	-0.126	-0.202	-2.2675	-1.3915	-0.585	-4.676	-2.816	-2.793	-3.3145	0.1955	0.208	0.2045	-1.728	-0.2015	-2.4435	-0.0495	-1.078	-0.716	-1.7935	-0.955	-1.028	-1.7935	-1.7975	-0.8205	-1.139	-1.2435	-0.9085	-0.026	0.075	-3.7325	0.3135	0.2645	0.045	-0.0675	0.1065	-0.079	-0.2195	-0.637	-0.128	0.0385	0.2345	-1.9275	-1.9545	-2.2295	-1.655	-1.9135	-2.052	-1.747	-1.3835	-1.039	-2.378	-2.6515	-2.7585	-2.5385	-1.9215
"YPL126W"	0.224	0.225	-0.987	-3.103	-3.932	1.624	-1.959	-2.858	-2.989	-3.334	-0.199	-0.788	0.254	-4.3895	-0.129	-3.301	-0.202	-1.08	-0.766	-2.205	-0.825	-1.564	-1.505	-2.502	-2.203	-1.172	-1.242	-1.387	0.359	0.202	-1.407	1.048	0.142	-0.03	-0.119	-0.376	0.141	-0.494	-0.429	-0.526	-0.138	-0.187	-2.25	-2.361	-2.518	-2.865	-1.985	-2.322	-1.968	-1.683	-2.954	-3.919	-4.983	-4.497	-4.666	-2.937
"YPL154C"	-0.595	0.009	-0.187	1.807	2.195	2.236	1.961	1.899	2.149	2.103	0.062	0.316	-0.265	2.41	0.759	2.873	0.246	1.817	1.485	2.032	0.74	1.04	1.99	2.871	2.92	0.961	1.967	2.242	0.118	0.335	2.081	-0.81	-1.329	-0.661	-0.69	-0.293	-0.685	0.358	0.092	-0.346	-0.023	-0.236	1.489	1.894	1.586	1.83	1.018	1.816	2.043	2.142	3.189	2.323	2.935	2.972	2.234	2.194
"YPL183C"	-0.142	-0.522	-0.447	-2.853	-2.58	-2.117	-2.124	-2.298	-1.925	-2.585	-0.077	0.102	0.182	-3.014	0.111	-2.335	-0.154	-0.672	-0.517	-2.08	-1.202	-1.598	-1.865	-2.373	-1.906	-1.087	-1.231	-1.307	0.142	-0.249	NaN	0.196	-0.031	-0.062	-0.178	-0.346	0.055	-0.583	-0.132	-0.534	-0.172	-0.025	-1.789	-1.415	-1.662	-1.41	-1.819	-1.665	-1.458	-1.906	-1.339	-2.3645	-2.4425	-2.519	-2.8755	-2.0785
