	"49.Elutriation2:Sample2:Time0.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"8210.steady state 33 dec C"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"18434.2mM MD 100min"
"YLR149C"	1.155	-3.161	-1.939	1.445	2.08	1.429	1.922	2.187	1.356	4.105	3.465	3.717	3.85	3.986	3.387	4.874	3.471	3.191	2.983	3.163	3.585	4.206	4.313	5.295	5.72	4.926	1.988	2.089	2.18	2.511	-0.351	-0.646	-0.165	-0.342	2.799
"YLR156W"	0.157	-0.466	-0.643	-0.014	0.13	0.051	0.529	0.769	0.483	1.281	1.462	1.837	1.612	2.511	3.06	3.101	1.177	0.48	1.183	0.986	1.84	2.087	2.291	3.877	3.302	3.197	0.213	0.236	0.29	0.467	0.084	-0.297	0.102	-0.085	0.279
"YLR164W"	0.762	-0.396	-0.867	0.78	0.134	0.299	0.725	0.706	0.326	4.52	3.048	3.554	4.168	5.283	4.605	4.582	0.128	3.134	3.068	3.756	1.643	1.874	1.017	2.092	3.006	2.089	-0.971	0.291	0.246	0.129	-0.171	-0.272	-0.359	-0.17	1.25
"YLR220W"	-0.155	-0.121	-0.357	0.288	0.382	-0.038	0.181	-0.025	-0.188	1.101	1.707	1.669	1.656	1.663	2.105	2.235	-0.901	0.124	0.051	0.253	1.334	1.229	1.582	2.346	2.536	1.771	-0.828	0.558	0.466	0.171	0.287	-0.17	-0.199	-0.131	-0.593
"YLR264W"	-1.073	0.922	0.819	-0.057	-1.119	-0.149	-0.78	-0.856	-0.664	-3.105	-2.523	-2.018	-1.862	-1.529	-1.693	-2.597	-5.152	-2.94	-2.616	-2.15	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.01	0.049	0.182	-0.11	0.31	0.774	0.768	0.667	-1.094
"YLR311C"	-0.443	-1.1	0.289	0.301	0.07	0.489	-0.202	-0.219	-0.577	3.535	3.882	4.224	3.277	3.765	2.811	3.182	3.563	2.026	2.73	2.447	1.807	2.447	3.128	3.92	3.702	3.13	0.646	0.048	0.201	-0.146	-0.83	-0.022	0.21	0.233	2.069
"YLR333C"	-0.552	0.802	0.708	-0.676	-0.585	0.117	-1.029	-1.065	-0.903	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-5.863	-3.334	-2.939	-2.483	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	0.4	-0.276	0.319	-0.24	-0.169	0.829	0.51	0.544	-1.681
"YLR346C"	0.6125	-0.268	-0.343	0.317	0.028	-0.015	0.598	0.633	0.485	0.918	0.74	1.098	1.147	2.457	2.059	1.542	0.471	2.764	2.616	2.764	1.318	2.26	2.52	2.849	2.638	2.241	0.386	0.082	0.033	0.295	-0.564	-0.191	0.084	0.029	0.734
"YLR388W"	-0.587	1.145	0.956	-0.943	-1.406	0.045	-0.961	-1.106	-0.753	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-3.058	-2.742	-2.362	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.34	-0.166	0.18	-0.378	-0.079	0.593	0.131	0.25	-2.131
"YMR118C"	0.342	-0.346	0.221	0.068	0.093	0.064	-0.202	-0.168	-0.435	1.566	2.237	2.784	3.914	5.005	4.013	3.37	0.688	2.062	3.038	3.051	2.637	3.669	3.896	3.917	3.997	2.908	-0.291	0.103	-0.145	-0.22	0.113	0.462	0.444	0.473	1.629
