	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YPL198W"	-0.931	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-1.632	-3.4825	-3.3185	-3.022	-2.766	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	-0.237	-0.199	-0.174	-0.254	-0.463	-1.633	0.739	0.573	0.352	0.283	0.052	-0.556	-0.577	-1.048	-0.075	-1.049	-1.188	-0.414	0.16	-1.3935	-1.1185	-3.4955	-4.5575
"YPL211W"	-0.152	-5.5605	-3.5535	-3.356	-3.4755	-2.914	-3.869	-4.4555	-3.234	-3.216	-3.3805	-3.046	-3.121	-4.129	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	-0.02	-0.245	-0.073	-0.005	-0.144	-2.25	0.682	0.724	0.407	0.451	-0.8	-1.103	-0.167	-0.975	-1.441	-1.092	-0.847	-0.902	-0.582	-1.644	-1.923	-3.981	-2.743
"YPL219W"	0.214	1.7685	0.9655	1.0695	-0.056	1.499	1.0455	0.9205	1.754	0.9905	0.4175	0.7	0.525	1.265	0.977	1.412	1.321	1.095	0.955	0.643	-0.061	-0.244	-0.162	0.05	-0.074	1.282	-0.009	-0.043	0.09	-0.023	-0.243	0.399	-0.48	0.272	0.466	0.429	0.392	0.319	0.158	-0.624	0.26	1.582	1.441
"YPL226W"	-1.114	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-2.84333333333333	-3.37333333333333	-2.503	-2.786	-2.922	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.0735	-0.397	-0.0845	-0.2905	-0.2985	-1.7375	0.141	-0.328	-0.148	-0.0335	-0.1745	-0.475	-0.544	-0.5535	-1.258	-0.798	-0.542	-0.8915	0.128	-1.494	-0.68	-3.811	-3.004
"YPL230W"	1.218	5.7835	4.1855	4.254	4.299	4.5545	5.401	6.6385	3.777	4.669	3.9765	3.797	3.6845	4.417	4.265	4.16	3.897	5.844	6.611	5.087	-0.203	-0.088	-0.453	-0.07	-0.088	2.633	-0.827	-1.052	-0.408	-0.552	0.274	0.769	-0.205	0.679	0.6	1.153	1.038	0.541	0.514	2.539	2.006	-1.432	1.055
"YPR001W"	0.843	1.917	3.0525	4.424	4.3615	4.5105	2.722	5.855	1.1355	1.419	1.174	2.076	1.8285	2.313	4.226	1.274	2.072	5.929	4.205	2.415	0.202	-0.147	-0.082	0.13	0.174	1.947	0.147	0.146	-0.177	-0.036	-0.491	-0.705	-0.351	-0.091	-0.431	-0.137	0.157	0.235	-0.117	-0.714	-0.223	-0.005	2.225
"YPR006C"	0.678	1.438	3.5645	3.262	4.219	1.5965	1.8145	3.0495	1.4595	1.7945	1.5415	3.017	2.138	1.982	2.182	1.0	1.461	3.572	2.115	1.501	0.152	0.0	-0.172	-0.106	0.076	1.807	-0.03	0.113	-0.124	-0.266	0.518	0.446	0.424	0.174	0.456	0.407	0.297	0.496	-0.146	0.6135	0.358	0.3585	1.44
"YPR015C"	0.348	2.095	2.541	2.7235	2.422	2.5075	2.691	-0.922	1.9255	1.4155	1.9635	1.704	1.173	1.322	1.382	1.784	1.722	0.907	0.974	-0.16	1.174	-0.283	-0.319	0.035	-0.671	1.287	-0.068	0.338	-0.3	-0.14	0.38	0.832	0.21	0.708	0.56	0.593	0.585	0.491	-0.021	0.649	1.1425	1.0515	1.847
"YPR026W"	0.585	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	4.272	2.0895	1.8575	1.9465	1.637	1.72	3.247	3.097	3.589	3.048	3.736	3.344	3.193	-0.175	-0.295	0.101	-0.164	-0.293	1.986	-0.7	-0.863	-0.306	-0.386	-0.036	0.793	0.323	0.723	0.523	0.38	0.437	0.574	-0.266	0.03	0.3095	1.9425	1.644
"YPR110C"	-1.308	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-1.862	-3.01	-3.296	-2.285	-2.0215	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.091	0.029	0.041	-0.052	-0.042	-2.108	0.634	0.278	0.048	0.305	-0.446	-0.879	-0.708	-0.63	-0.794	-1.038	-1.217	-1.08	-0.481	-2.065	-2.061	-3.882	-3.113
"YPR144C"	-0.371	-3.855	-1.9705	-2.235	-1.9295	-0.6445	-1.9405	-3.129	-1.3485	-2.0425	-1.8885	-1.2035	-2.06	-2.256	-1.327	-1.4	-1.22	-1.687	-2.51	-2.411	0.207	-0.002	-0.043	-0.145	-0.039	-1.298	0.398	0.285	0.109	0.062	0.588	-0.471	-0.23	-0.302	-0.316	-0.183	-0.1	-0.21	-0.47	-0.682	-0.736	-3.937	-2.277
"YPR150W"	1.476	4.325	2.686	4.2075	3.338	3.983	3.526	6.801	3.449	3.608	4.3645	3.446	4.025	1.618	2.319	2.101	2.954	4.069	3.943	3.963	0.058	-0.814	-0.983	-0.825	-0.739	2.612	-0.227	0.118	0.097	0.071	0.313	0.899	0.831	0.827	1.166	0.855	1.034	1.437	-0.532	0.119	0.337	2.251	2.891
"YPR151C"	2.014	3.785	3.607	4.572	4.0445	4.539	4.7805	6.135	2.9855	3.702	4.264	3.353	-0.735	2.014	2.42	1.754	2.526	4.373	4.037	3.357	0.103	-0.694	-0.427	-0.671	-0.289	2.038	-0.278	0.021	-0.098	-0.123	-0.027	1.116	0.86	1.129	1.083	1.228	1.348	1.724	-0.509	-0.24	-0.162	1.69	1.869
