	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18425.2mM MD 040min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YOL151W"	2.366	4.064	4.123	3.8	3.096	3.357	3.008	0.455	-0.84	1.272	1.507	1.462	1.182	-3.604	-0.288	0.276	0.312	-0.0225	3.939	3.599	4.288	1.029	2.542	2.986	0.484	0.347	0.096	4.335	4.733	1.528	2.424	2.381	2.202	2.418	4.864	4.83	4.126	2.773	4.435	2.492	3.787	3.964	3.231	3.75	3.928	2.025	3.73	2.599	2.75	2.437	3.245	3.82	4.395	4.664	1.184	2.159	1.39	2.565	2.49	0.991	1.646	1.881	1.317	2.082	1.592	0.66	1.927	2.527	1.078	1.762	2.331	2.163	2.169	0.883	0.8	3.767	3.701	3.652	2.662	1.812	3.446	3.889	4.049	2.39	2.36	2.661	4.198	3.277
"YOL165C"	-0.392	2.751	1.838	1.91	2.504	3.037	3.107	1.65	0.547	0.4455	0.962	-0.331	-0.4145	-0.537	-1.2645	0.957	0.352	-0.697	1.224	2.553	2.169	1.061	1.896	1.99	2.491	2.999	1.604	1.553	2.293	0.757	0.446	1.186	1.265	1.491	3.389	3.574	3.893	2.426	4.046	1.353	4.518	4.11	2.725	2.898	2.591	3.136	2.448	2.385	2.161	2.53	3.076	1.846	1.186	4.229	2.104	0.589	1.11	1.368	1.776	0.507	0.41	-0.136	0.117	-0.15	-0.112	-0.261	0.598	1.301	1.986	-0.247	0.524	0.948	1.075	0.038	0.593	3.525	2.705	3.877	3.937	3.396	3.385	3.43	2.217	2.299	2.9	2.828	2.417	2.6
"YOR151C"	-0.577	-0.333	-0.043	-0.009	-0.088	0.242	-0.125	-1.3025	-0.907	-0.6805	-0.6135	-1.226	-1.0045	-3.5555	-1.062	-0.818	-1.3845	-1.7195	0.979	1.059	0.644	-1.851	-1.275	-1.622	-0.973	-1.754	-2.127	-0.024	0.656	-0.75	-0.993	-1.344	-1.203	-2.069	0.502	-0.624	1.211	0.43	1.353	0.912	-0.972	-0.482	0.605	0.798	0.237	-0.061	-0.086	-0.253	-0.679	-4.53	0.06	-0.371	0.234	-1.11	-1.485	-1.904	-2.422	-2.319	-2.45	-2.505	-2.407	-1.357	-1.139	-0.711	-0.669	-0.587	-0.259	-0.667	-0.666	-1.661	-1.695	-1.408	-1.565	-1.424	-0.638	-1.218	-1.108	-0.893	-0.164	0.548	0.214	-0.693	0.328	0.135	-0.03	-1.172	-1.427	0.437
"YOR168W"	-1.42	-0.954	-0.587	-0.959	-1.24	-0.91	-0.758	-1.809	-1.703	-1.3715	-1.261	-1.7945	-1.984	-4.808	-1.5105	-1.538	-1.8785	-1.355	-0.908	-0.517	-0.306	-2.516	-1.54	-1.525	-2.348	-2.353	-2.604	0.188	-0.403	-1.844	-1.925	-1.594	-2.172	-1.957	-0.676	0.165	-0.302	1.18	-0.072	-0.526	-0.276	0.513	0.239	0.439	0.069	-1.092	-1.318	-0.548	0.018	-0.694	-0.89	-1.478	-0.515	-1.807	-2.218	-2.284	-1.342	-2.304	-2.101	-2.513	-1.604	-1.549	-1.695	-1.407	-1.265	-1.49	-1.341	-1.25	-1.583	1.225	-0.773	-0.994	-0.661	-1.234	-0.96	-2.073	-1.871	-1.977	-1.283	-0.352	-1.645	-1.371	-0.343	-0.948	-1.131	-1.061	-0.981	-0.932
"YOR209C"	-0.984	-0.468	-0.228	-0.669	-0.975	-0.4	-0.204	-1.879	-0.84	-1.5995	-1.2605	-1.766	-2.998	-6.004	-1.3455	-1.865	-1.647	-1.516	-0.692	0.277	-0.343	-1.744	-0.906	-1.227	-1.897	-2.681	-2.954	-0.005	-0.094	-1.009	-1.757	-1.232	-1.354	-0.843	0.121	-1.051	0.252	0.741	-0.254	-0.089	0.123	-0.069	-0.378	-0.073	-0.027	0.071	-0.113	-0.225	0.561	0.334	0.49	NaN	NaN	-0.556	-1.767	-1.414	-1.754	-1.474	-1.844	-1.539	-1.662	-2.517	-2.034	-1.699	-1.928	-1.39	-0.873	-1.3	-0.671	-0.807	-0.89	-2.141	-0.787	-1.146	-1.279	-0.256	-0.058	-0.258	-0.454	0.664	-0.549	-1.598	-0.357	-0.801	-0.601	-0.234	-0.274	-0.586
"YOR222W"	-1.544	-0.145	0.002	-0.407	-0.889	-0.761	-0.625	-0.48	-0.613	-0.9055	-1.501	-0.1	-1.6105	-3.0965	-1.556	-2.1625	-2.2275	-1.4265	0.706	0.035	0.723	0.202	-1.073	-1.147	-0.495	-0.857	-1.074	-0.099	0.316	-1.296	-1.171	-1.51	-1.394	-1.482	0.481	0.736	0.885	1.312	0.989	-0.575	0.806	0.753	1.411	-0.397	1.353	0.566	-0.054	0.355	1.573	0.838	0.394	0.79	0.304	0.767	0.309	-1.447	-1.754	-1.919	-1.819	-1.659	-1.619	0.107	-1.265	-1.218	-0.943	-1.063	-1.176	-0.331	-0.489	-1.337	-1.814	-2.33	-1.389	-0.687	-1.234	0.154	-2.918	-1.467	0.065	0.806	0.421	-0.276	-1.12	0.608	-0.671	0.414	0.69	0.662
"YOR226C"	-0.082	1.475	1.977	1.419	0.949	1.179	1.114	-1.3135	-1.3785	-1.278	-0.9945	-0.727	-1.539	-2.5995	-1.3995	-1.2875	-1.4695	-1.2125	2.411	2.797	2.458	0.303	-0.243	-0.175	0.527	0.25	0.654	2.615	2.356	-0.334	-0.038	0.041	-0.315	-0.277	3.09	3.797	3.17	2.912	3.253	1.265	2.62	3.199	1.558	1.838	1.596	1.917	2.398	2.203	2.445	2.01	2.84	2.366	2.981	3.816	1.603	-0.423	-1.33	-1.014	-0.324	-0.413	-0.509	-1.729	-1.872	-1.778	-2.284	-1.251	-0.96	-0.366	1.948	1.118	0.029	-0.244	-0.176	-0.428	-0.483	3.165	3.322	2.764	2.716	1.467	1.37	2.955	1.491	1.857	1.825	1.159	1.687	2.335
"YOR254C"	-0.787	-0.711	-0.173	-0.223	-0.235	0.138	0.05	-2.6515	-1.5795	-1.406	-1.671	-1.5485	-2.192	-6.426	-2.053	-1.8245	-2.018	-1.4845	0.017	0.249	0.124	-2.631	-1.904	-1.86	-2.354	-2.689	-2.309	-0.093	-0.176	-1.174	-1.388	-1.468	-1.679	-1.489	-0.09	-1.225	-0.266	-0.131	-0.55	-0.042	-0.333	-0.788	-0.294	-0.447	-0.658	-0.722	-1.266	-1.473	-0.145	-0.899	-0.71	-0.996	-1.159	-1.011	-2.398	-2.867	-3.196	-2.86	-2.436	-2.896	-2.216	-2.166	-2.254	-2.342	-2.212	-1.537	-2.314	-1.792	-1.872	-2.161	-1.601	-1.239	-1.14	-1.819	-1.815	-1.64	-1.57	-1.337	-0.98	-0.516	-1.344	-0.453	-0.66	-1.18	-0.779	-0.29	-1.112	-1.247
"YOR271C"	-2.644	-0.977	-0.647	-1.257	-1.475	-0.706	-0.461	-3.7765	-2.0775	-1.6325	-1.9525	-2.9425	-2.276	-2.9995	-2.9595	-2.246	-2.2645	-2.132	-0.169	-0.622	-0.469	-1.553	-0.749	-1.175	-1.395	-0.914	-1.184	-0.261	-0.585	-0.418	-0.759	-1.093	-0.774	-0.826	-0.507	-0.537	0.067	-1.57	-0.472	-0.91	-1.761	-1.322	-1.744	-1.604	-1.116	-0.113	-1.063	-0.129	-0.423	-1.082	-0.489	-1.071	-0.366	-0.687	-1.371	-2.071	-1.695	-2.037	-2.453	-2.412	-2.235	-3.724	-3.078	-3.946	-2.638	-2.47	-2.264	-1.832	-1.747	-2.16	-1.861	-2.292	-1.418	-2.346	-1.958	-1.561	-0.985	-1.065	-0.098	-1.137	-0.753	-1.377	-1.215	-1.938	-1.415	-2.173	-0.596	-1.725
"YOR309C"	-5.514	-1.808	-1.218	-2.476	-2.675	-1.779	-1.262	-6.798	-4.4185	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-3.8235	-2.194	-2.156	-1.868	-0.792	-5.839	-3.704	-4.353	-4.746	-5.449	-5.009	0.066	-2.004	-3.451	-2.601	-2.983	-2.775	-3.093	-1.411	-1.415	-1.835	-1.802	-1.598	-0.217	-0.328	-2.334	-1.684	-2.512	-2.089	-0.52	-1.508	-1.512	-2.072	-3.251	-1.68	-2.004	-1.092	-1.753	-2.996	-2.499	-4.498	-4.059	-1.709	-3.062	-3.667	-2.543	-3.28	-4.097	-3.518	-2.477	-3.672	-3.28	-2.359	-2.361	-1.85	-1.878	-1.749	-2.138	-2.11	-2.934	-2.818	-2.331	-1.719	-0.63	-0.867	-2.255	-1.594	-1.034	-1.08	-1.602	-1.283	-2.142
"YOR310C"	-3.004	-1.747	-1.362	-2.348	-2.686	-1.831	-1.366	-6.006	-3.92	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.766	-3.585	-3.5415	-2.603	-2.005	-2.056	-0.941	-5.777	-3.838	-4.105	-4.745	-5.099	-4.866	-0.076	-1.71	-2.849	-2.67	-2.757	-2.944	-3.125	-1.398	-3.354	-2.686	-1.14	-2.937	-1.304	-2.875	-2.724	-2.955	-2.677	-3.007	-0.445	-1.821	-1.241	-0.229	-1.593	-2.173	-2.767	-0.362	-3.37	-3.475	-3.205	-3.459	-3.567	-3.426	-3.303	-1.99	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073	-3.229	-3.364	-3.589	-3.138	-3.403	-2.073	-2.722	-2.456	-3.031	-3.155	-2.127	-0.929	-1.407	-3.139	-1.453	-2.776	-1.611	-1.821	-2.448	-1.956	-1.711
"YOR375C"	-0.63	-0.599	0.053	NaN	0.177	-0.031	-0.66	-2.4665	-0.7065	-1.4245	-2.946	1.007	-0.648	-2.4	-0.526	0.0195	-0.2905	0.03	-0.152	0.095	-0.318	-0.92	-0.749	-0.509	-0.69	-0.692	-1.361	0.4	0.687	-2.112	-0.763	-0.766	-0.186	-0.661	0.713	1.721	0.766	0.657	0.054	0.075	0.829	-0.245	-0.493	0.652	-0.56	1.276	-0.447	0.059	-2.174	0.308	0.423	-2.092	-0.249	-0.677	-5.708	-4.732	-6.445	-5.372	-4.608	-5.453	-5.657	-1.549	-0.58	-1.804	0.021	-0.408	-0.414	-3.534	-4.318	-5.368	-4.833	-4.413	-4.581	-4.22	-2.513	0.193	-0.463	0.917	-0.279	0.867	-1.421	-0.138	0.366	0.145	0.297	-1.633	-0.233	-0.43
"YPL105C"	-0.737	-0.308	-0.609	-0.62	-0.689	-0.097	-0.409	-0.5875	-0.3435	-0.912	-0.847	0.2575	-1.062	-3.0935	-0.2405	-0.6935	-0.613	-0.5355	0.255	-0.23	-0.291	-0.516	-0.839	-1.395	-1.282	-1.272	-0.718	0.313	0.139	-0.437	-0.336	-0.386	-0.151	-0.205	0.286	0.683	0.449	0.625	-0.495	0.609	-0.091	0.303	1.226	-1.116	0.711	-0.113	0.098	0.423	0.936	-0.006	-0.322	-0.547	0.093	-0.333	-1.157	-1.594	-1.64	-1.49	-1.485	-1.776	-1.042	-0.458	-0.966	-0.557	-0.252	-0.599	-1.108	-0.04	-0.988	-0.277	-1.232	-1.544	-0.705	-0.959	-0.38	NaN	-0.212	NaN	-0.553	0.246	-0.079	-0.851	0.055	0.434	-1.517	0.08	-0.915	-1.312
"YPL128C"	-0.922	-0.844	-0.672	-0.729	-0.603	-0.454	-0.266	-1.472	-0.6645	-0.463	-1.1835	-0.589	-2.1475	-3.3175	-1.0925	-1.0455	-1.4595	-1.7735	0.106	-0.174	-0.48	-1.084	-0.558	-0.15	-0.935	-1.263	-1.721	-0.114	-0.447	-0.722	-0.861	-0.225	-0.107	-0.173	-0.377	-0.207	0.056	-2.716	-0.186	-0.009	-0.805	-0.879	0.342	-0.524	-1.857	-0.546	-0.966	-1.042	-0.218	-0.696	0.352	-1.291	-0.6	-0.724	-0.131	-1.293	-1.412	-1.254	-0.862	-1.509	-1.636	-2.423	-1.79	-1.634	-1.59	-1.193	-1.661	-0.833	-1.024	-2.029	-1.449	-3.749	-1.814	-2.865	-0.812	-0.287	0.451	0.426	1.519	0.15	0.033	1.082	1.154	1.122	0.804	-0.311	0.039	0.719
"YPL160W"	-2.429	-1.0995	-0.528666666666667	-0.818	-1.23566666666667	-0.829	-0.726333333333333	-3.26033333333333	-2.28466666666667	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-0.264	-0.094	0.3835	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	0.387	0.1465	-1.8045	-2.4615	-2.584	-2.827	-2.7275	0.1075	-1.463	0.099	0.647	0.3365	1.504	-0.161	-0.482	-0.087	0.461	1.502	-1.035	-1.715	-1.449	-0.531	-1.4795	-1.747	-1.642	-1.2825	-1.5085	-1.912	-2.124	-2.5015	-1.7655	-2.1145	-2.096	-1.5875	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	-1.7245	-1.34	-1.5465	-1.376	-1.059	-1.725	-1.5195	-1.403	-1.0145	-1.866	-2.4765	-0.7415	-0.7925	0.0205	-1.141	-1.452	-0.189	-1.8265	-1.2295	-1.1215	-0.7745
"YPL171C"	0.585	-1.1275	1.61366666666667	1.67766666666667	1.55966666666667	1.504	1.262	0.641666666666667	0.0636666666666667	0.83	-1.03766666666667	1.07066666666667	-0.842666666666667	0.355	0.061	-0.0943333333333333	0.471333333333333	0.520666666666667	1.1185	1.1885	0.863	-0.2945	-0.578	0.0775	-0.2165	0.938	-0.36	0.9185	0.97	1.271	0.7395	0.113	1.19	-0.447	1.861	5.269	4.988	NaN	4.377	1.94	3.99	4.459	2.079	3.216	3.288	1.125	2.891	2.288	2.007	1.109	2.543	3.198	1.73	4.358	-0.677	0.422	-0.375	0.669	0.47	-0.175	0.573	0.914	1.223	1.855	1.429	0.721	1.35	0.313	-1.819	-1.636	0.19	0.323	-0.417	-0.923	0.293	5.105	3.711	2.922	2.43	1.656	1.925	0.986	1.054	1.783	2.644	0.977	2.18	1.774
"YPR041W"	-2.097	-0.078	-0.0953333333333333	-0.459666666666667	-0.505	-0.0633333333333333	-0.38	-1.871	-1.85166666666667	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.41033333333333	-2.291	-0.252	-0.018	0.1	-1.646	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.0825	-0.1135	-1.977	-1.049	-0.6	-0.449	-0.7575	0.002	-1.48	-0.6	0.034	-0.818	0.148	-1.1785	-0.864	-1.0965	-0.9865	-1.397	0.101	-0.8665	-0.2945	-0.324	-1.4505	-0.456	-1.17	-0.4425	-1.3105	-1.999	-1.997	-1.761	-1.741	-1.772	-2.038	-1.335	-3.035	-2.533	-3.187	-2.708	-2.293	-1.616	-2.378	-1.93	-1.76	-1.591	-1.505	-1.177	-1.716	-1.691	-1.711	-1.1765	-1.1445	-0.901	-0.7245	-1.3865	-1.282	-0.759	-0.7095	-1.5535	-1.901	-1.713	-1.7515
"YPR060C"	-1.389	-0.602	-0.417	-0.8355	-1.156	-0.672	-0.2865	-3.5465	-3.094	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-1.7935	-1.8045	-2.859	-0.22	-0.208	-0.165	-2.71	-1.98	-2.627	-2.107	-3.352	-2.894	-0.295	-0.772	-2.467	-0.466	-1.242	-0.818	-0.639	-0.446	-0.334	-0.647	-0.519	-0.154	0.598	-0.591	-0.415	-1.189	-1.201	-0.246	-0.053	-0.437	-0.177	-0.314	-1.759	-0.704	-1.07	0.069	-0.647	-1.035	-1.153	-2.261	-1.932	-1.911	-2.316	-2.332	-2.631	-1.945	-2.784	-2.741	-2.38	-2.719	-0.765	-0.081	-1.389	-0.923	-1.209	-0.912	-1.561	-1.183	-1.538	-1.816	-1.275	-1.132	0.793	-0.191	-1.985	1.471	-0.114	-0.985	-0.521	-1.681	-1.211
"YPR074C"	-1.438	-0.697	0.247	0.1035	0.099	0.2105	0.1645	-3.2435	-2.5595	-2.134	-3.2975	-2.2945	-5.337	-5.42	-3.374	-2.2005	-3.7185	-4.2955	-0.5	-0.224	-0.58	-3.649	-2.351	-3.162	-3.369	-3.61	-3.663	0.06	-0.431	-3.132	-3.257	-3.973	-3.946	-4.176	-0.276	1.098	1.369	0.357	0.866	0.128	0.558	1.167	0.433	0.03	0.887	-0.576	-1.898	-1.263	-0.978	-1.571	-1.35	-1.818	-0.737	-1.239	-1.879	-3.097	-3.071	-1.863	-1.688	-3.316	-2.418	-4.473	-3.729	-2.351	-3.123	-1.997	-3.18	-2.334	-2.877	-4.153	-2.835	-3.446	-2.231	-2.642	-2.381	-1.335	-1.57	-1.315	-1.322	-0.042	-1.538	-1.26	-1.112	-0.128	0.317	-1.562	-0.379	-1.414
"YPR110C"	-3.728	-0.629	-0.888	-1.572	-2.073	-1.383	-1.0145	-5.7185	-3.423	-2.9215	-2.8345	-3.133	-3.662	-6.318	-3.01	-3.296	-2.285	-2.0215	-1.54	-1.601	-1.199	-3.88	-2.175	-2.703	-2.993	-3.212	-3.358	0.05	-1.375	-2.108	-1.7	-1.695	-1.635	-1.402	-1.271	-1.844	-0.55	-0.696	-0.94	-0.092	-0.419	-1.263	-0.691	-1.995	-0.562	-0.632	-1.997	-1.273	-0.625	-1.945	-1.695	-1.175	-1.377	-1.66	-2.196	-2.065	-2.823	-2.146	-2.061	-2.718	-1.381	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	-2.294	-1.644	-2.389	-1.581	-2.205	-1.24	-1.051	-2.622	-1.995	-2.88	-2.452	-1.826	-0.788	-2.052	-1.588	-3.122	-1.715	-2.837	-2.592	-2.057	-1.492
"YPR119W"	-1.802	-1.639	-1.1035	-1.0025	-1.068	-0.959	-1.241	-2.692	-2.3105	-1.6945	-4.2055	-1.976	-4.6155	-4.3695	-1.235	-0.8395	-2.3625	-2.5025	-0.938	-0.797	-1.226	-2.424	-2.207	-4.062	-3.433	-3.885	-3.308	-0.325	-1.017	-1.316	-3.195	-3.442	-3.42	-3.81	-1.104	-2.021	-0.425	0.642	0.03	1.103	-0.189	-0.507	-0.689	-1.068	-1.717	-0.056	-0.579	-0.979	-0.806	-0.245	-0.889	-0.462	0.086	-1.132	-0.757	-1.364	-2.727	-2.833	-2.1	-1.553	-2.428	-2.849	-2.418	-1.776	-2.925	-0.962	-1.893	-0.949	-1.675	-1.219	-1.43	-2.614	-1.965	-2.752	-0.598	-1.438	-1.786	-1.404	-0.983	-1.352	-1.27	-0.189	-1.677	-1.72	-1.316	-2.787	-2.699	-2.607
"YPR145W"	-0.867	-0.106	-0.007	-0.158	-0.3825	-0.3015	-0.6045	-3.263	-1.5905	-1.9485	-2.5015	-0.508	-3.737	-5.02	-0.8115	-0.8305	-1.2765	-0.775	0.527	0.377	0.35	-2.229	-2.228	-2.21	-3.369	-3.625	-3.498	-0.101	0.957	-2.303	-2.266	-1.571	-1.309	-1.254	1.025	0.028	1.17	1.033	-0.741	-0.256	-0.871	-2.297	-0.113	0.069	-0.255	0.681	-0.567	0.438	-0.113	-0.628	0.469	-0.411	-0.357	-0.037	-2.335	-4.032	-3.782	-3.472	-3.473	-3.793	-3.152	-3.325	-2.035	-3.779	-1.807	-1.273	-1.223	-1.968	-1.756	-3.589	-3.068	-3.87	-2.685	-3.513	-1.697	-0.63	0.075	-0.544	0.159	-0.046	-3.0	-2.219	-1.007	-0.498	-1.369	-1.324	-0.745	-0.209
"YPR189W"	-1.15	-0.9925	-0.642333333333333	-0.297333333333333	-0.569333333333333	-0.589666666666667	-0.395333333333333	-0.437333333333333	-0.918333333333333	-0.431666666666667	-0.604	0.749	-0.694666666666667	-1.67633333333333	-0.124	-0.197666666666667	-0.259333333333333	-0.975333333333333	2.177	0.199	0.241	-0.8035	-0.9305	-1.241	-1.626	-0.9775	-0.5755	0.1825	0.799	0.1475	-0.3435	-0.125	-0.3235	-0.9415	-0.3755	1.15	2.6045	2.014	-0.117	1.114	-0.108	-0.417	1.2555	0.511	1.629	-0.662	0.136	-0.096	-1.068	0.478	-0.0145	-0.8245	-0.014	-0.24	-1.227	-1.276	-0.915	-2.012	-1.144	-3.316	-2.032	-0.357	-0.913	-0.842	-0.846	-0.795	-1.705	-0.773	-0.925	-0.602	-0.375	-1.829	-1.255	-0.761	-0.606	-0.119	-0.36	-0.248	-0.295	0.6475	-0.641	-1.436	0.2735	-0.4905	0.1235	0.2995	0.414	-0.1315
