	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18434.2mM MD 100min"	"21664..24 mM H2O2- 170 minutes/redo"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"
"YMR309C"	-3.127	-2.334	-1.924	-1.851	-1.855	-1.52	-3.731	-3.516	-2.787	-2.363	-1.881	-2.64	-1.914	-1.926	-2.303	-3.144	-3.173	-3.384	-0.091	-0.416	-0.046	-1.607	-0.179	-0.548	0.073	-1.599	0.32	-0.889	-0.477	-0.671	-0.354	0.155	0.026	-0.414	0.089	-0.013
"YMR321C"	-2.201	-2.459	-2.58	-2.138	-2.55	-2.298	-3.288	-3.811	-2.632	-2.309	-2.22	-2.53	-1.952	-1.913	-2.8	-2.409	-2.567	-2.424	0.108	-0.041	-0.034	-2.3015	-1.0	-1.22	-2.346	-0.732	-1.906	-1.084	-1.254	-1.016	-0.439	0.098	-0.011	-0.37	-0.018	-0.132
"YNL065W"	-1.932	-2.45	-2.576	-2.821	-3.524	-2.077	-3.991	-3.706	-3.578	-3.15	-1.607	-0.32	-1.019	-0.595	-1.221	-0.779	-0.994	-0.814	-1.203	-1.219	-0.107	-1.7045	-2.441	-1.398	-2.538	-3.429	-0.482	-2.195	-1.72	-2.091	-0.481	-1.177	-1.431	0.281	-0.603	-1.121
"YNL096C"	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.248	-0.135	-0.057	-2.8625	-2.585	-1.455	-0.42	-1.986	-1.499	-1.013	-0.596	-2.332	-0.14	0.123	0.253	0.182	-0.065	0.265
"YNL132W"	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-2.512	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.275	-0.486	-0.079	-1.281	-1.711	-2.192	-0.432	-0.186	0.195	-3.066	-1.152	0.485	-0.05	-0.336	-0.28	-0.432	-0.01	-0.152
"YNL209W"	-3.795	-3.591	-3.12	-3.471	-2.885	-3.057	-4.055	-5.803	-3.728	-2.985	-4.021	-3.336	-2.262	-2.633	-2.99	-3.596	-3.829	0.396	0.165	0.045	0.134	-2.966	-1.731	-0.854	-0.226	-0.011	-0.325	-1.372	-1.069	-1.089	-1.291	0.407	0.411	0.311	0.54	0.198
"YNL247W"	-2.799	-1.535	-1.024	-1.064	-1.822	-1.928	-3.191	-4.64	-2.34	-2.065	-2.13	-2.019	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.073	-0.054	-0.061	-1.655	-1.284	-0.671	0.265	-0.892	-0.441	-0.805	0.628	-0.133	-0.664	0.329	0.007	-0.248	0.064	0.209
"YOL040C"	-0.886	-3.313	-1.742	-1.998	-0.3965	-0.1425	-3.032	-6.413	-3.385	-0.756	-0.614	-2.291	-1.874	-2.247	-2.245	-2.028	-2.837	-3.657	0.041	-0.336	0.247	-2.005	-0.796	-0.572	-0.178	-0.272	-1.03	-0.862	-1.04	-0.879	-0.671	0.28	0.644	0.614	0.51	0.38
"YOR168W"	-1.809	-1.703	-1.762	-1.3715	-1.261	-1.7945	-1.984	-4.808	-1.5105	-1.538	-1.8785	-1.355	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	0.117	0.05	-0.074	-1.844	0.165	-0.302	1.18	-0.072	-0.276	0.513	0.239	0.069	-0.593	-0.337	-0.103	-0.682	-0.233	-0.234
"YOR188W"	-2.0075	-0.7915	-0.616	-0.791	-0.852	-0.557	-1.4685	-3.8385	-1.602	-0.691	-0.9695	-0.6955	-1.239	-1.339	-1.26	-1.695	-1.73	-2.104	-0.156	0.369	-0.079	-0.798	0.37	-1.165	0.456	NaN	0.365	0.324	0.92	0.551	0.951	-0.267	-0.304	-0.656	-0.044	-0.044
"YOR209C"	-1.879	-0.84	-1.275	-1.5995	-1.2605	-1.766	-2.998	-6.004	-1.3455	-1.865	-1.647	-1.516	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	-0.141	-0.237	-0.05	-1.009	-1.051	0.252	0.741	-0.254	0.123	-0.069	-0.378	-0.027	0.152	-0.054	0.213	0.734	0.112	0.073
"YOR254C"	-2.6515	-1.5795	-1.235	-1.406	-1.671	-1.5485	-2.192	-6.426	-2.053	-1.8245	-2.018	-1.4845	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	0.158	0.107	0.143	-1.174	-1.225	-0.266	-0.131	-0.55	-0.333	-0.788	-0.294	-0.658	-0.209	-0.034	0.067	-0.343	-0.068	-0.201
"YOR293W"	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	-3.442	-3.1085	-3.0195	-2.64	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	0.129	0.261	-0.036	-1.85	-1.129	-0.768	-0.251	-0.529	-0.054	-1.609	-0.643	-2.294	-0.496	-0.466	-0.132	-0.499	-0.339	-0.265
"YOR309C"	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-3.8235	-2.194	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.073	-0.13	0.043	-3.451	-1.415	-1.835	-1.802	-1.598	-0.328	-2.334	-1.684	-2.089	0.206	-0.122	0.194	0.148	0.185	0.154
"YOR312C"	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.99	-3.177	-3.0	-2.5975	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	0.442	0.16	0.298	-1.883	-1.141	-1.477	-1.001	-1.789	-1.327	-1.732	-1.617	-1.652	0.029	-0.366	-0.045	-0.38	-0.34	-0.355
"YOR323C"	-2.5575	-1.7105	-1.401	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.071	0.159	0.153	-1.603	0.777	-0.531	-0.188	0.117	-0.742	0.321	-0.378	-0.509	-0.873	0.313	0.214	0.216	0.247	0.173
"YOR335C"	-1.511	-1.43533333333333	-1.054	-1.29566666666667	-1.48833333333333	-1.83066666666667	-1.31933333333333	-2.407	-1.801	-1.14466666666667	-1.19933333333333	-1.59166666666667	-0.9185	-1.5465	-1.5455	-1.54	-1.5985	-0.5945	0.3815	0.2905	0.1515	-2.325	0.207	0.237	0.457	0.074	0.195	-0.158	0.423	-0.561	-0.101	0.243	-0.012	-0.132	0.011	-0.001
"YPL001W"	-2.5215	-1.1445	-0.9545	-1.711	-1.4935	-0.6975	-1.671	-4.084	-0.74	1.0905	-0.654	-0.8085	-1.0	-0.64	-0.886	-1.427	-1.38	-1.844	-0.206	-0.55	0.149	-0.772	-1.959	-0.574	0.075	-0.073	0.287	-0.404	0.108	-0.184	0.275	-0.162	-0.413	-0.46	-0.229	-0.459
"YPL037C"	-2.6595	-2.081	-2.0885	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.146	0.108	-0.106	-1.648	-1.651	-0.148	-1.067	0.147	-1.754	-0.366	-0.472	-0.003	-0.577	0.025	0.25	0.115	-0.083	-0.027
"YPL079W"	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-3.112	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.041	0.053	0.031	-1.673	-0.977	-1.849	-0.679	-0.884	-1.168	-2.188	-1.931	-1.716	0.03	-0.157	0.041	-0.302	-0.249	-0.32
"YPL081W"	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.916	-2.428	-2.3315	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.124	0.187	0.099	-1.844	-2.127	-0.87	-0.885	-1.469	-0.22	-2.013	1.226	0.266	-0.333	-0.281	0.244	-0.182	-0.328	-0.132
"YPL090C"	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-3.2385	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.186	0.133	-0.045	-2.061	-2.094	-1.346	-1.636	-1.855	-1.195	-1.95	-1.552	-1.875	0.036	0.049	0.268	-0.08	-0.027	-0.193
"YPL114W"	1.3775	1.1775	1.119	1.75	1.4555	0.8925	1.1015	-0.8525	1.5285	1.4575	1.0655	0.956	1.41	0.193	0.64	0.993	0.68	0.296	0.0	0.202	-0.077	0.98	-1.004	0.534	0.391	-0.002	-0.036	0.108	-0.037	0.081	-0.341	-0.034	0.103	-0.291	0.004	-0.185
"YPL142C"	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-2.16	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.447	0.15	0.2	-2.011	-0.943	-1.191	0.314	-0.73	-0.678	-1.015	-0.684	-0.387	-0.959	-0.022	0.093	0.009	-0.021	-0.032
"YPL143W"	-4.4445	-3.3605	-3.232	-3.2955	-2.5465	-2.7845	-3.35	-5.0395	-3.0685	-3.1305	-2.7815	-2.7985	-2.232	-2.155	-2.195	-1.391	-1.972	-2.941	0.121	-0.167	0.005	-2.07	-1.042	-1.709	-0.222	-0.915	-0.628	-1.411	-1.74	-0.983	-0.409	-0.191	-0.04	-0.182	-0.166	-0.241
"YPL198W"	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-2.766	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	-0.077	-0.033	-0.237	-1.633	-2.61	-1.464	-0.1	-0.972	-0.71	-1.365	-1.317	-0.599	-0.102	0.31	0.594	0.1925	0.037	0.165
"YPL211W"	-5.5605	-3.5535	-3.356	-3.4755	-2.914	-3.869	-4.4555	-5.029	-3.216	-3.3805	-3.046	-3.121	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	-0.444	-0.236	-0.02	-2.25	-1.533	-1.331	-1.019	-1.495	0.103	-1.73	-1.503	-1.284	-0.677	-0.53	-0.404	-0.481	-0.093	-0.357
"YPL226W"	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.786	-2.922	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.24	-0.0935	-0.0735	-1.7375	-0.5785	0.005	-1.1995	-0.941	0.00249999999999999	-0.562	-0.205	-0.275	0.076	0.15	-0.093	-0.123	0.199	0.142
"YPL237W"	-2.6285	-1.9335	-2.0395	-2.3465	-2.029	-2.27	-2.875	-5.7585	-1.791	-1.39	-1.8945	-2.2035	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	0.003	0.075	0.071	-1.537	0.078	0.008	0.465	-0.653	-0.179	-0.17	-0.037	-0.046	0.188	-0.049	0.156	-0.132	-0.187	-0.32
"YPL243W"	-1.27	-1.434	-1.106	-1.109	-1.456	-1.5805	-4.1455	-5.276	-1.0	-1.0065	-1.315	-1.5105	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.092	-0.104	-0.062	-1.188	-0.047	-0.044	0.45	-0.286	0.183	-0.069	-0.383	-0.553	-0.045	-0.426	-0.338	-0.632	-0.296	-0.175
"YPL253C"	-0.9355	-0.9165	-0.21	-0.664	-0.945	-1.337	-0.769	NaN	-0.509	-0.2865	-0.478	-1.074	-0.222	-0.067	-0.638	0.021	-0.267	-0.017	0.025	-0.22	-0.111	0.111	-0.931	-0.192	-0.296	0.113	0.507	0.12	-0.326	0.288	0.193	0.177	-0.106	0.065	0.707	0.0165
"YPL273W"	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.2515	0.126	0.0235	-2.628	-0.209	-1.811	-0.558	-1.936	-1.34	-0.942	-1.229	-1.456	-0.407	-0.582	-0.334	-0.419	-0.316	-0.166
"YPR044C"	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	0.312	0.369	-0.088	-2.074	-1.186	-1.455	-0.525	-0.985	-0.901	-1.59	-1.288	-0.924	-0.486	-0.081	0.106	0.118	0.017	0.141
"YPR060C"	-3.5465	-3.094	-2.8645	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-1.7935	-1.8045	-2.859	-2.301	-1.98	-2.627	-2.107	-3.352	-2.894	-0.287	-0.126	-0.092	-2.467	-0.334	-0.647	-0.519	-0.154	-0.591	-0.415	-1.189	-0.246	0.132	-0.19	-0.257	-0.531	-0.534	-0.283
"YPR061C"	3.2605	2.316	2.6935	2.418	3.046	3.174	4.0665	2.9075	1.969	2.301	2.106	0.9435	1.949	1.796	2.895	0.276	3.554	3.224	-0.301	-0.136	-0.06	1.824	-0.177	-0.651	1.042	1.057	0.78	0.194	0.548	-0.178	0.912	0.35	-0.632	-0.425	-0.565	-0.045
"YPR102C"	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.673	-3.277	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.389	0.435	0.219	-2.384	-3.226	-1.308	-2.327	-0.775	-1.75	-1.515	-1.661	-0.158	-0.48	0.058	-0.1	-0.207	-0.124	-0.015
"YPR110C"	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-3.01	-3.296	-2.285	-2.0215	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.202	-0.125	-0.091	-2.108	-1.844	-0.55	-0.696	-0.94	-0.419	-1.263	-0.691	-0.562	-0.003	-0.422	-0.31	-0.53	-0.241	-0.157
"YPR118W"	-2.848	-3.0	-2.0775	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.525	-2.5375	-2.305	-2.577	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	-0.104	-0.05	0.036	-1.794	-1.026	0.186	-1.845	-0.741	0.158	0.188	-0.268	-0.696	-0.189	-0.335	-0.288	-0.137	-0.012	0.133
"YPR144C"	-3.855	-1.9705	-2.235	-1.9295	-0.6445	-1.9405	-3.129	-4.2065	-2.0425	-1.8885	-1.2035	-2.06	-1.327	-1.4	-1.22	-1.687	-2.51	-2.411	-0.338	-0.097	0.207	-1.298	0.015	0.375	0.492	-0.133	-1.047	-0.791	0.133	-1.034	-0.487	-0.114	-0.224	0.273	0.239	0.056
"YPR187W"	-2.5615	-1.8665	-1.5675	-1.8265	-1.511	-1.4365	-3.609	-5.408	-2.283	-2.232	-2.16	-1.962	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	0.211	0.062	-0.039	-1.604	-1.337	-0.498	-0.274	-1.704	-0.67	-1.601	-1.162	-1.407	-0.154	0.18	0.025	0.012	-0.003	0.029
