	"58.Elutriation2:Sample2:Time5.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1014.YPD 2 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"21661..24 mM H2O2- 049 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40957.H2O2_II_120_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YLR392C"	0.203	-0.7	0.312	2.229	1.313	NaN	-1.423	-1.651	-0.066	0.723	-0.478	-0.805	-0.233	0.021	-0.516	-0.423	-0.068	0.152	0.28	0.177	0.282	0.221	0.416	-0.157	0.027	0.973	-0.333	-0.239	0.001	-0.596	0.279	0.515	0.42	0.621	2.018	1.829	1.859	1.617	0.686	1.226	0.091	1.174	1.212	1.799	1.482	1.093	2.301	0.763	1.12	0.632	1.212
"YML018C"	-0.245	0.914	-0.26	-3.624	-2.452	-2.038	-2.284	-3.383	0.121	-1.451	-1.922	-2.274	-0.11	-0.005	0.342	-0.022	0.141	-0.118	-1.036	-1.084	-1.044	-1.323	-0.783	0.488	-1.355	-1.455	0.28	0.283	-0.097	0.161	-0.197	-1.998	-1.878	-1.679	NaN	-3.445	-3.296	-2.035	-1.648	-1.592	-0.951	-1.78	-1.823	-1.771	-2.064	-0.863	-1.887	-1.641	-1.287	-0.873	-0.49
"YMR027W"	-0.495	-0.225	0.251	0.935	1.266	0.906	0.365	-1.627	0.397	1.034	-0.787	-1.596	0.122	0.225	0.079	-0.083	0.175	0.254	0.677	0.874	0.86	0.757	0.357	-0.194	0.954	2.004	0.084	0.166	-0.109	0.299	0.522	4.584	5.291	4.577	5.793	4.633	4.422	3.525	4.42	3.511	2.351	3.139	3.911	4.13	3.566	3.77	4.17	4.254	3.475	3.686	4.246
"YMR061W"	-0.198	0.285	-0.172	2.138	-1.762	0.539	NaN	-0.855	0.048	-0.721	-1.11	-0.697	-0.003	-0.142	-0.099	0.067	-0.197	0.016	0.077	0.093	-0.226	-0.418	0.404	0.159	-0.387	2.43	-0.48	-0.618	-0.216	0.374	0.046	0.442	0.98	1.237	3.063	3.642	3.989	2.034	3.05	2.139	1.094	1.257	2.546	2.385	2.452	2.555	1.762	1.443	1.224	0.705	1.061
"YMR308C"	-0.28	0.666	-0.354	-1.769	-1.565	-1.375	-3.091	-4.033	0.149	-2.014	-2.796	-2.451	0.085	0.262	0.321	0.235	0.006	0.173	-0.02	-0.505	-0.485	-0.395	-0.135	0.176	-0.537	-1.504	-0.523	-0.351	-0.616	-0.185	-0.521	-1.494	-1.816	-1.882	-2.021	-2.171	-1.594	-1.689	-1.528	-1.295	-1.6	-2.388	-1.787	-2.485	-2.894	-1.892	-1.45	-1.813	-1.326	-2.059	-1.41
"YMR309C"	0.037	1.08	-0.36	-3.127	-2.334	-1.52	-3.731	-3.516	0.149	-1.926	-3.173	-3.384	-0.106	0.092	0.393	-0.004	-0.046	-0.047	-0.544	-0.656	0.738	-0.98	-1.568	0.125	-1.14	-1.607	-0.131	-0.274	-0.301	-0.267	0.001	-1.471	-1.993	-2.51	-3.447	-2.857	-2.476	-2.415	-1.323	-1.642	-1.882	-1.975	-2.696	-2.4	-2.741	-1.606	-1.947	-2.429	-1.76	-2.721	-1.735
"YNL022C"	0.03	0.86	-0.379	-2.558	-0.694	-2.43	-1.611	-3.745	0.008	-1.297	-2.3	-2.325	0.099	0.171	0.24	0.222	0.121	-0.197	-0.768	-0.392	-0.409	-0.411	-0.938	0.049	-0.356	-1.608	0.024	0.15	-0.309	-0.201	-0.094	-2.217	-1.858	-1.582	-3.386	-1.925	-2.144	-2.038	-1.429	-2.54	-1.57	-2.411	-2.07	-4.189	-3.057	-2.011	-1.81	-2.629	-3.712	-1.921	-3.295
"YNL030W"	0.712	0.434	-0.842	-1.703	-2.725	-1.974	-2.073	-4.092	0.281	-1.559	-1.83	-2.159	0.619	-0.097	0.053	0.339	0.035	0.13	-0.686	-0.77	-0.941	-1.098	-1.395	0.746	-0.994	-2.0055	0.222	0.217	0.731	0.472	0.184	-1.601	-2.393	-1.835	-3.938	-2.818	-2.856	-2.698	-2.211	-2.268	-1.01	-0.926	-2.62	-2.486	-2.731	-2.397	-2.942	-2.421	-1.305	-1.161	-1.889
"YNL066W"	0.227	0.95	-0.459	-0.787	-1.312	-3.125	-4.175	-5.451	0.238	-2.162	-3.425	-3.757	-0.19	-0.078	0.177	-0.138	-0.196	0.078	-0.594	-0.816	-1.18	-1.838	-0.808	0.386	-1.804	-3.3795	-0.045	-0.05	0.105	0.465	0.131	-4.56	-3.884	-4.311	-4.49	-7.15	-4.464	-5.15	-3.973	-3.204	-3.118	-4.187	-3.441	-4.276	-3.495	-2.337	-3.508	-2.934	-1.902	-3.366	-3.148
"YNL175C"	0.113	1.152	-0.286	-4.877	-2.65	-2.117	-2.872	-6.011	0.116	-2.804	-3.809	-2.849	0.134	0.049	0.262	0.389	0.344	-0.542	-1.122	-0.84	-0.736	-0.538	-1.834	0.356	-0.532	-2.238	0.434	0.467	-0.541	-0.283	0.009	-2.294	-1.944	-1.085	-3.174	-4.009	-4.49	-2.353	-2.696	-1.499	-0.718	-1.263	-2.788	-2.99	-2.735	-1.665	-1.578	-3.054	-1.955	-2.676	-2.821
"YNL182C"	-0.208	1.125	-0.547	-4.184	-3.243	-3.421	-5.862	-2.532	0.08	-2.5	-3.351	-2.827	0.246	0.171	0.12	0.265	-0.103	-0.167	-0.997	-0.966	-0.923	-0.97	-1.675	0.238	-1.146	-2.3525	0.099	0.15	-0.408	-0.085	0.394	-1.779	-1.933	-1.82	-5.251	-2.917	-3.551	-2.861	-1.756	-2.089	-1.045	-2.645	-2.838	-3.559	-3.206	-2.891	-3.015	-2.59	-3.289	-3.844	-2.844
"YNL186W"	-0.566	0.603	-0.24	-2.195	-1.038	-1.118	-0.874	-2.658	-0.049	-0.105	-0.574	-0.574	-0.15	-0.064	0.077	0.264	-0.014	0.031	-0.661	-0.621	-0.975	-0.852	-0.839	0.017	-0.388	-0.4135	0.016	-0.027	0.005	0.389	-0.288	-2.102	-1.759	-0.549	-2.626	-0.398	-1.28	-1.399	-1.754	-1.215	0.272	-1.286	-0.63	-3.319	-1.041	-1.824	-1.903	-2.416	-1.682	-1.595	-2.648
"YNL220W"	0.462	0.187	0.641	-1.943	-0.898	-1.445	-3.758	-6.09	0.437	-0.618	-2.555	-3.197	0.081	-0.346	0.308	-0.325	0.111	0.294	0.485	0.47	0.274	0.089	-1.154	0.097	0.387	-1.597	0.316	0.368	0.394	0.288	0.15	-2.948	-1.83	-2.258	-1.993	-1.625	-1.797	-1.923	-1.746	-1.796	-1.405	-2.769	-2.169	-3.838	-3.275	-2.762	-3.675	-3.272	-2.971	-3.633	-1.629
"YNL232W"	0.092	1.1735	-0.1825	-0.8635	-0.9035	-0.324	-1.3025	-0.747	-0.0465	-0.504	0.372	-0.1065	0.236	0.0505	0.317	0.319	-0.057	-0.032	-0.0785	0.106	-0.5385	-0.262	0.2845	-0.056	-0.139	-1.267	0.317	0.316	0.35	-0.09	0.054	-1.673	-1.143	-1.287	-3.329	-3.291	-3.135	-2.55	-1.377	-2.019	-0.372	-1.676	-1.513	-1.829	-2.576	-2.265	-1.876	-5.481	-3.057	-2.819	-2.317
"YNL241C"	0.302	-0.807	0.315	1.678	1.435	0.675	0.582	-1.111	-0.189	0.906	1.207	1.109	0.138	0.173	-0.282	0.133	0.146	0.161	1.108	1.118	0.975	0.803	0.882	-0.2	1.155	0.703	-0.527	-0.437	0.024	-0.029	-0.194	1.764	3.413	2.304	3.22	3.304	3.42	2.978	3.271	3.017	1.274	2.512	2.16	2.988	3.66	2.618	2.277	2.04	2.625	1.85	2.581
"YNL285W"	0.184	-0.503	-0.04	0.818	0.927	1.069	0.513	0.726	-0.212	0.605	1.081	0.308	0.156	-0.126	-0.272	-0.103	0.06	-0.05	-0.072	0.019	-0.018	0.0	-0.21	-0.107	-0.081	0.251	0.19	0.106	0.339	-0.057	0.277	-0.231	-0.449	1.476	1.461	2.101	2.428	1.658	1.253	2.013	0.461	1.006	1.593	1.282	1.64	2.532	NaN	2.341	0.741	1.814	1.108
"YNL331C"	0.103	-0.367	0.027	1.445	1.026	1.767	1.928	-0.21	0.279	2.409	2.807	1.595	0.131	0.286	-0.013	-0.059	0.174	0.233	0.701	0.975	1.042	1.212	1.792	-0.198	1.617	1.222	-0.074	-0.378	0.315	-0.08	0.555	3.242	4.348	3.092	4.678	4.566	4.977	4.253	4.539	4.312	2.36	2.071	2.518	3.12	2.028	3.362	4.159	2.352	2.649	2.155	2.775
"YNL333W"	0.234	-0.425	0.149	0.735	2.845	2.085	0.845	-1.145	0.145	1.406	2.545	2.445	0.333	0.469	-0.415	-0.144	0.233	-0.03	0.029	0.291	0.539	0.522	0.861	-0.43	0.799	1.585	-0.103	-0.01	0.066	-0.343	0.109	-0.315	1.37	1.746	3.504	2.167	4.278	2.428	3.728	3.918	1.909	1.141	1.434	2.624	1.813	2.538	4.197	1.823	2.755	2.161	2.36
"YNR053C"	-0.366	1.412	-0.149	-3.029	-1.053	-0.1815	-2.097	-3.447	-0.002	-1.573	-1.617	-1.942	0.141	0.25	0.249	0.489	-0.046	0.069	-1.221	-1.062	-1.111	-1.122	-1.865	0.019	-1.021	-2.016	-0.053	-0.096	-0.71	0.118	-0.558	-1.961	-1.823	-2.362	NaN	-4.575	-4.096	-2.795	-2.159	-1.709	-1.31	-3.04	-0.927	-4.611	-2.687	-1.94	-3.036	-2.841	-2.415	-1.732	-2.306
"YNR061C"	0.028	0.193	0.009	-0.603	-0.618	-0.451	-0.8565	-1.4045	0.133	-1.536	-2.261	-2.438	0.326	0.195	0.069	-0.183	0.05	0.187	0.362	0.487	0.757	0.733	-0.141	0.341	0.645	-0.886	0.119	0.254	0.166	0.103	0.213	-1.497	-0.842	-1.053	-1.023	-0.846	-1.429	-1.423	-0.637	-1.813	-1.594	-1.828	-0.949	-3.313	-2.017	-1.721	-0.8	-1.144	-1.246	-1.161	-1.038
"YOL006C"	-0.192	0.024	-0.087	-1.2725	-0.9525	-0.501	-1.364	-2.867	-0.245	-0.582	-2.301	-2.095	0.182	-0.071	0.137	0.002	0.292	0.352	-0.349	-0.325	-0.609	-0.532	-0.492	-0.106	-0.355	-0.488	0.022	-0.05	-0.46	-0.567	-0.273	-1.428	-1.135	-0.881	NaN	-2.836	-1.858	-2.329	-1.985	-1.359	-0.076	-3.161	-1.039	-2.363	-2.073	-1.302	-2.709	-1.128	NaN	-1.941	-2.095
"YOL092W"	0.206	1.057	-0.047	-2.052	1.054	1.3095	-1.0395	-3.162	0.226	-1.044	-1.634	-1.899	-0.082	-0.129	0.084	0.172	0.166	-0.245	-0.403	-0.609	-0.276	-0.376	-1.387	-0.039	-0.423	-0.685	0.231	0.113	-0.108	0.113	-0.128	-1.486	-1.822	-0.794	-1.326	-2.272	-1.82	-2.099	-1.622	-0.457	-1.156	-2.088	-2.871	-1.862	-1.711	-1.345	-1.47	-2.059	-2.255	-1.987	-1.744
"YOL145C"	-0.158	0.113	-0.235	-0.9365	-0.718	-0.284	-1.941	-3.49	-0.176	-0.862	-2.162	-2.146	-0.065	-0.224	0.111	0.226	0.094	0.244	-0.06	-0.174	-0.265	-0.489	-0.594	0.133	-0.5	-0.667	-0.021	-0.11	-0.131	-0.313	-0.18	-1.688	-1.246	-2.536	-2.466	-1.226	-1.483	-1.892	-0.737	-1.249	-0.668	-1.273	-0.539	-1.447	-0.924	-1.276	-1.559	-2.951	-1.999	-2.642	-1.628
"YOL149W"	0.242	0.821	0.114	-0.4185	-0.749	-1.418	-3.485	0.0305	0.345	-0.734	-1.996	-0.923	0.108	-0.22	0.24	-0.1	0.259	0.086	-0.044	-0.264	-0.334	-0.571	-1.045	0.194	-0.528	-0.935	0.351	0.265	-0.001	0.073	0.286	-1.222	-1.076	-1.471	-2.709	-1.348	-1.7	-1.799	-0.794	-2.264	-0.659	-2.179	-1.944	-2.361	-3.74	-1.542	-2.106	-3.207	-2.046	-2.667	-2.674
"YOR217W"	-0.077	0.232	-0.152	-1.2835	-1.1355	-0.6125	-1.8825	-3.81	-0.013	-0.521	-1.115	-1.225	-0.187	0.024	0.178	0.28	0.039	0.052	-0.328	-0.164	-0.082	-0.083	0.103	0.008	0.094	-0.708	-0.316	-0.24	-0.085	-0.503	-0.119	-0.92	-1.253	-1.057	NaN	-1.566	-2.108	-1.56	-0.925	-2.208	-0.844	-1.858	-1.275	-1.976	-1.96	-2.55	-2.566	-1.703	-1.554	-3.083	-1.767
"YOR226C"	-0.095	0.452	-0.034	-1.3135	-1.3785	-0.727	-1.539	-2.5995	0.177	-0.243	0.25	0.654	0.061	0.153	-0.218	-0.211	0.387	0.207	1.317	1.47	1.245	1.352	0.802	-1.053	1.344	-0.334	0.297	0.226	0.941	0.289	-0.05	2.366	3.816	3.02	3.344	3.165	3.322	2.005	2.764	2.716	2.503	2.672	1.37	2.955	1.491	1.857	1.825	1.159	1.687	3.17	2.335
"YOR233W"	-0.306	0.493	-0.022	-2.481	-1.647	-1.0315	-2.672	-3.781	-0.006	-0.789	-0.919	-0.984	-0.133	0.008	-0.054	0.309	0.097	-0.04	-0.512	-0.242	-0.456	-0.667	-0.108	0.13	-0.675	-0.845	0.231	0.205	-0.182	-0.24	-0.187	-0.951	-0.878	-0.306	-2.138	-1.593	-1.114	-1.422	-0.777	-1.008	0.323	-0.855	-1.591	-0.173	-1.291	-1.938	-1.309	-1.278	-1.197	-1.201	-0.769
"YOR243C"	-0.107	1.139	-0.061	-3.8055	-2.475	-2.2855	-3.3625	-4.3935	-0.145	-2.179	-4.484	-3.863	0.092	-0.029	0.211	0.343	-0.005	-0.109	-0.732	-0.582	-0.696	-0.451	-2.226	0.236	-0.611	-1.712	0.086	0.118	-0.159	-0.049	-0.227	-1.394	-2.407	-2.658	-3.948	-3.202	-2.909	-2.358	-2.809	-1.977	-1.517	-1.452	-1.423	-3.764	-1.523	-1.062	-1.883	-1.82	-1.697	-2.099	-1.547
"YOR246C"	0.536	0.983	0.107	-0.9595	-1.1395	-0.326	-0.663	-2.885	0.16	-0.157	0.299	0.12	0.095	-0.4	-0.061	0.401	-0.015	0.218	-0.132	-0.47	-0.183	-0.454	-0.473	0.151	-0.218	-1.013	0.655	0.623	0.36	0.3	-0.045	-0.445	-0.611	-1.789	-1.748	-1.765	-1.573	-1.745	-1.938	-1.503	-0.449	-1.395	-1.969	-1.74	-1.904	-1.007	-1.784	-1.356	-1.341	-2.166	-1.087
"YOR253W"	-0.08	0.445	-0.038	-2.29	-1.568	-1.759	-2.7935	-5.157	-0.133	-1.139	-2.672	-2.633	-0.119	-0.334	0.016	-0.018	-0.146	0.181	-0.263	-0.283	-0.597	-0.423	-0.916	0.348	-0.511	-0.978	0.248	0.301	-0.073	0.145	0.104	-0.138	-0.892	-0.716	-1.985	-2.222	-2.68	-1.707	-2.427	-1.483	-1.315	-2.141	-1.654	-3.36	-1.213	-2.189	-3.049	-1.977	-2.101	-2.115	-2.063
"YOR272W"	0.105	1.356	-0.704	-4.8145	-2.3895	-1.968	-3.353	-4.712	0.18	-2.312	-3.307	-4.52	0.006	0.118	0.028	0.311	0.167	-0.615	-1.023	-0.688	-0.526	-0.266	-1.244	0.184	-0.633	-1.264	0.396	0.392	-0.477	-0.203	-0.234	-3.484	-2.303	-1.799	-3.479	-3.546	-2.98	-3.332	-2.014	-1.119	-0.689	-1.98	-2.465	-1.672	-2.079	-1.521	-2.663	-2.388	-3.137	-3.252	-2.332
"YOR277C"	-0.044	0.518	0.051	-2.185	-2.1265	-2.0645	-3.25	-4.571	0.131	-1.464	-2.103	-2.211	-0.045	-0.247	-0.1	0.277	-0.271	0.108	-0.294	-0.233	-0.391	-0.542	-0.86	0.275	-0.644	-1.884	0.099	0.056	-0.079	-0.07	-0.023	-0.906	-1.245	-1.363	-2.316	-1.736	-2.314	-2.336	-1.262	-1.548	-0.905	-1.27	-1.034	-1.621	-1.709	-1.722	-2.944	-1.776	-1.02	-2.899	-3.256
"YOR359W"	-0.317	0.429	-0.173	-0.33125	-0.726	-0.165666666666667	-0.5135	-1.0205	-0.282666666666667	-0.364666666666667	0.628	0.656333333333333	-0.1105	-0.484666666666667	0.08	0.186666666666667	-0.281333333333333	-0.219333333333333	-0.268	-0.386666666666667	-0.276666666666667	-0.472	-0.506333333333333	0.159	-0.239	-1.28	-0.179	-0.189	0.034	-0.113	-0.1645	-2.6825	-2.1655	-1.8315	-2.382	-1.313	-1.759	-1.9455	-0.7235	-1.4895	-0.226	-3.164	-1.2475	-2.693	-2.166	-1.0575	-1.367	-1.972	-1.94	-2.575	-1.4625
"YOR361C"	-0.05	0.451	-0.0695	-1.94833333333333	-1.73166666666667	-2.513	-2.869	-2.21	0.079	-2.3155	-1.977	-2.109	0.103	-0.0225	0.435	0.191	0.099	0.012	-0.2745	-0.4295	-0.4305	-0.686	-1.026	0.209	-0.6085	-2.009	0.201	0.06	-0.08	-0.228	-0.245	-1.284	-2.67	-2.045	-2.093	-1.827	-1.923	-2.699	-1.265	-1.772	-0.912	-2.145	-1.846	-1.744	-2.583	-2.3	-2.296	-3.5	-3.408	-3.08	-2.631
"YPL012W"	0.12	0.05	-0.3515	-1.86466666666667	-0.705	-0.0276666666666667	-0.767666666666667	-2.601	-0.298	-1.8445	-1.914	-1.8085	-0.056	-0.154	0.146	0.573	0.1005	-0.215	-0.8955	-0.724	-1.479	-0.9715	0.3375	0.152	-0.9155	-1.25	0.228	0.171	-0.652	0.486	-0.427	-1.829	-1.459	-2.85	NaN	-3.934	-5.52	-3.803	-3.057	-1.212	-1.609	-2.639	-4.012	-3.339	-2.345	-1.555	-1.768	-1.333	-1.907	-1.225	-1.491
"YPL086C"	0.294	0.691	-0.352	-3.4025	-1.371	-0.869	-2.5065	-5.552	0.102	-1.604	-1.958	-2.56	-0.137	0.258	0.113	0.29	0.072	-0.281	-0.976	-0.865	-0.719	-0.512	-1.462	0.212	-0.615	-0.762	0.16	0.066	-0.264	-0.214	-0.216	-1.314	-1.603	-3.532	-2.56	-3.114	-2.141	-2.329	-2.028	-0.998	-0.131	-1.826	-4.486	-1.721	-1.909	-1.619	-2.085	-1.239	-1.661	-2.398	-1.301
"YPL124W"	0.069	-0.061	-0.397	-0.6735	-0.752	0.3955	0.318	-2.861	-0.717	0.196	-1.175	-0.846	-0.05	-0.244	-0.23	0.034	-0.308	-0.007	0.313	0.234	0.361	0.332	0.447	-0.216	0.403	0.231	0.069	0.249	0.468	0.231	0.045	0.548	0.179	1.652	1.089	0.582	2.05	-0.204	2.599	2.681	1.068	0.908	1.564	1.149	1.406	2.919	3.397	2.168	2.366	1.589	2.346
"YPL207W"	-0.256	0.586	0.202	-2.321	1.2095	-0.5055	-1.827	-3.832	0.114	-1.047	-2.319	-2.628	-0.027	0.018	0.269	0.305	0.091	-0.038	-1.349	-1.055	-0.897	-0.717	-0.459	0.22	-0.696	-0.28	0.164	0.1	-0.189	-0.335	0.076	-1.486	-1.212	-1.762	-4.227	-3.465	-3.378	-2.895	-2.61	-2.417	-1.13	-1.81	-4.209	-2.237	-2.542	-3.055	-1.973	-2.689	-1.18	-3.0	-2.057
"YPL211W"	-0.312	0.954	-0.186	-5.5605	-3.5535	-3.869	-4.4555	-5.029	0.1	-2.918	-2.652	-2.337	0.007	-0.328	0.24	0.39	-0.02	0.025	-1.174	-0.983	-0.851	-0.818	-1.633	0.369	-0.765	-2.25	0.407	0.451	-0.214	0.104	0.312	-2.258	-3.176	-2.883	NaN	-5.176	-4.397	-4.022	-4.322	-2.574	-2.631	-3.474	-2.466	-3.148	-3.742	-3.369	-4.195	-2.835	-2.138	-3.903	-3.206
"YPL226W"	-0.02	0.906666666666667	-0.4235	-4.86566666666667	-3.38066666666667	-2.21533333333333	-3.95033333333333	-5.67966666666667	-0.0175	-2.3985	-2.9025	-3.983	0.1885	0.0975	0.105	0.5305	-0.0735	0.0465	-0.6695	-0.6865	-0.7095	-0.7495	-1.3215	0.402	-0.606	-1.7375	-0.148	-0.0335	-0.4025	-0.021	-0.057	-2.8115	-2.208	-2.317	-2.6675	-2.5635	-2.1345	-2.386	-1.6895	-1.548	-1.551	-1.627	-2.2525	-2.957	-1.972	-0.9555	-1.733	-2.674	-2.354	-3.622	-2.153
"YPL239W"	-0.071	-0.2375	-0.255	-2.603	-1.312	-1.683	-1.915	-3.907	-0.263	-0.854	-2.384	-2.259	-0.036	0.18	0.037	0.08	-0.387	0.11	-0.389	-0.467	-0.544	-0.513	-0.482	0.011	-0.53	-0.795	0.569	0.656	-0.08	-0.102	-0.616	-0.658	-1.002	-0.545	-2.745	-2.382	-2.315	-1.915	-1.458	-0.495	-0.613	-1.017	-1.861	-3.258	-2.05	-1.032	-0.55	-2.392	-1.112	-1.369	-1.649
"YPL254W"	0.16	0.444	-0.424	-1.1725	-0.526	-0.325	-1.7645	-3.646	0.376	-0.657	-1.019	-0.29	-0.097	-0.132	0.141	0.13	-0.182	-0.002	-0.021	-0.165	-0.279	-0.203	-0.398	0.354	-0.495	-0.397	0.37	0.384	0.012	-0.04	0.232	-1.034	-0.89	-1.73	-1.085	-2.358	-0.956	-0.868	-1.446	-0.014	-0.41	-1.386	-1.164	-2.828	-1.418	-1.031	-1.268	-0.705	-1.61	-1.579	-0.894
"YPL266W"	-0.112	1.1895	-0.139	-4.1135	-2.3835	-2.448	-4.58	-3.1595	0.104	-2.07	-1.809	-2.022	0.045	0.333	-0.228	0.053	0.11	-0.1	-0.976	-0.837	-0.716	-0.416	-1.808	-0.131	-0.538	-1.457	0.387	0.135	-0.488	0.01	-0.422	-1.084	-1.336	-1.917	-1.911	-2.797	-2.362	-1.537	-1.689	-1.037	0.407	-1.749	-3.087	-2.361	-1.756	-1.821	-1.214	-2.527	-2.475	-0.991	-2.411
"YPR010C"	-0.541	0.671666666666667	-0.194	-2.19933333333333	-1.686	-1.21766666666667	-1.86833333333333	-3.425	-0.039	-1.8945	-2.158	-2.729	-0.175	0.2215	-0.134	0.4785	-0.0985	-0.2815	-0.995	-0.9105	-0.919	-0.9	-0.8925	-0.049	-1.0765	-0.491	-0.116	0.083	-0.273	0.327	0.068	-0.869	-0.992	-1.914	-2.228	-6.98	-3.1	-2.989	-2.201	-2.052	-1.74	-1.676	-2.611	-3.308	-1.99	-2.454	-2.088	-2.236	-1.455	-2.396	-1.731
"YPR110C"	0.084	1.068	-0.304	-5.7185	-3.423	-3.133	-3.662	-6.318	0.151	-2.175	-3.212	-3.358	-0.038	0.243	0.352	0.565	-0.091	0.102	-0.593	-0.473	-0.671	-0.799	-1.245	0.106	-0.474	-2.108	0.048	0.305	-0.169	-0.044	0.331	-1.175	-1.66	-1.51	-3.569	-1.995	-2.88	-2.431	-2.452	-1.826	-1.801	-2.352	-2.052	-1.588	-3.122	-1.715	-2.837	-2.592	-2.057	-1.539	-1.492
"YPR118W"	0.133	0.7795	0.0	-2.848	-3.0	-3.095	-3.9965	-5.524	0.322	-2.594	-3.334	-3.538	0.092	0.31	0.441	0.25	0.036	-0.027	-0.352	-0.025	0.082	-0.034	0.125	0.349	0.14	-1.794	0.023	-0.046	-0.239	-0.539	0.153	-0.948	-0.385	-2.058	-1.399	-0.745	-1.39	-0.993	-1.095	-1.424	-0.778	-2.226	-1.228	-2.626	-1.433	-1.864	-2.954	-3.694	-1.334	-1.609	-2.679
