	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YGL078C"	-1.425	-4.901	-4.33	-1.515	-3.709	-1.968	-0.938	-1.926	-3.238	-4.399	-3.428	0.55	0.377	0.392	-1.98	-2.908	-2.465	-1.909	-1.356	-0.714	-0.405	-4.866	-4.455	-2.562	-1.861	0.557	-2.914	-2.134	-2.156	0.148	-4.196	-1.897	-1.879	-1.744	0.166	0.068	-0.069	-1.395	-0.749	0.573	0.211	0.529	0.305	0.743	0.96	0.23	-0.539	0.073	-4.147	0.312	-1.6765	-2.0075	-3.453	-3.538	-2.819	-2.52	-3.53	-2.245	-1.151	-3.576	-1.995	-1.225	-0.948	-0.039	-0.155	-0.037	-0.347	-0.308	0.305
"YGL101W"	-0.465	-0.676	-0.821	-1.31	-1.432	-1.056	-0.592	-0.27	-0.874	-1.508	-1.773	0.014	-0.332	-0.364	0.233	-0.139	-0.436	-0.214	-0.226	-0.348	-0.08	-0.402	-4.268	-0.13	-0.737	0.087	-0.782	-0.695	-0.867	0.138	-1.395	-0.936	-1.45	-2.319	-0.496	0.167	0.259	-0.318	-0.436	0.181	-0.304	0.721	0.37	0.79	0.692	0.35	0.035	0.231	-1.955	-0.098	-1.8895	-1.7665	-1.271	-1.042	-1.439	-1.042	-1.034	-1.196	-1.386	-0.902	-1.767	-0.874	-1.718	-0.272	-0.286	0.173	0.14	0.275	0.553
"YGL111W"	-0.571	-1.886	-2.705	-2.012	-2.506	-1.189	-0.58	-1.203	-2.165	-2.854	-2.867	0.516	0.411	0.11	-1.109	-1.882	-1.684	-1.26	-0.827	-0.575	-0.36	-3.668	-2.826	-1.167	-1.62	0.068	-2.085	-1.026	-0.515	0.262	-2.617	-1.672	-1.665	-1.401	0.107	0.416	0.407	-1.036	-0.708	0.548	0.433	0.109	0.22	0.685	0.637	0.028	-0.342	0.17	-2.724	0.5	0.132	-0.2395	-2.854	-3.188	-2.001	-2.456	-2.663	-2.385	-1.839	-3.063	-1.924	-1.524	-1.047	-0.149	-0.299	0.43	0.01	0.107	1.205
"YGL120C"	-1.235	-2.058	-3.316	-3.34	-3.231	-1.542	-0.47	-1.43	-3.301	-3.954	-3.877	0.301	0.256	0.047	-1.488	-2.25	-1.851	-1.325	-0.824	-0.05	-0.007	-4.557	-5.111	-3.085	-2.298	0.287	-3.171	-3.229	-1.739	0.244	-3.459	-2.023	-2.178	-1.783	0.34	0.206	0.186	-1.218	-0.839	0.401	0.196	0.264	0.482	0.665	0.793	0.512	-0.056	-0.06	-3.8	0.572	-1.0475	-0.168	-2.799	-3.466	-2.416	-2.286	-2.891	-3.416	-1.183	-3.546	-0.554	-2.329	-3.124	-0.078	-0.216	0.333	0.272	0.268	0.254
"YGR043C"	1.359	3.734	5.04	4.645	5.049	4.045	2.931	3.768	2.61	5.232	4.833	-1.184	-0.585	0.079	0.945	2.615	3.773	3.308	3.909	3.614	1.845	5.679	4.569	2.993	4.673	-1.044	4.765	4.955	3.827	-0.323	5.014	5.207	5.063	5.593	-0.028	-0.4	-1.345	2.373	3.143	-0.572	0.11	-0.983	-0.686	-2.494	-3.271	-2.986	-0.157	0.401	5.961	-1.311	1.7035	1.9765	2.557	4.675	3.421	3.31	5.792	5.627	4.968	6.098	5.083	4.91	5.837	1.402	0.753	-0.573	-0.848	-0.619	-1.212
"YGR052W"	1.259	3.652	4.091	3.925	2.885	1.485	1.228	1.793	2.401	2.785	1.368	-1.585	-1.1	-0.611	1.363	2.255	2.104	2.023	1.447	1.083	0.641	4.665	4.19	1.459	3.012	-0.807	1.987	1.781	1.57	0.037	3.732	3.544	3.966	5.377	0.466	-0.873	-0.554	1.735	1.305	-1.0	-0.711	-1.154	-1.17	-1.433	-1.7	-1.637	0.088	-0.113	4.102	-1.188	1.157	1.236	3.442	2.098	2.14	2.379	3.566	2.384	3.017	4.507	3.246	2.255	3.166	3.416	3.019	-0.484	-1.926	-1.415	-1.527
"YGR086C"	1.137	1.771	1.9	2.452	1.682	0.48	-0.087	0.867	1.347	1.766	1.876	0.384	0.095	-0.137	0.538	0.856	0.89	1.218	0.457	-0.415	0.041	1.422	-1.023	1.042	1.128	-0.422	0.746	0.542	-0.462	0.687	1.331	1.31	0.875	0.25	-0.135	0.32	0.074	0.911	0.766	0.115	-0.074	-0.254	0.016	0.355	-0.098	0.114	-0.51	0.635	2.105	0.393	0.011	-0.217	1.971	1.81	1.132	1.45	1.376	0.883	0.554	2.095	1.589	0.807	1.038	1.12	1.4	0.663	0.515	0.39	0.995
"YGR103W"	-1.4	-2.926	-4.795	-1.806	-5.229	-3.278	-1.51	-3.588	-4.485	-5.118	-3.624	0.97	0.581	0.168	-1.959	-3.378	-3.985	-3.38	-2.417	-1.566	-0.696	-4.825	-5.518	-2.869	-0.915	-0.045	-2.251	-2.402	-2.149	-0.038	-4.861	-2.978	-2.918	-2.95	0.142	0.21	-0.007	-2.426	-1.761	0.78	0.471	0.364	0.359	0.757	0.818	0.214	-0.568	0.057	-5.075	0.818	-2.558	-1.686	-3.088	-4.921	-3.6885	-3.2185	-3.1195	-2.6665	-1.548	-4.287	-2.4	-2.155	-1.886	0.0845	-0.0965	-0.1015	-0.051	-0.409	-0.095
"YGR123C"	-1.288	-1.982	-3.5875	-2.638	-3.2965	-1.9375	-0.695	-1.1295	-3.0495	-4.1895	-3.748	-0.346	-0.073	0.264	-0.857	-1.835	-1.517	-1.265	-1.031	-0.483	-0.363	-4.447	-4.328	-2.958	-1.859	0.063	-2.878	-2.97	-2.137	0.022	-2.118	-1.549	-1.989	-1.536	-0.031	0.04	-0.092	-0.946	-0.745	0.1925	0.023	0.753	0.6	0.99	0.843	0.555	0.054	-0.196	-4.594	0.848	-0.1485	-0.513	-2.047	-2.795	-1.547	-2.966	-2.403	-3.664	-1.262	-3.836	-3.389	-2.052	-2.048	0.358	0.044	0.52	0.331	0.18	0.462
"YGR160W"	-1.621	-5.206	-6.235	-5.8935	-5.9475	-4.248	-2.5605	-3.6965	-5.567	-6.207	-4.6575	1.047	0.509	0.156	-1.966	-3.134	-2.687	-2.046	-1.56	-0.424	-0.296	-4.796	NaN	-1.923	-1.624	0.131	-2.892	-2.69	-2.008	0.109	-4.626	-3.397	-2.991	-3.408	0.084	0.391	0.225	-1.511	-0.995	0.1445	-0.276	0.612	0.27	1.044	1.097	0.49	-0.2715	0.2085	-6.3385	0.276	-1.3425	-1.3505	-3.421	-4.64	-4.207	-4.966	-2.945	-3.866	-2.427	-4.708	-4.059	-2.794	-1.755	-0.175	-0.672	0.42	0.112	-0.578	0.905
"YGR162W"	-0.573	-2.374	-2.26833333333333	-1.568	-2.57833333333333	-1.561	-1.13533333333333	-1.04166666666667	-1.89433333333333	-2.97266666666667	-3.149	0.2595	-0.00399999999999999	0.1885	-1.0985	-1.544	-1.595	-1.0285	-0.827	-0.736	-0.7585	-2.589	-3.2845	-1.063	-0.7695	-0.0805	-1.906	-1.361	-1.469	0.008	-1.6895	-1.425	-1.1185	-1.5615	0.2065	0.342	0.391	-0.262	0.184	0.449	-0.057	0.358	0.33	0.4005	0.081	0.1105	-0.224666666666667	0.307666666666667	-2.80166666666667	0.487	0.516666666666667	-0.0616666666666667	-2.514	-2.32	-1.616	-2.389	-2.517	-2.308	-1.199	-2.225	-1.741	-1.388	-1.399	0.045	0.064	0.239	-0.186	0.098	0.481
"YGR173W"	-1.121	-1.7015	-2.503	-1.765	-1.71	-0.761	0.106	-0.7595	-1.958	-2.8095	-2.487	0.065	-0.511	0.118	-0.513	-1.136	-1.07	-0.65	-0.366	-0.443	0.078	-3.271	-3.699	-1.899	-1.732	0.065	-2.709	-2.065	-1.747	0.151	-1.546	-1.279	-1.36	-0.91	0.374	0.118	0.089	-0.501	-0.306	0.6365	0.492	0.297	0.242	0.363	0.585	0.236	-0.1435	0.062	-2.734	0.473	-0.3225	-0.1715	-1.48	-1.911	-1.015	-0.995	-2.164	-1.798	-0.735	-2.139	-1.259	-0.642	-1.525	-0.092	0.196	0.247	-0.13	0.135	0.367
"YGR200C"	-1.051	-1.8465	-2.517	-0.193	-2.347	-0.997	-0.569	-1.6375	-2.0035	-2.659	-2.1245	0.11	-0.464	0.173	-1.466	-2.119	-2.036	-1.415	-0.985	-0.836	-0.416	-3.964	-3.668	-2.069	-1.557	-0.268	-2.565	-2.446	-1.597	0.098	-0.958	-1.1	-1.274	-1.456	0.074	0.235	0.421	-0.819	-0.693	0.0725	-0.267	0.024	0.067	0.649	0.558	0.314	-0.096	0.032	-2.24	0.639	-0.852	-0.618	-2.369	-3.333	-2.107	-2.377	-1.148	-1.471	-0.971	-2.289	-0.82	-1.038	-1.208	-0.223	-0.141	0.363	-0.074	-0.49	0.093
"YGR245C"	-1.281	-2.6095	-5.097	-5.457	-5.1995	-3.444	-1.3965	-2.66	-3.9345	-4.2355	-3.9115	0.668	0.439	0.06	-1.933	-3.099	-3.022	-2.579	-1.802	-1.114	-0.613	-4.207	-3.799	-3.177	-1.517	0.065	-3.273	-2.711	-0.475	-0.049	-3.164	-2.228	-2.367	-2.154	0.097	0.283	0.157	-2.04	-1.108	0.358	0.051	0.623	0.778	0.794	0.957	0.288	-0.075	0.153	-4.6765	0.417	-1.39	0.137	-2.295	-4.281	-2.645	-2.373	-2.292	-2.575	-1.232	-3.415	-2.535	-1.342	-0.854	0.173	0.164	0.249	NaN	-0.364	-0.415
"YGR248W"	1.994	5.5605	6.0655	6.403	5.962	4.6435	2.8815	4.041	5.4885	6.052	5.5355	-0.762	-0.671	-0.516	3.298	4.562	4.584	4.245	3.157	1.899	0.737	5.321	0.496	3.331	3.979	-0.337	3.461	3.003	2.767	0.186	4.094	3.926	4.358	4.952	0.947	-0.23	-0.504	4.744	4.106	-0.774	-0.676	-1.347	-2.07	-1.259	-1.298	-1.211	0.082	-0.185	7.005	-1.376	1.853	2.03	5.373	4.665	3.242	3.854	6.168	6.124	5.273	6.811	5.604	4.018	4.819	0.392	0.933	-0.746	-0.751	-0.464	-0.693
"YGR272C"	-0.127	-1.24	-2.097	-1.5415	-2.409	-1.124	-0.7885	-1.4715	-2.261	-2.5195	-2.589	1.01	0.592	0.082	-1.778	-2.47	-2.334	-1.904	-1.285	-1.114	-0.766	-3.298	-3.376	-1.454	-1.094	0.231	-1.797	-1.974	-0.993	-0.19	-2.698	-1.828	-1.27	-1.921	-0.064	0.12	0.092	-1.043	-1.023	0.727	0.352	0.376	0.076	-0.426	0.328	-0.023	-0.339	-0.077	-1.6415	-0.499	-1.666	-0.647	-1.904	-1.175	-0.356	-1.502	-0.698	-1.303	-0.237	-1.888	-1.468	-1.135	-0.535	-0.21	-0.251	0.15	0.285	-0.429	0.164
"YHL011C"	-0.22	-2.166	-2.744	-2.4425	-2.467	-1.4255	-0.3385	-0.997	-2.107	-3.0145	-3.024	-0.102	-0.183	0.461	-0.687	-1.603	-1.5	-0.737	-0.626	-0.018	0.131	-2.604	-3.592	-1.461	-1.677	0.563	-2.503	-2.019	-1.597	0.22	-1.801	-0.989	-1.128	-1.272	0.245	0.144	0.142	-0.422	-0.379	0.2475	0.083	0.617	0.587	0.986	1.257	0.653	-0.119	0.032	-3.2715	0.655	-1.51	-1.095	-2.169	-2.38	-1.532	-2.437	-2.033	-1.74	-0.172	-2.086	-0.98	-1.253	-1.311	0.438	0.296	0.288	-0.085	-0.085	0.253
"YHR052W"	-1.252	-3.848	-4.2445	-2.638	-3.5175	-2.1725	-0.9	-1.499	-3.5215	-4.3935	-3.9395	0.916	0.754	0.332	-1.274	-1.975	-1.663	-1.389	-0.911	-0.49	-0.397	-4.199	-4.447	-2.516	-2.571	0.766	-2.565	-2.428	-1.756	-0.107	-3.435	-2.249	-2.245	-2.297	-0.005	0.146	-0.008	-2.71	-0.35	0.7085	0.575	0.932	0.495	1.152	1.008	0.68	-0.243	0.518	-4.9395	0.598	-1.414	-1.36	-2.268	-2.827	-1.875	-2.212	-1.892	-3.411	-1.666	-3.47	-2.114	-2.463	-1.582	0.026	-0.135	0.208	-0.16	-0.393	0.411
"YHR066W"	-0.862	-2.6315	-3.7505	-3.058	-3.0515	-1.2655	-0.0495	-1.4695	-2.9815	-3.762	-3.552	1.083	0.589	0.35	-1.993	-2.473	-2.073	-1.432	-1.036	-0.84	-0.374	-4.885	-5.203	-2.29	-2.064	0.424	-2.974	-2.008	-1.599	-0.274	-2.742	-1.611	-1.41	-1.569	-0.101	0.136	0.097	-1.0	-0.366	0.6655	0.602	0.262	0.383	0.763	0.982	0.456	-0.048	-0.005	-4.347	1.127	-1.518	0.032	-2.551	-3.068	-1.906	-2.219	-1.623	-1.898	-0.729	-2.382	-1.908	-1.368	-1.089	-0.19	-0.159	0.099	-0.171	-0.544	0.18
"YHR089C"	-1.523	-3.2685	-4.5225	-3.925	-3.658	-1.743	-1.8395	-1.2945	-3.523	-4.938	-4.6915	0.506	0.013	-0.112	-0.732	-1.926	-2.485	-1.843	-1.389	-0.845	-0.845	-3.409	-4.276	-1.808	-0.161	-0.4	-2.292	-1.864	-1.513	-0.406	-4.426	-3.154	-3.217	-3.48	0.043	-0.14	-0.217	-1.46	-1.069	0.1455	-0.148	0.428	0.518	0.664	0.917	0.33	-0.583	0.122	-4.9325	0.061	-1.703	-0.906	-2.896	-3.579	-1.269	-3.412	-2.523	-2.905	-1.029	-3.956	-3.219	-2.005	-3.27	-0.193	-0.065	0.339	-0.424	-1.183	0.706
"YHR104W"	1.009	4.5615	4.906	4.8105	4.6215	3.5845	2.534	3.2725	4.247	4.658	4.7775	-0.841	-0.013	-0.193	2.174	2.864	2.908	3.044	2.511	1.921	1.539	3.691	-2.834	1.404	1.183	0.018	1.606	1.196	0.443	0.357	2.561	2.249	2.913	3.122	0.748	0.345	0.38	3.158	2.444	-0.2505	-0.141	-1.038	-0.774	-1.437	-1.003	-0.788	-0.156	0.425	5.319	-0.755	2.107	1.434	4.201	5.002	2.775	3.432	2.457	1.421	1.698	3.963	2.022	1.53	1.952	0.071	0.064	0.392	0.057	0.686	0.228
"YHR113W"	0.623	0.9995	1.4695	1.6925	1.35	0.622	0.302	1.115	1.268	1.588	1.4295	-0.216	0.185	-0.049	0.596	0.826	1.024	1.147	0.847	0.559	-0.018	1.338	-0.497	1.477	1.066	-0.28	1.28	1.008	0.546	0.542	1.636	0.883	0.946	1.095	0.288	-0.056	0.073	0.974	0.664	-0.276	-0.103	-0.043	-0.135	-0.236	-0.232	0.017	0.419	0.455	1.527	-0.077	0.722	-0.175	2.013	1.999	2.286	2.11	1.615	1.469	1.709	2.172	1.2	1.39	1.571	0.26	0.409	-0.41	-0.421	0.226	0.68
"YHR148W"	-1.073	-1.6105	-3.0225	-1.8445	-2.0375	-1.108	-0.3755	-1.2945	-2.8705	-3.2345	-2.692	0.45	-0.462	0.161	-1.294	-1.681	-1.443	-1.099	-0.749	-0.338	-0.215	-3.086	-3.377	-1.802	-1.649	0.366	-1.557	-1.816	-0.327	-0.085	-1.58	-0.968	-0.949	-0.812	-0.041	0.104	0.602	-0.671	-0.342	0.3555	0.437	0.713	0.488	1.086	0.925	0.71	-0.128	0.124	-3.95	0.48	-1.766	-1.39	-1.484	-2.565	-2.119	-2.035	-1.681	-1.749	-1.989	-2.893	-1.982	-1.373	-1.562	-0.288	-0.258	0.278	0.669	0.006	-0.132
"YHR170W"	-1.172	-3.765	-5.3995	-6.3835	-4.622	-2.4275	-1.2935	-2.085	-4.14	-4.723	-3.947	-0.734	-0.775	0.4	-1.62	-2.518	-2.551	-1.78	-1.288	-0.517	-0.508	-4.51	-4.858	-2.326	-1.722	0.178	-2.759	-2.694	-1.887	0.213	-2.314	-1.433	-2.149	-1.819	0.177	0.154	0.418	-1.321	-1.164	0.6455	0.469	0.442	0.458	1.14	0.824	0.327	-0.306	0.156	-5.252	0.31	-0.634	-2.157	-2.606	-3.576	-2.405	-2.772	-3.186	-2.544	-2.601	-3.601	-2.58	-2.061	-1.01	-0.298	-0.411	-0.051	0.091	-0.187	-0.107
"YHR197W"	-0.251	-3.192	-3.7705	-3.293	-3.414	-1.794	-1.147	-1.0935	-2.9045	-3.415	-3.1475	-0.357	-0.506	0.096	-2.259	-2.573	-2.318	-1.815	-1.373	-1.049	-0.644	-2.813	-2.808	-2.03	-1.226	0.355	-2.457	-2.259	-1.542	0.149	-1.99	-1.778	-1.716	-1.524	0.094	0.265	0.304	-1.173	-0.742	0.5145	0.152	0.354	0.49	0.69	0.811	0.406	-0.096	0.139	-2.7335	-0.082	-1.519	-0.804	-2.811	-2.933	-2.761	-2.722	-1.648	-2.215	-2.032	-2.625	-2.002	-1.608	-1.138	-0.362	-0.484	-1.189	-0.692	-0.502	-0.908
"YHR204W"	-0.777	-2.1445	-1.421	-1.191	-1.307	-0.671	-0.7955	-0.518	-0.9975	-1.3235	-1.0235	-0.385	-0.421	0.034	-0.728	-1.208	-1.018	-0.726	-0.611	-0.815	-0.383	-1.236	-2.025	-0.967	-0.815	0.267	-1.294	-0.997	-0.806	0.18	-0.97	-0.86	-0.697	-0.447	-0.022	0.204	0.066	-0.301	-0.375	-0.358	-0.425	0.346	0.224	0.259	0.721	0.202	0.513	-0.404	-0.929	0.262	0.215	-0.028	-0.879	-1.791	-1.082	-1.83	-1.518	-1.648	-1.07	-1.497	-1.541	-1.259	-1.486	0.005	-0.009	-0.034	-0.391	-0.172	-0.038
"YHR208W"	-1.426	-1.2825	-1.666	-1.2435	-1.55	-0.64	-0.5785	-0.9655	-1.555	-1.895	-1.8505	-0.027	-0.307	0.14	-0.418	-0.981	-1.093	-0.424	-0.363	-0.016	0.131	-3.191	-4.064	0.163	-1.564	-0.131	-2.446	-2.137	-1.934	0.34	-2.228	-1.185	-1.232	-1.339	-0.031	0.263	0.219	-0.811	-0.926	-0.1445	-0.13	0.135	0.41	0.292	0.71	0.325	-0.255	-0.37	-1.8325	0.846	-1.323	-1.604	-1.466	-2.6	-1.991	-2.577	-4.041	-3.355	-2.435	-3.596	-3.088	-2.843	-3.189	-0.48	-0.202	0.317	0.18	0.082	0.57
"YIL064W"	-0.596	-0.772	-2.354	-2.36	-2.7345	-1.6085	-0.773	-1.2675	-2.1515	-2.514	-2.1275	-0.301	-0.11	-0.07	-0.637	-1.639	-1.635	-1.362	-0.967	-0.633	-0.3	-2.326	-2.687	-2.664	-1.501	-0.252	-2.125	-1.191	-0.356	-0.077	-0.443	-0.415	-0.205	-0.266	-0.062	0.257	0.214	-1.111	-1.1	-0.0165	-0.135	0.28	-0.093	0.904	0.713	0.618	-0.046	0.092	-2.1995	-0.047	-0.74	-0.471	-1.561	-2.286	-1.123	-2.318	-1.706	0.708	0.818	-2.035	0.049	0.061	-0.749	-0.043	0.007	-0.162	0.189	0.004	-0.278
"YIL127C"	-0.789	-1.5585	-2.724	-2.4155	-3.181	-1.5835	-0.7385	-1.271	-1.7815	-2.8895	-2.6295	0.935	0.752	0.071	-1.6	-2.219	-2.121	-1.43	-0.818	-0.492	-0.228	-3.825	-4.521	-2.293	-2.137	0.211	-3.072	-1.756	-1.412	-0.092	-2.484	-1.39	-1.039	-1.481	-0.223	0.094	0.137	-0.49	-0.796	0.5575	0.44	0.72	0.402	0.972	0.881	0.601	-0.453	-0.207	-2.6085	-0.043	-1.001	0.145	-3.424	-2.784	-1.905	-1.765	-2.676	-1.774	-0.758	-3.693	-1.968	-1.42	-1.731	-0.035	-0.022	0.238	0.124	0.228	0.348
"YIR026C"	-1.041	-1.3285	-3.1325	0.981	-3.9735	-2.1735	-1.138	-2.7045	-2.8615	-3.1245	-3.013	-0.706	0.162	0.061	-1.222	-2.178	-2.28	-1.724	-1.223	-0.549	-0.346	-4.983	-4.724	-2.815	-1.384	0.014	-2.112	-2.284	-1.499	0.08	-0.988	-1.175	-1.886	-1.544	0.167	-0.138	0.209	-1.627	-1.079	0.1955	0.043	0.242	0.253	0.719	0.958	0.601	-0.105	0.248	-2.938	0.245	-0.405	-0.42	-1.552	-2.844	-2.131	-2.196	-1.822	-1.135	-0.682	-2.578	-1.739	-1.698	-2.482	0.032	-0.035	0.405	0.268	0.203	-0.361
"YJL122W"	-1.554	-2.271	-3.1605	-2.3075	-2.6115	-1.7245	-1.1505	-1.086	-2.3555	-3.015	-2.6085	0.148	-0.478	0.208	-1.064	-2.04	-2.031	-1.395	-1.032	-0.559	-0.318	-4.13	NaN	-2.124	-3.519	0.304	-2.718	-2.694	-2.711	-0.08	-1.834	-1.836	-1.889	-1.753	-0.035	0.029	-0.108	-0.885	-0.55	0.186	-0.036	0.601	0.595	1.365	0.543	0.683	-0.425	0.016	-2.9625	0.867	-1.621	-1.018	-2.578	-3.081	-2.605	-2.196	-2.529	-2.241	-1.562	-3.406	-2.805	-1.521	-1.919	-0.177	-0.413	0.441	0.35	0.113	0.369
"YJL125C"	-0.518	-1.366	-1.985	-1.7055	-2.022	-1.1805	-0.5555	-1.588	-1.6395	-2.175	-1.945	0.034	0.11	-0.067	-1.106	-1.466	-1.267	-0.908	-0.592	-0.455	-0.223	-2.303	-4.009	-1.542	-1.243	0.22	-1.988	-1.388	-1.484	0.036	-1.688	-1.254	-0.819	-0.974	0.1	0.012	-0.07	-0.626	-0.397	0.4205	0.288	-0.067	0.046	0.664	0.439	0.429	0.054	0.204	-1.7655	0.607	-0.371	-0.571	-1.282	-1.659	-1.219	-1.521	-1.15	-1.094	-0.914	-1.31	-1.121	-1.091	-0.911	-0.423	-0.593	0.135	0.164	-0.019	0.047
"YJL198W"	-0.823	-2.4485	-2.413	-2.395	-2.408	-1.155	-0.386	-0.8235	-2.049	-2.7905	-2.457	-0.216	-0.483	0.218	-1.02	-1.617	-1.266	-1.078	-0.79	-0.703	-0.228	-2.049	-2.784	-1.227	-1.33	-0.126	-2.115	-1.669	-1.189	0.182	-0.9	-0.777	-1.451	-1.441	-0.152	0.138	-0.012	-0.534	-0.295	-0.1065	-0.257	0.826	0.421	1.008	0.774	0.264	-0.023	-0.274	-3.027	0.227	-1.667	-1.259	-3.319	NaN	-2.176	-3.372	-1.239	-1.37	-1.933	-2.296	-1.538	-2.057	-2.474	0.262	0.141	0.245	0.059	-0.323	-0.119
"YJL200C"	-1.846	-2.412	-3.818	-2.8885	-2.434	-0.959	0.2875	-1.338	-2.957	-4.048	-3.5515	-0.9	-0.819	0.114	-1.311	-2.186	-1.95	-1.687	-1.403	-1.092	-0.626	-3.392	-4.345	-1.103	-1.27	0.209	-2.728	-2.482	-1.533	0.049	-0.918	-0.61	-0.855	-1.19	-0.307	0.027	0.157	-0.951	-0.904	0.217	0.201	0.7	0.707	1.105	1.169	0.23	0.076	-0.642	-3.9785	1.157	-2.136	-0.502	-2.276	-2.786	-1.213	-3.433	-2.974	-2.875	-1.49	-3.653	-2.812	-2.005	-1.18	-0.26	-0.094	0.937	0.639	0.328	0.261
"YJL208C"	-0.716	-2.5145	-2.433	-2.4605	-2.228	-1.104	-0.6475	-0.594	-0.7505	-1.906	-1.574	0.068	-0.417	0.015	-1.017	-1.442	-1.36	-0.824	-0.571	-0.323	-0.064	-2.326	-3.324	-1.052	-2.168	0.206	-1.817	-1.294	-0.845	0.234	-1.382	-1.005	-1.407	-1.712	0.098	0.098	-0.168	-0.614	-0.732	0.319	0.154	0.435	0.169	0.735	0.576	0.254	-0.379	0.08	-2.466	0.718	-1.153	-1.307	-2.898	-2.875	-2.009	-2.275	-3.074	-1.825	-1.581	-3.351	-1.603	-0.997	-1.502	-0.512	-0.46	0.035	0.213	-0.068	0.463
"YJR002W"	-0.695	-3.138	-3.52066666666667	-0.709666666666667	-2.819	-1.96566666666667	-0.841333333333333	-1.408	-2.21066666666667	-2.34	-3.20666666666667	-0.134	-0.2055	-0.0975	-1.7525	-1.834	-1.98	-1.6755	-1.28	-0.8435	-0.3565	-2.9885	-4.416	-2.145	-0.875	0.2705	-2.066	-1.3185	-0.855	0.074	-2.212	-1.302	-1.257	-1.1615	0.1415	0.028	0.052	-1.1615	-0.718	0.550333333333333	0.448	0.531	0.3635	0.7045	0.7375	0.3385	-0.6125	0.0485	-3.31866666666667	0.531	-1.1505	-0.7015	-2.667	-3.252	-2.36	-2.97	-2.669	-1.374	-0.919	-2.426	-1.264	-1.356	-1.092	-0.031	-0.106	0.284	0.059	-0.42	0.123
"YJR003C"	-0.465	-1.9175	-2.3135	-2.3445	-2.6315	-1.2815	-1.039	-1.851	-1.374	-1.783	-1.5255	0.615	0.545	-0.224	-1.229	-1.794	-1.759	-1.25	-1.161	-0.826	-0.321	-2.372	-3.457	-1.374	-1.265	0.319	-1.107	-1.02	-0.552	0.15	-2.02	-1.37	-0.824	-0.91	-0.218	-0.22	-0.057	-0.852	-0.739	0.369	0.089	0.273	0.045	0.59	0.116	0.26	-0.089	0.111	-1.7235	-0.162	-0.663	0.16	-2.854	-2.523	-1.808	-1.93	-1.962	-1.307	-0.152	-2.567	-1.637	-1.267	-0.569	-0.73	-0.603	0.515	0.271	0.259	0.607
