	"40.alpha factor release sample029"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"585.21 deg growth"	"597.25 deg growth"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"906.w303a vs w303a hcm1"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1303.diauxic shift timecourse: 0 hr"	"2559.29C to 33C - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"13067.Na/Na+FK 45min (1)"	"13493.Y10 mRNP vs. Poly"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YNL061W"	-0.18	-3.447	-4.928	-4.17	-3.927	-4.143	-4.404	-3.948	0.88	0.786	-1.749	-1.98	-2.673	-4.329	-1.794	-1.547	0.044	-1.315	-3.268	-1.421	-1.555	-1.548	0.12	-0.08	-1.324	-0.819	0.053	-1.182	-0.005	-0.874	-2.327	-0.954	-0.154	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	-0.396	-1.224	-0.244	0.032	-5.38	-0.164	-0.208	0.073	-2.816	-2.646	0.376	-2.95	-1.981	0.536	-0.096	-0.064	-0.238	-3.059	-3.925	-2.946	-1.676	-1.248	-2.461	-0.996	-2.571	-1.192
"YNL075W"	-0.178	-2.664	-3.86	-2.098	-3.164	-2.558	-3.304	-2.768	0.593	0.524	-1.057	-1.215	-2.078	-4.782	-2.189	-1.696	0.203	-1.575	-2.149	-1.222	-0.979	-1.31	-0.096	-0.478	-1.271	-0.983	-0.095	-1.356	-0.041	-0.027	-1.057	-1.131	-0.549	-1.037	-1.85	-1.445	-0.405	-1.521	-1.884	-0.582	-1.121	-0.319	0.129	-3.301	0.049	-0.14	0.987	-2.467	-2.281	-0.178	-2.144	-1.758	-0.041	-0.198	-0.615	-0.809	-3.326	-2.935	-2.361	-1.615	-1.995	-2.748	-1.298	-3.779	-0.755
"YNL110C"	-0.157	-3.468	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	1.289	1.075	-1.169	-1.967	-2.66	-5.108	-2.608	-2.472	0.408	-1.979	-4.151	-2.141	-1.741	-2.144	-0.179	0.048	-1.673	-1.074	0.03	-1.865	-0.326	-0.665	-2.56	-1.452	-0.958	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	-0.791	-2.027	-0.933	0.412	-5.064	0.032	-0.616	-0.161	-2.547	-2.308	0.09	-2.701	-2.816	0.091	-0.176	-0.275	0.693	-4.233	-4.907	-3.471	-1.921	-2.853	-3.973	-2.537	-4.747	-0.854
"YNL174W"	-0.102	-2.195	-5.157	-5.094	-4.699	-4.233	-5.579	-4.714	0.489	0.316	-1.44	-2.483	-2.857	-5.141	-3.428	-2.797	0.31	-1.313	-4.372	-2.731	-2.682	-2.061	0.014	0.055	-1.825	-0.926	0.102	-1.114	-0.26	-0.271	-0.842	-0.577	-0.606	-0.751	-2.4	-2.57	-0.803	-2.392	-2.87	-0.874	-2.295	-0.367	-0.419	-5.426	-0.055	-0.214	-0.595	-2.751	-3.06	0.103	-2.499	-3.421	0.01	-0.54	-0.151	-1.072	-2.201	-3.76	-2.801	-1.578	-1.916	-2.503	-1.998	-3.816	-1.145
"YNL308C"	0.122	-3.076	-3.929	-2.764	-1.689	-2.757	-3.366	-3.336	0.324	0.263	-1.485	-2.013	-3.186	-4.351	-2.15	-1.693	0.08	-1.723	-3.207	-1.872	-1.62	-2.065	-0.06	-0.027	-1.566	-1.026	0.075	-1.115	-0.292	-0.25	-0.733	-1.17	-0.39	-0.485	-1.605	-1.238	-0.539	-1.613	-1.902	-0.747	-1.01	-0.64	0.583	-3.272	-0.09	-0.2	-0.067	-2.602	-2.545	-0.166	-2.623	-1.794	-0.022	0.071	0.183	-0.382	-4.501	-4.586	-2.561	-1.77	-1.49	-1.77	-0.731	-3.307	-0.57
"YNR053C"	-0.094	-2.579	-5.074	-2.27	-4.159	-3.104	-3.74	-3.215	0.639	0.482	-0.568	-1.937	-2.944	-3.029	-1.27	-0.1815	-0.027	-1.993	-1.032	-1.569	-1.573	-1.29	0.141	-0.239	-1.703	-1.256	0.249	-1.987	-0.382	-0.434	-2.603	-1.394	-0.076	-2.286	-3.205	-1.883	-1.627	-2.327	-2.486	0.98	-1.845	-0.151	-0.448	-4.11	0.287	-1.019	0.939	-2.838	-2.72	-0.196	-2.116	-1.468	0.234	-1.17	-1.878	-1.485	-3.556	-3.937	-3.267	-1.982	-3.833	-2.674	-2.514	-4.56	-1.157
"YOL032W"	0.028	3.213	2.547	2.431	2.574	2.179	2.821	2.921	-0.27	-0.56	0.986	1.363	1.835	1.9835	0.452	-0.8395	0.059	0.874	1.896	1.242	1.359	2.101	-0.264	0.327	0.343	0.781	-0.03	1.654	0.212	1.076	2.577	1.554	-0.429	2.483	2.832	2.438	2.409	2.708	2.283	-0.4445	-0.0765	0.017	0.446	2.991	0.922	0.594	0.105	0.253	1.421	-0.376	0.93	-2.169	-0.122	-0.226	1.11	0.567	3.851	3.036	2.238	1.125	1.364	2.111	1.566	3.827	1.844
"YOL077C"	-0.281	-4.404	-5.439	-5.781	-5.04	-4.336	-5.22	-4.28	0.734	0.576	-1.588	-2.172	-2.83	-5.186	-3.087	-2.79	0.304	-2.046	-3.705	-2.565	-2.549	-3.046	0.035	0.041	-2.032	-0.983	0.316	-1.463	0.035	-0.169	-2.206	-1.222	-0.69	-2.121	-3.287	-2.054	-2.035	-3.032	-2.96	-0.44	-2.119	-0.445	-0.508	-4.7	0.262	-0.241	0.166	-3.214	-3.346	-0.076	-3.209	-2.005	0.476	-0.592	-1.143	-1.514	-4.174	-4.969	-3.866	-1.991	-2.017	-4.679	-2.579	-5.145	-2.029
"YOL124C"	-0.024	-3.477	-5.367	-3.025	-5.101	-3.858	-4.247	-3.145	0.546	0.503	-1.416	-1.729	-2.33	-1.6095	-0.9985	-0.899	0.508	-1.583	-3.058	-2.212	-2.627	-2.654	-0.199	-0.186	-1.609	-1.236	0.157	-1.629	-0.21	-0.617	-1.067	-1.19	-0.557	-0.604	-2.345	-1.986	-0.861	-2.221	-2.474	0.096	-1.8105	-0.212	-0.013	-4.313	0.078	0.088	-0.348	-2.566	-2.137	0.353	-2.096	-2.622	0.769	-0.539	-0.995	-1.022	-3.304	-3.978	-2.981	-1.78	-3.094	-4.404	-3.091	-4.431	-2.692
"YOR018W"	0.064	0.837	1.601	1.52	1.438	1.415	1.508	1.585	0.048	0.009	0.713	0.322	0.679	0.0645	0.328	0.977	0.054	0.361	0.943	0.556	1.193	1.77	-0.159	0.419	0.23	0.729	-0.027	1.149	-0.238	-0.331	0.775	0.765	-0.139	0.678	0.976	0.807	0.338	0.905	0.987	-0.393	0.3195	0.0	0.295	1.556	-0.433	0.183	0.574	0.751	1.19	0.348	0.495	1.223	-0.305	0.716	0.712	0.149	0.704	1.536	1.245	0.823	0.635	0.749	0.998	0.504	-0.098
"YOR052C"	-0.074	3.429	2.928	3.193	3.124	2.471	3.237	3.288	-0.174	-0.228	1.467	1.437	2.571	3.063	2.043	2.549	0.18	1.067	2.054	2.131	1.972	2.586	-0.303	0.511	0.737	0.886	0.109	1.553	0.38	0.056	2.537	2.197	-0.088	1.497	2.173	1.949	1.223	1.904	1.806	1.106	-0.7435	0.422	0.071	3.265	0.529	0.742	0.098	2.138	1.896	-0.311	NaN	1.961	-0.226	0.384	0.167	0.58	2.784	3.6	2.616	1.986	1.918	2.538	1.516	2.334	0.696
"YOR056C"	0.025	-1.938	-3.307	-2.372	-2.801	-2.448	-3.069	-2.663	0.697	0.534	-1.084	-1.006	-2.064	-2.513	0.9505	-0.394	0.222	-1.039	-1.461	-0.864	-0.556	-0.548	-0.172	-0.237	-0.843	-1.006	0.178	-1.116	-0.234	-0.234	-1.019	-0.781	-0.229	-0.855	-1.39	-0.949	-0.437	-1.094	-1.064	-1.0275	-0.412	-0.46	0.161	-3.073	0.183	0.218	0.102	-1.891	-2.124	-0.069	-2.271	-1.533	0.135	-0.076	-0.263	-0.133	-5.369	-3.941	-2.675	-1.718	-2.209	-2.79	-2.172	-3.046	-0.299
"YOR078W"	-0.119	-1.712	-2.451	-1.472	-1.56	-1.619	-2.067	-1.907	0.541	0.766	-0.758	-1.092	-1.545	-1.1635	0.356	0.4225	0.283	NaN	0.484	-1.318	-1.218	-1.136	-0.113	0.003	-0.721	-0.824	0.102	-1.163	-0.058	-0.501	-0.667	-0.666	-0.592	-0.852	-1.183	-0.811	-0.28	-0.62	-0.948	-0.211	-1.436	-0.215	0.603	-2.101	0.268	-0.137	-0.887	-1.94	-1.825	0.418	-2.279	-1.523	-0.095	-0.487	-0.122	-0.337	-2.387	-2.616	-1.966	-0.78	-2.276	-1.889	-1.349	-3.288	-0.402
"YOR145C"	0.275	-3.045	-3.98	-3.649	-3.795	-2.871	-3.492	-3.402	0.211	0.051	-0.926	-1.45	-2.441	-4.1305	-1.7885	-1.2825	0.056	-1.688	-0.787	-0.757	-0.742	-0.788	-0.002	-0.138	-1.21	-1.018	0.313	-1.711	0.363	-0.116	-2.247	-1.434	-0.611	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	-0.4765	-1.1325	-0.1925	0.012	-3.948	0.646	-0.386	0.583	-3.1	-2.784	-0.231	-3.41	-2.036	0.4	0.148	-0.288	-0.306	-3.355	-3.644	-2.806	-1.565	-2.601	-3.265	-1.728	-4.493	-0.477
"YOR267C"	0.16	2.114	2.286	1.889	1.721	1.585	2.058	1.9	0.165	0.099	0.117	0.428	0.353	1.909	0.772	0.504	0.159	0.111	0.914	0.061	1.043	1.799	-0.142	0.229	-0.537	0.606	0.224	1.144	-0.34	-0.432	1.734	0.977	0.352	1.786	1.771	1.4	1.038	1.349	1.042	0.1485	0.121	0.187	-0.864	1.43	-0.126	-0.308	0.238	-0.307	-0.127	0.065	0.371	0.756	0.034	0.156	-0.231	-0.072	2.606	2.049	1.383	0.482	1.777	0.226	1.08	1.897	-0.968
"YOR285W"	0.618	2.196	2.249	2.14	1.793	1.979	2.258	2.284	-0.472	-0.334	1.579	1.965	-1.0	2.2335	2.1685	0.84	-0.157	1.278	2.58	2.204	1.872	2.444	0.362	-0.125	0.888	0.839	-0.185	1.042	-0.052	0.064	1.369	0.646	0.187	0.611	1.245	1.281	0.814	1.162	1.176	0.583	1.195	0.716	0.307	2.865	0.314	0.469	-0.841	1.78	1.919	-0.028	1.587	1.5	-0.839	0.449	0.844	0.808	2.766	1.95	1.785	1.229	0.692	2.469	2.161	2.663	-0.134
"YOR287C"	0.266	-1.639	-3.97	-2.641	-2.174	-2.322	-3.247	-2.585	0.908	0.791	-0.932	-1.998	-2.167	-3.973	-1.3085	-1.385	0.507	-1.897	-2.146	-1.162	-1.159	-1.269	-0.072	0.016	-1.247	-0.949	0.051	-1.87	-0.453	-0.412	-0.69	-1.299	-0.801	-0.942	-1.823	-1.581	-0.557	-1.374	-1.938	-0.4205	-2.1335	-0.3615	0.161	-2.646	-0.07	-0.122	0.039	-2.765	-2.718	0.024	-2.953	-1.826	-0.474	-0.374	0.035	-0.111	-3.301	-3.942	-2.391	-1.174	-3.8	-2.109	-1.555	-3.411	-0.113
"YOR294W"	-0.2	-3.856	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	0.859	0.679	-1.275	-1.692	-2.434	-5.6475	-1.914	-1.3525	-0.283	-1.683	-1.284	-1.517	-1.08	-0.98	-0.101	-0.241	-1.799	-1.425	0.037	-1.834	0.059	-0.418	-3.115	-1.643	-0.705	-3.09	-3.461	-1.971	-2.747	-3.216	-3.031	-0.219	-1.381	-0.443	0.08	-4.852	-0.312	-0.424	-0.025	-2.729	-2.527	0.295	-3.102	-2.77	0.399	0.092	-0.04	-0.793	-3.894	-4.841	-3.679	-1.729	-2.871	-3.042	-2.462	-5.145	-0.407
"YPL004C"	-0.122	2.638	3.048	2.832	2.525	2.254	2.241	2.589	0.006	0.023	1.394	1.997	2.316	2.962	2.449	1.689	0.247	1.522	3.013	2.417	1.835	2.007	-0.217	-0.01	1.162	0.759	0.288	1.932	0.02	-0.366	2.453	1.919	0.428	1.641	2.317	2.41	1.502	2.437	2.236	0.1345	0.386	0.4585	-0.256	2.2	0.722	0.832	0.056	1.481	1.565	0.392	2.447	3.8	-0.757	0.317	-0.767	0.166	3.209	3.003	2.446	0.743	2.386	2.486	2.251	3.09	0.894
"YPL043W"	0.104	-2.829	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	0.631	0.429	-1.009	-1.864	-2.529	-4.668	-2.8295	-2.04	0.126	-1.295	-3.89	-2.277	-2.069	-2.134	-0.013	-0.034	-1.793	-1.071	0.286	-1.548	-0.164	-0.608	-2.31	-1.305	-0.324	-2.339	-2.772	-2.128	-1.506	-2.207	-2.26	-0.735	-1.6305	-1.1115	-0.128	-4.555	-0.136	-0.416	0.014	-2.77	-2.597	-0.188	-2.009	-2.094	0.293	-0.825	-0.168	-0.309	-4.18	-3.988	-2.531	-1.874	-2.158	-2.639	-1.991	-4.308	-0.757
"YPL146C"	0.135	-2.261	-3.196	-2.071	-2.458	-2.143	-3.003	-3.135	1.2185	0.92	-1.318	-1.353	-2.267	-2.239	-1.1295	-1.1555	0.5095	-1.329	-3.297	-1.982	-1.917	-1.781	-0.188	0.034	-1.004	-0.774	0.208	-1.084	-0.419	-0.604	-0.699	-0.777	-0.209	-0.68	-1.278	-0.965	-0.374	-1.027	-1.125	-0.796	-1.538	-0.876	0.753	-3.416	-0.333	-0.355	-0.104	-1.825	-1.719	-0.276	-1.09	-1.492	-0.231	0.002	0.121	-0.318	-3.452	-2.623	-1.919	-1.174	-2.945	-1.805	-1.281	-2.955	-0.537
"YPL183C"	-0.266	-2.853	-2.58	-2.117	-2.124	-2.298	-1.925	-2.585	-0.114	-0.0325	-1.234	-1.483	-1.6975	-3.014	-1.767	-1.544	0.14	-1.725	-2.335	-1.757	-1.735	-1.38	-0.154	0.026	-1.643	-0.765	-0.126	-1.217	-0.323	-0.431	-2.08	-1.202	-0.035	-1.865	-2.373	-1.906	-1.087	-1.231	-1.307	0.178	-1.281	0.1495	-0.919	NaN	-0.346	-0.583	-1.1565	-1.415	-1.41	-0.29	-1.458	-1.339	0.418	-0.419	0.094	-1.004	-2.3645	-2.4425	-2.179	-1.072	-2.373	-2.519	-1.6505	-2.8755	0.665
"YPL247C"	-0.099	3.521	3.7175	3.1825	2.8855	2.3165	3.0315	3.09	-0.249666666666667	-0.386333333333333	-1.233	-1.658	1.94866666666667	3.12633333333333	0.818666666666667	0.879333333333333	-0.619333333333333	0.407	0.7255	0.06	-0.0025	0.6655	-0.367	0.027	-0.066	-0.042	0.068	1.541	0.2955	-0.067	3.2955	1.5125	0.168	2.5345	2.9995	2.6075	2.1785	2.611	2.5025	0.345	1.00233333333333	0.149333333333333	-0.345	3.357	0.284	0.571	0.857	1.408	0.957	0.056	1.734	2.579	0.396	0.355	0.328	0.895	2.389	2.541	1.455	0.303	-0.05	2.472	0.699	3.868	0.245
"YPR143W"	-0.108	-2.688	-3.07	-1.837	-2.179	-2.433	-3.115	-2.963	1.2215	0.971	-1.172	-1.276	-2.0095	-1.922	-0.975	-0.489	0.514	-1.09	-2.489	-1.527	-1.2	-1.025	-0.017	0.342	-1.024	-0.881	0.116	-1.322	-0.25	-0.373	-0.662	-0.856	-0.804	-0.709	-1.404	-1.302	-0.087	-1.163	-1.721	-0.7055	-1.1915	-0.776	0.583	-3.674	-0.043	-0.222	0.005	-1.459	-1.434	-0.195	-1.482	-1.962	-0.259	0.003	-0.254	1.487	-2.271	-2.33	-1.733	-0.765	-1.973	-1.854	-1.428	-3.13	-0.054
"YPR144C"	0.214	-1.792	-4.441	-3.739	-4.211	-2.783	-3.783	-3.366	0.2195	0.171	-1.589	-1.485	-2.554	-3.855	-2.235	-1.9405	0.0855	-1.439	-2.256	-1.327	-1.4	-1.22	0.04	-0.161	-1.444	-0.886	0.12	-1.402	-0.13	-0.097	-1.173	-1.227	-0.193	-0.532	-1.376	-0.956	-0.697	-1.438	-1.474	-0.1785	-1.284	-0.0835	-0.379	-4.107	0.346	-0.404	0.1935	-1.593	-1.769	-0.233	-1.711	-1.181	0.582	-0.302	-0.21	-0.081	-3.581	-3.213	-2.381	-1.442	-2.379	-2.677	-1.688	-3.937	-0.032
