	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YMR065W"	-1.136	-0.852	-0.957	-0.696	0.222	-0.293	-0.681	-0.616	-0.724	-0.499	-1.211	-0.515	-0.308	-0.462	-0.605	-0.283	0.144	-0.112	0.06	-0.121	0.09	-0.459	0.24	-0.463	0.17	-0.041	-0.519	-1.048	0.718	-0.348	0.344	-0.186	-0.807	0.373	-0.435	-0.384	-0.076	-0.731	-1.086	-0.989	-0.171	-0.226	-0.325	-0.492	-0.311	0.04	0.45	-0.128	-0.766	0.839	-0.456	0.228	-0.39	0.273	0.555	0.581	-0.24	-1.64	-0.426	-0.068	-0.157	-0.546	-0.201	-0.642	-0.401	0.32	0.241
"YMR131C"	-0.521	-1.063	0.105	-0.003	0.056	0.136	0.282	0.094	-4.819	-4.183	-2.431	-3.849	-4.525	-4.347	-0.291	-0.057	-1.212	-3.041	-1.871	-1.4	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.153	-3.547	-2.98	1.316	-3.081	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	0.153	-0.052	0.104	0.023	-0.125	-1.268	-2.274	0.198	-1.726	-1.234	-2.295	-1.718	-1.789	-2.31	-2.821	-2.023	-4.674	-3.866	-3.736	-1.412	-2.944	-4.181	-2.68	-1.908	-2.616	-2.124	-1.347
"YMR242C"	0.281	0.143	0.224	0.723	-0.17	0.045	0.036	-0.076	-2.278	-2.539	-1.544	-1.639	-3.309	-3.708	-0.016	0.146	-1.39	-1.705	-2.703	-1.779	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-3.832	-4.338	-3.636	-3.62	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.254	0.015	-0.009	0.269	0.288	-1.396	-1.611	0.2	-1.668	-2.268	-1.87	-2.26	-2.4615	-3.185	-1.243	-2.255	-3.054	-2.43	-2.294	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	-3.582	-3.098
"YMR300C"	-0.437	0.381	-0.272	0.282	0.496	0.114	0.038	-0.203	-0.59	-0.55	0.32	-0.485	-0.519	-1.057	-0.163	0.34	-0.614	-0.537	-0.041	0.239	-3.362	-2.403	-1.602	-1.008	-1.155	-1.794	-3.133	-4.702	0.499	-2.115	-1.993	-1.355	-1.235	-1.559	-0.182	-0.742	-0.949	-1.803	-2.016	-1.571	0.456	0.053	0.171	-0.062	-0.066	-1.12	-1.517	0.434	-0.084	-0.34	-0.518	-0.568	-1.0795	-0.893	1.894	2.028	-1.415	-0.507	-0.744	-2.533	-3.184	-2.758	NaN	-1.063	-1.469	-1.571	-1.439
"YNL002C"	-0.613	-0.723	-0.424	0.04	0.249	-0.023	-0.342	-0.257	-4.666	-4.07	-1.784	-3.305	-4.559	-4.222	-0.219	-0.031	-0.61	-3.653	-2.677	-1.141	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.73	-3.468	-2.839	-3.072	-2.59	-2.178	-2.177	-3.426	-2.209	-1.856	-2.186	-2.277	-2.592	-2.588	0.087	-0.055	-0.412	0.235	-0.152	-2.77	-2.007	0.334	-1.728	-2.118	-1.586	-1.453	-1.942	-1.21	-1.859	-1.348	-4.603	-3.481	-3.245	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211	-1.768	-1.986
"YNL114C"	-0.587	-0.684	-0.132	-0.072	0.084	-0.259	-0.297	-0.367	-2.893	-2.686	-1.404	-2.468	-3.33	-3.663	-0.007	0.127	-0.655	-2.355	-1.548	-0.36	-5.245	-2.663	-2.941	-2.849	-1.734	-2.571	-3.791	-6.572	-2.048	-2.827	-2.978	-1.873	-1.205	-3.032	-1.739	-1.645	-2.221	-1.96	-2.004	-2.111	-0.179	-0.308	-0.193	-0.122	-0.056	-0.127	-1.603	0.054	-1.329	-1.614	-1.434	-1.252	-1.2975	-0.347	-1.049	-0.555	-2.799	-2.336	-2.174	-2.905	-1.754	-4.14	-2.842	-1.49	-2.128	-1.363	-0.865
"YNL141W"	-1.249	-1.184	-0.487	-0.196	0.136	-0.145	0.055	-0.465	-3.622	-3.468	-2.53	-3.233	-3.112	-3.624	-0.079	0.127	-1.194	-2.686	-2.451	-1.742	-5.105	-3.596	-3.239	-3.348	-3.426	-3.35	-3.37	-4.776	-2.744	-2.833	-2.936	-1.598	-2.614	-3.709	-2.857	-2.886	-3.361	-3.883	-3.946	-3.935	-0.105	-0.017	-0.446	-0.275	0.164	-2.774	-2.682	0.18	-2.658	-2.645	-2.763	-1.35	-2.6235	-1.222	-2.63	-3.044	-3.291	-3.821	-3.973	-2.449	-2.951	-4.363	-3.307	-2.679	-3.949	-3.368	-3.969
"YNL162W"	0.113	0.157	-0.235	0.514	0.537	0.182	-0.065	-0.13	-2.024	-2.384	-1.359	-1.97	-3.17	-3.58	0.393	0.083	-0.96	-1.819	-2.232	-1.235	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.882	-2.86	-2.872	-2.421	-2.763	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	0.24	-0.06	0.07	0.343	0.065	-0.845	-1.624	0.096	-1.47	-2.115	-2.002	-2.288	-1.852	-2.438	-1.582	-1.908	-2.998	-2.02	-1.777	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-2.553	-1.293
"YNL209W"	0.1505	0.0905	-0.019	0.47	0.2935	0.0815	0.184	0.2415	-2.368	-2.469	-2.114	-3.114	-4.441	-4.707	0.222	0.1195	-1.414	-1.95	-2.153	-1.407	-3.795	-3.591	-3.12	-3.471	-2.885	-3.057	-4.055	-5.803	-2.699	-3.728	-2.985	-4.021	-3.336	-4.059	-2.262	-2.633	-2.99	-3.596	-3.829	0.396	-0.113	0.2255	0.476	0.424	0.223	-0.822	-1.452	0.1645	-1.772	-1.391	-2.051	-1.517	-2.966	-3.24	-2.115	-2.763	-4.616	-3.361	-3.413	-4.586	-3.709	-4.209	-4.158	-3.075	-2.368	-3.698	-2.815
"YNL247W"	-0.064	-0.906	0.077	0.048	-0.222	-0.1	0.076	0.156	-1.853	-1.793	-1.337	-2.202	-1.358	-2.268	-0.255	0.019	-0.432	-1.048	-1.463	-0.894	-2.799	-1.535	-1.024	-1.064	-1.822	-1.928	-3.191	-4.64	-1.475	-2.34	-2.065	-2.13	-2.019	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.014	0.244	0.14	-0.031	0.033	-1.492	-1.791	-0.007	-0.497	-0.261	-0.649	-0.959	-1.655	-1.584	-1.294	-0.801	-2.788	-2.607	-2.597	-3.771	-2.246	-2.994	-2.147	-1.583	-1.551	-2.507	-1.202
"YNL313C"	0.244	-0.284	0.051	-0.179	-0.596	-0.265	-0.014	0.202	-3.472	-3.026	-1.419	-2.399	-2.935	-3.02	0.093	-0.142	-1.115	-1.887	-1.152	-0.92	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-2.852	-3.129	-2.948	-1.668	-1.914	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	-0.096	0.024	-0.208	-0.184	0.191	-1.598	-1.687	-0.329	-0.846	-1.018	-0.982	-0.962	-1.051	-1.367	-1.891	-1.385	-3.009	-2.824	-1.81	-1.867	-1.835	-3.85	-2.129	-1.672	-1.421	-1.743	-1.026
"YOL079W"	-0.301	-0.479	0.015	0.173	0.019	-0.18	-0.02	-0.05	-1.242	-1.515	-1.013	-1.222	-1.155	-1.0	0.1	-0.042	-0.704	-0.483	-1.425	-0.257	0.2785	-1.3615	0.638	-2.07	-1.788	-0.932	0.787	-1.503	-1.014	-0.632	-0.0575	-0.333	-0.067	-1.011	-1.442	-0.932	-1.186	-0.745	-1.617	-1.563	0.317	-0.455	0.32	-0.144	-0.009	-1.396	-0.974	0.125	-1.15	-1.289	-0.97	-0.576	-1.208	-0.921	-0.578	-0.792	-0.354	-1.558	-1.084	0.065	-0.107	-0.854	-0.355	-0.352	-1.085	-1.038	-1.632
"YOR058C"	-0.719	-1.216	-0.975	0.229	0.2715	-0.5915	-0.957	-0.7295	-0.2455	-0.694	-1.067	-0.016	0.1425	-0.3465	-1.3765	-0.1355	0.435	0.751	-0.0945	-0.113	-0.457666666666667	-1.013	0.0423333333333333	-0.512	-0.346	0.093	-0.514	-0.723	0.332666666666667	-0.494666666666667	1.27366666666667	-0.8	-1.09566666666667	-0.5235	-0.62	-0.6175	-0.5415	-0.1945	-0.414	-0.4105	0.5435	-0.182	-0.1655	-0.048	-0.785	0.073	0.394	0.9295	1.1	1.0605	0.7655	-0.559333333333333	-0.753	0.1855	0.683	0.3715	-0.263	0.1545	-0.0015	0.567	-0.035	0.258	-0.4535	-0.0375	-0.292	-0.1465	0.209
"YOR101W"	-0.553	-0.995	-0.154	0.117	0.126	-0.229	0.061	-0.399	-1.895	-2.147	-1.619	-1.543	-2.469	-2.494	0.12	-0.242	-0.891	-1.63	-1.215	-0.588	-2.223	-2.598	-2.4025	-2.318	-0.9975	-1.323	-1.946	-0.3155	-0.8625	-3.003	-0.169	0.818	0.0535000000000001	-1.616	-2.142	-1.518	-2.201	-2.301	-2.47	-2.748	0.141	-0.334	0.055	0.089	-0.084	-1.284	-0.422	0.106	-1.076	-1.268	-1.052	-1.1465	-1.811	-0.959	-0.904	-1.023	-2.311	-1.907	-2.05	-2.087	-2.759	-2.121	-2.433	-2.296	-1.946	-1.106	-1.223
"YOR171C"	-0.022	-0.518	0.053	-0.12	0.267	-0.078	-0.34	0.04	0.163	0.213	-0.397	0.312	0.016	-0.05	-0.131	0.201	-0.182	-0.1	0.315	0.248	0.61	0.2265	0.272	0.122	0.1585	0.5355	0.202	-0.5825	0.5315	-0.2515	0.0585	-0.112	-0.408	-0.015	0.242	0.724	0.864	0.266	0.462	0.091	0.331	0.097	0.107	0.044	-0.035	1.01	0.915	0.344	-0.003	0.01	-0.227	-0.224	0.245	-0.361	0.674	0.668	-2.075	0.18	-1.228	0.251	0.08	0.293	0.042	0.165	0.83	0.14	0.13
"YOR206W"	-0.577	-1.069	-0.081	-0.235	-0.135	-0.024	-0.487	-0.233	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	-0.239	0.047	-0.623	-3.849	-2.605	-1.575	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-3.681	-6.4785	-2.919	-3.1625	-1.9445	-2.2495	-1.9925	-3.888	-2.026	-2.451	-2.637	-3.151	-3.692	-3.694	0.205	0.118	-0.169	-0.204	-0.064	-1.092	-1.55	0.079	-1.803	-1.981	-2.42	-1.716	-1.792	-1.927	-3.051	-1.987	-5.066	-3.839	-4.003	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379	-2.49	-2.104
"YOR272W"	-0.561	-1.69	-0.383	-0.416	-0.234	-0.187	-0.354	-0.318	NaN	-3.645	-2.034	-3.098	-2.566	1.0	-0.43	-0.111	-0.572	-1.8365	-2.06	-1.462	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-1.968	-3.353	-4.712	-2.841	-3.033	-2.763	-1.779	-1.376	-3.311	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	-0.031	-0.167	-0.34	-0.325	0.006	-0.715	-1.239	0.13	-1.296	-1.385	-1.244	-1.1625	-1.264	-1.505	-2.627	-2.586	-2.217	-3.187	-2.816	-1.487	-2.332	-3.502	-2.158	-2.423	-1.282	-2.384	-1.563
"YOR309C"	-0.48	-0.863	-0.243	0.232	0.043	-0.274	-0.183	-0.425	-4.991	-4.328	-1.906	-3.697	-5.523	-5.514	-0.197	0.015	-1.663	-3.838	-2.572	-1.687	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.07	-3.709	-3.9105	-3.8235	-2.194	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.016	0.067	-0.16	-0.023	0.103	-2.034	-2.569	0.09	-2.169	-2.746	-2.255	-1.968	-3.451	-3.577	-2.838	-2.504	-4.939	-2.102	-2.645	-2.543	-3.28	-4.097	-3.518	-2.477	-3.672	-3.28	-2.359
"YOR310C"	-0.563	-1.013	-0.219	0.106	-0.173	0.087	0.082	0.058	-5.053	-4.365	-2.174	-3.309	-4.639	-3.004	-0.107	-0.066	-1.081	-3.57	-2.388	-1.494	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-3.766	-3.585	-3.5415	-2.603	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.072	-0.128	-0.266	0.022	-0.06	-1.812	-2.782	0.126	-1.862	-2.082	-2.194	-1.8115	-2.849	-3.238	-3.457	-2.411	-4.948	-4.326	-4.099	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073	-3.229	-3.364
"YOR312C"	-0.088	-0.357	-0.166	0.065	-0.014	0.181	0.216	0.044	-2.426	-2.612	-1.832	-1.995	-2.723	-3.7	-0.326	-0.189	-0.553	-1.2165	-2.417	-1.346	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.4995	-2.99	-3.177	-3.0	-2.5975	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-0.28	0.09	-0.184	-0.155	-0.004	-1.537	-2.235	-0.041	-1.51	-1.763	-2.046	-2.1775	-1.883	-2.684	-1.289	-1.994	-2.873	-3.057	-2.611	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-2.74	-2.438
"YOR315W"	-1.278	-1.918	-0.35	-0.384	0.56	-0.218	-1.217	-0.563	-2.356	-2.611	-1.425	-2.196	-1.918	-2.468	-1.712	-0.464	-0.664	-1.6155	-2.105	-0.385	-3.8935	-2.27	-0.98	-2.459	-3.1035	-2.966	-2.9775	-4.3035	-0.248	-1.742	-1.8235	-1.979	-1.3625	-2.638	-0.329	-2.502	-3.165	-2.855	-2.774	-2.784	0.262	0.199	-0.094	-0.747	-0.665	-0.056	-0.469	0.185	-1.386	-1.648	-1.845	-0.8885	-1.601	-0.306	-0.033	0.35	-2.442	-2.806	-3.042	-2.188	-1.234	-1.822	-2.187	-0.625	-1.879	-2.41	-2.299
"YPL141C"	-1.327	-1.995	-0.105	0.212	1.177	0.563	-0.186	-0.23	-0.342	-0.829	-1.038	-0.177	-0.446	-0.706	-0.882	0.524	0.0	0.1805	-0.005	0.949	-0.612	-0.884	-0.1165	-0.682	-1.1715	-0.893	-0.149	-1.765	0.374	-0.2775	0.5895	-0.6575	-1.051	-0.994	-0.902	-1.082	-0.965	-0.63	-0.989	-1.656	1.117	1.112	0.801	0.047	-0.577	0.187	-0.076	1.25	-0.355	-0.51	-0.753	-0.182	-1.419	1.006	0.496	0.444	-0.911	-0.99	-0.714	-0.335	-0.2745	-0.0375	-0.347	-0.642	-0.906	0.5615	0.49
"YPL142C"	0.023	-0.392	-0.183	0.152	-0.008	0.342	-0.157	0.028	-1.892	-1.932	-1.577	-2.625	-2.913	-3.225	-0.093	0.101	-0.787	-0.8	-2.066	-1.341	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.427	-2.825	-3.3035	-2.8235	-2.16	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	-0.275	0.029	-0.147	0.061	0.143	-1.553	-1.909	0.263	-1.324	-1.416	-1.579	-1.7865	-2.011	-2.534	-1.409	-2.226	-3.034	-2.333	-1.946	-3.763	-3.021	-3.677	-3.278	-2.971	-3.35	-3.379	-2.574
"YPL160W"	-0.2075	-0.186	-0.096	0.0835	0.197	0.27	0.1745	0.233	-1.6415	-1.5095	-0.93	-1.541	-1.989	-2.429	-0.22	-0.0555	-1.226	-0.887666666666667	-1.501	-1.2135	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-0.784	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.2605	0.0575	0.3475	0.1235	-0.0355	-1.81	-1.702	0.0905	0.259	-0.1985	-0.3205	-1.13233333333333	-1.8045	-2.501	-0.435	-0.8585	-2.203	-2.1325	-2.404	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	-1.7245	-1.34
"YPL220W"	0.316	0.556	0.079	0.472	0.653	0.389	0.253	0.064	-1.847	-2.404	-2.004	-2.267	-3.278	-3.871	0.436	0.344	-1.189	-0.8855	-2.806	-2.045	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-2.8915	-3.0375	-3.442	-3.3935	-2.852	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.224	0.249	0.031	0.306	0.447	-1.55	-2.396	0.401	-1.705	-2.085	-2.24	-1.461	-1.925	-2.891	-2.139	-2.598	-3.09	-2.654	-1.963	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	-3.294	-2.191
"YPL226W"	-0.3635	-0.1875	-0.1135	0.35	0.407	0.4065	0.4335	0.4525	-3.457	-3.002	-1.42	-2.4945	-3.229	-4.183	0.052	0.2445	-1.114	-2.459	-0.922	-1.6105	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-2.786	-2.922	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.2725	0.4825	0.4565	0.332	0.1885	-1.863	-1.995	0.386	-1.373	-1.404	-1.3215	-1.60566666666667	-1.7375	-2.562	-2.3605	-2.272	-3.215	-3.076	-3.793	-2.657	-3.519	-3.811	-3.004	-2.748	-2.36	-2.123	-1.244
"YPR110C"	-0.284	-0.326	0.355	0.264	0.455	-0.012	-0.262	-0.211	-3.178	-3.084	-1.217	-2.507	-3.52	-3.728	-0.151	0.058	-1.308	-2.207	-1.742	-1.316	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.296	-2.285	-2.0215	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	0.157	0.04	-0.188	0.257	-0.038	-1.214	-1.161	0.311	-1.496	-1.994	-1.245	-1.359	-2.108	-2.073	-1.911	-1.505	-3.168	-3.436	-3.503	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	-2.294	-1.644
"YPR112C"	-0.49	-0.796	0.297	-0.071	0.257	0.163	-0.134	-0.08	-0.627	-2.839	-1.287	-2.907	-1.994	-3.273	-0.513	0.319	-1.0	-2.4735	-1.809	-1.067	-3.443	-2.472	-2.345	-2.418	-1.45	-2.3385	-1.7485	-3.311	-2.478	-2.1835	-2.12	-1.3845	-1.4615	-2.327	-2.287	-1.815	-2.126	-2.141	-2.48	-1.838	0.431	0.31	-0.119	0.46	0.034	-1.046	-1.143	0.57	-0.34	-0.822	-0.556	-1.476	-1.571	-1.21	-1.7	-1.787	-3.648	-4.543	-3.013	-2.352	-1.559	-3.372	-1.969	-1.584	-2.092	-0.954	-1.031
"YPR163C"	-0.346	-0.925	-0.463	0.058	0.077	0.181	0.04	-0.041	-2.552	-2.832	-1.926	-2.415	-3.276	-3.939	-0.521	-0.015	-1.144	-1.9175	-2.061	-0.617	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.1035	-2.5635	-2.469	-2.6395	-2.0525	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.233	-0.26	0.233	0.445	-0.189	-0.74	-1.271	0.119	-0.93	-1.288	-1.34	-1.1135	-2.145	-1.693	-1.548	-1.285	-3.572	-3.015	-2.373	-3.506	-3.14	-3.575	-2.873	-2.034	-2.32	-1.861	-1.761
