	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YER049W"	-0.877	1.0	-2.916	-2.16	-1.746	-3.769	-4.541	-2.359	-0.962	-1.396	-3.216	-2.135	-2.046	-2.64	-3.518	-2.735	0.392	0.226	0.114	0.019	-0.447	0.033	0.074	0.249	0.254	0.771	0.821	-1.47	0.051	0.308	-0.443	-2.99	-1.544	-2.162	-1.691	-2.077	-2.816	-1.107
"YER117W"	-0.475	1.391	-2.982	-2.008	-1.95	-2.832	-5.642	-3.05	-2.843	-2.483	-3.768	-2.534	-2.571	-2.312	-2.562	-2.976	0.331	0.459	0.441	0.308	-0.014	0.308	-0.113	0.834	0.698	1.184	0.966	-1.876	0.4475	0.465	-0.2045	-2.4485	-1.969	-2.2795	-2.252	-0.5295	-0.907	-0.9255
"YER142C"	0.569	-0.945	1.698	1.274	1.296	1.328	-0.027	1.409	1.38	1.279	1.079	1.177	1.487	1.365	0.907	0.697	-0.131	-0.319	-0.235	-0.369	0.022	-0.141	0.395	-0.291	-0.266	-0.606	-0.424	1.215	-0.268	-0.3175	-0.274	0.787	0.5325	0.741	0.17	-0.1015	-0.499	-0.004
"YER162C"	0.524	-0.399	2.529	2.241	1.633	3.374	3.649	1.514	1.656	1.782	1.282	1.724	1.546	2.103	2.72	2.163	-0.237	-0.24	-0.173	-0.319	-0.18	-0.135	-0.113	0.0	-0.415	-0.503	-0.434	1.636	-0.202	-0.1155	0.00999999999999998	0.255	0.836	0.1445	-1.09	1.274	0.666	1.1995
"YER168C"	-0.607	0.377	-0.701	-0.938	-1.34	-1.452	-1.886	-0.848	-0.398	-0.517	-0.573	-0.714	-0.904	-0.801	-1.806	-2.032	0.105	0.067	0.016	-0.172	0.028	0.128	0.031	0.273	0.082	-0.203	0.048	-0.8	0.0705	0.02	0.0345	-0.486	-0.3985	-1.028	-1.13	-0.2055	-0.06	0.221
"YFL023W"	-0.097	0.807	-3.263	-0.586	-0.86	-0.877	-2.632	-2.392	-0.487	-0.578	-1.543	-0.099	-0.228	-0.192	-0.973	-0.802	0.564	0.06	0.066	0.199	-0.24	0.089	0.563	0.654	0.112	0.128	0.138	0.091	0.225	0.022	0.091	-3.468	-1.8715	-2.504	-1.219	0.645	-0.727	0.38
"YFL045C"	-1.298	0.872	-2.266	-1.85	-2.231	-2.163	-4.897	-2.591	-2.463	-2.891	-2.228	-1.424	-2.201	-1.923	-2.307	-2.378	-0.034	0.046	0.061	0.031	0.236	-0.029	-0.687	0.306	0.168	0.329	0.112	-0.93	0.174	0.2195	0.1225	-1.229	-1.708	-1.196	-0.0625	-1.569	-0.815	-0.783
"YGL031C"	-1.231	1.047	-3.366	-1.846	-3.104	-3.683	-5.763	-3.041	-3.063	-2.704	-5.191	-2.475	-2.899	-2.92	-3.061	-3.473	0.13	0.343	0.476	0.114	0.194	0.03	-0.206	0.566	0.354	0.979	0.769	-2.655	0.165	0.267	0.431	-1.701	-1.852	-1.796	-1.793	-2.49	-1.071	-1.852
"YGL077C"	-0.842	-1.23	-2.268	-1.539	-1.395	-3.716	-3.533	-0.962	-1.313	-1.711	-0.726	-1.683	-1.693	-2.529	-2.903	-2.463	0.636	-0.35	-0.311	0.431	-0.01	0.001	-0.243	-0.071	-0.177	0.793	0.42	-1.243	0.358	0.32	-0.092	-1.771	-1.914	-1.663	-1.285	-1.284	-1.611	-0.73
"YGL078C"	-0.427	1.485	-4.866	-1.111	-2.045	-2.215	-4.455	-2.914	-2.156	-1.979	-4.196	-1.879	-1.744	-2.103	-1.515	-2.198	1.003	0.551	0.37	0.117	-0.061	-0.21	0.836	0.529	0.305	0.743	0.96	-1.112	-0.119	-0.081	0.069	-4.176	-2.945	-2.745	-2.258	-2.457	-2.699	-2.236
