	"40.alpha factor release sample029"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1107.alpha factor release sample025"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7539.25C -- 90 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12732.Nitrogen Depletion 4 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YOR272W"	-0.234	0.609	0.252	0.105	-2.564	NaN	-3.159	-3.645	-3.098	-2.566	1.0	-0.704	-0.454	-0.509	-4.8145	-2.3895	-2.6015	-1.5575	-1.968	-3.033	-2.763	0.006	0.195	0.167	0.465	0.238	0.573	0.421	0.362	-0.001	-2.217	-3.187	-0.008	-1.057	-3.502	-1.678	-1.445	-2.384	-1.962	-2.482	-2.122
"YOR294W"	-0.2	0.421	-0.673	0.146	-3.856	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	-0.61	-0.69	-0.54	-5.6475	-2.427	-1.914	-1.2675	-1.3525	-3.318	-1.8445	-0.101	0.395	-0.128	0.564	-0.025	0.175	0.284	0.001	-0.103	-4.852	-4.841	-0.539	-1.389	-5.145	-1.895	-1.254	-1.509	-2.096	-2.075	-1.907
"YOR309C"	0.043	0.877	0.475	0.099	-3.819	-4.991	-4.198	-4.328	-3.697	-5.523	-5.514	-0.003	-0.986	-0.839	-6.798	-4.4185	-4.0545	-4.227	-3.942	-3.709	-3.9105	0.103	-0.411	0.043	1.048	0.059	0.399	0.071	0.133	0.363	-4.939	-2.102	-0.509	0.055	-4.097	-2.63	-1.191	-3.28	-2.874	-2.991	-3.595
"YOR352W"	-0.049	-0.169	-0.167	0.206	2.09	1.711	1.662	1.239	0.531	1.108	1.585	0.323	0.373	0.276	2.4075	1.302	1.559	1.0835	1.075	1.261	1.0245	-0.37	-0.026	-0.098	-0.198	0.325	0.186	0.206	0.182	0.255	1.467	0.819	-0.513	0.04	1.288	0.565	0.924	1.116	1.065	0.819	1.065
"YPL004C"	-0.122	-0.203	-0.208	0.026	2.638	3.048	2.832	2.525	2.254	2.241	2.589	0.718	0.871	0.673	2.962	1.8025	2.449	2.109	1.689	1.4925	1.224	-0.217	0.943	-0.26	0.468	-0.101	-0.045	-0.438	-0.591	-0.484	2.2	3.003	0.83	1.589	3.09	2.519	2.859	2.8	3.227	3.541	3.393
"YPL086C"	-0.112	0.364	0.282	0.294	-2.147	-2.374	-1.678	-1.502	-2.322	-2.561	-2.524	-0.352	-0.63	-0.776	-3.4025	-1.371	-1.22	-1.1505	-0.869	-2.6475	-2.4025	-0.137	0.026	0.072	0.336	-0.261	0.003	0.031	-0.041	-0.216	-2.138	-3.386	-0.116	-0.914	-3.672	-0.792	-1.131	-1.428	-1.101	-1.428	-1.086
"YPL203W"	0.253	-0.73	-0.459	-0.786	2.528	2.312	2.205	1.75	1.734	2.186	2.34	0.54	1.079	0.024	2.4655	1.846	1.81	1.324	1.6265	1.876	1.3335	-0.385	-0.099	-0.064	-0.588	0.141	0.211	-0.095	0.36	0.029	2.379	1.042	0.549	0.859	2.941	2.024	1.864	2.412	2.785	1.91	2.159
"YPL230W"	-0.066	-0.015	0.454	0.158	3.82	4.974	4.291	4.618	3.373	4.328	4.009	1.668	0.921	0.6655	5.7835	4.1855	4.254	4.299	5.401	4.669	3.9765	0.091	0.943	-0.203	-0.58	-0.088	-0.453	-0.07	-0.088	-0.507	4.608	2.809	0.531	0.263	-1.432	2.588	2.742	4.079	2.695	2.281	2.406
"YPR172W"	0.062	-0.375	-0.128	-0.098	1.518	1.498	1.599	1.269	1.474	1.629	1.7	0.403	0.767	0.6225	1.3555	0.768	0.7205	1.205	0.508	1.305	1.325	0.002	0.327	0.049	-0.127	0.256	0.191	0.204	0.143	-0.244	NaN	0.695	0.734	0.594	1.732	1.562	1.531	1.907	2.11	2.445	1.534
"YPR190C"	-0.394	0.19	0.14	-0.195	-1.896	-2.139	-2.172	-2.209	-1.967	-2.308	-2.807	-0.221	-0.423	-1.008	-3.288	-1.7615	-1.4335	-1.441	-1.0355	-2.21	-1.9665	0.007	0.06	0.147	0.14	-0.227	-0.063	-0.038	-0.063	0.002	-2.414	-1.065	0.28	0.01	-2.124	-0.585	-1.051	-1.227	-0.985	-2.182	-1.574
