	"29.alpha factor release sample016"	"42.alpha factor release sample022"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"651.alpha factor release sample019"	"685.YP sucrose vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1172.pho80 mutant vs wild type"	"1310.diauxic shift timecourse: 9.5 hr"	"4872.1M sorbitol - 60 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7542.DES459 (mec1) - log phase (MMS time "	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"
"YNL096C"	-0.496	-0.268	-1.989	-2.093	-1.409	-0.172	-0.975	-1.957	-2.881	-3.202	0.548	0.106	0.13	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-6.106	-2.454	-3.331	-3.045	-2.761	-4.716	-2.906	-2.776	-3.041	-0.417	-0.467	0.19	0.037	0.069	-0.057	-1.402	1.36	1.064	-0.767	-0.145	-2.448	-0.216	0.433	-2.8625	-2.812	-1.644	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	-2.516	-0.576	-0.926	-1.178	-0.437	-0.06
"YNL110C"	-0.458	-0.233	-4.43	-3.64	-2.443	-0.099	-1.669	-3.768	-4.56	-4.991	0.105	-0.198	0.297	-5.108	-3.05	-2.608	-1.92	-1.698	-2.472	-3.296	-1.641	-2.565	-1.986	-1.679	-4.151	-2.141	-1.741	-2.144	-0.113	0.035	0.048	0.493	-0.035	-0.088	-1.665	1.185	0.542	-0.002	-0.791	-2.027	-0.933	-0.095	-1.5895	-5.064	-2.198	-3.18	-2.579	-1.804	-4.747	-2.546	-2.431	-1.608	-1.405	-2.512	-2.299	-1.758	0.897	-0.816
"YNL141W"	-1.249	-0.145	-3.622	-3.468	-2.53	-0.146	-2.996	-3.233	-3.112	-3.624	-0.1	0.127	0.928	-5.105	-3.596	-3.239	-3.348	-3.426	-3.35	-4.776	-2.744	-2.833	-2.936	-1.598	-3.709	-2.857	-2.886	-3.361	-0.017	-0.446	-0.275	-0.242	0.097	-0.281	-1.939	0.73	0.642	-0.754	-0.211	-1.35	-0.169	0.17	-2.6235	-3.291	-3.363	-2.449	-2.951	-1.429	-4.363	-3.307	-2.679	-3.949	-2.274	-2.202	-2.13	-2.406	0.386	0.971
"YNL162W"	0.113	0.182	-2.024	-2.384	-1.359	-0.355	-0.523	-1.97	-3.17	-3.58	-0.064	0.083	0.826	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-6.425	-2.882	-2.86	-2.872	-2.421	-3.999	-2.089	-2.0	-2.0	-0.06	0.07	0.343	-0.258	-0.348	-0.03	-1.284	1.404	1.099	-0.355	0.205	-2.288	-0.039	0.132	-1.852	-2.998	-1.68	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-3.105	-2.273	-1.4	-1.198	-1.809	-0.241	0.473
"YNL209W"	0.1505	0.0815	-2.368	-2.469	-2.114	-0.152	-0.983	-3.114	-4.441	-4.707	-0.721	0.1195	0.866	-3.795	-3.591	-3.12	-3.471	-2.885	-3.057	-5.803	-2.699	-3.728	-2.985	-4.021	-4.059	-2.262	-2.633	-2.99	0.2255	0.476	0.424	0.122	0.382	0.134	-1.273	1.321	1.635	0.565	-0.211	-1.517	0.124	0.153	-2.966	-4.616	-2.005	-4.586	-3.709	-2.704	-4.209	-4.158	-3.075	-2.368	-2.528	-1.703	-2.213	-1.979	-0.625	1.3
"YNL248C"	-0.234	-0.142	-4.791	-4.315	-1.698	0.26	-2.601	-3.398	-4.455	-4.373	-0.155	0.065	0.728	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-5.215	-3.618	-3.866	-3.014	-1.941	-5.072	-2.419	-2.444	-2.924	0.162	0.095	0.179	0.238	0.148	0.124	-1.9	0.531	0.583	-0.284	-0.248	-1.978	-0.176	-0.111	-2.53	-4.868	-2.646	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385	-3.227	-2.422	-2.94	-3.256	-3.147	0.934	-0.063
"YNL308C"	-0.201	-0.142	-3.929	-1.689	-0.755	0.026	-1.5	-2.757	-3.366	-3.336	-0.047	0.206	0.126	-4.351	-2.623	-2.15	-2.256	-1.607	-1.693	-2.686	-2.473	-2.614	-2.202	-1.792	-3.207	-1.872	-1.62	-2.065	-0.147	-0.07	0.064	0.035	0.121	0.145	-1.491	1.218	0.07	-0.282	-0.747	-1.01	-0.64	-0.211	-1.38	-3.272	-2.24	-1.512	-2.337	-1.138	-3.307	-2.409	-1.94	-2.419	-1.352	-1.814	-1.712	-2.017	-1.04	-0.787
"YNR044W"	-0.209	-0.564	-1.713	-1.451	-0.643	-0.778	-0.29	-1.112	-1.506	-2.131	-0.664	-0.475	0.184	0.122	0.218	-0.1365	-0.1725	-0.0185	1.192	-2.393	0.691	-0.796	-0.3845	-0.52	2.185	-2.412	-0.499	-1.703	0.478	0.008	-0.036	-0.402	-0.082	-0.682	-0.493	-0.205	0.057	-0.105	-0.1225	0.7815	-0.4755	0.262	-0.326	-1.79	-1.204	-0.482	-2.193	-2.464	-0.192	-1.071	-1.62	-1.497	-0.483	-1.35	-0.7	-1.084	0.202	0.009
"YNR054C"	-0.982	0.222	-3.072	-1.849	-0.719	0.382	-1.199	-2.561	-3.745	-2.256	-0.143	-0.202	-0.035	-1.6465	-0.4305	-0.7115	-0.456	-0.1525	-0.225	-0.975	-1.43	-1.1455	-1.259	-0.9225	-1.571	-1.369	-1.379	-1.222	-0.098	-0.33	-0.183	0.016	-0.24	-0.094	-1.255	0.587	0.237	0.029	-0.3975	-0.96	-0.727	-0.11	-1.138	-3.271	-1.158	0.252	-2.01	-1.27	-2.609	-1.366	-1.353	-1.558	-1.121	-1.304	-1.736	-1.631	0.543	0.392
"YOL077C"	-0.549	-0.145	-5.439	-5.04	-2.828	-0.256	-2.032	-4.336	-5.22	-4.28	-0.012	-0.187	0.511	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-6.552	-2.1355	-4.174	-0.219	-2.917	-3.705	-2.565	-2.549	-3.046	-0.313	0.098	0.349	0.419	0.125	-0.102	-1.535	0.806	0.786	0.107	-0.44	-2.119	-0.445	-0.252	-2.39	-4.7	-2.011	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-2.446	-2.041	-2.418	-2.762	-2.379	0.318	-0.568
"YOR206W"	-0.577	-0.024	-5.087	-3.702	-2.15	0.286	-1.66	-3.585	-5.083	-4.513	-0.246	0.047	0.147	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-6.4785	-2.919	-3.1625	-1.9445	-2.2495	-3.888	-2.026	-2.451	-2.637	0.118	-0.169	-0.204	0.053	0.13	-0.2	-1.355	0.571	0.769	-0.009	-0.6855	-1.716	-0.5855	-0.037	-1.792	-5.066	-2.705	-3.193	-2.539	-1.324	-4.817	-2.585	-1.507	-2.379	-2.026	-2.558	-2.475	-2.141	1.019	1.624
"YOR243C"	-0.387	-0.177	-3.594	-3.234	-2.239	0.394	-0.62	-2.436	-3.633	-3.982	-0.428	-0.154	0.59	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-4.3935	-1.9265	-2.588	-2.1815	-1.6325	-3.635	-2.371	-2.179	-2.726	-0.108	0.08	0.417	0.235	0.308	-0.005	-1.763	0.609	0.884	-0.601	-1.03	-1.1555	-0.7165	-0.065	-1.712	-4.099	-2.407	-1.759	-1.808	-1.803	-2.825	-2.065	-1.562	-1.363	-1.059	-1.778	-3.197	-1.962	0.634	0.249
"YOR293W"	0.226	0.018	-2.282	-2.435	-1.765	-0.269	-0.437	-2.205	-3.618	-3.854	0.11	-0.306	0.599	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-4.496	-2.907	-3.442	-3.1085	-3.0195	-4.233	-2.537	-2.533	-2.507	-0.5	0.427	0.685	0.102	-0.012	-0.036	-1.394	1.364	1.228	0.177	-0.1305	-2.6075	-0.303	-0.162	-1.85	-3.151	-2.332	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89	-3.271	-2.145	-1.183	-1.195	-1.809	1.34	-0.172
"YOR309C"	-0.48	-0.274	-4.991	-4.328	-1.906	-0.168	-2.537	-3.697	-5.523	-5.514	-0.341	0.015	0.285	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-6.859	-3.07	-3.709	-3.9105	-3.8235	-5.839	-3.084	-3.704	-4.353	0.067	-0.16	-0.023	0.252	0.297	0.043	-1.615	1.375	1.048	-0.135	-1.0755	-1.968	-0.5485	-0.142	-3.451	-4.939	-1.753	-2.543	-3.28	-1.503	-4.097	-3.518	-2.477	-3.672	-1.191	-2.874	-2.991	-3.595	-1.202	0.236
"YOR310C"	-0.563	0.087	-5.053	-4.365	-2.174	0.11	-2.299	-3.309	-4.639	-3.004	-0.256	-0.066	0.295	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-7.1385	-3.101	-3.766	-3.585	-3.5415	-5.777	-2.773	-3.838	-4.105	-0.128	-0.266	0.022	-0.1	0.038	0.202	-1.969	1.133	1.186	-0.207	-0.561	-1.8115	-0.6225	0.024	-2.849	-4.948	-3.37	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-2.073	-2.54	-2.639	-2.241	-2.539	1.117	0.091
"YPL044C"	-0.726	-0.161	-4.106	-2.774	-2.22	0.106	-1.959	-3.653	-4.783	-4.009	-0.569	-0.012	-0.008	-4.1695	-2.458	-2.0485	-1.6585	-1.769	-1.773	-4.2355	-2.6845	-3.256	-2.8325	-2.0175	-3.164	-2.194	-2.405	-1.877	-0.12	-0.007	-0.047	-0.187	-0.1	-0.198	-1.379	0.763	0.56	-1.24	-0.7555	-1.8455	-0.9015	0.107	-1.02	-4.807	0.481	-1.798	-2.545	-1.887	-2.954	-2.261	-0.951	-1.163	-0.526	-1.894	-1.837	-1.807	1.043	0.014
"YPL079W"	-0.141	-0.041	-2.261	-2.597	-1.346	-0.306	-0.488	-2.277	-3.115	-3.828	0.541	-0.085	0.504	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-6.4765	-2.527	-3.085	-3.172	-3.0255	-4.735	-2.781	-2.741	-3.087	-0.055	0.059	0.687	-0.072	-0.018	0.031	-1.109	1.576	1.318	-0.203	-0.334	-2.1725	-0.2565	-0.1435	-1.673	-3.135	-1.769	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	-2.289	-1.255	-1.481	-1.662	-0.507	0.47
"YPL081W"	-0.157	-0.094	-2.088	-2.158	-0.806	-0.3	-0.23	-1.543	-2.931	-3.841	-0.02	-0.001	0.236	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-6.801	-1.497	-2.5355	-2.916	-2.428	-4.022	-2.461	-2.849	-2.929	-0.246	0.157	0.763	-0.194	-0.302	0.099	-1.488	0.691	0.791	-0.558	-0.252	-1.5395	0.1445	0.146	-1.844	-2.52	-2.07	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-2.468	-1.575	-1.336	-1.555	0.346	0.072
"YPL146C"	-0.279	-0.253	-3.196	-2.458	-2.116	0.012	-0.984	-2.143	-3.003	-3.135	0.0295	0.001	-0.267	-2.239	-1.417	-1.1295	-1.693	-1.316	-1.1555	-3.5085	-1.4725	-2.007	-1.641	-1.4145	-3.297	-1.982	-1.917	-1.781	0.253	-0.186	-0.257	0.133	0.007	-0.045	-1.294	0.795	0.775	0.18	-0.796	-1.538	-0.876	0.403	-1.048	-3.416	-1.933	-2.508	-1.864	-1.48	-2.955	-2.098	-1.463	-1.739	-0.784	-2.152	-1.711	-1.552	-0.034	-0.729
"YPL183C"	-0.439	-0.419	-2.58	-2.124	-0.975	-0.021	-0.792	-2.298	-1.925	-2.585	-0.1975	-0.106	0.385	-3.014	-2.069	-1.767	-1.5955	-1.8275	-1.544	-3.957	-1.459	-2.1075	-1.7485	-1.7965	-2.335	-1.757	-1.735	-1.38	-0.274	-0.037	0.004	-0.137	-0.06	-0.103	-1.598	-0.219	0.211	-0.891	0.178	-1.281	0.1495	-0.249	-1.146	NaN	-0.868	-2.605	-2.4425	-2.4435	-2.8755	-2.0785	-1.577	-1.825	-1.131	-1.5865	-1.5895	-1.9935	-0.658	-0.0595
"YPL226W"	-0.3635	0.4065	-3.457	-3.002	-1.42	-0.1885	-1.6735	-2.4945	-3.229	-4.183	-0.714	0.2445	0.633	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-2.786	-4.0095	-2.363	-2.3985	-2.8955	0.4825	0.4565	0.332	0.132	0.122	-0.0735	-1.8515	0.9025	1.0285	-0.1985	-0.367333333333333	-1.60566666666667	-0.409333333333333	0.4925	-1.7375	-3.215	-2.208	-2.657	-3.519	-1.48	-3.811	-3.004	-2.748	-2.36	-1.596	-1.494	-1.763	-1.471	0.12	0.245
"YPR044C"	-0.293	-0.293	-1.3805	-1.9475	-1.751	-0.211	-0.1075	-1.783	-2.4	-2.752	-0.194666666666667	-0.039	0.703	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-4.76433333333333	-2.63266666666667	-3.21966666666667	-2.78233333333333	-2.80733333333333	-3.0915	-1.926	-2.14	-2.1115	-0.271	-0.091	0.086	0.0	-0.325	-0.088	-0.7275	1.593	1.372	-0.5785	-0.072	-1.79966666666667	-0.0553333333333333	-0.1745	-2.074	-2.5325	-1.089	-2.586	-2.282	-1.954	-2.862	-2.352	-2.43	-2.877	-1.765	-1.214	-0.76	-1.401	0.322	0.06
"YPR102C"	0.255	0.096	-2.11	-2.298	-1.669	-0.074	-0.565	-2.206	-3.37	-4.232	0.0725	0.105	0.561	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-6.451	-1.9585	-3.5055	-4.118	-3.673	-4.644	-2.495	-2.723	-3.232	0.194	0.279	0.557	0.201	0.372	0.219	-0.822	1.344	1.035	-0.546	-0.33	-2.162	-0.2665	0.189	-2.384	-3.007	-0.887	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	-2.691	-1.694	-1.793	-2.16	-0.034	0.863
"YPR110C"	-0.284	-0.012	-3.178	-3.084	-1.217	0.085	-1.163	-2.507	-3.52	-3.728	-0.096	0.058	0.625	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-6.318	-2.6255	-3.01	-3.296	-2.285	-3.88	-2.186	-2.175	-2.703	0.04	-0.188	0.257	0.022	0.334	-0.091	-1.053	0.81	0.644	-0.469	0.055	-1.359	0.1245	0.13	-2.108	-3.168	-1.66	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	-2.759	-1.843	-1.564	-2.129	-1.842	0.186	-0.048
