	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"978.wt_plus_gamma_20_min"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7540.pRS-ROX1 GAL media"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21638..24 mM H2O2- 070 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"
"YJL177W"	-2.0	-2.4035	-2.211	-3.2765	-3.7865	1.302	1.042	0.893	-1.6385	-2.665	-1.964	-1.951	2.613	-1.454	-1.371	-0.963	-0.773	-0.543	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-1.502	-0.545	-3.409	-3.772	-3.428	-3.164	-1.067	0.61	-0.441	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	2.74	-1.495	0.132	-0.367	-1.604	-0.142	-0.339	-0.537	-0.429	-0.296	-1.9425	-1.663	-2.211	-2.127	-1.16	1.029	0.852	1.507	1.267	-0.185	-2.129	-1.431	-2.455	-2.061	1.053	-0.697	-2.196	-2.348	-3.809	-2.547	-2.301	-3.293	0.694	0.947	0.689	-2.208	-3.107	-1.898	-2.626	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056	-3.266	-1.853	-2.619	-3.25	-2.986	-2.298	2.365
"YJL188C"	-1.789	-1.645	-1.9795	-2.06	-2.5615	1.008	1.159	0.709	-1.1625	-2.075	-1.392	-0.978	1.481	-0.502	-0.672	-0.523	-0.331	-0.19	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.442	-1.02	-0.213	-2.24	-2.745	-2.519	-1.879	-0.184	0.891	-0.558	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.856	-1.378	0.272	0.049	-0.606	0.087	0.244	0.011	-0.604	-0.255	-1.308	-0.971	-0.853	-1.144	-0.676	0.858	0.858	1.709	1.238	0.406	-1.518	-0.479	-1.135	-1.4	1.191	-0.913	-1.98	-1.525	-1.376	-0.569	-1.182	-2.649	0.82	0.523	0.647	-2.615	-2.465	-2.471	-1.864	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	-2.01	-1.398	-1.965	-2.16	-2.129	-1.778	1.824
"YJL189W"	-1.379	-1.8565	-1.73	-2.7325	-2.8195	1.089	0.91	0.731	-1.0565	-1.93	-0.712	-0.815	0.96	-0.63	-0.731	-0.457	-0.415	-0.493	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.473	-0.329	-0.219	-2.446	-2.278	-1.716	-1.833	-0.396	0.679	-0.524	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	1.053	-1.271	-0.058	-0.084	-1.422	-0.089	0.147	-0.046	-0.765	-0.283	-0.9005	-1.134	-1.469	-1.922	-0.822	0.667	0.693	1.28	0.955	0.094	-1.438	-0.748	-1.552	-1.383	1.141	-1.121	-2.0	-1.034	-1.798	-0.667	-0.893	-2.3825	1.027	0.308	0.43	-1.025	-1.362	-1.901	-1.952	-2.736	-2.597	-2.818	-2.888	-2.522	-2.288	-1.966	-1.14	-1.579	-1.765	-1.748	-1.433	1.705
"YJL190C"	-2.166	-2.525	-2.8085	-3.022	-3.838	1.36	1.453	1.126	-1.701	-2.911	-2.272	-1.982	2.636	-1.241	-1.374	-1.306	-0.865	-0.492	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-1.801	-0.643	-3.969	-3.744	-3.536	-3.062	-0.793	0.699	-0.928	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	1.955	-1.906	-0.248	-0.176	-1.33	-0.126	-0.291	-0.463	-0.649	-0.286	-2.0875	-1.554	-1.477	-1.858	-1.474	1.003	0.97	1.761	1.549	0.257	-2.412	-1.163	-2.255	-2.211	1.306	-1.038	-2.139	-2.43	-3.532	-2.635	-2.806	-3.7855	0.961	0.713	0.783	-3.47	-4.086	-3.266	-3.078	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	-3.497	-2.045	-2.93	-3.692	-3.73	-2.86	2.303
"YJR123W"	-1.798	-2.5565	-1.912	-3.5655	-4.258	1.3	1.246	1.081	-1.822	-2.317	-1.807	-2.227	2.779	-1.155	-1.317	-1.214	-0.878	-0.712	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-2.017	-1.138	-0.223	-3.809	-3.529	-3.442	-3.646	-0.627	0.788	-0.532	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	2.581	-1.817	0.204	-0.299	-1.723	-0.387	-0.629	-0.221	-0.401	-0.273	-2.0685	-1.746	-2.153	-1.71	-0.962	1.136	0.755	1.916	1.517	-0.137	-2.264	-1.58	-2.373	-2.137	1.02	-0.837	-2.04	-2.153	-3.404	-2.268	-1.982	-3.445	0.801	0.901	0.616	-3.113	-4.115	-3.012	-2.744	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	-1.533	-2.636	-3.755	-2.787	-3.029	2.383
"YJR145C"	-1.459	-2.2535	-1.8995	-2.8575	-3.3335	1.17	1.341	0.963	-1.7845	-2.537	-1.542	-2.239	2.605	-1.453	-1.379	-1.129	-0.708	-0.509	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-2.54	-1.641	-0.168	-3.551	-3.547	-3.597	-3.707	-0.926	0.622	-0.49	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	2.789	-1.631	0.195	-0.29	-1.592	-0.21	-0.477	-0.291	-0.338	-0.112	-1.93	-1.525	-2.005	-1.761	-0.955	1.202	0.668	1.834	1.194	-0.307	-2.162	-1.407	-2.369	-1.818	1.013	-0.856	-1.921	-2.312	-3.331	-2.272	-2.084	-2.7805	0.866	0.818	0.639	-2.312	-2.65	-2.291	-2.804	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	-1.724	-2.609	-3.905	-2.836	-2.894	2.165
"YKL006W"	-1.828	-2.75	-1.949	-3.315	-3.5445	0.961	1.354	1.089	-1.634	-2.018	-1.646	-1.656	2.36	-1.293	-1.268	-0.864	-0.785	-0.47	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-5.113	-2.919	-1.399	-0.465	-3.049	-3.027	-2.997	-2.743	-0.831	0.947	-0.239	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	1.986	-1.399	0.05	-0.277	-1.685	-0.201	-0.319	-0.501	-0.716	-0.234	-1.727	-1.659	-2.164	-1.708	-1.404	0.986	0.356	1.545	1.339	-0.763	-2.111	-1.268	-2.103	-1.94	1.243	-0.959	-2.167	-2.458	-3.013	-2.189	-2.306	-3.02	0.886	0.84	0.843	-2.544	-3.267	-2.501	-2.654	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	-1.683	-2.88	-3.514	-2.763	-2.841	1.929
"YKL180W"	-1.731	-1.947	-2.16	-2.81	-3.531	1.141	1.368	0.983	-1.763	-2.553	-1.948	-1.901	2.375	-1.169	-1.02	-0.838	-0.547	-0.377	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-1.079	-0.355	-2.625	-3.204	-2.593	-2.296	-0.705	0.599	-0.404	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	1.921	-1.48	0.256	-0.116	-1.2	-0.006	-0.135	-0.544	-0.472	-0.144	-2.01	-1.229	-1.497	-1.563	-1.123	1.038	0.516	1.421	1.285	0.294	-2.003	-0.999	-1.883	-1.742	1.399	-0.672	-1.665	-2.393	-3.208	-2.025	-2.019	-3.37	0.401	0.702	0.647	-1.697	-2.195	-1.885	-1.891	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-2.482	-1.732	-2.687	-4.065	-2.998	-2.531	2.25
"YKR057W"	-2.184	-1.925	-2.223	-2.604	-2.966	1.271	1.288	1.111	-1.324	-2.236	-1.558	-1.274	1.471	-1.131	-1.198	-1.076	-0.928	-0.526	-3.036	-2.945	-2.525	-2.033	-1.835	-1.678	-2.2	-3.461	-2.529	-1.075	-0.658	-2.779	-2.897	-2.624	-2.294	-0.783	0.837	-0.826	-4.013	-2.126	-2.625	-2.576	-1.161	-1.048	-2.496	1.258	-1.452	0.278	-0.028	-0.449	0.088	0.066	-0.301	-0.618	0.024	-1.248	-1.34	-1.025	-1.518	-1.317	1.107	1.137	1.545	1.43	0.114	-1.639	-0.434	-1.524	-1.962	1.223	-0.993	-1.99	-2.079	-2.737	-1.955	-2.25	-2.587	0.728	0.503	0.794	-2.674	-3.376	-2.961	-2.084	-3.811	-2.631	-1.7	-3.29	-2.638	-2.13	-2.085	-1.41	-2.448	-2.59	-2.585	-2.075	1.848
"YKR094C"	-1.518	-2.14	-2.109	-2.994	-3.29	0.976	0.977	0.785	-0.895	-1.884	-1.985	-0.579	1.626	-0.868	-0.919	-0.757	-0.572	-0.503	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-2.065	-0.963	-0.215	-2.102	-2.333	-1.972	-2.7	-0.035	0.415	-0.357	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	1.23	-1.289	0.254	-0.044	-1.755	-0.091	-0.101	-0.204	-0.566	-0.216	-0.882	-1.449	-1.835	-1.364	-0.537	1.026	0.905	1.492	1.325	0.102	-1.747	-1.033	-1.7	-1.911	1.061	-0.853	-2.122	-2.035	-2.111	-1.385	-1.412	-2.821	0.881	0.478	0.736	-2.289	-2.14	-2.564	-2.445	-3.423	-2.549	-1.96	-3.694	-3.422	-2.865	-3.683	-1.704	-1.289	-3.73	-2.686	-2.009	2.105
"YLL044W"	-1.737	-2.526	-2.196	-3.582	-4.162	1.121	1.115	1.006	-1.796	-2.783	-2.271	-2.041	2.306	-1.415	-1.356	-0.936	-0.504	-0.379	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-1.254	-0.586	-3.313	-3.031	-3.269	-2.156	-1.128	0.501	-0.659	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	2.272	-1.795	-0.077	-0.452	-1.929	-0.365	-0.337	-0.218	-0.274	0.094	-1.906	-1.949	-2.676	-2.356	-1.501	0.996	0.87	1.189	1.265	-0.697	-2.344	-1.183	-2.075	-2.07	1.065	-1.144	-2.173	-2.227	-3.04	-1.93	-2.312	-3.517	0.762	0.903	0.44	-2.952	-2.82	-2.673	-2.328	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	-2.417	-2.593	-3.902	-2.759	-2.42	2.004
"YLL045C"	-1.746	-2.105	-2.319	-3.116	-3.722	1.394	1.348	1.206	-1.721	-2.573	-1.975	-1.94	2.311	-1.27	-1.25	-0.851	-0.395	-0.176	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-0.863	-0.413	-3.169	-3.335	-3.185	-2.744	-1.0	0.568	-0.594	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	2.059	-1.577	0.111	-0.311	-1.724	-0.098	-0.117	-0.299	-0.211	0.25	-1.965	-1.813	-1.821	-2.284	-1.297	1.273	0.9	1.673	1.284	-0.259	-2.243	-0.871	-1.924	-1.585	1.356	-0.864	-1.957	-2.165	-2.953	-1.749	-2.279	-3.545	0.696	0.865	0.57	-2.707	-2.895	-2.21	-2.751	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	-2.053	-2.703	-2.778	-2.191	-2.416	2.018
"YLR029C"	-1.495	-1.874	-1.556	-2.241	-2.238	1.094	0.903	0.831	-1.373	-1.826	-1.74	-1.807	2.166	-1.413	-1.602	-1.122	-0.849	-0.616	-3.174	-2.641	-3.465	-2.572	-2.334	-3.108	-3.615	-6.877	-1.294	-0.955	-0.848	-2.777	-2.809	-2.78	-2.648	-0.628	0.631	-0.452	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	2.331	-1.666	0.152	-0.275	-1.641	-0.276	-0.4	0.084	-0.877	-0.12	-1.511	-1.633	-2.014	-1.702	-0.613	1.281	0.465	1.834	1.187	-0.314	-1.304	0.402	-0.996	-1.587	0.769	-0.62	-1.935	-2.49	-2.763	-1.952	-1.119	-1.757	1.104	0.89	0.597	-1.959	-2.352	-1.641	-2.781	-3.518	-2.733	-2.594	-3.637	-2.766	-2.153	-2.685	-1.718	-2.464	-3.267	-2.565	-2.432	1.678
"YLR048W"	-1.866	-2.382	-2.16	-2.988	-4.313	1.193	1.041	0.762	-1.921	-2.441	-1.93	-2.403	2.152	-1.501	-1.497	-1.264	-1.085	-0.553	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-2.627	-1.191	-0.342	-3.296	-3.55	-2.771	-2.506	-0.833	0.859	-0.956	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	2.784	-1.65	0.117	-0.231	-2.04	-0.205	-0.441	-0.712	-0.187	0.006	-2.059	-1.915	-2.346	-2.665	-1.679	0.968	0.635	1.202	1.348	0.007	-2.071	-0.921	-2.216	-1.905	1.014	-0.998	-1.94	-2.293	-3.922	-2.544	-3.112	-3.563	0.055	0.47	0.53	-3.336	-3.634	-2.906	-3.068	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-3.432	-2.177	-2.808	-3.301	-2.737	-2.984	2.758
"YLR061W"	-1.678	-2.212	-1.901	-3.322	-3.851	1.1	1.127	0.696	-0.693	-1.995	-1.3	-1.376	1.21	-1.287	-0.966	-0.745	-0.539	-0.514	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-2.641	-1.362	-0.244	-3.239	-3.818	-3.021	-3.058	-0.752	0.578	-0.672	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	1.802	-1.569	0.212	-0.238	-1.592	0.039	-0.17	-0.438	-0.88	-0.542	-0.817	-1.988	-2.62	-1.944	-1.636	0.841	0.671	1.431	0.977	-0.536	-1.456	-1.264	-1.889	-1.422	1.066	-0.679	-1.984	-2.482	-2.383	-1.368	-1.87	-2.697	0.712	0.269	0.608	-2.534	-3.246	-2.311	-2.529	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	-3.717	-1.487	-2.08	-2.915	-2.108	-2.364	1.988
"YLR062C"	-2.174	-2.343	-2.335	-3.557	-4.079	1.164	1.05	1.07	-1.524	-2.662	-2.004	-1.641	1.963	-1.241	-1.17	-0.933	-0.901	-0.602	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-2.606	-1.355	-0.654	-3.6	-3.985	-3.965	-3.18	-1.052	0.55	-0.666	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	2.319	-2.06	0.086	-0.293	-2.019	-0.096	-0.054	-0.637	-1.067	-0.811	-1.928	-2.266	-2.692	-2.807	-1.516	0.842	0.812	1.506	1.269	-0.609	-1.826	-1.204	-2.069	-1.789	1.124	-0.932	-2.245	-2.675	-3.446	-2.666	-2.11	-3.134	0.798	0.751	0.956	-1.615	-1.788	-1.743	-2.944	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	-1.905	-2.779	-3.141	-2.876	-2.878	2.025
"YLR185W"	-1.94	-1.728	-1.439	-2.305	-2.948	1.047	1.135	0.922	-1.355	-2.435	-1.598	-1.36	1.932	-1.028	-1.085	-0.637	-0.61	-0.435	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-5.928	-2.356	-1.23	-0.427	-2.94	-2.559	-2.616	-2.445	-0.892	0.58	-0.221	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	1.929	-1.699	0.118	-0.227	-1.649	-0.186	-0.173	-0.364	-0.721	-0.21	-1.486	-1.51	-1.914	-2.077	-1.03	0.928	0.936	1.634	1.254	0.213	-1.553	-0.814	-2.083	-1.909	1.242	-0.93	-2.242	-2.023	-3.193	-1.665	-2.22	-2.487	1.053	0.687	0.742	-2.302	-1.619	-2.469	-2.373	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	-1.832	-2.749	-3.237	-3.05	-2.145	1.692
"YLR264W"	-1.088	-1.77	-1.722	-2.019	-2.178	0.631	0.922	0.819	-1.119	-1.987	-1.686	-1.137	1.822	-0.78	-0.856	-0.664	-0.866	-0.474	-3.105	-2.523	-2.018	-1.862	-1.529	-1.693	-2.597	-5.152	-2.413	-1.164	-0.408	-2.945	-2.94	-2.616	-2.15	-0.574	0.813	-0.699	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	1.55	-1.521	0.305	0.049	-0.347	0.029	-0.141	-0.406	-0.659	-0.239	-1.373	-0.908	-0.757	-1.178	-1.451	0.471	0.682	1.164	1.246	0.143	-1.665	-0.313	-1.413	-1.913	1.267	-0.934	-1.688	-1.833	-2.072	-1.844	-2.318	-1.005	0.736	0.481	0.818	-2.492	-3.277	-2.612	-1.947	-3.507	-2.202	-1.49	-3.145	-2.797	-2.013	-2.667	-1.505	-2.024	-3.353	-2.539	-2.33	1.976
"YLR325C"	-1.897	-1.721	-1.92	-2.61	-3.056	1.112	0.677	1.01	-1.335	-2.174	-2.069	-1.38	2.065	-1.195	-0.98	-0.894	-0.674	-0.637	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-5.498	-2.676	-1.48	-0.314	-3.178	-3.753	-2.76	-3.039	-0.459	0.978	-0.625	-4.948	-2.81	-2.802	-3.314	-1.609	-1.204	-2.637	2.183	-1.384	0.236	-0.176	-1.548	-0.067	-0.116	-0.309	-0.744	-0.046	-1.619	-1.427	-1.776	-1.625	-1.149	0.784	0.743	1.573	1.259	-0.086	-2.0	-1.01	-2.227	-2.329	1.006	-0.924	-2.301	-2.253	-3.48	-2.169	-1.841	-2.735	0.978	0.905	0.742	-2.925	-3.258	-2.616	-1.941	-2.769	-2.034	-1.466	-2.866	-2.701	-2.834	-3.594	-1.486	-2.384	-3.397	-3.018	-1.761	1.892
"YLR333C"	2.907	NaN	2.152	2.731	NaN	1.149	0.802	0.708	-0.585	-2.23	-2.055	-1.351	1.643	-1.029	-1.065	-0.903	-0.755	-0.534	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-5.863	-2.247	-1.394	-0.19	-3.538	-3.334	-2.939	-2.483	-0.68	0.96	-0.908	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	1.926	-1.441	0.162	-0.276	-1.741	-0.123	-0.234	-0.445	-0.765	-0.182	NaN	-1.359	-1.724	-1.844	-0.732	0.739	0.504	1.445	1.149	-0.072	-1.8	-0.711	-1.76	-1.922	1.167	-0.401	-1.566	-1.748	-2.565	-1.875	-1.753	NaN	1.051	1.092	0.738	-1.929	-2.74	-2.119	-1.94	-4.086	-2.673	-1.894	-3.582	-2.843	-2.359	-1.826	-1.107	-2.076	-3.031	-2.343	-1.409	1.246
"YLR340W"	-0.471	-1.922	-1.656	-2.008	-1.892	1.063	1.164	0.822	-1.549	-1.992	-1.728	-2.226	3.125	-1.266	-1.514	-1.292	-1.147	-0.585	-2.59	-2.224	-2.566	-1.969	-2.963	-2.876	-4.11	-6.819	-2.513	-1.473	-0.688	-2.128	-2.646	-3.015	-2.689	-0.7	0.459	-1.194	-3.499	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	3.263	-2.125	0.241	-0.1	-1.815	-0.223	-0.72	-0.614	-0.358	-0.112	-1.943	-1.894	-1.975	-2.133	-0.789	0.674	0.646	1.205	1.555	-0.182	-0.986	-0.672	-1.445	-1.663	1.21	-0.738	-1.639	-2.949	-2.965	-2.564	-2.367	-1.781	0.611	0.734	0.899	-3.218	-3.038	-2.69	-2.186	-4.14	-3.346	-3.304	-3.405	-3.289	-2.708	-3.543	-1.809	-2.351	-3.888	-2.955	-2.45	2.113
"YLR344W"	2.322	NaN	NaN	NaN	NaN	1.172	0.989	0.717	NaN	-2.125	-1.752	-1.354	1.468	-1.307	-1.315	-0.919	-0.73	-0.382	-3.262	-2.447	-2.374	-1.944	-1.903	-1.785	-3.139	-4.414	-2.556	-1.17	-0.115	-3.245	-2.655	-2.639	-2.318	-0.861	0.629	-0.855	-3.619	-1.879	-2.264	-1.964	-1.824	-2.383	-3.724	1.956	-1.263	0.031	-0.229	-1.876	-0.015	-0.129	-0.607	-0.58	-0.402	NaN	-1.76	-2.053	-2.273	-1.185	0.826	0.904	1.55	1.262	-0.024	-2.167	-1.285	-1.948	-1.685	1.048	-0.755	-1.713	-1.707	-2.58	-1.829	-2.411	NaN	0.715	0.639	0.801	-2.338	-3.143	-2.556	-1.984	-3.46	-2.977	-2.583	-4.22	-3.608	-2.781	-2.182	-1.789	-2.44	-2.817	-2.261	-2.435	2.454
"YLR372W"	-2.207	-2.614	-1.814	-2.438	-2.835	0.939	1.022	0.965	-1.215	-2.084	-1.827	-1.474	2.07	-1.157	-0.866	-0.637	-0.608	-0.218	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-2.515	-0.23	-0.169	-3.069	-2.683	-2.643	2.656	-0.722	-0.03	-0.747	-4.078	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	2.112	-1.08	-0.43	-0.601	-1.415	-0.151	-0.469	-0.651	0.025	-0.104	-1.259	-1.732	-1.872	-2.122	-1.733	0.576	0.821	0.682	0.888	-0.367	-2.3	-1.539	-2.509	-2.442	0.979	-0.75	-1.142	-2.188	-2.774	-2.936	-1.313	-2.623	0.333	0.329	0.815	-2.628	-2.248	-2.077	-2.375	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	-3.925	-2.133	-2.233	-3.718	-3.155	-3.184	2.877
"YLR388W"	-1.974	-2.382	-1.861	-2.879	-3.074	1.213	1.145	0.956	-1.406	-2.289	-1.937	-1.403	1.261	-0.961	-1.106	-0.753	-0.505	-0.532	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-2.593	-1.483	-0.568	-3.204	-3.058	-2.742	-2.362	-0.554	0.583	-0.641	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	1.216	-1.558	0.259	-0.166	-1.467	-0.116	-0.09	-0.34	-0.845	-0.361	-1.597	-1.591	-1.776	-2.41	-0.981	0.876	1.102	1.64	1.6	0.413	-1.714	-0.993	-1.874	-2.12	1.302	-0.913	-1.953	-2.034	-2.994	-2.289	-2.448	-2.761	1.012	0.787	1.037	-1.984	-2.555	-2.337	-2.178	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864	-1.536	-2.347	-3.334	-2.537	-2.133	2.701
"YLR448W"	-1.853	-2.009	-1.814	-2.821	-3.482	1.062	0.837	0.739	-1.538	-2.804	-1.88	-1.716	2.319	-1.381	-1.324	-0.848	-0.817	-0.421	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-2.157	-0.947	-0.463	-3.425	-3.454	-3.179	-2.573	-0.98	0.861	-0.965	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	2.734	-1.19	0.048	-0.328	-1.664	-0.074	-0.19	-0.706	-0.584	-0.089	-1.725	-1.955	-2.326	-2.356	-1.501	0.931	0.809	1.257	1.138	0.084	-1.987	-1.508	-1.972	-1.41	1.0	-0.868	-2.034	-2.337	-3.647	-2.386	-2.649	-2.983	0.545	-0.031	0.358	-0.952	-3.651	-1.527	-2.6	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	-1.946	-2.75	-3.657	-2.638	-2.737	1.431
