	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"84.cdc15 190 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1664.cdc15 170 min"	"1665.cdc15 150 min"	"1668.cdc15 130 min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"16338.DES460 vs. DES460 YPD log phase control"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"21632..24 mM H2O2- 250 minutes"	"21662..24 mM H2O2- 230 minutes"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YLR186W"	0.453	-0.018	0.501	-2.522	-2.221	-1.684	-2.011	-2.976	-2.122	-0.15	-1.078	-1.524	-0.996	-4.787	-2.844	-2.506	-2.174	-2.293	-2.346	-4.298	-5.516	-2.004	-0.589	0.08	-3.036	-2.821	-2.007	0.321	-2.372	-1.577	-2.069	-1.671	-2.678	-0.061	0.099	0.063	0.156	-0.581	-1.656	-1.886	1.718	0.622	1.26	0.777	-1.698	-1.642	-0.861	-1.436	-1.814	-1.695	0.253	1.197	-1.521	-2.09	-3.083	0.35	0.13	-1.987	-0.848	-0.202	-0.48	0.581	-2.466	-2.202	-0.992	-3.381	-2.552	-1.208	-4.173	-2.896	-1.936	-2.714	-0.699	-0.698	-0.616	-0.286	-0.395	-2.394	-1.752	-2.983	-2.28	-0.746	0.833	0.465	0.393	0.446	-1.25	-1.582	-1.736	-1.515
"YLR196W"	0.554	-0.041	0.196	-5.425	-5.04	-1.973	-3.221	-4.896	-4.532	0.584	-1.871	-2.123	-2.578	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.118	-0.772	0.249	-2.858	-2.859	-1.799	0.242	-4.378	-2.182	-2.66	-2.604	-4.664	0.137	-0.646	-0.29	-0.02	-0.54	-2.107	-1.581	1.362	1.461	1.194	0.764	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	0.536	0.517	-1.12	-1.216	-5.097	-0.591	-0.236	-2.15	NaN	-1.465	0.186	0.221	-3.697	-2.702	-1.684	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	-0.207	-0.202	-0.495	-0.356	0.066	-2.247	-1.815	-2.053	-1.078	-0.521	0.173	0.056	0.097	0.039	-1.579	-1.62	-1.73	-1.902
"YLR435W"	0.432	0.304	0.133	-2.95	-2.628	-1.607	-2.012	-2.917	-2.415	0.479	-1.208	-1.48	-1.73	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-3.819	-1.636	-0.607	0.519	-1.506	-2.134	-1.317	0.41	-2.605	-2.004	-1.983	-2.216	-2.387	0.205	-0.004	-0.085	-0.04	0.212	-2.16	-2.084	0.616	0.421	0.496	0.002	-2.323	-2.747	-2.318	-1.772	-2.528	-2.588	0.166	0.417	-1.591	-1.234	-3.297	0.023	-0.309	-2.285	-2.143	0.993	0.198	0.827	-2.231	-2.112	-1.349	-2.298	-2.662	-2.618	-4.563	-2.595	-2.03	-1.817	-0.113	-0.154	-0.449	-0.174	-0.193	-0.794	-0.866	-1.233	-0.592	-0.749	0.916	0.27	0.008	0.048	-1.753	-1.535	-1.683	-1.239
"YML004C"	-0.669	-0.549	-0.408	2.415	2.252	1.737	1.902	2.217	2.599	-0.275	1.417	1.505	2.432	1.393	0.523	0.421	1.015	1.398	0.704	2.092	0.162	1.379	0.47	-0.111	1.844	2.109	1.669	-0.339	1.918	1.896	2.429	3.264	1.922	-0.027	-0.319	NaN	-0.066	-0.146	2.763	1.539	-0.625	-0.994	-0.557	-0.306	1.821	2.667	2.654	1.875	2.56	2.705	-0.191	-0.317	0.689	1.458	2.787	0.347	0.339	3.052	3.695	-0.388	0.329	0.147	2.326	2.024	0.851	2.317	2.172	1.692	2.385	1.744	1.328	2.569	0.213	0.334	0.22	0.394	0.201	2.464	2.803	2.657	2.347	0.297	-0.136	0.154	0.178	0.051	2.194	2.854	2.584	2.058
"YML024W"	NaN	NaN	0.023	-1.177	-2.033	-1.775	-2.347	-3.361	-3.373	0.712	-1.328	-1.376	-1.141	-3.616	-3.535	-3.016	-2.718	-2.475	-3.285	-3.909	-4.621	-2.278	-1.631	0.261	-3.523	-3.666	-3.004	0.451	-3.455	-2.442	-2.512	-2.583	-2.221	0.484	0.162	0.244	0.229	NaN	-1.385	-0.975	0.822	0.951	1.429	1.078	-1.567	-2.106	-1.671	-1.066	-1.567	-2.011	0.63	0.824	-2.253	-1.868	-3.024	0.457	0.298	-2.513	-2.011	-0.571	-0.242	1.056	-2.692	-1.512	-1.032	-3.36	-1.947	-1.537	-2.891	-2.573	-1.907	-2.067	-0.26	-0.202	0.613	-0.028	0.151	-1.291	-2.292	-3.047	-2.62	-0.297	0.446	0.69	0.75	0.716	-1.396	-1.458	-2.236	-2.059
"YML126C"	0.094	-0.044	0.238	-0.224	-0.752	-0.161	-0.794	-0.953	-1.245	0.148	-0.002	0.269	-0.447	-2.234	-1.074	-0.877	-0.773	-1.571	-2.699	-5.631	NaN	-0.613	-0.282	-0.076	-1.862	-1.316	-1.757	0.001	-1.14	-0.247	-1.093	-1.459	-2.732	-0.171	0.266	0.293	0.29	0.193	-0.428	-0.687	-0.311	-0.358	0.086	0.037	-0.087	-0.07	-0.131	-0.457	-0.441	-0.494	0.127	0.019	0.347	-0.304	-1.347	0.295	-0.111	0.169	-0.508	-0.175	0.084	0.095	-0.59	0.016	0.519	-2.572	-1.44	-1.441	-0.837	-1.315	-1.263	-1.804	0.171	0.222	0.327	0.263	0.205	-0.729	0.126	-0.168	-0.045	0.559	-0.788	0.304	0.359	0.592	0.152	-0.455	0.084	-1.145
"YMR105C"	-1.552	-0.88	0.329	7.421	6.858	4.865	6.445	6.665	6.783	-0.859	1.878	2.366	3.092	4.909	4.43	4.356	4.635	4.095	3.333	0.831	0.781	4.172	1.601	-0.3	2.982	2.866	1.873	-2.457	3.095	3.543	4.109	3.285	1.697	-0.535	0.435	-0.163	-0.939	-0.217	3.966	3.555	-1.723	-1.74	-1.544	-1.351	2.888	3.652	3.607	2.154	3.361	3.627	-1.226	-2.045	1.973	3.806	6.837	1.045	0.174	2.088	3.883	1.51	0.294	-1.457	5.764	3.906	2.627	4.164	3.912	3.617	6.583	5.468	3.536	4.665	0.391	0.289	1.305	0.17	0.542	4.302	3.679	3.947	3.046	1.174	-0.439	-0.991	-1.148	-0.976	4.512	3.829	3.825	1.426
"YMR110C"	-0.692	-0.741	0.181	2.615	2.414	0.622	2.26	2.565	2.824	-0.505	1.37	1.129	1.548	3.925	3.346	3.746	3.565	3.434	2.517	3.724	0.355	2.145	0.451	0.023	2.473	2.516	2.338	-0.511	4.042	3.217	2.995	3.422	2.927	-0.115	1.03	0.204	0.122	-0.392	1.765	1.814	-1.397	-1.054	-1.235	-0.597	1.252	1.966	1.767	1.239	1.879	2.022	-0.32	-0.806	0.952	2.645	2.675	0.028	0.23	NaN	1.709	-1.05	-1.244	-1.001	2.545	1.675	1.149	3.97	4.096	2.779	3.64	3.462	2.896	2.522	0.142	0.071	0.288	0.034	0.33	2.152	2.579	2.785	2.766	0.236	-0.882	0.051	0.036	0.059	2.488	2.47	2.932	1.855
"YMR131C"	0.883	0.525	-2.322	-4.819	-4.183	-2.431	-3.849	-4.525	-4.347	0.117	-1.837	-1.497	-1.57	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.153	-0.65	0.273	-3.547	-2.98	1.316	0.305	-4.277	-2.776	-2.829	-3.214	-5.241	0.523	NaN	2.553	0.0	0.147	-2.232	-1.198	0.745	0.569	0.183	0.374	-2.0	-3.012	-2.205	-1.855	-2.522	-2.8	0.526	0.774	-1.718	-1.789	-4.674	0.117	0.014	-4.32	-1.8	-0.687	0.102	0.873	-3.866	-3.136	-1.519	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908	-2.616	0.123	-0.204	-0.288	-0.283	-0.448	-2.03	-1.175	-2.124	-1.593	-0.343	0.545	0.257	0.144	0.301	-2.149	-3.389	-2.21	-1.893
"YMR290C"	0.677	0.24	0.183	-3.64	-3.689	-2.627	-2.957	-3.89	-3.624	0.229	-2.572	-2.637	-1.513	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-0.68	0.297	-3.243	-3.378	-2.625	0.078	-4.614	-3.037	-3.295	-3.716	-3.665	0.194	-0.5305	0.0605	0.11	-0.078	-2.059	-1.658	1.486	1.629	0.729	1.055	-1.983	-2.885	-2.633	-1.836	-2.648	-2.383	0.718	1.215	-1.853	-2.957	-4.129	0.575	-0.025	-0.579	-2.745	-0.618	-0.287	1.047	-4.343	-3.775	-1.826	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-0.146	-0.41	-0.49	0.014	-0.357	-2.21	-2.307	-3.084	-2.267	-0.525	0.885	0.249	0.269	0.295	-1.701	-1.911	-2.141	-1.773
"YNL045W"	-0.069	-0.156	-0.144	2.299	1.79	1.445	1.675	2.3	2.003	-0.241	1.338	1.109	1.213	1.967	1.254	1.196	1.139	0.962	0.272	-1.687	-2.893	0.738	0.46	0.077	1.366	1.12	0.484	-0.527	2.846	1.475	0.584	0.52	-0.055	-0.201	-0.276	-0.342	0.166	-0.273	1.279	0.644	-0.814	-0.617	-0.756	-0.104	1.747	1.763	1.673	0.613	1.18	1.334	-0.045	-0.049	1.385	0.522	2.619	-0.579	0.249	0.181	0.972	-0.773	0.036	-0.269	1.891	1.221	0.775	1.742	1.008	0.295	2.176	1.424	0.378	-0.202	0.29	0.514	0.604	0.218	0.304	1.385	1.605	1.548	1.207	0.877	-0.942	0.038	-0.123	-0.048	0.724	1.623	1.684	0.895
"YNL060C"	0.256	-0.109	-0.172	-2.662	-3.546	-1.721	-2.78	-3.921	-3.668	0.964	-1.887	-1.662	-1.294	-5.032	-2.43	-2.244	-2.105	-0.912	-2.428	-2.397	-3.243	-2.061	-0.355	-0.019	-2.119	-1.685	-0.64	0.187	-2.933	-1.673	-1.634	-1.725	-1.617	0.369	-0.539	-0.624	-0.324	-0.214	-2.139	-1.347	1.542	1.233	1.449	0.674	-1.813	-2.555	-1.449	-1.755	-2.391	-1.957	0.0	0.753	-1.36	-1.3635	-4.389	-0.811	-0.323	-3.679	-2.724	-0.763	-0.147	0.577	-3.38	-2.089	-1.556	-1.761	-2.147	-1.607	-3.208	-2.173	-1.48	-0.534	0.043	0.082	-0.332	0.126	-0.084	-1.632	-0.822	-1.811	-1.228	-0.43	0.185	0.67	0.629	0.621	-2.189	-2.301	-2.106	-1.353
"YNL061W"	0.702	0.351	0.093	-4.928	-3.927	-1.543	-4.143	-4.404	-3.948	0.663	-1.88	-1.971	-1.527	-4.329	-2.031	-1.794	-1.22	-1.061	-1.547	-2.147	-4.27	-2.724	-0.228	0.044	-2.519	-2.417	-1.876	0.29	-3.268	-1.421	-1.555	-1.548	-1.357	0.577	0.014	-0.508	-0.03	0.058	-2.327	-1.324	1.618	1.303	1.295	0.673	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	0.336	0.823	-1.224	-1.513	-5.38	-0.164	-0.422	-1.877	-1.981	-0.427	-0.09	0.536	-3.925	-2.946	-1.676	-2.055	-1.808	-1.512	-2.571	-1.387	-1.085	-1.055	0.255	0.557	-0.044	0.314	0.015	-1.391	-0.89	-1.7	-1.003	0.096	-0.387	0.311	0.127	0.246	-1.554	-0.944	-1.501	-1.21
"YNL069C"	0.87	0.674	-0.242	-1.415	-1.976	-1.761	-1.954	-2.865	-3.347	0.423	-1.141	-1.782	-0.538	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-1.387	0.628	-3.44	-3.85	-3.199	0.662	-4.269	-1.921	-2.199	-2.466	-2.509	0.199	0.133	0.026	0.185	0.196	-0.85	-1.23	0.85	0.955	1.459	1.387	-1.054	-1.666	-1.263	-0.724	-1.779	-1.689	0.3	0.803	-1.844	-2.137	-2.91	0.502	0.312	-1.327	-1.016	-0.975	-0.584	0.749	-2.543	-1.261	-0.755	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02	-3.775	-0.009	0.124	0.151	0.061	-0.12	-1.852	-2.418	-3.76	-2.99	-0.036	0.668	0.547	0.432	0.474	-1.043	-1.347	-1.996	-2.983
"YNL111C"	0.338	-0.183	0.539	-1.611	-0.933	0.439	-1.212	-1.123	-1.35	-0.127	-0.364	0.015	-0.843	-3.314	-2.023	-1.821	-0.952	-1.177	-1.759	-2.884	-4.012	-0.961	-0.001	0.384	-2.336	-2.275	-1.42	0.459	-2.076	-0.974	-1.478	-1.513	-1.834	0.587	0.601	0.603	0.331	0.093	-1.457	-2.096	-0.369	-0.621	-0.058	-0.312	-1.878	-2.221	-1.936	-1.326	-1.739	-1.94	0.246	-0.034	-0.102	-0.965	-1.796	-0.344	0.52	-2.351	-2.312	-0.147	-0.421	0.386	-1.918	-0.269	0.332	-0.856	-1.815	-1.178	-2.302	-1.807	-1.645	-1.878	0.02	-0.075	0.046	-0.146	-0.288	-1.523	-0.903	-1.762	-1.532	-0.22	0.759	0.482	0.473	0.433	-0.547	-0.939	-1.12	-1.417
"YNL119W"	0.885	0.411	-0.007	-2.225	-2.262	-1.699	-2.092	-2.438	-3.435	0.809	-1.112	-1.399	-1.618	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-2.598	-1.052	0.172	-3.359	-3.366	-2.99	0.554	-3.55	-1.753	-1.955	-2.206	-2.843	-0.093	-0.066	-0.097	0.071	0.198	-0.934	-1.364	0.798	0.82	0.966	1.262	-1.121	-1.868	-1.26	-1.18	-2.044	-2.032	0.214	0.642	-1.613	-1.92	-2.524	0.434	-0.189	-1.853	-1.357	-0.165	0.19	0.931	-2.669	-1.632	-0.853	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406	-0.285	-0.037	-0.331	0.147	-0.24	-1.972	-2.637	-3.264	-2.198	-0.436	0.952	0.578	0.514	0.536	-1.036	-1.2	-1.947	-2.566
"YNL132W"	0.558	0.299	-0.165	-4.679	-5.146	-2.394	-3.658	-3.329	-4.954	0.637	-2.171	-2.013	-2.669	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.883	-1.371	0.22	-3.285	-3.141	-2.521	-0.045	-4.353	-2.313	-2.799	-2.936	-4.377	0.212	-0.556	-0.651	-0.277	-0.394	-2.275	-2.042	1.683	1.79	0.801	0.731	-1.546	-2.468	-2.114	-1.26	-1.53	-2.164	0.244	0.612	-1.974	-1.281	-3.45	-0.409	0.001	-1.816	-2.23	-1.577	-0.182	0.629	-4.311	-2.617	-1.778	-2.994	-2.948	-2.325	-3.989	-2.673	-2.3	-1.776	-0.336	-0.28	-0.456	-0.01	-0.152	-2.269	-1.126	-1.684	-1.295	-0.711	0.522	0.114	0.032	0.102	-2.333	-1.182	-2.393	-2.309
"YNL248C"	0.805	0.382	0.062	-4.791	-4.315	-1.698	-3.398	-4.455	-4.373	0.35	-2.114	-1.982	-2.419	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.618	-0.381	0.311	-3.866	-3.014	-1.941	0.042	-5.072	-2.419	-2.444	-2.924	-3.902	0.188	-0.186	-0.126	0.054	0.039	-2.721	-1.9	1.136	1.25	0.531	0.583	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	0.561	0.889	-1.978	-2.53	-4.868	0.163	0.092	-2.931	-1.58	-1.065	-0.543	0.605	NaN	-2.886	-1.415	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385	-3.227	0.205	0.213	-0.111	0.245	0.017	-3.661	-2.422	-3.302	-2.29	-0.147	0.949	0.342	0.31	0.171	-2.94	-3.256	-3.147	-2.631
"YNL301C"	1.031	0.616	-0.213	-1.447	-1.715	-1.116	-1.685	-2.335	-3.036	0.474	-1.003	-1.24	-1.173	-2.992	-2.551	-2.514	-2.036	-1.241	-3.266	-5.123	-6.272	-2.514	-1.521	0.142	-2.943	-3.585	-3.098	0.559	-3.466	-1.992	-2.799	-2.781	-2.985	0.17	0.021	0.14	-0.009	0.537	-0.878	-0.982	0.98	0.412	1.856	1.381	-1.103	-1.892	-1.408	-1.098	-1.944	-2.088	0.39	0.876	-1.909	-2.232	-2.136	0.918	-0.277	-2.257	-1.447	-0.706	-0.297	0.898	-2.144	-1.116	-0.604	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	-3.161	-0.221	0.014	-0.051	-0.191	-0.066	-1.771	-2.864	-3.527	-3.041	-0.164	1.068	0.683	0.711	0.613	-0.709	-1.03	-1.619	-2.51
"YOL077C"	0.607	0.474	0.099	-5.439	-5.04	-2.828	-4.336	-5.22	-4.28	-0.02	-2.979	-3.07	-2.944	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-2.1355	-0.837	0.304	-4.174	-0.219	-2.917	0.413	-3.705	-2.565	-2.549	-3.046	-3.894	0.15	-0.16	-0.151	0.117	-0.235	-2.206	-1.535	0.978	1.214	0.806	0.786	-2.121	-3.287	-2.054	-2.035	-3.032	-2.96	-0.114	0.48	-2.119	-2.39	-4.7	0.262	0.218	-3.568	-2.005	-0.727	-0.226	0.476	-4.969	-3.866	-1.991	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-2.446	0.11	0.071	-0.244	-0.159	-0.298	-2.897	-2.041	-2.759	-1.94	-0.406	0.433	0.261	0.271	0.157	-2.418	-2.762	-2.379	-2.251
"YOR007C"	-0.121	-0.073	-0.765	0.982	0.878	0.704	1.134	0.961	1.025	-0.024	0.256	0.629	-0.318	0.437	-0.675	-0.871	-0.41	-0.513	-0.0965	-0.729	-3.123	-0.409	0.101	0.05	-1.312	-0.577	-0.435	0.159	0.256	0.133	0.609	1.027	-2.096	0.267	-0.68	-1.249	-0.834	0.29	-0.08	0.216	0.112	-0.885	-0.215	-0.693	-0.129	-0.139	0.268	-0.303	-0.311	-0.004	-0.067	-0.6755	0.869	-0.541	1.07	0.045	-0.02	-0.618	0.596	0.142	0.408	0.367	0.649	0.3955	0.1175	0.0585	-0.0715	-0.1515	-0.3765	-0.155	-0.5035	0.0805	0.239	0.4825	0.296	-0.088	-0.0335	0.4505	0.1765	0.8545	0.357	-0.1265	-0.101	0.091	0.0595	-0.0495	-0.172	0.459	0.5425	0.108
"YOR095C"	0.226	0.306	0.137	-4.521	-4.288	-2.381	-3.939	-4.34	-4.285	-0.091	-2.173	-1.688	-1.937	-1.698	0.297	-0.288	-0.614	-1.113	-3.275	-2.7255	-4.37	0.482	-1.226	0.355	-3.469	0.291	-0.402	0.394	-1.726	-0.824	-1.933	-2.497	-3.333	0.171	-0.243	-0.05	0.148	0.187	-1.783	-2.017	1.181	1.15	1.075	0.665	-1.952	-3.094	-2.383	-1.51	-2.671	-2.685	-0.4295	-0.683	-2.568	-1.164	-3.778	0.629	0.476	-3.474	-2.195	-1.179	-0.453	0.745	-3.665	-3.086	-1.397	-3.423	-0.799	-1.282	-4.298	-0.77	0.119	-1.123	-0.562	-0.514	-0.703	-0.224	-0.288	-1.907	0.726	1.261	1.519	-0.911	1.009	0.052	0.076	0.165	-1.784	-1.373	-1.573	0.489
"YOR146W"	0.837	0.562	0.565	-3.231	-2.681	-1.165	-3.597	-3.42	-3.036	-1.059	-0.919	-1.153	-0.055	-3.402	-1.9575	-1.4795	-1.446	-0.784	-0.8735	-0.901	-3.7465	-2.384	0.216	0.457	-2.648	-1.68	-1.6095	0.494	-0.296	-0.284	-0.451	-0.292	-0.247	0.475	0.66	0.792	0.33	0.285	-2.119	-1.335	1.06	0.487	0.994	0.34	-1.605	-2.933	-1.348	-1.656	-2.496	-2.291	0.3405	0.9035	-0.712	-1.177	-4.259	0.127	-0.322	-3.316	-1.828	0.719	0.485	0.362	-2.594	-1.898	-0.755	-0.569	-1.294	-0.654	-2.731	-1.055	-0.935	-0.676	0.162	0.204	-0.247	0.003	-0.179	-1.331	-1.315	-0.736	-0.47	-0.114	0.007	0.184	0.118	0.175	-2.057	-2.526	-1.89	-1.448
"YOR206W"	0.875	0.245	0.138	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	1.058	-1.699	-1.554	-2.932	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-3.681	-6.4785	-2.919	-0.1925	0.207	-3.1625	-1.9445	-2.2495	0.218	-3.888	-2.026	-2.451	-2.637	-3.692	0.287	-0.337	-0.588	-0.069	-0.115	-2.465	-1.355	1.327	1.209	0.571	0.769	-2.438	-3.65	-2.191	-1.944	-2.398	-2.168	0.4395	0.9085	-1.716	-1.792	-5.066	-0.011	-0.11	-3.011	-2.376	-1.062	-0.331	0.075	-3.839	-2.816	-1.474	-3.193	-2.539	-1.324	-4.817	-2.585	-1.507	-2.379	-0.047	-0.396	-0.287	-0.221	-0.285	-2.166	-2.026	-2.49	-1.423	-0.516	0.346	0.247	0.148	0.181	-2.558	-2.475	-2.141	-1.628
"YOR252W"	0.667	-0.191	0.113	-2.343	-1.831	-0.817	-2.11	-2.252	-1.787	0.143	-1.73	-1.493	-0.915	-1.9195	-1.25	-0.867	-0.6775	-0.7475	-0.533	-1.5325	-2.9525	-1.674	-0.535	0.278	-2.196	-1.515	-1.034	0.355	-1.792	-1.262	-1.139	-1.067	-1.544	0.158	0.06	-0.527	-0.178	-0.196	-0.81	-1.413	0.891	0.744	0.984	0.46	-0.925	-1.596	-1.538	-0.528	-1.58	-2.032	0.571	0.7345	-1.321	-0.576	-2.365	-0.073	-0.325	-1.717	-2.058	0.203	-0.056	-0.337	-1.317	-1.491	-1.367	-1.691	-0.965	-0.651	-2.721	-1.585	-0.862	-1.36	-0.169	-0.471	-0.309	-0.017	-0.1	-0.681	-0.691	-0.664	-0.359	-0.435	0.034	0.063	0.263	0.104	-0.304	-1.108	-1.397	-1.179
"YPL044C"	0.351	0.427	0.509	-4.106	-2.774	-2.22	-3.653	-4.783	-4.009	-1.177	-2.39	-1.363	-0.638	-4.1695	-2.458	-2.0485	-1.6585	-1.769	-1.773	-2.688	-4.2355	-2.6845	-0.448	0.239	-3.256	-2.8325	-2.0175	0.207	-3.164	-2.194	-2.405	-1.877	-2.06	0.168	-0.264	-0.159	0.221	-0.328	-2.488	-1.379	1.659	1.12	0.763	0.56	-2.268	-2.683	-1.927	-1.517	-2.327	-1.645	0.589	0.7395	-1.8455	-1.02	-4.807	-0.074	-0.49	-4.166	-1.583	0.094	0.095	0.277	-2.213	-1.964	-1.606	-1.798	-2.545	-1.887	-2.954	-2.261	-0.951	-1.163	0.157	-0.202	-0.335	-0.039	0.012	-0.232	-0.526	-0.351	-0.486	-0.315	0.333	0.008	0.026	-0.184	-1.894	-1.837	-1.807	-0.808
"YPL266W"	0.8	0.26	0.192	-3.981	-3.222	-1.605	-2.968	-3.585	-3.063	0.32	-1.615	-1.8785	-0.86	-4.1135	-2.3835	-2.305	-2.135	-1.5555	-2.448	-4.58	-3.1595	-2.162	-0.886	0.3935	-3.267	-2.3995	-1.8745	0.454	-2.099	-1.926	-2.07	-1.477	-1.809	0.593	-0.152	-0.126	0.246	-0.569	-1.362	-0.987	1.183	0.675	0.963	0.398	-1.376	-2.134	-2.032	-1.074	-2.001	-2.596	0.3645	1.121	-1.52	-1.457	-3.636	0.362	-0.422	-2.77	-3.21	-0.398	0.113	0.393	-4.813	-2.51	-0.711	-3.274	-2.154	-1.743	-4.271	-2.451	-1.929	-2.098	-0.133	-0.464	-0.334	-0.047	0.034	-2.583	-1.994	-1.703	-1.253	-0.318	0.368	0.16	0.208	0.241	-4.193	-1.711	-2.03	-1.882
"YPR110C"	0.505	0.336	0.261	-3.178	-3.084	-1.217	-2.507	-3.52	-3.728	-0.201	-1.79	-1.7985	-1.914	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-0.9515	0.4215	-3.01	-3.296	-2.285	0.349	-3.88	-2.186	-2.175	-2.703	-3.212	0.316	-0.166	-0.053	0.279	0.034	-1.308	-1.053	1.389	1.232	0.81	0.644	-1.719	-2.308	-1.703	-1.435	-2.158	-2.174	0.3115	0.475	-1.359	-2.108	-3.168	0.403	0.331	-2.787	-1.248	-1.344	-0.816	0.753	-3.436	-2.354	-1.182	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	-2.759	-0.422	-0.31	-0.477	-0.241	-0.157	-2.538	-1.843	-2.294	-1.225	-0.607	0.811	0.148	0.039	0.134	-1.564	-2.129	-1.842	-2.622
