	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13096.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 2)"	"30773.Pomona/Brown Sir3x red"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YOR036W"	0.607	1.918	1.2545	1.664	-1.7435	1.481	2.5945	1.882	1.562	1.563	1.932	2.156	3.066	2.609	2.107	0.038	-0.43	-0.43	-0.341	0.119	2.219	2.449	2.16	1.511	1.716	1.561	-0.178	1.374	-0.432	-0.519	-0.065	0.039	1.484	1.021	-0.267	-0.23	-0.214
"YOR152C"	1.159	3.13	2.73	2.6355	2.7555	2.9555	3.1825	3.475	3.121	2.083	1.874	1.565	2.547	2.341	1.885	0.122	0.183	-0.048	0.01	NaN	1.211	1.358	2.068	0.831	1.57	1.679	-0.093	1.61	-0.144	0.009	-0.059	0.019	1.012	1.643	-0.036	-0.017	-0.141
"YOR178C"	1.411	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.591	4.802	5.508	5.525	6.246	5.242	4.229	-0.409	-0.906	-0.56	0.291	-0.171	-0.337	-0.359	-0.606	0.139	0.213	0.082	0.333	3.538	0.165	0.169	-0.9	0.213	2.364	0.468	-0.337	0.177	0.097
"YOR234C"	-0.803	-4.006	-3.3605	-2.805	-2.6575	-2.058	-1.908	-2.8745	-3.657	-1.912	-1.717	-1.324	-0.593	-0.648	-2.139	0.383	0.203	0.108	0.151	0.093	-1.232	-1.878	-1.23	-1.111	-1.811	-1.663	-0.29	-1.288	0.315	0.188	0.287	-0.552	-4.032	-3.302	0.665	0.704	0.548
"YOR293W"	-1.549	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	-0.181	0.102	0.327	-0.036	0.191	-2.072	-2.613	-1.918	-1.397	-2.238	-2.131	0.379	-1.85	0.336	0.344	0.662	0.035	-3.853	-3.23	0.484	0.488	0.385
"YOR369C"	-1.178	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	-0.133	-0.02	0.072	0.217	0.27	-1.519	-2.104	-1.873	-1.053	-1.97	-2.181	-0.358	-2.309	0.95	0.753	0.285	-0.123	-3.032	-3.003	0.385	0.475	0.5
"YPL004C"	0.803	2.962	1.8025	2.449	2.109	1.6325	1.689	2.7195	3.013	2.417	1.835	2.007	2.822	1.866	-0.447	-0.162	-0.26	-0.457	-0.26	0.363	1.641	2.317	2.41	1.502	2.437	2.236	0.006	1.961	-0.171	-0.054	0.116	0.157	3.09	2.61	0.116	0.042	0.122
"YPL050C"	-0.237	-1.673	-1.242	-0.8915	-1.0575	-1.3725	-1.293	-2.2165	-1.498	-1.232	-1.195	-1.188	-1.143	-1.8	-1.614	0.314	0.022	0.19	-0.158	0.089	-1.205	-0.897	-0.695	-0.688	-0.751	-0.783	-0.192	-0.945	0.01	0.128	-0.604	0.0	-2.003	-1.757	0.232	0.207	0.233
"YPL079W"	-1.022	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.327	0.26	-0.185	0.031	0.143	-2.117	-2.574	-1.965	-1.758	-2.209	-2.429	-0.126	-1.673	0.284	0.34	0.187	-0.574	-3.573	-3.431	0.573	0.499	0.511
"YPL080C"	0.093	-2.0705	-1.999	-2.0625	-1.773	-1.009	-1.306	-1.157	-1.846	-1.546	-1.287	-1.442	-1.596	-1.024	-1.469	0.194	0.395	0.15	-0.426	-0.304	-1.324	-1.181	-0.452	-0.925	-0.773	-0.714	0.101	0.209	-0.489	-0.555	-0.145	-0.284	-1.147	-0.807	0.164	0.498	0.076
"YPL081W"	-0.796	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-0.034	0.404	-0.163	0.099	0.171	-2.363	-2.576	-1.786	-2.106	-2.383	-2.29	-0.046	-1.844	0.145	0.101	0.31	-0.095	-3.939	-2.717	0.384	0.386	0.423
"YPL142C"	-0.787	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.296	0.518	0.477	0.2	0.304	-1.263	-1.852	-1.366	-0.847	-1.839	-2.009	-0.832	-2.011	0.301	0.513	0.97	0.142	-3.677	-3.278	1.041	0.954	0.869
"YPL143W"	-0.667	-4.4445	-3.3605	-3.232	-3.2955	-2.5465	-2.7845	-3.35	-4.372	-2.232	-2.155	-2.195	-1.391	-1.972	-2.941	0.066	0.193	0.011	0.005	NaN	-1.377	-1.826	-1.186	-1.473	-1.99	-2.186	-0.279	-2.07	0.312	0.339	0.629	-0.161	-3.13	-2.792	0.88	0.816	0.813
"YPL186C"	1.948	4.53	4.047	3.681	4.3765	4.288	4.8665	3.9855	1.511	1.76	2.76	2.023	2.83	3.48	3.115	0.576	0.355	0.355	0.206	0.315	0.251	1.293	1.83	0.418	1.595	1.175	-0.258	3.577	-0.586	-0.425	-0.204	0.07	3.997	3.587	0.16	-0.738	-0.664
"YPL198W"	-0.931	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	-0.089	0.131	-0.012	-0.237	0.079	-1.095	-2.043	-1.497	-1.242	-1.951	-2.099	-0.03	-1.633	0.352	0.283	0.296	0.206	-3.4955	-4.5575	0.1385	0.203	0.1645
"YPL206C"	0.539	1.5695	1.6745	1.552	1.7415	1.75	1.596	-0.097	1.43	1.252	1.355	1.325	0.959	0.626	0.395	0.298	0.16	0.225	0.015	0.363	0.994	1.132	1.065	1.572	1.448	1.213	-0.065	0.932	0.184	0.059	-0.605	-0.179	1.2735	0.9745	0.282	0.273	0.1655
"YPL211W"	-0.152	-5.5605	-3.5535	-3.356	-3.4755	-2.914	-3.869	-4.4555	-4.129	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	0.488	0.579	0.111	-0.02	0.025	-2.269	-3.124	-2.614	-1.792	-1.914	-2.688	0.247	-2.25	0.407	0.451	-0.126	-0.625	-3.981	-2.743	0.238	0.234	0.224
"YPL222W"	1.0055	1.26533333333333	1.64233333333333	0.679666666666667	1.61533333333333	1.49866666666667	1.67633333333333	-0.197666666666667	0.977	0.3565	0.671	0.8965	1.011	2.026	1.649	0.2	0.9735	0.143	-0.098	-0.0275	0.573	1.148	1.004	0.2355	0.5645	0.288	-0.123	2.6865	-0.4585	-0.5165	-0.247	0.1155	1.057	0.207	-0.271	-0.25	-0.274
"YPL230W"	1.218	5.7835	4.1855	4.254	4.299	4.5545	5.401	6.6385	4.417	4.265	4.16	3.897	5.844	6.611	5.087	-0.172	-0.316	-0.133	-0.203	0.035	3.397	3.667	3.445	2.464	3.243	3.113	0.303	2.633	-0.408	-0.552	0.348	0.099	-1.432	1.055	-0.742	-0.723	-0.879
"YPL235W"	-0.756	-0.842666666666667	-1.108	-1.02966666666667	-1.09866666666667	-0.984666666666667	-1.85166666666667	-0.762333333333333	-1.209	-1.1285	-1.0275	-1.3	-1.5825	-1.8145	-2.0025	-0.288	-0.063	-0.1385	-0.3475	0.0025	-0.525	-0.49	-0.4935	-0.3695	-0.408	-0.581	0.4225	-0.9125	0.0295	0.0585	-0.3585	-0.05	0.005	-0.9255	0.5485	0.423	0.496
"YPL237W"	-0.439	-2.6285	-1.9335	-2.0395	-2.3465	-2.029	-2.27	-2.875	-2.288	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	0.088	0.268	0.063	0.071	0.179	-0.748	-1.377	-1.193	-0.342	-1.421	-1.607	1.016	-1.537	0.093	0.116	-0.201	-0.081	-1.535	-1.455	0.73	0.655	0.659
"YPL238C"	-0.296	-1.898	-1.7665	-1.5655	-1.85	-1.744	-1.544	-2.431	-2.451	-1.817	-2.037	-1.989	-1.843	-2.517	-2.586	0.641	0.64	0.175	-0.219	0.041	-0.478	-1.2	-1.017	0.087	-0.865	-1.297	0.669	-2.063	0.036	0.031	0.128	0.08	-1.846	-1.135	0.656	0.566	0.621
"YPL245W"	-1.231	-2.523	-2.6785	-2.5975	-2.684	-2.759	-3.115	-3.98	-0.908	-1.046	-1.32	-1.548	-0.959	-2.016	-1.767	-0.513	-0.261	-0.457	-0.197	-0.012	-0.847	-1.198	-1.308	-0.636	-1.179	-1.372	0.328	-1.34	0.141	0.271	-1.251	0.135	-1.2565	-1.6765	0.485	0.412	0.4185
"YPL260W"	-0.082	1.615	1.452	1.1195	1.284	1.3765	1.2505	0.6035	0.735	0.933	0.749	0.952	0.595	0.347	-0.181	-0.118	0.017	-0.204	-0.062	-0.298	1.277	1.641	1.438	1.025	1.392	1.222	0.918	0.805	-0.057	-0.174	0.693	0.161	1.206	1.401	0.294	0.256	0.17
"YPR001W"	0.843	1.917	3.0525	4.424	4.3615	4.5105	2.722	5.855	2.313	4.226	1.274	2.072	5.929	4.205	2.415	0.165	0.112	0.097	0.202	-0.534	0.256	0.352	0.278	0.668	0.396	0.267	-0.037	1.947	-0.177	-0.036	-2.229	0.249	-0.005	2.225	-0.788	-0.807	-0.797
"YPR005C"	0.504	2.0705	1.923	2.2645	2.3045	2.5365	3.0925	2.423	2.606	2.059	2.605	3.183	2.105	1.466	0.943	-0.165	0.026	0.0	-0.186	0.179	0.886	0.883	0.49	0.895	0.757	0.937	0.499	1.696	-0.65	-0.043	-1.091	-0.197	0.707	1.18	-0.377	-0.121	-0.099
"YPR041W"	-1.193	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-1.646	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.322	0.112	-0.005	-0.1465	-0.031	-0.9765	-1.173	-0.8595	-0.915	-0.997	-1.0265	-0.1255	-1.977	-0.039	0.092	0.3805	0.114	-3.187	-2.708	0.39	0.139	0.224
"YPR044C"	-0.976	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-3.0915	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-0.023	0.1375	0.1415	-0.088	0.1355	-1.0815	-1.535	-1.1145	-0.976	-1.5965	-1.486	-0.365	-2.074	0.346	0.497	0.361	0.179	-2.862	-2.352	0.697	0.724	0.621
"YPR102C"	-1.197	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.018	0.309	0.074	0.219	0.435	-1.647	-2.388	-1.826	-1.25	-2.23	-2.126	0.809	-2.384	0.446	0.519	0.478	0.117	-4.015	-3.517	0.509	0.411	0.422
"YPR110C"	-1.308	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	0.098	0.316	-0.186	-0.091	0.102	-1.719	-2.308	-1.703	-1.435	-2.158	-2.174	0.295	-2.108	0.048	0.305	0.31	-0.194	-3.882	-3.113	0.148	0.039	0.134
"YPR132W"	-1.087	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.197	0.471	0.042	0.125	0.215	-1.628	-2.207	-1.919	-1.285	-2.23	-2.231	0.412	-2.217	0.678	0.452	0.544	0.031	-2.903	-2.829	0.513	0.539	0.497
"YPR151C"	2.014	3.785	3.607	4.572	4.0445	4.539	4.7805	6.135	2.014	2.42	1.754	2.526	4.373	4.037	3.357	0.31	-0.091	0.211	0.103	0.021	0.666	1.137	1.096	0.812	0.956	1.251	-0.459	2.038	-0.098	-0.123	-0.414	-0.795	1.69	1.869	0.25	0.451	0.294
