	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"811.DES459 (mec1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7536.25C -- 30 min"	"8233.dtt 120 min"	"8282.Gal induced MCM1 vs. Glucose"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21631..24 mM H2O2- 190 minutes"	"21659..24 mM H2O2- 077 minutes"	"33779.delYPL230w_stationary_phase_5hours"	"40952.H2O2_II_56_min"
"YKR081C"	-4.459	-3.308	-1.663	-1.58	-3.81	-3.431	1.33	1.422	-1.773	-2.352	-4.081	-2.662	-2.469	-2.08	-4.632	-2.467	-3.278	-2.505	-0.415	-0.436	-0.332	-0.461	-0.679	-3.734	-2.064	-2.118	0.021	0.336	-0.503	1.661	-1.255	1.402	0.371	0.574	-3.505	-0.472	0.122	-1.037	-3.261	0.108
"YKR092C"	-2.199	-2.646	-0.825	-2.78	-3.432	-2.595	0.585	0.799	-1.84	-1.658	-3.321	-2.765	-2.665	-2.016	-2.54	-2.673	-2.076	-1.729	-1.017	-1.144	-1.035	-1.208	-0.643	-1.592	-1.605	-1.62	-0.138	-0.253	-0.054	1.029	-1.666	0.416	-0.041	0.064	-2.835	-1.543	-1.057	-1.961	-3.872	-1.818
"YLL008W"	-4.973	-4.981	-1.744	-3.751	-4.808	-4.019	0.828	0.601	-2.387	-1.87	-5.659	-3.509	-3.627	-2.899	-6.113	-3.126	-2.364	-2.55	-1.209	-1.128	-1.596	-1.4	-0.582	-3.473	-2.41	-2.612	0.126	-0.01	-0.108	1.287	-1.692	1.179	0.17	0.067	-4.642	-1.543	-1.496	-1.767	-3.042	-2.546
"YLL044W"	-1.737	-2.526	-1.821	-2.196	-3.582	-4.162	1.121	1.115	-2.783	-1.313	-4.871	-3.525	-3.158	-3.79	-6.48	-2.802	-3.313	-3.031	-0.31	-0.121	-0.511	-0.295	-0.659	-3.872	-1.944	-2.736	0.597	-0.086	0.136	0.996	-1.144	0.526	-0.205	-0.21	-3.517	-0.97	0.374	-2.673	-3.806	-2.632
"YLL045C"	-1.746	-2.105	-1.781	-2.319	-3.116	-3.722	1.394	1.348	-2.573	-1.547	-3.851	-3.176	-2.506	-3.857	-6.618	-2.711	-3.169	-3.335	-0.395	-0.731	-0.704	-0.364	-0.594	-3.66	-2.096	-2.495	0.325	0.223	-0.056	1.273	-0.864	0.593	-0.061	0.432	-3.545	-0.493	0.499	-2.21	-3.788	-1.421
"YLR029C"	-1.495	-1.874	-1.837	-1.556	-2.241	-2.238	1.094	0.903	-1.826	-1.439	-3.174	-2.641	-3.465	-3.615	-6.877	-1.294	-2.777	-2.809	-0.351	-0.694	-0.483	0.604	-0.452	-3.178	-1.893	-2.595	0.582	-0.158	0.467	1.281	-0.62	0.596	0.167	-0.083	-1.757	-0.965	0.234	-1.641	-3.637	-1.798
"YLR352W"	0.885	0.627	0.636	0.712	0.825	0.557	-0.204	-0.401	1.072	1.16	1.281	1.045	1.217	1.589	-1.435	0.929	0.304	0.612	-0.466	0.17	0.473	0.42	0.526	1.138	0.726	1.532	-0.0805	0.039	-0.004	-0.605	0.412	-0.225	-0.256	0.048	0.568	-0.619	0.214	-1.745	-0.215	0.816
"YLR432W"	-1.268	-2.203	-0.964	-1.608	-2.432	-3.062	0.975	0.949	-1.332	-0.886	-2.58	-2.16	-2.424	-3.532	-5.65	-1.881	-2.412	-2.49	-0.402	-0.167	0.104	-0.384	-0.417	-2.585	-0.9	-2.641	0.057	0.228	0.104	0.882	0.122	-0.355	0.021	0.493	-3.251	-0.514	-0.17	-1.405	-3.412	-0.514
"YMR131C"	-4.819	-4.183	-2.431	-3.849	-4.525	-4.347	1.141	0.906	-1.871	-1.57	-5.631	-3.641	-3.811	-5.052	-6.665	-3.153	-3.547	-2.98	-0.311	-0.308	-0.42	-0.523	-0.664	-4.277	-2.776	-3.214	0.104	-0.015	-0.17	0.745	-1.36	1.113	-0.305	-0.093	-4.674	-1.157	-0.471	-2.27	-4.181	-2.513
"YMR258C"	1.723	1.305	0.752	1.049	1.755	1.637	-0.616	-0.814	1.437	0.521	0.744	0.274	0.059	0.628	-1.801	1.278	0.67	0.735	-0.096	0.423	0.375	0.462	0.569	1.327	0.715	0.952	-0.051	0.047	0.102	-0.116	0.734	0.0	0.367	-0.307	2.249	0.328	0.324	1.386	1.304	0.585
