	"89.cdc15 100 min"	"91.cdc15 140 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"976.wt_plus_gamma_5_min"	"980.wt_plus_gamma_45_min"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1168.PHO81c vs. wild type, exp.1"	"1170.pho85 delete vs. wild type"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YMR290C"	-0.077	-0.394	-2.333	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-1.198	1.028	1.098	-2.19	-2.197	-2.714	-1.864	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-0.68	-3.017	-3.243	-3.378	-2.625	-2.166	-0.585	-0.457	-0.559	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	0.168	-1.144	-1.505	-0.801	-2.712	-2.059	-0.749	-1.658	-1.983	-2.885	-2.633	-1.836	-2.648	-2.383	-0.857	-2.957	-2.555	-2.409	-2.481	-4.129	-0.579	-4.343	-3.775	-3.98	-3.156	-4.028	-3.856	-4.544	-3.558	-3.243	-3.217	-2.141	0.309	-0.644	-0.697	-0.707	-0.816	-0.989
"YMR305C"	0.056	-0.227	-2.119	-2.952	-3.368	-3.681	-2.537	-3.401	-3.573	-0.351	0.958	0.852	-2.656	-1.338	-2.156	-1.942	-3.802	-1.387	-0.443	-1.439	-1.962	-1.885	-2.654	-4.237	-2.558	-0.269	-1.987	-2.097	-2.213	-2.926	-0.631	-0.375	0.455	0.22	-1.774	-0.784	-1.607	-2.906	-1.996	-3.198	-3.355	0.467	-0.886	-0.95	0.211	-1.276	-1.624	-0.781	-1.404	-0.716	-1.115	-0.737	-1.657	-2.432	-2.125	0.551	-2.024	-1.389	-0.972	-0.314	-3.114	-3.158	-3.913	-2.078	-3.166	-1.181	-3.465	-1.982	-3.526	-2.134	-1.791	-3.103	-0.845	-1.005	0.501	0.267	0.32	-0.071	-0.341
"YMR310C"	0.492	0.183	-3.178	-3.117	-3.003	-2.423	-2.264	-2.522	-1.974	-0.4	1.304	0.872	-2.195	-0.083	-1.592	-0.858	-2.999	-1.275	-1.838	-1.146	-1.022	-0.948	-1.454	-3.842	-1.935	-0.853	-1.944	-2.25	-1.986	-0.193	-1.616	-0.296	-0.137	-0.267	-1.6	-1.055	-1.284	-0.779	-0.584	-0.88	-0.465	-0.267	-1.3	-1.2	-0.942	-1.577	-0.857	-1.246	-1.863	-0.763	-1.65	-1.224	-1.142	-1.241	-1.118	0.059	-1.531	-1.462	-2.062	-1.932	-2.882	-1.603	-2.857	-1.577	-2.977	-1.757	-1.539	-2.152	-3.588	-1.433	-1.744	-1.291	-1.901	0.465	-0.833	-0.782	-0.409	-0.755	-0.799
"YNL002C"	-0.3655	-0.468	-3.547	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.61	1.183	1.119	-3.653	-2.167	-2.677	-1.141	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.73	-3.468	-2.839	-0.578	-1.894	-3.072	-2.59	-2.178	-1.983	0.19	-0.069	-0.274	-3.426	-2.209	-1.856	-2.186	-2.277	-2.592	-2.588	-0.536	-1.129	-1.79	-0.998	-2.007	-1.603	-1.402	-1.829	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	-0.291	-1.942	-1.21	-1.859	-1.348	-4.603	-3.349	-3.481	-2.594	-3.245	-1.514	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211	-1.552	-0.403	-0.926	-0.652	-0.668	-0.841	-0.399
"YNL060C"	-0.788	-0.462	-1.731	-2.662	-2.419	-3.546	-2.78	-3.921	-3.668	-0.573	0.9	0.795	-2.01	-1.843	-2.68	-1.216	-5.032	-2.43	-2.244	-2.105	-0.912	-2.428	-2.397	-3.243	-2.061	-0.355	-1.454	-2.119	-1.685	-0.64	-1.266	0.216	0.031	-0.145	-2.933	-1.673	-1.634	-1.725	-0.815	-1.617	-1.851	0.045	-0.884	-1.591	-0.783	-1.749	-2.139	-1.238	-1.347	-1.813	-2.555	-1.449	-1.755	-2.391	-1.957	NaN	-1.3635	-1.983	-2.44	-0.909	-4.389	-3.679	-3.38	-2.089	-2.13	-1.679	-1.761	-2.147	-3.208	-2.173	-1.48	-0.534	-2.106	-0.31	-0.821	-0.642	-0.569	-0.883	-0.1
"YNL061W"	-0.121	-0.254	-3.447	-4.928	-4.17	-3.927	-4.143	-4.404	-3.948	-0.437	1.249	0.976	-2.724	-1.446	-2.446	-1.215	-4.329	-2.031	-1.794	-1.22	-1.061	-1.547	-2.147	-4.27	-2.724	-0.228	-1.459	-2.519	-2.417	-1.876	-1.315	0.204	0.414	0.62	-3.268	-1.421	-1.555	-1.548	-1.276	-1.357	-1.899	-0.413	-1.131	-1.324	-0.819	0.404	-2.327	-0.954	-1.324	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	-0.179	-1.513	-1.398	-2.252	-1.619	-5.38	-1.877	-3.925	-2.946	-2.461	-0.996	-2.055	-1.808	-2.571	-1.387	-1.085	-1.055	-1.501	-0.243	-1.213	-1.004	-0.565	-1.188	-0.563
"YNL062C"	-1.235	-0.442	-2.043	-3.459	-1.549	-2.934	-2.143	-3.093	-2.844	-0.383	0.899	0.774	-1.873	-1.31	-1.093	-0.794	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-6.263	-2.538	-0.607	-1.298	-2.304	-2.254	-1.829	-1.441	-0.19	0.0	-0.286	-2.028	-1.559	-1.91	-1.803	-1.717	-2.639	-2.206	-0.316	-0.885	-1.367	-0.777	-0.73	-1.123	-0.88	-1.131	-0.856	-1.772	-1.297	-0.904	-1.751	-1.657	0.074	-1.7035	-1.154	-2.049	-0.918	-2.71	-1.603	-4.112	-2.584	-2.778	-1.922	-2.698	-2.338	-2.838	-2.509	-1.871	-2.066	-1.669	0.151	-0.931	-1.122	-0.688	-0.992	-0.87
"YNL067W"	0.141	0.516	-1.027	-2.389	-2.148	-2.348	-2.563	-3.335	-3.738	-0.339	1.166	0.859	-1.353	-1.337	-2.271	-1.639	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-5.731	-2.532	-1.248	-1.822	-2.866	-3.241	-2.399	-0.666	-0.762	-0.149	-0.27	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	0.437	-0.486	0.147	-0.322	-1.956	-0.814	0.252	-1.08	-1.4	-2.232	-1.859	-0.753	-2.17	-2.392	-0.271	-1.5625	-3.133	-1.214	-2.315	-3.16	-1.22	-2.636	-1.422	-2.256	-1.516	-2.698	-2.15	-3.107	-2.534	-2.013	-2.982	-1.238	0.204	-0.154	0.005	0.293	0.123	0.034
"YNL110C"	-0.044	-0.241	-3.468	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	-0.485	1.1	1.189	-3.311	-2.2	-2.683	-0.968	-5.108	-3.05	-2.608	-1.92	-1.698	-2.472	-1.487	-3.296	-1.641	-0.367	-1.55	-2.565	-1.986	-1.679	-1.979	0.163	-0.166	-0.314	-4.151	-2.141	-1.741	-2.144	-2.154	-2.985	-3.387	-1.222	-1.687	-1.673	-1.074	-1.875	-2.56	-1.452	-1.665	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	-0.23	-1.5895	-0.771	-1.225	-1.183	-5.064	-4.105	-4.907	-3.471	-3.973	-2.537	-3.18	-2.579	-4.747	-2.546	-2.431	-1.608	-1.758	-0.451	-0.769	-0.697	-0.69	-0.959	0.075
"YNL114C"	0.0	NaN	-0.79	-2.893	-1.943	-2.686	-2.468	-3.33	-3.663	-0.655	0.814	0.999	-2.355	-1.211	-1.548	-0.36	-5.245	-2.663	-2.941	-2.849	-1.734	-2.571	-3.791	-6.572	-2.048	-0.631	-2.138	-2.827	-2.978	-1.873	-1.491	-0.026	-0.216	-0.196	-3.032	-1.739	-1.645	-2.221	-1.96	-2.004	-2.111	-0.345	0.297	-1.193	-1.038	-1.603	-2.738	-0.862	-1.911	-2.958	-2.901	-2.07	-2.397	-2.953	-2.748	0.345	-1.2975	-0.347	-1.049	-0.555	-2.799	-2.874	-2.336	-1.721	-2.174	-1.398	-2.905	-1.754	-4.14	-2.842	-1.49	-2.128	-1.563	-0.415	-0.433	0.006	-0.258	-0.404	-0.234
"YNL132W"	-0.268	-0.758	-2.988	-4.679	NaN	-5.146	-3.658	-3.329	-4.954	-0.762	0.683	0.542	-4.644	-2.158	-2.634	-2.429	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.883	-1.371	-2.3	-3.285	-3.141	-2.521	-1.97	-0.134	-0.026	-0.689	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.297	-1.435	-1.8	-0.829	-1.988	-2.275	-1.138	-2.042	-1.546	-2.468	-2.114	-1.26	-1.53	-2.164	-0.127	-1.281	-3.487	-3.96	-2.775	-3.45	-1.816	-4.311	-2.617	-3.564	-1.263	-2.994	-2.948	-3.989	-2.673	-2.3	-1.776	-2.393	0.227	-0.55	-1.156	-0.667	-0.715	-0.525
"YNL151C"	0.046	0.426	-1.51	-2.707	-1.814	-2.055	-2.682	-2.835	-2.667	0.216	1.215	0.756	-1.586	-0.64	-1.246	-0.167	-1.688	-0.896	-0.748	-0.522	-0.568	-0.91	-0.664	-2.706	-1.45	-0.266	-1.686	-1.523	-1.143	-1.33	-1.076	-0.154	-0.259	-0.066	-1.317	-0.686	-0.771	-0.414	-0.764	-1.078	-0.694	-0.051	-0.918	-0.78	-0.621	-0.175	-1.333	-0.259	-1.232	-1.069	-1.545	-0.912	-0.942	-1.41	-1.578	-0.415	-1.291	-0.339	-0.527	-0.636	-3.201	-1.792	-2.152	-1.745	-2.456	-1.831	-3.305	-2.364	-3.425	-2.373	-1.589	-2.161	-0.945	-0.018	-0.346	-0.414	-0.27	-0.438	0.007
"YNL162W"	0.685	0.605	-0.82	-2.024	-1.886	-2.384	-1.97	-3.17	-3.58	-0.96	1.003	1.055	-1.819	-0.808	-2.232	-1.235	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.882	-1.052	-1.564	-2.86	-2.872	-2.421	-0.285	-0.155	-0.162	-0.183	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.117	-0.772	-0.297	-0.657	-1.624	-1.181	-0.024	-1.284	-1.564	-2.109	-1.436	-1.282	-2.23	-1.918	-0.741	-1.852	-2.438	-1.582	-1.908	-2.998	-2.304	-2.02	-1.415	-1.777	-1.052	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-1.809	0.144	-0.332	-0.053	-0.014	-0.155	-0.38
"YNL248C"	-0.421	-0.429	-4.024	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-1.052	1.227	1.182	-3.395	-1.793	-2.352	-1.572	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.618	-0.381	-2.168	-3.866	-3.014	-1.941	-1.594	-0.565	-0.263	-0.709	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	-0.264	-1.242	-1.471	-0.842	-1.381	-2.721	-1.174	-1.9	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	-0.948	-2.53	-3.166	-3.695	-2.517	-4.868	-2.931	NaN	-2.886	-5.118	-2.214	-4.652	-4.217	-6.193	-3.878	-3.385	-3.227	-3.147	0.407	-0.556	-0.816	-0.406	-0.535	-0.818
"YNL282W"	-0.336	-0.073	-1.294	-1.656	-1.752	-2.144	-0.628	-1.085	-0.737	-0.564	0.617	0.334	-0.776	-0.403	-1.506	-0.173	-2.164	-1.682	-1.091	-1.19	-0.123	-1.478	-0.049	-0.798	-0.293	0.185	-0.84	0.076	-0.28	-0.262	-0.697	0.009	-0.014	-0.208	0.0	-0.357	0.0	-0.129	0.314	-0.402	-0.008	-0.27	-1.088	-0.702	-0.437	-0.44	-0.67	-0.538	-1.219	-0.695	-1.107	-1.015	-0.865	-1.059	-1.33	0.14	-0.46	-0.299	-0.104	-0.027	-1.162	-0.934	-1.663	-1.165	-0.395	-0.315	-1.001	-0.333	-1.62	-1.163	-0.619	-0.395	-0.795	0.026	-0.382	-0.378	-0.491	-0.164	-0.275
"YNL313C"	0.019	0.203	-3.06	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-1.115	0.673	0.694	-1.887	-1.132	-1.152	-0.92	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-2.852	-0.297	-2.432	-3.129	-2.948	-1.668	-1.095	0.097	0.097	-0.267	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	-0.885	-2.033	-0.781	-0.698	-1.687	-1.862	-1.47	-2.117	-1.282	-1.939	-1.572	-0.925	-1.225	-1.032	-0.043	-1.051	-1.367	-1.891	-1.385	-3.009	-1.116	-2.824	-2.352	-1.81	-0.474	-1.867	-1.835	-3.85	-2.129	-1.672	-1.421	-1.686	-0.066	-0.436	-0.05	-0.557	-0.623	-0.538
"YOL021C"	-0.174	0.208	-1.834	-1.33	-1.034	-1.38	-1.256	-1.288	-1.743	-0.281	0.757	0.344	-0.1105	0.147	-0.822	-0.354	-0.353	-1.049	0.1945	0.1075	-0.0775	0.0245	-1.2185	-1.766	-0.7105	-0.138	-0.6225	-0.3245	-0.459	0.711	-0.749	0.018	0.236	0.078	-1.318	-0.803	-1.147	-0.742	-2.168	-2.518	-2.302	-0.141	-1.101	-0.485	-0.31	-1.168	-0.127	-0.364	-0.524	0.218	-0.216	-0.378	0.012	-0.041	-0.062	-0.381	-1.079	-0.371	-0.442	-0.632	-2.288	-1.512	-1.5285	-1.1035	-1.374	-0.027	-1.7175	-1.9765	-1.8355	-1.754	-1.3315	-0.8925	-0.6395	0.0435	-0.5905	-0.429	-0.36	-0.5375	-0.5565
"YOL022C"	-0.074	-0.366	-1.069	-2.578	-1.943	-2.43	-2.344	-2.29	-2.301	-0.725	0.777	0.4675	-0.652	-0.485	-1.809	-0.523	-1.8955	-1.2855	-1.054	-1.1175	-1.2465	-1.0045	-1.388	-4.073	-1.7425	-0.1915	-1.084	-2.0495	-1.1435	-0.378	-1.128	-0.247	-0.057	-0.322	-1.88	-1.156	-0.91	-0.866	-1.681	-2.027	-1.748	-0.24	-0.841	-0.831	-0.734	-0.728	-1.272	-0.508	-0.94	-1.385	-1.85	-1.697	-0.948	-1.957	-4.728	0.208	-1.146	-0.421	-1.212	-0.484	-2.13	-1.84	-2.882	-2.184	-3.424	-1.09	-2.213	-1.709	-2.775	-1.991	-1.02	-0.524	-0.966	0.07	-0.019	-0.5	-0.197	-0.207	-0.235
"YOL077C"	0.106	-0.418	-4.404	-5.439	-5.781	-5.04	-4.336	-5.22	-4.28	-0.775	1.273	-0.096	-1.4925	-1.0455	-3.046	-1.325	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-2.1355	-0.837	-2.01	-4.174	-0.219	-2.917	-2.046	-0.27	-0.311	-0.339	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.002	-1.206	-2.032	-0.983	-1.821	-2.206	-1.222	-1.535	-2.121	-3.287	-2.054	-2.035	-3.032	-2.96	-1.234	-2.39	-2.344	-2.237	-2.567	-4.7	-3.568	-4.969	-3.866	-4.679	-2.579	-2.855	-2.586	-5.145	-2.894	-2.392	-2.446	-2.379	-0.267	-0.788	-0.738	-0.72	-0.918	-0.871
"YOL124C"	0.573	0.297	-3.477	-5.367	-3.025	-5.101	-3.858	-4.247	-3.145	-0.257	1.328	0.892	-0.733	-0.3975	-1.919	-0.91	-1.6095	-1.266	-0.9985	-0.0409999999999999	-0.796	-0.899	-4.089	-0.8855	-1.895	0.3425	-2.876	-1.787	-0.9045	-1.517	-1.583	1.007	-0.204	-0.402	-3.058	-2.212	-2.627	-2.654	-1.243	-2.855	-1.428	-0.263	-1.21	-1.609	-1.236	-1.597	-1.067	-1.19	-2.134	-0.604	-2.345	-1.986	-0.861	-2.221	-2.474	0.32	-2.27	-0.631	-1.719	-2.045	-4.313	-2.455	-3.978	-2.981	-4.404	-3.091	-3.721	-2.651	-4.431	-2.893	-2.185	-2.647	-1.826	-0.26	-0.778	-1.241	-0.561	-0.849	-0.66
"YOR001W"	-0.174	-0.422	-1.568	-2.293	-2.114	-2.175	-1.774	-2.252	-2.474	-0.608	0.804	1.031	-0.668	0.5245	-1.386	-0.727	-0.0135000000000001	-0.4975	-1.241	-0.804	-0.602	0.475	-1.861	-4.782	-1.803	-0.1765	-0.887	-0.814	-1.537	0.7055	-1.564	0.164	0.058	-0.128	-1.783	-1.107	-1.027	-1.018	-1.551	-2.081	-2.136	-0.205	-1.077	-1.162	-0.618	-0.573	-0.895	-0.872	-1.233	-0.956	-1.318	-0.982	-0.611	-0.712	-0.839	-0.887	-0.616	-1.043	-1.23	-1.044	-2.032	-1.563	-1.84	-1.426	-1.505	-0.84	-1.25	-1.563	-1.64	-0.919	-1.057	-1.45	-0.566	-0.12	-0.548	-2.173	-0.549	-0.731	-0.543
"YOR145C"	-0.121	-0.08	-3.045	-3.98	-3.649	-3.795	-2.871	-3.492	-3.402	-0.308	1.303	1.288	-2.2695	-1.2125	-1.606	-0.683	-4.1305	-2.03	-1.7885	-1.4615	-1.2725	-1.2825	-1.5065	-3.4715	-1.3615	-0.373	-2.307	-2.7235	-1.903	-1.5745	-1.688	-0.21	-0.134	-0.37	-0.787	-0.757	-0.742	-0.788	-0.118	-0.948	-0.797	0.006	-1.284	-1.21	-1.018	-0.842	-2.247	-1.434	-1.641	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	-0.874	-1.589	0.013	-0.405	-0.409	-3.948	-3.77	-3.644	-2.806	-3.265	-1.728	-2.939	-2.352	-4.493	-1.998	-1.893	-1.091	-1.933	-0.66	-0.91	-1.057	-0.7	-0.914	-0.804
"YOR146W"	0.557	0.174	-2.407	-3.231	-2.16	-2.681	-3.597	-3.42	-3.036	-0.719	1.269	1.132	-2.036	0.1505	-1.335	-0.346	-3.402	-1.9575	-1.4795	-1.446	-0.784	-0.8735	-0.901	-3.7465	-2.384	0.216	-2.1935	-2.648	-1.68	-1.6095	-1.376	-0.021	0.255	0.38	-0.296	-0.284	-0.451	-0.292	0.382	-0.247	0.022	0.023	-1.323	-0.893	-1.025	-1.458	-2.119	-1.411	-1.335	-1.605	-2.933	-1.348	-1.656	-2.496	-2.291	-1.101	-1.177	0.344	0.132	-0.131	-4.259	-3.316	-2.594	-1.898	-2.065	-0.837	-0.569	-1.294	-2.731	-1.055	-0.935	-0.676	-1.89	-0.492	-1.093	-0.882	-0.67	-0.921	-0.609
"YOR206W"	-0.332	-0.954	-3.294	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-0.623	1.088	0.951	-3.849	-1.8605	-2.605	-1.575	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-3.681	-6.4785	-2.919	-0.1925	-1.049	-3.1625	-1.9445	-2.2495	-1.949	-0.192	-0.372	-0.606	-3.888	-2.026	-2.451	-2.637	-3.151	-3.692	-3.694	-0.62	-1.233	-1.748	-1.027	-1.55	-2.465	-1.407	-1.355	-2.438	-3.65	-2.191	-1.944	-2.398	-2.168	-0.718	-1.792	-1.927	-3.051	-1.987	-5.066	-3.011	-3.839	-2.816	-4.003	-1.781	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379	-2.141	-0.224	-0.706	-0.899	NaN	0.358	NaN
"YOR207C"	-0.068	-0.008	-1.787	-2.042	-1.805	-2.276	-2.379	-2.629	-2.502	-0.848	0.446	0.3755	-1.5265	-1.015	-0.945	-0.645	-4.0855	-1.0065	-1.41	-1.2535	-0.549	-0.833	-0.93	-9.516	-2.1505	-0.4975	-0.829	-2.939	-2.781	-1.55	-1.432	-0.433	0.323	-0.319	-2.59	-1.41	-1.254	-1.542	-0.757	-0.982	-1.766	-0.617	-1.807	-0.977	-0.623	-0.813	-1.53	-0.944	-1.292	-0.756	-1.266	-1.391	-1.092	-0.917	-0.837	-0.464	-0.479	-2.076	NaN	-1.195	-2.282	-1.621	-2.407	-1.414	-1.813	0.023	-1.669	-0.871	-1.56	-0.786	-0.437	-0.988	-1.739	-0.198	-0.054	-0.403	-0.1	-0.353	-0.182
"YOR272W"	-0.047	-0.185	-2.564	NaN	-3.159	-3.645	-3.098	-2.566	1.0	-0.572	1.356	0.9675	-1.8365	-0.9845	-2.06	-1.462	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-1.968	-3.353	-4.712	-2.841	-0.7375	-1.6925	-3.033	-2.763	-1.779	-2.223	-0.406	-0.244	-0.337	-3.311	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	-0.08	-1.083	-1.471	-0.93	-1.239	-0.123	-1.044	-1.104	-0.319	-1.261	-1.17	-0.263	-0.585	-1.041	0.598	-1.264	-1.505	-2.627	-2.586	-2.217	-2.33	-3.187	-3.082	-2.816	-2.031	-1.487	-2.332	-3.502	-2.158	-2.423	-1.282	-2.122	-0.174	-0.636	-0.407	-0.514	-0.738	-0.692
"YOR293W"	0.466	NaN	-0.744	-2.282	-1.741	-2.435	-2.205	-3.618	-3.854	-1.549	0.782	0.753	-1.692	-1.3	-2.307	-1.438	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	-2.907	-1.2955	-2.2545	-3.442	-3.1085	-3.0195	-0.504	-0.613	-0.301	-0.356	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	-0.069	-0.468	-0.538	-0.49	-1.537	-1.529	0.064	-1.394	-2.072	-2.613	-1.918	-1.397	-2.238	-2.131	-0.218	-1.85	-3.078	-1.601	-2.091	-3.151	-2.251	-3.047	-1.776	-2.465	-2.103	-3.53	-3.262	-3.853	-3.23	-2.89	-3.271	-1.809	0.085	-0.12	0.19	0.088	-0.118	-0.241
"YOR312C"	-0.791	0.949	-1.62	-2.426	-3.576	-2.612	-1.995	-2.723	-3.7	-0.553	1.167	0.9475	-1.2165	0.351	-2.417	-1.346	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.4995	-1.33	-2.054	-2.99	-3.177	-3.0	-0.35	-0.564	0.043	0.251	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	0.229	-0.793	-0.304	-0.474	-2.235	-1.537	0.289	-1.207	-1.709	-2.549	-1.732	-1.545	-2.5	-2.243	-0.151	-1.883	-2.684	-1.289	-1.994	-2.873	-2.141	-3.057	-1.602	-2.611	-1.861	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-1.926	-0.023	-0.491	-0.025	-0.074	-0.279	-0.476
"YPL086C"	0.295	-0.096	-2.147	-2.374	-1.678	-1.502	-2.322	-2.561	-2.524	-0.648	0.691	0.794	-1.6435	-0.5975	-1.408	-0.841	-3.4025	-1.371	-1.22	-1.1505	-1.1455	-0.869	-2.5065	-5.552	-2.399	-0.621	-1.1695	-2.6475	-2.4025	-1.808	-1.494	-0.495	-0.073	-0.457	-2.484	-1.489	-1.604	-1.418	-1.907	-1.958	-2.56	0.16	-1.482	-1.33	-0.72	-0.753	-1.347	-0.184	-0.921	-1.338	-1.826	-1.611	-0.921	-1.057	-0.917	0.182	-0.762	-1.611	-1.557	-1.443	-2.138	-1.863	-3.386	-1.928	-3.259	-1.244	-2.994	-2.108	-3.672	-1.773	-1.346	-0.837	-1.086	-0.343	-0.407	-1.637	-0.584	-0.795	-0.78
"YPL220W"	0.593	0.54	-0.913	-1.847	0.52	-2.404	-2.267	-3.278	-3.871	-1.189	1.154	1.2	-0.8855	-1.263	-2.806	-2.045	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-2.8915	-1.351	-1.554	-3.0375	-3.442	-3.3935	-0.202	-0.252	0.519	0.332	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.246	-0.936	-0.558	-0.208	-2.396	-1.007	-0.142	-1.193	-1.42	-2.457	-2.005	-1.023	-2.078	-2.022	-0.482	-1.925	-2.891	-2.139	-2.598	-3.09	-2.179	-2.654	-2.004	-1.963	-1.918	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	-1.785	-0.112	-0.142	0.237	0.088	-0.169	-0.324
