	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2555.Hypo-osmotic shock -30 minutes"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38154.03II01 batch p10"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YHR087W"	4.8165	6.0195	5.7105	5.698	5.252	0.3055	5.246	6.08	5.929	6.501	-5.137	-2.888	-1.415	-2.029	-5.463	-3.417	2.036	-2.673	-1.207	-1.356	3.852	4.664	3.281	3.433	3.602	3.744	2.307	4.087	2.742	2.235	3.776	3.264	2.8	2.77	-1.973	2.42	1.845	1.851	2.304	-1.191	3.116	1.389	-1.337	-0.175	5.013	2.916	2.588	-1.421	-1.017	-1.421	-1.896	-1.985	5.067	5.497	5.933	4.806	5.093	4.962	-3.474	-3.603	1.846	4.359	-1.548	-1.065	6.1195	5.607	-1.763	-1.881	5.372	4.848	7.094	5.78	-1.588	-1.825	6.124	6.178	5.278	5.117	6.108	4.15	3.908	5.778	4.259	3.36	4.227	4.454	3.27	4.069	-1.048	-4.709	-4.968	-0.496	0.1	0.552	-0.891	-0.979	-1.432	-3.821	-2.56
"YHR096C"	2.05	4.316	5.573	5.3105	4.401	2.702	2.5435	3.4085	5.0375	5.238	-3.693	-1.807	-2.124	-2.129	-4.15	-3.066	1.686	-2.14	-2.624	-2.785	0.243	0.646	1.126	1.075	4.284	5.741	5.093	5.155	5.155	4.52	2.368	4.524	4.426	4.823	2.137	3.276	4.069	4.974	4.183	-2.116	1.841	3.498	-1.721	1.658	2.941	1.274	1.555	-0.244	-0.723	-0.679	-0.375	-0.693	3.148	3.597	3.595	1.659	2.337	3.101	-1.737	-2.12	2.168	2.974	0.731	-1.973	6.7425	1.897	-0.763	0.608	1.926	0.394	1.75	1.279	-0.02	-0.996	1.31	1.871	1.333	2.211	5.589	5.478	4.324	4.216	6.151	4.914	6.856	4.354	5.733	0.79	-0.719	-1.773	-6.556	-1.823	-1.048	-5.619	-1.775	-2.816	-2.396	-4.5	NaN
"YHR104W"	3.0845	4.5615	4.906	4.8105	4.6215	3.5845	3.2725	4.247	4.658	4.7775	-2.982	-0.766	-0.619	-0.713	-3.196	-2.708	1.524	-1.375	-1.374	-1.39	2.174	2.864	2.908	3.044	3.691	1.878	1.323	1.523	1.914	0.775	1.404	1.183	1.606	1.196	-1.057	2.561	2.249	2.913	3.122	-1.393	2.618	1.694	-1.746	3.158	3.233	2.21	2.444	-2.154	-2.149	-2.623	-2.238	-1.802	2.72	3.95	4.176	2.268	3.382	3.895	-1.437	-1.003	1.388	1.128	-0.763	-0.755	5.319	4.395	-0.755	-1.013	4.573	4.627	4.033	4.789	-0.708	-2.323	4.201	5.002	2.775	3.432	2.457	1.421	1.698	3.963	2.022	1.53	1.952	3.029	2.538	2.601	-2.547	-1.182	-4.656	-1.067	-0.955	-3.226	-1.793	-2.28	-1.718	-2.047	-1.935
"YIL101C"	3.5095	4.1215	4.271	NaN	3.439	2.3495	1.3245	3.398	3.9075	3.7695	-1.848	-1.0	-0.918	-1.503	-3.059	-2.717	1.783	-0.88	-1.528	-2.229	1.935	2.836	2.507	2.83	4.085	3.455	3.613	3.609	3.977	2.863	2.302	3.241	2.324	2.418	-0.453	1.742	2.114	3.227	2.8	-0.897	2.172	2.598	0.133	0.842	2.523	1.829	1.587	-4.248	0.131	-2.263	0.69	-0.839	1.93	2.166	1.643	1.053	1.652	1.944	-1.433	-2.737	1.851	3.301	-1.952	-0.794	4.3735	0.455	-0.739	-0.057	0.619	1.234	0.661	0.435	-1.441	-0.417	0.7605	0.366	0.716	0.237	1.3765	1.809	1.642	2.0685	1.6855	1.1155	1.2415	1.032	0.991	0.345	-0.162	-1.2555	-2.4735	-0.849	-0.93	-3.5025	-1.342	-1.26	-1.1785	-1.49	-3.606
"YIL136W"	2.6195	4.318	2.297	4.81	4.5115	1.479	2.249	3.5705	4.093	3.794	-1.978	-2.4	-3.161	-2.886	-2.354	-1.294	1.621	-0.893	-2.114	-1.991	2.451	3.611	3.364	3.375	5.349	6.184	4.276	6.125	3.55	3.821	3.374	3.633	3.895	4.339	-1.931	3.382	3.27	2.773	3.387	-3.075	3.914	2.318	-0.911	2.624	2.974	2.82	3.293	-1.574	-0.939	-0.423	-0.993	-1.341	3.068	3.701	3.756	2.993	3.409	3.592	-1.0	-1.237	0.836	5.48	-3.359	-3.104	3.8555	3.77	1.543	-2.388	3.589	3.99	3.268	4.282	-2.153	-0.379	3.01	3.125	1.974	2.176	5.402	5.624	5.235	5.469	5.356	5.332	4.327	3.858	4.147	4.429	-3.292	-2.123	-2.63	-1.693	-0.397	-1.414	-0.216	-1.02	-1.545	-2.451	-1.196
"YJL066C"	1.313	2.291	2.484	1.324	2.363	1.68	0.9545	2.0645	2.2855	2.4895	-1.509	-0.862	-0.697	-1.142	-1.762	-1.527	0.919	-0.393	-0.559	-0.286	1.424	1.725	1.585	1.647	3.176	3.323	3.479	2.755	2.79	3.462	1.057	1.801	1.811	1.934	-0.81	2.344	1.306	2.029	2.063	-0.278	0.84	1.048	-0.779	1.816	1.578	1.335	1.543	-2.76	-0.695	-0.656	-2.181	-1.146	1.574	1.874	1.89	1.186	1.424	1.574	-0.977	-0.771	1.162	2.401	-0.669	0.344	2.9045	1.799	-0.287	0.751	1.995	0.405	1.121	0.729	-0.424	-1.432	1.28	1.4	1.878	1.842	2.893	2.947	1.997	4.144	3.6	3.185	2.863	1.902	1.467	3.058	0.013	0.535	-1.688	-0.985	-0.848	1.059	-1.157	-2.29	-0.83	-1.119	0.021
"YJL144W"	3.989	4.0045	2.9145	2.94	2.5985	1.4755	1.969	2.475	3.4435	2.1655	-2.619	-0.1	-0.107	-0.474	-2.548	-3.174	1.577	-1.585	-1.74	-1.803	2.339	1.935	2.278	0.623	4.935	3.766	2.14	4.151	4.162	3.518	2.84	5.309	4.735	3.735	0.037	0.959	0.515	1.084	1.495	-0.343	2.422	1.574	-0.121	1.146	2.385	2.007	1.324	-0.215	-0.153	-0.494	0.178	0.012	3.423	2.89	2.834	3.303	2.987	2.508	-1.766	-1.431	1.681	3.004	0.626	-0.461	3.173	2.657	-0.932	-1.679	3.162	1.354	2.333	2.062	-0.483	-1.237	2.963	1.677	1.207	0.452	1.312	2.687	3.289	3.485	2.601	1.246	1.852	1.918	2.539	1.507	-1.445	-1.61	-2.904	-1.954	-2.357	-1.301	-1.545	-0.859	-1.294	-1.041	-0.299
"YJL161W"	1.0575	3.198	3.34	3.39	3.0215	1.284	1.9675	2.924	2.9465	2.6305	-2.0	-0.263	-0.415	0.263	-1.791	-1.885	1.56	-0.708	-1.383	-0.941	1.731	2.506	2.738	2.987	4.563	3.611	3.93	3.112	3.653	3.361	2.695	2.941	2.121	2.448	-0.281	3.842	2.787	3.222	3.992	-1.272	2.18	2.331	-0.829	1.712	2.51	1.344	2.413	-2.329	-1.423	-1.236	-1.311	-0.873	1.761	2.317	2.208	1.276	1.53	2.172	1.807	-1.3	1.854	3.213	-0.444	-0.72	3.716	3.069	-1.159	-0.812	2.959	3.742	2.787	2.882	-0.759	-1.772	2.201	3.191	2.158	1.714	3.856	2.853	2.924	4.871	3.407	2.38	2.76	2.625	3.2	2.271	-2.361	-3.511	-2.264	-1.572	-2.211	-4.171	-1.069	-1.114	0.374	-2.988	-2.448
"YJL164C"	0.965	2.1985	3.007	-0.121	2.5085	1.8445	1.16	2.594	3.178	2.788	-1.45	-0.485	0.646	-0.812	-1.546	-1.656	1.305	-0.67	-0.371	-0.152	1.956	2.135	1.957	1.707	2.713	2.389	2.642	3.115	3.387	3.53	2.268	1.602	2.024	1.678	-0.509	1.968	2.744	2.975	3.214	-0.925	1.887	1.674	-1.627	2.513	3.32	2.095	1.966	-2.013	-1.557	-1.274	-0.957	-0.531	2.635	2.616	2.669	2.55	3.102	2.783	-1.298	-0.991	1.727	1.964	-1.984	-0.91	3.0105	1.839	-0.984	-1.305	1.623	1.542	0.856	0.837	0.32	-1.967	1.983	2.22	2.103	2.184	0.558	1.278	0.941	1.499	1.742	0.986	2.348	1.661	1.916	1.986	-1.505	NaN	-0.382	-2.255	-3.003	-1.734	-1.881	-0.481	-1.494	-1.738	NaN
"YJR008W"	2.404	4.05	3.38	2.5185	2.6695	1.491	0.7225	2.33	2.81	2.208	-1.138	-0.819	-0.496	-0.896	-0.955	-1.563	1.315	-1.183	-0.329	-0.73	0.757	1.126	1.421	0.317	2.34	2.316	3.929	3.529	4.368	3.419	2.285	3.745	3.536	2.826	-0.258	3.467	3.586	3.187	3.699	-0.729	1.931	1.781	-0.341	1.015	1.838	1.049	1.051	-0.422	-0.717	-1.095	-0.769	-0.443	1.667	1.513	1.765	1.555	1.425	1.54	-1.115	-0.517	1.014	2.805	1.751	-1.569	2.806	2.174	-1.085	-2.106	2.487	2.264	2.514	2.029	-1.602	-1.728	1.566	2.387	1.541	1.154	3.648	3.265	2.533	3.072	3.435	2.523	3.297	2.472	2.944	2.809	-2.645	-0.944	-1.72	-1.128	-1.95	-0.95	-0.952	-1.13	-0.944	-0.738	-0.539
"YJR096W"	0.7805	2.743	3.153	3.5685	3.311	1.34	2.992	3.07	3.2195	3.4165	-1.251	-1.585	-0.322	-1.127	-1.357	-0.981	1.119	-0.136	-1.031	-1.02	1.492	2.648	2.827	3.0	5.037	3.379	3.713	3.638	3.572	3.478	2.856	3.16	2.524	1.951	-0.792	3.887	3.031	4.068	4.407	-1.27	3.067	1.771	-0.809	1.937	1.841	1.315	2.677	-0.84	-1.192	-1.493	-1.357	-1.285	1.156	1.931	2.208	1.411	1.935	1.934	-0.481	-0.758	1.503	2.59	-0.035	-0.86	3.707	2.467	-0.877	-1.412	2.535	2.197	1.08	0.896	-1.076	-0.043	1.008	2.099	1.271	2.093	4.119	3.857	2.962	3.463	3.161	2.762	3.428	2.94	2.989	3.516	NaN	NaN	-3.963	-2.139	-1.5	0.609	-2.205	-1.976	-1.303	-2.272	-2.354
"YKL085W"	0.905	2.143	2.516	2.6	2.611	1.579	1.299	1.578	2.557	2.992	-0.951	-2.016	-1.818	-1.445	-0.592	-0.957	1.096	-0.438	-0.759	-1.0	1.619	1.869	1.498	1.282	4.338	4.621	4.735	3.853	2.829	3.112	1.028	2.486	2.52	2.675	-0.563	3.733	3.587	2.72	2.135	-1.249	3.036	3.032	-1.005	1.188	1.53	1.531	1.627	-0.643	-0.662	-0.648	0.488	0.241	1.231	1.354	1.516	0.823	1.457	1.179	0.368	0.107	0.909	1.962	-1.357	-1.279	2.286	1.204	-0.058	-1.459	1.57	1.874	0.979	1.404	-0.986	-1.551	1.325	1.868	1.741	2.442	3.126	3.575	3.463	2.917	3.615	3.704	3.219	1.148	0.758	2.829	-0.98	-0.163	-0.745	-0.617	-1.011	-0.393	-1.224	-1.602	-0.561	-0.278	-0.019
"YKL091C"	2.103	3.351	4.009	3.776	3.851	2.35	2.444	2.683	3.567	3.623	NaN	-0.059	-0.28	-0.481	-1.63	-2.032	1.543	-1.09	-0.088	-0.315	1.543	2.351	2.383	2.135	5.27	3.548	3.187	3.034	2.301	2.535	2.75	3.109	3.432	2.619	-0.836	3.642	2.481	1.844	1.293	-1.04	2.02	1.42	-0.98	2.0	3.719	2.258	2.709	-1.622	-1.592	-1.493	-1.331	-0.901	2.482	3.059	3.309	2.427	3.042	3.043	-0.46	-0.215	0.892	1.133	-1.652	-1.268	3.699	2.411	-0.226	-1.49	2.836	3.123	3.564	3.452	-0.273	-0.787	2.005	3.205	2.553	2.597	3.707	2.805	1.478	4.146	3.248	2.188	2.104	3.353	3.336	3.186	-0.602	-0.803	-3.453	-0.915	-1.016	-0.269	-0.389	0.397	-0.538	-0.263	0.018
"YKL103C"	1.765	3.901	4.422	4.528	4.114	3.959	2.741	3.921	4.231	4.041	-2.622	-0.811	-0.992	-0.352	-2.465	-1.831	0.775	-0.445	0.378	-0.247	2.475	3.367	3.367	3.61	3.523	2.534	2.525	2.703	2.339	1.948	2.054	1.934	1.974	2.136	-1.643	2.163	2.298	1.921	1.524	-0.473	2.798	2.171	-1.213	2.513	2.137	1.333	2.175	-1.356	-2.107	-2.393	-2.579	-2.391	1.72	2.804	3.086	0.852	1.841	2.296	-1.763	-1.547	1.289	1.802	-0.171	-1.085	4.119	2.079	-0.729	-1.742	2.229	1.863	1.384	0.743	-1.259	-1.886	2.335	3.183	2.564	3.995	1.865	0.944	0.657	2.724	1.916	0.778	0.505	1.271	0.803	2.324	-0.854	-0.283	0.106	-1.961	-0.716	-0.452	-1.601	-0.228	-0.791	-1.216	-0.685
"YKL142W"	1.8	2.597	2.225	2.927	2.56	0.941	1.773	1.871	2.261	2.353	-1.025	-0.729	-0.668	-0.909	-1.301	-1.121	0.991	-0.853	-0.649	-0.683	1.667	2.219	2.01	1.725	3.233	2.644	2.721	2.479	2.263	1.216	1.764	2.587	2.258	2.224	-0.268	2.728	2.251	2.199	2.117	-0.545	2.75	1.653	-0.893	1.89	2.141	1.738	1.916	-1.769	-2.369	-1.864	-1.026	-0.825	2.33	3.086	3.506	0.939	1.829	1.524	-0.981	-1.086	1.024	1.641	-1.36	-0.257	2.572	2.285	-0.668	-1.25	2.507	2.071	2.49	2.447	-1.286	-0.47	2.523	2.578	2.178	4.128	2.839	2.99	1.508	2.695	1.44	2.108	1.502	2.223	2.529	2.627	-1.745	-1.748	-2.781	-1.789	-0.593	-0.201	-1.803	-0.394	-0.668	-0.762	-0.929
"YKL148C"	1.901	2.968	3.187	3.015	2.686	2.205	1.527	2.214	2.788	2.705	-1.655	-2.471	-2.303	-1.524	-1.608	-1.486	1.178	-0.368	-1.221	-1.805	1.388	1.067	1.04	0.726	4.34	5.409	4.444	4.55	3.513	3.419	1.165	2.584	2.311	2.666	-0.943	3.649	3.541	3.258	2.644	-1.112	2.339	2.498	-1.223	1.099	1.862	1.227	0.954	-1.009	-1.411	-0.898	-0.231	0.376	1.907	1.989	1.449	1.182	1.37	1.583	-0.782	-1.175	1.425	2.355	-2.494	-0.703	2.844	0.31	-0.403	-1.64	0.298	0.816	-0.209	2.305	-0.359	0.045	1.476	1.699	1.589	1.37	2.912	3.686	2.525	2.514	0.695	3.227	2.242	1.197	1.182	1.865	-1.813	-0.703	-1.611	0.73	-0.355	-1.644	-1.307	-0.793	-1.218	-0.981	-1.874
"YKL150W"	1.891	2.809	2.913	3.192	3.05	1.553	2.057	2.55	3.068	2.915	-1.028	-1.849	-1.52	-1.423	-1.13	-1.03	1.401	-0.531	-0.887	-0.334	1.577	2.049	1.842	1.692	3.989	3.734	3.947	3.273	3.283	2.136	1.556	1.844	1.457	1.741	-0.691	4.228	3.833	3.772	3.627	-1.145	1.937	1.859	-1.089	1.66	2.513	1.814	1.919	-0.918	-0.762	-0.857	-0.052	0.225	1.799	2.546	2.647	1.522	2.175	2.342	-0.807	-0.929	1.818	2.209	0.138	-1.044	2.857	1.898	-1.002	-2.275	2.161	3.16	2.889	3.827	-0.653	-1.883	1.699	2.259	1.645	2.22	2.7	3.344	2.601	4.12	3.616	3.503	2.794	2.029	1.351	3.112	-1.095	-0.502	-0.597	-0.366	0.71	-0.267	-0.935	-0.997	-0.645	-0.623	-0.064
"YKL151C"	1.97	3.971	4.653	4.894	4.533	3.431	2.748	3.849	4.45	4.63	-2.412	-0.726	-0.585	-0.617	-1.624	-2.162	1.515	-1.379	-1.588	-1.712	1.31	1.978	2.469	2.518	3.642	2.407	1.558	2.359	2.44	1.994	2.405	1.361	1.609	1.937	-1.431	0.711	0.543	2.184	1.108	-2.222	2.799	2.188	-0.932	1.833	2.972	1.48	1.694	-0.41	-0.459	-0.062	0.368	-0.285	1.652	2.498	2.582	1.567	2.276	2.615	-1.336	-1.237	1.704	NaN	-0.748	-0.399	4.996	1.701	-0.829	-0.982	1.407	2.035	1.691	2.673	-1.485	-0.909	1.93	2.694	2.443	2.025	3.213	2.768	3.047	3.988	2.909	2.395	3.103	2.981	3.558	3.47	-1.417	-0.835	-1.983	-2.665	-1.161	-1.37	-1.39	-0.11	-0.975	-2.836	-3.349
"YKR011C"	2.141	2.771	2.754	3.134	3.114	1.518	2.057	2.849	3.092	2.411	-1.308	-0.539	-0.261	-0.575	-1.181	-1.558	1.388	-0.994	-0.687	-1.063	1.911	2.145	2.022	1.483	2.562	2.038	2.023	1.961	2.108	1.271	1.707	2.381	2.063	1.214	-0.388	1.075	1.505	1.11	1.068	-0.536	1.137	0.554	-0.646	0.898	2.477	1.557	1.148	-0.882	-1.064	-0.92	-0.735	-0.74	2.375	2.968	2.696	2.134	2.517	2.312	-1.436	-0.785	0.838	0.84	-2.138	-1.634	2.868	2.944	-0.098	-0.939	3.112	1.898	2.361	1.712	-0.096	0.094	2.879	2.828	2.342	2.451	1.171	1.202	1.42	2.508	1.325	1.42	1.302	0.324	0.457	0.592	-1.31	0.572	-0.654	-1.131	-1.582	-0.156	-2.205	-0.855	-0.679	-0.278	-0.2
"YLL026W"	4.733	5.272	5.873	2.796	5.276	3.557	2.555	5.224	6.223	6.124	-3.645	-0.482	-0.782	-0.578	-4.06	-4.033	2.389	-2.191	-1.588	-1.277	2.93	3.233	2.62	2.17	3.789	3.318	2.917	2.8	2.887	3.319	2.026	3.16	3.181	2.767	-0.868	3.64	3.126	3.535	3.999	-0.553	2.506	3.102	-0.916	3.393	2.93	3.262	3.161	-2.672	-4.114	-3.812	-4.209	-3.24	2.495	2.676	2.481	2.286	2.702	2.804	-0.967	-1.728	0.887	2.972	-1.728	0.64	5.928	2.551	-0.654	-1.727	2.63	2.908	2.684	2.886	-1.869	-2.608	7.05	6.217	4.684	4.322	4.399	3.831	3.746	5.223	4.61	3.371	4.068	3.776	3.717	3.085	-2.024	-1.295	-3.718	-1.996	-1.816	-3.532	-1.503	-1.018	-1.992	-1.67	-1.015
"YLR149C"	2.798	3.684	4.616	4.115	4.196	2.173	2.764	3.715	4.069	3.872	-3.273	-1.322	-1.632	-1.0	-3.161	-1.939	1.445	-1.789	-1.345	-1.174	1.742	2.478	1.922	2.187	4.105	3.465	3.717	3.85	3.986	3.387	2.715	3.839	3.078	3.191	-1.018	4.749	3.585	4.206	4.313	-1.783	3.172	3.392	-0.872	2.089	2.949	2.18	2.511	-0.512	-0.462	-0.477	-1.417	-0.613	2.647	2.93	2.4	1.68	2.382	2.61	-1.816	-2.525	1.56	3.396	-0.936	-1.94	4.23	1.083	-0.247	-1.04	1.203	2.648	0.14	-1.672	-0.605	-2.159	3.629	3.532	2.634	2.317	4.245	3.572	3.263	4.717	4.271	2.991	3.931	2.879	3.795	3.177	-1.22	-1.674	-1.267	-2.27	-3.132	-2.296	-2.07	-1.538	-1.202	-0.572	-1.053
"YLR177W"	2.6625	2.8735	3.3095	1.4025	2.643	1.001	0.9175	2.3305	3.1295	2.898	-2.1605	-0.216	-0.7575	-0.0035	-1.8755	-1.028	1.01	-1.0645	0.222	-0.331	1.0265	1.8205	1.346	0.9945	1.7235	0.9465	0.4595	0.901	0.77	0.3595	1.164	2.079	2.2765	1.9135	-0.587	0.608	0.605	0.7545	0.934	-0.3465	-0.113	0.279	-0.081	0.7625	2.8865	0.789	0.451	-0.474	-0.33	-0.396	-0.103	-0.191	2.308	2.21	1.2385	1.7975	2.389	1.895	-0.468	-0.7015	0.4755	1.064	-1.125	-1.6325	3.1335	1.121	-0.359	-1.491	1.2425	2.2345	2.3195	1.916	-0.538	-0.638	3.122	3.163	2.146	3.156	1.244	1.235	1.845	3.171	2.094	1.505	2.555	1.298	1.063	1.893	-0.693	-0.642	-1.922	-1.983	-0.909	-2.121	-1.894	-0.604	-0.626	-1.214	-2.407
"YLR178C"	3.089	5.463	6.029	-1.924	5.987	4.932	3.824	5.265	6.066	5.98	-4.062	-0.905	-1.358	-1.453	-4.26	-3.099	1.398	-1.51	-2.116	-1.04	2.674	4.583	3.987	4.18	5.949	5.421	4.881	5.219	4.399	4.93	3.949	3.516	3.832	3.455	-1.816	3.6	2.231	2.561	2.885	-2.233	3.177	2.411	-1.56	3.694	3.899	2.351	3.723	-0.873	-1.463	-1.283	-0.872	-2.41	3.187	4.242	4.453	2.758	3.766	4.028	-2.014	-2.416	2.276	4.248	-2.075	-1.879	6.29	4.616	-1.764	-2.742	4.484	NaN	6.734	2.862	-2.485	-2.323	3.297	4.402	3.913	4.754	5.407	4.372	3.242	5.3	4.727	3.457	3.71	5.256	5.052	4.833	-3.477	-3.823	-3.683	-2.289	-1.448	-5.151	-2.767	-2.376	-2.715	-5.255	-2.747
"YLR251W"	2.091	3.436	3.829	3.267	3.611	1.665	2.099	2.862	3.682	3.696	-2.372	-0.585	-0.111	-0.07	-2.679	-1.765	1.46	-0.605	-1.159	-1.798	1.746	1.8	1.474	2.307	3.169	1.345	1.944	1.894	2.161	2.488	2.154	2.127	1.778	0.986	-0.888	2.36	1.9	2.558	2.535	-1.668	2.229	1.445	-1.344	1.809	3.53	1.643	1.672	-1.347	-1.237	-1.566	-1.216	-1.278	2.699	3.251	2.767	2.371	2.789	2.853	-1.082	-1.119	1.508	1.938	-1.731	1.122	4.136	3.255	-0.68	-0.089	3.449	2.741	2.182	1.972	-2.724	-2.082	2.137	1.438	0.998	2.533	1.305	1.483	2.28	2.615	1.701	1.291	2.096	2.123	2.426	2.431	-1.707	-1.071	-2.061	NaN	-0.541	-2.75	-2.971	-1.658	-1.136	-2.824	-2.855
"YLR252W"	2.151	3.536	3.483	3.141	2.704	1.238	2.289	2.656	3.133	3.23	-2.496	-0.222	-0.28	-0.115	-2.284	-1.811	1.367	-0.899	-1.694	-1.728	2.093	2.042	2.041	1.941	2.929	1.921	2.248	2.344	2.463	2.795	1.905	2.124	1.742	1.897	-0.778	1.93	1.877	2.159	2.546	-1.656	2.229	1.128	-0.805	1.585	3.707	1.8	1.64	-1.368	-1.318	-1.577	-1.371	-1.191	2.817	3.319	2.943	2.725	3.12	2.917	-1.158	-0.862	1.124	1.493	-2.126	-1.108	3.837	3.244	-0.07	-0.332	2.994	2.993	2.889	1.971	-1.452	-1.296	1.983	0.776	-0.155	1.859	1.494	1.475	0.721	3.058	2.007	0.934	1.55	0.962	2.319	2.018	-2.694	-0.043	-0.181	-1.43	0.248	-2.191	-0.829	-0.955	-0.636	-1.408	NaN
"YLR258W"	3.163	4.492	4.617	4.224	4.273	2.738	2.589	3.655	4.262	4.866	-2.434	-1.419	-1.067	-0.544	-2.894	-2.721	1.662	-1.278	-0.937	0.094	2.827	3.517	3.132	2.724	4.602	3.602	4.226	3.358	2.68	3.089	2.871	3.115	2.686	2.614	-1.119	5.214	4.198	3.429	3.18	-0.798	3.533	3.045	-1.8	2.771	2.986	2.186	2.051	-1.373	-2.464	-1.991	-2.615	-1.945	2.515	2.646	2.207	1.935	2.64	2.578	-0.771	-1.015	1.204	1.921	2.45	-1.034	4.686	1.722	-1.303	-2.194	1.292	2.483	0.601	2.642	-1.522	-2.143	4.484	3.754	2.37	3.876	3.968	3.416	2.076	5.121	3.888	3.318	2.343	2.693	3.295	3.499	-2.098	-0.768	-3.453	-2.295	-2.049	-2.357	-2.718	-0.472	-1.465	-1.387	-1.665
