	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"497.Heat Shock 000 minutes"	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"18418.2mM MD 170min"	"18424.2mM MD 055min"	"18428.2mM MD 030min"	"21654..24 mM H2O2- 275 minutes"	"21662..24 mM H2O2- 230 minutes"	"30773.Pomona/Brown Sir3x red"	"33780.delYPL230w_stationary_phase_7hours"
"YPL037C"	-0.103	-0.075	0.835	-0.462	-1.9235	-1.975	-2.12	-3.9955	-5.417	-2.148	-1.96	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	-0.106	0.411	-1.648	-0.148	0.147	0.462	-0.799	-0.488	0.134	-1.831
"YPL048W"	0.139	-0.054	0.13	-1.022	-0.9805	-1.6885	-1.898	-3.2175	-4.579	-1.4725	1.47	-0.653	-0.541	-1.113	-0.823	-1.535	-1.925	-2.183	0.123	0.073	0.099	-0.719	-0.247	-0.583	-0.322	0.341	0.438	0.125	-0.342
"YPL145C"	0.155	-0.08	0.288	-1.105	-1.104	-0.775	-0.5885	-1.659	-4.3865	-1.177	-0.903	-1.291	-0.778	-0.903	-0.913	-2.014	-2.71	-3.192	0.064	0.122	0.207	-0.878	0.089	0.631	0.803	0.108	-0.074	0.215	-1.949
"YPL186C"	-1.026	-1.563	-2.379	1.948	4.3765	4.288	4.8665	3.9855	4.699	3.066	2.4625	1.511	1.76	2.76	2.023	2.83	3.48	3.115	-0.387	0.206	-0.7	3.577	0.965	0.778	1.293	0.68	0.373	0.07	3.587
"YPL226W"	0.4335	0.4525	0.7565	-1.114	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.786	-2.922	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.1885	-0.0735	0.402	-1.7375	0.005	-0.941	0.308	-1.0195	-0.5235	0.2765	-3.004
"YPL237W"	-0.049	0.005	0.905	-0.439	-2.3465	-2.029	-2.27	-2.875	-5.7585	-1.8945	-2.2035	-2.288	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	0.067	0.071	0.133	-1.537	0.008	-0.653	0.296	0.516	0.372	-0.081	-1.455
"YPL241C"	0.113	0.236	0.239	-0.097	-1.3855	-0.814	-1.2335	-1.9285	-3.6825	-0.605	-1.5945	-0.921	-0.737	-0.924	-1.179	-1.429	-1.607	-1.54	0.327	-0.003	-0.041	-0.154	0.327	-0.637	-0.009	-0.463	-0.418	-0.164	-1.676
"YPL243W"	-0.165	-0.007	0.625	-0.823	-1.109	-1.456	-1.5805	-4.1455	-5.276	-1.315	-1.5105	-1.931	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.108	-0.062	0.102	-1.188	-0.044	-0.286	0.211	-1.391	-0.37	0.154	-1.503
"YPL273W"	-0.05	-0.022	0.8235	-1.52	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.69266666666667	-2.72566666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.302	0.0235	-0.034	-2.628	-1.811	-1.936	-0.054	-0.637	-0.382	0.282	-2.524
"YPR041W"	0.14	0.07	0.9545	-1.193	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.41033333333333	-2.291	-1.646	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.17	-0.1465	0.175	-1.977	-0.6	-0.818	-0.246	0.0765	-0.145	0.114	-2.708
"YPR048W"	0.109	0.03	0.566	-0.562	-1.435	-0.981	-1.3005	-2.8705	-3.8405	-0.126	-1.136	-1.553	-0.775	-0.663	-0.815	-1.405	-2.428	-1.555	0.072	-0.091	-0.06	-0.996	-0.303	1.099	-0.814	0.306	0.465	0.145	-1.888
"YPR118W"	-0.015	-0.096	1.07	-0.94	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.305	-2.577	-1.735	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.092	0.036	0.349	-1.794	0.186	-0.741	-0.153	-1.353	-0.466	0.177	-2.086
"YPR129W"	-0.38	-0.31	0.218	0.202	-0.8795	-1.3305	-1.0935	-1.8015	-6.025	-1.057	-0.8035	-1.021	-0.966	-1.085	-1.288	-1.298	-2.61	-2.139	-0.129	-0.391	-0.32	-0.88	-0.509	0.321	0.264	-0.551	-0.52	0.088	-0.673
"YPR145W"	0.689	0.683	0.948	-1.036	-1.9485	-2.5015	-0.508	-3.737	-5.02	-1.2765	-0.775	-2.229	-1.892	-2.228	-2.21	-3.369	-3.625	-3.498	0.354	-0.442	-0.24	-2.303	1.17	-0.741	0.199	-0.145	0.253	0.181	-1.807
"YPR150W"	-0.096	-0.512	-1.637	1.476	3.338	3.983	3.526	6.801	7.0395	3.446	4.025	1.618	2.319	2.101	2.954	4.069	3.943	3.963	-0.171	0.058	-0.19	2.612	0.474	0.066	1.026	-0.072	0.378	-0.635	2.891
