	"49.Elutriation2:Sample2:Time0.0hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30319.usv1("	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YLR448W"	-1.54	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-1.842	-3.425	-3.454	-3.179	-2.573	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-1.837	-1.818	0.011	-0.108	-0.044	-0.503	-0.576	-0.653	-0.387	-2.337	0.264	0.615	-3.788	-4.791	-4.505	-3.161	-3.636	0.476	0.416	0.738	0.38	0.184	0.307	0.462	0.513	0.485
"YLR462W"	-0.988	1.528	1.368	1.055	1.123	1.317	1.509	1.031	0.498	0.62	0.438	0.717	0.952	0.773	0.839	0.937	0.974	1.87	1.45	1.705	-0.246	0.417	0.033	0.188	0.395	0.081	0.114	0.018	0.183	0.607	-0.166	-0.435	-0.144	-0.297	-0.045	-0.152	-0.166	0.205	0.403	0.284	-0.067	-0.008	-0.04	0.196	-0.052	0.062
"YML008C"	-0.748	-2.795	-2.419	-1.034	-0.545	-0.575	-2.236	-4.23	-0.993	-1.558	-1.093	-1.94	-1.09	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	-0.576	-1.366	0.03	-0.059	-0.81	-0.648	-0.736	-0.595	-0.253	-1.469	-0.257	0.269	-2.808	-2.241	-2.487	-2.113	-3.059	0.234	0.359	0.587	-0.169	0.189	0.022	0.471	0.343	0.122
"YML024W"	NaN	-3.616	-3.535	-3.016	-2.718	-2.475	-3.285	-3.909	-1.809	-3.523	-3.666	-3.004	-3.408	-3.455	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	NaN	NaN	-0.183	-0.164	-0.409	-0.634	-0.519	-0.605	-0.914	-1.868	-0.23	0.11	-1.947	-2.891	-2.573	-1.907	-2.067	0.22	-0.26	-0.202	0.102	-0.028	0.151	0.381	-0.265	-0.297
"YML026C"	NaN	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-2.084	-3.779	-3.636	-3.131	-3.217	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	NaN	NaN	-0.067	-0.088	-0.421	-0.596	-0.699	-0.584	-0.991	-1.928	-0.393	-0.006	-3.396	-4.595	-3.765	-2.94	-3.307	-0.327	-0.273	-0.164	-0.168	-0.189	-0.169	0.148	0.238	-0.642
"YML054C"	1.726	5.268	4.128	4.968	3.708	3.294	3.21	5.243	4.231	3.189	2.688	2.632	2.284	5.255	3.649	3.305	3.486	5.295	3.394	2.05	2.606	3.39	-0.106	0.27	0.229	-0.011	0.023	0.142	-0.196	1.562	0.372	-0.548	5.343	5.314	4.811	2.678	3.017	0.227	0.086	-0.35	0.057	-0.098	-0.166	0.125	-0.161	0.418
"YMR020W"	0.889	1.567	1.352	1.257	1.741	1.222	1.838	0.753	1.307	1.365	0.74	1.604	1.292	0.149	0.918	0.858	0.645	0.585	0.945	1.102	0.193	-0.121	0.309	0.105	0.461	0.666	0.801	0.798	0.567	0.76	-0.041	-0.275	1.003	1.214	0.966	0.301	1.415	0.595	-0.067	-0.012	0.57	0.232	-0.135	0.049	-0.103	0.754
"YMR033W"	NaN	-0.915	-1.816	-1.259	-1.084	-1.434	-1.22	-3.063	-0.535	-1.114	-1.054	-1.514	-1.984	-1.647	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	NaN	NaN	-0.266	-0.174	0.045	-0.027	-0.127	-0.27	-0.422	-1.013	-0.126	0.746	-1.833	-1.181	-1.453	-1.284	-1.188	-0.516	0.061	0.049	-0.353	-0.488	-0.434	-0.265	-0.307	-0.145
"YMR040W"	1.295	2.537	2.09	2.466	1.83	2.801	2.746	2.675	1.204	0.515	1.564	1.642	1.629	2.034	1.656	2.174	2.714	2.027	2.608	2.208	1.035	1.531	0.12	-0.115	0.267	0.094	0.046	0.05	0.042	1.405	0.091	-0.202	1.221	1.037	1.555	0.579	1.823	0.307	0.114	-0.121	-0.258	-0.15	-0.26	-0.241	-0.209	0.227
"YMR041C"	0.29	2.698	2.004	2.832	2.978	2.929	2.621	3.076	1.775	2.112	1.896	1.753	1.758	2.527	2.599	1.92	2.51	2.402	2.04	1.155	0.862	0.622	0.255	0.53	0.468	0.576	0.542	0.939	0.871	0.72	0.006	0.061	0.902	1.59	2.577	0.799	1.99	0.273	-0.049	0.272	0.107	0.161	-0.19	-0.062	0.016	0.144
"YMR081C"	2.051	5.134	4.866	4.127	4.854	4.825	5.524	6.678	6.135	5.55	5.535	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	4.226	2.582	2.79	0.305	0.159	-0.135	-0.114	-0.175	-0.229	-0.369	4.371	0.276	-0.163	5.714	5.379	4.766	3.029	3.912	-0.953	-1.118	-0.831	-0.886	-0.248	-0.427	-0.246	-0.171	-0.56
"YMR084W"	NaN	2.577	2.349	2.016	1.921	2.936	2.192	2.202	3.133	2.005	0.872	2.416	1.744	1.124	0.862	1.3	1.206	1.553	1.804	1.05	NaN	NaN	0.13	0.075	0.268	0.31	0.511	0.145	0.101	0.652	0.324	-0.435	0.25	0.985	1.072	-0.073	0.912	0.131	-0.116	-0.075	-0.315	-0.127	-0.133	0.059	-0.264	0.34
"YMR090W"	1.286	4.168	3.054	3.581	3.593	4.013	4.32	4.104	2.465	2.556	2.982	2.424	-1.5	4.083	3.384	3.555	4.32	3.506	3.008	1.949	2.57	1.642	2.016	0.356	0.665	1.3	1.463	0.799	1.209	2.826	0.404	0.16	3.663	3.446	3.111	2.718	3.037	1.351	0.763	0.278	1.583	0.965	0.38	0.223	0.363	1.473
"YMR097C"	-0.768	1.407	1.089	0.906	-0.107	1.436	0.092	0.551	1.343	0.925	1.092	1.061	0.759	1.229	0.396	0.806	0.856	1.376	2.502	2.185	1.465	1.104	0.04	-0.237	0.364	0.195	0.123	0.054	-0.029	1.29	-0.557	0.073	1.26	1.475	1.279	1.172	0.29	0.082	0.52	0.453	-0.303	-0.167	-0.043	-0.172	-0.107	0.131
"YMR107W"	2.418	4.775	5.066	5.686	5.593	6.861	4.338	6.497	5.83	6.054	6.663	6.747	6.04	2.492	3.069	2.589	3.698	4.755	5.373	4.702	2.46	2.797	-0.109	-0.077	-0.269	0.015	-0.408	-0.217	-0.36	4.765	0.212	-0.621	5.68	4.73	5.59	4.421	5.462	-1.008	-1.308	-0.994	-0.021	-0.575	-0.552	-0.311	-0.25	-0.867
"YMR110C"	0.978	3.925	3.346	3.746	3.565	3.434	2.517	3.724	2.734	2.473	2.516	2.338	1.885	4.042	3.217	2.995	3.422	3.777	2.927	1.682	2.401	2.339	-0.312	0.525	0.253	0.437	0.777	0.786	0.909	2.645	0.119	-0.332	4.096	3.64	3.462	2.896	2.522	0.198	0.142	0.071	0.045	0.034	0.33	0.448	0.302	0.236
"YMR174C"	NaN	2.678	2.6485	3.0455	3.699	3.6805	3.611	3.5505	2.5985	2.959	2.7335	3.0985	2.8305	1.236	1.8525	2.3295	1.8395	2.9795	3.0215	2.842	NaN	NaN	0.038	0.401	0.2135	0.269	0.3305	0.47	0.394	2.665	0.394	-0.3775	2.554	2.6685	3.2015	1.914	2.776	0.342	-0.122	0.0425	0.953	0.536	-0.0165	-0.238	-0.2965	0.617
"YMR175W"	NaN	5.2865	5.624	5.018	6.2215	5.866	5.4325	5.448	3.9905	5.2745	6.0905	6.604	6.4745	3.0655	3.638	4.378	4.597	6.0275	6.34	5.682	NaN	NaN	-0.156	-0.1195	-0.018	0.2885	-0.274	-0.0635	0.0245	3.661	0.1085	-0.298	5.1555	3.6655	5.6325	4.27	5.027	0.2045	-0.332	-0.0915	0.6865	0.1805	-0.159	-0.1235	-0.0775	-0.1975
"YMR181C"	1.064	3.744	3.384	3.752	3.55	3.817	4.43	4.005	2.929	2.831	2.607	2.761	2.933	3.306	2.566	2.301	3.282	2.567	2.312	0.831	1.799	2.042	0.033	0.402	-0.102	0.053	0.392	0.668	0.735	2.3685	-0.096	-0.447	2.144	2.304	2.183	1.517	3.497	0.867	0.436	0.144	1.769	1.27	0.842	0.293	0.596	1.247
"YMR206W"	0.725	5.096	5.169	3.275	4.362	3.877	2.807	3.162	3.54	4.576	4.842	3.871	3.132	2.814	1.753	2.511	2.652	3.484	3.712	3.871	1.871	2.575	0.28	0.072	-0.03	0.034	0.054	0.41	0.27	3.1365	0.188	-0.071	5.044	5.241	5.047	3.103	4.036	-0.192	-0.159	0.0	-0.623	-0.192	-0.126	-0.508	-0.141	-0.18
"YMR242C"	-0.508	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-2.004	-3.832	-4.338	-3.636	-3.62	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-1.396	-1.611	0.442	-0.063	-0.223	-0.194	-0.368	-0.45	-0.333	-2.4615	-0.298	0.63	-3.141	-4.607	-3.588	-2.771	-3.856	-0.183	-0.152	0.17	0.031	-0.222	-0.086	0.168	0.193	-0.084
"YMR271C"	1.149	4.289	2.99	3.521	3.307	4.093	3.803	3.495	1.89	2.448	3.12	2.856	2.191	3.829	2.495	3.065	3.758	3.825	3.1	1.606	1.755	1.852	0.151	0.525	0.204	0.558	0.637	0.851	0.908	2.576	0.317	-0.04	2.473	2.63	2.408	1.052	1.194	-1.096	-0.584	0.099	-0.563	0.162	0.035	0.113	-0.095	-0.094
"YMR280C"	0.799	3.7995	1.909	1.25	0.0175	1.2795	1.7495	3.61	1.4535	0.7335	0.997	1.4545	0.3395	1.352	1.042	1.179	0.8585	2.368	2.349	2.0645	0.464	0.789	-0.123	0.112	0.1955	0.1125	-0.176	0.1245	0.177	1.665	0.169	-0.213	2.925	2.529	2.4	1.678	2.871	0.171	-0.226	0.165	-0.335	0.073	0.187	0.011	-0.055	-0.015
"YMR308C"	-1.163	-1.769	-1.565	-1.814	-1.324	-1.165	-1.375	-3.091	-1.985	-1.731	-1.443	-0.193	-1.36	-2.386	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	-1.468	-1.562	0.006	-0.209	-0.02	-0.505	-0.485	-0.395	-0.537	-1.504	-0.05	0.328	-1.811	-2.061	-1.659	-1.58	-1.477	-0.617	-0.096	-0.473	-0.743	-0.121	-0.176	-0.314	-0.289	-0.425
"YNL067W"	-0.63	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-1.822	-2.866	-3.241	-2.399	-0.037	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	-0.631	-1.956	0.53	0.112	-0.242	-0.21	-0.41	-0.505	-0.479	-1.5625	-0.166	0.398	-2.15	-3.107	-2.534	-2.013	-2.982	-0.156	-0.213	-0.291	-0.16	-0.145	0.011	0.02	0.13	-0.257
"YNL069C"	-0.986	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-1.785	-3.44	-3.85	-3.199	0.46	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	-1.037	-2.297	0.164	0.077	-0.2	-0.376	-0.505	-0.373	-0.484	-2.137	0.296	0.389	-3.131	-3.741	-3.469	-3.02	-3.775	0.162	-0.009	0.124	-0.011	0.061	-0.12	0.323	0.261	-0.036
"YNL096C"	-1.035	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-2.087	-3.331	-3.045	-2.761	-3.165	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-2.14	-2.19	-0.057	0.063	-0.43	-0.409	-0.607	-0.73	0.341	-2.8625	0.035	0.093	-2.764	-3.087	-3.372	-2.098	-2.779	0.089	0.123	0.253	0.182	-0.065	0.265	0.245	0.368	0.047
"YNL125C"	0.054	2.592	2.926	2.743	3.033	2.278	2.574	3.359	0.71	1.542	1.266	1.196	1.209	1.843	1.489	1.44	2.192	2.609	2.753	1.969	0.763	1.359	0.106	0.288	0.57	0.078	0.186	0.148	-0.122	1.689	0.439	-0.499	1.42	1.762	1.927	1.144	2.759	-0.409	-0.15	0.126	-0.192	-0.026	0.155	0.498	0.101	-0.292
"YNL132W"	-1.941	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-2.3	-3.285	-3.141	-2.521	-2.512	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-1.976	-1.988	-0.079	0.034	-1.488	-1.185	-1.068	-1.121	-1.335	-1.281	-0.384	0.482	-2.948	-3.989	-2.673	-2.3	-1.776	-0.608	-0.336	-0.28	-0.432	-0.01	-0.152	-0.272	-0.459	-0.711
"YNL162W"	-0.581	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-1.564	-2.86	-2.872	-2.421	-2.763	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.845	-1.624	-0.03	-0.294	-0.337	-0.431	-0.675	-0.814	-0.734	-1.852	0.007	0.476	-2.701	-3.916	-3.323	-2.825	-3.105	-0.532	-0.595	-0.359	-0.462	-0.532	-0.538	0.022	0.063	-0.75
"YNL178W"	-0.224	-4.244	-3.755	-3.785	-3.505	-1.857	-3.159	-4.338	-0.279	-3.239	-3.307	-3.272	-3.183	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	-0.772	-1.754	0.438	-0.352	-0.484	-0.549	-0.62	-0.629	-0.836	-2.479	0.006	0.153	-2.059	-2.548	-2.616	-2.364	-2.764	-0.011	-0.277	-0.087	-0.139	-0.126	0.021	0.244	-0.267	-0.002
"YNL194C"	1.873	5.233	3.747	3.657	4.22	4.536	1.713	2.735	4.334	3.832	4.294	4.149	3.902	2.091	1.95	3.047	2.686	3.657	4.385	4.243	4.147	3.796	0.057	0.101	0.066	0.253	0.052	0.425	0.504	3.6835	0.331	0.283	4.173	4.692	4.34	3.634	3.692	-1.69	-2.688	-0.367	-0.195	-0.749	-0.607	-0.415	-0.511	0.143
"YNL195C"	1.02	4.925	4.482	3.332	4.392	5.139	4.666	3.76	4.075	4.163	4.35	4.4	3.919	2.415	1.597	2.41	2.372	4.098	4.489	4.216	0.859	2.791	-0.145	0.013	0.022	0.052	0.427	0.498	0.545	4.8645	0.235	-0.206	5.316	4.625	5.372	4.191	4.489	0.31	-1.069	-0.215	0.591	0.137	0.494	-0.006	-0.414	0.235
"YNL223W"	1.184	2.732	2.157	2.221	2.465	2.269	2.643	2.323	1.626	1.524	1.265	1.291	1.189	2.324	1.642	1.911	2.195	1.917	2.141	1.362	0.966	1.181	-0.006	0.173	0.624	0.628	0.589	0.541	0.229	1.2815	-0.57	-0.227	0.667	1.485	1.367	0.151	1.156	0.01	0.012	-0.954	-0.118	0.084	0.23	-1.227	0.226	0.836
"YNL247W"	-1.549	-2.799	-1.535	-1.024	-1.064	-1.822	-1.928	-3.191	-1.645	-2.34	-2.065	-2.13	-2.019	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	-1.492	-1.791	-0.061	-0.388	-0.599	-0.409	-0.598	-0.655	-0.612	-1.655	-0.297	0.187	-2.246	-2.994	-2.147	-1.583	-1.551	0.033	0.329	0.007	-0.248	0.064	0.209	-0.034	0.088	0.187
"YNL301C"	-0.618	-2.992	-2.551	-2.514	-2.036	-1.241	-3.266	-5.123	-1.275	-2.943	-3.585	-3.098	-2.59	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	-1.872	-2.08	0.135	-0.277	-0.501	-0.582	-0.554	-0.465	-0.852	-2.232	0.188	0.141	-3.163	-4.02	-3.032	-2.764	-3.161	-0.33	-0.221	0.014	-0.145	-0.191	-0.066	0.235	0.265	-0.164
"YNL302C"	-0.303	-2.266	-2.265	-1.899	-2.1795	-1.762	-1.752	-2.1925	-1.0385	-2.3395	-2.4085	-1.6685	-1.9135	-2.3425	-1.4435	-1.1785	-1.181	-1.1605	-1.0695	-1.549	-1.122	-1.868	0.081	-0.16	-0.016	-0.181	-0.3965	-0.5655	-0.429	-2.291	-0.017	0.29	-3.25	-3.631	-3.426	-2.699	-2.943	-0.057	0.028	-0.005	0.071	-0.047	0.047	0.066	0.342	-0.113
"YNL313C"	-1.416	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-2.432	-3.129	-2.948	-1.668	-1.914	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	-1.598	-1.687	0.106	-0.24	-0.631	-0.508	-0.452	-0.348	-0.547	-1.051	0.304	0.525	-1.835	-3.85	-2.129	-1.672	-1.421	-0.872	-0.318	-0.408	-0.592	-0.53	-0.335	-0.507	-0.554	-0.67
"YOL044W"	0.475	1.045	0.306	0.234	0.755	1.867	1.103	2.251	2.0485	0.8825	1.101	1.059	1.9285	0.984	0.715	0.655	1.375	1.077	1.015	1.077	0.729	0.716	-0.231	-0.142	0.209	0.294	0.328	0.312	0.278	1.153	-0.034	-0.557	1.478	0.415	1.091	0.098	-0.098	-0.336	-0.511	-0.41	-0.304	-0.425	-0.293	-0.099	-0.262	-0.47
"YOL121C"	-0.754	-1.946	-2.3835	-2.652	-1.5685	1.1705	-0.516	-3.476	-2.127	-1.922	-1.2305	-1.7075	-2.994	-4.227	-2.02	-1.993	-2.307	-2.469	-2.67	-3.83	-1.429	-1.826	0.285	-0.199	-0.281	-0.196	-0.441	-0.518	-0.657	-2.133	0.023	0.702	-2.653	-3.465	-2.982	-2.546	-2.879	0.081	-0.134	-0.173	0.088	-0.068	-0.089	0.383	0.218	-0.153
"YOL138C"	0.114	-0.329	-0.4875	-0.5525	-0.632	2.293	0.907	-1.313	-0.5825	-0.606	0.524	-0.557	-0.696	0.547	0.298	0.349	0.62	0.38	-0.313	-0.445	0.704	0.985	-0.059	-0.007	0.145	0.103	-0.019	0.197	0.13	0.822	-0.087	-0.129	0.327	-0.015	0.408	0.146	0.024	0.001	0.286	-0.236	-0.315	-0.007	-0.116	-0.196	-0.311	-0.015
"YOR011W"	-0.307	1.0045	-0.266	-1.132	0.046	-0.424	0.254	1.177	-2.088	-0.912	-1.337	-0.806	-0.154	-0.477	-0.925	-0.648	-0.905	-1.038	-1.276	-1.212	0.088	0.338	-0.081	-0.256	0.021	0.175	-0.203	0.1	0.178	0.109	0.043	0.348	-1.08	-1.91	-1.055	-0.892	-0.826	-1.027	-0.851	0.147	-0.437	-0.312	-0.642	-0.3	0.115	-0.486
"YOR152C"	0.622	3.13	2.73	2.6355	2.7555	2.9555	3.1825	3.475	1.069	1.5555	1.336	1.4745	1.5545	3.121	2.083	1.874	1.565	2.547	2.341	1.885	0.836	1.437	0.01	0.529	0.27	0.181	0.409	0.609	0.171	1.61	-0.523	-0.611	1.481	1.012	1.643	0.677	1.495	0.901	0.572	0.317	0.548	0.131	-0.058	0.137	0.204	1.028
"YOR162C"	-0.419	1.0145	0.9035	1.603	1.1495	1.407	1.614	0.3205	1.0845	0.878	1.0955	0.9995	0.715	0.662	0.75	0.679	1.31	1.203	1.224	0.993	0.146	0.014	0.344	0.112	0.392	0.3	0.214	0.432	0.227	0.866	0.212	0.173	0.452	0.384	0.457	0.007	0.421	0.184	-0.083	-0.924	-0.155	-0.164	-0.012	0.054	0.411	0.235
"YOR206W"	-0.747	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-3.681	-1.049	-3.1625	-1.9445	-2.2495	-1.9925	-3.888	-2.026	-2.451	-2.637	-3.151	-3.692	-3.694	-1.092	-1.55	-0.2	-0.797	-1.225	-1.25	-1.25	-1.17	-1.234	-1.792	0.512	1.099	-2.539	-4.817	-2.585	-1.507	-2.379	-0.509	-0.047	-0.396	-0.224	-0.221	-0.285	-0.273	-0.393	-0.516
"YOR215C"	1.791	3.394	2.4755	3.208	2.6435	3.4105	3.054	3.035	2.579	2.4185	2.5175	1.95	2.273	2.731	2.998	3.231	3.475	3.205	2.693	1.79	3.984	3.319	0.037	0.045	-0.047	-0.087	-0.037	-0.131	-0.026	3.123	-0.223	-0.667	2.41	2.944	2.872	1.708	2.688	-0.331	-0.167	0.174	-0.015	-0.295	-0.201	-0.149	0.012	-0.365
"YOR220W"	2.546	3.7725	2.959	2.657	2.843	2.673	3.276	4.0665	3.0705	3.113	2.4945	2.2515	2.808	3.838	3.019	2.692	2.751	3.747	4.082	3.593	2.358	2.028	-0.504	1.048	0.834	0.523	0.582	0.75	0.593	1.74	-0.559	-0.69	2.91	2.732	3.108	2.117	2.411	1.459	0.331	0.154	1.384	0.218	0.109	-0.014	0.015	1.726
"YOR234C"	-0.896	-4.006	-3.3605	-2.805	-2.6575	-2.058	-1.908	-2.8745	-1.9865	-2.7115	-2.657	-2.407	-2.3945	-3.657	-1.912	-1.717	-1.324	-0.593	-0.648	-2.139	-1.669	-1.916	0.151	-0.187	-0.583	-0.509	-0.752	-0.658	-0.829	-1.288	0.168	0.486	-2.922	-4.032	-3.302	-2.445	-3.127	-0.595	-0.571	-0.425	-0.637	-0.526	-0.376	-0.251	-0.223	-0.572
"YOR245C"	0.958	1.8945	1.6625	1.65	1.202	1.82	1.1425	2.6965	0.6285	0.756	0.93	0.9265	0.359	2.229	1.574	1.551	2.141	2.495	2.346	2.372	1.111	1.528	-0.018	0.388	-0.074	0.08	-0.09	0.296	0.086	1.273	-0.231	-0.359	0.51	0.68	0.732	0.732	1.199	0.045	-0.037	0.032	-0.249	0.128	0.095	0.071	0.066	0.167
"YOR293W"	-0.637	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-2.2545	-3.442	-3.1085	-3.0195	-2.64	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	-1.359	-1.537	-0.036	-0.214	-0.637	-0.634	-0.696	-0.838	-0.791	-1.85	-0.543	0.168	-3.262	-3.853	-3.23	-2.89	-3.271	-0.446	-0.466	-0.132	-0.499	-0.339	-0.265	-0.279	-0.135	-0.548
"YOR312C"	-0.884	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-2.054	-2.99	-3.177	-3.0	-2.5975	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-1.537	-2.235	0.298	-0.056	-0.188	-0.394	-0.442	-0.573	-0.585	-1.883	-0.309	0.546	-3.433	-4.531	-3.454	-2.689	-2.886	-0.271	-0.366	-0.045	-0.38	-0.34	-0.355	-0.341	-0.045	-0.246
"YOR369C"	0.163	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-0.692	-3.0405	-3.6415	-3.752	-3.809	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	-0.582	-1.649	0.217	-0.511	-0.386	-0.509	-0.502	-0.619	-0.671	-2.309	-0.365	0.534	-2.395	-3.032	-3.003	-2.641	-3.203	0.003	-0.586	-0.466	-0.216	-0.187	-0.056	0.145	-0.094	-0.247
"YOR382W"	2.033	0.9895	2.8505	3.676	2.395	1.25	2.6685	3.4715	2.3445	2.3415	1.52	1.863	1.7135	4.299	3.668	3.02	3.594	4.28	3.568	2.151	1.004	0.508	0.174	0.162	2.03	2.213	2.722	2.199	2.918	0.827	0.315	-0.511	0.811	1.129	1.315	1.574	2.6	0.278	0.294	0.902	0.892	0.989	1.229	1.354	1.604	-0.025
"YOR389W"	-0.373	0.7005	1.365	1.0055	-0.0535	0.706	0.7365	0.609	0.635	-0.273	-0.079	0.491	0.301	1.411	0.399	1.07	0.666	1.574	1.339	1.442	1.252	1.381	-0.061	-0.006	0.038	0.141	-0.015	0.439	0.455	0.922	-0.054	0.175	0.457	0.321	0.582	0.022	0.9	0.169	-0.062	-0.568	-0.043	-0.114	-0.005	0.002	-0.275	0.223
"YPL050C"	-0.674	-1.673	-1.242	-0.8915	-1.0575	-1.3725	-1.293	-2.2165	-1.865	-1.6985	-1.5115	-1.9345	4.011	-1.498	-1.232	-1.195	-1.188	-1.143	-1.8	-1.614	-0.358	-0.65	-0.158	-0.381	-0.283	-0.181	-0.618	-0.54	-0.672	-0.945	-0.06	0.309	-1.635	-2.003	-1.757	-1.195	-1.724	-0.408	-0.177	-0.268	-0.464	-0.321	-0.188	-0.112	-0.07	-0.238
"YPL054W"	0.402	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.7285	4.3245	5.1485	4.589	0.651	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.839	2.322	0.201	0.626	0.237	0.116	0.179	1.044	0.039	4.457	-0.182	-0.811	3.262	2.927	3.741	3.176	4.439	0.057	0.127	-0.059	0.286	0.2	-0.15	0.397	0.452	0.684
"YPL057C"	1.42	2.419	1.9525	2.5335	2.288	2.0105	2.2905	2.9095	2.3175	2.1055	1.4065	1.4615	0.881	2.485	2.381	2.323	1.854	3.195	2.604	2.503	0.766	1.395	0.316	1.1	0.086	-0.259	-0.625	-0.369	-0.269	2.298	-0.081	0.077	1.494	1.57	2.012	1.008	0.863	0.466	-0.696	0.006	0.513	-0.574	-0.146	0.264	0.139	0.579
"YPL069C"	-0.461	-0.2485	-0.7065	-0.7635	-0.8855	-0.6415	-1.1035	-1.4025	-0.376	-0.664	-1.0035	-0.7795	-1.763	-0.714	-1.131	-0.585	-0.743	-1.401	-1.208	-2.032	0.025	-0.379	-0.275	-0.063	0.098	0.28	-0.165	0.146	0.089	-1.72	-0.24	0.26	-1.096	-0.523	-0.524	-0.626	-0.751	-0.425	-0.247	-0.347	-0.221	-0.4	-0.339	-0.35	-0.284	-0.502
"YPL079W"	-1.218	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-1.7255	-3.085	-3.172	-3.0255	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-1.078	-1.496	0.031	-0.257	-0.207	-0.207	-0.491	-0.759	-0.605	-1.673	-0.224	-0.129	-2.753	-3.573	-3.431	-2.725	-2.785	-0.249	-0.157	0.041	-0.302	-0.249	-0.32	0.042	0.251	-0.372
