	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"
"YLL041C"	1.441	2.552	2.665	2.419	2.605	1.414	0.959	1.578	1.933	2.775	2.977	1.796	0.981	0.27	0.019	1.626	1.077	0.713	0.595	0.036	-0.357	-0.213	4.794	5.323	5.655	5.102	4.997	4.796	5.281	1.219	2.48	2.342	2.74	2.712	2.855	4.827	4.436	3.693	3.746	4.25	4.703	3.334	-0.329	-0.023	2.67	2.991	NaN	-0.124	0.756	0.123	1.214	0.755	-0.485	-0.72	-0.018	0.665	-0.795	0.461	1.377	1.116	0.278	0.928	1.163	0.868	1.424	-0.717	-0.814	3.417	1.415	1.799	2.274	1.509	3.903	4.684	4.285	3.781	4.867	4.49	4.704	0.259	0.076	0.109	0.223	1.27	1.284	1.738	1.833	1.933	2.35	0.833	1.306
"YLR038C"	0.47	1.066	0.416	0.529	0.355	-0.412	0.004	0.751	0.11	0.478	0.269	1.468	0.282	0.232	0.1	0.764	0.555	0.003	-0.12	-0.191	-0.346	-0.295	2.334	3.06	3.644	2.917	2.446	2.258	1.139	0.423	1.631	1.558	1.943	1.743	1.632	2.849	2.58	2.437	2.519	2.403	1.712	0.964	-0.087	-0.449	1.138	1.83	0.03	-0.119	-0.227	-0.702	0.795	0.37	-0.147	0.125	-0.184	-0.179	-0.461	-0.836	-0.492	-0.447	-0.661	-0.552	-0.513	-0.275	0.221	-1.306	-1.416	1.856	1.249	1.764	0.71	0.02	2.593	3.805	3.545	1.645	2.985	3.373	3.427	-0.061	-0.169	-0.131	0.806	0.867	1.159	0.807	0.612	1.394	0.656	1.304	0.316
"YLR149C"	2.798	3.684	4.616	4.115	4.196	2.173	1.281	2.764	3.715	4.069	3.872	1.481	2.08	1.429	1.909	1.742	2.478	1.922	2.187	1.356	0.873	0.205	4.105	3.465	3.717	3.85	3.986	3.387	4.874	2.715	3.839	3.078	3.191	2.983	3.163	4.749	3.585	4.206	4.313	5.295	5.72	4.926	0.124	1.823	3.172	3.392	2.089	1.3	2.949	0.716	2.18	2.511	0.36	0.564	0.282	1.487	0.827	2.647	2.93	2.4	1.68	2.382	2.61	0.288	1.56	0.392	0.701	3.396	2.42	2.99	4.23	3.532	4.245	3.572	3.263	4.717	4.271	2.991	3.931	0.877	0.885	1.018	2.798	2.879	3.795	3.4	2.957	1.855	3.177	2.718	1.122
"YLR174W"	0.658	1.202	1.191	NaN	0.58	0.913	0.332	0.159	1.061	1.31	1.161	2.874	0.762	0.228	0.007	0.129	0.374	0.241	0.246	0.076	-0.076	-0.064	4.526	5.843	6.653	5.651	5.451	5.447	4.487	1.445	2.507	3.793	4.275	5.023	5.765	5.205	4.807	3.605	4.155	3.221	3.353	1.759	-0.129	0.342	1.654	3.768	0.633	0.992	1.599	0.301	0.564	0.598	0.427	0.228	-0.06	0.195	0.131	0.8	0.817	0.663	1.16	1.013	1.147	0.581	1.466	0.442	-0.025	2.778	2.207	2.065	2.225	0.143	0.917	5.021	4.133	0.607	4.301	4.563	2.849	-0.056	0.114	0.219	2.484	2.961	4.685	4.478	2.531	2.932	3.738	3.116	-0.315
"YLR193C"	0.632	1.331	1.013	1.071	0.885	0.447	0.031	0.679	0.322	0.996	0.939	0.352	0.473	0.463	0.291	0.565	0.438	0.587	0.69	0.464	0.269	0.047	1.755	1.818	1.825	1.378	0.758	0.098	1.759	0.58	1.388	0.986	1.35	1.105	0.674	1.851	0.639	0.99	1.153	1.554	1.251	0.888	-0.183	0.18	1.602	1.38	0.311	0.108	0.391	-0.45	0.414	0.143	0.142	0.232	-0.088	0.318	-0.316	0.129	0.098	-0.091	0.336	0.314	0.068	-0.222	-0.053	-0.346	-0.326	0.475	0.344	0.399	1.288	0.622	1.516	2.362	1.674	2.205	2.279	2.461	2.092	-0.149	0.04	-0.104	0.708	1.099	0.828	0.877	0.577	1.2	0.79	-1.212	-0.354
"YLR312C"	2.56	2.513	3.556	3.544	2.257	0.5	0.135	-0.49	1.469	1.793	1.485	1.801	0.083	1.737	0.945	0.877	1.064	0.655	-0.461	-0.455	-0.549	-0.586	4.821	5.627	6.446	5.561	5.97	4.818	6.051	1.361	3.422	3.545	2.674	4.286	4.34	4.955	5.214	4.896	5.569	6.764	7.043	6.406	-0.646	0.381	1.69	2.783	0.307	1.032	3.408	0.196	0.803	0.018	-0.202	-0.457	0.426	0.213	0.672	2.156	2.71	2.679	2.276	2.596	2.62	0.148	1.737	-0.438	-0.245	3.462	4.618	4.916	2.405	-0.414	3.148	4.818	3.267	4.18	4.667	4.284	4.571	0.295	0.149	0.319	1.238	1.443	2.931	2.954	1.693	2.095	2.334	1.073	0.838
"YLR395C"	0.668	1.14	0.736	0.89	0.643	0.482	0.094	0.679	0.407	0.832	0.885	0.692	0.187	0.13	0.152	0.889	0.573	0.082	0.308	0.099	0.082	-0.122	1.93	2.713	2.793	2.278	2.066	2.005	1.17	0.189	1.497	1.492	1.422	1.297	1.174	2.788	2.213	1.866	2.062	1.837	1.494	0.907	-0.494	-0.438	1.447	2.095	0.389	-0.36	-0.542	0.202	0.39	0.244	-0.374	-0.272	-0.176	0.07	-0.053	-1.049	-0.623	-0.562	-0.982	-0.894	-1.038	0.06	0.411	-0.925	-1.133	1.154	0.681	0.405	0.715	-0.03	2.189	3.275	2.806	0.94	2.407	2.411	1.027	0.02	-0.218	-0.223	0.511	0.995	0.783	1.02	0.79	1.515	0.888	0.745	0.532
"YML042W"	0.507	0.415	1.768	1.872	1.318	0.65	-0.262	0.622	0.718	1.38	1.322	2.306	1.166	0.267	0.686	0.185	0.169	0.934	0.128	0.193	0.35	0.123	5.257	5.951	5.954	6.053	5.694	5.292	4.94	0.764	2.873	3.592	2.989	2.529	1.465	4.969	5.064	3.866	4.298	3.56	3.618	2.209	0.304	1.177	1.772	2.581	0.306	0.307	1.155	0.527	0.382	0.3	0.014	0.485	0.312	1.568	0.596	0.759	1.053	1.152	0.383	0.408	0.98	0.415	1.0	-0.049	-0.027	2.684	2.403	1.957	2.41	1.381	4.904	3.574	3.605	3.546	3.933	3.265	3.97	0.196	-0.101	-0.087	2.003	3.367	5.058	4.894	1.511	1.71	1.69	3.033	0.863
"YML054C"	0.675	1.471	2.266	2.618	1.964	1.0	0.71	0.586	1.0	2.272	2.11	1.872	1.006	0.104	0.488	0.655	0.784	1.366	0.88	0.621	0.426	0.445	5.268	4.128	4.968	3.708	3.294	3.21	5.243	1.282	4.231	3.189	2.688	2.632	2.284	5.255	3.649	3.305	3.486	5.295	3.394	2.05	-0.302	1.36	2.606	3.39	1.079	0.273	1.739	0.018	0.681	1.105	-0.101	0.017	-0.106	0.965	-0.128	1.646	1.728	1.473	0.753	1.0	1.117	0.442	0.467	-0.527	-0.554	1.562	2.107	2.735	3.838	1.948	4.187	5.343	1.793	5.314	4.811	2.678	3.017	0.057	-0.098	-0.166	2.777	3.115	2.675	1.681	3.873	3.743	4.321	3.474	1.092
"YML120C"	1.979	1.871	2.437	2.272	2.279	1.44	0.559	1.48	1.757	2.479	2.268	0.854	0.121	0.145	0.395	1.256	1.049	0.988	0.287	0.215	0.095	0.063	4.463	4.703	3.899	3.539	2.94	2.906	1.502	1.73	3.147	3.023	2.869	2.314	2.415	2.363	2.533	2.223	1.538	1.51	2.385	1.501	-0.103	0.013	1.875	2.406	0.665	0.744	1.829	0.0	1.469	0.593	-0.104	-0.448	0.115	0.473	-0.349	1.876	1.93	1.054	1.544	1.579	1.416	0.397	1.465	-0.822	-0.907	-1.077	0.838	0.762	2.072	1.332	1.986	2.446	1.702	3.018	2.902	2.447	2.387	0.208	0.309	0.235	0.904	1.231	0.792	0.061	1.712	1.304	1.992	1.167	0.833
"YML128C"	3.379	5.766	6.859	6.417	6.4	3.943	2.248	4.821	5.43	4.736	4.769	2.114	3.297	2.986	4.196	3.127	4.797	5.261	5.152	4.473	2.929	1.727	4.497	4.007	4.229	5.074	4.836	3.562	4.442	3.999	4.137	4.28	4.369	3.614	3.473	4.504	4.485	4.304	5.155	4.581	5.793	4.808	0.717	3.771	3.828	3.824	4.68	1.618	4.48	1.787	2.96	3.892	2.806	2.729	0.555	3.962	0.347	3.249	3.623	4.151	2.778	3.393	3.76	0.878	2.646	1.14	0.91	0.407	3.79	3.922	5.297	4.573	5.111	4.729	4.503	5.91	5.407	3.945	5.151	1.905	1.594	1.427	4.155	4.994	4.05	3.327	3.745	3.524	3.891	4.364	2.897
"YMR081C"	1.053	2.043	1.638	1.345	0.696	0.122	0.055	0.455	0.796	1.351	1.75	0.727	-0.093	2.39	0.183	0.791	1.542	1.187	0.981	0.56	1.87	-0.012	5.134	4.866	4.127	4.854	4.825	5.524	6.678	1.08	6.135	5.55	5.535	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	4.226	0.037	-0.476	2.582	2.79	0.147	0.03	1.049	-0.377	0.324	-0.379	-0.393	-0.472	0.305	0.057	-0.354	0.599	0.557	0.25	0.322	0.255	0.177	0.274	0.445	-0.019	-0.313	4.371	3.016	3.007	2.226	0.985	6.135	5.714	4.436	5.379	4.766	3.029	3.912	-0.886	-0.248	-0.427	2.26	2.769	2.807	2.795	2.91	2.397	2.316	1.968	0.488
"YMR107W"	0.077	1.695	2.852	3.128	2.562	0.303	-0.5	0.086	1.082	2.503	2.073	1.557	1.708	-0.061	0.27	-0.283	0.924	1.728	1.265	0.567	-0.234	-0.395	4.775	5.066	5.686	5.593	6.861	4.338	6.497	1.36	5.83	6.054	6.663	6.747	6.04	2.492	3.069	2.589	3.698	4.755	5.373	4.702	0.679	1.442	2.46	2.797	-0.026	0.001	1.796	0.613	0.191	0.89	-0.2	-0.262	-0.109	2.011	-0.651	1.987	2.098	2.132	0.772	1.528	1.578	-0.245	2.229	-0.342	-0.435	4.765	2.587	2.245	3.527	1.63	5.704	5.68	5.268	4.73	5.59	4.421	5.462	-0.021	-0.575	-0.552	3.53	4.929	5.166	4.599	2.338	2.049	2.712	3.912	0.771
"YMR110C"	1.319	2.134	2.615	2.502	2.414	0.622	0.784	1.848	2.26	2.565	2.824	0.837	1.954	0.729	1.284	1.083	1.437	1.559	1.528	0.948	0.81	0.493	3.925	3.346	3.746	3.565	3.434	2.517	3.724	2.145	2.734	2.473	2.516	2.338	1.885	4.042	3.217	2.995	3.422	3.777	2.927	1.682	0.281	1.382	2.401	2.339	1.534	0.299	1.765	0.201	1.147	1.27	0.017	0.255	-0.312	1.762	0.001	1.252	1.966	1.767	1.239	1.879	2.022	-0.005	0.952	0.018	0.017	2.645	1.367	1.601	2.675	2.545	3.97	4.096	2.779	3.64	3.462	2.896	2.522	0.045	0.034	0.33	2.152	2.579	2.785	2.766	2.488	2.47	2.932	1.855	0.93
"YMR114C"	1.108	1.932	1.763	1.583	1.556	NaN	0.278	0.66	1.263	1.575	1.334	0.604	-0.113	0.044	0.077	0.25	0.52	0.579	0.457	0.186	0.226	0.221	2.727	2.543	2.068	3.029	2.847	2.327	4.1	1.71	2.302	2.095	2.582	2.58	2.319	1.821	1.024	2.032	2.343	3.614	3.555	3.502	-0.082	0.359	4.285	1.676	0.693	0.302	1.218	-0.173	0.755	0.545	0.124	0.225	0.124	0.429	-0.527	0.953	1.179	0.867	0.811	1.037	0.779	-0.196	0.795	0.154	0.242	1.879	1.207	1.404	1.643	0.782	2.623	2.896	2.416	2.454	2.753	2.047	2.229	-0.581	-0.618	-0.499	1.675	1.873	2.402	1.143	0.976	1.198	1.976	1.433	-0.47
"YMR135C"	1.217	0.996	1.475	1.486	1.525	0.566	0.426	0.398	0.884	1.542	1.226	0.642	-0.155	0.066	0.071	0.464	0.774	0.73	0.428	0.386	0.367	0.437	1.727	1.669	0.938	1.938	1.278	1.394	2.425	1.605	1.229	1.847	1.437	2.04	1.747	1.018	0.618	0.733	1.325	2.843	3.141	3.078	0.29	0.21	1.239	1.038	0.349	0.445	1.597	-0.28	0.524	0.329	0.046	-0.026	-0.116	0.158	-0.197	1.221	1.259	1.165	1.001	1.251	1.267	0.461	0.784	0.185	0.158	0.918	0.612	1.082	1.472	0.462	1.855	1.912	1.307	1.655	2.038	1.939	0.744	0.102	-0.093	0.166	0.73	1.511	2.049	0.797	-0.093	0.568	1.229	0.709	-0.169
"YMR175W"	2.646	3.928	1.9415	3.0925	2.83	1.5	0.3005	-0.84	1.585	0.5345	0.2925	2.5955	1.518	0.03	0.2695	0.0775	0.477	0.617	0.835	0.7435	0.524	-0.548	5.2865	5.624	5.018	6.2215	5.866	5.4325	5.448	1.5895	3.9905	5.2745	6.0905	6.604	6.4745	3.0655	3.638	4.378	4.597	6.0275	6.34	5.682	-0.4695	3.5575	NaN	NaN	0.8805	0.458	2.4265	0.0835	1.033	1.9945	1.6955	0.602	-0.156	3.029	0.0075	1.1555	2.1675	2.8565	1.3345	2.092	0.763	0.253	1.865	-0.291	-0.2655	3.661	3.602	2.2925	3.677	0.046	3.134	5.1555	4.892	3.6655	5.6325	4.27	5.027	0.6865	0.1805	-0.159	4.983	4.655	5.623	4.783	3.099	3.386	3.563	4.2195	0.9975
"YMR206W"	2.124	3.118	3.517	2.774	1.91	0.923	-0.072	0.644	1.115	1.678	1.726	1.33	NaN	0.369	0.246	0.339	0.897	0.953	0.444	0.163	-0.077	-0.522	5.096	5.169	3.275	4.362	3.877	2.807	3.162	2.55	3.54	4.576	4.842	3.871	3.132	2.814	1.753	2.511	2.652	3.484	3.712	3.871	-0.893	-0.079	1.871	2.575	-0.003	-0.134	0.472	0.236	0.012	0.106	-0.156	-0.353	0.28	0.182	-0.831	0.641	1.044	0.835	0.408	0.92	1.231	-0.158	0.941	-0.526	-0.779	3.1365	0.562	0.43	2.805	0.858	2.638	5.044	2.713	5.241	5.047	3.103	4.036	-0.623	-0.192	-0.126	2.251	2.396	2.997	1.744	3.437	3.644	2.77	1.052	0.21
"YMR256C"	0.465	1.935	0.706	0.869	0.759	0.014	0.189	0.994	0.881	1.095	1.248	0.796	0.436	-0.034	-0.186	0.924	0.591	0.241	0.043	-0.051	-0.068	-0.181	1.956	3.733	3.752	3.004	2.535	2.231	2.263	0.532	2.129	1.388	2.064	1.834	1.596	2.619	2.226	1.955	2.039	3.598	3.098	2.096	-0.258	0.146	NaN	NaN	0.437	0.032	-0.066	-0.392	1.015	0.468	-0.093	0.238	-0.228	0.406	-0.502	-0.392	0.062	0.24	-0.32	-0.121	-0.216	-0.429	0.067	-1.246	-0.722	1.843	1.701	1.387	1.387	-0.006	2.73	2.949	2.952	1.861	3.152	2.399	2.31	0.432	0.063	-0.06	0.358	0.844	1.115	1.061	-0.149	1.515	0.757	0.82	0.623
"YNL194C"	3.447	5.095	5.751	5.035	4.078	1.803	0.266	2.309	3.57	4.628	4.437	1.794	0.615	0.064	0.019	1.248	2.799	2.945	2.106	0.966	0.161	-0.059	5.233	3.747	3.657	4.22	4.536	1.713	2.735	2.151	4.334	3.832	4.294	4.149	3.902	2.091	1.95	3.047	2.686	3.657	4.385	4.243	0.159	1.322	4.147	3.796	1.479	0.714	4.434	0.641	2.994	2.256	-0.361	-0.11	0.057	2.295	0.365	3.28	3.68	2.673	2.008	3.187	3.576	0.219	0.883	-0.258	-0.436	3.6835	0.748	0.507	5.952	3.456	4.012	4.173	4.168	4.692	4.34	3.634	3.692	-0.195	-0.749	-0.607	1.499	3.34	4.454	2.847	0.412	1.268	1.72	0.668	-0.469
"YNL195C"	2.712	4.117	4.678	4.181	3.81	NaN	0.811	0.881	1.953	2.014	2.055	2.437	-0.167	-0.05	-0.085	1.321	2.618	2.512	1.966	0.879	0.431	-0.176	4.925	4.482	3.332	4.392	5.139	4.666	3.76	3.192	4.075	4.163	4.35	4.4	3.919	2.415	1.597	2.41	2.372	4.098	4.489	4.216	0.265	0.426	0.859	2.791	3.052	0.59	4.202	0.521	3.375	2.339	0.416	0.552	-0.145	2.02	-0.126	3.054	4.083	3.862	1.459	3.081	3.564	0.499	1.175	-0.495	-0.372	4.8645	1.387	1.804	3.361	2.819	4.582	5.316	4.473	4.625	5.372	4.191	4.489	0.591	0.137	0.494	3.139	3.583	5.53	3.331	2.651	3.703	3.318	3.065	0.928
"YNL200C"	1.996	3.958	4.143	4.374	3.376	3.204	1.312	2.855	3.17	3.269	3.585	1.015	2.009	0.464	0.34	1.435	1.816	2.286	2.294	1.856	1.368	0.734	4.582	3.797	3.537	4.197	4.951	2.818	2.296	1.214	2.013	2.15	2.624	2.356	1.835	3.003	2.005	3.51	2.912	4.187	3.626	3.081	0.424	1.275	3.953	3.0	1.849	-0.183	1.313	0.308	1.182	1.662	0.421	0.409	0.018	2.328	-0.136	0.453	1.733	2.171	0.37	1.483	1.988	0.421	1.613	0.0	0.165	4.0445	1.845	1.558	4.124	1.738	4.514	4.524	3.391	4.527	4.165	3.064	3.548	0.806	0.246	0.52	2.591	2.914	3.367	2.505	2.392	3.19	2.592	2.131	1.393
"YNL237W"	0.536	2.047	2.66	0.678	1.746	1.153	0.799	0.082	1.28	2.231	2.365	1.921	1.058	0.093	0.469	0.372	0.63	0.516	0.539	0.232	0.434	0.296	2.908	2.738	3.066	2.427	2.484	2.386	2.376	1.152	0.855	1.081	1.479	1.448	1.373	3.489	2.884	2.871	2.949	2.902	2.38	1.751	0.325	1.318	0.787	0.907	0.735	-0.036	1.027	-0.362	0.674	1.192	0.584	0.366	-0.074	0.71	0.165	0.74	1.013	1.313	0.145	0.987	1.113	0.362	0.63	-0.271	-0.09	1.759	2.528	2.211	2.673	0.741	1.229	1.691	1.481	2.07	1.64	1.236	0.76	0.175	0.119	0.19	1.016	2.15	2.425	2.199	1.199	1.301	1.828	-0.065	0.115
"YNR002C"	1.351	3.157	3.999	3.28	1.509	0.904	0.13	1.188	2.301	2.855	2.921	1.929	1.149	0.099	0.226	0.703	1.473	2.246	1.286	0.328	0.233	0.056	3.522	3.679	4.1155	3.544	3.295	4.0245	4.399	1.168	2.168	1.8715	2.342	0.9535	1.804	2.865	4.327	3.175	1.676	5.416	5.477	4.078	-0.051	0.834	0.9	1.658	0.598	1.697	3.09	0.494	0.793	0.314	0.233	0.161	0.126	0.782	-0.097	1.978	2.116	1.423	1.392	1.687	1.314	0.41	0.799	0.024	-0.154	2.55	0.837	0.074	2.872	2.957	3.509	4.09	2.417	2.62	3.924	2.86	4.675	0.295	0.032	-0.202	0.804	2.496	3.464	3.085	0.697	1.933	1.231	2.606	0.197
"YOR019W"	1.025	2.287	2.544	2.773	1.799	1.355	0.585	0.89	1.649	2.388	2.222	0.585	1.195	0.682	1.515	0.39	0.852	0.883	0.913	0.773	0.778	-0.273	3.05	1.903	2.681	2.055	2.368	0.665	1.551	0.925	3.186	3.232	2.869	2.867	1.2665	4.246	3.292	3.589	3.136	3.549	3.51	3.174	-0.222	1.262	1.864	2.646	1.337	0.113	1.635	0.771	0.446	0.873	0.346	0.357	-0.145	1.191	0.576	1.613	2.174	1.407	0.699	0.697	1.195	-0.9285	1.375	0.322	-0.179	3.035	2.0	2.354	2.715	1.773	3.105	4.002	2.559	2.791	3.264	2.761	2.253	-0.43	-0.219	-0.717	0.72	2.482	5.461	6.538	0.789	1.875	0.845	2.231	-0.118
"YOR065W"	0.991	2.641	2.411	2.161	1.661	1.479	0.587	0.57	2.018	1.979	1.913	0.424	0.251	0.124	0.382	0.852	0.847	0.497	0.855	0.086	-0.128	-0.139	3.411	1.4535	3.3745	2.427	1.5945	1.538	1.238	0.903	1.4355	1.607	1.896	1.282	1.752	3.297	2.65	1.998	2.056	2.016	1.821	1.153	-0.682	-0.076	1.803	2.846	0.706	0.246	1.049	-0.369	1.013	0.766	-0.422	-0.103	-0.339	0.469	-0.55	0.801	1.109	1.051	0.184	0.974	0.883	-1.3145	0.617	-2.375	-2.401	2.044	0.191	-0.447	1.576	1.887	2.838	3.265	2.924	2.483	3.006	3.308	2.427	0.394	0.367	0.37	0.333	0.597	0.425	-0.286	1.144	1.748	1.156	0.719	0.052
"YOR100C"	1.341	2.582	2.64	2.395	1.901	1.14	0.829	1.141	1.778	1.643	1.35	0.885	0.626	0.073	-0.067	0.038	0.534	1.077	0.212	0.195	0.362	-0.313	2.5745	3.042	3.0	4.674	3.108	2.0975	2.225	1.005	1.6705	2.076	1.23	3.278	3.0865	3.743	3.88	2.802	3.605	4.227	4.288	3.467	-0.642	-0.103	1.93	2.625	0.093	0.874	1.548	-0.131	0.419	0.335	-0.237	0.387	0.267	0.69	-0.458	1.334	1.106	0.734	0.94	0.968	0.902	0.218	0.0	-0.725	-0.676	2.346	0.883	1.672	2.005	2.042	1.741	2.532	2.507	1.34	1.898	2.777	3.326	-0.026	-0.144	-0.322	0.755	3.511	5.38	5.22	-0.261	0.571	0.329	3.038	-0.722
"YOR215C"	0.27	1.166	1.161	NaN	1.458	-0.15	0.344	0.88	1.506	1.587	1.413	1.614	1.387	0.879	1.212	0.971	1.344	1.144	1.072	0.776	0.175	-0.006	3.394	2.4755	3.208	2.6435	3.4105	3.054	3.035	1.594	2.579	2.4185	2.5175	1.95	2.273	2.731	2.998	3.231	3.475	3.205	2.693	1.79	-0.024	0.804	3.984	3.319	0.78	-0.289	0.352	0.035	1.022	1.289	-0.878	0.486	0.037	0.984	-0.554	-0.224	0.66	0.977	0.092	0.571	0.669	-0.91	0.575	0.465	0.526	3.123	2.017	2.422	1.702	1.162	1.972	2.41	2.259	2.944	2.872	1.708	2.688	-0.015	-0.295	-0.201	2.119	2.215	2.4	1.599	1.22	2.012	1.597	2.529	0.4
"YOR228C"	0.472	1.345	1.372	0.517	0.932	0.032	-0.081	0.389	0.709	1.83	1.12	0.518	0.475	0.087	0.575	0.673	0.77	0.765	0.469	0.46	0.653	0.0	3.3105	2.6875	2.42	2.232	1.9255	2.4005	1.148	1.41	1.617	1.4945	1.547	1.1915	1.2085	4.0	2.58	1.844	2.244	1.683	1.828	1.13	-0.185	-0.014	1.12	1.175	0.612	0.094	1.096	-0.128	-0.372	0.568	NaN	-0.175	0.133	0.333	-0.091	1.063	1.063	0.625	0.602	0.787	0.918	-0.291	0.6295	0.118	0.055	1.21	0.457	1.281	1.368	0.307	1.566	1.587	0.561	2.326	2.13	0.722	1.012	0.459	0.326	0.55	1.143	1.417	1.777	1.639	1.223	1.484	0.918	0.948	0.135
"YPL054W"	2.064	2.401	2.358	1.739	1.607	0.708	0.619	0.396	1.379	1.508	0.766	1.771	0.423	0.353	0.53	1.982	2.818	1.67	1.771	0.993	0.526	0.27	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	3.3675	4.7285	4.3245	5.1485	4.589	0.651	5.006	4.065	4.256	4.91	5.184	5.018	3.449	-0.391	0.5	0.839	2.322	1.105	0.602	1.691	0.328	0.546	0.386	-0.393	-0.094	0.201	0.177	0.076	1.208	1.505	0.825	0.48	0.699	0.628	0.611	1.0725	-0.229	-0.21	4.457	4.26	4.568	1.832	1.058	3.025	3.262	2.468	2.927	3.741	3.176	4.439	0.286	0.2	-0.15	1.617	2.212	3.272	2.936	2.607	3.16	2.762	1.523	0.87
"YPL134C"	0.592	2.484	1.251	0.8	0.868	0.96	0.655	0.376	0.801	0.948	1.0	1.659	-0.19	0.024	0.233	0.3495	0.725	0.8305	0.8905	0.749	0.665	0.448	3.9795	5.404	5.113	4.7625	3.908	3.98	2.3145	1.313	2.6525	2.3025	2.5845	1.805	2.747	1.52	2.165	1.362	0.227	0.877	1.27	1.334	-0.263	-0.1	0.983	1.706	0.504	0.041	0.761	0.3	0.408	0.222	0.237	-0.012	0.316	0.316	-0.274	0.435	0.877	1.041	0.612	1.054	0.814	0.0535	0.9125	-0.041	-0.479	2.314	0.653	-0.213	1.113	0.873	2.122	3.316	2.763	2.188	3.624	3.62	3.406	-0.668	-0.52	-0.629	0.511	1.147	1.641	1.263	1.077	1.388	1.408	1.385	0.148
