	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1302.diauxic shift timecourse: 15.5 hr"	"1303.diauxic shift timecourse: 0 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"27101.P1Comp 07 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34347.wt_hypo_osmotic_shock_0min"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YNL069C"	1.134	0.991	0.906	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-3.44	-2.107	-2.509	-3.665	0.134	-0.048	0.216	0.005	0.012	0.167	-1.327	-0.424	0.311	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02	0.162	-1.852	0.547	0.432	0.474
"YNL119W"	1.189	1.033	0.844	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-3.359	-2.822	-2.843	-3.318	0.014	0.189	0.251	-0.011	-0.54	0.107	-1.853	0.084	0.576	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-0.765	-1.972	0.578	0.514	0.536
"YNL162W"	1.123	1.003	1.055	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.86	-1.742	-2.487	-3.468	-0.063	-0.276	-0.445	-0.352	-0.226	0.423	-2.304	0.246	0.656	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-0.532	-0.901	0.541	0.569	0.454
"YNL175C"	1.14	1.152	0.899	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-6.011	-2.575	-2.404	-3.809	-2.849	-0.738	0.262	0.064	-0.46	0.585	0.579	-2.87	-0.182	0.349	-0.8535	-1.5355	-1.0065	-2.5475	-1.882	-1.502	-0.1745	-0.823	-0.143	-0.077	-0.2
"YNL221C"	-0.331	0.141	0.046	-1.599	-1.208	-0.966	-0.606	-0.293	-0.375	-2.485	-3.396	-0.839	-0.896	-2.055	-1.934	-0.473	-0.151	-0.238	-0.281	-0.047	-0.116	-0.937	-0.187	-0.133	-0.845	-1.234	-1.253	-1.785	-1.583	-0.942	-0.345	-0.634	0.203	-0.002	0.127
"YNL248C"	1.117	1.227	1.182	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.866	-2.98	-3.902	-3.609	-0.41	0.275	0.284	-0.448	-0.372	0.826	-2.931	-0.359	0.36	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385	-0.129	-3.661	0.342	0.31	0.171
"YNL301C"	1.125	1.063	1.048	-2.992	-2.551	-2.514	-2.036	-1.241	-3.266	-5.123	-6.272	-2.943	-2.652	-2.985	-3.448	-0.32	0.276	0.161	-0.09	-0.001	0.227	-2.257	-0.168	0.038	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	-0.33	-1.771	0.683	0.711	0.613
"YNL302C"	0.265	1.061	0.8545	-2.266	-2.265	-1.899	-2.1795	-1.762	-1.752	-2.1925	-4.746	-2.3395	-1.1605	-1.0695	-1.549	0.366	0.715	0.279	0.247	0.126	0.432	-1.815	0.178	0.185	-4.107	-3.25	-2.449	-3.631	-3.426	-2.699	-0.057	-1.67	0.717	0.713	0.774
"YNR075W"	0.046	-0.433	-0.0565	-0.6535	-0.539	-0.2095	-0.3975	-0.7665	-0.638	-0.3305	-2.3245	-0.0655	0.81	0.124	-0.25	-0.968	0.189	-0.096	-0.216	0.057	-0.145	0.463	-0.257	-0.489	0.066	-0.8695	-1.4965	-0.81	-1.021	-1.001	-0.024	0.0915	-0.3305	-0.5905	-0.6485
"YOL006C"	0.131	0.024	-0.6985	-1.2725	-0.9525	-0.9185	-0.526	-0.206	-0.501	-1.364	-2.867	-0.9795	-1.562	-2.301	-2.095	-0.07	0.137	0.132	-0.156	0.041	0.192	-0.488	0.009	-0.265	-2.072	-2.323	-2.188	-3.244	-1.565	-1.324	-0.391	-0.024	0.356	0.338	0.259
"YOL021C"	0.668	0.757	0.344	-0.353	-1.049	0.1945	0.1075	-0.0775	0.0245	-1.2185	-1.766	-0.3245	-2.168	-2.518	-2.302	-0.53	-0.099	-0.508	-0.534	0.104	0.484	-1.512	-0.497	0.676	-1.7175	-1.9765	-1.943	-1.8355	-1.754	-1.3315	-0.624	-0.5415	-0.064	-0.1155	0.0085
"YOL039W"	0.917	1.044	1.1605	-0.9415	0.4395	0.183	-1.8	-0.399	-2.363	-2.068	-7.971	-0.1815	-2.476	-3.262	-3.256	0.233	0.115	0.02	0.168	-0.256	0.194	-1.044	-0.707	0.297	-3.167	-2.856	-2.746	-3.392	-3.542	-3.052	0.096	-1.381	0.866	0.934	0.716
"YOL040C"	0.975	1.057	0.9	-0.886	-3.313	-1.742	-1.998	-0.3965	-0.1425	-3.032	-6.413	-3.385	-2.028	-2.837	-3.657	-0.331	0.167	-0.229	-0.217	-0.087	-0.119	-1.655	0.007	0.826	-4.411	-3.555	-2.716	-3.746	-3.451	-2.823	0.379	-1.611	0.564	0.609	0.45
"YOL127W"	1.172	1.054	0.8155	-4.1025	-1.8795	-2.007	-3.156	-1.312	-1.0525	-1.335	-2.676	-1.0185	-1.546	-2.041	-3.172	0.137	0.247	0.035	-0.006	-0.275	-0.152	-2.573	-0.056	0.223	-3.393	-2.333	-2.293	-3.103	-2.261	-2.342	0.501	-1.577	0.576	0.662	0.713
"YOL141W"	0.667	0.467	0.273	-1.935	-0.7855	0.255	-0.603	-0.4725	-1.037	-0.0209999999999999	0.798	-1.444	-1.056	-1.843	-1.373	-1.386	-0.143	0.168	-0.872	-0.245	0.73	-0.434	-0.748	0.686	-1.469	-1.199	-2.44	-2.852	-1.52	-1.309	-0.386	-1.155	-0.63	-0.598	-0.637
"YOR026W"	0.564	0.398	0.16	-0.0475	-2.095	-0.9785	0.0735	-0.1265	0.158	-1.56	-3.005	-0.741	-1.398	-2.371	-2.132	-0.602	-0.016	0.177	0.016	0.216	0.289	0.269	-0.099	0.717	-0.631	-0.506	-0.948	-1.67	-0.798	-0.352	-0.723	-0.563	0.525	0.574	0.635
"YOR143C"	0.924	0.873	0.761	-1.3305	-1.258	-0.9805	-0.8235	-1.087	-0.9955	-1.9845	-2.7675	-0.608	-1.238	-1.659	-0.839	0.148	0.086	0.426	0.015	-0.501	-0.085	-1.327	-0.115	-0.499	-1.358	-1.59	-1.652	-1.73	-1.668	-1.2	-0.196	-1.131	0.665	0.585	0.658
"YOR197W"	0.485	0.262	0.0945	-1.8265	-0.664	-0.497	-1.0065	-1.1345	-1.492	-1.971	-3.178	-0.799	-1.165	-1.398	-1.64	-0.045	0.386	0.032	-0.426	0.274	0.421	-0.693	0.057	-0.405	-1.618	-1.408	-1.807	-1.578	-0.69	-1.05	0.101	0.414	0.157	-0.268	-0.207
"YOR233W"	0.482	0.493	0.481	-2.481	-1.647	-1.294	-1.205	-2.3215	-1.0315	-2.672	-3.781	-2.3125	-1.124	-0.919	-0.984	-0.372	-0.054	-0.23	-0.679	-0.184	-0.046	-1.472	-0.276	0.017	-2.549	-1.796	-1.787	-2.621	-1.978	-1.207	-0.596	-0.298	0.031	-0.123	0.017
"YOR243C"	1.203	1.139	1.2455	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-2.588	-2.865	-4.484	-3.863	-0.08	0.211	0.455	-0.26	-0.194	0.253	-1.855	-0.22	0.132	-1.759	-1.808	-1.803	-2.825	-2.065	-1.562	0.067	-1.862	-0.158	-0.131	0.04
"YOR254C"	0.5	0.296	0.314	-2.6515	-1.5795	-1.235	-1.406	-1.671	-1.5485	-2.192	-6.426	-2.053	-2.354	-2.689	-2.309	0.004	0.061	-0.304	0.002	-0.192	0.299	-0.521	-0.03	0.281	-2.166	-2.254	-1.27	-2.342	-2.212	-1.537	-0.304	-1.445	-0.384	-0.504	-0.281
"YOR287C"	1.303	0.905	0.848	-3.973	-1.9405	-1.3085	-1.2635	-0.8975	-1.385	-1.4075	-2.752	-2.833	-1.379	-1.621	-2.266	-0.145	0.051	0.149	-0.57	0.676	0.28	-1.65	0.151	-0.286	-2.365	-2.712	-1.181	-3.411	-1.923	-1.759	-0.88	-0.642	0.188	0.084	0.143
"YPL043W"	0.604	1.064	1.0935	-4.668	-2.8315	-2.8295	-2.0985	-2.036	-2.04	-2.4695	-3.79	-3.157	-1.995	-2.623	-2.739	-1.027	0.286	0.335	-0.995	-0.15	0.5	-2.192	-0.523	0.008	-3.093	-2.958	-2.833	-4.308	-2.784	-2.516	-0.106	-0.833	0.339	0.224	0.282
"YPL050C"	0.45	0.423	0.6185	-1.673	-1.242	-0.8915	-1.0575	-1.3725	-1.293	-2.2165	-4.275	-1.6985	-1.143	-1.8	-1.614	-0.015	0.016	0.104	-0.222	0.089	0.6	-1.016	-0.009	0.328	-2.307	-1.635	-1.108	-2.003	-1.757	-1.195	-0.408	-0.829	0.232	0.207	0.233
"YPL079W"	0.688	1.126	0.917	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.015	-3.498	-4.547	0.155	0.055	0.483	-0.123	-0.072	0.254	-2.442	-0.247	0.754	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-0.249	-1.449	0.573	0.499	0.511
"YPL090C"	0.955	0.871	0.9415	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.398	-3.292	-3.309	-4.719	0.307	0.321	0.456	0.4	-0.096	0.62	-2.36	-0.148	0.414	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-0.132	-1.747	0.512	0.472	0.476
"YPL142C"	1.023	1.2695	1.009	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.825	-2.148	-2.632	-2.979	-0.195	0.153	0.026	0.08	0.271	0.09	-1.706	-0.319	0.527	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	0.086	-1.359	1.041	0.954	0.869
"YPL146C"	0.904	0.994	0.8155	-2.239	-1.417	-1.1295	-1.693	-1.316	-1.1555	-2.869	-3.5085	-2.007	-2.424	-3.141	-3.062	-0.303	0.208	0.164	-0.197	0.117	0.431	-1.298	0.271	0.268	-2.508	-1.864	-1.48	-2.955	-2.098	-1.463	-0.594	-1.342	-0.097	0.019	-0.182
"YPL186C"	-2.379	-2.2015	-2.18	4.53	4.047	3.681	4.3765	4.288	4.8665	3.9855	4.699	3.634	2.83	3.48	3.115	0.497	-0.002	0.267	0.295	0.06	0.201	2.578	0.046	-0.076	3.028	3.716	3.007	3.997	3.587	1.863	-0.111	3.178	0.16	-0.738	-0.664
"YPL198W"	1.284	0.94	0.968	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-3.4825	-2.487	NaN	-3.133	-0.383	0.136	-0.058	-0.466	0.128	0.342	-1.92	-0.208	0.864	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	0.043	-2.0715	0.1385	0.203	0.1645
"YPL220W"	1.277	1.154	1.2	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-3.0375	-2.247	-2.571	-3.926	0.198	0.082	0.304	-0.21	-0.163	0.006	-2.179	-1.007	0.064	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-0.226	-1.471	0.617	0.551	0.676
"YPL256C"	0.682	0.7005	0.5595	-2.5575	-0.462	-0.2895	-0.42	-1.071	-0.7235	-2.0795	-3.624	-1.276	-1.257	-2.045	-2.444	-0.851	0.037	-0.527	-0.596	0.072	-0.011	-1.911	-0.777	0.076	-1.776	-1.1975	-2.2255	-2.28	-1.733	-1.0385	0.052	-0.322	-0.3595	-0.551	-0.3645
"YPL275W"	-0.521	-0.1265	0.76	1.9545	1.6225	0.664	2.383	1.219	-0.112	0.5165	2.568	0.0585	1.648	0.605	0.884	0.0	-0.125	-0.234	-0.314	-0.155	-0.03	NaN	-0.172	-0.2	0.898	0.906	1.029	0.463	0.573	-0.084	-0.084	0.411	0.06	-0.024	-0.046
"YPR019W"	-0.173	-0.367	-0.338	-0.869	0.0865	0.314	0.329	-0.025	0.1015	-1.7075	-3.1305	-0.0595	-1.349	-2.229	-1.945	-0.394	0.045	-0.583	-0.27	-0.026	-0.02	-0.664	-0.292	-0.297	-0.6265	-0.903	-0.593	-0.2345	-0.147	-0.059	-0.449	-0.38	-0.091	0.5635	0.569
"YPR021C"	-0.263	-0.6075	-0.5125	0.815	1.2025	1.411	1.0045	0.663	0.86	-0.7255	-2.3645	0.1975	-0.364	-1.419	-0.959	0.373	0.044	-0.117	0.48	-0.178	-0.231	1.079	0.023	0.59	-0.016	0.793	0.45	0.787	0.985	0.867	-0.292	0.786	-0.319	-0.226	-0.043
"YPR041W"	0.9545	0.966	0.728333333333333	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.403	-1.805	-1.8775	-2.441	-0.041	0.324	0.207	-0.02	-0.175	0.507	-1.4665	0.128	0.362	-3.035	-2.533	-1.793	-3.187	-2.708	-2.293	-0.727	-1.53	0.39	0.139	0.224
"YPR044C"	0.9015	0.928	0.892333333333333	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-4.76433333333333	-3.21966666666667	-1.2955	-1.702	-1.9615	-0.24	-0.319	-0.292	-0.294	0.187	0.078	-1.73	-0.497	0.435	-2.586	-2.282	-1.954	-2.862	-2.352	-2.43	0.11	-0.749	0.697	0.724	0.621
"YPR048W"	0.566	0.6465	0.7375	-2.418	-1.727	-1.4995	-1.435	-0.981	-1.3005	-2.8705	-3.8405	-1.898	-1.405	-2.428	-1.555	-0.388	0.161	0.402	-0.148	-0.159	0.323	-1.111	-0.223	0.059	-2.436	-1.723	-1.414	-2.631	-1.888	-1.43	-0.867	-1.084	0.078	0.004	0.14
"YPR060C"	0.26	0.5105	0.719	-3.5465	-3.094	-2.8645	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-2.107	-3.352	-2.894	-0.385	0.045	0.169	-0.463	-0.066	0.59	-0.962	0.401	0.63	-2.631	-1.945	-1.996	-2.784	-2.741	-2.38	-0.793	-0.863	0.359	0.658	0.589
"YPR102C"	1.367	1.2	1.1555	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-3.352	-3.749	-4.692	0.282	0.326	0.111	0.231	-0.151	0.527	-1.909	-0.043	1.051	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-0.344	-1.558	0.509	0.411	0.422
"YPR125W"	0.523	0.4665	0.188	-1.31	-0.8665	-0.342	0.4415	-0.6235	-0.68	-1.846	-4.04	-1.064	-1.108	-1.757	-2.566	-0.311	0.069	-0.41	-0.255	-0.264	-0.228	NaN	0.379	0.79	-1.254	-1.785	-1.286	-1.445	-2.16	-1.37	-0.033	-0.453	-0.5	-0.374	-0.433
"YPR132W"	1.079	1.0155	0.901	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-2.5895	-1.968	-2.388	-3.151	0.327	0.16	0.344	0.332	-0.019	0.4	-2.083	-0.047	0.906	-2.884	-2.466	-2.174	-2.903	-2.829	-2.063	-0.253	-1.437	0.513	0.539	0.497
"YPR163C"	1.032	1.048	1.063	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.5635	-2.642	-2.895	-2.82	-0.029	0.338	0.59	0.107	0.157	0.333	-1.276	-0.147	0.513	-3.506	-3.14	-1.955	-3.575	-2.873	-2.034	-0.29	-1.488	0.709	0.574	0.578
"YPR181C"	0.208	0.116	0.206	-0.1035	-0.464	-0.4365	-0.5595	-1.004	-0.7715	-2.057	-3.9085	-1.173	-0.902	-1.196	-1.542	0.027	0.024	0.044	0.216	-0.015	0.311	-1.621	-0.069	0.273	-0.942	-1.661	-1.35	-1.127	-1.641	-1.174	-0.212	-1.148	-0.539	-0.436	-0.194
