	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.2H.A9GH.01A.11R.A37I.31	TCGA.L5.A8NV.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BP.4988.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U3ZH.0526.SM.3DB75	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.VQ.A8E0.01A.11R.A414.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.4191.01A.02R.1131.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.QDVJ.1426.SM.48U1Y	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
MYO9A	86.43	73.54	199.85	68.07	85.82	121.79	117.6	54.33	34.02	42.11	77.79	81.71	77.25	97.36	94.67	108.9	161.02	169.07	175.07	162.14	100.83	293.07	267.73	271.48	130.6	77.79	129.69	72.52	144.01	125.24	211.31	88.26	215.77	21.94	10.88	16.75	25.54	19.25	10.79	8.13	15.91	12.93	11.64	29.06	23.08	17.77	3.99	38.67	15.91	77.25	14.56	24.28	54.33	215.77	343.89	129.69	141.02	212.78	89.51	178.77	108.14	40.64	69.52	130.6	111.99	151.22	92.7	73.03	191.67	124.37	114.36	127.89	220.32	75.64	153.34	90.77	63.45	153.34	75.11	43.94	100.13	115.97	72.01	112.77	118.43	111.21	202.66	127.0	67.59	109.66
MYSM1	133.36	143.01	94.67	65.26	120.94	147.06	269.6	141.02	108.9	159.9	336.79	111.99	152.28	241.19	289.02	256.78	260.38	299.25	273.37	246.28	232.94	417.77	466.88	387.02	232.94	229.72	406.31	241.19	249.73	297.17	334.46	156.59	423.61	19.53	25.54	39.79	29.06	64.8	44.57	50.27	56.28	35.76	41.52	45.21	37.85	34.51	28.65	85.22	66.18	78.89	25.35	39.5	101.54	65.72	265.87	136.19	99.43	165.57	143.01	341.51	234.57	237.86	141.02	177.53	339.14	262.2	193.01	66.18	214.27	205.5	490.14	231.32	420.68	61.25	299.25	325.29	91.41	255.0	325.29	81.14	133.36	175.07	86.43	116.78	218.79	90.14	109.66	109.66	111.21	118.43
NBPF10	291.04	341.51	529.06	674.59	1697.45	785.88	1059.11	248.0	429.54	148.09	395.18	346.29	212.78	543.96	412.0	366.09	493.56	656.11	753.83	389.72	780.44	441.64	802.41	638.15	532.74	325.29	514.56	226.54	555.41	567.1	651.58	389.72	954.43	10.0	289.02	191.67	108.14	417.77	170.25	181.28	214.27	80.57	209.84	273.37	159.9	106.63	99.43	122.64	159.9	144.01	91.41	193.01	0.0	0.96	1508.65	217.27	420.68	358.54	171.45	547.75	217.27	316.37	147.06	409.15	381.68	212.78	163.28	101.54	248.0	151.22	209.84	346.29	507.46	126.12	264.03	392.44	265.87	447.82	251.48	148.09	189.02	176.29	126.12	178.77	287.01	176.29	206.94	201.25	159.9	169.07
NBPF14	88.88	78.34	178.77	260.38	579.04	242.88	156.59	75.64	124.37	31.67	127.89	141.02	84.04	198.47	323.03	228.13	368.65	249.73	336.79	182.55	351.14	295.11	332.14	316.37	251.48	251.48	414.87	135.24	253.23	260.38	155.5	199.85	332.14	1.22	47.17	30.12	59.13	106.63	31.67	43.94	88.88	27.05	72.52	89.51	102.25	42.41	24.81	133.36	111.99	85.82	19.97	231.32	0.0	0.71	555.41	223.41	264.03	164.42	76.71	171.45	88.26	76.17	74.58	74.06	152.28	59.97	50.27	43.32	128.79	81.14	122.64	231.32	397.93	81.14	157.68	178.77	72.01	132.44	165.57	50.98	127.89	101.54	102.97	99.43	99.43	66.65	205.5	70.51	102.97	98.73
NKTR	169.07	121.79	271.48	271.48	307.69	669.92	638.15	567.1	363.56	381.68	1487.87	633.73	571.05	629.35	928.3	995.0	830.75	1378.57	1059.11	836.53	1225.22	1104.13	1594.73	1268.46	1378.57	703.28	1304.15	642.59	688.78	941.27	1051.79	612.11	1781.89	20.86	127.89	117.6	84.63	209.84	59.55	90.77	94.01	21.63	82.29	94.01	72.52	34.26	37.59	96.68	144.01	115.97	32.36	151.22	223.41	85.22	1008.9	195.72	183.82	234.57	285.03	988.12	669.92	426.57	277.2	447.82	808.0	684.02	444.72	226.54	624.99	392.44	764.36	878.17	2417.67	265.87	718.08	1216.75	309.83	780.44	514.56	221.86	255.0	356.05	273.37	187.71	638.15	287.01	713.11	358.54	303.44	368.65
NPFF	23.08	18.03	8.58	0.0	26.67	48.52	131.51	75.11	24.46	12.18	69.03	66.18	77.79	194.36	97.36	10.39	414.87	102.97	67.12	88.26	111.99	40.36	63.89	67.12	163.28	130.6	91.41	125.24	114.36	54.72	258.57	169.07	150.17	3.66	29.48	2.03	2.1	5.23	7.57	16.39	5.11	1.25	11.55	2.63	6.36	0.0	11.73	11.3	10.88	15.34	0.0	4.82	0.0	0.16	99.43	13.12	13.93	13.12	16.27	21.47	34.75	33.78	1.97	24.63	42.41	50.27	46.5	26.28	14.03	24.81	7.17	22.1	58.3	11.55	45.53	18.7	44.89	23.42	3.38	10.55	12.36	10.24	9.7	23.59	15.91	22.26	0.61	29.91	31.9	30.12
NPHP3	72.52	76.71	105.15	108.14	205.5	371.22	392.44	135.24	94.67	90.14	384.34	189.02	157.68	204.07	281.09	271.48	309.83	511.0	275.28	143.01	318.57	708.18	466.88	438.59	450.94	164.42	409.15	293.07	161.02	239.52	384.34	229.72	713.11	31.67	53.57	76.71	49.21	92.7	38.67	38.12	45.85	21.78	40.64	50.27	37.59	22.92	28.24	59.97	43.32	41.52	27.05	48.52	0.0	0.64	684.02	99.43	69.03	110.43	142.01	220.32	122.64	239.52	149.12	157.68	242.88	194.36	85.22	67.59	217.27	228.13	271.48	236.21	314.17	118.43	159.9	232.94	86.43	205.5	102.97	34.51	111.21	90.77	84.04	69.52	295.11	94.67	220.32	88.26	86.43	126.12
NPIPA1	507.46	332.14	316.37	417.77	941.27	1572.76	1437.15	1037.29	1081.39	651.58	3515.68	1551.09	1437.15	3168.41	2240.11	1819.35	2367.9	6516.03	1909.85	2367.9	2816.11	3768.09	4607.24	4239.45	3212.66	2163.77	2090.03	2400.97	1806.78	2032.85	2537.92	1127.35	3901.01	77.79	830.75	511.0	141.02	902.89	532.74	536.45	339.14	133.36	161.02	267.73	137.14	105.89	182.55	173.85	181.28	198.47	104.42	343.89	0.0	1.33	4152.18	624.99	258.57	583.07	1225.22	728.11	928.3	1008.9	493.56	480.04	890.44	974.5	808.0	376.41	1819.35	540.19	2104.58	1183.45	2956.17	406.31	1191.69	1388.16	884.29	915.51	1295.13	529.06	400.71	466.88	460.44	470.14	1023.0	297.17	665.29	237.86	607.87	417.77
NXF1	1467.37	836.53	769.69	890.44	1857.6	2485.67	2591.27	1487.87	1651.0	1259.69	2255.7	1457.23	2303.12	2573.36	1757.34	2997.45	2976.74	2384.37	1651.0	2335.28	2148.82	2032.85	1950.0	2520.38	1909.85	2163.77	2148.82	1427.22	1844.76	1583.71	2255.7	2032.85	2224.63	94.01	1477.58	1457.23	555.41	921.88	1437.15	1066.48	713.11	497.0	718.08	651.58	414.87	447.82	463.65	743.43	486.75	660.68	579.04	1104.13	0.0	0.95	3081.75	2047.0	728.11	1119.56	1119.56	1111.82	1909.85	1369.04	1104.13	1159.07	1870.53	2004.85	1447.15	860.08	1769.57	1268.46	2351.53	1388.16	1844.76	921.88	2075.59	1685.71	1143.1	954.43	1199.98	1286.18	1008.9	967.76	791.35	1096.5	2434.5	902.89	1167.14	743.43	928.3	1073.91
OGT	332.14	400.71	457.25	571.05	651.58	1088.92	819.3	825.0	1119.56	1268.46	3190.46	1467.37	1225.22	1508.65	1745.2	1844.76	2240.11	3190.46	2796.65	2047.0	1857.6	2485.67	3515.68	3665.02	2468.49	1313.23	2758.13	2434.5	1143.1	2047.0	2384.37	1167.14	4038.61	224.97	426.57	595.34	307.69	420.68	293.07	244.57	212.78	177.53	197.09	265.87	161.02	96.68	154.42	264.03	224.97	229.72	120.94	339.14	0.0	1.22	2609.3	860.08	599.49	518.15	688.78	1183.45	2004.85	1662.49	718.08	638.15	1427.22	1674.06	1037.29	638.15	1819.35	1561.89	2591.27	2224.63	1794.29	620.67	1721.16	1561.89	728.11	1135.2	2627.46	543.96	633.73	802.41	414.87	995.0	1870.53	764.36	1119.56	607.87	713.11	934.76
ORMDL1	961.07	607.87	518.15	651.58	1322.37	1936.53	1417.35	1745.2	1216.75	896.64	1674.06	1111.82	1066.48	1427.22	1388.16	1397.83	1594.73	1794.29	1104.13	1407.55	1594.73	1508.65	1378.57	1369.04	1407.55	1066.48	1277.29	1909.85	1208.34	1540.37	1870.53	1066.48	2224.63	353.59	785.88	819.3	785.88	961.07	981.29	1015.93	420.68	314.17	387.02	376.41	536.45	521.76	607.87	567.1	435.55	603.67	366.09	532.74	0.0	0.38	2119.22	563.18	435.55	559.28	1066.48	1331.57	1369.04	1407.55	1001.93	1111.82	1857.6	1594.73	1498.22	780.44	1322.37	1605.83	1697.45	1498.22	1529.73	583.07	1044.52	878.17	1081.39	1540.37	1183.45	825.0	642.59	1127.35	791.35	718.08	1268.46	915.51	563.18	775.05	642.59	842.36
PACRGL	189.02	186.4	153.34	124.37	312.0	251.48	525.39	171.45	289.02	228.13	493.56	281.09	255.0	295.11	215.77	291.04	241.19	220.32	277.2	215.77	299.25	303.44	223.41	251.48	239.52	136.19	277.2	220.32	223.41	293.07	237.86	187.71	289.02	228.13	78.34	124.37	72.52	178.77	125.24	60.39	68.07	47.17	60.39	72.01	103.69	100.83	86.43	137.14	72.52	105.89	53.95	40.93	0.0	0.39	497.0	234.57	309.83	435.55	90.14	281.09	260.38	88.26	262.2	136.19	262.2	264.03	273.37	193.01	665.29	242.88	406.31	301.33	460.44	126.12	277.2	279.14	131.51	267.73	185.11	120.94	211.31	287.01	229.72	161.02	217.27	249.73	158.79	211.31	165.57	223.41
PAN2	239.52	202.66	167.9	343.89	327.56	769.69	688.78	1259.69	575.03	438.59	1277.29	1088.92	620.67	1313.23	1378.57	713.11	1417.35	1119.56	878.17	1208.34	1467.37	1594.73	1295.13	1745.2	1498.22	1313.23	2075.59	1225.22	651.58	1662.49	1583.71	642.59	3515.68	50.27	392.44	429.54	525.39	733.19	175.07	406.31	518.15	444.72	441.64	595.34	356.05	161.02	351.14	466.88	366.09	397.93	249.73	836.53	0.0	1.06	1104.13	314.17	224.97	312.0	660.68	764.36	723.08	848.22	466.88	518.15	780.44	656.11	547.75	281.09	988.12	567.1	1498.22	769.69	1605.83	334.46	738.29	860.08	387.02	848.22	902.89	327.56	507.46	420.68	417.77	559.28	909.17	403.5	1167.14	341.51	723.08	473.41
PAXBP1	220.32	142.01	167.9	149.12	215.77	397.93	371.22	454.09	438.59	414.87	1059.11	403.5	392.44	688.78	575.03	638.15	521.76	775.05	802.41	638.15	583.07	529.06	723.08	909.17	775.05	376.41	470.14	688.78	389.72	595.34	536.45	409.15	579.04	35.0	117.6	120.1	102.97	185.11	64.34	93.35	127.0	39.22	105.89	90.14	90.77	60.82	59.13	173.85	112.77	198.47	26.86	165.57	0.0	0.95	603.67	239.52	318.57	223.41	246.28	432.53	500.46	265.87	256.78	251.48	802.41	248.0	454.09	198.47	476.71	361.04	525.39	454.09	450.94	147.06	579.04	400.71	176.29	518.15	791.35	153.34	132.44	241.19	176.29	139.07	435.55	175.07	323.03	178.77	197.09	229.72
PCDHB10	14.35	10.39	111.21	0.01	7.11	48.87	48.87	85.82	11.21	55.1	21.78	75.64	33.78	33.78	45.21	55.49	40.93	57.08	62.12	32.82	67.59	47.84	80.57	63.45	30.12	64.8	60.39	32.13	85.82	92.05	111.21	29.7	139.07	0.79	7.63	7.69	3.17	2.51	5.68	1.0	3.86	0.0	0.62	2.58	3.72	0.0	1.1	5.28	4.9	3.29	0.42	4.39	0.0	0.3	73.03	27.25	49.91	53.57	11.82	18.56	25.35	35.5	8.0	43.02	5.02	18.16	24.46	5.82	68.07	15.68	20.26	26.47	84.04	14.35	4.62	20.56	34.75	16.51	23.08	4.98	12.64	27.25	13.12	13.03	22.1	8.32	23.08	15.22	17.64	9.7
PCDHB11	6.21	1.83	49.21	0.4	1.14	273.37	125.24	5.15	1.99	3.29	9.27	17.38	4.06	9.56	27.84	47.5	19.11	18.03	51.35	10.16	31.9	35.25	24.28	12.36	9.63	30.56	26.86	18.29	57.08	45.53	21.01	10.47	51.35	0.0	6.06	2.05	2.51	1.93	2.12	1.62	0.51	0.48	1.0	2.34	2.97	0.74	0.09	5.02	3.26	2.18	2.66	3.59	0.0	0.24	19.11	28.24	78.34	32.13	4.24	17.77	18.16	55.1	4.62	17.38	12.64	14.03	17.64	3.82	260.38	2.94	6.73	60.82	20.86	10.79	1.64	43.32	6.84	4.82	7.0	1.83	8.58	13.42	2.16	9.78	4.28	5.92	11.47	6.67	13.12	4.54
PCDHB12	12.27	6.26	31.22	0.01	3.38	28.45	37.85	31.67	5.19	4.78	7.88	17.51	8.92	7.82	14.35	28.04	29.48	23.42	46.5	9.56	37.05	31.0	34.75	16.39	16.75	13.83	25.72	13.52	23.08	43.32	22.43	12.36	54.72	0.4	5.32	7.69	1.75	2.68	5.73	1.27	4.28	2.81	5.36	2.05	6.16	2.51	0.89	8.58	14.03	1.87	7.88	2.63	0.0	0.29	35.25	11.3	36.01	39.79	6.01	9.85	10.55	23.93	3.76	28.04	3.41	7.75	7.22	4.54	89.51	9.7	8.06	28.45	26.1	3.29	1.93	11.73	12.18	12.93	12.09	1.51	9.85	11.21	6.41	6.36	12.83	5.54	21.63	8.58	12.09	4.03
PCDHB16	10.0	0.93	135.24	0.0	10.88	24.99	98.04	60.39	2.92	2.89	11.82	57.89	18.7	16.03	11.47	45.85	39.79	30.34	85.22	41.81	108.14	27.44	24.63	13.83	13.83	34.75	21.78	10.79	47.84	77.25	43.63	13.72	81.71	1.95	8.65	7.17	4.1	2.32	7.11	1.28	5.41	1.89	4.31	5.59	4.54	10.0	8.85	8.85	21.63	10.63	0.27	2.48	0.0	0.36	150.17	4.21	26.1	57.49	13.22	53.19	14.14	33.06	4.1	59.97	7.57	11.38	3.99	4.43	100.83	15.8	10.16	80.57	65.72	12.36	2.48	31.9	21.01	30.78	140.04	3.47	5.45	15.45	7.0	4.7	14.24	5.82	13.52	13.52	19.68	9.56
PCDHB2	42.71	3.92	124.37	4.5	0.0	55.1	201.25	144.01	4.39	3.41	29.48	15.22	16.51	19.68	8.38	90.77	55.1	30.56	63.45	9.41	73.03	14.67	27.44	21.94	13.22	50.27	20.11	14.03	87.65	15.0	19.97	31.22	81.71	2.34	4.28	4.35	1.1	0.61	8.71	0.62	0.6	2.39	1.6	1.6	1.69	0.06	0.07	0.0	1.66	0.27	0.0	1.89	0.0	0.42	28.04	5.45	78.89	444.72	11.13	86.43	4.94	79.45	7.4	37.05	33.78	15.34	5.19	5.59	186.4	6.94	7.88	42.71	124.37	10.96	4.24	6.06	22.59	85.82	114.36	3.35	3.79	14.45	12.27	16.63	18.97	9.06	28.24	5.63	15.8	7.63
PCDHB8	2.39	0.33	144.01	0.0	1.68	0.56	6.73	75.64	1.81	0.88	1.33	38.4	2.84	5.68	25.17	62.56	20.41	21.78	85.22	62.56	117.6	41.22	15.45	14.35	11.38	37.59	13.93	11.64	66.18	98.73	52.82	17.25	12.27	1.14	2.14	0.88	1.68	1.87	2.05	0.0	1.31	1.68	0.47	1.36	1.91	0.4	0.41	0.0	15.11	0.0	0.0	2.05	0.0	0.28	25.35	3.35	34.26	8.78	2.61	49.21	26.47	37.59	7.11	6.84	7.46	4.74	4.54	1.14	277.2	46.84	4.39	112.77	37.32	3.76	0.58	34.75	5.36	32.13	253.23	2.29	5.11	5.68	3.41	0.54	2.46	4.98	7.06	0.0	1.46	0.87
PLCG1	518.15	466.88	563.18	463.65	447.82	1498.22	1407.55	536.45	532.74	529.06	1709.26	1639.59	1001.93	819.3	2090.03	954.43	2104.58	2468.49	1832.01	1369.04	2193.99	1870.53	1909.85	2133.97	2271.4	1143.1	3794.3	1286.18	748.61	1008.9	1662.49	1369.04	2875.3	73.03	312.0	291.04	167.9	320.8	305.55	206.94	68.07	217.27	80.01	166.73	153.34	110.43	77.79	101.54	112.77	205.5	93.35	283.05	0.0	0.85	1508.65	507.46	591.22	447.82	1059.11	466.88	447.82	473.41	872.1	748.61	981.29	1088.92	1143.1	351.14	1088.92	808.0	872.1	896.64	1059.11	490.14	1477.58	896.64	775.05	878.17	902.89	483.38	381.68	368.65	316.37	417.77	974.5	325.29	1639.59	273.37	693.58	470.14
PROX2	0.6	1.5	1.06	1.45	2.27	10.16	23.08	4.35	3.56	3.72	2.34	6.26	5.92	4.58	5.23	2.14	10.08	8.38	22.26	9.27	17.25	20.71	12.36	18.43	7.69	1.62	16.39	3.96	2.16	3.89	6.57	3.29	24.81	0.8	0.75	0.8	0.0	0.0	1.19	1.31	0.93	0.92	0.0	0.96	0.0	0.0	0.0	0.69	0.11	0.33	0.42	1.07	0.0	0.19	11.55	3.92	0.55	1.99	2.03	3.69	4.21	7.57	4.86	3.89	6.67	10.55	1.1	0.0	5.45	3.32	7.22	6.67	13.22	3.29	10.47	6.36	1.3	6.36	3.5	4.1	1.45	2.23	1.41	3.56	12.55	3.0	11.82	1.1	7.0	5.28
RAB28	195.72	170.25	260.38	117.6	356.05	289.02	387.02	149.12	329.84	312.0	674.59	435.55	373.81	417.77	275.28	287.01	323.03	493.56	285.03	199.85	283.05	387.02	269.6	267.73	234.57	152.28	358.54	291.04	356.05	341.51	316.37	265.87	309.83	253.23	118.43	131.51	150.17	169.07	146.03	80.01	113.56	118.43	110.43	119.26	112.77	148.09	96.68	95.34	96.01	138.1	92.7	41.81	0.0	0.53	718.08	199.85	145.02	189.02	171.45	299.25	273.37	202.66	199.85	309.83	420.68	320.8	323.03	244.57	1059.11	295.11	563.18	307.69	507.46	129.69	244.57	318.57	181.28	325.29	242.88	172.65	206.94	283.05	341.51	223.41	258.57	249.73	244.57	204.07	234.57	218.79
RAB3GAP1	406.31	379.04	403.5	896.64	555.41	567.1	647.07	444.72	435.55	389.72	466.88	447.82	493.56	543.96	669.92	503.95	476.71	559.28	417.77	476.71	629.35	599.49	785.88	579.04	486.75	373.81	400.71	483.38	500.46	543.96	414.87	486.75	497.0	68.07	182.55	275.28	166.73	423.61	234.57	195.72	167.9	189.02	226.54	204.07	187.71	239.52	209.84	236.21	217.27	361.04	182.55	279.14	0.0	0.72	775.05	791.35	518.15	703.28	521.76	563.18	373.81	381.68	406.31	441.64	543.96	500.46	387.02	314.17	656.11	490.14	480.04	579.04	616.37	329.84	450.94	291.04	358.54	325.29	397.93	400.71	540.19	493.56	503.95	669.92	412.0	423.61	473.41	511.0	480.04	470.14
RABL2A	106.63	63.89	99.43	86.43	112.77	656.11	1159.07	343.89	275.28	189.02	412.0	379.04	343.89	395.18	197.09	559.28	435.55	595.34	314.17	457.25	642.59	567.1	409.15	607.87	483.38	368.65	423.61	447.82	409.15	412.0	591.22	318.57	928.3	27.84	112.77	119.26	67.59	72.52	102.25	86.43	119.26	147.06	78.89	146.03	114.36	33.54	44.57	46.84	37.32	50.63	90.14	52.45	0.0	0.13	866.07	366.09	125.24	223.41	118.43	208.38	122.64	187.71	128.79	185.11	175.07	249.73	295.11	140.04	503.95	236.21	376.41	223.41	607.87	147.06	341.51	138.1	143.01	307.69	187.71	107.38	152.28	220.32	127.0	156.59	363.56	134.3	236.21	155.5	199.85	285.03
REV1	285.03	371.22	212.78	738.29	848.22	728.11	708.18	329.84	312.0	339.14	759.08	518.15	323.03	753.83	698.41	607.87	713.11	796.86	698.41	753.83	708.18	909.17	981.29	896.64	753.83	361.04	775.05	629.35	688.78	547.75	974.5	563.18	579.04	25.91	175.07	193.01	112.77	244.57	114.36	112.77	154.42	65.72	178.77	165.57	99.43	105.89	161.02	162.14	142.01	146.03	100.13	218.79	0.0	0.8	780.44	503.95	387.02	447.82	343.89	679.29	384.34	406.31	234.57	303.44	759.08	521.76	400.71	185.11	642.59	503.95	444.72	525.39	909.17	205.5	599.49	555.41	297.17	426.57	591.22	251.48	285.03	470.14	285.03	291.04	483.38	389.72	409.15	339.14	320.8	346.29
RNPC3	59.55	164.42	116.78	77.25	133.36	371.22	753.83	283.05	237.86	316.37	633.73	164.42	307.69	647.07	209.84	529.06	476.71	599.49	669.92	384.34	629.35	1417.35	836.53	708.18	470.14	368.65	493.56	351.14	329.84	368.65	1008.9	320.8	1135.2	152.28	63.45	115.16	86.43	147.06	115.97	89.51	37.05	26.47	33.54	60.39	93.35	25.17	39.22	47.84	36.79	33.78	35.76	32.59	0.0	0.79	854.13	169.07	154.42	183.82	105.15	316.37	371.22	224.97	183.82	301.33	229.72	426.57	234.57	178.77	291.04	318.57	764.36	287.01	409.15	205.5	228.13	348.71	181.28	253.23	217.27	100.83	198.47	232.94	139.07	201.25	493.56	194.36	305.55	112.77	236.21	220.32
RP11-1105G2.3	13.12	3.56	10.31	1.51	16.63	22.1	154.42	50.63	51.71	21.94	32.59	15.68	11.04	15.0	14.78	19.97	61.68	37.32	148.09	33.54	53.57	58.71	86.43	49.91	89.51	15.34	73.54	24.46	17.51	54.33	63.89	43.02	77.25	0.0	12.93	12.74	0.0	9.13	10.47	5.5	0.0	0.0	2.63	1.89	0.0	3.38	5.19	0.09	4.46	3.26	0.0	1.33	0.0	0.52	23.25	10.16	37.05	14.03	12.45	43.02	24.11	4.86	12.93	9.56	14.24	3.82	15.91	11.47	19.39	33.78	10.55	23.42	27.64	16.27	22.26	15.11	3.69	63.89	10.96	3.35	5.5	5.41	9.13	6.21	8.32	23.25	0.19	16.51	13.12	2.76
RP11-295P9.3	67.12	65.72	214.27	79.45	323.03	371.22	503.95	214.27	182.55	158.79	397.93	253.23	202.66	291.04	249.73	403.5	265.87	281.09	525.39	438.59	381.68	559.28	273.37	587.13	447.82	193.01	346.29	166.73	163.28	173.85	414.87	248.0	769.69	11.3	41.22	109.66	32.13	100.13	18.43	34.75	61.68	21.32	41.22	50.27	35.76	5.59	24.46	31.45	34.75	18.56	13.32	28.86	0.0	1.01	480.04	98.73	28.04	64.8	153.34	497.0	215.77	115.97	85.22	124.37	323.03	205.5	175.07	57.08	387.02	155.5	559.28	460.44	532.74	106.63	297.17	323.03	153.34	336.79	289.02	60.39	173.85	145.02	128.79	127.0	320.8	105.15	220.32	119.26	135.24	175.07
RP11-3B7.1	1.48	0.31	11.3	0.0	8.25	7.06	17.77	2.56	1.68	0.0	0.0	0.0	11.13	3.41	4.13	3.29	25.72	4.46	3.11	4.98	4.94	9.7	17.0	13.32	11.82	0.0	36.01	1.81	7.0	11.82	14.78	3.08	17.9	0.0	0.82	0.0	0.0	0.85	4.35	1.28	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.69	0.0	0.0	0.75	0.0	0.13	15.91	0.54	0.0	1.99	1.83	2.51	0.88	4.46	2.36	11.91	2.25	13.22	3.03	0.0	8.85	2.18	6.21	1.89	7.88	1.39	1.93	0.0	2.84	15.68	0.79	1.83	0.0	4.54	7.94	2.43	10.88	7.34	7.06	1.85	1.27	2.12
RP11-690P14.4	2.05	0.0	0.36	1.48	1.97	4.5	3.53	0.49	1.17	1.13	1.19	1.22	5.73	1.57	5.5	0.0	27.44	13.72	4.24	2.84	6.67	5.54	7.75	9.93	5.5	2.01	12.45	4.94	4.78	3.35	16.27	4.94	14.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	2.2	0.21	0.87	0.0	0.49	0.56	0.0	1.31	0.0	0.59	1.22	2.97	0.44	0.0	2.68	1.77	0.96	2.68	1.89	0.0	1.83	0.0	1.48	2.46	0.0	0.51	0.0	0.0	1.95	0.2	1.1	0.49	0.0	0.79	2.01	0.42
