	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.OHPM.0526.SM.2YUMJ
PLAU	255.0	204.07	995.0	173.85	1617.0	52.82	2224.63	193.01	669.92	1183.45	271.48	941.27	1081.39	500.46	1216.75	1457.23	202.66	107.38	483.38	327.56	283.05	102.25	384.34	764.36	470.14	1216.75	165.57
PPP5C	830.75	1225.22	429.54	1051.79	1286.18	1001.93	1015.93	612.11	1051.79	995.0	409.15	1250.98	1369.04	1119.56	1359.57	1104.13	358.54	813.63	1008.9	974.5	1268.46	1127.35	743.43	1030.12	1135.2	1322.37	713.11
PREP	483.38	595.34	218.79	579.04	579.04	361.04	638.15	185.11	848.22	532.74	231.32	514.56	1023.0	698.41	928.3	941.27	115.97	441.64	642.59	503.95	497.0	414.87	571.05	769.69	708.18	825.0	599.49
PRSS16	387.02	409.15	56.68	616.37	536.45	176.29	638.15	66.18	536.45	616.37	69.03	343.89	543.96	551.56	441.64	759.08	68.07	373.81	414.87	336.79	267.73	417.77	237.86	511.0	409.15	679.29	346.29
PTPRO	159.9	163.28	26.67	88.88	511.0	48.52	718.08	36.01	796.86	275.28	232.94	223.41	218.79	169.07	283.05	447.82	74.06	163.28	189.02	68.55	171.45	77.25	239.52	358.54	353.59	273.37	108.14
RAB39A	6.31	0.89	8.32	9.41	28.86	2.01	29.48	5.73	4.17	23.08	3.35	4.43	7.75	14.24	19.53	35.25	3.99	2.25	10.63	3.76	1.27	6.26	8.38	25.54	19.82	15.91	1.93
RAD51C	260.38	334.46	151.22	329.84	543.96	228.13	314.17	105.89	429.54	438.59	202.66	406.31	432.53	435.55	500.46	507.46	140.04	141.02	329.84	152.28	248.0	426.57	178.77	497.0	457.25	389.72	293.07
RFESD	49.91	56.28	2.92	43.32	74.06	18.43	74.58	43.63	84.63	47.5	6.16	35.0	70.01	51.71	62.56	60.39	7.51	59.97	50.27	9.13	25.72	62.12	19.39	67.59	71.0	78.34	35.0
RTCA	351.14	423.61	241.19	426.57	674.59	299.25	571.05	208.38	551.56	507.46	236.21	438.59	665.29	555.41	638.15	624.99	194.36	297.17	518.15	299.25	361.04	429.54	255.0	529.06	536.45	723.08	361.04
RWDD2B	217.27	339.14	89.51	293.07	376.41	135.24	301.33	118.43	395.18	356.05	87.03	264.03	497.0	339.14	348.71	409.15	89.51	124.37	341.51	253.23	218.79	299.25	205.5	417.77	432.53	423.61	293.07
