	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3V4.01A.11R.A22U.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EM.A2P1.01A.11R.A206.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A3BN.01A.11R.A19O.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A4V2.01A.11R.A250.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3GU.01A.11R.A21D.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.E8.A2JQ.01A.11R.A180.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.ET.A3DO.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A13U.01A.11R.A10U.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.H2.A422.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CP.01A.11R.A180.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EL.A3CV.01A.11R.A19O.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WHSE.0626.SM.4RGNF	TCGA.AJ.A3BK.01A.11R.A19W.07
FAM173A	228.13	0.55	162.14	1127.35	540.19	743.43	1199.98	679.29	713.11	769.69	769.69	638.15	463.65	890.44	518.15	769.69	902.89	819.3	819.3	595.34	769.69	759.08	480.04	988.12	1044.52	802.41	591.22	444.72	1001.93	928.3	536.45	934.76	1350.18	351.14	551.56	974.5	836.53	909.17	493.56	665.29	642.59	332.14	848.22	595.34	1008.9	1378.57	665.29	947.83	1096.5	547.75	656.11	796.86	854.13	325.29	454.09	764.36	830.75	327.56	529.06	607.87	1447.15	490.14	830.75	1073.91	579.04	896.64	595.34	1127.35	878.17	813.63	819.3	819.3	785.88	884.29	518.15	759.08	473.41	1104.13	836.53	656.11	1388.16	409.15	1081.39	275.28	1159.07	1143.1	1313.23	1295.13	1073.91	967.76	759.08	633.73	500.46	563.18	842.36	836.53	1175.27	866.07	651.58	688.78	1151.06	679.29	764.36	981.29	1023.0	583.07	1605.83	1639.59	1175.27	665.29	507.46	733.19	748.61	718.08	507.46	633.73	679.29	954.43	728.11	684.02	595.34	540.19	1498.22	206.94	1295.13	961.07	728.11	356.05	748.61	1096.5	638.15	346.29	791.35	703.28	633.73	708.18	547.75	684.02	819.3	297.17	371.22	896.64	909.17	909.17	825.0	1388.16	1119.56	785.88	1233.75	587.13	693.58	1059.11	567.1	511.0	470.14	791.35	318.57	476.71	708.18	688.78	656.11	1167.14	679.29	753.83	842.36	665.29	688.78	769.69	928.3	723.08	1359.57	429.54	802.41	575.03	947.83	599.49	1437.15	540.19	1183.45	2018.8	540.19	583.07	954.43	836.53	633.73	961.07	429.54	1037.29	656.11	780.44	381.68	224.97	1540.37
FAM195B	1233.75	0.92	1143.1	2351.53	2915.45	2335.28	3081.75	3982.99	2555.58	3168.41	3103.19	2855.44	2351.53	2573.36	2287.2	1781.89	4123.49	2209.26	2777.33	2303.12	2816.11	3665.02	2047.0	2682.69	2835.7	4123.49	2573.36	2384.37	3039.3	3146.52	2485.67	4152.18	2915.45	2351.53	3257.52	3146.52	2997.45	3419.52	2193.99	3060.45	2018.8	1359.57	3039.3	2645.74	3124.78	4575.41	2468.49	2303.12	4328.55	1806.78	4152.18	3303.0	3280.18	1977.24	2133.97	2384.37	2451.44	2004.85	2384.37	3124.78	3190.46	2367.9	3742.05	3124.78	2319.15	3060.45	2224.63	3443.31	2739.08	3716.2	2739.08	3018.3	3081.75	3212.66	2209.26	2400.97	2351.53	3901.01	3146.52	1991.0	3491.39	2335.28	3103.19	2255.7	2816.11	3081.75	2915.45	2682.69	3146.52	3794.3	2537.92	2627.46	2148.82	2875.3	2537.92	2976.74	4575.41	2777.33	3039.3	2701.35	4607.24	2915.45	2664.15	3467.27	3372.43	2573.36	3874.05	3820.7	4123.49	2537.92	2075.59	2537.92	3212.66	2956.17	2609.3	2835.7	2682.69	2537.92	2537.92	2384.37	3419.52	2417.67	4639.29	1605.83	3690.52	3146.52	3212.66	1936.53	2609.3	3168.41	2997.45	1561.89	2701.35	3794.3	2816.11	2956.17	2895.31	2090.03	2956.17	2855.44	1909.85	2935.74	3081.75	2835.7	3280.18	3874.05	3146.52	2609.3	3794.3	2319.15	3081.75	3540.14	2319.15	2303.12	1977.24	2739.08	1896.65	2319.15	2400.97	2915.45	2777.33	3589.58	1857.6	3257.52	2591.27	1819.35	3018.3	2997.45	3614.55	3847.29	2468.49	2367.9	3081.75	2178.83	2895.31	2224.63	3124.78	2468.49	2645.74	4152.18	2627.46	2502.97	3303.0	2777.33	2956.17	3081.75	1909.85	2287.2	1870.53	2796.65	2224.63	1697.45	6381.92
FAM203A	169.07	98.04	125.24	624.99	638.15	656.11	559.28	325.29	563.18	420.68	629.35	575.03	205.5	1081.39	493.56	571.05	651.58	551.56	223.41	500.46	395.18	521.76	454.09	480.04	559.28	651.58	457.25	193.01	587.13	441.64	514.56	656.11	616.37	507.46	323.03	571.05	536.45	395.18	447.82	220.32	420.68	447.82	595.34	438.59	718.08	555.41	579.04	412.0	647.07	444.72	698.41	620.67	551.56	490.14	297.17	547.75	738.29	101.54	587.13	358.54	830.75	170.25	642.59	525.39	525.39	241.19	551.56	579.04	24.99	607.87	607.87	486.75	395.18	624.99	518.15	423.61	201.25	525.39	525.39	511.0	409.15	450.94	579.04	555.41	743.43	384.34	633.73	351.14	629.35	708.18	299.25	529.06	473.41	514.56	624.99	435.55	733.19	579.04	559.28	191.67	748.61	563.18	473.41	500.46	620.67	503.95	684.02	599.49	343.89	460.44	395.18	543.96	536.45	435.55	435.55	620.67	466.88	493.56	543.96	470.14	612.11	182.55	316.37	180.02	651.58	532.74	409.15	381.68	289.02	607.87	607.87	353.59	470.14	579.04	591.22	435.55	148.09	579.04	384.34	256.78	195.72	629.35	633.73	476.71	603.67	665.29	684.02	466.88	583.07	454.09	521.76	693.58	389.72	454.09	480.04	454.09	384.34	329.84	395.18	264.03	285.03	507.46	500.46	669.92	441.64	432.53	540.19	271.48	624.99	563.18	441.64	412.0	486.75	397.93	571.05	376.41	607.87	571.05	624.99	358.54	232.94	239.52	583.07	486.75	341.51	651.58	295.11	497.0	490.14	507.46	325.29	50.63	1331.57
FAM50A	796.86	1.06	1628.26	2739.08	3039.3	2148.82	2335.28	3768.09	2367.9	2224.63	2855.44	2384.37	1991.0	1883.54	2485.67	1832.01	2935.74	2451.44	2104.58	2417.67	2224.63	2758.13	1437.15	2701.35	2777.33	2997.45	2178.83	2240.11	2855.44	3665.02	2351.53	2816.11	3303.0	2400.97	2075.59	2682.69	2417.67	2287.2	2047.0	2720.15	2061.24	2956.17	2720.15	1991.0	3190.46	2573.36	2193.99	3212.66	2915.45	1883.54	2502.97	2400.97	2609.3	1467.37	1477.58	1781.89	2573.36	1313.23	2895.31	1697.45	3124.78	1508.65	3614.55	2758.13	2351.53	2720.15	1529.73	2682.69	2163.77	3190.46	1832.01	2255.7	2609.3	2855.44	1896.65	2555.58	1781.89	2997.45	2367.9	2351.53	3419.52	2090.03	2976.74	2720.15	3124.78	3124.78	3212.66	2502.97	3372.43	3280.18	2400.97	2303.12	1936.53	2133.97	2485.67	2255.7	2682.69	2163.77	2287.2	2468.49	2434.5	2240.11	3168.41	2485.67	3190.46	1685.71	2835.7	2627.46	3589.58	2451.44	2591.27	2434.5	2485.67	2502.97	1857.6	2287.2	2148.82	2816.11	2485.67	2032.85	2224.63	2090.03	3690.52	1628.26	2758.13	2855.44	2468.49	1685.71	2956.17	2591.27	2816.11	1697.45	2468.49	2682.69	2434.5	2303.12	2032.85	1936.53	2485.67	2367.9	1806.78	2367.9	2555.58	2555.58	2520.38	3395.89	3124.78	2739.08	2956.17	2032.85	2032.85	2591.27	2287.2	1674.06	2609.3	2119.22	1923.14	1991.0	2047.0	1806.78	2777.33	2976.74	2319.15	2739.08	2417.67	2502.97	2720.15	2502.97	3419.52	2193.99	2163.77	1832.01	2384.37	633.73	2895.31	2104.58	3168.41	2835.7	2682.69	3257.52	2664.15	2032.85	2997.45	2739.08	2384.37	2520.38	2004.85	2520.38	1857.6	2796.65	2193.99	1697.45	3467.27
FAM98C	156.59	928.3	221.86	480.04	493.56	381.68	529.06	409.15	438.59	511.0	500.46	438.59	454.09	258.57	460.44	327.56	432.53	432.53	435.55	438.59	543.96	486.75	318.57	660.68	476.71	470.14	392.44	361.04	511.0	775.05	358.54	603.67	603.67	336.79	366.09	532.74	521.76	624.99	309.83	543.96	329.84	279.14	409.15	438.59	493.56	713.11	409.15	395.18	518.15	323.03	532.74	406.31	480.04	356.05	363.56	457.25	346.29	320.8	447.82	412.0	435.55	318.57	500.46	607.87	409.15	392.44	525.39	620.67	480.04	660.68	412.0	417.77	551.56	417.77	305.55	450.94	371.22	503.95	457.25	318.57	507.46	275.28	379.04	376.41	343.89	438.59	500.46	563.18	543.96	525.39	412.0	379.04	318.57	403.5	470.14	480.04	518.15	483.38	414.87	423.61	547.75	595.34	432.53	599.49	420.68	525.39	954.43	738.29	571.05	420.68	463.65	341.51	409.15	470.14	423.61	409.15	497.0	373.81	384.34	409.15	633.73	363.56	384.34	264.03	497.0	392.44	470.14	289.02	351.14	567.1	414.87	223.41	490.14	450.94	384.34	429.54	483.38	563.18	503.95	457.25	307.69	373.81	414.87	470.14	384.34	525.39	325.29	532.74	555.41	493.56	371.22	521.76	454.09	332.14	341.51	454.09	432.53	316.37	414.87	348.71	559.28	607.87	356.05	429.54	665.29	293.07	466.88	417.77	555.41	392.44	441.64	395.18	473.41	312.0	521.76	400.71	483.38	387.02	389.72	603.67	368.65	454.09	500.46	551.56	417.77	514.56	273.37	490.14	463.65	463.65	397.93	264.03	583.07
FASTK	392.44	0.74	473.41	1277.29	1540.37	1529.73	1498.22	2451.44	1225.22	1183.45	1508.65	1397.83	1151.06	2835.7	1233.75	1250.98	1605.83	1183.45	1340.84	1295.13	1407.55	1498.22	1015.93	1304.15	1605.83	2047.0	1277.29	1286.18	1350.18	2468.49	1225.22	1540.37	1427.22	1059.11	1437.15	1685.71	1331.57	1350.18	1081.39	1685.71	1561.89	1208.34	1721.16	1104.13	1909.85	1832.01	1135.2	1457.23	1487.87	988.12	1883.54	1617.0	1447.15	1208.34	825.0	1127.35	1447.15	775.05	1407.55	1268.46	1977.24	1008.9	1498.22	1508.65	1331.57	1313.23	1208.34	1498.22	1794.29	1519.15	1313.23	1378.57	1447.15	1685.71	1088.92	1081.39	954.43	1674.06	1359.57	1295.13	2537.92	1015.93	1277.29	1250.98	1594.73	1832.01	1639.59	1832.01	1457.23	1806.78	1437.15	1250.98	1023.0	1233.75	1519.15	1417.35	2119.22	1175.27	1277.29	1191.69	1457.23	1388.16	1268.46	1572.76	2133.97	1044.52	1832.01	2193.99	1950.0	1572.76	1008.9	1594.73	1388.16	1242.34	1051.79	1369.04	1135.2	1909.85	1066.48	1250.98	1277.29	1331.57	2468.49	748.61	1870.53	1697.45	1268.46	915.51	1605.83	1685.71	1322.37	830.75	1617.0	1844.76	1286.18	1191.69	1369.04	1159.07	2018.8	1104.13	842.36	1806.78	1572.76	1378.57	1519.15	1572.76	1674.06	1216.75	1936.53	1322.37	1378.57	1806.78	1216.75	1119.56	1088.92	1199.98	1159.07	1143.1	1369.04	961.07	1295.13	1674.06	1487.87	1508.65	1551.09	1359.57	1378.57	1277.29	1781.89	1295.13	1199.98	1008.9	1378.57	1066.48	1781.89	934.76	1745.2	1457.23	1467.37	4152.18	1183.45	1388.16	1977.24	1397.83	1340.84	1594.73	941.27	1350.18	1167.14	1437.15	1167.14	603.67	3395.89
FKBP2	1628.26	0.87	1508.65	4358.66	4298.64	2915.45	5791.62	5555.65	3419.52	5183.54	8778.97	4181.07	4481.23	4298.64	3018.3	7331.05	4512.4	3665.02	7911.95	5292.48	3564.78	4181.07	2255.7	4836.35	5255.91	5219.6	5594.3	3280.18	4802.93	8247.98	2555.58	7642.41	6652.97	2468.49	3280.18	8718.32	4358.66	6037.61	3443.31	5633.22	10014.87	4481.23	5831.91	2739.08	4358.66	5517.27	5292.48	10014.87	6935.54	2682.69	6426.31	3280.18	3901.01	4181.07	3212.66	3190.46	6164.49	2895.31	3982.99	3794.3	10368.08	2104.58	3982.99	8305.36	3690.52	3982.99	3060.45	6164.49	6337.83	6983.79	6607.01	3190.46	4328.55	7803.01	2178.83	2875.3	2591.27	6164.49	5292.48	3325.99	7032.37	3589.58	7280.4	3443.31	11112.3	9945.68	7382.04	5831.91	6607.01	6381.92	3564.78	3235.01	2739.08	3235.01	4268.94	3395.89	9409.14	4512.4	3257.52	4903.87	6294.04	5219.6	3794.3	3467.27	3794.3	3768.09	12589.08	11504.21	11745.96	4869.99	3639.7	3467.27	4639.29	3690.52	3820.7	3982.99	3982.99	6294.04	5112.16	3639.7	5183.54	7803.01	9088.59	2720.15	4903.87	11992.79	3690.52	3901.01	5672.41	4388.98	3325.99	4639.29	5255.91	4123.49	4239.45	3716.2	3146.52	3419.52	5633.22	5403.7	4268.94	3190.46	8078.22	4388.98	4298.64	7230.1	7911.95	3395.89	8718.32	3039.3	3212.66	5112.16	2335.28	2739.08	3303.0	3955.48	3325.99	2573.36	2976.74	5147.73	3820.7	5555.65	7382.04	6207.38	5147.73	4671.57	4736.79	3742.05	6935.54	3742.05	8191.0	2739.08	3081.75	3103.19	6561.36	3443.31	12329.98	3589.58	10014.87	9025.81	3690.52	3639.7	4607.24	3395.89	5183.54	8022.41	2075.59	3955.48	2193.99	4671.57	4298.64	3349.13	9025.81
FKBPL	77.25	0.11	66.65	191.67	202.66	178.77	165.57	242.88	169.07	260.38	297.17	187.71	202.66	163.28	113.56	161.02	205.5	194.36	195.72	190.34	194.36	255.0	96.01	147.06	199.85	209.84	129.69	153.34	190.34	186.4	182.55	253.23	204.07	169.07	158.79	249.73	204.07	182.55	141.02	248.0	141.02	105.89	178.77	131.51	173.85	297.17	189.02	191.67	316.37	105.15	293.07	170.25	146.03	138.1	164.42	183.82	185.11	158.79	178.77	144.01	226.54	106.63	164.42	318.57	150.17	178.77	186.4	258.57	142.01	265.87	185.11	142.01	190.34	127.89	146.03	166.73	169.07	208.38	191.67	150.17	186.4	113.56	181.28	167.9	185.11	215.77	178.77	127.89	220.32	170.25	215.77	127.89	141.02	191.67	186.4	141.02	299.25	186.4	193.01	177.53	239.52	195.72	151.22	155.5	144.01	139.07	223.41	307.69	336.79	185.11	212.78	171.45	202.66	162.14	165.57	176.29	147.06	173.85	190.34	144.01	231.32	127.89	297.17	108.14	135.24	215.77	176.29	197.09	154.42	187.71	167.9	87.03	180.02	262.2	170.25	170.25	183.82	164.42	183.82	170.25	138.1	186.4	255.0	197.09	221.86	201.25	209.84	226.54	293.07	152.28	143.01	191.67	131.51	112.77	143.01	180.02	175.07	118.43	204.07	236.21	191.67	260.38	159.9	366.09	175.07	153.34	205.5	180.02	239.52	157.68	258.57	151.22	181.28	144.01	201.25	143.01	253.23	186.4	232.94	420.68	141.02	149.12	197.09	166.73	140.04	215.77	142.01	128.79	161.02	141.02	241.19	224.97	277.2
GADD45GIP1	878.17	0.74	764.36	2451.44	2855.44	1963.57	2682.69	3190.46	2090.03	2682.69	2875.3	2090.03	2119.22	2351.53	1950.0	1950.0	3395.89	2758.13	2319.15	2591.27	2193.99	2796.65	1359.57	2915.45	2664.15	3665.02	2193.99	1844.76	3955.48	4268.94	2075.59	3716.2	3039.3	1709.26	2193.99	2777.33	2895.31	3257.52	2047.0	2367.9	2047.0	1427.22	3018.3	1963.57	2997.45	3443.31	2351.53	2816.11	3742.05	1685.71	3235.01	2384.37	2520.38	1447.15	1950.0	1721.16	2104.58	1467.37	2163.77	2119.22	3716.2	1477.58	2468.49	3467.27	1923.14	2739.08	1551.09	3419.52	1963.57	4038.61	2004.85	2133.97	2240.11	2351.53	1769.57	2178.83	1674.06	3349.13	2796.65	2255.7	3742.05	1561.89	2520.38	1832.01	2915.45	3540.14	3395.89	3639.7	4268.94	2976.74	2148.82	2104.58	1709.26	2004.85	2555.58	2520.38	3982.99	2537.92	1963.57	2351.53	3039.3	2319.15	2555.58	2537.92	2434.5	1819.35	3982.99	4736.79	3614.55	2335.28	2133.97	2209.26	2417.67	2591.27	2004.85	2502.97	1870.53	2119.22	2573.36	1674.06	2627.46	1781.89	2915.45	1151.06	2816.11	3103.19	2148.82	1551.09	2485.67	2739.08	2224.63	1467.37	2720.15	2400.97	2434.5	2777.33	1950.0	1745.2	2555.58	2209.26	1583.71	2193.99	2537.92	2682.69	2555.58	4066.71	3540.14	2255.7	3901.01	1709.26	2384.37	3190.46	2224.63	1806.78	2032.85	1936.53	1313.23	1721.16	2133.97	2178.83	2485.67	3467.27	1870.53	2485.67	2777.33	1757.34	2591.27	2303.12	3564.78	2193.99	2758.13	1519.15	2193.99	1769.57	2875.3	2018.8	3742.05	2075.59	2915.45	4388.98	2075.59	2271.4	3491.39	2835.7	2090.03	2573.36	1617.0	2997.45	2090.03	2720.15	1551.09	1369.04	8363.13
GFER	275.28	178.77	392.44	698.41	1001.93	848.22	1015.93	1015.93	928.3	825.0	759.08	728.11	669.92	860.08	656.11	525.39	1096.5	890.44	733.19	785.88	1001.93	866.07	536.45	1096.5	1044.52	1096.5	575.03	624.99	1111.82	890.44	769.69	974.5	1135.2	759.08	703.28	764.36	921.88	995.0	728.11	848.22	518.15	493.56	842.36	693.58	1143.1	1001.93	684.02	802.41	769.69	656.11	848.22	753.83	688.78	595.34	638.15	759.08	665.29	507.46	665.29	684.02	759.08	503.95	764.36	830.75	669.92	890.44	529.06	830.75	603.67	1242.34	660.68	902.89	848.22	836.53	616.37	775.05	684.02	967.76	723.08	669.92	934.76	476.71	718.08	753.83	872.1	836.53	1066.48	1008.9	1183.45	941.27	866.07	753.83	665.29	819.3	915.51	941.27	915.51	872.1	813.63	693.58	928.3	830.75	915.51	1023.0	981.29	490.14	967.76	1015.93	934.76	599.49	753.83	902.89	902.89	748.61	693.58	934.76	785.88	733.19	1044.52	733.19	785.88	525.39	1175.27	429.54	842.36	723.08	1135.2	591.22	915.51	1313.23	813.63	579.04	825.0	928.3	941.27	748.61	748.61	575.03	688.78	647.07	536.45	890.44	688.78	872.1	718.08	1191.69	1104.13	638.15	928.3	688.78	947.83	1135.2	842.36	633.73	813.63	748.61	583.07	633.73	629.35	836.53	743.43	1175.27	583.07	796.86	718.08	595.34	728.11	796.86	915.51	547.75	842.36	665.29	974.5	651.58	813.63	738.29	769.69	854.13	703.28	1388.16	733.19	748.61	1059.11	921.88	728.11	698.41	620.67	854.13	830.75	878.17	476.71	334.46	1487.87
