	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYY3.0926.SM.5E454	GTEX.P4QR.1026.SM.2I5GP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.148VJ.0826.SM.5LU8V	GTEX.145LS.1226.SM.5Q5D9	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.22.5482.11A.01R.1635.07
SLC6A6	3982.99	633.73	438.59	466.88	105.15	76.17	381.68	64.8	30.78	85.22	10.16	36.27	18.03	25.17	1.93	21.78	23.93	44.57	301.33	24.11	186.4	17.77	4.82	36.01	26.86	5.02	848.22	629.35	607.87	780.44	1417.35	693.58	476.71	995.0	713.11	1268.46	260.38	647.07	403.5	1183.45	1208.34	543.96	1427.22	1651.0	1331.57	688.78	3794.3	551.56	647.07
SLK	511.0	166.73	180.02	39.79	163.28	180.02	178.77	127.89	111.99	95.34	201.25	121.79	97.36	106.63	78.89	102.97	96.68	85.22	234.57	56.68	124.37	156.59	142.01	127.0	119.26	165.57	400.71	221.86	381.68	376.41	529.06	532.74	327.56	890.44	890.44	343.89	426.57	384.34	607.87	1340.84	808.0	151.22	1208.34	1331.57	1397.83	320.8	1088.92	305.55	603.67
SMAD5	312.0	221.86	155.5	57.49	348.71	221.86	135.24	265.87	144.01	226.54	291.04	170.25	206.94	110.43	231.32	141.02	163.28	185.11	224.97	84.63	139.07	91.41	199.85	142.01	129.69	115.16	212.78	242.88	253.23	197.09	343.89	208.38	336.79	480.04	536.45	189.02	417.77	327.56	264.03	480.04	191.67	117.6	559.28	551.56	679.29	314.17	599.49	251.48	403.5
SMNDC1	723.08	334.46	379.04	215.77	275.28	217.27	242.88	185.11	108.14	262.2	251.48	167.9	173.85	162.14	98.04	177.53	166.73	183.82	363.56	137.14	193.01	312.0	191.67	157.68	256.78	239.52	384.34	438.59	518.15	476.71	819.3	409.15	507.46	684.02	607.87	320.8	476.71	559.28	400.71	703.28	587.13	181.28	656.11	884.29	1073.91	368.65	825.0	463.65	514.56
SNTB2	246.28	100.83	114.36	90.14	57.89	77.79	63.89	56.28	37.59	45.53	40.64	48.18	29.7	30.12	16.63	35.76	23.25	19.82	86.43	21.16	30.12	60.39	13.22	36.53	34.26	48.52	117.6	103.69	104.42	98.73	255.0	149.12	129.69	236.21	212.78	107.38	312.0	183.82	187.71	381.68	143.01	73.54	249.73	262.2	595.34	147.06	473.41	110.43	262.2
SOBP	80.57	15.91	59.97	10.39	32.82	11.38	3.76	15.22	8.58	72.52	38.4	6.67	28.04	18.7	12.55	8.92	6.06	39.5	17.13	6.78	108.14	3.89	13.93	9.27	19.25	23.93	50.98	14.14	46.5	64.34	50.98	142.01	36.01	148.09	82.87	67.59	106.63	114.36	31.67	54.33	29.7	28.04	158.79	115.16	194.36	52.45	117.6	52.82	85.22
SPECC1L-ADORA2A	0.72	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	0.43	0.0	1.1	0.0	0.95	1.14	0.0	2.89	0.71	0.68	0.0	0.84	0.71	1.27	0.44	1.68	0.0	2.12	0.43	4.03
STAG2	400.71	329.84	343.89	61.68	454.09	293.07	183.82	215.77	198.47	205.5	236.21	211.31	189.02	130.6	202.66	269.6	143.01	152.28	307.69	94.67	348.71	129.69	293.07	221.86	161.02	429.54	423.61	503.95	486.75	450.94	624.99	624.99	366.09	713.11	896.64	473.41	684.02	629.35	620.67	759.08	466.88	253.23	1081.39	1044.52	1151.06	651.58	808.0	412.0	688.78
STARD13	283.05	189.02	161.02	148.09	92.7	61.25	34.02	56.28	69.52	45.21	59.97	43.32	46.84	46.84	76.71	47.84	43.63	16.27	102.25	57.08	76.71	55.1	41.52	60.39	61.25	70.51	199.85	50.63	264.03	176.29	72.01	231.32	215.77	486.75	224.97	142.01	234.57	183.82	303.44	967.76	420.68	76.71	392.44	100.13	825.0	698.41	633.73	191.67	438.59
STK35	579.04	236.21	140.04	193.01	120.1	163.28	147.06	138.1	101.54	158.79	185.11	146.03	138.1	102.97	177.53	70.01	79.45	76.71	123.5	92.7	74.58	51.35	108.9	82.87	89.51	94.01	234.57	224.97	169.07	198.47	226.54	157.68	182.55	194.36	242.88	190.34	198.47	133.36	186.4	341.51	127.89	224.97	551.56	265.87	177.53	215.77	665.29	162.14	232.94
STOX2	24.99	30.78	20.56	7.06	20.26	21.16	30.78	8.06	1.62	29.06	20.26	24.28	9.27	6.46	30.34	8.45	8.45	4.31	16.63	4.78	14.56	9.41	9.93	11.13	34.02	74.58	64.34	24.99	25.35	23.25	9.34	42.41	32.13	40.07	26.67	24.63	70.01	49.56	47.17	28.65	28.86	35.76	22.75	130.6	53.57	59.13	98.73	34.02	38.12
STRN	323.03	96.01	100.13	42.11	50.27	47.84	71.5	69.03	42.41	42.41	58.3	37.32	43.63	33.78	47.5	39.22	33.54	40.07	85.22	29.06	61.25	92.7	68.55	46.5	49.56	87.03	143.01	134.3	137.14	108.9	167.9	153.34	144.01	141.02	277.2	107.38	186.4	176.29	183.82	208.38	182.55	59.13	215.77	249.73	260.38	161.02	177.53	117.6	193.01
STX3	2075.59	791.35	796.86	830.75	309.83	131.51	248.0	358.54	256.78	521.76	148.09	111.99	129.69	214.27	92.05	120.94	246.28	497.0	289.02	89.51	186.4	212.78	48.18	83.45	149.12	53.95	825.0	974.5	830.75	764.36	808.0	723.08	435.55	860.08	1225.22	551.56	555.41	473.41	866.07	473.41	1378.57	457.25	1191.69	921.88	1378.57	638.15	2018.8	872.1	854.13
SWAP70	723.08	493.56	708.18	358.54	209.84	314.17	262.2	287.01	149.12	113.56	155.5	121.79	125.24	118.43	170.25	96.01	142.01	123.5	470.14	63.89	73.54	156.59	61.68	66.65	105.15	117.6	612.11	400.71	651.58	603.67	555.41	780.44	688.78	1104.13	878.17	521.76	1551.09	934.76	1259.69	1991.0	1551.09	289.02	954.43	1023.0	2682.69	599.49	2335.28	616.37	866.07
TBC1D25	109.66	190.34	246.28	332.14	161.02	148.09	135.24	140.04	118.43	149.12	139.07	163.28	117.6	144.01	177.53	120.94	205.5	95.34	156.59	118.43	166.73	68.55	62.56	131.51	140.04	169.07	269.6	253.23	214.27	232.94	236.21	198.47	157.68	241.19	204.07	334.46	209.84	229.72	234.57	457.25	688.78	289.02	186.4	336.79	543.96	366.09	414.87	228.13	341.51
TGFBR3	343.89	106.63	103.69	132.44	65.26	82.29	68.07	58.3	105.15	63.89	36.53	63.0	98.73	55.89	57.89	57.49	47.84	32.59	115.16	102.97	575.03	56.68	141.02	171.45	43.63	95.34	209.84	17.51	190.34	236.21	318.57	334.46	31.0	543.96	1066.48	182.55	748.61	271.48	323.03	1183.45	603.67	43.02	2193.99	303.44	595.34	780.44	1225.22	209.84	620.67
TLE2	199.85	197.09	703.28	323.03	193.01	251.48	309.83	140.04	66.18	46.18	64.8	229.72	191.67	178.77	323.03	599.49	93.35	75.64	264.03	204.07	123.5	113.56	314.17	159.9	285.03	105.89	1030.12	514.56	638.15	470.14	239.52	255.0	86.43	1216.75	2163.77	486.75	1519.15	409.15	2627.46	283.05	1508.65	397.93	503.95	633.73	1857.6	638.15	2271.4	642.59	1183.45
TMEM255B	258.57	142.01	320.8	262.2	120.1	148.09	40.07	103.69	125.24	81.71	104.42	176.29	90.77	102.25	55.89	98.04	140.04	42.11	356.05	124.37	84.63	146.03	47.17	74.58	125.24	78.34	429.54	136.19	258.57	253.23	571.05	253.23	325.29	638.15	305.55	332.14	693.58	426.57	140.04	563.18	128.79	353.59	813.63	176.29	830.75	316.37	1417.35	460.44	373.81
TMEM87B	511.0	153.34	187.71	92.05	131.51	102.97	140.04	121.79	52.82	81.14	91.41	57.49	100.13	76.17	73.54	80.01	81.71	68.07	190.34	55.1	70.01	77.25	43.94	54.72	75.11	67.12	320.8	490.14	281.09	190.34	414.87	339.14	343.89	444.72	237.86	180.02	379.04	361.04	273.37	287.01	149.12	141.02	571.05	825.0	199.85	197.09	571.05	277.2	327.56
TMOD3	947.83	325.29	397.93	103.69	423.61	417.77	239.52	406.31	303.44	123.5	242.88	281.09	275.28	256.78	348.71	165.57	183.82	162.14	384.34	152.28	567.1	384.34	336.79	444.72	229.72	529.06	579.04	507.46	595.34	660.68	1111.82	748.61	633.73	1066.48	947.83	669.92	954.43	872.1	848.22	1437.15	848.22	318.57	1111.82	1250.98	1963.57	466.88	1295.13	583.07	884.29
TNKS2	500.46	236.21	271.48	129.69	211.31	186.4	155.5	127.0	108.14	133.36	198.47	105.89	94.01	102.25	82.87	116.78	115.97	59.97	255.0	111.99	176.29	126.12	149.12	118.43	186.4	158.79	395.18	189.02	403.5	339.14	532.74	420.68	329.84	669.92	493.56	353.59	417.77	339.14	403.5	595.34	555.41	215.77	878.17	1617.0	753.83	595.34	743.43	363.56	483.38
TNXB	1183.45	79.45	1199.98	563.18	271.48	395.18	144.01	175.07	49.91	277.2	50.27	299.25	358.54	191.67	38.95	264.03	262.2	40.07	507.46	273.37	438.59	1733.13	353.59	309.83	150.17	204.07	1487.87	98.04	656.11	1088.92	1572.76	599.49	70.51	2434.5	7081.29	1359.57	4639.29	2956.17	392.44	4607.24	1183.45	103.69	3257.52	493.56	1519.15	878.17	7032.37	1313.23	2451.44
TOX4	1208.34	493.56	629.35	642.59	748.61	603.67	532.74	514.56	514.56	579.04	603.67	460.44	497.0	511.0	532.74	384.34	503.95	473.41	607.87	483.38	497.0	660.68	435.55	395.18	529.06	651.58	708.18	1001.93	764.36	813.63	830.75	1044.52	1259.69	1159.07	915.51	796.86	967.76	1001.93	1167.14	928.3	1073.91	656.11	830.75	1001.93	1427.22	656.11	1208.34	884.29	1001.93
TROVE2	358.54	108.14	151.22	29.7	139.07	187.71	194.36	159.9	94.01	120.1	189.02	105.89	123.5	56.68	117.6	88.88	108.9	107.38	161.02	44.25	139.07	75.64	97.36	63.45	110.43	180.02	204.07	392.44	242.88	204.07	409.15	186.4	221.86	291.04	438.59	128.79	281.09	265.87	297.17	269.6	246.28	68.07	624.99	438.59	660.68	242.88	450.94	189.02	279.14
TRPC1	29.27	108.9	68.07	9.27	14.45	7.46	12.36	9.27	1.3	35.0	32.59	9.63	2.86	6.78	3.5	3.89	5.59	5.92	25.54	5.45	4.66	12.64	10.96	5.82	3.66	4.43	51.35	62.12	29.27	38.95	34.02	58.71	63.45	100.83	67.12	31.9	57.49	147.06	38.67	75.64	30.12	19.11	75.64	89.51	40.07	60.82	122.64	68.07	82.29
TSHZ3	102.25	19.97	84.63	37.59	22.1	22.75	10.0	15.0	6.31	11.73	3.89	15.91	8.32	9.13	2.66	8.85	11.73	3.29	49.21	9.27	7.34	14.89	14.56	9.27	9.85	9.7	77.79	23.08	59.13	45.85	28.86	52.08	119.26	262.2	122.64	28.24	162.14	175.07	43.02	255.0	47.17	60.39	87.65	55.89	262.2	56.28	185.11	93.35	157.68
UBE2J1	1088.92	392.44	947.83	289.02	332.14	358.54	384.34	351.14	299.25	470.14	339.14	255.0	283.05	244.57	249.73	125.24	224.97	414.87	567.1	151.22	403.5	283.05	218.79	343.89	368.65	543.96	638.15	406.31	842.36	718.08	780.44	1322.37	693.58	988.12	567.1	872.1	1216.75	819.3	660.68	866.07	674.59	241.19	1806.78	1605.83	1617.0	423.61	1977.24	753.83	684.02
UHMK1	201.25	339.14	348.71	136.19	454.09	460.44	743.43	470.14	209.84	329.84	620.67	336.79	289.02	172.65	460.44	341.51	289.02	241.19	429.54	228.13	275.28	305.55	323.03	373.81	249.73	579.04	423.61	612.11	454.09	353.59	785.88	438.59	409.15	638.15	796.86	343.89	555.41	444.72	473.41	599.49	281.09	139.07	802.41	995.0	563.18	447.82	1023.0	387.02	447.82
USP22	486.75	1350.18	1447.15	1572.76	854.13	642.59	995.0	651.58	476.71	698.41	896.64	511.0	836.53	836.53	1081.39	417.77	1151.06	902.89	1008.9	406.31	323.03	698.41	450.94	366.09	417.77	417.77	1369.04	1407.55	1088.92	1051.79	1001.93	1127.35	1498.22	1277.29	2855.44	860.08	1781.89	1167.14	1794.29	1417.35	1059.11	1268.46	2537.92	2796.65	1286.18	2047.0	2895.31	1104.13	2075.59
UST	70.01	41.81	80.57	93.35	38.67	50.27	4.62	9.7	10.79	12.45	1.79	36.01	12.93	1.99	10.08	7.51	8.32	2.53	24.11	15.91	5.45	18.16	19.68	14.67	3.38	31.45	185.11	341.51	195.72	140.04	854.13	169.07	30.12	241.19	325.29	204.07	341.51	63.0	271.48	202.66	108.14	68.55	42.41	607.87	384.34	81.71	361.04	126.12	187.71
UTRN	239.52	195.72	392.44	94.67	161.02	275.28	244.57	128.79	201.25	246.28	251.48	82.87	89.51	94.01	37.05	48.87	67.59	68.07	361.04	53.95	118.43	91.41	108.9	53.57	109.66	260.38	708.18	307.69	490.14	460.44	297.17	1233.75	361.04	713.11	1551.09	463.65	1175.27	1001.93	1519.15	1397.83	995.0	138.1	1233.75	665.29	830.75	941.27	988.12	555.41	1407.55
VEZF1	603.67	450.94	536.45	161.02	215.77	181.28	226.54	187.71	163.28	152.28	229.72	130.6	97.36	105.15	231.32	115.97	162.14	177.53	316.37	72.01	249.73	139.07	124.37	132.44	176.29	285.03	591.22	947.83	733.19	703.28	579.04	1001.93	476.71	1175.27	934.76	638.15	780.44	551.56	1119.56	1159.07	1350.18	206.94	1081.39	1896.65	1135.2	532.74	1096.5	656.11	1015.93
WAC	2468.49	753.83	961.07	420.68	591.22	679.29	872.1	612.11	571.05	591.22	718.08	373.81	376.41	366.09	718.08	441.64	473.41	463.65	902.89	343.89	647.07	299.25	483.38	381.68	536.45	981.29	995.0	1015.93	988.12	934.76	1295.13	1216.75	1001.93	2061.24	2335.28	954.43	1388.16	1233.75	1127.35	1662.49	1540.37	713.11	2451.44	2367.9	3190.46	1551.09	3146.52	1037.29	1572.76
WWC2	76.17	129.69	144.01	23.76	105.89	89.51	97.36	85.22	157.68	44.25	77.25	75.11	106.63	97.36	82.29	78.34	71.0	41.22	114.36	60.39	149.12	101.54	116.78	122.64	221.86	476.71	312.0	75.64	358.54	341.51	536.45	1242.34	205.5	551.56	896.64	279.14	559.28	441.64	1519.15	281.09	1304.15	84.04	679.29	1167.14	1066.48	591.22	1583.71	281.09	967.76
WWTR1	1519.15	902.89	599.49	273.37	126.12	244.57	249.73	180.02	122.64	234.57	159.9	167.9	119.26	99.43	121.79	113.56	136.19	92.05	316.37	100.13	111.21	120.94	193.01	81.14	218.79	153.34	723.08	1359.57	928.3	1250.98	1991.0	1143.1	708.18	1909.85	2119.22	896.64	1508.65	1397.83	1437.15	2367.9	1437.15	493.56	1757.34	1583.71	11827.67	688.78	2915.45	728.11	1617.0
YES1	884.29	193.01	248.0	45.53	264.03	450.94	473.41	323.03	301.33	269.6	341.51	198.47	293.07	163.28	251.48	190.34	171.45	204.07	381.68	193.01	329.84	336.79	414.87	303.44	457.25	525.39	348.71	567.1	441.64	256.78	567.1	387.02	177.53	1286.18	591.22	376.41	518.15	432.53	466.88	995.0	647.07	98.73	775.05	890.44	2855.44	287.01	974.5	339.14	563.18
ZBTB2	237.86	100.13	181.28	65.72	109.66	98.73	138.1	88.26	81.14	115.97	123.5	82.29	85.82	57.08	59.13	60.82	72.52	91.41	140.04	43.63	142.01	74.58	64.34	95.34	93.35	149.12	180.02	237.86	191.67	191.67	237.86	190.34	214.27	265.87	205.5	169.07	218.79	221.86	187.71	253.23	253.23	58.71	318.57	381.68	486.75	212.78	379.04	171.45	253.23
ZBTB34	743.43	65.72	69.52	31.0	35.25	27.44	39.5	27.05	23.93	58.71	59.55	21.78	24.11	22.59	46.18	19.82	27.44	20.11	52.82	14.67	43.32	24.46	19.82	27.25	31.45	27.84	137.14	66.18	81.71	89.51	228.13	105.15	101.54	92.05	149.12	107.38	82.29	99.43	59.13	102.97	75.64	26.1	253.23	136.19	287.01	74.06	336.79	58.3	111.99
ZCCHC24	665.29	98.73	389.72	231.32	172.65	351.14	157.68	201.25	153.34	155.5	612.11	152.28	199.85	130.6	204.07	191.67	176.29	102.97	325.29	334.46	532.74	214.27	343.89	540.19	241.19	463.65	316.37	109.66	249.73	277.2	325.29	587.13	587.13	669.92	293.07	279.14	1081.39	733.19	318.57	967.76	376.41	323.03	1447.15	647.07	423.61	293.07	1313.23	435.55	743.43
ZDHHC20	2240.11	94.67	198.47	38.4	97.36	84.63	68.55	55.1	69.03	29.06	124.37	34.75	31.45	30.78	33.06	35.76	28.65	18.97	177.53	30.56	108.9	103.69	68.55	37.05	124.37	329.84	249.73	98.04	466.88	361.04	314.17	703.28	202.66	507.46	825.0	155.5	753.83	1023.0	738.29	551.56	420.68	371.22	1167.14	551.56	647.07	406.31	1378.57	447.82	575.03
ZFR	723.08	563.18	476.71	124.37	470.14	412.0	563.18	470.14	356.05	353.59	441.64	476.71	457.25	341.51	476.71	356.05	341.51	343.89	547.75	148.09	540.19	277.2	283.05	444.72	267.73	381.68	579.04	688.78	599.49	543.96	854.13	679.29	595.34	941.27	974.5	503.95	915.51	660.68	563.18	698.41	483.38	395.18	961.07	1104.13	1151.06	669.92	854.13	540.19	830.75
ZNF460	14.24	11.21	17.38	6.57	10.71	7.69	14.45	6.36	9.7	7.82	4.28	2.97	5.87	1.99	6.67	6.26	4.17	2.56	7.46	8.58	11.73	6.36	7.46	8.06	11.55	12.64	13.12	15.45	26.47	27.05	34.75	14.35	72.01	37.05	74.06	5.77	43.02	58.3	24.11	52.08	15.56	9.7	69.52	15.34	91.41	20.86	86.43	29.91	24.63
ZNF770	318.57	98.04	150.17	29.7	94.67	81.14	66.65	111.21	153.34	26.67	73.54	35.76	53.95	50.98	92.05	48.52	51.35	27.25	107.38	57.49	124.37	189.02	151.22	121.79	132.44	363.56	120.1	181.28	135.24	95.34	291.04	217.27	182.55	368.65	327.56	79.45	368.65	122.64	260.38	172.65	152.28	19.68	543.96	633.73	441.64	201.25	748.61	115.16	195.72
