	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
GRIA1	0.32	0.0	0.3	0.32	0.0	0.0	0.0	0.0	0.29	0.0	0.0	1.6	0.3	4.74	1.87	0.32	0.31	1.71	0.0	0.93	0.0	2.14	13.22	0.0	1.28	0.65	1.3	0.0	0.0	0.0	0.0	0.0	0.35	0.36	0.0	0.38	0.38	39.79	24.11	6.46	0.0	0.0	0.13	1.97	299.25	444.72	138.1	78.89	46.84	89.51	164.42	497.0	127.89	45.21	82.29	151.22	55.1	256.78	96.01	215.77	256.78	29.7	148.09	273.37	183.82	212.78	204.07	125.24	111.99	49.21	191.67	57.49	172.65	145.02	45.53	46.84	171.45	186.4	236.21	249.73	77.79	115.97	90.77	170.25	115.16	289.02	264.03	178.77	126.12	123.5	224.97	82.87	47.5	241.19	182.55	191.67	293.07	78.89	102.97	353.59	176.29	271.48	75.11	163.28	180.02	237.86	141.02	147.06	86.43	90.77	194.36	175.07	167.9	105.15	134.3	181.28	231.32	65.72	148.09	148.09	109.66	493.56	151.22	239.52	65.72	295.11	112.77	307.69	102.97	57.49	63.89	177.53	291.04	361.04	141.02	3.35	0.82	2.34	4.03	5.41	0.88
HEMGN	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.35	0.0	1.07	0.74	0.0	0.0	0.0	0.62	0.0	0.18	0.0	16.27	1.73	6.46	1.46	10.96	4.98	5.19	5.36	8.13	3.03	3.17	3.63	6.01	5.41	4.21	10.63	15.11	10.31	3.96	10.39	4.82	5.68	3.79	14.45	6.78	11.82	9.41	9.2	4.24	8.45	6.06	4.43	16.39	23.76	10.88	13.72	1.53	3.69	3.11	3.92	6.06	9.27	3.53	4.58	1.81	4.03	2.76	3.11	12.27	4.7	2.39	24.63	8.92	0.0	6.46	1.36	3.56	15.45	11.04	4.58	18.29	1.81	1.2	1.36	7.69	3.89	6.62	57.49	4.06	2.76	3.56	13.62	17.25	2.66	6.16	11.64	1.81	8.92	4.5	1.57	2.32	4.13	6.11	11.21	7.94	3.2	2.89	12.64	5.36	4.94	7.4	0.0	0.0	3.08	0.69	0.0	1.25
HPCAL1	457.25	339.14	941.27	476.71	444.72	403.5	1551.09	647.07	242.88	503.95	277.2	587.13	348.71	480.04	358.54	647.07	454.09	1651.0	323.03	733.19	486.75	616.37	842.36	607.87	387.02	356.05	363.56	961.07	403.5	392.44	409.15	1111.82	521.76	518.15	165.57	748.61	607.87	718.08	1923.14	1059.11	1685.71	0.0	0.67	1183.45	3665.02	8901.53	4543.8	5292.48	3257.52	3443.31	5441.3	7032.37	4903.87	5041.77	1605.83	4038.61	6294.04	5441.3	3060.45	8078.22	7230.1	1781.89	4704.07	9088.59	5711.87	5112.16	3820.7	4769.75	4123.49	4038.61	5831.91	4903.87	6607.01	4181.07	2468.49	3190.46	2224.63	4181.07	2835.7	3349.13	1923.14	5329.3	6207.38	4152.18	2133.97	1651.0	4419.52	2682.69	2384.37	4512.4	3280.18	1242.34	1950.0	5751.61	4836.35	4181.07	7642.41	2502.97	4388.98	5292.48	2335.28	9025.81	2758.13	3564.78	5006.93	2591.27	1059.11	5255.91	5112.16	2816.11	1617.0	4869.99	5995.9	5147.73	2816.11	7433.4	4607.24	4903.87	1427.22	6983.79	3491.39	4937.99	3212.66	3349.13	4010.71	9344.14	2976.74	6699.25	5555.65	1388.16	2061.24	3018.3	3847.29	4836.35	4869.99	693.58	429.54	775.05	547.75	830.75	947.83
HS3ST2	1.3	19.39	0.62	1.91	1.41	0.0	4.1	1.79	18.03	0.75	0.0	0.37	5.02	6.67	34.51	4.58	6.16	10.24	3.2	1.77	22.1	1.79	16.75	0.0	0.0	11.73	12.45	1.51	0.66	10.96	3.82	13.62	23.42	1.91	0.68	33.3	6.21	575.03	89.51	432.53	5.15	0.0	0.26	35.0	162.14	221.86	217.27	49.91	106.63	72.01	153.34	95.34	84.63	112.77	253.23	56.68	318.57	30.34	591.22	113.56	85.22	4.39	166.73	476.71	182.55	97.36	30.56	314.17	77.25	314.17	166.73	289.02	239.52	132.44	616.37	256.78	172.65	112.77	651.58	208.38	26.28	50.98	242.88	53.57	134.3	9.63	54.72	74.58	109.66	368.65	72.01	28.86	273.37	112.77	73.54	29.7	183.82	18.43	119.26	269.6	117.6	50.63	896.64	7.06	318.57	48.52	31.9	555.41	651.58	287.01	105.15	115.97	139.07	85.22	381.68	62.56	141.02	208.38	81.14	212.78	728.11	291.04	289.02	28.24	3491.39	275.28	63.45	96.68	145.02	269.6	1304.15	493.56	36.53	241.19	98.04	37.05	7.22	35.5	58.71	15.0	66.65
HSD17B13	0.34	27.44	6.01	8.45	6.89	0.96	4.7	6.31	0.48	1.95	1.14	2.01	0.83	5.41	4.1	3.2	2.2	0.51	3.14	2.14	1.36	1.87	1.06	1.0	0.35	0.96	4.46	1.04	0.34	3.0	0.68	2.34	2.94	1.03	1.03	1.75	2.48	2.27	1.27	14.14	3.72	0.0	0.01	0.32	5.73	8.51	94.67	23.08	11.47	21.32	29.27	12.74	16.27	57.49	98.73	312.0	129.69	9.56	14.45	49.56	21.01	43.02	15.22	58.3	59.55	29.48	15.11	61.25	34.75	3.29	32.82	169.07	37.05	15.0	1.0	28.04	9.06	14.67	102.25	120.94	47.17	262.2	23.76	1477.58	6.62	32.82	43.32	591.22	38.12	5.68	633.73	37.05	22.75	525.39	115.16	35.25	31.67	149.12	115.16	66.18	62.12	29.27	52.45	56.68	18.7	17.77	409.15	444.72	10.16	43.63	30.56	329.84	85.82	12.27	3.35	111.21	70.01	435.55	13.32	17.9	88.88	13.83	27.84	52.08	55.1	105.89	5.5	356.05	18.97	29.06	175.07	98.04	43.32	14.78	47.84	2.36	0.58	4.66	5.63	2.36	6.26
INPP5K	336.79	395.18	351.14	379.04	158.79	595.34	493.56	466.88	248.0	237.86	483.38	486.75	246.28	511.0	441.64	583.07	379.04	381.68	612.11	813.63	595.34	314.17	483.38	514.56	493.56	642.59	511.0	785.88	412.0	595.34	848.22	343.89	507.46	866.07	450.94	780.44	579.04	543.96	638.15	575.03	312.0	0.0	0.33	563.18	1322.37	2090.03	1397.83	1096.5	890.44	1844.76	1617.0	2287.2	1313.23	2451.44	1135.2	1388.16	1540.37	1651.0	1540.37	1583.71	2240.11	607.87	1437.15	1628.26	1721.16	1487.87	1583.71	1769.57	2468.49	1151.06	2004.85	1135.2	1896.65	1909.85	1662.49	1001.93	866.07	1709.26	1001.93	1199.98	1233.75	1685.71	1447.15	1111.82	988.12	1277.29	1350.18	1313.23	1073.91	1037.29	1242.34	688.78	1216.75	1561.89	1378.57	854.13	1844.76	1081.39	1167.14	1883.54	693.58	1769.57	988.12	3018.3	1674.06	1304.15	660.68	1467.37	1001.93	1498.22	1088.92	1519.15	1697.45	1001.93	1617.0	1639.59	1081.39	1697.45	753.83	2303.12	1487.87	1721.16	1268.46	1561.89	1350.18	1991.0	1529.73	2351.53	941.27	1896.65	1096.5	1519.15	1757.34	1225.22	2032.85	441.64	279.14	412.0	291.04	285.03	748.61
INSM2	0.0	0.32	0.0	0.31	0.0	0.0	0.93	0.0	1.33	1.23	0.3	0.0	0.0	1.16	0.33	0.0	0.31	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	1.17	3.66	0.88	16.27	0.09	0.1	1.99	0.66	2.14	0.39	0.87	4.86	2.2	0.11	1.46	4.03	0.61	0.1	2.1	3.41	1.03	3.47	0.83	2.39	0.61	1.06	1.08	3.69	1.31	1.85	1.07	0.62	1.89	0.09	1.75	1.31	0.0	3.47	2.27	1.43	0.0	0.09	0.84	0.09	1.11	1.45	0.64	0.0	0.87	1.48	1.91	0.1	0.35	0.1	0.12	1.58	0.09	2.23	0.38	0.0	1.58	1.11	0.11	2.32	0.82	16.27	0.0	1.13	0.1	1.64	5.41	2.51	0.0	0.39	0.0	1.91	1.13	2.56	0.32	1.41	1.58	0.87	1.87	1.27	1.51	0.62	0.13	2.07	1.3	0.35	1.35	0.42	0.4	1.95	0.0	0.0	0.8
ITLN2	0.0	0.0	1.81	26.86	0.0	0.0	0.0	0.0	0.83	0.0	0.0	22.26	1.14	0.0	0.0	2.29	1.17	2.51	0.0	0.0	2.56	0.0	5.19	1.25	0.61	0.29	1.53	1.95	1.5	2.56	8.0	13.03	1.57	1.6	0.0	0.67	0.0	1.23	3.44	194.36	0.0	0.0	0.0	12.27	1487.87	5555.65	1844.76	2777.33	275.28	934.76	5147.73	3018.3	4802.93	3982.99	295.11	1059.11	6471.02	5403.7	343.89	3794.3	3614.55	130.6	1059.11	2163.77	3794.3	2875.3	6037.61	2104.58	3491.39	2739.08	5041.77	1397.83	3212.66	2976.74	1605.83	2287.2	500.46	842.36	120.1	2573.36	1073.91	3540.14	5076.84	2032.85	1008.9	1977.24	2976.74	1242.34	466.88	2835.7	796.86	343.89	2018.8	2240.11	1225.22	1350.18	8134.41	426.57	2935.74	1572.76	529.06	3235.01	2104.58	2855.44	4736.79	1662.49	262.2	2434.5	3018.3	1733.13	5329.3	1794.29	3874.05	2468.49	3146.52	674.59	5329.3	1111.82	511.0	2956.17	647.07	2047.0	8658.09	1467.37	909.17	8718.32	848.22	7032.37	1457.23	525.39	432.53	1977.24	3639.7	1794.29	2777.33	0.0	0.0	15.56	15.22	0.0	17.13
KCNJ8	64.8	37.32	94.67	30.56	48.52	11.13	35.5	9.78	10.08	6.57	4.7	27.25	5.45	37.85	43.02	71.0	15.34	77.79	11.47	22.75	92.7	36.53	159.9	30.56	31.9	82.29	57.08	52.08	24.28	32.36	69.03	53.95	79.45	74.58	19.11	144.01	144.01	180.02	53.57	81.14	21.47	0.0	0.37	100.13	470.14	1662.49	607.87	884.29	279.14	426.57	974.5	1617.0	660.68	698.41	96.68	1051.79	1096.5	438.59	1119.56	748.61	1051.79	309.83	420.68	1936.53	1233.75	540.19	708.18	753.83	470.14	236.21	1073.91	239.52	1331.57	1662.49	748.61	928.3	325.29	320.8	373.81	1127.35	511.0	500.46	1119.56	743.43	239.52	379.04	466.88	295.11	642.59	1001.93	896.64	435.55	674.59	633.73	872.1	301.33	967.76	329.84	890.44	279.14	116.78	808.0	703.28	497.0	825.0	1001.93	68.07	460.44	1388.16	555.41	612.11	928.3	325.29	579.04	791.35	444.72	476.71	460.44	353.59	669.92	743.43	825.0	507.46	363.56	642.59	575.03	1183.45	409.15	1199.98	503.95	1088.92	1081.39	460.44	368.65	193.01	145.02	60.82	85.22	81.71	82.87	149.12
KCNK3	4.43	0.97	1.22	0.34	4.17	1.6	4.06	0.72	3.06	7.88	0.22	0.99	0.51	4.94	24.46	7.28	2.51	26.28	0.96	1.69	2.56	0.75	3.66	0.0	0.43	0.75	3.79	29.27	0.0	0.45	9.2	0.45	1.13	7.69	0.0	3.72	0.85	23.08	20.71	31.67	5.32	0.0	0.42	10.08	181.28	1870.53	131.51	343.89	198.47	457.25	830.75	728.11	384.34	1008.9	1709.26	145.02	547.75	154.42	500.46	256.78	2956.17	3.38	647.07	132.44	269.6	1066.48	332.14	1639.59	1407.55	147.06	1233.75	441.64	703.28	351.14	733.19	281.09	173.85	872.1	1233.75	258.57	249.73	961.07	123.5	307.69	205.5	514.56	323.03	303.44	616.37	217.27	4239.45	318.57	4010.71	665.29	607.87	260.38	693.58	180.02	309.83	1199.98	221.86	341.51	117.6	1199.98	1417.35	507.46	137.14	486.75	232.94	371.22	214.27	208.38	460.44	432.53	563.18	271.48	373.81	341.51	141.02	1340.84	1208.34	332.14	432.53	2555.58	674.59	343.89	429.54	718.08	341.51	3124.78	1183.45	1104.13	967.76	223.41	2319.15	16.39	4.62	6.94	10.96	14.24	37.32
KIAA0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.29	0.0	0.26	0.0	0.27	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.43	0.0	0.0	0.0	0.44	1.77	2.18	5.11	0.38	0.38	6.06	2.2	2.36	1.43	3.06	0.64	1.1	1.83	4.43	2.01	3.06	1.3	0.39	1.01	1.69	1.97	3.14	2.86	2.51	1.5	1.06	2.92	1.62	1.07	1.31	1.27	0.64	0.82	2.03	0.41	1.27	2.29	1.89	1.87	2.16	1.45	2.2	2.73	2.39	0.64	1.01	4.46	0.0	1.08	1.83	0.65	1.07	2.89	0.39	1.75	5.06	0.61	1.83	0.88	1.77	1.89	5.54	1.51	0.64	0.38	1.89	5.96	1.71	1.68	0.65	3.38	0.62	2.73	0.65	1.69	3.03	1.91	2.25	0.59	2.53	2.07	2.07	3.0	1.62	1.06	4.1	1.83	1.71	6.36	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.87
KIAA0408	31.22	4.74	4.54	7.22	27.25	0.66	105.89	1.13	2.71	7.46	1.85	2.66	2.18	3.53	3.79	5.82	0.56	3.17	2.03	2.94	22.43	6.78	5.92	5.63	3.41	8.13	8.78	1.35	1.97	2.46	6.01	5.02	17.64	3.2	1.69	4.46	9.27	15.11	6.06	33.78	26.1	0.0	0.07	18.29	343.89	651.58	947.83	954.43	140.04	921.88	629.35	1191.69	1378.57	633.73	34.75	878.17	1313.23	2609.3	1519.15	1151.06	612.11	119.26	490.14	981.29	1268.46	2335.28	1127.35	285.03	1388.16	642.59	1119.56	182.55	2384.37	1721.16	571.05	708.18	476.71	336.79	67.12	4972.34	356.05	620.67	1662.49	954.43	607.87	813.63	791.35	236.21	66.18	1477.58	703.28	104.42	514.56	1498.22	543.96	454.09	1417.35	64.34	1561.89	507.46	175.07	890.44	738.29	1529.73	808.0	748.61	107.38	825.0	1359.57	607.87	2255.7	476.71	612.11	954.43	514.56	177.53	1350.18	343.89	242.88	1268.46	224.97	2209.26	624.99	211.31	547.75	928.3	902.89	1008.9	1477.58	80.57	31.9	928.3	1508.65	476.71	246.28	12.45	11.21	16.03	20.26	22.26	13.22
KIT	9.63	70.01	6.11	7.0	5.36	25.17	4.46	4.7	34.51	52.45	23.76	38.95	8.19	4.86	15.22	27.25	2.97	4.17	3.53	23.42	199.85	6.46	72.01	8.58	3.29	45.21	189.02	101.54	2.86	4.62	41.22	19.97	49.91	88.88	8.38	29.7	58.71	56.68	336.79	73.03	8.32	0.0	0.45	190.34	54.33	269.6	934.76	583.07	327.56	214.27	708.18	1697.45	26.28	447.82	403.5	1233.75	62.56	101.54	651.58	277.2	50.27	90.14	253.23	1066.48	158.79	647.07	138.1	273.37	81.71	329.84	265.87	279.14	269.6	336.79	27.05	379.04	1143.1	267.73	1417.35	366.09	723.08	500.46	490.14	521.76	218.79	444.72	51.35	65.72	1662.49	395.18	2119.22	473.41	148.09	1151.06	287.01	981.29	111.99	299.25	1963.57	753.83	314.17	1119.56	124.37	120.1	733.19	116.78	417.77	120.94	480.04	647.07	180.02	314.17	112.77	214.27	50.63	126.12	633.73	232.94	228.13	169.07	1378.57	327.56	941.27	119.26	490.14	301.33	239.52	543.96	1498.22	283.05	785.88	1447.15	356.05	147.06	120.94	41.52	51.71	33.78	48.87	72.01	116.78
KLB	0.0	1.25	1.79	3.11	3.03	0.95	2.48	2.94	1.04	7.28	2.89	1.03	0.83	0.84	0.0	1.41	1.68	0.83	6.62	8.0	14.14	0.26	2.61	0.58	0.57	0.56	7.51	0.0	0.87	0.28	6.01	1.89	1.85	11.13	0.92	1.97	8.99	1.53	0.14	2.27	1.19	4.28	36.79	2.32	18.56	38.67	368.65	205.5	20.56	93.35	40.93	316.37	35.76	239.52	7.4	81.14	31.45	43.02	97.36	53.19	52.08	5.77	51.71	21.16	66.65	197.09	114.36	124.37	44.57	17.13	53.57	205.5	67.59	48.87	20.71	122.64	26.47	111.21	55.49	85.82	41.52	194.36	128.79	260.38	98.73	35.5	45.21	48.87	35.0	19.53	52.45	34.26	23.25	80.57	85.22	5.73	81.71	71.0	497.0	64.8	25.72	27.84	183.82	31.9	66.65	327.56	46.84	88.88	102.25	111.21	147.06	29.27	129.69	91.41	171.45	211.31	91.41	283.05	46.18	58.71	135.24	40.64	100.13	14.78	249.73	27.05	53.95	40.07	86.43	109.66	15.34	129.69	24.11	37.32	10.71	0.56	1.5	1.68	0.13	0.0	2.29
KLF15	5.5	7.4	11.91	5.77	19.39	36.27	2.27	27.25	11.91	13.22	6.46	23.93	1.75	99.43	14.45	9.93	8.51	4.21	92.7	4.86	15.91	2.07	27.25	1.39	0.0	10.96	10.24	5.77	2.46	2.23	15.11	6.01	6.67	40.93	1.03	20.41	56.68	9.93	47.17	19.25	10.79	0.0	0.27	27.25	142.01	842.36	521.76	579.04	295.11	100.13	842.36	1127.35	532.74	1350.18	607.87	1191.69	1159.07	371.22	638.15	995.0	718.08	91.41	217.27	1001.93	785.88	733.19	190.34	555.41	743.43	283.05	1151.06	320.8	780.44	1008.9	547.75	896.64	361.04	149.12	769.69	603.67	46.5	764.36	1175.27	633.73	120.1	145.02	813.63	1313.23	291.04	536.45	381.68	48.52	848.22	1037.29	928.3	176.29	825.0	61.68	1175.27	1175.27	96.01	1088.92	149.12	170.25	656.11	579.04	39.5	438.59	638.15	1001.93	45.53	575.03	579.04	500.46	808.0	1397.83	242.88	995.0	185.11	1159.07	928.3	703.28	228.13	185.11	1015.93	1304.15	167.9	759.08	679.29	884.29	1242.34	444.72	1250.98	293.07	934.76	41.81	31.67	90.77	35.76	8.58	145.02
LAMP3	447.82	412.0	473.41	17.9	183.82	1151.06	262.2	351.14	231.32	242.88	97.36	356.05	334.46	341.51	82.29	503.95	185.11	34.51	180.02	435.55	674.59	518.15	688.78	371.22	325.29	769.69	780.44	1674.06	532.74	825.0	144.01	267.73	483.38	412.0	159.9	351.14	563.18	395.18	80.57	183.82	323.03	0.0	0.0	289.02	21320.18	17197.56	9279.58	13033.07	14663.09	8134.41	10296.45	20170.07	11345.82	8598.28	15824.9	13681.08	9474.59	13586.57	12244.81	13033.07	14262.1	18178.19	12589.08	11909.94	11424.74	18689.27	18178.19	9279.58	9945.68	15392.14	16383.0	15075.35	17927.91	9740.98	15075.35	13215.02	14163.58	17681.08	16157.44	14361.31	8421.31	8022.41	9673.69	14867.79	15824.9	11827.67	16611.71	7911.95	14663.09	7230.1	12943.04	12160.22	15392.14	10883.59	13399.51	11909.94	13123.73	8134.41	16727.26	10512.82	14971.21	16045.82	10512.82	10733.74	9673.69	9673.69	12589.08	12502.12	10512.82	11267.44	10883.59	11664.82	15285.81	14765.09	11745.96	12076.21	10883.59	8963.45	23009.42	14262.1	12676.65	10368.08	11745.96	9540.5	11827.67	6426.31	11189.6	13399.51	13033.07	9673.69	8840.04	17317.18	12676.65	16843.62	11267.44	616.37	2855.44	1104.13	287.01	575.03	830.75
LGI3	0.65	3.76	0.0	8.32	0.0	0.95	0.64	0.0	0.37	0.0	1.55	0.92	0.0	0.39	0.0	0.71	0.0	5.63	0.36	11.64	6.21	1.23	262.2	4.35	1.81	309.83	8.45	6.31	0.71	0.77	4.39	8.13	5.77	5.06	0.75	6.16	1.43	7.4	0.65	4.94	0.28	0.0	0.0	13.03	5555.65	5751.61	2400.97	5633.22	1769.57	2434.5	4066.71	6699.25	5366.37	3349.13	1378.57	4736.79	4268.94	4607.24	4543.8	5403.7	6516.03	624.99	2855.44	3280.18	2537.92	4419.52	3018.3	3742.05	6840.04	2935.74	4836.35	4802.93	2855.44	4769.75	4512.4	6250.56	981.29	2047.0	1199.98	3690.52	2895.31	4419.52	3443.31	2502.97	1529.73	1819.35	3768.09	4181.07	336.79	825.0	1096.5	698.41	4575.41	3768.09	5006.93	262.2	3928.15	1151.06	4095.0	4181.07	1277.29	4937.99	2119.22	3039.3	3257.52	5112.16	921.88	5041.77	2682.69	5831.91	2018.8	4181.07	4450.27	4639.29	4671.57	5711.87	1639.59	4769.75	3280.18	5076.84	4512.4	3820.7	2417.67	2758.13	7749.1	3124.78	7966.99	4358.66	2384.37	3146.52	2400.97	2485.67	2835.7	2303.12	4095.0	0.6	4.78	656.11	41.52	1.0	63.89
