	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.DF.A2KZ.01A.11R.A213.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
ZFP14	17.9	29.06	23.93	186.4	88.26	77.79	90.14	58.71	129.69	72.52	107.38	75.64	62.56	35.25	70.51	155.5	52.45	41.22	93.35	70.01	113.56	35.5	62.56	112.77	170.25	62.12	43.32	131.51	92.7	138.1	129.69	86.43	178.77	194.36	193.01	122.64	171.45	145.02	177.53	134.3	35.5	156.59	75.64	154.42	71.0	87.65	28.45	8.25	22.26	11.38	34.75	22.1	22.59	22.92
ZNF138	82.29	199.85	72.01	373.81	224.97	336.79	336.79	269.6	400.71	248.0	144.01	267.73	314.17	318.57	341.51	214.27	147.06	96.01	231.32	195.72	281.09	256.78	215.77	264.03	271.48	166.73	162.14	189.02	199.85	253.23	242.88	237.86	275.28	301.33	339.14	221.86	320.8	334.46	251.48	358.54	173.85	267.73	189.02	450.94	253.23	463.65	102.25	115.16	77.79	141.02	102.25	127.89	135.24	126.12
ZNF181	84.63	49.56	63.45	476.71	258.57	267.73	406.31	234.57	457.25	226.54	343.89	221.86	167.9	198.47	211.31	395.18	131.51	169.07	255.0	169.07	353.59	182.55	237.86	361.04	466.88	189.02	201.25	358.54	327.56	343.89	318.57	327.56	480.04	620.67	320.8	466.88	612.11	327.56	483.38	314.17	202.66	373.81	579.04	237.86	429.54	316.37	47.17	38.67	54.33	75.11	52.08	80.57	68.07	47.17
ZNF24	204.07	128.79	135.24	1159.07	547.75	988.12	775.05	1001.93	981.29	470.14	624.99	651.58	603.67	571.05	669.92	921.88	514.56	435.55	780.44	339.14	954.43	397.93	555.41	616.37	1096.5	514.56	543.96	785.88	961.07	866.07	1001.93	532.74	1023.0	1781.89	947.83	1044.52	1467.37	1111.82	753.83	591.22	356.05	1023.0	320.8	1208.34	607.87	1051.79	226.54	95.34	204.07	325.29	223.41	107.38	171.45	379.04
ZNF264	49.56	34.75	27.05	251.48	48.18	71.0	128.79	136.19	134.3	105.89	142.01	49.91	49.56	86.43	97.36	94.67	71.5	73.54	102.25	25.72	150.17	62.56	108.14	49.91	209.84	50.98	71.0	140.04	171.45	175.07	143.01	68.07	215.77	103.69	166.73	373.81	121.79	223.41	209.84	56.28	56.28	190.34	32.13	91.41	72.01	102.25	16.03	72.01	31.0	24.11	15.0	7.46	26.47	30.78
ZNF30	23.76	21.63	27.64	165.57	110.43	100.13	140.04	77.79	136.19	73.54	127.89	83.45	98.04	73.54	112.77	114.36	65.26	102.97	113.56	82.29	75.64	79.45	60.39	122.64	111.99	77.79	32.59	99.43	85.82	89.51	98.04	68.55	110.43	115.16	88.88	100.83	183.82	97.36	91.41	119.26	40.64	108.14	107.38	111.21	67.12	96.01	19.39	21.63	39.79	23.25	30.34	37.85	39.5	29.48
ZNF415	51.71	86.43	63.0	334.46	346.29	281.09	312.0	185.11	318.57	199.85	336.79	206.94	169.07	244.57	273.37	323.03	208.38	159.9	309.83	183.82	307.69	108.9	202.66	13.22	312.0	187.71	180.02	307.69	318.57	339.14	373.81	264.03	336.79	656.11	397.93	201.25	529.06	255.0	438.59	358.54	165.57	297.17	348.71	470.14	221.86	607.87	5.68	7.63	82.29	50.27	120.1	84.63	23.93	103.69
ZNF468	53.57	65.72	69.52	312.0	134.3	291.04	444.72	214.27	275.28	251.48	373.81	181.28	151.22	279.14	229.72	166.73	212.78	139.07	202.66	137.14	181.28	152.28	154.42	113.56	241.19	127.0	69.03	153.34	175.07	291.04	195.72	120.94	285.03	325.29	131.51	262.2	234.57	195.72	147.06	147.06	135.24	167.9	66.18	185.11	109.66	209.84	135.24	51.71	65.72	76.71	103.69	76.71	34.26	72.01
ZNF525	40.64	127.89	171.45	336.79	255.0	341.51	291.04	154.42	297.17	183.82	325.29	228.13	177.53	166.73	265.87	190.34	121.79	148.09	215.77	171.45	151.22	154.42	107.38	162.14	305.55	115.16	92.7	197.09	205.5	182.55	204.07	166.73	255.0	265.87	221.86	181.28	239.52	271.48	209.84	215.77	88.88	256.78	81.14	163.28	169.07	206.94	65.26	6.26	133.36	108.14	101.54	137.14	92.05	66.18
ZNF543	20.86	11.55	23.93	105.15	49.56	59.97	69.03	64.34	88.26	46.18	71.5	55.1	54.33	43.02	59.13	88.88	38.4	53.95	60.39	33.54	93.35	29.06	47.17	44.57	84.04	49.91	22.92	64.8	78.89	109.66	91.41	40.07	102.97	130.6	51.35	85.22	186.4	66.65	86.43	92.7	42.41	84.04	32.13	74.58	48.52	128.79	6.11	17.64	14.56	20.71	21.01	15.45	16.39	23.25
ZNF565	63.89	37.32	28.04	98.04	74.06	59.13	76.17	65.72	85.22	70.51	103.69	59.13	54.33	76.17	106.63	78.34	84.63	115.97	75.64	53.57	69.52	71.5	49.91	75.11	98.04	43.63	57.49	68.55	79.45	63.45	70.01	55.1	87.65	112.77	74.06	107.38	98.04	60.39	126.12	102.25	111.99	88.88	63.0	134.3	66.18	91.41	49.91	31.67	43.02	34.26	34.26	59.97	45.85	27.05
ZNF566	57.49	27.44	62.56	242.88	127.0	133.36	105.15	126.12	115.16	158.79	156.59	131.51	73.54	101.54	117.6	141.02	119.26	149.12	108.14	100.13	134.3	136.19	88.88	122.64	251.48	100.83	54.72	167.9	115.16	116.78	140.04	103.69	161.02	262.2	157.68	144.01	163.28	141.02	239.52	111.21	135.24	170.25	61.25	140.04	98.73	113.56	83.45	19.11	72.52	62.12	98.73	71.0	89.51	88.26
ZNF615	29.91	23.59	25.72	217.27	142.01	115.97	103.69	110.43	185.11	180.02	170.25	104.42	100.83	101.54	96.01	209.84	86.43	57.89	212.78	102.25	173.85	68.07	137.14	51.71	251.48	82.29	95.34	228.13	181.28	289.02	206.94	112.77	265.87	543.96	301.33	251.48	384.34	220.32	214.27	154.42	163.28	190.34	83.45	343.89	145.02	205.5	5.96	20.71	31.0	24.46	60.82	24.99	16.88	47.5
ZNF621	23.76	12.0	19.39	346.29	122.64	80.57	117.6	167.9	194.36	161.02	106.63	59.97	77.25	96.01	156.59	126.12	127.89	65.72	186.4	55.89	157.68	38.4	164.42	81.71	251.48	65.72	77.79	187.71	181.28	202.66	191.67	112.77	234.57	256.78	198.47	269.6	329.84	327.56	309.83	180.02	116.78	248.0	31.67	198.47	73.54	186.4	55.49	15.45	36.53	23.25	36.01	18.84	17.38	24.46
ZNF624	12.83	17.25	15.34	94.67	41.52	35.25	48.18	59.97	90.77	48.52	55.1	50.27	34.75	44.25	41.81	69.52	26.1	27.84	30.78	34.75	46.84	35.25	44.25	48.18	75.11	39.79	20.56	73.54	43.94	66.65	59.55	38.12	83.45	124.37	54.72	68.55	138.1	112.77	69.03	49.56	31.9	91.41	39.5	125.24	35.5	96.01	17.51	12.27	17.38	10.31	22.43	18.7	15.11	15.91
ZNF654	86.43	40.93	47.84	264.03	100.83	102.25	185.11	108.9	159.9	165.57	100.13	127.89	84.63	79.45	142.01	198.47	119.26	81.14	135.24	89.51	180.02	76.71	124.37	95.34	248.0	70.01	96.01	167.9	169.07	142.01	164.42	85.82	201.25	295.11	381.68	194.36	195.72	221.86	158.79	137.14	118.43	159.9	70.51	297.17	71.5	226.54	29.27	28.04	31.0	52.82	68.07	44.25	20.11	57.89
ZNF701	34.51	44.25	40.93	212.78	117.6	137.14	201.25	88.26	164.42	175.07	137.14	109.66	79.45	127.89	119.26	108.9	70.51	57.89	105.89	62.56	131.51	67.12	94.67	93.35	169.07	66.18	78.89	130.6	120.94	127.0	115.16	110.43	154.42	228.13	117.6	144.01	400.71	135.24	153.34	205.5	40.07	131.51	48.87	96.68	82.87	109.66	13.83	12.36	28.65	34.02	46.84	38.67	23.08	28.45
ZNF765	38.67	37.85	53.19	177.53	100.83	166.73	236.21	112.77	155.5	93.35	156.59	88.88	74.58	80.57	155.5	116.78	74.58	97.36	130.6	58.71	115.16	84.63	82.87	52.08	159.9	65.72	65.72	115.97	157.68	161.02	130.6	80.57	146.03	107.38	144.01	109.66	173.85	112.77	165.57	120.1	92.7	143.01	29.06	65.26	65.26	107.38	68.07	21.01	34.51	35.76	35.76	48.18	36.79	42.71
ZNF766	110.43	167.9	173.85	507.46	323.03	384.34	406.31	256.78	429.54	318.57	339.14	334.46	241.19	301.33	301.33	432.53	339.14	248.0	412.0	329.84	363.56	181.28	249.73	258.57	406.31	264.03	217.27	490.14	336.79	371.22	368.65	332.14	426.57	540.19	403.5	438.59	500.46	397.93	376.41	346.29	224.97	384.34	186.4	438.59	314.17	373.81	120.1	107.38	202.66	151.22	166.73	190.34	134.3	156.59
ZNF770	59.13	17.64	25.91	718.08	96.68	314.17	376.41	332.14	435.55	181.28	212.78	162.14	123.5	223.41	163.28	341.51	137.14	109.66	281.09	111.99	379.04	99.43	291.04	155.5	629.35	115.16	182.55	473.41	403.5	423.61	429.54	211.31	567.1	563.18	473.41	616.37	651.58	890.44	325.29	183.82	271.48	412.0	105.89	521.76	206.94	708.18	75.11	134.3	27.44	29.27	48.52	37.85	35.76	53.95
ZNF792	24.11	38.12	26.67	161.02	46.18	61.25	62.56	88.26	87.03	66.65	60.82	61.25	67.12	77.25	64.8	77.25	47.84	61.68	68.07	57.08	65.26	53.19	86.43	61.68	96.01	41.81	27.25	105.15	72.01	84.63	81.14	70.01	101.54	62.12	46.84	114.36	91.41	66.65	84.04	76.71	37.32	129.69	24.81	67.59	75.64	80.01	29.7	12.64	18.43	27.05	37.59	41.81	22.1	34.02
ZNF805	15.11	8.32	16.27	105.15	31.9	30.12	61.25	49.21	54.33	65.26	74.06	19.53	26.47	46.18	44.25	34.75	33.3	25.54	45.53	23.42	77.79	26.86	44.89	21.16	86.43	24.46	24.81	68.07	72.52	84.04	72.01	34.02	85.22	130.6	40.36	100.13	111.99	50.27	39.5	50.63	29.48	74.58	27.84	52.45	64.34	72.52	15.0	11.13	12.83	14.14	9.56	10.0	10.24	11.13
ZNF808	22.26	26.47	34.26	169.07	66.18	55.89	132.44	68.07	84.04	67.12	115.16	50.63	61.68	57.08	61.68	107.38	73.54	58.3	82.29	43.63	109.66	35.0	77.79	64.8	152.28	52.82	47.5	124.37	128.79	135.24	92.7	69.03	116.78	209.84	155.5	159.9	271.48	133.36	191.67	134.3	62.12	133.36	30.78	101.54	41.81	153.34	33.54	29.48	18.56	37.59	27.84	31.0	33.3	31.45
ZNF845	28.45	41.22	45.21	248.0	49.91	108.14	172.65	95.34	167.9	100.13	127.0	85.22	55.89	121.79	97.36	128.79	73.54	59.97	82.29	63.45	129.69	66.65	98.73	50.98	190.34	50.98	52.45	127.0	134.3	169.07	115.16	67.59	158.79	171.45	92.05	198.47	209.84	88.88	124.37	100.83	49.56	173.85	58.3	153.34	140.04	151.22	37.05	32.13	26.28	26.47	19.68	24.99	25.17	27.25
ZXDA	19.68	16.27	14.24	122.64	32.59	49.91	44.25	58.71	76.71	55.89	81.14	41.52	34.26	43.02	69.03	64.8	43.32	32.13	51.35	37.32	68.55	45.53	38.12	18.43	111.21	32.82	38.95	105.89	62.12	64.8	80.57	38.4	102.25	140.04	81.71	96.68	109.66	121.79	86.43	66.18	45.85	97.36	52.82	65.26	44.89	124.37	18.84	9.63	12.74	12.55	15.0	15.8	14.67	9.93
