	TCGA.38.4625.01A.01R.1206.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.145LS.1226.SM.5Q5D9	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
NDUFA3	2875.3	1844.76	934.76	4152.18	4450.27	11909.94	6792.79	3982.99	6207.38	7537.18	2758.13	7280.4	3467.27	8658.09	4937.99	3716.2	3820.7	9409.14	3372.43	7589.61	9673.69	6426.31	6207.38	7382.04	8191.0	8778.97	5329.3	3820.7	2758.13	8778.97	7433.4	6250.56	8901.53	7130.55	4704.07	5555.65	5555.65	6294.04	7642.41	11112.3	3235.01	7433.4	8778.97	3124.78	13681.08	8901.53	5479.15	6381.92	8421.31	6079.61	7642.41	4038.61	4010.71	5403.7	6792.79	4388.98	4123.49	5751.61	7537.18	5219.6	3515.68	6652.97	3280.18	4512.4	14561.8	7130.55	3235.01	7857.29	3716.2	10585.95	6337.83	7230.1	5219.6	6745.86	11745.96	4298.64	11909.94	10084.54	7803.01	6207.38	7032.37	5329.3	5831.91	7695.57	4937.99	3847.29	6792.79	9673.69
NDUFA7	0.0	497.0	974.5	2400.97	2855.44	3955.48	3665.02	2119.22	3303.0	4152.18	1769.57	3589.58	2287.2	3235.01	2701.35	2485.67	2240.11	4972.34	2047.0	3419.52	3639.7	3955.48	3349.13	2895.31	3665.02	3928.15	3124.78	2018.8	1844.76	4123.49	3303.0	2915.45	3190.46	3467.27	2627.46	2956.17	2835.7	2976.74	5441.3	4481.23	1909.85	3665.02	4575.41	2004.85	3901.01	3491.39	3124.78	3235.01	3690.52	3280.18	3742.05	1721.16	2209.26	3395.89	3349.13	2520.38	1883.54	2835.7	3768.09	2335.28	1950.0	3190.46	2224.63	1923.14	5594.3	3794.3	1819.35	3589.58	2351.53	5006.93	3564.78	3372.43	2573.36	2816.11	4607.24	2417.67	4181.07	3491.39	2855.44	2835.7	3325.99	3419.52	3742.05	3349.13	2956.17	2090.03	3794.3	3665.02
NDUFB11	0.0	753.83	575.03	2047.0	2485.67	4836.35	2485.67	1674.06	2777.33	3280.18	1617.0	2976.74	1794.29	3419.52	2835.7	2468.49	2319.15	3847.29	1923.14	3419.52	3515.68	3325.99	2701.35	3515.68	4181.07	4512.4	2720.15	1628.26	2271.4	3540.14	3372.43	2855.44	3325.99	3768.09	2573.36	2645.74	2591.27	2417.67	4181.07	5403.7	2209.26	2701.35	4123.49	1662.49	6250.56	4388.98	3235.01	3303.0	3847.29	2835.7	3212.66	1963.57	2287.2	2417.67	4095.0	2895.31	2367.9	3303.0	3768.09	1923.14	1721.16	3614.55	1745.2	1936.53	4802.93	2935.74	1651.0	3325.99	2384.37	3742.05	3280.18	3168.41	2209.26	2758.13	3372.43	2287.2	4066.71	3639.7	2796.65	3325.99	3395.89	2384.37	3257.52	3467.27	2682.69	2061.24	3039.3	4512.4
NDUFB7	0.0	872.1	591.22	3820.7	4802.93	9673.69	5791.62	3235.01	5995.9	7130.55	3081.75	6840.04	3794.3	6935.54	5913.33	3901.01	4704.07	9474.59	3589.58	6840.04	7331.05	6983.79	6121.9	7331.05	7911.95	9740.98	6121.9	3060.45	3614.55	9606.86	6250.56	5219.6	7803.01	7857.29	5112.16	6164.49	4903.87	4671.57	7382.04	11035.54	3982.99	5672.41	10440.2	3168.41	12415.75	7382.04	5555.65	7032.37	9945.68	5633.22	6745.86	3820.7	4481.23	5255.91	7695.57	5366.37	3491.39	5219.6	7130.55	3467.27	3491.39	7331.05	3874.05	3901.01	10225.32	6983.79	3589.58	7749.1	4671.57	9344.14	7032.37	6840.04	3901.01	6250.56	8901.53	4607.24	9215.48	8363.13	5954.47	8191.0	7130.55	5751.61	7280.4	7032.37	5183.54	5041.77	6381.92	9088.59
NDUFS8	0.0	785.88	1417.35	3039.3	4038.61	7911.95	4937.99	2061.24	5112.16	6381.92	2417.67	4972.34	3146.52	7180.15	4066.71	3212.66	3419.52	7695.57	2573.36	6887.62	6561.36	6516.03	5041.77	5183.54	6381.92	6337.83	4358.66	2400.97	2224.63	6037.61	4671.57	4836.35	5479.15	5995.9	3168.41	3820.7	3901.01	3467.27	6935.54	8901.53	3190.46	4481.23	6983.79	2193.99	9740.98	6381.92	4937.99	4704.07	7230.1	4450.27	6337.83	3395.89	3146.52	4181.07	5751.61	3639.7	2895.31	3303.0	6983.79	3146.52	2835.7	4903.87	2627.46	2935.74	9673.69	4450.27	2682.69	5147.73	3039.3	8479.89	4388.98	5441.3	2976.74	4512.4	7081.29	3515.68	6745.86	6337.83	5006.93	7130.55	5112.16	4543.8	5183.54	6935.54	3820.7	3665.02	4671.57	6516.03
NHP2L1	0.0	2976.74	2485.67	3419.52	3395.89	5479.15	4298.64	2555.58	4328.55	4543.8	2777.33	3982.99	2664.15	4123.49	3257.52	3124.78	3614.55	5479.15	3190.46	4358.66	5041.77	4298.64	3982.99	3901.01	4388.98	5872.48	3847.29	3325.99	1991.0	4639.29	4903.87	3768.09	5219.6	3874.05	3103.19	3614.55	3639.7	3955.48	5831.91	4671.57	2796.65	3349.13	5403.7	2701.35	5366.37	4869.99	3716.2	4239.45	4268.94	3847.29	3901.01	3060.45	3589.58	3589.58	4450.27	3395.89	2351.53	3742.05	4038.61	2777.33	2816.11	4450.27	2997.45	3280.18	5006.93	4388.98	3280.18	5479.15	2384.37	5147.73	3820.7	4210.15	3280.18	4358.66	4802.93	2816.11	4607.24	4419.52	3794.3	4152.18	4419.52	3515.68	4095.0	4298.64	3349.13	2956.17	4152.18	4607.24
OXLD1	0.0	143.01	379.04	733.19	1268.46	1794.29	934.76	438.59	1259.69	1286.18	460.44	1066.48	703.28	1605.83	1073.91	759.08	825.0	1709.26	559.28	1397.83	1191.69	1313.23	1143.1	1529.73	1044.52	2240.11	1119.56	438.59	518.15	1733.13	1104.13	1104.13	1605.83	1508.65	1066.48	1073.91	988.12	612.11	1639.59	1936.53	1059.11	802.41	1896.65	607.87	1806.78	1437.15	995.0	1674.06	1605.83	909.17	1313.23	718.08	607.87	1008.9	1685.71	1388.16	738.29	1081.39	1457.23	412.0	624.99	1175.27	718.08	848.22	1909.85	1225.22	595.34	1250.98	785.88	1977.24	866.07	1662.49	759.08	1259.69	1561.89	896.64	1769.57	1572.76	1369.04	1963.57	1277.29	854.13	813.63	1268.46	802.41	587.13	947.83	1350.18
POLR2F	0.0	967.76	329.84	1639.59	1628.26	3212.66	2090.03	1662.49	2061.24	2777.33	1467.37	2119.22	1594.73	2609.3	2075.59	1991.0	2104.58	3639.7	1651.0	1936.53	2555.58	2032.85	2209.26	2133.97	2178.83	2701.35	2148.82	1369.04	830.75	2956.17	2319.15	2032.85	2627.46	2417.67	1923.14	2090.03	1963.57	1896.65	3081.75	3589.58	1605.83	1781.89	3690.52	1529.73	3665.02	2351.53	2119.22	2701.35	2758.13	2367.9	2609.3	1583.71	1896.65	1950.0	2502.97	1963.57	967.76	2018.8	1991.0	1340.84	1437.15	3018.3	1388.16	2018.8	2777.33	2417.67	1498.22	2537.92	1322.37	2627.46	2400.97	2224.63	1709.26	2451.44	2956.17	1651.0	3168.41	2645.74	2400.97	2573.36	2720.15	1781.89	1936.53	2682.69	1806.78	1651.0	2075.59	2758.13
POLR2G	0.0	547.75	896.64	1583.71	2271.4	2895.31	2720.15	1844.76	2018.8	3280.18	1674.06	3081.75	1331.57	2434.5	1909.85	2502.97	1617.0	3146.52	2061.24	2555.58	3212.66	2287.2	1977.24	2303.12	2976.74	2997.45	2400.97	1583.71	1651.0	1977.24	2351.53	2303.12	1104.13	2090.03	1628.26	2319.15	1806.78	2119.22	3349.13	3018.3	1883.54	2240.11	3589.58	2061.24	3564.78	2835.7	3146.52	2739.08	2485.67	2335.28	2739.08	1508.65	1769.57	2075.59	2193.99	1781.89	1896.65	2061.24	2434.5	2271.4	2271.4	2682.69	1572.76	1844.76	3303.0	2645.74	1757.34	2609.3	1769.57	3081.75	2287.2	2287.2	1963.57	2119.22	2555.58	1806.78	2502.97	2209.26	2434.5	2682.69	1977.24	2997.45	2915.45	3372.43	2335.28	1923.14	3928.15	3639.7
POLR2I	0.0	896.64	563.18	1540.37	1674.06	2384.37	1819.35	1331.57	1551.09	2335.28	1233.75	2133.97	1378.57	2468.49	2193.99	1697.45	1709.26	2956.17	1216.75	2468.49	2367.9	1923.14	2032.85	2417.67	2701.35	2645.74	1806.78	1397.83	1023.0	2627.46	2384.37	1806.78	2555.58	2537.92	1583.71	2148.82	1923.14	1572.76	2895.31	3280.18	1216.75	1561.89	3690.52	1127.35	3639.7	2627.46	2367.9	2193.99	2956.17	2047.0	2451.44	1242.34	1498.22	1685.71	2645.74	2319.15	1331.57	1991.0	2720.15	1397.83	1331.57	2104.58	1378.57	1551.09	3665.02	1857.6	1225.22	2609.3	1709.26	3467.27	2193.99	2303.12	1605.83	1870.53	2502.97	1769.57	2997.45	3018.3	1617.0	2384.37	1909.85	2004.85	1794.29	2520.38	1857.6	1519.15	2319.15	2777.33
POP5	0.0	236.21	444.72	780.44	902.89	1991.0	1023.0	698.41	1359.57	1340.84	785.88	1216.75	808.0	1208.34	961.07	941.27	674.59	1806.78	884.29	1286.18	1733.13	1008.9	1208.34	1322.37	1233.75	1662.49	1143.1	836.53	759.08	1685.71	1073.91	1295.13	1447.15	1388.16	665.29	1051.79	928.3	928.3	1819.35	1304.15	785.88	1023.0	1639.59	830.75	1572.76	1191.69	1208.34	2104.58	1340.84	954.43	1427.22	651.58	1051.79	1037.29	1167.14	1233.75	713.11	703.28	1359.57	974.5	1066.48	1250.98	583.07	733.19	1051.79	1331.57	981.29	1066.48	915.51	1477.58	954.43	1250.98	928.3	1340.84	1594.73	718.08	1721.16	1331.57	1378.57	1417.35	1268.46	1088.92	1250.98	1583.71	1030.12	909.17	1832.01	1427.22
RAB13	0.0	3103.19	1674.06	3589.58	3794.3	4972.34	5255.91	3372.43	4181.07	5041.77	3018.3	4769.75	3395.89	4358.66	4123.49	4066.71	3212.66	4769.75	3564.78	4038.61	4450.27	3768.09	3395.89	5183.54	5403.7	4481.23	4481.23	4066.71	2555.58	4512.4	3874.05	4123.49	6037.61	4769.75	3639.7	3039.3	2739.08	3742.05	2271.4	5041.77	3280.18	4972.34	6561.36	3614.55	4038.61	5555.65	4704.07	4512.4	4450.27	4268.94	4836.35	3168.41	3325.99	3081.75	4450.27	3349.13	3060.45	2915.45	5006.93	4123.49	4239.45	4671.57	2720.15	2627.46	4388.98	4123.49	3419.52	5292.48	3614.55	5479.15	4152.18	3982.99	3589.58	4152.18	4450.27	3491.39	5255.91	6121.9	4736.79	5112.16	5479.15	3955.48	4836.35	5479.15	3982.99	3349.13	5913.33	4358.66
RPP21	0.0	191.67	217.27	1167.14	1594.73	2400.97	1628.26	1015.93	1447.15	2209.26	791.35	1745.2	1143.1	2255.7	1447.15	1369.04	1447.15	2875.3	1119.56	1594.73	2163.77	1819.35	1806.78	1733.13	1909.85	2451.44	1697.45	1015.93	1259.69	2209.26	1617.0	1628.26	2018.8	1923.14	1745.2	1583.71	1540.37	1304.15	2895.31	2777.33	1159.07	1685.71	2627.46	995.0	3124.78	2193.99	1819.35	1832.01	2468.49	1551.09	2004.85	1268.46	1295.13	1498.22	2148.82	1639.59	1051.79	1378.57	1806.78	1111.82	1081.39	1870.53	1059.11	1331.57	2555.58	1923.14	1073.91	1870.53	2061.24	2520.38	1617.0	2209.26	1322.37	1662.49	2075.59	1191.69	2178.83	2303.12	2209.26	2018.8	1991.0	1427.22	1896.65	2163.77	1259.69	1250.98	1883.54	2319.15
RPP25L	0.0	111.21	249.73	890.44	1159.07	2271.4	1127.35	713.11	1457.23	1674.06	665.29	1417.35	909.17	1378.57	1304.15	981.29	1030.12	1832.01	902.89	1529.73	1572.76	1059.11	1551.09	1277.29	1331.57	1721.16	1208.34	995.0	866.07	1857.6	1685.71	1350.18	1909.85	1529.73	1119.56	1295.13	1277.29	1233.75	1844.76	2090.03	1008.9	1088.92	2032.85	884.29	1487.87	1467.37	1268.46	1540.37	1909.85	1277.29	1322.37	915.51	961.07	1250.98	1628.26	1572.76	988.12	579.04	1508.65	802.41	954.43	1397.83	769.69	1096.5	1674.06	1628.26	909.17	1594.73	1159.07	1844.76	1250.98	1519.15	1388.16	1896.65	1508.65	1066.48	1781.89	1883.54	1674.06	2119.22	1529.73	1135.2	1359.57	1628.26	1104.13	878.17	1397.83	1757.34
RPS19BP1	0.0	961.07	518.15	2976.74	2976.74	5555.65	3540.14	1709.26	4010.71	4298.64	1674.06	3665.02	2351.53	4736.79	3190.46	2835.7	2119.22	4769.75	2018.8	4268.94	4298.64	4639.29	3257.52	4543.8	4038.61	5292.48	3690.52	1963.57	981.29	4736.79	3467.27	3443.31	4268.94	5041.77	3349.13	3081.75	3467.27	2537.92	5791.62	5711.87	2271.4	3589.58	5594.3	1757.34	7382.04	4450.27	3540.14	5292.48	4769.75	3589.58	4152.18	2047.0	2047.0	3039.3	5112.16	3190.46	1572.76	3443.31	5006.93	1923.14	2417.67	3419.52	2240.11	2682.69	7280.4	4010.71	2271.4	3589.58	2468.49	4869.99	2609.3	4181.07	2591.27	3820.7	4639.29	3018.3	4328.55	4181.07	5006.93	5006.93	4298.64	3303.0	4010.71	4388.98	2855.44	2609.3	3716.2	4181.07
SF3B5	0.0	1369.04	2255.7	3018.3	3955.48	5751.61	4512.4	2351.53	3768.09	5041.77	2520.38	4869.99	3081.75	4903.87	3928.15	3190.46	3257.52	5633.22	3060.45	5329.3	5441.3	4802.93	3928.15	5006.93	5517.27	7433.4	4010.71	2816.11	1857.6	5147.73	5006.93	4066.71	4328.55	5112.16	3349.13	4268.94	3491.39	3280.18	6294.04	5831.91	3060.45	3419.52	7130.55	1628.26	6745.86	5517.27	4903.87	4450.27	5517.27	3491.39	4903.87	2915.45	3018.3	3928.15	5147.73	3564.78	3235.01	2915.45	4937.99	2855.44	3103.19	4152.18	2645.74	3235.01	6471.02	4543.8	2664.15	4869.99	1757.34	6037.61	3639.7	3982.99	3515.68	4639.29	5751.61	3491.39	4836.35	5219.6	3820.7	6607.01	4543.8	4481.23	4704.07	5255.91	3589.58	3190.46	6037.61	6699.25
SLIRP	0.0	1111.82	1073.91	2720.15	3257.52	6699.25	3614.55	2976.74	5006.93	4239.45	2502.97	3515.68	2468.49	5183.54	4512.4	2627.46	2133.97	6121.9	3018.3	3874.05	5006.93	4903.87	3847.29	5006.93	3325.99	6381.92	2777.33	2555.58	2935.74	6250.56	4268.94	3614.55	5183.54	5672.41	2090.03	3491.39	2434.5	4802.93	7589.61	6250.56	2367.9	3081.75	7749.1	2555.58	7032.37	3614.55	3901.01	4210.15	5517.27	3690.52	5517.27	2148.82	3124.78	3257.52	4836.35	3325.99	2209.26	3280.18	4869.99	3190.46	2434.5	3874.05	2384.37	2255.7	6426.31	4358.66	3103.19	4736.79	2271.4	5995.9	3589.58	4512.4	3614.55	3515.68	5872.48	2664.15	6294.04	6381.92	3820.7	5954.47	3742.05	2739.08	3325.99	3614.55	2351.53	2351.53	3955.48	4481.23
SMDT1	2287.2	1639.59	1104.13	4358.66	4388.98	8479.89	4607.24	2555.58	5366.37	6561.36	2739.08	5711.87	2816.11	6426.31	4419.52	4152.18	3168.41	7180.15	4481.23	4937.99	4869.99	7280.4	4836.35	6792.79	6792.79	7382.04	5255.91	3349.13	1709.26	7537.18	5633.22	4358.66	5751.61	8134.41	4736.79	3955.48	4123.49	5633.22	6745.86	9151.82	2758.13	5711.87	8479.89	3955.48	9025.81	5672.41	4268.94	6079.61	6745.86	5517.27	6792.79	2555.58	5255.91	4388.98	7280.4	5147.73	1870.53	4671.57	6840.04	4575.41	3982.99	5219.6	3081.75	3665.02	9540.5	4736.79	4210.15	5791.62	3874.05	7081.29	5076.84	5219.6	5006.93	5183.54	6337.83	2835.7	6294.04	7803.01	5112.16	8078.22	5831.91	5479.15	4937.99	6164.49	4543.8	3467.27	5751.61	5751.61
STUB1	0.0	872.1	981.29	2875.3	2609.3	4937.99	3257.52	2271.4	3716.2	3540.14	2895.31	3742.05	2224.63	3874.05	3280.18	2664.15	2777.33	4607.24	2451.44	4704.07	3928.15	3928.15	3820.7	4239.45	4512.4	4543.8	3372.43	3039.3	2303.12	3589.58	4388.98	3515.68	3716.2	4869.99	2451.44	3614.55	3614.55	3515.68	6121.9	5517.27	2240.11	3768.09	4836.35	2178.83	5555.65	4671.57	4210.15	4095.0	4512.4	3190.46	3491.39	2400.97	2720.15	3467.27	4704.07	3716.2	2485.67	3540.14	4937.99	3257.52	2520.38	3794.3	2287.2	2520.38	5255.91	3146.52	2384.37	4038.61	3146.52	5441.3	3614.55	4152.18	3515.68	4388.98	4869.99	2816.11	4836.35	4388.98	4010.71	4869.99	3742.05	3639.7	4181.07	4095.0	3235.01	2720.15	5292.48	4937.99
TEX264	0.0	420.68	915.51	1991.0	2148.82	4802.93	2720.15	1457.23	2935.74	3639.7	1709.26	2935.74	1674.06	4736.79	3124.78	1857.6	1594.73	3146.52	1508.65	3847.29	3515.68	3257.52	2816.11	2720.15	4123.49	3614.55	2591.27	1950.0	802.41	3372.43	3303.0	2645.74	3928.15	3467.27	1617.0	2664.15	2796.65	2835.7	3955.48	3982.99	2133.97	2777.33	4181.07	1447.15	5441.3	3325.99	2468.49	3467.27	3372.43	2434.5	3467.27	1769.57	1963.57	2855.44	4123.49	2434.5	1519.15	1259.69	2935.74	2163.77	2090.03	2875.3	1709.26	1561.89	3982.99	2739.08	1806.78	3212.66	2434.5	4210.15	3212.66	2816.11	2645.74	3395.89	4298.64	1963.57	3349.13	2976.74	3349.13	3847.29	2956.17	2645.74	3540.14	3820.7	2895.31	1819.35	3190.46	4152.18
THAP7	0.0	366.09	289.02	878.17	1119.56	2032.85	1081.39	620.67	1175.27	1259.69	563.18	1119.56	713.11	1551.09	1030.12	866.07	775.05	1407.55	647.07	1331.57	1175.27	1697.45	902.89	1322.37	1437.15	1605.83	1044.52	595.34	314.17	1417.35	1104.13	1044.52	1242.34	1457.23	1104.13	1008.9	1008.9	785.88	1832.01	1794.29	866.07	1037.29	1605.83	693.58	1909.85	1498.22	1225.22	1662.49	1313.23	1143.1	1540.37	921.88	713.11	995.0	1225.22	1119.56	909.17	848.22	1331.57	674.59	848.22	1225.22	836.53	872.1	1628.26	1183.45	669.92	1199.98	890.44	1651.0	1037.29	1617.0	728.11	1081.39	1487.87	1015.93	1417.35	1407.55	1477.58	1628.26	1088.92	1023.0	1487.87	1388.16	1051.79	921.88	1250.98	1216.75
TMED3	0.0	543.96	1936.53	6294.04	5872.48	7537.18	4704.07	4239.45	5479.15	7280.4	3742.05	6207.38	4095.0	7382.04	5594.3	4671.57	3540.14	6840.04	2209.26	9088.59	9409.14	5711.87	8363.13	8598.28	6164.49	11584.24	5041.77	2816.11	3665.02	9088.59	8840.04	5255.91	7857.29	9740.98	6337.83	4639.29	4736.79	6294.04	6250.56	8479.89	5403.7	4512.4	13586.57	3540.14	8718.32	5913.33	6164.49	7280.4	6745.86	5255.91	7130.55	7180.15	3742.05	8078.22	8363.13	4607.24	3419.52	3146.52	9945.68	4481.23	3589.58	4298.64	3443.31	5292.48	10585.95	7230.1	5441.3	7966.99	6164.49	7911.95	5672.41	7331.05	5076.84	5517.27	8247.98	5441.3	7230.1	8363.13	5219.6	7966.99	5441.3	5076.84	4671.57	5633.22	3955.48	2816.11	5441.3	8963.45
TMEM134	0.0	400.71	967.76	3665.02	3716.2	5872.48	4123.49	2032.85	4419.52	4769.75	1757.34	4903.87	2739.08	6121.9	3847.29	3018.3	2796.65	8305.36	2209.26	5403.7	5954.47	6607.01	4210.15	4481.23	5255.91	4639.29	4210.15	2758.13	1936.53	5076.84	4038.61	4419.52	4937.99	5403.7	2997.45	3874.05	4095.0	3039.3	7803.01	6516.03	3235.01	5555.65	7032.37	2271.4	9215.48	5995.9	4802.93	4769.75	4639.29	3716.2	5147.73	3325.99	2468.49	3589.58	5633.22	3716.2	2935.74	3419.52	5441.3	3018.3	2956.17	6652.97	2061.24	2468.49	7433.4	4268.94	2047.0	4328.55	2591.27	7589.61	4066.71	6745.86	3372.43	6164.49	6337.83	3060.45	5995.9	4704.07	6471.02	5366.37	4450.27	4512.4	5183.54	4972.34	3847.29	2451.44	5006.93	6037.61
TRAPPC5	0.0	651.58	612.11	1697.45	2209.26	3768.09	2537.92	1259.69	2367.9	3235.01	1457.23	3060.45	1529.73	3820.7	2271.4	2255.7	1963.57	3955.48	1508.65	4239.45	3564.78	3039.3	2468.49	2915.45	4010.71	5479.15	2178.83	1407.55	1487.87	4543.8	3146.52	2367.9	3325.99	3325.99	2255.7	2855.44	2209.26	1909.85	3690.52	4181.07	1407.55	2319.15	4736.79	1417.35	3443.31	4769.75	2351.53	3018.3	3794.3	2739.08	2835.7	2018.8	1769.57	2520.38	3467.27	2520.38	1477.58	2090.03	3515.68	1447.15	1721.16	2520.38	1572.76	1923.14	5041.77	2855.44	1605.83	3639.7	1936.53	5831.91	2682.69	3564.78	1781.89	3303.0	3303.0	2032.85	4239.45	4671.57	2758.13	4937.99	2609.3	2240.11	3039.3	3491.39	2351.53	1857.6	3349.13	3443.31
TSR3	0.0	358.54	403.5	1044.52	1151.06	1991.0	1369.04	769.69	1457.23	1685.71	808.0	1594.73	1066.48	1709.26	1487.87	1143.1	1175.27	1963.57	974.5	1806.78	1685.71	1447.15	1594.73	1991.0	1794.29	1806.78	1467.37	872.1	848.22	1651.0	1639.59	1340.84	1909.85	1909.85	1322.37	1551.09	1457.23	981.29	1709.26	2502.97	1037.29	1447.15	2224.63	981.29	1923.14	1923.14	1417.35	1651.0	2287.2	1313.23	1498.22	1015.93	1143.1	1250.98	2032.85	1697.45	934.76	1340.84	1832.01	1059.11	921.88	1498.22	1059.11	1143.1	2104.58	1447.15	981.29	1923.14	1583.71	2018.8	1561.89	1794.29	1167.14	1477.58	2104.58	1369.04	2061.24	1936.53	1674.06	2061.24	1529.73	1286.18	1417.35	1769.57	1359.57	1242.34	1407.55	1697.45
TXNL4A	0.0	738.29	941.27	1832.01	2400.97	3847.29	2451.44	1583.71	2701.35	2627.46	1769.57	2351.53	1268.46	2976.74	2915.45	1883.54	2193.99	3716.2	1662.49	2855.44	3039.3	1651.0	2319.15	2835.7	2384.37	4123.49	2335.28	1883.54	1001.93	2645.74	3280.18	2434.5	3168.41	3325.99	2520.38	2485.67	2148.82	1467.37	2178.83	4419.52	988.12	2255.7	4239.45	2032.85	3235.01	2720.15	2758.13	2855.44	3190.46	2591.27	1697.45	1769.57	2193.99	2193.99	2976.74	2319.15	1088.92	2255.7	3419.52	2047.0	1561.89	1369.04	1447.15	1844.76	4543.8	2573.36	1832.01	3614.55	1208.34	3395.89	2591.27	2573.36	2163.77	2875.3	3212.66	1572.76	3665.02	3540.14	2835.7	3349.13	1794.29	1896.65	1923.14	2777.33	1844.76	1457.23	2287.2	3190.46
UQCR10	0.0	961.07	1397.83	2796.65	3794.3	5479.15	5076.84	2061.24	4481.23	5831.91	3467.27	4802.93	2555.58	5255.91	3820.7	3419.52	2777.33	6471.02	3039.3	4239.45	5954.47	4639.29	4095.0	5041.77	6164.49	6381.92	4181.07	3168.41	1561.89	5112.16	4639.29	4210.15	5403.7	5366.37	3124.78	3639.7	3515.68	4903.87	6079.61	6887.62	3060.45	4152.18	7485.11	3146.52	7485.11	5594.3	4328.55	4268.94	5751.61	4066.71	5995.9	2451.44	3303.0	4419.52	4639.29	3665.02	2915.45	3060.45	5183.54	4298.64	3257.52	4210.15	2520.38	2645.74	7180.15	5255.91	3124.78	6079.61	2645.74	6381.92	4512.4	4836.35	3982.99	5006.93	6607.01	3018.3	6607.01	5711.87	4239.45	6121.9	4181.07	4869.99	5329.3	5672.41	3982.99	2915.45	6745.86	7081.29
