	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A233.01A.11R.A14Y.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.DJ.A3UX.01A.11R.A22L.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.J8.A3YD.01A.11R.A22U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.EM.A2OZ.01A.11R.A206.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2PN.01A.21R.A19O.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.EL.A3T8.01A.21R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
MET	2004.85	3018.3	3190.46	3443.31	2935.74	2720.15	1857.6	1617.0	2935.74	3349.13	3081.75	2627.46	2090.03	2434.5	2351.53	507.46	1857.6	3039.3	2537.92	2303.12	4066.71	4010.71	3443.31	2627.46	2061.24	301.33	563.18	309.83	258.57	279.14	353.59	480.04	186.4	159.9	591.22	1225.22	218.79	441.64	190.34	260.38	301.33	507.46	368.65	373.81	490.14	376.41	351.14	244.57	381.68	780.44	813.63	1457.23	473.41	674.59	129.69	400.71	267.73	171.45	733.19	178.77	299.25	500.46	158.79
MGRN1	1477.58	1059.11	1216.75	1529.73	1250.98	1277.29	1096.5	921.88	1081.39	1407.55	1135.2	1529.73	1369.04	1487.87	1417.35	1183.45	1001.93	1143.1	1617.0	1457.23	1369.04	1794.29	1081.39	1199.98	1001.93	848.22	669.92	890.44	1191.69	1015.93	738.29	638.15	647.07	941.27	769.69	1199.98	836.53	981.29	915.51	796.86	607.87	813.63	713.11	896.64	896.64	591.22	836.53	743.43	988.12	1051.79	1030.12	713.11	718.08	915.51	836.53	1015.93	796.86	878.17	703.28	1008.9	1073.91	775.05	743.43
MNT	351.14	318.57	376.41	376.41	363.56	438.59	339.14	281.09	287.01	368.65	420.68	285.03	358.54	441.64	361.04	412.0	267.73	371.22	403.5	329.84	493.56	334.46	297.17	368.65	435.55	217.27	195.72	253.23	423.61	466.88	180.02	197.09	239.52	237.86	267.73	253.23	356.05	237.86	366.09	234.57	336.79	273.37	229.72	327.56	264.03	194.36	316.37	234.57	327.56	295.11	334.46	291.04	236.21	307.69	251.48	291.04	336.79	358.54	246.28	215.77	244.57	309.83	206.94
MREG	141.02	182.55	208.38	130.6	193.01	155.5	105.15	135.24	198.47	177.53	212.78	156.59	111.21	144.01	108.14	77.25	82.29	260.38	147.06	130.6	181.28	120.1	215.77	193.01	189.02	57.89	124.37	67.59	56.68	98.04	118.43	53.95	83.45	34.26	63.45	58.3	44.57	127.0	82.29	70.51	93.35	92.05	82.87	57.49	140.04	89.51	63.0	56.28	139.07	64.8	96.68	94.67	113.56	82.87	36.01	57.89	95.34	122.64	112.77	63.89	73.03	63.89	87.03
MSN	9279.58	9606.86	9945.68	14361.31	11035.54	12329.98	8901.53	7180.15	9606.86	10084.54	10225.32	11992.79	9945.68	11584.24	9808.75	5954.47	5995.9	13399.51	11345.82	11584.24	13968.57	10959.3	10883.59	9215.48	10659.59	3235.01	5594.3	3081.75	5329.3	4671.57	5255.91	4481.23	2895.31	2319.15	4358.66	3190.46	3820.7	4802.93	3303.0	2875.3	2997.45	4481.23	3124.78	4937.99	4152.18	3325.99	4038.61	2451.44	4639.29	5403.7	7130.55	4298.64	2451.44	3955.48	3491.39	3874.05	2701.35	3325.99	3081.75	3564.78	4481.23	3742.05	3168.41
MTHFD2	2591.27	432.53	703.28	1457.23	457.25	460.44	656.11	890.44	563.18	753.83	426.57	1340.84	1457.23	915.51	1467.37	301.33	267.73	587.13	536.45	1950.0	269.6	1175.27	954.43	595.34	483.38	226.54	148.09	234.57	460.44	181.28	204.07	82.29	106.63	303.44	275.28	185.11	229.72	153.34	223.41	127.0	547.75	135.24	136.19	277.2	214.27	145.02	267.73	172.65	147.06	420.68	603.67	93.35	121.79	224.97	279.14	190.34	269.6	189.02	295.11	80.01	84.04	229.72	82.29
MYO1C	2047.0	2915.45	2502.97	3103.19	2855.44	2796.65	2287.2	2004.85	2875.3	2739.08	2384.37	2875.3	2645.74	2875.3	2645.74	1963.57	2104.58	2627.46	2816.11	2664.15	3081.75	3018.3	2875.3	2335.28	2645.74	1378.57	1268.46	1674.06	2591.27	2384.37	1781.89	1268.46	1183.45	1963.57	2032.85	1991.0	1991.0	1977.24	2193.99	1304.15	1427.22	1350.18	1709.26	1709.26	2193.99	1322.37	2591.27	1572.76	1594.73	2271.4	2468.49	1745.2	1896.65	1977.24	1651.0	1991.0	2018.8	1709.26	1794.29	1487.87	1572.76	1870.53	1295.13
MYO5B	1104.13	1030.12	825.0	1583.71	769.69	967.76	819.3	607.87	934.76	988.12	1051.79	1111.82	1127.35	1001.93	802.41	656.11	624.99	1073.91	825.0	884.29	1081.39	1378.57	1397.83	830.75	825.0	638.15	511.0	819.3	642.59	518.15	718.08	665.29	579.04	379.04	624.99	728.11	417.77	796.86	591.22	836.53	674.59	583.07	785.88	629.35	551.56	595.34	688.78	854.13	575.03	603.67	490.14	981.29	684.02	748.61	447.82	967.76	703.28	392.44	909.17	713.11	620.67	579.04	780.44
MYO6	647.07	1111.82	688.78	759.08	1044.52	703.28	607.87	529.06	1044.52	1143.1	698.41	620.67	507.46	813.63	607.87	486.75	679.29	878.17	665.29	638.15	775.05	1030.12	854.13	866.07	723.08	314.17	518.15	384.34	356.05	414.87	312.0	480.04	327.56	339.14	536.45	389.72	363.56	384.34	409.15	170.25	251.48	395.18	231.32	327.56	525.39	303.44	543.96	239.52	412.0	457.25	624.99	878.17	212.78	555.41	297.17	403.5	450.94	373.81	283.05	214.27	316.37	406.31	305.55
NAB2	2701.35	2609.3	2485.67	2303.12	2758.13	2520.38	2400.97	1781.89	2209.26	2209.26	2367.9	2004.85	2627.46	2915.45	2434.5	1350.18	1551.09	2319.15	2502.97	2855.44	2485.67	2018.8	2004.85	2075.59	2384.37	343.89	384.34	271.48	1781.89	928.3	301.33	426.57	309.83	366.09	325.29	320.8	334.46	426.57	470.14	260.38	1407.55	409.15	698.41	432.53	723.08	460.44	825.0	551.56	785.88	587.13	866.07	409.15	493.56	460.44	567.1	381.68	332.14	457.25	748.61	412.0	389.72	305.55	271.48
NGEF	547.75	915.51	896.64	1104.13	599.49	753.83	703.28	271.48	708.18	1059.11	708.18	698.41	379.04	1175.27	684.02	92.05	567.1	373.81	967.76	295.11	988.12	785.88	575.03	718.08	473.41	17.38	5.5	9.93	21.16	13.72	63.89	10.31	2.29	0.0	7.17	35.5	12.64	45.21	21.16	30.12	5.06	16.39	12.45	0.96	0.27	3.56	5.19	0.0	3.06	7.63	3.99	1.5	0.0	5.32	84.63	5.28	1.89	70.01	6.41	3.35	6.94	10.08	16.27
NGFR	1487.87	1081.39	1594.73	555.41	575.03	1519.15	571.05	638.15	961.07	371.22	1674.06	409.15	961.07	1143.1	1709.26	90.14	185.11	1008.9	1697.45	1268.46	1167.14	693.58	368.65	1250.98	1407.55	547.75	60.39	234.57	234.57	532.74	323.03	116.78	37.59	466.88	265.87	269.6	656.11	819.3	343.89	52.08	87.65	497.0	64.8	1216.75	172.65	18.29	363.56	86.43	291.04	157.68	521.76	194.36	202.66	52.82	142.01	72.52	529.06	63.89	22.75	86.43	81.14	403.5	54.33
NIPAL2	285.03	334.46	281.09	371.22	332.14	325.29	327.56	262.2	332.14	373.81	339.14	297.17	206.94	256.78	244.57	264.03	242.88	251.48	205.5	323.03	368.65	320.8	283.05	295.11	358.54	135.24	116.78	151.22	95.34	186.4	169.07	157.68	260.38	202.66	155.5	152.28	119.26	147.06	197.09	177.53	131.51	135.24	185.11	142.01	117.6	153.34	150.17	71.5	108.14	133.36	183.82	110.43	91.41	131.51	94.67	157.68	145.02	189.02	166.73	144.01	177.53	153.34	198.47
NOD1	921.88	1923.14	1977.24	1151.06	1896.65	2351.53	1322.37	1199.98	1617.0	2075.59	3467.27	1037.29	1104.13	1259.69	1104.13	454.09	647.07	1331.57	1963.57	842.36	2104.58	1359.57	1407.55	2400.97	3443.31	79.45	59.97	141.02	129.69	120.1	83.45	71.5	193.01	120.1	102.25	185.11	82.87	112.77	120.1	150.17	403.5	128.79	114.36	152.28	90.14	99.43	134.3	100.83	111.99	595.34	209.84	212.78	159.9	132.44	74.58	124.37	92.05	82.29	265.87	73.03	46.5	151.22	72.52
NPEPPS	1583.71	1781.89	1674.06	1685.71	1175.27	1477.58	1359.57	1199.98	1662.49	1467.37	1950.0	1268.46	1199.98	1397.83	1340.84	1030.12	1250.98	1268.46	1397.83	1388.16	1819.35	1467.37	1369.04	1540.37	1378.57	808.0	708.18	947.83	854.13	1295.13	688.78	748.61	830.75	1030.12	854.13	1199.98	1104.13	928.3	1151.06	679.29	928.3	836.53	764.36	909.17	808.0	607.87	1259.69	703.28	813.63	1175.27	1037.29	1250.98	780.44	1268.46	693.58	1044.52	1023.0	1081.39	775.05	902.89	679.29	902.89	620.67
NR1D1	1572.76	1286.18	902.89	595.34	669.92	1781.89	1051.79	915.51	1295.13	1519.15	1844.76	463.65	3018.3	2004.85	1936.53	802.41	1467.37	1059.11	2061.24	1794.29	2032.85	1127.35	301.33	1216.75	1096.5	48.87	620.67	450.94	54.72	169.07	571.05	82.87	57.49	206.94	42.41	299.25	76.17	152.28	112.77	138.1	255.0	186.4	161.02	156.59	64.34	825.0	343.89	100.13	152.28	848.22	329.84	211.31	185.11	46.5	74.58	363.56	157.68	201.25	29.27	92.05	143.01	36.79	31.67
NRIP1	555.41	497.0	403.5	314.17	368.65	363.56	183.82	206.94	336.79	629.35	587.13	293.07	183.82	339.14	232.94	115.16	120.1	457.25	387.02	237.86	423.61	348.71	323.03	532.74	327.56	95.34	172.65	146.03	89.51	92.7	84.04	193.01	68.07	75.64	105.15	107.38	72.01	71.5	92.7	50.98	52.08	143.01	63.89	143.01	48.87	78.34	155.5	32.36	67.12	121.79	293.07	104.42	62.12	77.25	55.89	70.51	161.02	86.43	36.27	49.91	97.36	90.14	34.26
OIT3	34.26	11.47	39.5	26.67	89.51	58.3	21.63	14.56	31.45	14.45	10.96	15.91	39.5	61.68	19.53	57.08	11.47	118.43	14.67	81.71	22.59	20.11	19.25	87.65	39.5	1.35	1.75	0.42	1.28	0.0	0.82	0.4	1.66	0.41	0.4	0.0	1.27	0.0	0.88	1.3	0.0	1.31	0.84	0.0	0.93	1.22	7.51	0.0	25.72	0.0	4.5	0.0	2.07	0.0	4.24	0.0	1.33	1.22	3.44	0.8	0.4	0.0	2.61
OR4D10	13.42	6.31	19.82	7.22	29.91	14.45	13.83	4.62	8.19	20.41	27.05	23.59	16.27	19.68	26.28	0.0	20.86	18.97	31.22	6.52	28.65	9.13	5.19	18.84	11.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5A1	1.28	2.34	2.58	1.6	4.03	2.84	1.3	0.74	2.36	0.72	5.63	3.99	0.73	2.07	4.39	0.0	2.76	0.45	2.63	0.72	7.75	1.04	0.74	2.43	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PABPC4	2537.92	2796.65	3018.3	3742.05	3039.3	3349.13	2664.15	3212.66	2835.7	2875.3	3124.78	3491.39	4181.07	3349.13	3146.52	2004.85	2796.65	2627.46	2796.65	3039.3	3124.78	3018.3	2682.69	3443.31	3168.41	1697.45	1519.15	2004.85	2163.77	2133.97	1991.0	1832.01	1794.29	2384.37	1819.35	2018.8	2178.83	1844.76	2451.44	2255.7	3168.41	1832.01	1857.6	2271.4	2335.28	1583.71	2875.3	1594.73	1909.85	2287.2	2739.08	1977.24	1806.78	2224.63	1832.01	2224.63	2271.4	2061.24	2400.97	1923.14	1721.16	2018.8	1844.76
PALM	1721.16	1540.37	1551.09	1359.57	1605.83	1617.0	1023.0	785.88	1519.15	1819.35	1794.29	988.12	1551.09	1551.09	1508.65	486.75	785.88	1709.26	1397.83	988.12	1388.16	1313.23	1216.75	1208.34	1697.45	341.51	423.61	232.94	131.51	116.78	318.57	384.34	400.71	332.14	113.56	273.37	178.77	279.14	145.02	1397.83	281.09	151.22	493.56	409.15	211.31	371.22	149.12	152.28	55.1	48.18	301.33	38.95	169.07	59.55	441.64	111.99	156.59	379.04	387.02	351.14	403.5	371.22	256.78
PAPLN	1331.57	1467.37	1313.23	1059.11	1936.53	1208.34	1242.34	684.02	1304.15	1519.15	1477.58	995.0	620.67	1259.69	1008.9	473.41	947.83	1508.65	1286.18	872.1	1259.69	1030.12	995.0	1143.1	1572.76	237.86	232.94	607.87	176.29	264.03	665.29	500.46	525.39	713.11	269.6	329.84	194.36	249.73	363.56	769.69	825.0	417.77	713.11	287.01	224.97	536.45	466.88	242.88	94.67	518.15	312.0	228.13	171.45	500.46	348.71	616.37	127.0	860.08	1208.34	521.76	521.76	379.04	256.78
PDE5A	1697.45	2468.49	2384.37	2209.26	2956.17	2061.24	1572.76	1175.27	2255.7	2485.67	3168.41	2047.0	1745.2	2271.4	1745.2	536.45	1397.83	2835.7	2148.82	2224.63	3419.52	2287.2	2255.7	3235.01	1977.24	108.14	432.53	307.69	320.8	244.57	332.14	400.71	309.83	154.42	339.14	165.57	287.01	521.76	591.22	303.44	226.54	205.5	231.32	193.01	223.41	194.36	454.09	320.8	358.54	432.53	444.72	264.03	231.32	343.89	170.25	241.19	339.14	743.43	264.03	325.29	220.32	325.29	289.02
PLAG1	90.14	134.3	115.97	137.14	157.68	141.02	116.78	82.87	126.12	134.3	197.09	116.78	115.97	131.51	104.42	120.1	94.67	125.24	132.44	124.37	183.82	109.66	126.12	186.4	171.45	37.32	18.03	48.18	36.53	24.81	20.86	9.27	73.54	54.72	54.72	29.7	18.29	52.45	65.72	31.0	13.12	9.2	14.89	19.97	16.27	35.0	83.45	30.34	20.86	36.53	42.41	23.25	4.35	39.79	1.66	35.5	30.12	44.25	22.43	92.7	7.57	14.56	19.68
PLXNA4	236.21	18.56	61.25	53.19	93.35	132.44	61.25	154.42	24.81	15.11	96.68	36.01	92.7	98.04	117.6	68.07	33.54	182.55	111.99	116.78	29.91	42.11	23.76	102.25	33.3	21.47	16.51	7.28	5.82	17.64	38.95	13.52	18.29	58.71	9.93	5.87	14.67	8.99	32.59	11.91	7.82	40.07	12.18	16.63	5.41	14.45	14.56	8.85	38.95	11.3	11.21	3.26	3.03	3.17	40.36	8.0	46.84	8.99	5.36	5.59	7.63	27.64	11.21
PMAIP1	147.06	113.56	175.07	141.02	38.67	65.26	87.03	55.49	153.34	248.0	76.71	105.89	127.89	98.73	117.6	17.77	36.79	40.36	69.52	130.6	68.55	197.09	237.86	94.01	60.39	1.73	38.67	7.69	65.72	47.17	8.32	28.45	6.52	12.93	40.93	19.53	10.16	10.08	71.0	8.19	27.64	6.57	19.53	33.54	16.88	8.58	5.87	5.41	48.18	40.93	22.75	9.13	4.9	20.41	30.56	7.57	25.17	24.63	38.95	6.52	8.32	7.82	4.58
PNMA1	1135.2	941.27	1081.39	884.29	902.89	1066.48	981.29	738.29	872.1	921.88	1015.93	1008.9	1015.93	1242.34	1015.93	775.05	703.28	995.0	1066.48	1159.07	995.0	909.17	616.37	1111.82	934.76	497.0	603.67	525.39	669.92	708.18	599.49	493.56	447.82	476.71	713.11	651.58	599.49	954.43	629.35	412.0	483.38	563.18	493.56	842.36	507.46	518.15	753.83	656.11	525.39	769.69	571.05	511.0	543.96	848.22	660.68	743.43	665.29	490.14	460.44	490.14	532.74	669.92	551.56
PNPLA5	87.03	28.65	31.9	35.76	44.25	47.17	46.18	20.41	29.27	46.18	67.12	19.53	12.09	64.8	50.27	0.0	12.36	77.25	31.67	40.07	36.01	17.77	15.68	38.67	35.76	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.0	1.39	0.0	16.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POU2F3	159.9	256.78	275.28	204.07	181.28	229.72	212.78	204.07	249.73	231.32	271.48	194.36	189.02	277.2	264.03	137.14	199.85	185.11	256.78	215.77	303.44	202.66	124.37	242.88	176.29	35.76	38.12	14.03	15.56	22.59	38.12	8.99	24.28	78.34	50.98	82.87	32.36	79.45	12.18	40.64	57.89	43.94	66.65	22.43	10.08	53.57	26.47	27.84	25.17	92.05	47.84	9.85	15.22	36.53	23.76	40.07	8.0	57.08	96.01	17.25	32.82	22.75	6.46
PROS1	3280.18	8191.0	6426.31	4937.99	4210.15	5517.27	4512.4	2720.15	6250.56	7230.1	4704.07	6381.92	5791.62	5183.54	5672.41	583.07	2935.74	3146.52	6381.92	4543.8	6792.79	6079.61	4152.18	5831.91	3280.18	211.31	186.4	181.28	237.86	155.5	173.85	181.28	384.34	336.79	500.46	327.56	165.57	195.72	176.29	305.55	215.77	146.03	162.14	351.14	142.01	297.17	269.6	111.99	397.93	175.07	1037.29	83.45	102.25	255.0	351.14	204.07	320.8	175.07	75.64	169.07	100.83	417.77	87.03
PTPLA	941.27	708.18	529.06	1066.48	336.79	825.0	647.07	403.5	612.11	703.28	341.51	595.34	775.05	356.05	536.45	201.25	567.1	336.79	260.38	547.75	473.41	872.1	884.29	182.55	447.82	212.78	171.45	166.73	163.28	218.79	231.32	136.19	113.56	180.02	368.65	112.77	244.57	348.71	224.97	107.38	190.34	95.34	125.24	209.84	332.14	279.14	205.5	638.15	164.42	376.41	301.33	348.71	299.25	320.8	67.12	343.89	205.5	105.15	215.77	177.53	100.83	229.72	47.5
PTPRK	334.46	432.53	450.94	571.05	348.71	358.54	256.78	325.29	379.04	397.93	417.77	389.72	403.5	403.5	320.8	246.28	237.86	441.64	389.72	395.18	447.82	518.15	543.96	454.09	339.14	166.73	332.14	303.44	239.52	283.05	229.72	356.05	226.54	246.28	260.38	403.5	142.01	221.86	217.27	180.02	159.9	277.2	189.02	229.72	166.73	224.97	271.48	176.29	214.27	309.83	438.59	277.2	164.42	189.02	309.83	293.07	212.78	197.09	144.01	136.19	283.05	285.03	147.06
PVRL4	348.71	463.65	384.34	269.6	323.03	327.56	255.0	150.17	373.81	460.44	450.94	237.86	189.02	334.46	303.44	124.37	224.97	295.11	441.64	226.54	417.77	307.69	242.88	299.25	198.47	3.35	10.79	7.11	0.37	0.0	7.17	0.06	3.82	7.51	0.37	1.41	2.61	5.92	1.53	12.36	12.64	5.92	19.97	2.84	17.64	13.22	4.66	4.7	0.71	0.41	21.78	1.41	5.19	0.8	3.17	17.0	0.11	17.77	2.36	3.82	2.14	6.62	7.63
RAB27A	2271.4	2319.15	2645.74	2682.69	2075.59	2739.08	1721.16	1551.09	2178.83	2956.17	2645.74	1781.89	1583.71	2335.28	2104.58	902.89	1096.5	2287.2	2384.37	2319.15	2956.17	2682.69	2004.85	2537.92	3257.52	409.15	638.15	414.87	872.1	624.99	470.14	620.67	271.48	327.56	713.11	351.14	607.87	674.59	318.57	320.8	688.78	379.04	599.49	684.02	624.99	497.0	429.54	470.14	1277.29	1104.13	1159.07	599.49	674.59	575.03	397.93	500.46	497.0	215.77	872.1	241.19	460.44	529.06	299.25
RABGGTB	1733.13	1963.57	1781.89	1794.29	1583.71	1674.06	1923.14	1594.73	1709.26	1909.85	1745.2	1806.78	1896.65	1757.34	1757.34	1225.22	1561.89	1477.58	1594.73	2400.97	1617.0	1628.26	1781.89	1427.22	1697.45	896.64	1143.1	1135.2	1104.13	1096.5	1233.75	1191.69	974.5	995.0	1151.06	1167.14	1378.57	796.86	1127.35	915.51	1304.15	785.88	1030.12	1277.29	961.07	1127.35	1059.11	902.89	1233.75	1167.14	1369.04	1331.57	947.83	1135.2	825.0	1037.29	1259.69	1051.79	1313.23	791.35	921.88	1175.27	1175.27
RAD23B	5479.15	4575.41	4972.34	5112.16	4010.71	5006.93	4123.49	3419.52	4388.98	5219.6	5329.3	5076.84	3303.0	4802.93	3901.01	2119.22	2682.69	6607.01	4358.66	4607.24	5872.48	5366.37	2956.17	4543.8	3419.52	2451.44	2758.13	1674.06	2758.13	1923.14	1963.57	2384.37	1127.35	1259.69	2835.7	2209.26	1832.01	1923.14	1583.71	1119.56	1191.69	2090.03	1628.26	2682.69	1477.58	1322.37	1721.16	1331.57	2417.67	3303.0	3564.78	2434.5	1151.06	2434.5	1594.73	1572.76	1923.14	1199.98	1857.6	1119.56	1769.57	2193.99	1572.76
RAMP1	152.28	316.37	688.78	218.79	902.89	728.11	514.56	620.67	791.35	94.67	339.14	555.41	409.15	551.56	376.41	106.63	96.68	197.09	236.21	480.04	94.01	297.17	384.34	915.51	1233.75	43.02	164.42	166.73	59.55	18.97	115.16	28.04	70.01	32.82	17.38	38.12	23.59	82.29	42.71	291.04	132.44	53.19	190.34	36.53	20.71	49.91	19.25	57.49	13.22	96.68	11.73	18.43	120.94	14.14	72.01	13.12	20.86	220.32	98.04	18.29	84.04	37.85	187.71
RASAL2	180.02	206.94	221.86	195.72	194.36	195.72	171.45	169.07	181.28	187.71	220.32	127.0	142.01	186.4	150.17	151.22	144.01	157.68	237.86	171.45	231.32	241.19	202.66	262.2	189.02	67.59	98.04	100.13	95.34	122.64	124.37	56.68	84.04	88.88	88.26	117.6	73.03	102.25	108.14	60.39	57.89	78.89	81.71	84.63	68.55	64.8	117.6	40.64	85.22	92.7	118.43	115.16	41.22	105.89	68.55	93.35	98.04	102.97	53.57	70.51	70.51	92.7	57.49
REN	31.22	38.95	27.44	12.93	75.11	50.63	16.88	23.25	40.07	76.17	22.26	28.24	8.13	99.43	18.29	23.59	24.46	54.33	21.63	39.79	39.79	28.45	7.63	27.25	22.43	0.65	0.6	0.0	0.0	0.0	0.0	0.0	1.06	0.0	7.11	0.0	0.0	0.0	9.63	0.0	1.06	9.41	0.0	5.68	5.28	0.0	1.73	2.41	3.06	0.0	0.66	0.0	0.54	1.23	1.14	0.0	3.23	1.06	6.52	1.07	0.58	5.63	1.08
RNF183	15.68	185.11	223.41	29.27	101.54	37.05	31.45	32.36	4.62	146.03	56.68	65.26	22.59	84.63	36.27	7.06	19.25	12.64	118.43	54.72	108.14	38.67	21.78	154.42	101.54	0.13	9.48	2.81	4.17	9.27	22.92	14.56	20.56	17.25	6.89	15.22	3.06	7.63	6.46	18.03	10.47	6.26	3.14	0.0	1.55	1.39	4.82	3.47	2.68	1.5	4.43	15.11	1.71	0.0	1.6	1.43	1.95	19.97	9.63	21.63	3.76	14.35	9.2
RNF24	463.65	490.14	486.75	571.05	371.22	500.46	406.31	373.81	483.38	447.82	551.56	432.53	503.95	423.61	518.15	309.83	273.37	409.15	476.71	503.95	486.75	463.65	486.75	444.72	429.54	155.5	132.44	144.01	193.01	175.07	77.25	132.44	91.41	176.29	131.51	163.28	229.72	172.65	149.12	107.38	115.16	176.29	115.97	265.87	137.14	94.01	169.07	186.4	195.72	193.01	262.2	269.6	215.77	153.34	170.25	164.42	244.57	95.34	131.51	121.79	119.26	145.02	101.54
RP11-366L20.2	112.77	299.25	232.94	215.77	255.0	260.38	299.25	279.14	309.83	88.88	297.17	209.84	218.79	212.78	260.38	122.64	229.72	271.48	211.31	314.17	555.41	186.4	234.57	297.17	120.94	32.13	18.03	23.93	5.82	18.7	12.74	52.82	16.03	41.81	9.41	87.65	4.82	60.82	40.36	19.53	9.7	24.81	11.21	20.11	4.82	3.92	47.5	111.21	84.63	14.35	18.29	54.33	16.88	50.98	3.86	99.43	47.84	8.32	10.79	48.87	15.0	13.52	44.89
RP11-644F5.10	126.12	89.51	77.79	101.54	100.83	175.07	193.01	105.89	94.67	96.68	75.11	69.03	107.38	138.1	100.83	60.82	73.03	82.87	77.79	122.64	147.06	53.95	72.01	59.13	112.77	17.0	25.54	45.53	21.47	41.81	22.59	26.28	58.71	42.71	40.36	36.53	21.47	35.25	57.08	48.52	51.35	46.84	41.81	35.76	12.36	34.02	42.41	46.18	40.64	37.32	31.22	20.56	34.26	19.97	48.18	35.0	38.4	32.59	26.1	82.87	32.36	32.36	72.01
RSPO4	209.84	417.77	429.54	435.55	267.73	607.87	551.56	181.28	447.82	329.84	387.02	293.07	226.54	309.83	441.64	122.64	135.24	283.05	423.61	287.01	420.68	314.17	371.22	397.93	476.71	40.64	7.82	52.82	20.26	14.56	5.68	98.73	20.41	35.0	19.97	58.3	37.05	89.51	309.83	65.72	109.66	0.45	67.59	56.28	11.47	12.55	15.56	18.29	49.21	55.89	75.64	43.63	26.1	24.99	2.68	18.43	8.32	29.48	120.1	24.11	15.0	30.56	55.89
RUNX1	669.92	854.13	769.69	591.22	450.94	511.0	381.68	234.57	518.15	866.07	753.83	525.39	348.71	660.68	435.55	96.68	249.73	384.34	583.07	466.88	555.41	854.13	703.28	629.35	511.0	34.51	32.13	14.78	30.56	40.07	23.93	36.79	43.63	27.64	28.65	18.29	71.5	75.64	32.36	47.84	96.01	50.63	38.4	46.84	32.36	10.71	25.17	18.7	57.08	98.73	108.14	14.35	19.68	7.63	35.25	12.09	67.59	24.63	37.05	22.59	19.68	45.21	18.7
