	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3TB.11A.11R.A22L.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.ET.A3DP.11A.22R.A21D.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.YJ89.0726.SM.5P9F7	GTEX.113JC.0126.SM.5EGJW	GTEX.ZV6S.0226.SM.59HJT	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.11EQ9.0626.SM.5A5K1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13FH7.0126.SM.5KLZ1	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.11I78.0526.SM.5986A	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.P4QT.2626.SM.2I3FM	GTEX.11NSD.0126.SM.5987F	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.SE5C.0726.SM.4BRWY	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.144GM.0226.SM.5Q5CB	GTEX.11P7K.0226.SM.5986Z	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.139TS.0126.SM.5K7XJ	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.13OW5.0626.SM.5J2N2	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.U8T8.2326.SM.3DB96	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.13112.0326.SM.5P9IW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.12696.0326.SM.5EGL4	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX	GTEX.13FTW.0626.SM.5IFEX
C11orf54	497.0	633.73	392.44	616.37	603.67	607.87	373.81	450.94	480.04	466.88	444.72	819.3	303.44	409.15	603.67	406.31	540.19	579.04	400.71	559.28	406.31	575.03	483.38	529.06	429.54	473.41	583.07	450.94	511.0	497.0	571.05	426.57	423.61	718.08	500.46	514.56	334.46	329.84	708.18	441.64	540.19	348.71	460.44	665.29	854.13	575.03	563.18	624.99	866.07	674.59	713.11	703.28	642.59	629.35	753.83	579.04	802.41	830.75	796.86	974.5	743.43	713.11	1250.98	620.67	351.14	547.75	457.25	718.08	848.22	684.02	486.75	684.02	665.29	854.13	703.28	693.58	842.36	684.02	796.86	571.05	723.08	536.45	624.99	780.44	312.0	669.92	616.37	669.92	791.35	733.19	612.11	563.18	954.43	759.08	759.08	511.0	890.44	460.44	500.46	563.18	902.89	842.36	769.69	503.95	620.67	769.69	647.07	775.05	830.75	825.0	860.08	728.11	514.56	420.68	759.08	728.11	738.29	780.44	764.36	665.29	842.36	708.18	1015.93	616.37	1242.34	638.15	703.28	466.88	819.3	575.03	830.75	551.56	595.34	890.44	559.28	698.41	884.29	688.78	684.02	836.53	703.28	738.29	674.59	547.75	764.36	624.99	941.27	583.07	764.36	607.87	466.88	915.51	1015.93	567.1	718.08	743.43	651.58	529.06	688.78	785.88	1008.9	780.44	708.18	748.61	866.07	728.11	769.69	785.88	748.61	603.67	669.92	607.87	616.37	620.67	679.29	532.74	660.68	796.86	813.63
C1orf131	220.32	271.48	83.45	269.6	232.94	269.6	236.21	232.94	221.86	163.28	234.57	279.14	166.73	269.6	244.57	236.21	305.55	201.25	144.01	327.56	202.66	287.01	253.23	197.09	269.6	267.73	323.03	180.02	232.94	248.0	287.01	301.33	271.48	285.03	205.5	195.72	214.27	289.02	182.55	239.52	237.86	208.38	260.38	264.03	314.17	232.94	234.57	301.33	332.14	358.54	255.0	273.37	343.89	260.38	237.86	256.78	190.34	217.27	325.29	343.89	307.69	226.54	563.18	353.59	217.27	265.87	231.32	358.54	271.48	283.05	191.67	260.38	358.54	283.05	194.36	187.71	223.41	295.11	316.37	289.02	297.17	185.11	334.46	281.09	217.27	221.86	234.57	223.41	239.52	366.09	283.05	323.03	316.37	323.03	246.28	395.18	332.14	293.07	265.87	287.01	271.48	244.57	301.33	246.28	189.02	346.29	267.73	267.73	343.89	376.41	336.79	303.44	343.89	473.41	283.05	271.48	221.86	320.8	297.17	384.34	248.0	358.54	212.78	277.2	376.41	244.57	281.09	269.6	273.37	316.37	358.54	246.28	267.73	262.2	187.71	305.55	208.38	193.01	283.05	279.14	232.94	199.85	353.59	249.73	387.02	241.19	273.37	299.25	273.37	258.57	237.86	209.84	293.07	320.8	273.37	265.87	397.93	325.29	212.78	241.19	334.46	269.6	242.88	320.8	275.28	299.25	381.68	339.14	173.85	295.11	220.32	256.78	361.04	299.25	299.25	279.14	285.03	332.14	251.48
CARF	182.55	163.28	87.03	178.77	220.32	147.06	100.13	94.67	212.78	183.82	127.0	232.94	103.69	154.42	232.94	80.01	167.9	126.12	79.45	204.07	77.25	77.79	136.19	156.59	82.87	80.01	131.51	84.04	131.51	163.28	106.63	126.12	133.36	287.01	120.1	172.65	175.07	111.21	215.77	221.86	117.6	57.08	103.69	199.85	281.09	167.9	135.24	215.77	343.89	220.32	173.85	193.01	159.9	148.09	244.57	165.57	181.28	194.36	273.37	271.48	236.21	153.34	373.81	212.78	123.5	185.11	111.99	236.21	165.57	255.0	120.1	161.02	295.11	194.36	234.57	199.85	140.04	277.2	269.6	236.21	223.41	153.34	117.6	205.5	114.36	212.78	105.15	180.02	239.52	228.13	212.78	163.28	241.19	205.5	343.89	206.94	166.73	127.0	194.36	152.28	167.9	169.07	186.4	150.17	214.27	201.25	120.1	198.47	249.73	299.25	305.55	316.37	186.4	171.45	181.28	154.42	198.47	178.77	244.57	236.21	120.94	231.32	231.32	262.2	389.72	163.28	136.19	78.89	277.2	141.02	316.37	101.54	201.25	204.07	157.68	186.4	215.77	89.51	320.8	212.78	133.36	163.28	242.88	130.6	255.0	189.02	162.14	178.77	123.5	226.54	166.73	170.25	191.67	155.5	88.88	214.27	211.31	131.51	105.89	124.37	260.38	260.38	202.66	295.11	183.82	197.09	209.84	277.2	103.69	178.77	180.02	154.42	201.25	153.34	190.34	229.72	182.55	285.03	144.01
CCDC125	141.02	102.97	74.58	113.56	110.43	97.36	67.12	51.71	126.12	96.68	96.68	84.04	67.12	88.88	55.49	77.25	102.25	99.43	86.43	57.89	72.01	58.71	101.54	120.1	70.51	38.12	114.36	80.57	100.13	100.83	100.13	77.25	102.25	105.89	94.01	94.01	100.83	88.26	154.42	96.68	84.63	105.89	93.35	149.12	140.04	94.01	91.41	142.01	110.43	136.19	118.43	111.21	88.88	102.97	132.44	106.63	146.03	128.79	145.02	165.57	136.19	116.78	220.32	113.56	40.64	102.97	88.88	93.35	96.68	111.21	92.05	85.22	149.12	95.34	102.97	98.04	76.17	138.1	84.63	120.1	127.89	157.68	75.64	125.24	68.07	103.69	148.09	57.89	136.19	138.1	124.37	68.55	110.43	96.68	108.14	159.9	100.83	80.01	99.43	72.52	89.51	72.01	131.51	76.71	87.65	110.43	80.57	113.56	145.02	147.06	149.12	156.59	120.94	111.21	138.1	103.69	108.9	163.28	100.13	132.44	85.82	152.28	128.79	146.03	204.07	121.79	68.07	49.56	91.41	81.14	147.06	105.15	92.7	113.56	65.26	86.43	96.68	119.26	154.42	176.29	95.34	108.14	156.59	105.15	156.59	112.77	77.79	82.29	85.22	141.02	86.43	75.11	89.51	105.89	96.01	84.63	163.28	133.36	77.25	102.97	182.55	108.14	125.24	139.07	107.38	106.63	158.79	151.22	83.45	82.29	91.41	127.0	102.97	97.36	128.79	120.1	147.06	133.36	80.01
CDC23	423.61	353.59	208.38	312.0	466.88	457.25	273.37	316.37	417.77	460.44	371.22	412.0	301.33	420.68	414.87	271.48	366.09	316.37	327.56	409.15	327.56	371.22	320.8	348.71	273.37	303.44	366.09	299.25	341.51	420.68	371.22	320.8	403.5	532.74	356.05	384.34	463.65	312.0	343.89	387.02	307.69	366.09	371.22	397.93	486.75	387.02	373.81	420.68	403.5	409.15	447.82	379.04	384.34	412.0	400.71	423.61	423.61	381.68	500.46	536.45	466.88	346.29	620.67	447.82	267.73	384.34	289.02	432.53	397.93	392.44	371.22	343.89	493.56	397.93	432.53	329.84	358.54	444.72	423.61	500.46	351.14	351.14	400.71	406.31	299.25	507.46	395.18	400.71	420.68	483.38	384.34	356.05	426.57	366.09	356.05	507.46	379.04	323.03	356.05	329.84	400.71	356.05	387.02	303.44	387.02	432.53	392.44	414.87	476.71	463.65	441.64	356.05	373.81	316.37	463.65	363.56	432.53	412.0	463.65	543.96	314.17	463.65	397.93	426.57	759.08	403.5	358.54	363.56	429.54	379.04	460.44	241.19	435.55	343.89	346.29	403.5	414.87	366.09	432.53	511.0	339.14	395.18	457.25	314.17	441.64	373.81	384.34	403.5	356.05	392.44	356.05	450.94	379.04	348.71	273.37	351.14	540.19	334.46	332.14	368.65	540.19	426.57	460.44	483.38	476.71	435.55	368.65	432.53	332.14	366.09	450.94	323.03	389.72	371.22	435.55	420.68	483.38	551.56	366.09
CDON	403.5	444.72	21.32	301.33	320.8	125.24	26.67	53.57	395.18	104.42	234.57	206.94	62.56	67.12	237.86	22.75	224.97	122.64	71.0	205.5	218.79	208.38	305.55	329.84	87.03	134.3	325.29	97.36	119.26	177.53	105.15	285.03	293.07	426.57	267.73	241.19	397.93	43.94	223.41	248.0	229.72	137.14	45.21	759.08	796.86	417.77	381.68	738.29	780.44	450.94	603.67	490.14	334.46	387.02	775.05	493.56	591.22	579.04	559.28	860.08	733.19	860.08	466.88	381.68	144.01	713.11	171.45	595.34	941.27	441.64	718.08	400.71	703.28	612.11	281.09	470.14	395.18	1733.13	1397.83	555.41	373.81	624.99	2271.4	387.02	153.34	567.1	88.26	633.73	480.04	1369.04	1313.23	785.88	785.88	532.74	1457.23	981.29	620.67	387.02	1096.5	358.54	201.25	1059.11	674.59	493.56	525.39	866.07	638.15	791.35	1583.71	395.18	791.35	921.88	100.83	660.68	1104.13	1467.37	432.53	961.07	1015.93	1268.46	563.18	563.18	708.18	819.3	1268.46	215.77	348.71	35.25	723.08	182.55	551.56	186.4	884.29	1088.92	389.72	988.12	647.07	334.46	320.8	759.08	191.67	733.19	764.36	209.84	647.07	1388.16	309.83	497.0	540.19	620.67	435.55	633.73	1583.71	255.0	120.94	329.84	500.46	334.46	379.04	595.34	387.02	1487.87	2451.44	1208.34	432.53	234.57	341.51	563.18	208.38	525.39	214.27	131.51	412.0	616.37	483.38	1023.0	497.0	1540.37	551.56
CHN2	269.6	293.07	109.66	438.59	209.84	237.86	231.32	575.03	215.77	246.28	236.21	226.54	289.02	242.88	197.09	202.66	426.57	182.55	143.01	332.14	139.07	87.65	341.51	211.31	231.32	212.78	279.14	182.55	420.68	490.14	353.59	507.46	307.69	490.14	206.94	334.46	395.18	215.77	255.0	285.03	199.85	117.6	438.59	236.21	329.84	175.07	214.27	228.13	387.02	293.07	176.29	281.09	199.85	173.85	291.04	368.65	323.03	397.93	417.77	536.45	429.54	226.54	1159.07	299.25	139.07	291.04	217.27	228.13	518.15	220.32	141.02	111.21	381.68	267.73	339.14	371.22	327.56	275.28	275.28	381.68	95.34	476.71	490.14	220.32	44.89	320.8	64.34	312.0	262.2	480.04	406.31	171.45	209.84	264.03	201.25	316.37	212.78	241.19	320.8	218.79	339.14	217.27	265.87	165.57	291.04	291.04	84.04	223.41	202.66	486.75	258.57	379.04	211.31	75.11	201.25	146.03	351.14	297.17	447.82	214.27	571.05	351.14	361.04	403.5	295.11	249.73	447.82	151.22	218.79	199.85	361.04	151.22	224.97	412.0	291.04	138.1	249.73	348.71	265.87	351.14	309.83	269.6	500.46	193.01	170.25	283.05	323.03	316.37	181.28	503.95	242.88	309.83	358.54	329.84	309.83	277.2	466.88	116.78	140.04	82.29	358.54	543.96	260.38	387.02	656.11	423.61	432.53	193.01	175.07	363.56	130.6	113.56	346.29	197.09	348.71	320.8	412.0	251.48	185.11
CKAP2	85.22	47.5	52.08	75.11	301.33	43.32	64.8	38.67	163.28	77.25	120.94	55.1	78.34	163.28	68.55	71.0	135.24	77.25	81.71	164.42	43.63	68.55	155.5	138.1	54.33	105.15	132.44	41.22	106.63	118.43	128.79	52.82	64.8	150.17	43.32	127.89	89.51	75.11	63.45	126.12	73.03	39.22	76.71	145.02	172.65	72.52	137.14	149.12	125.24	46.18	103.69	78.34	92.05	84.04	149.12	88.88	96.68	74.58	154.42	125.24	121.79	118.43	146.03	205.5	82.87	173.85	49.91	148.09	91.41	131.51	85.82	60.82	173.85	57.49	76.71	57.89	183.82	134.3	92.7	152.28	116.78	96.01	123.5	76.17	62.12	139.07	74.58	48.18	75.64	137.14	127.89	131.51	87.03	127.89	45.53	209.84	108.9	81.71	140.04	135.24	74.06	73.54	113.56	152.28	76.71	123.5	39.79	119.26	169.07	111.21	167.9	88.26	65.72	190.34	113.56	63.45	127.0	151.22	81.14	140.04	95.34	164.42	182.55	146.03	244.57	47.5	52.82	88.88	85.22	112.77	171.45	127.89	71.0	83.45	88.88	94.67	106.63	70.01	156.59	217.27	127.0	65.72	153.34	148.09	141.02	83.45	94.67	99.43	116.78	88.88	96.68	98.04	129.69	70.51	74.58	152.28	255.0	159.9	92.05	84.63	112.77	81.14	73.54	139.07	84.04	122.64	170.25	48.18	97.36	51.35	61.68	64.34	167.9	102.97	141.02	90.14	76.17	138.1	90.77
CLDN12	414.87	381.68	299.25	371.22	318.57	395.18	314.17	181.28	336.79	417.77	260.38	262.2	228.13	256.78	303.44	221.86	256.78	285.03	287.01	356.05	170.25	253.23	295.11	395.18	189.02	202.66	299.25	277.2	305.55	323.03	232.94	289.02	339.14	414.87	253.23	325.29	466.88	232.94	277.2	303.44	312.0	329.84	229.72	441.64	414.87	376.41	287.01	414.87	463.65	384.34	381.68	351.14	356.05	384.34	392.44	348.71	339.14	403.5	525.39	555.41	466.88	295.11	660.68	277.2	211.31	400.71	223.41	366.09	285.03	376.41	299.25	346.29	323.03	368.65	303.44	353.59	358.54	327.56	379.04	334.46	441.64	237.86	287.01	384.34	239.52	366.09	490.14	307.69	351.14	339.14	361.04	285.03	368.65	309.83	293.07	381.68	514.56	258.57	490.14	323.03	346.29	381.68	363.56	256.78	264.03	366.09	417.77	232.94	500.46	441.64	483.38	435.55	351.14	435.55	379.04	291.04	312.0	426.57	309.83	476.71	248.0	397.93	363.56	457.25	518.15	264.03	204.07	291.04	395.18	269.6	486.75	253.23	323.03	303.44	205.5	339.14	343.89	353.59	361.04	525.39	305.55	373.81	638.15	339.14	387.02	289.02	316.37	256.78	309.83	420.68	242.88	314.17	409.15	293.07	237.86	423.61	281.09	312.0	309.83	412.0	764.36	368.65	363.56	363.56	361.04	323.03	441.64	353.59	341.51	232.94	295.11	363.56	417.77	305.55	356.05	363.56	397.93	514.56	277.2
CLK4	536.45	575.03	275.28	620.67	703.28	366.09	318.57	595.34	674.59	381.68	595.34	575.03	366.09	656.11	356.05	348.71	579.04	260.38	255.0	679.29	194.36	301.33	624.99	314.17	429.54	353.59	540.19	237.86	532.74	525.39	412.0	718.08	713.11	890.44	152.28	579.04	361.04	473.41	318.57	656.11	521.76	214.27	511.0	438.59	785.88	400.71	318.57	559.28	802.41	595.34	389.72	575.03	525.39	387.02	599.49	441.64	511.0	532.74	890.44	775.05	775.05	334.46	1350.18	633.73	620.67	525.39	267.73	642.59	571.05	693.58	409.15	438.59	656.11	490.14	656.11	497.0	567.1	486.75	743.43	473.41	563.18	403.5	493.56	595.34	381.68	363.56	540.19	563.18	414.87	796.86	480.04	651.58	698.41	551.56	543.96	753.83	470.14	638.15	497.0	371.22	457.25	555.41	665.29	728.11	579.04	665.29	379.04	547.75	825.0	860.08	884.29	698.41	532.74	486.75	511.0	420.68	414.87	629.35	656.11	718.08	450.94	551.56	638.15	693.58	813.63	521.76	642.59	444.72	629.35	595.34	902.89	366.09	497.0	607.87	379.04	624.99	511.0	275.28	713.11	555.41	521.76	518.15	638.15	567.1	802.41	507.46	483.38	507.46	356.05	642.59	571.05	454.09	493.56	536.45	244.57	460.44	769.69	397.93	309.83	366.09	780.44	620.67	728.11	860.08	660.68	511.0	708.18	743.43	373.81	466.88	525.39	409.15	780.44	511.0	536.45	624.99	457.25	791.35	363.56
CRBN	660.68	842.36	376.41	780.44	928.3	518.15	470.14	532.74	583.07	595.34	629.35	536.45	438.59	733.19	723.08	476.71	651.58	532.74	463.65	651.58	412.0	476.71	669.92	616.37	450.94	480.04	684.02	507.46	559.28	872.1	638.15	830.75	703.28	872.1	587.13	728.11	941.27	547.75	656.11	693.58	559.28	307.69	674.59	718.08	884.29	759.08	713.11	848.22	896.64	842.36	679.29	708.18	642.59	587.13	884.29	808.0	718.08	915.51	1096.5	1447.15	1066.48	595.34	1259.69	728.11	872.1	748.61	536.45	830.75	796.86	693.58	642.59	674.59	769.69	647.07	647.07	660.68	780.44	974.5	954.43	688.78	698.41	591.22	813.63	909.17	521.76	674.59	753.83	748.61	642.59	988.12	769.69	674.59	830.75	748.61	665.29	842.36	703.28	647.07	775.05	547.75	825.0	813.63	884.29	620.67	647.07	785.88	808.0	642.59	836.53	825.0	995.0	748.61	796.86	791.35	688.78	616.37	633.73	753.83	738.29	759.08	684.02	753.83	825.0	819.3	1088.92	563.18	802.41	703.28	808.0	775.05	981.29	575.03	830.75	738.29	476.71	947.83	780.44	525.39	974.5	915.51	633.73	638.15	1001.93	612.11	819.3	713.11	753.83	555.41	642.59	928.3	743.43	813.63	921.88	591.22	603.67	813.63	698.41	521.76	607.87	620.67	813.63	884.29	830.75	830.75	1001.93	753.83	842.36	842.36	518.15	743.43	595.34	642.59	647.07	753.83	802.41	638.15	563.18	802.41	642.59
CRYBG3	1259.69	607.87	450.94	764.36	540.19	1037.29	400.71	532.74	674.59	785.88	356.05	518.15	532.74	363.56	629.35	403.5	728.11	603.67	457.25	728.11	633.73	656.11	307.69	866.07	733.19	915.51	1259.69	423.61	743.43	426.57	579.04	909.17	616.37	599.49	836.53	764.36	1225.22	432.53	518.15	432.53	909.17	314.17	336.79	896.64	1159.07	988.12	872.1	1639.59	830.75	2047.0	1225.22	642.59	748.61	2133.97	624.99	860.08	1242.34	1388.16	1350.18	1199.98	703.28	1081.39	3124.78	629.35	2720.15	406.31	748.61	555.41	1685.71	470.14	708.18	1498.22	866.07	1143.1	1561.89	1059.11	511.0	1350.18	759.08	775.05	1388.16	723.08	2193.99	1088.92	612.11	1745.2	791.35	878.17	536.45	1447.15	559.28	525.39	1721.16	988.12	1059.11	1508.65	1651.0	1819.35	748.61	769.69	595.34	1331.57	1001.93	1340.84	1059.11	1304.15	1051.79	540.19	708.18	1135.2	1963.57	1159.07	915.51	872.1	1359.57	1936.53	728.11	830.75	1167.14	1073.91	825.0	1397.83	909.17	791.35	2502.97	435.55	1268.46	1304.15	890.44	1051.79	848.22	1037.29	612.11	1457.23	674.59	1369.04	791.35	1250.98	1175.27	1350.18	1437.15	780.44	2835.7	583.07	1259.69	356.05	1331.57	1151.06	723.08	3146.52	1685.71	1662.49	1015.93	830.75	1437.15	1487.87	616.37	1081.39	848.22	417.77	532.74	947.83	1651.0	819.3	842.36	703.28	1397.83	1051.79	808.0	1030.12	698.41	599.49	902.89	1617.0	819.3	860.08	1304.15	866.07	703.28
CTD-2368P22.1	142.01	191.67	57.08	241.19	221.86	151.22	104.42	194.36	269.6	90.14	186.4	172.65	87.65	173.85	148.09	109.66	159.9	115.16	98.73	171.45	73.54	90.14	211.31	130.6	120.94	101.54	195.72	98.73	135.24	115.16	145.02	202.66	211.31	206.94	154.42	182.55	156.59	139.07	163.28	218.79	185.11	71.5	127.0	152.28	134.3	158.79	97.36	157.68	387.02	172.65	187.71	178.77	129.69	126.12	234.57	181.28	151.22	232.94	231.32	158.79	260.38	111.21	309.83	229.72	353.59	151.22	142.01	231.32	139.07	291.04	111.99	142.01	348.71	218.79	199.85	127.89	143.01	120.1	173.85	295.11	256.78	82.29	256.78	127.0	172.65	217.27	152.28	129.69	156.59	241.19	154.42	166.73	267.73	205.5	214.27	164.42	162.14	120.1	287.01	133.36	148.09	161.02	167.9	136.19	149.12	132.44	127.0	146.03	163.28	256.78	147.06	214.27	164.42	226.54	129.69	150.17	170.25	83.45	218.79	170.25	90.77	341.51	134.3	204.07	220.32	217.27	173.85	143.01	217.27	181.28	166.73	100.13	127.89	183.82	171.45	483.38	190.34	95.34	260.38	102.25	124.37	211.31	181.28	145.02	329.84	214.27	164.42	231.32	125.24	190.34	135.24	123.5	246.28	232.94	113.56	193.01	214.27	156.59	95.34	113.56	323.03	218.79	158.79	234.57	185.11	201.25	208.38	267.73	183.82	181.28	137.14	199.85	186.4	153.34	336.79	187.71	105.15	197.09	136.19
