	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.97.8172.01A.11R.2287.07	TCGA.55.7573.01A.11R.2039.07	GTEX.12WSE.0826.SM.5S2VL	TCGA.BR.8592.01A.11R.2402.13	TCGA.BK.A6W4.01A.12R.A34R.07
MGA	323.03	318.57	332.14	265.87	82.87	64.8	52.82	38.95	54.72	79.45	35.25	38.67	87.03	83.45	114.36	50.27	43.63	62.56	64.8	64.8	50.63	206.94	42.71	43.94	90.77	2.36	53.57	84.04	108.9	30.34	17.0	71.0	28.65	149.12	54.72	41.52	75.64	70.01	106.63	45.53	34.26	90.77	41.52	68.07	61.68	110.43	42.11	93.35	111.99	175.07	65.26	16.63	47.84	127.89	20.86	16.03	27.44	62.56	48.87	20.11	9.7	70.51	176.29	206.94	214.27	246.28	231.32
MRE11A	423.61	376.41	343.89	457.25	77.25	81.14	43.94	63.45	74.58	138.1	43.94	111.21	154.42	75.11	102.25	71.0	58.3	87.65	93.35	126.12	69.03	205.5	111.99	95.34	88.26	73.03	65.26	129.69	111.99	49.91	43.94	152.28	41.52	256.78	60.39	64.8	155.5	96.01	135.24	52.08	40.07	150.17	65.72	81.14	289.02	100.13	52.45	121.79	132.44	208.38	62.56	26.1	78.34	84.63	38.67	47.17	40.93	36.01	27.05	50.27	49.21	63.0	260.38	226.54	253.23	283.05	316.37
NAA16	432.53	334.46	403.5	281.09	47.17	88.88	107.38	78.34	90.14	187.71	118.43	161.02	183.82	134.3	356.05	105.15	89.51	81.71	107.38	106.63	51.71	239.52	100.83	53.57	77.79	84.63	108.9	190.34	161.02	76.71	45.21	194.36	84.63	183.82	50.27	118.43	107.38	177.53	112.77	43.02	38.12	193.01	103.69	150.17	189.02	265.87	41.22	183.82	91.41	178.77	128.79	21.94	88.26	137.14	105.89	48.52	80.01	87.03	52.08	89.51	38.12	85.82	395.18	244.57	273.37	353.59	351.14
NCKAP5L	242.88	301.33	301.33	297.17	119.26	55.1	118.43	83.45	212.78	185.11	28.24	215.77	223.41	110.43	432.53	63.45	244.57	124.37	156.59	165.57	173.85	190.34	62.12	242.88	31.9	173.85	202.66	267.73	129.69	134.3	32.59	75.11	84.04	146.03	35.5	87.03	109.66	88.88	147.06	163.28	41.22	95.34	136.19	187.71	273.37	293.07	48.87	187.71	75.64	156.59	101.54	107.38	86.43	41.22	303.44	23.25	163.28	120.1	66.65	94.01	22.59	109.66	332.14	279.14	511.0	392.44	253.23
NFRKB	511.0	511.0	559.28	376.41	128.79	361.04	136.19	182.55	339.14	271.48	241.19	217.27	251.48	177.53	551.56	289.02	206.94	309.83	293.07	256.78	185.11	356.05	166.73	165.57	105.15	164.42	195.72	237.86	234.57	180.02	124.37	234.57	175.07	579.04	166.73	135.24	320.8	285.03	323.03	187.71	163.28	232.94	191.67	251.48	525.39	190.34	202.66	224.97	228.13	392.44	246.28	87.03	158.79	91.41	58.71	104.42	82.29	131.51	139.07	130.6	51.71	98.73	417.77	358.54	343.89	460.44	432.53
NOTCH1	368.65	473.41	395.18	395.18	104.42	62.12	70.01	70.01	89.51	194.36	76.17	144.01	251.48	132.44	373.81	202.66	50.63	204.07	102.97	120.1	139.07	733.19	66.18	52.45	127.0	49.56	91.41	176.29	127.0	93.35	38.12	164.42	54.33	599.49	119.26	76.17	92.7	251.48	305.55	108.14	35.5	178.77	61.25	148.09	457.25	214.27	59.55	224.97	134.3	371.22	82.87	78.34	123.5	81.14	43.94	23.25	74.06	104.42	136.19	41.52	22.59	133.36	403.5	236.21	921.88	1037.29	503.95
NPHP3	543.96	518.15	819.3	470.14	140.04	108.9	84.04	57.08	92.7	153.34	90.14	106.63	271.48	117.6	368.65	62.12	100.13	87.65	107.38	106.63	75.64	180.02	83.45	78.34	124.37	52.45	76.17	171.45	193.01	75.64	69.52	100.83	45.53	234.57	49.56	63.45	206.94	121.79	176.29	106.63	56.28	146.03	51.71	84.04	275.28	267.73	81.71	161.02	287.01	162.14	112.77	21.78	60.39	90.77	52.45	67.59	40.93	54.33	59.97	61.68	27.05	55.1	269.6	249.73	289.02	329.84	381.68
NT5C2	1378.57	1378.57	1397.83	1304.15	743.43	500.46	358.54	486.75	497.0	638.15	341.51	775.05	753.83	802.41	1051.79	228.13	414.87	220.32	460.44	629.35	438.59	1304.15	507.46	575.03	438.59	490.14	503.95	669.92	743.43	341.51	269.6	483.38	353.59	890.44	275.28	389.72	860.08	713.11	796.86	379.04	325.29	934.76	305.55	460.44	791.35	934.76	264.03	647.07	830.75	748.61	579.04	242.88	379.04	688.78	366.09	336.79	269.6	289.02	525.39	224.97	183.82	486.75	1745.2	1651.0	819.3	1268.46	1359.57
NUAK1	665.29	234.57	234.57	325.29	72.01	98.04	49.21	75.11	42.41	92.7	53.95	108.9	119.26	126.12	204.07	96.01	44.89	103.69	58.71	99.43	88.26	320.8	47.84	46.84	36.79	11.73	57.08	234.57	86.43	69.03	30.56	108.14	43.63	165.57	54.33	65.72	50.63	136.19	217.27	59.97	39.5	173.85	54.33	56.68	264.03	176.29	57.89	117.6	80.57	120.1	78.89	27.25	108.9	93.35	16.51	47.17	29.91	35.76	55.1	7.75	31.9	27.05	246.28	167.9	392.44	147.06	231.32
NXF1	1806.78	2004.85	1977.24	1540.37	1096.5	1250.98	2075.59	753.83	1870.53	1709.26	1388.16	1378.57	2485.67	1059.11	2520.38	1135.2	733.19	1104.13	1417.35	915.51	1059.11	1936.53	1183.45	884.29	1066.48	1135.2	1051.79	1519.15	1359.57	1044.52	748.61	1277.29	1313.23	2004.85	928.3	1322.37	1175.27	1331.57	2061.24	995.0	1183.45	1096.5	1350.18	1551.09	2193.99	1487.87	842.36	1583.71	1051.79	1794.29	1096.5	497.0	665.29	665.29	961.07	860.08	1167.14	1208.34	769.69	819.3	579.04	769.69	2335.28	1832.01	2591.27	2119.22	2303.12
PAXBP1	603.67	571.05	638.15	555.41	208.38	154.42	94.67	100.13	102.97	140.04	131.51	320.8	343.89	248.0	759.08	149.12	152.28	124.37	139.07	205.5	181.28	521.76	165.57	102.25	120.1	105.89	140.04	260.38	244.57	112.77	115.97	258.57	112.77	454.09	178.77	145.02	166.73	389.72	361.04	142.01	153.34	356.05	131.51	215.77	525.39	429.54	137.14	305.55	389.72	265.87	246.28	39.22	111.99	237.86	169.07	101.54	84.63	120.94	63.89	76.71	26.86	118.43	490.14	373.81	373.81	633.73	486.75
PCSK7	1540.37	1709.26	2104.58	1159.07	234.57	521.76	336.79	356.05	525.39	555.41	483.38	400.71	890.44	567.1	848.22	642.59	320.8	651.58	507.46	493.56	486.75	753.83	208.38	454.09	267.73	466.88	583.07	733.19	620.67	518.15	363.56	555.41	412.0	860.08	525.39	466.88	356.05	521.76	947.83	476.71	293.07	403.5	397.93	460.44	860.08	764.36	295.11	551.56	444.72	500.46	521.76	255.0	241.19	189.02	412.0	232.94	323.03	346.29	173.85	346.29	172.65	208.38	1191.69	878.17	836.53	4869.99	688.78
PCYOX1L	172.65	171.45	195.72	204.07	29.06	45.53	8.25	17.13	42.11	36.53	17.38	60.82	92.7	65.72	94.67	17.9	31.22	39.5	6.16	47.5	46.5	98.73	9.48	53.95	25.91	9.63	31.0	75.64	43.02	31.22	4.1	25.17	12.74	59.55	5.45	25.54	27.05	40.07	70.51	23.42	23.25	111.21	19.53	11.55	78.89	77.25	6.21	71.0	29.48	70.51	67.59	12.27	19.53	28.86	20.56	26.28	40.36	2.56	30.34	31.67	2.76	2.68	158.79	131.51	307.69	182.55	241.19
PHIP	607.87	540.19	665.29	483.38	101.54	47.84	51.71	32.82	36.27	69.03	46.5	78.89	125.24	108.14	197.09	30.78	66.18	44.25	70.01	89.51	62.56	211.31	68.55	31.0	94.01	20.41	40.07	108.14	140.04	48.52	27.25	90.14	34.51	191.67	50.98	43.94	164.42	145.02	84.63	25.72	22.59	166.73	31.67	67.59	226.54	166.73	33.3	144.01	194.36	135.24	129.69	9.63	29.7	159.9	39.5	24.28	23.25	22.92	28.45	32.13	14.45	41.81	327.56	423.61	327.56	409.15	303.44
PIAS3	1127.35	1331.57	1417.35	1030.12	99.43	181.28	166.73	109.66	289.02	334.46	256.78	271.48	435.55	264.03	638.15	205.5	191.67	218.79	341.51	267.73	339.14	638.15	183.82	146.03	587.13	244.57	241.19	348.71	176.29	191.67	154.42	336.79	199.85	543.96	265.87	264.03	376.41	463.65	470.14	387.02	115.16	214.27	189.02	269.6	603.67	334.46	115.97	329.84	341.51	813.63	75.64	86.43	120.94	140.04	73.03	57.08	67.12	56.28	115.97	88.26	28.24	153.34	2319.15	1447.15	796.86	1183.45	2075.59
PIP5K1A	802.41	813.63	872.1	698.41	529.06	420.68	172.65	190.34	389.72	559.28	483.38	483.38	638.15	420.68	1359.57	503.95	368.65	318.57	612.11	529.06	728.11	1096.5	529.06	343.89	954.43	279.14	490.14	575.03	616.37	305.55	309.83	738.29	432.53	1208.34	323.03	309.83	579.04	688.78	896.64	679.29	215.77	860.08	234.57	603.67	813.63	555.41	334.46	583.07	567.1	878.17	651.58	198.47	150.17	412.0	244.57	215.77	183.82	343.89	133.36	182.55	107.38	127.0	579.04	1037.29	536.45	738.29	723.08
PISD	791.35	854.13	764.36	825.0	309.83	305.55	314.17	295.11	199.85	454.09	373.81	454.09	629.35	543.96	902.89	316.37	507.46	351.14	366.09	423.61	307.69	607.87	155.5	194.36	291.04	158.79	368.65	423.61	220.32	343.89	429.54	334.46	368.65	514.56	521.76	277.2	231.32	656.11	718.08	260.38	236.21	426.57	265.87	356.05	733.19	733.19	285.03	567.1	260.38	353.59	318.57	314.17	441.64	202.66	361.04	228.13	368.65	299.25	361.04	291.04	151.22	343.89	703.28	457.25	384.34	620.67	660.68
PLEKHA7	603.67	441.64	457.25	395.18	264.03	301.33	208.38	124.37	228.13	260.38	253.23	320.8	307.69	232.94	483.38	189.02	142.01	163.28	441.64	273.37	159.9	348.71	146.03	206.94	293.07	147.06	206.94	299.25	187.71	131.51	105.89	208.38	228.13	493.56	325.29	148.09	172.65	297.17	226.54	197.09	102.97	343.89	95.34	269.6	373.81	555.41	236.21	244.57	178.77	318.57	199.85	171.45	283.05	157.68	211.31	167.9	121.79	90.77	173.85	102.97	181.28	172.65	497.0	395.18	154.42	334.46	353.59
POGK	651.58	629.35	591.22	595.34	249.73	224.97	193.01	158.79	173.85	341.51	264.03	575.03	316.37	387.02	1331.57	470.14	209.84	208.38	301.33	587.13	698.41	830.75	309.83	295.11	511.0	228.13	208.38	441.64	532.74	260.38	249.73	420.68	186.4	1111.82	237.86	155.5	497.0	397.93	583.07	339.14	167.9	420.68	164.42	256.78	693.58	305.55	159.9	379.04	525.39	995.0	260.38	89.51	97.36	239.52	172.65	64.34	88.26	84.63	155.5	85.82	43.32	253.23	603.67	896.64	353.59	547.75	486.75
POGZ	1331.57	1295.13	1322.37	1081.39	651.58	679.29	295.11	169.07	397.93	684.02	521.76	890.44	759.08	525.39	2319.15	587.13	595.34	473.41	902.89	703.28	819.3	1561.89	426.57	320.8	733.19	503.95	470.14	540.19	884.29	273.37	332.14	759.08	312.0	1583.71	532.74	368.65	775.05	896.64	1081.39	698.41	249.73	1066.48	348.71	909.17	1359.57	642.59	325.29	825.0	928.3	1216.75	813.63	158.79	277.2	205.5	305.55	348.71	271.48	176.29	253.23	218.79	111.99	191.67	1242.34	1096.5	1697.45	1508.65	947.83
PRDM10	116.78	127.89	134.3	108.14	38.4	41.81	23.42	36.27	45.21	59.13	34.26	59.97	67.59	46.84	83.45	40.64	40.36	43.63	44.89	43.63	37.05	118.43	47.5	36.01	60.82	70.01	38.4	67.59	75.11	25.35	20.11	80.01	31.67	81.71	46.5	42.11	47.17	67.12	78.34	41.81	29.91	73.03	25.17	65.72	98.04	75.11	31.0	73.54	81.71	72.01	59.55	14.14	29.48	38.95	21.63	24.28	33.3	29.48	27.05	27.25	15.45	50.27	90.77	101.54	77.79	125.24	99.43
PRDM4	511.0	480.04	473.41	379.04	158.79	102.97	76.71	128.79	92.05	291.04	95.34	133.36	197.09	132.44	224.97	121.79	102.25	102.25	105.89	177.53	108.14	260.38	121.79	136.19	85.22	85.82	73.54	182.55	173.85	92.05	62.56	126.12	69.52	289.02	88.88	110.43	156.59	194.36	265.87	93.35	58.3	293.07	76.71	99.43	197.09	202.66	88.88	176.29	234.57	260.38	118.43	47.17	102.97	120.94	62.12	40.36	50.63	92.05	74.58	72.01	38.95	122.64	301.33	273.37	356.05	406.31	417.77
PRPF39	728.11	703.28	813.63	555.41	293.07	159.9	117.6	126.12	156.59	239.52	155.5	318.57	327.56	186.4	748.61	212.78	201.25	195.72	153.34	232.94	176.29	728.11	167.9	140.04	262.2	120.1	218.79	297.17	291.04	111.21	107.38	316.37	110.43	514.56	127.0	197.09	244.57	379.04	356.05	180.02	153.34	466.88	151.22	253.23	624.99	490.14	158.79	262.2	234.57	325.29	287.01	27.64	82.29	120.1	111.21	104.42	84.63	85.22	73.03	115.16	30.34	92.05	688.78	514.56	356.05	647.07	563.18
PRR14L	361.04	299.25	303.44	283.05	157.68	175.07	139.07	98.04	106.63	236.21	194.36	187.71	187.71	211.31	305.55	232.94	150.17	130.6	202.66	180.02	164.42	320.8	73.54	96.68	147.06	115.97	126.12	167.9	127.0	115.97	194.36	190.34	115.97	232.94	211.31	140.04	145.02	217.27	323.03	161.02	124.37	220.32	129.69	191.67	287.01	244.57	139.07	208.38	180.02	341.51	237.86	65.72	61.68	103.69	65.26	117.6	105.15	64.8	120.94	83.45	46.84	89.51	221.86	293.07	258.57	361.04	293.07
QRICH1	1286.18	1304.15	1340.84	1151.06	327.56	595.34	825.0	400.71	698.41	723.08	679.29	629.35	860.08	825.0	1167.14	599.49	698.41	429.54	733.19	669.92	507.46	1008.9	607.87	503.95	483.38	571.05	473.41	753.83	738.29	473.41	525.39	500.46	555.41	1104.13	616.37	497.0	802.41	802.41	947.83	536.45	563.18	698.41	447.82	775.05	1081.39	947.83	384.34	728.11	583.07	928.3	309.83	358.54	473.41	567.1	638.15	295.11	414.87	403.5	325.29	264.03	194.36	289.02	1286.18	988.12	1008.9	1417.35	967.76
RALGAPB	825.0	629.35	669.92	575.03	169.07	123.5	92.05	100.83	133.36	198.47	133.36	151.22	248.0	265.87	334.46	157.68	130.6	129.69	197.09	205.5	139.07	555.41	144.01	149.12	236.21	144.01	155.5	221.86	209.84	95.34	140.04	239.52	94.67	351.14	143.01	148.09	255.0	249.73	275.28	134.3	99.43	226.54	74.06	161.02	426.57	403.5	100.83	255.0	253.23	373.81	180.02	63.45	73.03	185.11	120.1	59.55	76.71	57.49	66.18	74.58	37.32	73.54	323.03	435.55	371.22	518.15	353.59
RBFOX2	1199.98	1322.37	1447.15	1286.18	409.15	363.56	289.02	343.89	212.78	684.02	336.79	454.09	669.92	403.5	941.27	532.74	348.71	503.95	595.34	447.82	323.03	854.13	232.94	237.86	669.92	172.65	371.22	525.39	232.94	231.32	309.83	785.88	262.2	728.11	483.38	275.28	246.28	866.07	595.34	334.46	361.04	669.92	239.52	620.67	583.07	860.08	358.54	665.29	287.01	954.43	1119.56	149.12	384.34	490.14	148.09	387.02	223.41	314.17	450.94	287.01	234.57	447.82	665.29	759.08	902.89	1909.85	1096.5
RBM12	954.43	1051.79	1044.52	679.29	269.6	208.38	95.34	206.94	178.77	305.55	137.14	195.72	329.84	353.59	400.71	244.57	150.17	183.82	120.1	224.97	215.77	764.36	220.32	173.85	435.55	115.16	143.01	314.17	289.02	127.89	87.65	283.05	108.9	511.0	224.97	150.17	356.05	376.41	346.29	193.01	156.59	497.0	108.14	241.19	368.65	368.65	127.0	287.01	303.44	718.08	239.52	107.38	117.6	361.04	147.06	114.36	93.35	93.35	283.05	201.25	201.25	255.0	1104.13	748.61	447.82	791.35	802.41
RBM26	890.44	764.36	860.08	813.63	323.03	232.94	172.65	165.57	249.73	269.6	197.09	267.73	356.05	267.73	444.72	231.32	180.02	202.66	490.14	264.03	251.48	708.18	142.01	155.5	218.79	154.42	269.6	414.87	356.05	132.44	121.79	366.09	141.02	753.83	212.78	194.36	395.18	248.0	283.05	148.09	104.42	371.22	173.85	305.55	728.11	400.71	104.42	420.68	473.41	507.46	381.68	31.9	152.28	358.54	176.29	111.99	98.04	129.69	142.01	119.26	42.41	118.43	642.59	518.15	547.75	785.88	669.92
RBM5	3146.52	2997.45	3146.52	2915.45	638.15	915.51	1268.46	473.41	974.5	1508.65	733.19	1304.15	1857.6	1104.13	2701.35	764.36	947.83	890.44	915.51	848.22	703.28	1457.23	679.29	679.29	543.96	583.07	785.88	1369.04	1044.52	595.34	470.14	1023.0	583.07	2287.2	684.02	684.02	1628.26	1313.23	1674.06	651.58	854.13	1350.18	651.58	1191.69	3146.52	2303.12	460.44	1437.15	1044.52	1304.15	813.63	242.88	579.04	543.96	587.13	624.99	642.59	791.35	447.82	665.29	507.46	356.05	3742.05	1950.0	2645.74	3039.3	2997.45
REST	395.18	389.72	403.5	332.14	133.36	106.63	71.0	64.34	85.22	107.38	85.22	93.35	148.09	123.5	267.73	107.38	63.0	124.37	91.41	158.79	78.34	279.14	68.07	65.72	81.14	42.41	91.41	152.28	126.12	47.17	45.85	133.36	68.55	201.25	97.36	75.11	117.6	119.26	164.42	76.71	52.45	117.6	54.72	122.64	152.28	150.17	75.11	147.06	111.21	262.2	108.9	28.65	75.11	181.28	92.7	111.99	92.7	32.59	112.77	91.41	28.86	86.43	256.78	242.88	305.55	379.04	303.44
REV1	896.64	733.19	954.43	616.37	291.04	293.07	205.5	134.3	239.52	305.55	241.19	258.57	490.14	341.51	718.08	191.67	297.17	256.78	205.5	237.86	212.78	429.54	256.78	148.09	341.51	158.79	193.01	336.79	242.88	130.6	187.71	323.03	187.71	518.15	229.72	194.36	432.53	438.59	555.41	173.85	231.32	466.88	208.38	312.0	493.56	429.54	255.0	309.83	379.04	397.93	281.09	65.72	228.13	246.28	248.0	177.53	86.43	165.57	166.73	142.01	100.13	123.5	890.44	854.13	591.22	656.11	674.59
RNF115	575.03	480.04	579.04	476.71	457.25	161.02	117.6	336.79	329.84	343.89	177.53	253.23	323.03	285.03	476.71	198.47	329.84	197.09	633.73	684.02	511.0	616.37	287.01	371.22	587.13	202.66	307.69	529.06	206.94	285.03	206.94	733.19	187.71	743.43	204.07	346.29	299.25	466.88	320.8	536.45	232.94	497.0	153.34	255.0	353.59	293.07	186.4	299.25	567.1	525.39	187.71	149.12	232.94	356.05	236.21	260.38	108.14	260.38	279.14	193.01	165.57	146.03	376.41	529.06	551.56	633.73	432.53
ROCK1	684.02	503.95	595.34	559.28	182.55	183.82	72.52	132.44	139.07	187.71	148.09	186.4	273.37	249.73	301.33	145.02	139.07	142.01	120.94	218.79	211.31	295.11	157.68	127.89	234.57	87.03	98.04	293.07	141.02	79.45	107.38	246.28	94.01	291.04	163.28	105.89	215.77	149.12	187.71	72.52	92.05	226.54	93.35	182.55	327.56	346.29	102.25	323.03	162.14	320.8	138.1	31.0	82.29	314.17	170.25	92.05	124.37	118.43	119.26	119.26	70.51	204.07	571.05	381.68	454.09	836.53	358.54
RP11-287D1.3	10.63	10.47	11.73	6.06	2.2	0.93	0.42	0.46	0.0	0.0	0.0	4.21	2.86	0.0	5.92	0.0	0.41	1.3	0.0	2.48	0.44	0.0	0.0	0.0	3.17	0.0	0.0	0.46	1.68	0.0	0.0	1.31	0.0	2.23	0.92	0.0	0.4	0.47	1.51	0.0	0.0	0.84	0.0	0.84	3.26	2.89	0.45	1.38	0.79	2.84	1.87	0.52	0.0	0.4	0.0	0.77	0.0	0.75	0.0	2.76	0.0	1.93	13.12	4.31	11.82	6.78	1.68
RP11-458D21.5	50.98	73.03	70.01	36.79	25.72	3.29	3.38	4.86	1.46	6.01	2.86	7.0	17.51	32.82	46.84	12.0	2.84	9.63	12.27	18.16	0.0	33.54	3.03	0.0	25.54	0.0	1.53	8.19	3.56	0.0	2.68	28.65	0.0	56.68	14.56	0.0	10.79	4.94	9.48	3.89	0.0	45.85	1.33	9.7	17.0	21.16	3.14	24.28	24.46	21.47	8.06	0.0	9.63	10.0	6.62	5.36	5.92	0.0	5.68	1.73	0.0	14.03	23.93	16.03	10.88	38.95	29.7
RQCD1	591.22	579.04	551.56	603.67	246.28	348.71	251.48	460.44	353.59	674.59	334.46	470.14	470.14	423.61	1151.06	432.53	251.48	251.48	255.0	406.31	483.38	723.08	339.14	312.0	353.59	258.57	316.37	571.05	423.61	237.86	244.57	753.83	267.73	1135.2	303.44	265.87	775.05	532.74	941.27	251.48	249.73	713.11	244.57	406.31	684.02	529.06	277.2	521.76	466.88	571.05	234.57	182.55	229.72	299.25	264.03	191.67	220.32	157.68	154.42	323.03	223.41	161.02	490.14	764.36	518.15	511.0	656.11
RUFY2	343.89	228.13	376.41	231.32	83.45	78.34	65.72	53.19	70.01	131.51	72.01	82.29	142.01	183.82	183.82	106.63	71.5	52.45	80.57	101.54	60.82	175.07	73.03	70.51	98.04	94.67	83.45	133.36	140.04	42.11	61.25	109.66	65.72	197.09	74.06	64.34	99.43	111.99	208.38	62.56	71.0	220.32	65.72	126.12	169.07	141.02	74.58	142.01	143.01	165.57	72.01	13.03	61.25	99.43	26.67	47.5	41.52	40.07	48.87	58.71	32.36	46.84	271.48	197.09	287.01	301.33	217.27
SCAF4	507.46	511.0	500.46	417.77	387.02	277.2	146.03	269.6	169.07	231.32	249.73	291.04	406.31	381.68	629.35	206.94	269.6	148.09	209.84	295.11	339.14	603.67	334.46	139.07	173.85	251.48	202.66	253.23	301.33	172.65	163.28	267.73	229.72	587.13	244.57	299.25	241.19	353.59	327.56	251.48	229.72	420.68	253.23	305.55	348.71	368.65	232.94	325.29	305.55	368.65	318.57	191.67	208.38	258.57	379.04	150.17	141.02	241.19	194.36	231.32	112.77	190.34	444.72	387.02	334.46	665.29	444.72
SEMA4C	679.29	775.05	902.89	713.11	368.65	185.11	226.54	209.84	297.17	493.56	198.47	441.64	529.06	444.72	567.1	323.03	329.84	341.51	202.66	341.51	291.04	599.49	356.05	253.23	348.71	65.26	277.2	435.55	255.0	262.2	145.02	392.44	199.85	915.51	299.25	176.29	154.42	543.96	669.92	176.29	142.01	567.1	116.78	226.54	753.83	514.56	177.53	540.19	258.57	583.07	327.56	185.11	329.84	149.12	728.11	146.03	242.88	301.33	195.72	162.14	529.06	170.25	1175.27	1073.91	915.51	1286.18	1151.06
SENP7	500.46	435.55	480.04	397.93	104.42	68.55	45.85	45.21	62.12	138.1	82.87	113.56	172.65	140.04	256.78	87.65	80.01	93.35	123.5	153.34	53.19	220.32	59.97	65.26	172.65	41.52	64.34	220.32	135.24	41.22	50.63	136.19	45.21	193.01	84.04	61.68	98.73	167.9	118.43	58.71	34.75	139.07	63.45	104.42	285.03	220.32	65.26	229.72	152.28	224.97	115.97	15.91	29.7	100.83	50.98	52.45	47.5	31.0	64.34	53.57	18.84	39.5	295.11	232.94	218.79	366.09	295.11
SETD5	1487.87	1350.18	1583.71	1191.69	629.35	476.71	329.84	361.04	392.44	579.04	336.79	444.72	759.08	656.11	813.63	414.87	392.44	444.72	444.72	599.49	414.87	896.64	325.29	389.72	497.0	368.65	309.83	698.41	679.29	206.94	273.37	514.56	211.31	1051.79	351.14	329.84	688.78	629.35	769.69	332.14	277.2	400.71	220.32	490.14	1023.0	928.3	217.27	802.41	595.34	909.17	532.74	135.24	256.78	500.46	297.17	258.57	166.73	265.87	305.55	215.77	86.43	397.93	1883.54	941.27	825.0	1295.13	1167.14
SIN3B	890.44	995.0	921.88	813.63	239.52	307.69	269.6	185.11	289.02	316.37	303.44	256.78	511.0	307.69	497.0	198.47	237.86	244.57	228.13	334.46	441.64	599.49	180.02	244.57	279.14	194.36	366.09	476.71	371.22	189.02	138.1	392.44	217.27	612.11	211.31	180.02	212.78	429.54	379.04	555.41	208.38	435.55	220.32	279.14	708.18	540.19	190.34	309.83	563.18	255.0	361.04	150.17	242.88	95.34	217.27	86.43	141.02	232.94	128.79	100.83	69.03	136.19	1059.11	813.63	595.34	1167.14	896.64
SLC25A51	291.04	271.48	255.0	387.02	59.13	65.72	65.26	145.02	126.12	130.6	57.89	98.73	147.06	134.3	567.1	158.79	55.1	115.16	62.56	118.43	177.53	438.59	102.25	105.89	115.16	66.65	96.68	202.66	117.6	115.16	80.01	220.32	65.26	299.25	124.37	89.51	198.47	100.13	217.27	220.32	108.14	191.67	97.36	130.6	191.67	191.67	102.25	94.01	150.17	172.65	170.25	76.17	36.79	70.01	89.51	43.32	52.45	58.71	63.89	92.05	60.39	124.37	260.38	239.52	153.34	423.61	232.94
