	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.P78B.1126.SM.3P615	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	TCGA.38.4625.01A.01R.1206.07	GTEX.14C5O.2826.SM.5RQI6	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.P4QT.1526.SM.3NMCT	GTEX.WH7G.1526.SM.4LVMX
TMEM120B	104.42	64.8	91.41	77.79	118.43	144.01	177.53	74.06	151.22	206.94	137.14	217.27	208.38	348.71	532.74	616.37	656.11	291.04	518.15	389.72	368.65	764.36	389.72	277.2	457.25	332.14	665.29	473.41	612.11	157.68	532.74	273.37	426.57	466.88	450.94	366.09	466.88	518.15	529.06	262.2	441.64	379.04	457.25	262.2	127.89	82.87	130.6	65.26	108.14	128.79	176.29	246.28	159.9	221.86	67.59	70.51
TMEM175	575.03	397.93	414.87	305.55	536.45	529.06	579.04	603.67	633.73	679.29	540.19	665.29	728.11	723.08	1167.14	1119.56	1617.0	896.64	1397.83	1551.09	1277.29	1709.26	1030.12	1457.23	1617.0	1199.98	1378.57	1417.35	1242.34	698.41	1295.13	842.36	1159.07	1322.37	1447.15	909.17	1096.5	1794.29	1733.13	890.44	1662.49	1088.92	1183.45	0.0	674.59	769.69	769.69	575.03	514.56	500.46	1104.13	981.29	830.75	802.41	329.84	323.03
TNNI3K	49.21	38.12	58.3	32.82	41.52	33.06	62.56	36.53	65.72	12.36	97.36	80.57	67.12	96.01	89.51	63.89	82.87	55.1	66.18	165.57	186.4	126.12	58.3	97.36	131.51	59.13	162.14	96.68	91.41	34.02	175.07	54.72	135.24	124.37	115.97	152.28	93.35	47.5	93.35	111.21	115.16	102.25	127.0	0.0	113.56	15.45	44.57	59.13	40.07	44.89	56.68	129.69	45.85	54.33	52.82	49.91
TRAF1	83.45	279.14	99.43	253.23	130.6	127.89	81.14	112.77	100.13	348.71	220.32	195.72	249.73	193.01	356.05	316.37	457.25	269.6	299.25	409.15	248.0	511.0	283.05	497.0	429.54	295.11	473.41	483.38	267.73	164.42	490.14	211.31	470.14	303.44	379.04	480.04	438.59	327.56	483.38	199.85	343.89	236.21	381.68	0.0	170.25	150.17	105.89	46.5	78.34	178.77	147.06	234.57	135.24	162.14	217.27	147.06
TRAPPC12	1378.57	1259.69	1135.2	1143.1	1369.04	1437.15	1277.29	1359.57	1639.59	1111.82	1313.23	1037.29	967.76	1242.34	2645.74	2209.26	2240.11	1167.14	1769.57	2816.11	3614.55	2591.27	1745.2	1639.59	2451.44	1457.23	2104.58	2193.99	2255.7	1457.23	2133.97	1447.15	2384.37	1806.78	2119.22	1896.65	1936.53	1870.53	2133.97	2047.0	2537.92	1977.24	2835.7	0.0	1477.58	1313.23	1388.16	1457.23	1369.04	1369.04	1081.39	1167.14	1175.27	1023.0	890.44	616.37
TRIM73	5.36	0.93	9.63	5.32	5.82	42.41	24.81	44.57	17.0	40.36	18.97	28.86	10.79	180.02	111.21	101.54	279.14	42.41	144.01	231.32	232.94	368.65	94.67	215.77	136.19	80.57	159.9	256.78	220.32	40.64	249.73	44.25	131.51	161.02	148.09	220.32	111.21	185.11	224.97	59.97	141.02	96.01	138.1	0.0	25.91	13.93	20.26	11.82	40.07	29.48	56.28	52.82	34.26	25.91	9.41	10.79
TRIM74	0.92	0.0	0.0	6.62	0.0	17.38	15.34	6.46	8.58	6.57	1.66	5.77	3.32	102.25	126.12	59.97	142.01	33.54	61.25	85.22	237.86	191.67	61.68	113.56	104.42	34.51	92.05	75.11	81.71	13.32	115.16	40.93	109.66	75.11	55.49	125.24	41.52	55.1	54.33	60.82	53.95	60.82	73.54	0.0	8.99	7.06	9.56	12.83	0.0	13.83	16.15	6.06	16.88	14.35	4.06	6.67
TSC1	169.07	178.77	231.32	161.02	187.71	251.48	249.73	211.31	307.69	307.69	273.37	351.14	237.86	373.81	361.04	348.71	384.34	353.59	299.25	441.64	629.35	463.65	264.03	303.44	438.59	305.55	493.56	587.13	323.03	249.73	327.56	346.29	447.82	343.89	423.61	503.95	379.04	348.71	457.25	339.14	379.04	242.88	463.65	109.66	134.3	120.1	142.01	100.13	329.84	236.21	155.5	384.34	221.86	307.69	82.87	158.79
TSC2	854.13	995.0	1088.92	842.36	1111.82	1268.46	1529.73	1277.29	1407.55	1088.92	1359.57	1709.26	1572.76	1819.35	2367.9	2682.69	3146.52	1794.29	2468.49	2645.74	3589.58	3874.05	2627.46	2816.11	2720.15	2255.7	3190.46	3349.13	2739.08	1477.58	2485.67	2047.0	2384.37	2739.08	2739.08	2319.15	2485.67	2645.74	3257.52	2178.83	2434.5	2224.63	3280.18	587.13	947.83	954.43	1143.1	656.11	1191.69	1417.35	1498.22	1883.54	1832.01	1662.49	551.56	620.67
TSNAXIP1	27.05	26.86	28.86	12.27	10.16	53.19	67.59	24.11	59.97	89.51	63.45	58.71	39.22	59.97	89.51	58.3	81.14	56.68	68.55	124.37	143.01	133.36	76.71	78.34	100.13	73.54	97.36	117.6	53.57	26.86	81.14	70.51	86.43	71.5	82.29	89.51	91.41	81.71	79.45	59.13	130.6	46.18	90.77	0.0	10.96	29.91	21.78	17.0	45.85	29.06	30.56	38.95	50.63	26.28	21.32	10.79
TTC18	3.59	11.13	13.93	6.21	5.36	19.11	9.41	22.75	16.39	25.35	19.25	24.99	29.06	59.55	336.79	88.26	262.2	69.03	122.64	332.14	124.37	420.68	111.99	151.22	265.87	113.56	314.17	218.79	185.11	26.1	339.14	82.29	305.55	226.54	176.29	289.02	195.72	189.02	291.04	88.88	251.48	153.34	221.86	0.0	20.56	18.16	24.63	8.71	25.91	20.11	13.12	30.78	10.47	27.05	2.53	2.41
TTLL3	175.07	193.01	320.8	236.21	226.54	366.09	543.96	473.41	688.78	780.44	961.07	1250.98	674.59	1295.13	2935.74	2075.59	3257.52	1191.69	2090.03	2417.67	3039.3	3280.18	1794.29	1832.01	2682.69	1350.18	3303.0	2796.65	2434.5	748.61	2720.15	1617.0	2573.36	2271.4	2777.33	2796.65	1936.53	2417.67	3847.29	1135.2	2032.85	2104.58	3564.78	0.0	414.87	283.05	493.56	226.54	665.29	571.05	688.78	738.29	490.14	514.56	293.07	182.55
TUBGCP2	961.07	1015.93	1008.9	941.27	1127.35	1295.13	1225.22	1159.07	1322.37	1001.93	974.5	1119.56	1081.39	1037.29	1617.0	2148.82	2104.58	1167.14	1594.73	2018.8	2075.59	2047.0	1662.49	1685.71	1457.23	1487.87	1674.06	1651.0	1437.15	1081.39	1896.65	1208.34	1883.54	1721.16	1467.37	1417.35	1628.26	1651.0	1651.0	1923.14	1781.89	1369.04	1662.49	0.0	1277.29	1008.9	1088.92	967.76	1037.29	1313.23	1208.34	1286.18	1397.83	1369.04	769.69	579.04
TUBGCP6	204.07	316.37	260.38	289.02	287.01	480.04	463.65	384.34	507.46	872.1	665.29	738.29	567.1	890.44	1081.39	1081.39	1350.18	693.58	928.3	1088.92	1639.59	1583.71	723.08	738.29	1191.69	909.17	1225.22	1242.34	1030.12	423.61	1191.69	723.08	967.76	1127.35	1167.14	1037.29	884.29	967.76	1268.46	698.41	1015.93	830.75	1143.1	0.0	209.84	379.04	289.02	187.71	371.22	463.65	490.14	638.15	414.87	575.03	185.11	169.07
USP4	753.83	785.88	902.89	579.04	902.89	813.63	890.44	872.1	902.89	718.08	842.36	1096.5	1044.52	909.17	1378.57	1617.0	1498.22	769.69	1104.13	1304.15	1008.9	1733.13	890.44	1023.0	1119.56	1044.52	1529.73	1551.09	1540.37	796.86	1662.49	934.76	1216.75	1175.27	1685.71	1322.37	1159.07	1295.13	1233.75	902.89	1143.1	1350.18	1350.18	860.08	612.11	679.29	890.44	583.07	872.1	775.05	599.49	748.61	738.29	928.3	567.1	775.05
USP40	285.03	387.02	309.83	297.17	339.14	414.87	336.79	368.65	395.18	567.1	384.34	444.72	334.46	713.11	1208.34	1001.93	1250.98	525.39	651.58	1250.98	1096.5	1388.16	674.59	848.22	1183.45	775.05	1259.69	1051.79	967.76	457.25	995.0	665.29	1037.29	902.89	1259.69	1340.84	1378.57	743.43	1225.22	642.59	967.76	780.44	995.0	0.0	381.68	353.59	392.44	353.59	353.59	371.22	356.05	518.15	316.37	346.29	201.25	223.41
VPS8	314.17	339.14	262.2	277.2	320.8	329.84	366.09	332.14	356.05	679.29	555.41	366.09	379.04	417.77	563.18	373.81	769.69	426.57	368.65	450.94	518.15	915.51	466.88	571.05	674.59	412.0	733.19	688.78	599.49	289.02	514.56	476.71	629.35	447.82	607.87	723.08	607.87	571.05	708.18	346.29	466.88	518.15	612.11	0.0	189.02	293.07	343.89	166.73	400.71	358.54	384.34	432.53	307.69	320.8	197.09	228.13
WDR27	80.01	153.34	108.9	143.01	98.73	283.05	316.37	215.77	371.22	483.38	511.0	595.34	248.0	688.78	974.5	733.19	1151.06	642.59	529.06	947.83	1417.35	1151.06	559.28	713.11	915.51	591.22	974.5	1233.75	796.86	417.77	780.44	688.78	967.76	860.08	1104.13	866.07	595.34	529.06	1369.04	591.22	728.11	698.41	1216.75	0.0	129.69	162.14	158.79	41.52	339.14	287.01	236.21	343.89	232.94	297.17	102.25	60.39
WDR52	32.82	41.81	53.57	49.91	32.36	87.03	97.36	76.71	121.79	251.48	94.67	121.79	90.77	205.5	329.84	256.78	525.39	295.11	256.78	435.55	346.29	511.0	220.32	229.72	356.05	265.87	571.05	620.67	363.56	67.59	312.0	248.0	366.09	353.59	348.71	395.18	356.05	346.29	620.67	165.57	343.89	244.57	356.05	0.0	22.43	31.9	36.01	19.11	165.57	130.6	90.14	172.65	84.63	85.82	18.97	15.34
YJEFN3	26.1	22.75	36.27	18.56	39.5	95.34	110.43	87.65	132.44	237.86	146.03	159.9	116.78	242.88	470.14	463.65	854.13	281.09	559.28	392.44	454.09	941.27	339.14	463.65	323.03	262.2	559.28	616.37	591.22	112.77	470.14	332.14	447.82	351.14	473.41	480.04	460.44	559.28	457.25	242.88	466.88	307.69	518.15	0.0	25.17	35.0	25.35	14.24	86.43	104.42	80.01	106.63	74.06	90.77	25.72	22.26
ZCCHC11	348.71	500.46	400.71	371.22	309.83	660.68	493.56	470.14	547.75	1322.37	718.08	830.75	669.92	836.53	1832.01	947.83	1407.55	878.17	1233.75	1044.52	1870.53	1519.15	500.46	836.53	1519.15	842.36	1617.0	1051.79	1794.29	497.0	1119.56	551.56	1088.92	1286.18	1697.45	1350.18	1233.75	1175.27	1286.18	854.13	1159.07	669.92	1417.35	0.0	450.94	358.54	497.0	363.56	660.68	457.25	728.11	872.1	579.04	583.07	143.01	314.17
ZFHX2	20.56	29.06	26.28	20.11	42.71	55.49	30.34	23.93	64.34	50.27	20.71	30.12	55.1	30.34	96.68	58.3	84.63	86.43	108.9	123.5	113.56	100.13	50.27	102.25	86.43	70.51	119.26	98.73	99.43	58.3	82.29	48.87	36.53	41.22	80.01	63.89	74.58	77.25	46.18	78.34	197.09	50.98	104.42	0.0	27.25	42.41	16.39	8.51	21.78	41.52	79.45	93.35	47.17	42.71	24.11	13.52
ZFP2	48.87	52.82	68.55	42.41	63.0	37.05	43.94	73.03	102.25	73.54	36.79	81.14	67.12	60.82	154.42	169.07	194.36	78.89	85.82	209.84	206.94	258.57	94.01	116.78	221.86	66.18	244.57	164.42	146.03	41.22	149.12	85.22	162.14	120.1	169.07	239.52	119.26	127.89	141.02	131.51	139.07	97.36	158.79	0.0	77.25	42.41	79.45	59.97	121.79	52.82	52.08	76.17	52.45	72.52	17.64	36.01
ZMAT1	78.34	139.07	147.06	82.29	143.01	94.01	161.02	105.89	155.5	59.97	98.04	221.86	164.42	295.11	595.34	435.55	718.08	463.65	255.0	728.11	693.58	915.51	211.31	366.09	616.37	309.83	813.63	775.05	571.05	198.47	595.34	429.54	603.67	693.58	511.0	201.25	299.25	285.03	713.11	329.84	559.28	438.59	603.67	0.0	31.22	95.34	148.09	64.8	239.52	128.79	111.99	283.05	142.01	182.55	19.25	28.04
ZNF251	170.25	148.09	228.13	108.9	201.25	361.04	249.73	249.73	392.44	507.46	303.44	463.65	228.13	381.68	808.0	620.67	954.43	460.44	529.06	703.28	915.51	1073.91	483.38	529.06	848.22	403.5	836.53	808.0	713.11	260.38	698.41	403.5	791.35	665.29	769.69	674.59	563.18	679.29	825.0	470.14	651.58	490.14	1111.82	0.0	118.43	154.42	229.72	256.78	351.14	236.21	264.03	387.02	187.71	323.03	95.34	111.21
ZNF404	65.26	61.68	107.38	69.52	169.07	50.63	111.99	62.12	147.06	127.89	57.89	88.88	67.12	88.88	241.19	316.37	371.22	124.37	151.22	271.48	339.14	547.75	149.12	260.38	182.55	150.17	395.18	332.14	253.23	92.05	339.14	173.85	205.5	173.85	368.65	253.23	231.32	237.86	246.28	197.09	264.03	194.36	265.87	0.0	73.54	72.52	113.56	44.25	194.36	99.43	91.41	231.32	100.13	78.89	12.74	39.79
ZNF516	229.72	253.23	305.55	283.05	234.57	190.34	194.36	138.1	303.44	265.87	275.28	285.03	353.59	389.72	503.95	373.81	780.44	226.54	232.94	555.41	769.69	669.92	329.84	392.44	543.96	397.93	507.46	514.56	441.64	197.09	409.15	341.51	438.59	612.11	381.68	651.58	915.51	368.65	395.18	384.34	373.81	255.0	529.06	0.0	669.92	361.04	318.57	409.15	234.57	218.79	403.5	358.54	242.88	273.37	209.84	105.15
ZNF528	217.27	255.0	332.14	161.02	373.81	91.41	199.85	172.65	297.17	98.73	141.02	323.03	262.2	358.54	417.77	353.59	660.68	379.04	366.09	483.38	403.5	587.13	231.32	149.12	387.02	371.22	603.67	733.19	441.64	204.07	555.41	368.65	483.38	447.82	384.34	718.08	591.22	536.45	547.75	220.32	457.25	283.05	555.41	0.0	269.6	262.2	265.87	229.72	314.17	199.85	218.79	301.33	217.27	346.29	54.33	208.38
ZNF546	31.0	45.53	69.52	33.06	42.41	37.59	43.02	52.08	49.91	48.18	29.48	76.17	48.18	63.0	67.12	75.64	117.6	69.03	62.56	101.54	87.03	104.42	48.52	56.28	67.12	80.57	105.89	83.45	70.01	29.48	90.14	62.12	61.68	69.03	93.35	135.24	59.13	66.65	74.58	46.5	85.82	47.84	111.99	0.0	37.32	35.76	45.85	25.91	70.01	28.86	37.32	76.17	71.5	55.49	10.96	24.46
ZNF605	64.8	76.17	81.14	54.72	91.41	64.8	77.25	75.64	128.79	175.07	120.1	129.69	111.21	131.51	146.03	162.14	271.48	241.19	226.54	242.88	217.27	269.6	131.51	224.97	231.32	209.84	547.75	325.29	255.0	74.58	256.78	215.77	189.02	255.0	271.48	361.04	341.51	265.87	273.37	82.29	299.25	176.29	336.79	0.0	77.79	68.07	49.56	38.12	145.02	67.12	83.45	150.17	86.43	123.5	6.26	16.03
ZNF692	155.5	248.0	255.0	190.34	255.0	723.08	629.35	353.59	660.68	1143.1	1044.52	802.41	497.0	825.0	1794.29	1733.13	2351.53	1143.1	1781.89	1909.85	3768.09	2777.33	1977.24	1340.84	1508.65	1359.57	2061.24	2351.53	1923.14	532.74	1757.34	1199.98	1963.57	1540.37	2032.85	1721.16	1844.76	2090.03	2004.85	1427.22	1963.57	1286.18	2240.11	0.0	503.95	423.61	381.68	140.04	447.82	432.53	684.02	769.69	616.37	547.75	251.48	199.85
ZNF76	507.46	387.02	435.55	366.09	473.41	503.95	567.1	595.34	583.07	1015.93	624.99	928.3	928.3	1001.93	1417.35	1208.34	1674.06	830.75	1242.34	1794.29	1313.23	1832.01	1313.23	1088.92	1977.24	1378.57	2047.0	1781.89	1628.26	808.0	1551.09	1143.1	1295.13	1477.58	1709.26	1639.59	2061.24	1769.57	1977.24	884.29	1583.71	1529.73	2004.85	0.0	521.76	466.88	567.1	441.64	651.58	638.15	514.56	612.11	529.06	698.41	253.23	316.37
ZSCAN30	123.5	103.69	142.01	115.16	170.25	143.01	183.82	180.02	241.19	208.38	159.9	327.56	201.25	289.02	400.71	309.83	514.56	320.8	334.46	470.14	450.94	651.58	180.02	353.59	457.25	323.03	575.03	595.34	429.54	183.82	417.77	314.17	397.93	417.77	486.75	555.41	368.65	460.44	444.72	253.23	414.87	312.0	607.87	0.0	100.13	110.43	133.36	118.43	251.48	198.47	143.01	228.13	190.34	208.38	89.51	82.87
