	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	TCGA.EL.A3N3.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	TCGA.BK.A26L.01A.11R.A277.07
RBM12	836.53	825.0	1127.35	1662.49	1051.79	961.07	287.01	198.47	307.69	339.14	151.22	177.53	232.94	260.38	334.46	267.73	204.07	189.02	236.21	400.71	237.86	255.0	291.04	293.07	236.21	197.09	180.02	246.28	237.86	221.86	186.4	329.84	361.04	954.43	293.07	884.29	802.41	579.04	323.03	460.44	232.94	507.46	703.28	703.28	830.75	842.36	417.77	406.31	353.59	813.63	647.07	368.65	529.06	684.02	454.09	480.04	791.35	441.64	603.67	785.88	511.0	743.43	1073.91	435.55	373.81	332.14	802.41	813.63	400.71	511.0	733.19	500.46	909.17	293.07	353.59	490.14	373.81	656.11	329.84	1135.2	909.17	764.36	236.21	624.99	785.88	688.78	1350.18	417.77	320.8	486.75	511.0	836.53	665.29	547.75	348.71	346.29	384.34	406.31	529.06	371.22	1529.73
RCN1	1909.85	2148.82	2400.97	2573.36	2209.26	2133.97	571.05	651.58	1199.98	1331.57	866.07	656.11	656.11	878.17	813.63	669.92	1088.92	1340.84	1008.9	1540.37	941.27	1183.45	848.22	780.44	780.44	995.0	934.76	1023.0	981.29	1268.46	1369.04	802.41	1233.75	1359.57	1331.57	1651.0	1388.16	1651.0	1757.34	1721.16	1628.26	1331.57	1457.23	961.07	1388.16	1286.18	2240.11	1015.93	1250.98	1508.65	1721.16	1233.75	1008.9	1259.69	1277.29	1208.34	1806.78	1551.09	1551.09	1685.71	1286.18	1322.37	2193.99	1268.46	1369.04	1175.27	1572.76	1167.14	1096.5	1340.84	1250.98	1477.58	1674.06	1369.04	713.11	1250.98	1417.35	1340.84	1844.76	1015.93	1059.11	2075.59	1628.26	1437.15	1378.57	1340.84	1617.0	1697.45	1572.76	1051.79	1498.22	1721.16	1397.83	1008.9	1397.83	1175.27	1857.6	1225.22	1617.0	961.07	2875.3
SCAF8	718.08	684.02	802.41	1059.11	743.43	819.3	299.25	297.17	318.57	444.72	211.31	248.0	293.07	353.59	297.17	348.71	334.46	194.36	283.05	483.38	299.25	269.6	371.22	341.51	334.46	232.94	206.94	343.89	295.11	316.37	237.86	291.04	400.71	647.07	417.77	748.61	490.14	825.0	493.56	607.87	341.51	567.1	493.56	514.56	551.56	536.45	457.25	376.41	450.94	551.56	490.14	470.14	400.71	480.04	490.14	547.75	392.44	473.41	532.74	555.41	447.82	507.46	486.75	395.18	432.53	406.31	607.87	571.05	447.82	426.57	595.34	521.76	521.76	414.87	414.87	575.03	500.46	555.41	460.44	708.18	579.04	503.95	341.51	497.0	543.96	480.04	674.59	457.25	332.14	429.54	551.56	819.3	540.19	575.03	325.29	397.93	291.04	444.72	466.88	503.95	1286.18
SMC1A	813.63	836.53	842.36	476.71	1191.69	1127.35	223.41	138.1	162.14	255.0	128.79	166.73	181.28	152.28	190.34	164.42	169.07	141.02	180.02	334.46	181.28	190.34	232.94	232.94	145.02	140.04	201.25	143.01	167.9	199.85	129.69	194.36	165.57	808.0	267.73	693.58	785.88	447.82	327.56	476.71	132.44	334.46	493.56	525.39	420.68	753.83	376.41	239.52	287.01	679.29	432.53	305.55	412.0	432.53	351.14	728.11	551.56	392.44	329.84	684.02	420.68	679.29	934.76	356.05	271.48	209.84	802.41	733.19	301.33	361.04	525.39	476.71	947.83	244.57	256.78	281.09	244.57	438.59	316.37	1023.0	688.78	555.41	175.07	555.41	718.08	633.73	656.11	703.28	214.27	450.94	583.07	808.0	555.41	336.79	281.09	429.54	218.79	255.0	457.25	271.48	1295.13
SMCR8	262.2	237.86	371.22	269.6	346.29	348.71	28.24	15.34	27.64	77.79	22.1	13.93	46.5	24.11	7.22	42.11	24.63	12.45	33.78	49.21	45.53	18.16	38.95	49.56	27.44	15.45	18.29	19.97	28.45	14.03	22.92	31.67	37.85	126.12	59.97	169.07	115.97	180.02	54.72	93.35	22.1	115.97	95.34	157.68	75.11	226.54	61.68	80.01	37.85	167.9	109.66	72.01	84.04	131.51	69.03	231.32	73.03	76.71	116.78	148.09	82.29	122.64	162.14	52.08	84.04	70.51	162.14	108.14	65.72	49.56	99.43	138.1	125.24	47.5	36.53	71.0	48.52	171.45	61.25	178.77	202.66	130.6	10.55	80.57	223.41	148.09	198.47	111.99	21.78	124.37	175.07	155.5	214.27	79.45	34.51	45.53	74.58	85.22	74.06	63.45	279.14
SPTY2D1	339.14	381.68	595.34	470.14	432.53	476.71	100.83	79.45	113.56	155.5	85.82	84.63	101.54	109.66	114.36	105.89	102.25	76.17	93.35	155.5	112.77	80.01	126.12	126.12	98.04	83.45	87.03	101.54	105.89	88.26	78.89	104.42	167.9	287.01	199.85	351.14	341.51	255.0	251.48	316.37	121.79	193.01	246.28	215.77	189.02	223.41	205.5	173.85	181.28	242.88	320.8	136.19	152.28	187.71	291.04	191.67	244.57	181.28	201.25	271.48	204.07	234.57	287.01	198.47	157.68	101.54	320.8	312.0	195.72	190.34	249.73	239.52	273.37	151.22	164.42	190.34	172.65	191.67	204.07	334.46	234.57	253.23	198.47	237.86	295.11	218.79	466.88	273.37	180.02	212.78	218.79	363.56	277.2	180.02	152.28	173.85	169.07	172.65	221.86	189.02	414.87
TCF12	1167.14	1023.0	1104.13	1407.55	1159.07	1104.13	409.15	307.69	409.15	420.68	314.17	262.2	353.59	379.04	303.44	444.72	438.59	226.54	287.01	511.0	336.79	312.0	361.04	376.41	366.09	277.2	241.19	381.68	361.04	366.09	332.14	323.03	447.82	785.88	507.46	616.37	647.07	941.27	679.29	884.29	406.31	599.49	583.07	563.18	457.25	647.07	629.35	420.68	547.75	500.46	647.07	486.75	392.44	473.41	575.03	480.04	429.54	633.73	579.04	480.04	599.49	473.41	656.11	555.41	551.56	395.18	713.11	490.14	567.1	476.71	476.71	679.29	518.15	373.81	343.89	543.96	525.39	607.87	642.59	813.63	507.46	629.35	406.31	583.07	486.75	529.06	591.22	536.45	353.59	426.57	514.56	583.07	480.04	543.96	409.15	656.11	457.25	429.54	555.41	567.1	2004.85
TERF2	559.28	595.34	432.53	679.29	575.03	575.03	348.71	423.61	346.29	473.41	406.31	432.53	373.81	389.72	334.46	438.59	426.57	376.41	441.64	493.56	412.0	332.14	395.18	353.59	318.57	329.84	397.93	332.14	412.0	476.71	379.04	363.56	412.0	878.17	373.81	656.11	532.74	460.44	406.31	470.14	397.93	454.09	406.31	423.61	432.53	547.75	457.25	389.72	507.46	483.38	470.14	332.14	450.94	493.56	447.82	476.71	438.59	587.13	514.56	518.15	376.41	518.15	543.96	412.0	403.5	361.04	551.56	473.41	507.46	466.88	536.45	503.95	529.06	480.04	348.71	400.71	409.15	466.88	493.56	497.0	518.15	490.14	435.55	450.94	457.25	503.95	571.05	476.71	435.55	450.94	476.71	543.96	429.54	441.64	426.57	420.68	486.75	521.76	432.53	460.44	497.0
TFAM	775.05	679.29	961.07	1111.82	780.44	842.36	234.57	190.34	232.94	351.14	187.71	190.34	239.52	220.32	209.84	289.02	255.0	187.71	289.02	376.41	293.07	248.0	223.41	318.57	212.78	177.53	177.53	214.27	256.78	167.9	214.27	242.88	343.89	532.74	318.57	497.0	551.56	417.77	473.41	612.11	281.09	540.19	525.39	486.75	371.22	540.19	409.15	307.69	373.81	470.14	514.56	336.79	351.14	363.56	514.56	476.71	507.46	493.56	447.82	480.04	454.09	476.71	728.11	339.14	307.69	323.03	473.41	555.41	400.71	432.53	490.14	507.46	669.92	318.57	346.29	493.56	420.68	616.37	376.41	503.95	432.53	514.56	454.09	540.19	518.15	476.71	612.11	551.56	332.14	438.59	536.45	693.58	660.68	343.89	368.65	412.0	356.05	379.04	473.41	473.41	1135.2
TG	11.91	4.78	6.21	2.94	4.39	7.88	402881.61	301123.38	400098.69	1085552.95	348306.01	353168.2	822695.06	857631.47	400098.69	731246.37	378516.38	296977.71	402881.61	1048575.0	887875.81	794671.01	985160.01	992012.34	932018.1	197294.7	778316.89	383800.28	296977.71	828417.36	334117.42	906531.99	881742.8	561916.97	1282030.25	1019901.63	1364554.84	1264380.15	1393227.06	2068278.89	1085552.95	1452391.55	2247670.86	2126426.15	1212874.47	1273174.62	2375828.71	2111737.85	1611529.43	1611529.43	1299926.74	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1273174.62	1997825.68	1290947.48	1139523.1	1984025.69	2986448.72	2025714.3	1318073.06	1196176.45	2425749.94	1402917.72	1318073.06	1929772.37	1327240.99	1943195.01	1100706.72	1622738.51	1727194.55	1589343.01	1123834.93	1085552.95	1355129.16	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1622738.51	1085552.95	2263304.65	1535204.12	2672946.37	1514068.5	1567462.05	1864037.21	1634025.56	1482909.4	84.63
TRAPPC10	612.11	384.34	500.46	579.04	447.82	384.34	334.46	287.01	262.2	444.72	267.73	220.32	318.57	435.55	223.41	307.69	341.51	186.4	231.32	373.81	348.71	242.88	316.37	329.84	353.59	279.14	249.73	246.28	236.21	218.79	206.94	356.05	244.57	525.39	327.56	493.56	417.77	441.64	281.09	343.89	242.88	457.25	447.82	547.75	409.15	450.94	438.59	457.25	316.37	376.41	307.69	320.8	429.54	624.99	463.65	497.0	361.04	318.57	346.29	473.41	486.75	536.45	441.64	332.14	318.57	314.17	400.71	514.56	303.44	260.38	454.09	346.29	376.41	269.6	423.61	255.0	327.56	511.0	318.57	486.75	463.65	414.87	346.29	414.87	490.14	417.77	532.74	559.28	316.37	693.58	414.87	529.06	579.04	412.0	305.55	343.89	256.78	403.5	299.25	348.71	693.58
TRIM56	423.61	435.55	329.84	223.41	473.41	371.22	104.42	102.25	97.36	186.4	68.55	57.08	138.1	95.34	71.0	91.41	111.21	54.33	87.03	163.28	100.13	75.64	94.01	111.21	73.03	62.12	81.14	102.97	69.03	66.18	77.25	75.11	69.03	249.73	206.94	329.84	251.48	132.44	159.9	164.42	80.57	180.02	212.78	314.17	195.72	379.04	195.72	147.06	154.42	307.69	256.78	146.03	260.38	309.83	134.3	373.81	226.54	154.42	334.46	281.09	197.09	267.73	318.57	130.6	195.72	153.34	457.25	208.38	159.9	346.29	217.27	217.27	183.82	199.85	150.17	137.14	132.44	260.38	102.25	348.71	361.04	265.87	45.21	239.52	417.77	281.09	316.37	158.79	42.71	173.85	241.19	199.85	264.03	205.5	104.42	152.28	189.02	146.03	205.5	162.14	323.03
UHRF1BP1L	309.83	246.28	309.83	438.59	316.37	353.59	98.73	92.05	92.7	134.3	119.26	88.26	111.99	105.89	117.6	115.97	135.24	112.77	132.44	115.97	88.88	88.88	130.6	126.12	105.15	96.68	151.22	92.7	128.79	162.14	137.14	105.89	133.36	269.6	175.07	314.17	146.03	285.03	170.25	226.54	163.28	260.38	145.02	201.25	187.71	151.22	217.27	293.07	217.27	220.32	191.67	190.34	175.07	164.42	191.67	189.02	146.03	182.55	190.34	208.38	176.29	119.26	166.73	145.02	167.9	229.72	166.73	120.94	152.28	178.77	166.73	220.32	159.9	190.34	126.12	144.01	136.19	187.71	198.47	180.02	189.02	173.85	148.09	171.45	176.29	191.67	226.54	262.2	110.43	158.79	159.9	264.03	176.29	186.4	197.09	281.09	108.9	153.34	229.72	172.65	318.57
VEZF1	1519.15	1208.34	2090.03	1963.57	1407.55	1457.23	620.67	514.56	466.88	587.13	493.56	595.34	480.04	503.95	403.5	599.49	579.04	486.75	507.46	603.67	567.1	476.71	503.95	571.05	457.25	409.15	297.17	441.64	599.49	620.67	466.88	441.64	679.29	1313.23	830.75	1519.15	915.51	1233.75	629.35	1268.46	591.22	1135.2	921.88	915.51	1259.69	1119.56	825.0	642.59	785.88	967.76	1037.29	642.59	785.88	1073.91	961.07	921.88	651.58	780.44	988.12	1143.1	848.22	890.44	1104.13	866.07	647.07	738.29	1322.37	854.13	934.76	693.58	921.88	1023.0	941.27	551.56	429.54	796.86	728.11	1151.06	1044.52	1159.07	981.29	947.83	595.34	708.18	1127.35	1268.46	1477.58	967.76	476.71	728.11	872.1	1127.35	884.29	928.3	466.88	961.07	656.11	872.1	819.3	825.0	1369.04
VPRBP	723.08	620.67	612.11	708.18	723.08	642.59	249.73	258.57	267.73	400.71	211.31	229.72	351.14	295.11	242.88	332.14	289.02	208.38	301.33	444.72	283.05	251.48	305.55	332.14	258.57	212.78	336.79	255.0	236.21	287.01	239.52	320.8	348.71	638.15	414.87	738.29	642.59	486.75	454.09	503.95	327.56	540.19	563.18	698.41	521.76	620.67	490.14	400.71	426.57	624.99	547.75	414.87	559.28	583.07	507.46	738.29	624.99	460.44	426.57	651.58	507.46	603.67	764.36	423.61	366.09	361.04	607.87	703.28	417.77	457.25	802.41	525.39	599.49	457.25	432.53	403.5	397.93	674.59	389.72	785.88	624.99	579.04	329.84	551.56	651.58	651.58	759.08	703.28	366.09	514.56	559.28	830.75	620.67	503.95	366.09	426.57	336.79	429.54	521.76	490.14	775.05
VPS35	1583.71	1378.57	4388.98	1896.65	1250.98	1628.26	551.56	497.0	612.11	902.89	698.41	591.22	616.37	583.07	708.18	616.37	684.02	518.15	693.58	728.11	540.19	497.0	651.58	599.49	507.46	718.08	624.99	563.18	656.11	620.67	684.02	518.15	616.37	819.3	579.04	988.12	866.07	915.51	884.29	974.5	713.11	743.43	775.05	796.86	693.58	775.05	921.88	518.15	713.11	764.36	961.07	595.34	665.29	718.08	902.89	866.07	842.36	836.53	1037.29	825.0	902.89	791.35	921.88	693.58	713.11	624.99	981.29	665.29	748.61	961.07	642.59	934.76	759.08	647.07	693.58	748.61	808.0	769.69	934.76	921.88	738.29	947.83	780.44	909.17	718.08	769.69	1037.29	785.88	612.11	934.76	902.89	836.53	748.61	698.41	708.18	785.88	819.3	669.92	854.13	796.86	2816.11
VPS4B	1359.57	1250.98	1340.84	1250.98	1191.69	1519.15	457.25	361.04	346.29	521.76	323.03	303.44	414.87	392.44	336.79	423.61	397.93	305.55	363.56	575.03	426.57	348.71	432.53	497.0	351.14	332.14	267.73	356.05	403.5	420.68	299.25	341.51	438.59	796.86	555.41	854.13	620.67	830.75	651.58	780.44	389.72	713.11	713.11	624.99	514.56	791.35	647.07	371.22	454.09	769.69	808.0	521.76	669.92	698.41	775.05	743.43	595.34	607.87	651.58	738.29	785.88	780.44	780.44	591.22	525.39	473.41	723.08	743.43	591.22	624.99	703.28	748.61	647.07	447.82	486.75	521.76	638.15	665.29	674.59	878.17	647.07	583.07	607.87	591.22	728.11	738.29	860.08	693.58	518.15	759.08	748.61	915.51	693.58	684.02	500.46	490.14	392.44	563.18	607.87	629.35	1081.39
WDR3	493.56	403.5	563.18	563.18	529.06	591.22	102.97	68.07	61.68	88.26	63.45	50.98	105.89	72.52	67.59	115.97	108.9	50.98	88.26	139.07	90.14	59.13	94.67	154.42	54.33	50.98	47.84	63.45	70.01	94.01	64.34	72.01	105.89	221.86	136.19	237.86	234.57	242.88	161.02	232.94	74.58	191.67	229.72	217.27	136.19	211.31	177.53	94.01	124.37	223.41	339.14	109.66	120.1	177.53	214.27	251.48	281.09	143.01	189.02	260.38	214.27	177.53	500.46	151.22	182.55	115.97	228.13	285.03	135.24	130.6	202.66	228.13	279.14	142.01	141.02	152.28	136.19	223.41	163.28	309.83	198.47	246.28	86.43	209.84	206.94	226.54	305.55	151.22	59.55	172.65	189.02	176.29	234.57	142.01	84.63	105.89	137.14	114.36	159.9	149.12	890.44
XRN2	1477.58	1286.18	1819.35	1427.22	1286.18	1447.15	703.28	612.11	555.41	674.59	551.56	563.18	540.19	447.82	500.46	587.13	563.18	490.14	642.59	703.28	518.15	543.96	642.59	679.29	441.64	470.14	521.76	497.0	543.96	698.41	483.38	490.14	599.49	1073.91	669.92	1233.75	1023.0	961.07	775.05	860.08	656.11	974.5	896.64	909.17	738.29	1008.9	848.22	684.02	674.59	1001.93	1015.93	616.37	775.05	896.64	909.17	1015.93	1081.39	759.08	921.88	1059.11	909.17	1081.39	1359.57	656.11	679.29	802.41	902.89	1127.35	769.69	785.88	1015.93	819.3	1088.92	796.86	703.28	708.18	796.86	988.12	753.83	1104.13	878.17	1044.52	830.75	921.88	988.12	1023.0	1277.29	1001.93	708.18	915.51	995.0	1135.2	1023.0	738.29	679.29	902.89	743.43	616.37	785.88	825.0	2520.38
YES1	884.29	808.0	1096.5	1111.82	693.58	830.75	246.28	198.47	269.6	265.87	199.85	206.94	264.03	341.51	229.72	291.04	273.37	172.65	236.21	381.68	246.28	226.54	264.03	260.38	287.01	251.48	229.72	255.0	297.17	255.0	249.73	281.09	301.33	454.09	389.72	660.68	426.57	343.89	409.15	708.18	346.29	480.04	343.89	409.15	476.71	438.59	583.07	373.81	612.11	414.87	339.14	336.79	361.04	251.48	412.0	305.55	309.83	493.56	309.83	457.25	361.04	299.25	444.72	363.56	277.2	379.04	389.72	336.79	518.15	366.09	358.54	389.72	368.65	373.81	316.37	277.2	432.53	368.65	497.0	397.93	389.72	314.17	381.68	426.57	307.69	423.61	511.0	470.14	303.44	307.69	343.89	438.59	414.87	353.59	353.59	708.18	476.71	358.54	460.44	358.54	3928.15
ZFX	583.07	551.56	638.15	759.08	571.05	551.56	165.57	124.37	120.94	135.24	90.14	126.12	171.45	127.89	120.94	128.79	113.56	89.51	132.44	264.03	181.28	152.28	197.09	181.28	112.77	108.14	145.02	134.3	169.07	229.72	80.01	186.4	158.79	409.15	147.06	373.81	251.48	493.56	186.4	197.09	109.66	218.79	190.34	397.93	242.88	256.78	218.79	137.14	166.73	293.07	253.23	303.44	234.57	214.27	299.25	283.05	180.02	161.02	181.28	253.23	363.56	309.83	224.97	204.07	154.42	167.9	473.41	397.93	176.29	165.57	325.29	193.01	341.51	195.72	162.14	176.29	126.12	242.88	295.11	414.87	356.05	234.57	201.25	248.0	226.54	197.09	327.56	339.14	180.02	316.37	361.04	325.29	249.73	215.77	202.66	277.2	145.02	185.11	158.79	297.17	1242.34
ZNF264	209.84	182.55	267.73	195.72	220.32	218.79	75.64	55.49	87.65	105.15	65.26	63.0	81.14	111.99	46.18	72.01	47.5	49.91	73.03	93.35	91.41	60.39	132.44	75.64	85.22	62.12	90.14	49.21	50.63	46.84	36.01	67.12	66.18	145.02	191.67	128.79	115.16	137.14	180.02	121.79	201.25	120.1	154.42	157.68	100.13	167.9	126.12	239.52	73.03	202.66	117.6	154.42	155.5	236.21	93.35	129.69	108.14	84.04	178.77	140.04	228.13	141.02	146.03	101.54	129.69	255.0	143.01	169.07	72.01	63.45	139.07	135.24	106.63	105.15	190.34	75.11	95.34	151.22	58.3	185.11	119.26	101.54	126.12	102.25	167.9	149.12	142.01	88.88	90.77	161.02	307.69	98.73	152.28	104.42	90.14	73.54	116.78	124.37	94.01	76.71	825.0
ZNF562	444.72	356.05	698.41	733.19	366.09	500.46	85.82	79.45	120.94	145.02	82.29	87.03	94.67	107.38	94.01	98.73	88.26	82.87	76.17	155.5	87.03	86.43	111.21	100.83	86.43	79.45	84.63	100.83	85.22	97.36	83.45	108.9	106.63	171.45	109.66	224.97	159.9	234.57	109.66	149.12	95.34	137.14	138.1	165.57	154.42	163.28	155.5	101.54	124.37	175.07	193.01	126.12	115.16	162.14	172.65	159.9	121.79	129.69	135.24	193.01	127.89	144.01	206.94	123.5	95.34	119.26	183.82	211.31	117.6	82.87	151.22	159.9	143.01	107.38	130.6	127.0	108.14	173.85	126.12	194.36	162.14	183.82	122.64	183.82	125.24	149.12	309.83	157.68	118.43	122.64	130.6	214.27	162.14	108.14	127.0	162.14	134.3	95.34	84.63	114.36	819.3
ZNF573	139.07	122.64	141.02	189.02	146.03	135.24	23.42	47.5	16.39	66.18	18.43	18.97	66.18	55.1	17.0	56.28	46.5	22.1	30.78	58.3	53.19	39.22	45.21	38.95	44.89	22.75	39.79	40.36	43.94	50.98	22.92	37.32	52.08	105.15	84.04	157.68	98.73	172.65	65.72	78.34	35.76	71.5	54.72	83.45	84.63	91.41	59.55	80.01	55.1	74.58	66.18	47.17	55.1	117.6	49.21	84.04	43.63	66.65	95.34	89.51	85.22	106.63	57.08	73.03	68.07	40.07	123.5	50.27	62.12	32.82	90.14	53.19	76.17	76.71	37.59	96.68	85.22	123.5	16.39	138.1	78.89	97.36	89.51	55.1	140.04	78.89	73.54	117.6	28.04	81.14	116.78	75.11	100.13	61.25	43.32	47.84	33.3	55.49	77.79	34.75	217.27
ZXDB	221.86	177.53	228.13	241.19	161.02	194.36	52.82	55.49	48.52	85.22	55.1	50.98	59.97	62.56	59.13	60.82	65.26	41.52	56.28	85.82	58.3	47.84	71.0	60.39	62.12	52.08	45.21	57.08	67.12	60.39	43.32	63.45	85.22	126.12	78.89	175.07	115.97	130.6	108.14	130.6	72.52	137.14	128.79	120.1	101.54	166.73	105.15	87.65	100.13	144.01	140.04	82.87	102.25	111.21	111.21	142.01	92.7	114.36	109.66	114.36	120.94	136.19	125.24	112.77	93.35	108.14	149.12	125.24	85.22	94.01	130.6	129.69	125.24	91.41	63.0	88.26	90.77	125.24	116.78	140.04	135.24	106.63	108.9	85.82	129.69	144.01	155.5	143.01	92.05	112.77	139.07	161.02	121.79	107.38	73.54	75.64	90.77	102.25	103.69	88.88	165.57
