	TCGA.A7.A26G.01A.21R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.5552.11A.01R.1672.07	TCGA.49.6744.11A.01R.1858.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
NAA10	1806.78	1030.12	1119.56	1208.34	954.43	928.3	1030.12	1378.57	1685.71	1651.0	2047.0	3257.52	1923.14	2351.53	1250.98	1844.76	2367.9	1350.18	2061.24	1936.53	3419.52	2178.83	2271.4	2645.74	1286.18	2209.26	1529.73	2119.22	2627.46	2367.9	2701.35	1733.13	2720.15	3614.55	1467.37	2976.74	2032.85	2468.49	3103.19	2104.58	1991.0	2682.69	2701.35	2090.03	2061.24	2178.83	1199.98	2384.37	1183.45	2915.45	2468.49	1896.65	2163.77	2417.67	2739.08	2777.33	2061.24	1709.26	1909.85	2417.67	2209.26	1617.0	1674.06	2935.74	4038.61	2609.3	3742.05	1757.34	1819.35	4010.71	1359.57	2664.15	2417.67	2701.35	2148.82	2004.85	2303.12	2720.15	2255.7	2855.44	2163.77	2701.35	2816.11	2573.36	1617.0	1674.06	1832.01	1832.01	2720.15	2384.37	1457.23	2255.7	1963.57	3039.3	2758.13	2434.5	1529.73	1208.34	1350.18	2701.35	2384.37	1757.34	3303.0	2163.77	1467.37	2720.15	1477.58	2075.59	1639.59	3235.01	1977.24	2816.11	2032.85	2591.27	1794.29	2739.08	1896.65	2591.27	2193.99	2664.15	2796.65	3280.18	2468.49	2915.45	1896.65	1508.65	2133.97	1923.14	2104.58	2384.37	2163.77	1651.0	1313.23	1769.57	2061.24	2240.11	1457.23	1572.76	1135.2
NDUFV3	497.0	583.07	591.22	591.22	476.71	559.28	420.68	559.28	426.57	638.15	624.99	902.89	567.1	848.22	540.19	612.11	703.28	603.67	713.11	555.41	1088.92	693.58	713.11	703.28	567.1	743.43	420.68	693.58	764.36	764.36	723.08	587.13	642.59	866.07	708.18	808.0	612.11	753.83	579.04	607.87	679.29	728.11	791.35	718.08	521.76	674.59	587.13	629.35	316.37	679.29	743.43	559.28	287.01	775.05	808.0	708.18	620.67	612.11	728.11	665.29	620.67	612.11	665.29	753.83	1001.93	819.3	599.49	551.56	575.03	941.27	559.28	802.41	866.07	791.35	713.11	629.35	860.08	708.18	830.75	723.08	723.08	674.59	813.63	660.68	500.46	551.56	633.73	620.67	802.41	738.29	612.11	651.58	624.99	603.67	473.41	759.08	599.49	563.18	507.46	854.13	713.11	669.92	1135.2	591.22	575.03	540.19	555.41	665.29	703.28	915.51	703.28	738.29	764.36	764.36	591.22	708.18	555.41	703.28	703.28	780.44	836.53	780.44	607.87	860.08	607.87	543.96	743.43	616.37	651.58	703.28	603.67	540.19	669.92	267.73	579.04	490.14	660.68	395.18	591.22
NECAB3	256.78	277.2	234.57	217.27	153.34	100.13	100.13	571.05	1639.59	2163.77	1963.57	2956.17	2178.83	2240.11	974.5	2061.24	3280.18	1487.87	2018.8	2061.24	2502.97	2075.59	2739.08	1896.65	1628.26	2796.65	2047.0	2303.12	2915.45	2209.26	1781.89	2018.8	2537.92	3794.3	1388.16	3303.0	2075.59	2895.31	3515.68	1594.73	3467.27	2627.46	2061.24	2627.46	2682.69	3443.31	1242.34	1685.71	1208.34	2855.44	2335.28	1757.34	2400.97	3443.31	2537.92	3467.27	1923.14	1572.76	3901.01	2367.9	2367.9	1487.87	1651.0	2193.99	3168.41	3794.3	2591.27	1923.14	2664.15	2104.58	1519.15	2468.49	2061.24	2573.36	2384.37	1991.0	3124.78	3395.89	2148.82	2956.17	2133.97	2417.67	2796.65	2240.11	1963.57	1572.76	4123.49	2609.3	2319.15	3018.3	1991.0	2417.67	2645.74	3742.05	2591.27	2319.15	1135.2	1477.58	1594.73	3018.3	4543.8	2178.83	3212.66	2502.97	1498.22	1883.54	1216.75	2835.7	1397.83	2777.33	3103.19	2895.31	2645.74	2047.0	2090.03	2609.3	2104.58	2609.3	1819.35	2193.99	2758.13	3168.41	3039.3	3060.45	1745.2	2351.53	1733.13	2720.15	1697.45	1936.53	2303.12	2119.22	1883.54	1216.75	2090.03	2240.11	1359.57	1447.15	1104.13
NME3	435.55	587.13	387.02	441.64	275.28	212.78	327.56	679.29	1896.65	2255.7	2976.74	6561.36	2855.44	3372.43	1628.26	3124.78	3901.01	1540.37	4388.98	1819.35	4512.4	4010.71	4358.66	3124.78	1628.26	3168.41	2434.5	3443.31	4010.71	3349.13	4575.41	2573.36	3081.75	7433.4	1561.89	4123.49	3665.02	4038.61	3955.48	3146.52	2609.3	3716.2	5076.84	3419.52	4575.41	7280.4	1529.73	3467.27	1950.0	4836.35	3235.01	2303.12	3103.19	4769.75	3716.2	5672.41	2664.15	2935.74	5219.6	3515.68	2287.2	1923.14	1769.57	4972.34	7382.04	3690.52	7331.05	1936.53	3901.01	4419.52	1844.76	6337.83	3103.19	4575.41	3847.29	2855.44	4903.87	3820.7	5112.16	5751.61	3349.13	4066.71	6792.79	2148.82	2133.97	1977.24	2351.53	3168.41	4152.18	5147.73	2240.11	3589.58	6983.79	3955.48	5041.77	4152.18	1427.22	1340.84	1923.14	5329.3	4769.75	2720.15	6699.25	3665.02	1769.57	4038.61	1832.01	2816.11	2915.45	6079.61	2835.7	6381.92	5006.93	3820.7	2271.4	6516.03	3467.27	3491.39	4268.94	6792.79	4769.75	4181.07	7180.15	4607.24	3039.3	2271.4	3018.3	3901.01	3168.41	4123.49	2895.31	2720.15	2400.97	2032.85	3103.19	3690.52	1963.57	2104.58	1870.53
NOC4L	158.79	215.77	172.65	147.06	208.38	107.38	181.28	307.69	366.09	353.59	728.11	620.67	466.88	426.57	150.17	616.37	493.56	246.28	571.05	447.82	669.92	571.05	532.74	603.67	236.21	476.71	287.01	420.68	547.75	426.57	432.53	353.59	543.96	567.1	228.13	567.1	514.56	490.14	660.68	297.17	599.49	476.71	532.74	480.04	441.64	420.68	232.94	476.71	305.55	256.78	463.65	361.04	525.39	547.75	503.95	595.34	444.72	273.37	543.96	470.14	450.94	285.03	392.44	476.71	571.05	587.13	703.28	454.09	299.25	486.75	285.03	775.05	490.14	660.68	392.44	466.88	490.14	457.25	289.02	753.83	389.72	563.18	759.08	514.56	353.59	332.14	395.18	420.68	665.29	466.88	447.82	242.88	316.37	633.73	591.22	403.5	231.32	214.27	381.68	642.59	493.56	507.46	607.87	438.59	234.57	540.19	244.57	376.41	409.15	748.61	389.72	521.76	656.11	713.11	334.46	633.73	351.14	532.74	547.75	595.34	503.95	669.92	417.77	490.14	381.68	389.72	389.72	555.41	403.5	571.05	414.87	438.59	334.46	295.11	356.05	466.88	301.33	376.41	204.07
NOL12	285.03	194.36	123.5	180.02	145.02	139.07	226.54	327.56	384.34	444.72	616.37	708.18	518.15	521.76	400.71	511.0	612.11	305.55	555.41	343.89	915.51	660.68	518.15	532.74	283.05	403.5	444.72	480.04	638.15	500.46	607.87	466.88	595.34	796.86	403.5	660.68	642.59	591.22	713.11	476.71	540.19	665.29	595.34	441.64	536.45	603.67	323.03	559.28	251.48	638.15	629.35	454.09	493.56	728.11	708.18	575.03	373.81	450.94	555.41	536.45	376.41	389.72	457.25	447.82	830.75	848.22	748.61	361.04	490.14	708.18	336.79	669.92	642.59	591.22	591.22	423.61	559.28	507.46	633.73	759.08	559.28	638.15	684.02	466.88	490.14	444.72	470.14	371.22	638.15	525.39	283.05	753.83	532.74	753.83	525.39	543.96	336.79	368.65	423.61	698.41	642.59	514.56	878.17	620.67	414.87	642.59	341.51	420.68	343.89	723.08	412.0	884.29	684.02	775.05	397.93	791.35	540.19	579.04	511.0	703.28	708.18	651.58	718.08	769.69	454.09	466.88	490.14	559.28	616.37	438.59	426.57	409.15	406.31	400.71	563.18	500.46	417.77	348.71	346.29
NR2F6	521.76	320.8	264.03	226.54	191.67	116.78	332.14	291.04	486.75	612.11	536.45	1073.91	540.19	718.08	287.01	684.02	1030.12	476.71	872.1	571.05	967.76	612.11	961.07	587.13	371.22	848.22	497.0	733.19	1044.52	733.19	775.05	647.07	595.34	836.53	460.44	934.76	514.56	884.29	1417.35	860.08	769.69	842.36	954.43	679.29	791.35	909.17	366.09	713.11	543.96	842.36	785.88	551.56	791.35	1073.91	1096.5	1008.9	599.49	669.92	808.0	723.08	775.05	563.18	679.29	1135.2	819.3	1304.15	1340.84	599.49	808.0	974.5	490.14	1498.22	842.36	1015.93	759.08	703.28	947.83	713.11	743.43	1096.5	967.76	842.36	1015.93	728.11	902.89	540.19	575.03	583.07	819.3	981.29	497.0	759.08	1066.48	1119.56	1001.93	518.15	412.0	473.41	497.0	1199.98	954.43	595.34	1508.65	684.02	525.39	961.07	536.45	703.28	540.19	1304.15	733.19	1191.69	961.07	1119.56	638.15	928.3	825.0	836.53	848.22	915.51	1059.11	1001.93	1259.69	921.88	529.06	414.87	441.64	555.41	400.71	624.99	547.75	536.45	748.61	480.04	540.19	708.18	368.65	361.04	384.34
OXLD1	392.44	246.28	165.57	223.41	137.14	52.82	229.72	371.22	733.19	616.37	1268.46	1794.29	934.76	813.63	438.59	961.07	1259.69	551.56	1127.35	909.17	1733.13	1286.18	1023.0	1551.09	460.44	1066.48	703.28	819.3	1605.83	1073.91	1322.37	759.08	1051.79	1709.26	559.28	1191.69	961.07	1313.23	1467.37	1044.52	1143.1	1529.73	1331.57	1044.52	1119.56	1001.93	438.59	1457.23	518.15	1733.13	1104.13	921.88	1104.13	1322.37	1605.83	1508.65	1127.35	1073.91	988.12	1191.69	902.89	612.11	769.69	1216.75	1639.59	1594.73	1936.53	1059.11	802.41	1896.65	607.87	1806.78	1159.07	1437.15	1397.83	1023.0	1286.18	995.0	1674.06	1605.83	909.17	1313.23	1457.23	1199.98	718.08	607.87	1008.9	830.75	1685.71	1388.16	738.29	1081.39	1023.0	1457.23	1295.13	1151.06	397.93	412.0	624.99	1477.58	1175.27	848.22	1909.85	1225.22	595.34	1250.98	447.82	1183.45	785.88	1977.24	866.07	1662.49	1417.35	1639.59	759.08	1242.34	1259.69	1561.89	1023.0	1519.15	1769.57	1572.76	1369.04	1277.29	954.43	854.13	961.07	813.63	1111.82	1268.46	896.64	802.41	629.35	587.13	947.83	1350.18	612.11	738.29	733.19
PAM16	305.55	376.41	389.72	334.46	236.21	121.79	224.97	521.76	753.83	872.1	1073.91	1662.49	836.53	738.29	529.06	728.11	1191.69	476.71	954.43	748.61	1896.65	1250.98	1127.35	1023.0	466.88	896.64	733.19	981.29	1369.04	934.76	1457.23	656.11	1191.69	2335.28	638.15	1322.37	909.17	1369.04	1870.53	1051.79	1037.29	1111.82	1457.23	703.28	941.27	878.17	429.54	1044.52	825.0	1447.15	1023.0	988.12	909.17	1378.57	1066.48	1304.15	1242.34	769.69	819.3	1225.22	902.89	733.19	674.59	1331.57	2224.63	1721.16	1651.0	660.68	728.11	1832.01	540.19	1605.83	947.83	981.29	1073.91	796.86	1350.18	1175.27	1313.23	1540.37	802.41	1175.27	1551.09	1066.48	583.07	802.41	785.88	738.29	1540.37	1066.48	620.67	1023.0	1417.35	1183.45	1167.14	1457.23	454.09	353.59	447.82	1313.23	1313.23	878.17	2178.83	1175.27	543.96	1208.34	583.07	825.0	1111.82	1628.26	848.22	1662.49	1340.84	1350.18	642.59	1498.22	813.63	1250.98	842.36	1417.35	1191.69	1551.09	1304.15	1259.69	728.11	651.58	825.0	785.88	1008.9	1066.48	540.19	571.05	693.58	642.59	616.37	1135.2	591.22	567.1	231.32
PLAC8L1	0.0	2.86	8.25	3.41	6.89	6.46	0.0	0.0	4.94	5.32	5.73	27.44	4.24	13.12	2.46	7.51	14.89	1.97	22.59	1.97	7.11	6.01	17.0	14.45	4.94	6.78	3.41	11.73	2.36	16.88	16.88	17.64	4.74	19.53	3.0	24.46	22.1	14.03	41.22	2.41	7.0	9.48	31.22	2.03	12.0	18.03	5.06	14.89	4.78	4.7	1.91	3.79	5.92	13.62	31.45	31.45	9.41	3.44	3.35	6.06	5.54	5.02	3.86	20.86	16.27	19.97	17.13	1.95	14.35	12.74	2.89	0.0	11.73	3.47	15.8	8.38	15.91	14.14	10.79	12.83	4.31	31.22	54.33	8.65	3.99	0.0	3.35	4.43	12.09	49.91	4.74	13.32	10.96	19.97	16.15	7.34	5.19	2.46	2.89	18.43	21.01	4.35	18.7	12.74	6.89	4.06	3.5	7.34	6.11	30.56	0.0	10.08	6.41	8.85	19.11	21.16	1.97	9.63	9.48	13.03	29.91	24.63	40.07	9.06	4.9	0.0	6.16	9.56	3.17	4.31	2.53	2.32	3.86	4.86	8.38	4.1	3.29	0.0	1.79
PPCDC	265.87	231.32	191.67	231.32	236.21	301.33	204.07	279.14	356.05	450.94	438.59	728.11	480.04	323.03	470.14	529.06	395.18	244.57	595.34	551.56	753.83	591.22	518.15	507.46	325.29	595.34	384.34	470.14	529.06	450.94	529.06	423.61	490.14	642.59	318.57	775.05	620.67	718.08	612.11	656.11	470.14	665.29	638.15	595.34	480.04	567.1	348.71	392.44	327.56	688.78	432.53	624.99	486.75	688.78	540.19	629.35	444.72	483.38	599.49	529.06	511.0	397.93	599.49	397.93	928.3	638.15	579.04	417.77	473.41	703.28	486.75	785.88	543.96	547.75	476.71	438.59	633.73	551.56	660.68	540.19	575.03	563.18	587.13	409.15	275.28	329.84	665.29	500.46	679.29	447.82	389.72	607.87	299.25	759.08	616.37	540.19	395.18	412.0	358.54	674.59	679.29	414.87	830.75	567.1	339.14	507.46	305.55	514.56	466.88	775.05	473.41	551.56	603.67	830.75	376.41	638.15	511.0	497.0	435.55	693.58	486.75	503.95	616.37	511.0	493.56	486.75	633.73	551.56	769.69	591.22	493.56	406.31	409.15	417.77	599.49	532.74	490.14	450.94	356.05
PPFIA3	163.28	53.19	52.45	79.45	53.57	29.27	63.89	116.78	490.14	191.67	476.71	1183.45	532.74	400.71	265.87	547.75	896.64	178.77	759.08	353.59	1015.93	651.58	723.08	647.07	223.41	769.69	334.46	429.54	1242.34	423.61	500.46	409.15	466.88	981.29	239.52	518.15	595.34	612.11	2271.4	647.07	915.51	559.28	674.59	1277.29	738.29	366.09	221.86	842.36	228.13	647.07	571.05	299.25	529.06	1111.82	1225.22	1437.15	438.59	470.14	466.88	518.15	514.56	309.83	518.15	1008.9	476.71	1508.65	1242.34	358.54	748.61	866.07	346.29	1277.29	890.44	928.3	688.78	463.65	830.75	529.06	954.43	808.0	738.29	723.08	607.87	825.0	476.71	281.09	232.94	688.78	764.36	633.73	265.87	480.04	947.83	1143.1	1008.9	356.05	199.85	454.09	603.67	934.76	583.07	373.81	1008.9	575.03	265.87	412.0	318.57	808.0	269.6	1313.23	603.67	775.05	1001.93	1277.29	400.71	379.04	748.61	1397.83	656.11	718.08	1350.18	1066.48	1135.2	490.14	607.87	567.1	511.0	928.3	511.0	884.29	444.72	579.04	373.81	454.09	450.94	780.44	409.15	457.25	444.72
PPP1R35	193.01	228.13	116.78	135.24	172.65	99.43	173.85	180.02	387.02	500.46	543.96	796.86	493.56	525.39	438.59	563.18	559.28	320.8	738.29	373.81	941.27	595.34	928.3	624.99	260.38	684.02	470.14	656.11	669.92	669.92	909.17	612.11	651.58	1066.48	395.18	775.05	660.68	848.22	1313.23	595.34	567.1	684.02	921.88	423.61	825.0	890.44	336.79	633.73	497.0	759.08	463.65	503.95	579.04	1073.91	759.08	813.63	525.39	379.04	825.0	555.41	460.44	312.0	307.69	1151.06	1023.0	1001.93	1277.29	480.04	688.78	928.3	441.64	1088.92	743.43	713.11	688.78	583.07	830.75	656.11	866.07	1015.93	878.17	909.17	1066.48	420.68	366.09	420.68	343.89	460.44	718.08	954.43	379.04	703.28	1216.75	638.15	836.53	854.13	343.89	305.55	363.56	947.83	1037.29	579.04	954.43	813.63	366.09	808.0	305.55	660.68	688.78	1277.29	525.39	1066.48	1030.12	1044.52	336.79	1216.75	454.09	536.45	728.11	1051.79	995.0	830.75	1313.23	884.29	567.1	387.02	409.15	543.96	603.67	454.09	435.55	409.15	432.53	366.09	511.0	500.46	368.65	329.84	218.79
PSMB7	3372.43	3212.66	3372.43	2875.3	3124.78	3589.58	2133.97	2895.31	3372.43	3847.29	3515.68	5479.15	3982.99	3955.48	4181.07	3716.2	4543.8	3349.13	3901.01	4010.71	6207.38	4575.41	4095.0	4671.57	3395.89	4419.52	3257.52	3768.09	4419.52	4123.49	4769.75	3614.55	4704.07	4802.93	3639.7	5112.16	4450.27	4298.64	5831.91	3491.39	3614.55	5183.54	4736.79	4419.52	4358.66	4123.49	3060.45	4298.64	4836.35	5366.37	4095.0	3716.2	3467.27	4328.55	4481.23	4769.75	3768.09	3794.3	3280.18	3820.7	4010.71	3639.7	3794.3	5672.41	4575.41	3443.31	5329.3	3325.99	3874.05	7331.05	3395.89	4769.75	4937.99	4450.27	4095.0	4123.49	4123.49	4543.8	4972.34	4769.75	4388.98	4481.23	4607.24	4210.15	3168.41	4972.34	4010.71	4268.94	5006.93	3820.7	2956.17	4869.99	5366.37	5183.54	4152.18	4358.66	3639.7	3303.0	3146.52	5006.93	4607.24	3564.78	5555.65	4419.52	3467.27	4481.23	3235.01	3955.48	3491.39	5255.91	4123.49	4181.07	4671.57	4639.29	3847.29	5366.37	3564.78	4543.8	3955.48	4671.57	4836.35	5913.33	3690.52	4358.66	3690.52	3874.05	4152.18	4298.64	4512.4	3847.29	4123.49	3349.13	3325.99	3103.19	4704.07	4512.4	3515.68	3419.52	3515.68
PTRH1	102.97	140.04	121.79	135.24	95.34	55.1	194.36	141.02	309.83	281.09	429.54	1096.5	624.99	397.93	223.41	414.87	543.96	262.2	483.38	275.28	941.27	529.06	463.65	633.73	281.09	529.06	361.04	389.72	555.41	555.41	507.46	353.59	575.03	723.08	248.0	563.18	409.15	473.41	353.59	540.19	371.22	470.14	583.07	435.55	651.58	854.13	228.13	529.06	221.86	764.36	454.09	305.55	450.94	642.59	629.35	435.55	409.15	423.61	607.87	521.76	291.04	271.48	318.57	620.67	698.41	813.63	842.36	281.09	361.04	521.76	275.28	633.73	476.71	547.75	748.61	387.02	511.0	536.45	830.75	698.41	406.31	483.38	583.07	518.15	500.46	656.11	363.56	332.14	759.08	444.72	332.14	490.14	555.41	525.39	463.65	575.03	214.27	255.0	332.14	656.11	559.28	432.53	866.07	460.44	267.73	529.06	289.02	476.71	373.81	579.04	547.75	775.05	397.93	819.3	291.04	928.3	521.76	587.13	497.0	466.88	432.53	432.53	518.15	718.08	432.53	368.65	358.54	463.65	457.25	543.96	327.56	476.71	236.21	373.81	366.09	514.56	312.0	341.51	277.2
RAB24	299.25	435.55	244.57	392.44	318.57	454.09	163.28	543.96	764.36	866.07	1015.93	1540.37	884.29	1030.12	647.07	1008.9	1277.29	599.49	1437.15	928.3	2032.85	878.17	1044.52	1104.13	426.57	1127.35	642.59	1159.07	1208.34	995.0	1417.35	1008.9	967.76	1697.45	703.28	1051.79	1030.12	1233.75	1844.76	842.36	872.1	1674.06	1617.0	836.53	1175.27	1628.26	571.05	947.83	669.92	1963.57	791.35	1225.22	1250.98	1551.09	1242.34	1844.76	884.29	890.44	1001.93	1208.34	954.43	571.05	693.58	1605.83	1936.53	1806.78	1519.15	1037.29	1191.69	1909.85	624.99	1498.22	1208.34	1487.87	1096.5	1088.92	842.36	1477.58	1806.78	1397.83	941.27	1407.55	1551.09	941.27	563.18	813.63	848.22	872.1	1721.16	1378.57	974.5	967.76	1159.07	1832.01	1628.26	909.17	454.09	514.56	674.59	1331.57	1498.22	802.41	2004.85	1111.82	607.87	1073.91	579.04	1151.06	890.44	1923.14	866.07	1721.16	1662.49	1216.75	679.29	1225.22	884.29	1159.07	1304.15	1378.57	1397.83	1909.85	1757.34	1437.15	995.0	684.02	819.3	947.83	860.08	941.27	808.0	890.44	733.19	688.78	1295.13	921.88	769.69	642.59	607.87
RALY	3168.41	2018.8	1639.59	1950.0	1572.76	2224.63	1709.26	3235.01	2451.44	2451.44	2645.74	3372.43	2758.13	3039.3	2075.59	3060.45	2573.36	2240.11	2855.44	2485.67	3467.27	3443.31	3372.43	3146.52	2004.85	3039.3	2627.46	2777.33	3280.18	2915.45	3124.78	2609.3	3349.13	3060.45	2335.28	3372.43	2855.44	2895.31	3794.3	3564.78	3212.66	3124.78	3372.43	3443.31	2997.45	3060.45	2163.77	2976.74	2335.28	3280.18	3349.13	2816.11	2915.45	3060.45	3168.41	2573.36	2485.67	3280.18	3190.46	2796.65	2163.77	2319.15	2682.69	3372.43	4543.8	3081.75	3742.05	2555.58	2739.08	3395.89	2303.12	3103.19	3060.45	3235.01	2739.08	2915.45	2609.3	2895.31	3303.0	3742.05	2997.45	3212.66	3874.05	2997.45	2701.35	2303.12	3325.99	3168.41	3190.46	2935.74	2163.77	3103.19	3303.0	3146.52	3103.19	2520.38	2468.49	1963.57	2133.97	3564.78	3395.89	2758.13	3874.05	3018.3	2351.53	3190.46	2664.15	2682.69	2758.13	3467.27	3955.48	3794.3	3665.02	3039.3	2400.97	3060.45	2855.44	3614.55	2956.17	3639.7	3820.7	3564.78	3982.99	2573.36	2485.67	2935.74	2976.74	3235.01	3168.41	2997.45	3395.89	2627.46	2537.92	2796.65	3280.18	3168.41	2777.33	3257.52	2701.35
