	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111CU.0326.SM.5GZXO
PXMP2	1313.23	7382.04	6337.83	3372.43	4123.49	2573.36	2537.92	2384.37	2609.3	2835.7	3168.41	3081.75	2303.12	4543.8	2627.46	5041.77	1242.34	1023.0	4736.79	1001.93	1331.57	4639.29	4481.23	4972.34	8658.09	5255.91	13215.02	15075.35	16045.82	13492.72	6745.86	10154.69	6652.97	8778.97	7280.4	9808.75	22692.63	6983.79	11909.94	10883.59	17681.08	17317.18	7433.4	14065.74	14867.79	21026.65	15392.14	10154.69	14461.21	7485.11	8078.22	11827.67	8363.13	8421.31	8022.41	7433.4	8778.97	12589.08	0.0	293.07	0.06	277.2
QDPR	1674.06	5076.84	4543.8	3419.52	3103.19	2163.77	1331.57	1662.49	5041.77	1242.34	1844.76	3443.31	2935.74	4607.24	2468.49	2178.83	2645.74	1088.92	6294.04	575.03	1225.22	4358.66	3395.89	3212.66	5913.33	3982.99	4639.29	7642.41	6164.49	6983.79	6164.49	5441.3	4066.71	10512.82	5292.48	6607.01	8421.31	9151.82	8479.89	6079.61	8778.97	7589.61	7032.37	8305.36	10883.59	9474.59	6792.79	8247.98	7537.18	5517.27	4903.87	8538.88	7032.37	5555.65	5441.3	7966.99	9215.48	7433.4	0.0	1023.0	0.2	441.64
RBP5	2133.97	12076.21	8479.89	3060.45	3190.46	1709.26	1628.26	2004.85	1250.98	1143.1	713.11	3443.31	2555.58	7081.29	1651.0	13033.07	1295.13	316.37	9474.59	2133.97	830.75	10296.45	5872.48	6745.86	9876.98	7081.29	8134.41	18560.17	14663.09	21468.49	13968.57	24490.61	6079.61	15180.22	5711.87	33455.53	65535.0	24490.61	22535.88	20593.91	19618.49	12160.22	15285.81	21026.65	25530.66	19892.37	22692.63	28328.16	50011.46	36864.92	6887.62	18819.27	7485.11	15715.58	18950.18	10084.54	25887.07	29531.18	0.0	392.44	0.27	191.67
RDH5	753.83	2739.08	2485.67	2645.74	1350.18	194.36	665.29	111.99	241.19	511.0	351.14	536.45	2287.2	2351.53	1832.01	759.08	212.78	327.56	1508.65	612.11	214.27	1819.35	1417.35	2367.9	1991.0	3257.52	3491.39	3589.58	1709.26	3081.75	3443.31	2915.45	3103.19	3515.68	1286.18	3467.27	6294.04	4607.24	1651.0	5006.93	5076.84	2796.65	7433.4	5995.9	3060.45	2351.53	3614.55	4210.15	7180.15	9474.59	3349.13	4769.75	3742.05	4239.45	3716.2	1733.13	6652.97	4543.8	0.0	141.02	0.66	28.65
REEP6	4152.18	9279.58	12943.04	1096.5	12244.81	7433.4	9673.69	5219.6	2434.5	3955.48	4298.64	6294.04	162.14	5006.93	6607.01	8778.97	1617.0	3395.89	9025.81	7589.61	2061.24	15607.02	5441.3	9540.5	9409.14	10440.2	20451.65	15499.21	28328.16	43236.64	23169.48	29943.43	20030.74	14361.31	8901.53	18431.96	28923.41	29531.18	25005.23	12329.98	31650.8	52863.07	39785.74	32315.87	13123.73	41188.81	20030.74	9540.5	30361.44	20030.74	12076.21	25179.16	12076.21	16727.26	24660.96	7081.29	7230.1	12502.12	0.0	108.14	0.25	35.5
RP11-863K10.7	5.5	40.07	23.93	53.57	21.16	2.23	0.88	0.52	8.32	3.35	4.94	1.81	3.76	27.84	11.21	7.34	2.51	0.0	11.38	2.68	1.3	35.76	26.1	16.88	48.18	26.67	130.6	45.53	20.26	94.67	44.57	75.11	40.07	46.5	55.49	82.29	48.18	48.87	37.85	38.12	23.42	79.45	57.89	92.7	97.36	51.35	68.07	80.57	118.43	144.01	28.24	41.22	48.87	49.91	22.75	14.56	58.71	77.25	0.0	5.92	0.0	3.53
SCP2	6079.61	10296.45	9279.58	17437.64	9606.86	5329.3	5672.41	5041.77	2319.15	3614.55	5791.62	11035.54	7803.01	10225.32	6652.97	11345.82	3190.46	3018.3	9540.5	8840.04	3690.52	12943.04	7749.1	6887.62	13776.25	12853.63	14867.79	16496.96	21617.82	19618.49	18178.19	25005.23	20881.4	33922.56	17927.91	20170.07	18560.17	25179.16	21768.19	16045.82	13123.73	16727.26	20170.07	18560.17	18560.17	9876.98	19482.97	25887.07	14561.8	17927.91	12853.63	11909.94	8191.0	20170.07	20593.91	11189.6	20030.74	29124.6	0.0	2591.27	0.57	2701.35
SFXN5	258.57	866.07	1015.93	575.03	395.18	371.22	454.09	616.37	587.13	579.04	551.56	595.34	624.99	435.55	536.45	890.44	642.59	947.83	638.15	283.05	275.28	819.3	679.29	775.05	842.36	878.17	1175.27	1437.15	1427.22	2664.15	1583.71	1963.57	961.07	1540.37	878.17	1685.71	1447.15	1437.15	1008.9	1427.22	1639.59	1498.22	1561.89	1457.23	1674.06	1051.79	2061.24	2104.58	1233.75	2319.15	624.99	1225.22	743.43	1594.73	1277.29	363.56	1268.46	2502.97	0.0	221.86	0.57	131.51
SLC10A1	738.29	6037.61	3820.7	2271.4	2935.74	988.12	232.94	123.5	12.18	64.8	674.59	1896.65	1001.93	2835.7	176.29	5147.73	1.06	8.0	2104.58	17.51	329.84	4802.93	3589.58	3665.02	5112.16	4607.24	19482.97	41475.31	23009.42	12589.08	11909.94	12329.98	8022.41	15285.81	4937.99	25708.25	47974.16	9279.58	17197.56	13872.08	47642.77	17804.06	15824.9	16960.78	23820.89	31432.17	28723.62	18950.18	38430.46	18304.63	3874.05	17197.56	15499.21	23009.42	38164.99	8718.32	15934.98	25005.23	0.0	0.73	0.0	1.07
SLC27A5	4575.41	32315.87	31650.8	32994.92	22850.48	5076.84	2997.45	1923.14	2104.58	775.05	2004.85	14361.31	6337.83	38164.99	5517.27	14163.58	2090.03	460.44	22072.07	1268.46	3982.99	28723.62	23820.89	31650.8	22535.88	22535.88	65535.0	109455.64	54727.32	82951.62	61999.83	80683.28	16611.71	73221.53	38966.94	107203.06	217400.14	114103.8	59063.35	172949.54	93325.55	79022.82	57051.4	177811.84	92680.9	143430.26	100719.65	94628.34	126606.21	119776.72	27363.16	102836.01	65082.31	46339.95	95949.32	53601.03	115696.65	95949.32	0.0	166.73	0.52	140.04
SLC46A3	260.38	1066.48	1225.22	813.63	1015.93	432.53	389.72	88.26	45.21	150.17	251.48	387.02	33.54	1030.12	29.91	536.45	68.07	450.94	493.56	208.38	88.88	1119.56	1001.93	825.0	967.76	1508.65	947.83	3540.14	1225.22	1769.57	5633.22	1844.76	2061.24	9279.58	967.76	2915.45	2400.97	3212.66	3124.78	2075.59	878.17	718.08	6164.49	3081.75	2739.08	934.76	1909.85	6745.86	1697.45	1991.0	743.43	1617.0	813.63	6121.9	1437.15	518.15	4268.94	6607.01	0.0	358.54	0.47	81.14
SLC9A3R2	3639.7	9344.14	10084.54	5292.48	5872.48	6561.36	7130.55	7382.04	3060.45	7537.18	3794.3	4769.75	4388.98	7180.15	9409.14	8479.89	3491.39	1617.0	10154.69	3794.3	5594.3	10659.59	6840.04	9474.59	7537.18	8022.41	13586.57	17804.06	11267.44	30361.44	13399.51	15075.35	8718.32	8022.41	8963.45	16727.26	21172.91	14765.09	10883.59	18819.27	11112.3	18052.61	19754.96	14867.79	11424.74	10512.82	29531.18	17927.91	19618.49	18819.27	11584.24	12943.04	6652.97	9279.58	19892.37	5672.41	9025.81	13968.57	1529.73	3419.52	1183.45	3639.7
SMIM14	961.07	3794.3	2240.11	1225.22	1508.65	1651.0	1295.13	796.86	713.11	563.18	1721.16	1001.93	612.11	1936.53	743.43	2163.77	1208.34	684.02	1457.23	1322.37	466.88	2351.53	2855.44	2400.97	4095.0	2645.74	3874.05	2400.97	3372.43	1685.71	3874.05	2417.67	2104.58	6840.04	2591.27	2835.7	2875.3	5441.3	4903.87	1870.53	3982.99	3742.05	7485.11	3372.43	3372.43	2537.92	2835.7	7433.4	2400.97	3349.13	3742.05	3372.43	2032.85	4543.8	4543.8	1277.29	4010.71	7280.4	1250.98	616.37	521.76	172.65
SMIM19	1104.13	3491.39	2163.77	2148.82	2224.63	974.5	429.54	2032.85	1233.75	947.83	947.83	412.0	2739.08	2935.74	1936.53	2271.4	733.19	599.49	3768.09	2193.99	341.51	2609.3	2303.12	3146.52	2855.44	2400.97	3124.78	4298.64	3589.58	3491.39	2485.67	3146.52	2835.7	2976.74	3419.52	3515.68	4152.18	2875.3	3395.89	2090.03	6079.61	3690.52	3820.7	3847.29	4298.64	4038.61	3280.18	3742.05	4123.49	3589.58	3742.05	3190.46	2240.11	3614.55	4358.66	1322.37	2163.77	5711.87	0.0	1088.92	0.51	518.15
SPTBN2	521.76	1447.15	878.17	84.63	395.18	633.73	748.61	142.01	130.6	22.59	633.73	105.89	234.57	214.27	8.38	915.51	287.01	80.57	260.38	153.34	532.74	1008.9	518.15	785.88	1059.11	575.03	3212.66	1551.09	2148.82	2148.82	703.28	2855.44	854.13	1639.59	301.33	2875.3	2367.9	547.75	329.84	2148.82	1427.22	1697.45	3928.15	1467.37	1909.85	2209.26	967.76	1697.45	854.13	5219.6	547.75	2148.82	1397.83	1583.71	785.88	1286.18	1583.71	928.3	0.0	58.3	0.09	54.72
SULT1A2	497.0	1151.06	1059.11	19.53	591.22	748.61	493.56	125.24	279.14	63.89	389.72	303.44	33.06	33.06	14.24	297.17	90.14	46.18	656.11	167.9	269.6	1437.15	497.0	1369.04	1561.89	961.07	2417.67	2915.45	3039.3	2163.77	1225.22	3103.19	2573.36	4481.23	1617.0	4210.15	6337.83	1991.0	2163.77	3103.19	3955.48	2645.74	5006.93	3018.3	4388.98	5517.27	2645.74	3018.3	3325.99	4450.27	656.11	3690.52	2758.13	1417.35	3325.99	1950.0	2573.36	2148.82	0.0	239.52	0.27	80.01
TMEM56	208.38	1651.0	825.0	947.83	514.56	269.6	204.07	202.66	307.69	633.73	305.55	575.03	599.49	591.22	384.34	878.17	417.77	128.79	460.44	376.41	334.46	934.76	890.44	872.1	1883.54	1001.93	2739.08	1151.06	1407.55	1001.93	1769.57	1191.69	1628.26	2520.38	629.35	2835.7	2047.0	2090.03	1467.37	1199.98	1628.26	1936.53	1519.15	1331.57	3235.01	961.07	1437.15	1709.26	2133.97	1151.06	1519.15	1015.93	688.78	1662.49	1781.89	503.95	2018.8	4038.61	0.0	51.71	0.09	24.63
TPPP2	53.57	246.28	215.77	112.77	43.32	5.5	38.12	6.67	8.65	11.13	8.06	17.9	29.06	56.28	1.31	71.5	48.52	5.68	122.64	44.25	14.14	262.2	169.07	70.51	167.9	214.27	303.44	753.83	368.65	733.19	248.0	1233.75	305.55	543.96	265.87	2451.44	2148.82	684.02	356.05	1519.15	271.48	234.57	218.79	961.07	961.07	447.82	866.07	1883.54	769.69	928.3	234.57	525.39	332.14	532.74	348.71	129.69	848.22	909.17	0.0	4.28	0.0	1.45
TTC36	507.46	4869.99	4607.24	620.67	1745.2	9.63	1.22	24.28	12.18	7.51	12.36	45.85	212.78	679.29	64.8	1388.16	8.25	2.71	320.8	7.22	95.34	4181.07	1819.35	2573.36	3690.52	2133.97	19892.37	14163.58	9876.98	36106.23	8658.09	6294.04	4769.75	9945.68	10733.74	30572.63	34876.28	23986.58	22072.07	29736.59	18178.19	21172.91	8363.13	34876.28	30361.44	36864.92	28328.16	24153.43	32315.87	50359.33	3540.14	22692.63	26986.43	5872.48	10733.74	22380.2	24490.61	13968.57	0.0	3.99	0.0	2.97
UGT2B7	2133.97	12160.22	13399.51	6471.02	7749.1	1844.76	1059.11	612.11	387.02	223.41	3039.3	3589.58	1369.04	12415.75	995.0	5831.91	323.03	204.07	6037.61	5954.47	656.11	9945.68	7857.29	6561.36	13776.25	16045.82	13492.72	65082.31	12244.81	13033.07	18819.27	27745.15	27938.14	51062.33	30785.28	18689.27	100023.92	19618.49	62431.08	33455.53	72715.74	36610.26	92680.9	27745.15	19482.97	89523.81	30785.28	52135.28	34158.52	30999.42	9151.82	77934.88	46986.85	96616.71	25005.23	20451.65	66912.05	60723.88	0.0	14.78	0.0	1.38
UPB1	1096.5	5479.15	4450.27	3614.55	2739.08	1001.93	1457.23	5183.54	13.52	2209.26	1832.01	1331.57	2417.67	4869.99	6699.25	2796.65	1487.87	1950.0	6426.31	1378.57	400.71	4419.52	3190.46	4639.29	4769.75	4903.87	7537.18	20451.65	38966.94	45386.27	35609.13	47313.67	23820.89	10368.08	30999.42	32540.65	39510.91	17078.76	8718.32	59063.35	32315.87	27363.16	4388.98	40341.14	17681.08	32092.64	82378.63	18819.27	18560.17	63302.6	4268.94	17804.06	12244.81	13306.94	54349.29	3515.68	17681.08	33688.23	0.0	19.97	0.28	2.81
