	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
MAPK8IP3	341.51	624.99	723.08	178.77	595.34	616.37	214.27	373.81	1259.69	170.25	872.1	1286.18	156.59	429.54	1225.22	1191.69	239.52	395.18	426.57	260.38	104.42	135.24	102.97	1331.57	406.31	231.32	612.11	547.75	223.41	866.07	764.36	363.56	389.72	285.03	150.17	224.97	327.56	348.71	435.55	624.99	1477.58	669.92	967.76	961.07	1674.06	620.67	921.88	967.76	2209.26	195.72	830.75	503.95	332.14	249.73	348.71	253.23	1023.0	211.31	323.03	150.17	269.6	249.73	420.68	271.48	237.86	4836.35	525.39	2367.9	1111.82	1617.0	2104.58	1963.57	575.03	934.76	1313.23	780.44	813.63	529.06	947.83	1572.76	612.11	1233.75	1135.2
METTL17	629.35	723.08	896.64	403.5	825.0	1066.48	616.37	728.11	1286.18	409.15	1143.1	733.19	438.59	532.74	1519.15	1127.35	454.09	507.46	603.67	441.64	642.59	529.06	447.82	1313.23	525.39	698.41	961.07	860.08	629.35	1388.16	1208.34	579.04	540.19	624.99	551.56	620.67	693.58	1151.06	651.58	1104.13	1313.23	967.76	1617.0	1322.37	1487.87	967.76	738.29	1447.15	2701.35	392.44	536.45	587.13	414.87	395.18	387.02	575.03	1369.04	218.79	934.76	603.67	500.46	536.45	567.1	334.46	500.46	2090.03	583.07	2090.03	1407.55	2209.26	2400.97	1467.37	753.83	921.88	1397.83	813.63	988.12	633.73	808.0	813.63	884.29	1519.15	2090.03
METTL3	450.94	409.15	679.29	387.02	780.44	836.53	392.44	633.73	753.83	358.54	759.08	599.49	426.57	607.87	860.08	967.76	397.93	503.95	423.61	420.68	660.68	567.1	368.65	1001.93	432.53	371.22	616.37	665.29	490.14	866.07	693.58	579.04	438.59	638.15	486.75	435.55	591.22	848.22	536.45	595.34	967.76	753.83	909.17	723.08	974.5	656.11	441.64	1104.13	1023.0	195.72	312.0	435.55	249.73	389.72	368.65	358.54	603.67	189.02	656.11	397.93	414.87	379.04	384.34	307.69	299.25	1127.35	532.74	1015.93	587.13	1119.56	1059.11	1051.79	595.34	536.45	872.1	679.29	769.69	521.76	723.08	748.61	748.61	1096.5	819.3
MIB2	642.59	723.08	669.92	463.65	688.78	791.35	194.36	414.87	1216.75	142.01	974.5	414.87	264.03	353.59	1350.18	967.76	83.45	175.07	457.25	211.31	223.41	223.41	95.34	830.75	193.01	265.87	343.89	429.54	132.44	1119.56	708.18	244.57	323.03	258.57	166.73	122.64	169.07	775.05	1359.57	1508.65	1216.75	713.11	780.44	1015.93	1457.23	607.87	1088.92	884.29	2271.4	1037.29	848.22	1529.73	1561.89	764.36	395.18	343.89	3614.55	848.22	486.75	633.73	567.1	490.14	748.61	571.05	432.53	941.27	426.57	884.29	633.73	1427.22	1639.59	1397.83	420.68	1088.92	878.17	1857.6	633.73	928.3	1183.45	1477.58	872.1	1268.46	624.99
MICALL2	684.02	785.88	1583.71	291.04	497.0	620.67	473.41	483.38	1242.34	158.79	1127.35	543.96	429.54	368.65	1540.37	974.5	267.73	371.22	463.65	197.09	291.04	332.14	249.73	1015.93	674.59	463.65	397.93	1119.56	275.28	1175.27	1059.11	327.56	228.13	291.04	262.2	151.22	265.87	403.5	1359.57	1143.1	2976.74	1037.29	2090.03	2271.4	1832.01	620.67	1519.15	878.17	2591.27	318.57	368.65	995.0	312.0	208.38	466.88	616.37	1519.15	236.21	599.49	532.74	656.11	441.64	733.19	387.02	450.94	2555.58	457.25	3901.01	1883.54	2664.15	3690.52	2367.9	941.27	2758.13	1844.76	1167.14	669.92	525.39	1350.18	1769.57	902.89	1277.29	848.22
MROH7	10.88	45.53	14.56	43.32	12.83	17.25	8.51	5.63	17.38	4.17	13.03	10.47	3.11	3.03	14.45	44.89	2.01	1.23	4.58	1.36	3.41	4.39	1.25	10.08	2.05	4.82	26.47	8.19	5.68	34.51	17.13	15.22	15.0	7.82	1.53	3.92	3.32	11.64	18.03	27.05	129.69	8.45	78.34	55.1	60.39	15.68	12.74	75.64	55.1	1.79	20.56	2.34	0.83	2.53	3.89	5.19	24.99	3.41	7.88	6.73	3.08	20.71	23.25	0.0	6.01	52.08	10.39	62.12	46.5	45.85	31.22	42.71	15.22	59.13	50.27	16.03	40.07	12.18	24.63	46.18	32.82	156.59	46.18
MROH7-TTC4	1.95	6.41	3.66	5.73	6.06	2.12	3.63	0.0	3.44	1.36	3.63	0.75	0.39	0.38	3.53	11.21	0.0	1.55	3.69	0.87	0.67	1.97	0.4	4.7	1.58	0.0	8.99	2.86	0.41	3.32	4.78	1.66	0.44	1.17	1.1	0.0	0.82	3.66	5.96	5.77	10.55	4.78	21.01	15.22	12.18	5.5	1.99	24.81	10.0	3.06	7.22	1.01	0.55	1.57	1.03	4.86	4.66	2.81	3.03	3.92	2.53	1.87	4.5	3.0	1.14	10.0	2.36	9.06	3.89	6.36	7.82	12.18	3.79	6.52	15.0	4.7	7.82	5.87	1.89	4.9	4.35	22.75	4.58
MSH5	100.13	122.64	120.94	66.18	97.36	249.73	102.25	74.58	283.05	77.25	166.73	89.51	91.41	105.89	277.2	253.23	74.58	61.25	135.24	55.1	85.22	60.82	40.64	624.99	111.99	88.88	137.14	80.01	77.79	256.78	249.73	112.77	57.08	74.58	108.9	63.45	92.7	267.73	63.0	186.4	389.72	186.4	825.0	182.55	1051.79	248.0	124.37	529.06	723.08	49.91	29.91	67.12	110.43	34.75	50.63	41.22	215.77	28.24	108.9	55.1	53.19	81.14	76.71	32.13	100.13	1175.27	251.48	493.56	271.48	599.49	629.35	318.57	124.37	189.02	447.82	307.69	343.89	121.79	387.02	423.61	75.64	190.34	236.21
MSH5-SAPCD1	25.72	47.5	63.0	10.63	12.45	90.77	33.3	12.83	44.57	19.97	52.82	4.78	15.91	15.8	66.65	87.03	0.0	6.46	11.13	3.69	49.21	8.65	17.25	97.36	34.75	5.06	25.17	33.78	23.25	94.01	63.45	45.53	21.94	23.42	13.83	15.8	27.64	97.36	20.41	85.82	115.16	14.56	108.14	34.02	209.84	68.07	20.11	108.14	153.34	16.03	10.47	10.96	6.89	4.24	14.78	6.52	79.45	13.93	33.78	35.25	23.93	29.7	9.7	2.29	10.55	318.57	44.89	138.1	97.36	215.77	195.72	63.0	11.47	23.93	265.87	50.98	31.45	7.69	116.78	73.03	104.42	74.58	106.63
MUS81	660.68	780.44	872.1	775.05	830.75	860.08	525.39	684.02	1199.98	525.39	1151.06	693.58	633.73	748.61	1044.52	1073.91	450.94	525.39	525.39	438.59	395.18	403.5	363.56	1159.07	493.56	633.73	656.11	848.22	571.05	1143.1	819.3	647.07	603.67	486.75	267.73	607.87	642.59	665.29	753.83	848.22	1286.18	808.0	1088.92	988.12	1001.93	688.78	802.41	896.64	2400.97	470.14	579.04	507.46	373.81	373.81	476.71	854.13	848.22	536.45	723.08	551.56	454.09	563.18	567.1	341.51	403.5	1277.29	1037.29	1096.5	1044.52	2047.0	1066.48	1051.79	555.41	764.36	1001.93	896.64	1096.5	842.36	808.0	698.41	1030.12	1127.35	1407.55
MUTYH	239.52	229.72	454.09	181.28	327.56	642.59	236.21	155.5	348.71	177.53	450.94	348.71	171.45	223.41	397.93	460.44	163.28	163.28	182.55	146.03	122.64	267.73	209.84	507.46	255.0	111.99	264.03	265.87	214.27	438.59	353.59	267.73	215.77	231.32	130.6	154.42	211.31	231.32	463.65	559.28	500.46	226.54	579.04	486.75	728.11	305.55	267.73	620.67	660.68	217.27	211.31	189.02	231.32	120.1	202.66	111.21	423.61	316.37	332.14	143.01	166.73	253.23	277.2	127.89	187.71	656.11	253.23	607.87	412.0	567.1	1175.27	368.65	246.28	316.37	480.04	981.29	435.55	265.87	346.29	262.2	406.31	438.59	583.07
MXD3	165.57	211.31	209.84	575.03	140.04	287.01	96.68	98.04	543.96	33.54	612.11	63.0	299.25	165.57	397.93	299.25	244.57	90.14	241.19	96.68	90.14	37.32	46.5	273.37	236.21	169.07	75.64	205.5	88.88	521.76	854.13	141.02	74.06	114.36	99.43	32.13	77.79	226.54	61.68	647.07	329.84	493.56	285.03	197.09	341.51	199.85	220.32	249.73	693.58	55.1	132.44	78.89	84.04	88.88	183.82	100.83	224.97	199.85	206.94	109.66	172.65	78.89	142.01	98.04	136.19	384.34	157.68	423.61	305.55	490.14	642.59	283.05	111.99	239.52	392.44	329.84	120.94	181.28	297.17	301.33	202.66	180.02	444.72
MZF1	134.3	229.72	269.6	130.6	490.14	389.72	164.42	220.32	693.58	64.34	567.1	961.07	146.03	171.45	723.08	563.18	100.13	264.03	336.79	151.22	256.78	133.36	108.9	591.22	260.38	226.54	271.48	197.09	94.01	764.36	373.81	201.25	256.78	166.73	125.24	148.09	150.17	332.14	444.72	426.57	624.99	387.02	473.41	341.51	575.03	299.25	248.0	559.28	607.87	115.97	110.43	55.1	55.89	63.89	67.59	87.03	215.77	131.51	138.1	122.64	106.63	143.01	134.3	107.38	126.12	872.1	165.57	497.0	346.29	559.28	567.1	629.35	169.07	371.22	551.56	242.88	229.72	409.15	665.29	669.92	466.88	603.67	579.04
NAA40	94.01	195.72	249.73	143.01	291.04	373.81	159.9	182.55	336.79	193.01	246.28	432.53	143.01	312.0	493.56	387.02	133.36	182.55	215.77	208.38	221.86	164.42	157.68	400.71	218.79	277.2	327.56	271.48	124.37	420.68	397.93	256.78	211.31	305.55	195.72	265.87	237.86	366.09	176.29	429.54	211.31	273.37	255.0	264.03	406.31	234.57	237.86	249.73	353.59	102.97	182.55	169.07	157.68	60.39	193.01	281.09	371.22	96.68	753.83	202.66	133.36	231.32	202.66	150.17	165.57	341.51	237.86	444.72	299.25	521.76	476.71	293.07	291.04	305.55	466.88	947.83	260.38	237.86	417.77	316.37	231.32	316.37	414.87
NEURL4	211.31	237.86	260.38	206.94	269.6	312.0	143.01	291.04	368.65	111.99	379.04	305.55	145.02	169.07	441.64	503.95	154.42	241.19	307.69	145.02	169.07	181.28	155.5	669.92	218.79	140.04	269.6	305.55	156.59	409.15	327.56	162.14	279.14	189.02	102.97	153.34	248.0	255.0	295.11	423.61	603.67	400.71	514.56	450.94	595.34	368.65	231.32	525.39	638.15	96.68	150.17	127.0	99.43	76.17	181.28	158.79	426.57	220.32	232.94	264.03	151.22	246.28	289.02	107.38	241.19	651.58	277.2	397.93	366.09	521.76	713.11	466.88	323.03	363.56	540.19	236.21	291.04	264.03	414.87	441.64	420.68	457.25	368.65
NFKBID	246.28	60.82	111.21	32.13	92.05	258.57	50.63	67.59	217.27	34.51	208.38	85.82	46.18	74.06	381.68	579.04	28.65	72.52	130.6	25.17	50.98	56.68	23.25	341.51	50.98	68.55	143.01	112.77	71.0	163.28	190.34	48.52	61.68	60.82	30.78	50.27	97.36	80.57	121.79	135.24	323.03	191.67	246.28	273.37	395.18	206.94	98.73	146.03	579.04	75.11	52.08	100.83	20.11	159.9	154.42	42.11	141.02	47.84	91.41	34.26	62.12	128.79	165.57	72.52	112.77	583.07	128.79	387.02	169.07	417.77	400.71	764.36	156.59	221.86	397.93	206.94	105.15	187.71	206.94	379.04	190.34	301.33	629.35
NKTR	172.65	379.04	327.56	195.72	616.37	567.1	332.14	361.04	896.64	299.25	420.68	414.87	193.01	435.55	1467.37	1008.9	277.2	327.56	232.94	307.69	167.9	253.23	206.94	890.44	314.17	314.17	466.88	368.65	260.38	612.11	361.04	371.22	575.03	287.01	104.42	256.78	371.22	684.02	327.56	429.54	961.07	780.44	836.53	802.41	1066.48	571.05	316.37	780.44	1378.57	120.94	101.54	107.38	60.39	61.25	144.01	111.99	334.46	108.9	194.36	162.14	91.41	148.09	301.33	94.01	165.57	1313.23	368.65	974.5	511.0	848.22	995.0	1015.93	450.94	500.46	890.44	521.76	624.99	470.14	1191.69	1175.27	457.25	872.1	660.68
NPIPB11	4.74	13.72	22.59	6.21	24.28	21.32	10.24	13.52	28.45	12.0	30.56	15.68	3.35	6.31	31.22	40.07	18.97	10.16	17.25	3.29	3.99	8.78	17.64	31.0	12.09	9.27	40.93	14.56	15.56	22.1	24.99	16.88	20.26	9.13	4.7	7.4	14.89	69.03	19.11	7.0	76.71	22.43	31.45	43.02	52.45	25.17	11.13	36.79	176.29	9.41	4.78	7.57	8.58	2.32	6.36	3.92	16.88	15.45	9.34	4.28	6.84	12.83	21.78	2.84	8.65	161.02	19.25	43.32	23.08	64.34	60.82	162.14	29.27	28.45	49.56	28.45	24.28	39.79	57.89	51.71	8.25	44.25	72.52
NXF1	2400.97	1250.98	1605.83	967.76	1745.2	2351.53	1498.22	1457.23	2255.7	1397.83	2287.2	1369.04	1268.46	1359.57	2451.44	2255.7	848.22	1073.91	1030.12	1051.79	1487.87	1111.82	878.17	1605.83	981.29	890.44	1295.13	1685.71	1167.14	2032.85	1819.35	1350.18	1104.13	1697.45	607.87	825.0	1697.45	1447.15	2133.97	1733.13	2451.44	1896.65	1923.14	1844.76	2384.37	2351.53	1340.84	2319.15	2384.37	769.69	878.17	902.89	656.11	703.28	934.76	743.43	1628.26	616.37	1519.15	1268.46	854.13	1225.22	1233.75	688.78	860.08	2240.11	1350.18	2090.03	1617.0	2591.27	2468.49	3018.3	1519.15	1487.87	2335.28	1628.26	1896.65	1216.75	1540.37	1733.13	3419.52	2075.59	1870.53
OTUD3	37.59	44.89	47.17	98.73	97.36	124.37	75.64	64.34	109.66	91.41	58.3	141.02	28.86	48.87	120.1	132.44	15.22	53.19	31.9	36.79	22.59	40.07	37.59	99.43	40.36	44.89	74.06	37.05	28.24	133.36	68.55	56.68	113.56	51.35	40.07	65.72	35.5	112.77	50.27	102.97	117.6	126.12	114.36	123.5	255.0	109.66	44.25	111.21	151.22	43.32	39.79	63.45	25.17	26.67	35.25	15.56	105.89	19.97	46.84	49.56	38.4	28.45	91.41	15.91	70.01	190.34	126.12	124.37	83.45	145.02	277.2	212.78	69.52	105.15	82.87	105.89	104.42	69.52	106.63	118.43	74.58	108.14	115.16
PABPC1L	187.71	532.74	612.11	29.27	713.11	802.41	191.67	241.19	1023.0	67.12	412.0	567.1	166.73	281.09	775.05	902.89	109.66	312.0	320.8	77.79	71.5	67.59	112.77	1427.22	297.17	103.69	575.03	164.42	142.01	532.74	206.94	616.37	242.88	262.2	105.15	186.4	187.71	551.56	115.97	353.59	1447.15	301.33	595.34	361.04	1883.54	429.54	253.23	624.99	1991.0	39.5	41.22	31.0	66.65	16.39	48.87	56.28	447.82	50.27	204.07	56.68	29.27	134.3	212.78	28.04	69.03	1277.29	571.05	1794.29	713.11	2148.82	5995.9	1143.1	303.44	647.07	878.17	480.04	674.59	312.0	708.18	813.63	503.95	595.34	1417.35
PBX2	780.44	1295.13	921.88	1066.48	1233.75	1135.2	743.43	1081.39	1457.23	890.44	981.29	981.29	733.19	693.58	1397.83	1167.14	514.56	866.07	813.63	947.83	599.49	884.29	848.22	2061.24	1304.15	981.29	961.07	1088.92	743.43	1191.69	1242.34	718.08	872.1	928.3	591.22	723.08	1081.39	1183.45	1208.34	1268.46	1322.37	1508.65	1388.16	1183.45	1757.34	1721.16	1008.9	1015.93	1378.57	791.35	587.13	642.59	486.75	454.09	656.11	503.95	1250.98	759.08	698.41	1015.93	490.14	909.17	688.78	583.07	1008.9	2417.67	1313.23	1540.37	1286.18	1277.29	2468.49	1519.15	1208.34	1066.48	1519.15	1199.98	1407.55	1191.69	890.44	974.5	1977.24	1819.35	1769.57
PBX4	55.89	94.67	149.12	5.32	49.56	111.21	29.91	30.12	111.21	48.52	166.73	55.49	17.9	44.57	82.87	133.36	30.56	20.86	53.57	17.9	43.32	8.45	3.5	129.69	26.28	13.52	33.78	40.93	42.71	94.67	83.45	46.84	37.05	19.53	13.42	13.03	68.07	23.93	23.08	57.49	339.14	19.97	348.71	291.04	329.84	232.94	182.55	88.26	361.04	32.36	35.25	39.79	27.44	37.05	27.84	12.09	80.01	13.93	109.66	19.82	30.56	52.45	80.57	14.89	21.94	199.85	45.53	251.48	279.14	285.03	414.87	264.03	50.27	63.45	221.86	108.14	185.11	64.8	93.35	161.02	120.94	305.55	164.42
PIDD	105.15	241.19	277.2	180.02	332.14	444.72	94.67	121.79	579.04	61.25	555.41	127.89	151.22	267.73	616.37	575.03	111.21	89.51	226.54	77.25	121.79	108.14	58.3	423.61	220.32	228.13	186.4	152.28	57.08	476.71	271.48	139.07	155.5	91.41	152.28	37.32	93.35	214.27	155.5	429.54	599.49	239.52	341.51	211.31	327.56	232.94	175.07	332.14	480.04	93.35	149.12	71.5	129.69	64.34	114.36	74.58	163.28	170.25	190.34	90.77	107.38	167.9	121.79	68.55	106.63	563.18	163.28	642.59	283.05	848.22	988.12	289.02	151.22	339.14	457.25	351.14	249.73	242.88	490.14	353.59	785.88	297.17	376.41
PIGL	177.53	232.94	341.51	138.1	180.02	305.55	161.02	189.02	211.31	155.5	144.01	166.73	146.03	139.07	497.0	423.61	202.66	215.77	195.72	129.69	197.09	167.9	112.77	339.14	180.02	120.1	400.71	170.25	156.59	281.09	144.01	149.12	187.71	151.22	320.8	120.1	205.5	381.68	182.55	283.05	612.11	241.19	559.28	241.19	473.41	201.25	209.84	403.5	429.54	113.56	85.82	172.65	361.04	88.88	143.01	115.97	387.02	237.86	301.33	205.5	165.57	138.1	202.66	101.54	236.21	813.63	318.57	450.94	397.93	529.06	503.95	529.06	267.73	297.17	529.06	277.2	358.54	275.28	656.11	743.43	293.07	444.72	221.86
PILRB	429.54	500.46	612.11	138.1	1259.69	1127.35	273.37	497.0	2224.63	343.89	1350.18	463.65	301.33	518.15	4181.07	1697.45	120.94	480.04	384.34	161.02	262.2	339.14	105.15	1268.46	529.06	532.74	660.68	483.38	332.14	2573.36	1259.69	507.46	420.68	514.56	127.89	189.02	669.92	878.17	660.68	785.88	3060.45	785.88	2209.26	947.83	2133.97	679.29	579.04	2209.26	2956.17	96.68	153.34	172.65	138.1	51.71	146.03	118.43	669.92	223.41	341.51	253.23	94.01	423.61	447.82	73.03	145.02	7130.55	264.03	1769.57	656.11	2193.99	1407.55	1721.16	463.65	629.35	1857.6	825.0	1051.79	595.34	1397.83	1487.87	890.44	890.44	1096.5
PLA2G4B	145.02	145.02	223.41	7.22	125.24	316.37	26.1	50.63	301.33	10.88	262.2	77.79	24.99	43.32	353.59	244.57	38.95	70.51	70.01	17.9	21.01	33.78	6.57	264.03	30.12	36.27	127.89	45.85	55.49	327.56	169.07	56.28	67.59	30.12	41.52	21.78	52.82	77.79	134.3	50.98	389.72	87.65	131.51	142.01	287.01	151.22	64.8	249.73	460.44	155.5	37.59	51.71	37.05	1104.13	80.01	27.05	75.11	12.55	32.13	71.5	187.71	363.56	264.03	131.51	275.28	323.03	30.34	358.54	89.51	529.06	301.33	444.72	74.58	209.84	295.11	164.42	157.68	105.89	142.01	279.14	175.07	229.72	248.0
PLA2G6	312.0	177.53	518.15	78.89	551.56	633.73	187.71	220.32	607.87	109.66	808.0	438.59	201.25	299.25	967.76	748.61	175.07	400.71	162.14	102.25	117.6	177.53	133.36	500.46	234.57	138.1	231.32	169.07	105.15	836.53	392.44	336.79	242.88	206.94	86.43	155.5	269.6	412.0	575.03	536.45	642.59	180.02	511.0	301.33	1059.11	312.0	202.66	450.94	775.05	158.79	156.59	120.1	87.03	71.0	86.43	134.3	246.28	123.5	281.09	178.77	228.13	325.29	258.57	90.14	197.09	981.29	215.77	698.41	480.04	825.0	651.58	688.78	253.23	417.77	753.83	293.07	303.44	291.04	267.73	830.75	703.28	1639.59	384.34
PLCG1	540.19	1242.34	1331.57	728.11	1135.2	1427.22	728.11	647.07	825.0	878.17	1388.16	1175.27	525.39	1096.5	1340.84	1417.35	866.07	651.58	769.69	575.03	395.18	785.88	532.74	2061.24	819.3	698.41	934.76	1096.5	532.74	1088.92	1447.15	921.88	961.07	785.88	599.49	540.19	921.88	1135.2	728.11	1331.57	3039.3	1498.22	1417.35	1977.24	2555.58	1268.46	836.53	2193.99	2468.49	450.94	836.53	579.04	483.38	457.25	743.43	878.17	1397.83	599.49	974.5	1066.48	642.59	723.08	1023.0	733.19	748.61	2193.99	1127.35	1757.34	1119.56	1781.89	3982.99	1088.92	1331.57	1407.55	1427.22	1467.37	1487.87	902.89	1991.0	2090.03	1427.22	1529.73	1572.76
PLXNB1	429.54	872.1	1685.71	490.14	1950.0	1769.57	371.22	1135.2	2976.74	412.0	1936.53	1208.34	656.11	825.0	2895.31	1457.23	309.83	825.0	713.11	356.05	547.75	563.18	571.05	1508.65	587.13	511.0	1674.06	848.22	251.48	2255.7	1127.35	387.02	723.08	511.0	896.64	336.79	647.07	1331.57	525.39	1119.56	5872.48	647.07	1617.0	1896.65	1008.9	1119.56	1143.1	2367.9	5633.22	525.39	366.09	432.53	503.95	291.04	327.56	540.19	961.07	101.54	260.38	529.06	476.71	878.17	532.74	249.73	713.11	1991.0	616.37	819.3	1359.57	1457.23	2701.35	1540.37	1096.5	1051.79	1832.01	1216.75	1651.0	1066.48	1883.54	1388.16	2956.17	1832.01	2485.67
PNISR	536.45	647.07	679.29	679.29	1407.55	1001.93	825.0	669.92	1651.0	753.83	974.5	1135.2	708.18	718.08	2047.0	1697.45	483.38	603.67	463.65	536.45	429.54	595.34	423.61	1628.26	1135.2	1008.9	866.07	1001.93	733.19	1322.37	775.05	825.0	909.17	733.19	346.29	796.86	1023.0	1037.29	1119.56	848.22	2384.37	1477.58	1936.53	1991.0	3039.3	1447.15	995.0	2061.24	4181.07	583.07	285.03	279.14	332.14	244.57	470.14	332.14	981.29	260.38	599.49	490.14	265.87	395.18	486.75	291.04	358.54	3235.01	748.61	2193.99	1268.46	1540.37	1781.89	1963.57	698.41	1199.98	1857.6	909.17	1447.15	1208.34	1709.26	2148.82	1111.82	3349.13	1950.0
PPT2-EGFL8	80.01	60.39	75.11	8.06	94.67	111.21	23.59	29.06	96.68	20.86	84.63	37.05	21.94	23.08	83.45	124.37	27.44	23.76	31.67	16.63	8.13	25.17	9.48	125.24	32.59	21.47	37.85	53.57	18.16	114.36	31.67	23.42	59.13	42.11	14.14	11.73	35.25	33.3	55.1	89.51	152.28	69.03	66.65	56.68	124.37	81.71	30.12	68.07	132.44	6.16	7.88	5.45	9.63	5.92	3.23	8.99	43.02	23.42	50.98	17.13	7.0	36.53	29.91	4.46	8.85	161.02	10.39	54.33	51.35	47.5	110.43	121.79	27.84	64.34	111.99	43.32	42.41	59.97	46.5	81.14	46.18	116.78	111.99
RBM6	1407.55	1081.39	1709.26	738.29	1259.69	2047.0	525.39	579.04	1397.83	651.58	1572.76	915.51	656.11	791.35	2335.28	2319.15	463.65	651.58	688.78	493.56	571.05	674.59	575.03	1883.54	813.63	733.19	915.51	1191.69	587.13	1561.89	961.07	743.43	941.27	660.68	353.59	575.03	1104.13	1819.35	1250.98	1721.16	4298.64	1467.37	2935.74	1639.59	2701.35	1617.0	988.12	2061.24	2645.74	460.44	389.72	264.03	236.21	163.28	463.65	356.05	1015.93	312.0	1051.79	497.0	269.6	511.0	660.68	180.02	403.5	2855.44	1015.93	2915.45	1508.65	2997.45	2367.9	2434.5	842.36	1457.23	2351.53	1183.45	1769.57	1030.12	1119.56	1417.35	1167.14	2777.33	1674.06
RNF166	444.72	283.05	420.68	229.72	305.55	629.35	172.65	217.27	429.54	170.25	693.58	275.28	231.32	275.28	647.07	769.69	167.9	158.79	403.5	232.94	167.9	198.47	126.12	909.17	264.03	199.85	189.02	392.44	165.57	426.57	551.56	224.97	277.2	281.09	167.9	141.02	275.28	258.57	466.88	525.39	500.46	587.13	559.28	595.34	961.07	575.03	258.57	358.54	915.51	239.52	303.44	206.94	166.73	161.02	381.68	246.28	348.71	285.03	325.29	224.97	147.06	314.17	368.65	212.78	198.47	733.19	381.68	974.5	536.45	1233.75	872.1	947.83	314.17	511.0	1151.06	348.71	307.69	521.76	384.34	444.72	316.37	1073.91	518.15
