	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.D8.A1XZ.01A.11R.A14M.07	TCGA.AR.A1AK.01A.21R.A12P.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0W3.01A.11R.A109.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.C8.A12M.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.C8.A273.01A.11R.A16F.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.FU.A3TX.01A.11R.A22U.07	TCGA.F4.6459.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.7197.01A.11R.2203.13
TAF1C	1896.65	309.83	551.56	460.44	733.19	555.41	198.47	473.41	379.04	457.25	1081.39	127.89	480.04	248.0	343.89	647.07	403.5	599.49	295.11	269.6	351.14	497.0	575.03	267.73	163.28	208.38	228.13	146.03	172.65	420.68	595.34	211.31	775.05	293.07	356.05	316.37	808.0	466.88	299.25	647.07	173.85	299.25	332.14	246.28	320.8	139.07	255.0	253.23	543.96	228.13	890.44	447.82	480.04	262.2	320.8	332.14	318.57	890.44	309.83	223.41	351.14	698.41	309.83	131.51	406.31	507.46	493.56	361.04	351.14	283.05	450.94	220.32	423.61	457.25	316.37	248.0	420.68	163.28	258.57	525.39	476.71	172.65	220.32	373.81	137.14	206.94	674.59	423.61	264.03	785.88	728.11	947.83	563.18	202.66	332.14	283.05	303.44	368.65	251.48	1277.29	368.65	1143.1
TCF25	5594.3	1781.89	3589.58	2777.33	3540.14	2701.35	1769.57	2004.85	2032.85	1896.65	3515.68	1044.52	1437.15	1208.34	1757.34	3589.58	2796.65	3257.52	1794.29	954.43	3103.19	1685.71	2796.65	1447.15	1359.57	1819.35	1709.26	1350.18	1313.23	2018.8	2976.74	1605.83	2537.92	1857.6	1794.29	2485.67	3690.52	1769.57	1437.15	3039.3	1457.23	1437.15	2555.58	1477.58	2573.36	1242.34	1331.57	1417.35	2255.7	1594.73	2119.22	1721.16	1733.13	1662.49	2104.58	1991.0	3146.52	3257.52	3103.19	1369.04	1378.57	2537.92	1135.2	753.83	3018.3	2777.33	3928.15	2434.5	2287.2	1639.59	2319.15	1583.71	2287.2	2591.27	1769.57	1697.45	1529.73	1378.57	1322.37	2468.49	1781.89	1216.75	1844.76	2468.49	1096.5	1183.45	2935.74	1378.57	1359.57	3103.19	2935.74	3901.01	2956.17	1369.04	2502.97	1870.53	1896.65	1407.55	1605.83	3665.02	0.0	3955.48
TERF2	764.36	356.05	532.74	563.18	620.67	500.46	287.01	332.14	723.08	217.27	698.41	242.88	395.18	379.04	305.55	406.31	579.04	463.65	591.22	297.17	476.71	651.58	389.72	348.71	307.69	353.59	248.0	287.01	269.6	351.14	633.73	291.04	511.0	379.04	463.65	529.06	669.92	423.61	253.23	420.68	316.37	353.59	624.99	358.54	503.95	314.17	244.57	339.14	579.04	638.15	587.13	297.17	339.14	366.09	518.15	381.68	616.37	579.04	514.56	351.14	234.57	688.78	339.14	400.71	603.67	540.19	1081.39	547.75	728.11	353.59	301.33	332.14	599.49	503.95	351.14	450.94	332.14	348.71	409.15	356.05	305.55	414.87	293.07	470.14	231.32	438.59	423.61	303.44	351.14	480.04	825.0	684.02	633.73	376.41	638.15	409.15	281.09	312.0	197.09	748.61	309.83	1037.29
THAP11	1059.11	395.18	486.75	543.96	780.44	567.1	279.14	521.76	669.92	366.09	947.83	414.87	400.71	373.81	414.87	836.53	638.15	599.49	638.15	336.79	567.1	638.15	514.56	358.54	363.56	373.81	353.59	441.64	441.64	309.83	579.04	329.84	579.04	470.14	497.0	563.18	733.19	420.68	460.44	796.86	507.46	320.8	738.29	409.15	503.95	395.18	432.53	366.09	500.46	356.05	669.92	406.31	361.04	403.5	450.94	400.71	651.58	612.11	497.0	633.73	353.59	426.57	463.65	323.03	441.64	775.05	684.02	651.58	555.41	466.88	447.82	341.51	521.76	503.95	412.0	447.82	490.14	426.57	323.03	483.38	417.77	603.67	325.29	563.18	400.71	603.67	669.92	291.04	387.02	665.29	764.36	703.28	551.56	363.56	536.45	473.41	414.87	403.5	293.07	884.29	444.72	1001.93
TRAPPC2L	2104.58	780.44	1487.87	1628.26	1242.34	2976.74	642.59	1745.2	1639.59	769.69	1806.78	764.36	848.22	1073.91	1143.1	2627.46	1709.26	1709.26	764.36	1037.29	1991.0	1378.57	1508.65	974.5	1051.79	1183.45	1467.37	1008.9	1437.15	967.76	1467.37	1208.34	1183.45	1008.9	1733.13	1806.78	1662.49	934.76	1023.0	2434.5	947.83	902.89	2935.74	759.08	1447.15	954.43	769.69	967.76	1498.22	1250.98	2061.24	1242.34	1008.9	941.27	872.1	928.3	2075.59	1561.89	1498.22	1023.0	1175.27	1216.75	1286.18	808.0	1023.0	1923.14	2485.67	1883.54	1286.18	1044.52	1437.15	1066.48	2119.22	1540.37	1268.46	1127.35	1051.79	1066.48	860.08	1467.37	866.07	1529.73	780.44	2032.85	1540.37	1104.13	2451.44	902.89	909.17	2591.27	2148.82	1685.71	2104.58	1233.75	1407.55	1674.06	1044.52	1397.83	473.41	2133.97	1519.15	1685.71
TXNL4B	417.77	74.58	165.57	173.85	212.78	143.01	84.04	115.97	239.52	94.01	312.0	74.06	65.26	114.36	108.14	197.09	178.77	166.73	223.41	78.89	171.45	249.73	158.79	105.89	77.79	69.52	77.25	87.65	95.34	241.19	244.57	133.36	242.88	94.01	156.59	139.07	366.09	155.5	125.24	189.02	78.34	99.43	309.83	96.68	120.94	100.13	58.3	90.77	226.54	115.97	279.14	105.15	98.73	111.21	109.66	81.71	283.05	191.67	183.82	186.4	100.83	194.36	126.12	131.51	163.28	199.85	236.21	187.71	295.11	108.14	105.89	117.6	206.94	195.72	102.25	125.24	178.77	104.42	264.03	96.68	76.17	175.07	91.41	170.25	115.97	108.9	198.47	87.65	89.51	329.84	214.27	269.6	191.67	100.83	158.79	72.52	87.03	105.89	56.28	346.29	149.12	656.11
USP10	2163.77	808.0	1331.57	1295.13	1242.34	1066.48	688.78	698.41	1745.2	547.75	1991.0	748.61	941.27	674.59	728.11	1304.15	1167.14	1111.82	890.44	961.07	1286.18	1794.29	1594.73	954.43	764.36	872.1	693.58	642.59	665.29	669.92	1529.73	902.89	1159.07	967.76	988.12	813.63	2271.4	656.11	728.11	1104.13	633.73	860.08	1529.73	708.18	1159.07	733.19	1023.0	780.44	1806.78	1369.04	1277.29	1037.29	718.08	1001.93	860.08	708.18	1721.16	1259.69	1322.37	438.59	633.73	1477.58	669.92	1008.9	1242.34	1350.18	2163.77	1111.82	1369.04	769.69	769.69	1183.45	1551.09	1151.06	759.08	796.86	525.39	928.3	825.0	651.58	791.35	1073.91	684.02	1143.1	796.86	595.34	825.0	808.0	791.35	1806.78	2090.03	1806.78	1844.76	808.0	1216.75	808.0	603.67	921.88	551.56	1757.34	0.0	1540.37
VPS4A	3716.2	1159.07	1685.71	1769.57	2148.82	1936.53	1008.9	1268.46	1794.29	1295.13	1923.14	753.83	1159.07	1073.91	995.0	1572.76	2119.22	1697.45	1733.13	1001.93	1883.54	2224.63	1457.23	866.07	954.43	1135.2	1015.93	753.83	796.86	1051.79	1685.71	1111.82	1572.76	1073.91	1088.92	1651.0	1936.53	1104.13	808.0	2417.67	1030.12	878.17	2018.8	848.22	2240.11	674.59	902.89	941.27	1540.37	1030.12	1896.65	1111.82	1023.0	1051.79	1073.91	1151.06	1950.0	2303.12	1721.16	1331.57	896.64	1519.15	718.08	651.58	2209.26	1794.29	1896.65	1350.18	1883.54	947.83	1467.37	1277.29	2319.15	1639.59	1073.91	1037.29	1023.0	1059.11	1096.5	1259.69	1127.35	1407.55	928.3	2047.0	830.75	947.83	1977.24	1096.5	896.64	1757.34	2384.37	1639.59	1685.71	1088.92	1757.34	1447.15	995.0	961.07	583.07	2739.08	0.0	3325.99
WDR59	769.69	242.88	518.15	412.0	612.11	373.81	199.85	463.65	567.1	273.37	1001.93	164.42	373.81	208.38	228.13	409.15	356.05	551.56	358.54	217.27	363.56	417.77	366.09	346.29	181.28	185.11	218.79	214.27	164.42	307.69	412.0	193.01	483.38	287.01	305.55	299.25	583.07	316.37	258.57	599.49	256.78	186.4	361.04	258.57	500.46	287.01	295.11	211.31	708.18	277.2	603.67	173.85	307.69	305.55	181.28	325.29	353.59	651.58	351.14	237.86	264.03	450.94	193.01	229.72	366.09	525.39	476.71	327.56	312.0	218.79	327.56	209.84	476.71	305.55	368.65	220.32	301.33	182.55	555.41	293.07	271.48	199.85	167.9	356.05	167.9	186.4	466.88	293.07	209.84	521.76	764.36	536.45	438.59	218.79	486.75	255.0	287.01	237.86	195.72	941.27	0.0	802.41
WWP2	1096.5	438.59	642.59	571.05	656.11	579.04	358.54	403.5	612.11	438.59	866.07	271.48	486.75	332.14	470.14	532.74	684.02	521.76	624.99	497.0	460.44	703.28	514.56	392.44	295.11	511.0	287.01	379.04	297.17	305.55	753.83	285.03	620.67	460.44	457.25	808.0	842.36	583.07	262.2	511.0	420.68	423.61	688.78	429.54	563.18	220.32	392.44	447.82	540.19	674.59	669.92	406.31	417.77	486.75	463.65	476.71	708.18	718.08	607.87	480.04	287.01	808.0	483.38	353.59	642.59	480.04	854.13	633.73	521.76	297.17	409.15	435.55	743.43	679.29	511.0	400.71	351.14	98.73	884.29	497.0	447.82	366.09	329.84	660.68	332.14	366.09	518.15	312.0	373.81	521.76	1127.35	1208.34	1225.22	454.09	483.38	339.14	368.65	368.65	199.85	1059.11	0.0	1794.29
ZC3H18	1467.37	363.56	595.34	579.04	884.29	532.74	341.51	426.57	791.35	373.81	1059.11	218.79	438.59	218.79	363.56	780.44	435.55	647.07	373.81	287.01	503.95	470.14	536.45	237.86	221.86	332.14	363.56	283.05	255.0	381.68	624.99	323.03	629.35	334.46	435.55	507.46	571.05	353.59	241.19	728.11	194.36	262.2	647.07	287.01	620.67	209.84	267.73	258.57	500.46	336.79	563.18	376.41	341.51	409.15	346.29	356.05	633.73	836.53	426.57	224.97	283.05	583.07	320.8	236.21	460.44	454.09	791.35	579.04	412.0	323.03	426.57	379.04	409.15	438.59	389.72	260.38	291.04	341.51	307.69	435.55	400.71	341.51	275.28	447.82	224.97	299.25	708.18	406.31	249.73	624.99	708.18	775.05	825.0	303.44	435.55	497.0	414.87	334.46	283.05	1397.83	0.0	1277.29
ZCCHC14	351.14	158.79	361.04	395.18	341.51	205.5	206.94	151.22	518.15	135.24	320.8	101.54	241.19	103.69	170.25	165.57	205.5	392.44	208.38	163.28	312.0	277.2	265.87	220.32	100.83	156.59	99.43	134.3	148.09	187.71	343.89	132.44	409.15	223.41	154.42	208.38	295.11	173.85	177.53	376.41	97.36	152.28	334.46	152.28	392.44	190.34	136.19	159.9	438.59	187.71	287.01	129.69	209.84	253.23	287.01	205.5	368.65	447.82	209.84	158.79	152.28	320.8	98.04	232.94	325.29	195.72	392.44	144.01	363.56	191.67	208.38	175.07	379.04	264.03	163.28	256.78	251.48	163.28	120.1	208.38	117.6	165.57	117.6	185.11	113.56	180.02	237.86	167.9	221.86	255.0	444.72	417.77	343.89	312.0	329.84	199.85	111.99	159.9	51.35	748.61	80.57	579.04
ZDHHC7	1963.57	703.28	961.07	733.19	743.43	733.19	521.76	503.95	819.3	336.79	1030.12	500.46	563.18	301.33	466.88	599.49	860.08	830.75	620.67	567.1	860.08	866.07	1023.0	836.53	529.06	656.11	334.46	532.74	470.14	884.29	902.89	607.87	902.89	738.29	454.09	842.36	928.3	466.88	429.54	785.88	493.56	426.57	759.08	463.65	896.64	470.14	529.06	414.87	1191.69	684.02	890.44	507.46	688.78	764.36	435.55	759.08	1044.52	825.0	860.08	454.09	532.74	928.3	511.0	423.61	629.35	941.27	941.27	571.05	665.29	540.19	507.46	395.18	1059.11	928.3	466.88	563.18	490.14	457.25	376.41	503.95	612.11	363.56	420.68	769.69	447.82	441.64	693.58	563.18	435.55	738.29	1639.59	1183.45	1487.87	466.88	693.58	379.04	733.19	486.75	314.17	1417.35	0.0	1605.83
ZNF23	285.03	102.97	146.03	149.12	242.88	187.71	102.25	107.38	327.56	79.45	271.48	65.72	133.36	118.43	112.77	87.65	190.34	202.66	198.47	120.1	167.9	226.54	101.54	153.34	100.13	65.26	72.01	144.01	84.04	258.57	223.41	98.04	215.77	128.79	108.9	157.68	185.11	130.6	108.14	361.04	71.0	95.34	165.57	91.41	190.34	88.88	78.89	98.73	193.01	94.01	236.21	102.25	100.83	123.5	132.44	88.26	147.06	228.13	115.97	86.43	144.01	167.9	80.57	106.63	180.02	107.38	267.73	126.12	307.69	96.01	138.1	77.79	187.71	161.02	120.94	118.43	113.56	82.29	113.56	144.01	65.26	170.25	71.5	114.36	70.51	88.26	119.26	117.6	121.79	177.53	309.83	279.14	157.68	89.51	237.86	177.53	92.05	126.12	46.84	258.57	0.0	218.79
ZNF276	500.46	327.56	305.55	151.22	318.57	232.94	87.03	289.02	293.07	279.14	323.03	92.05	115.16	201.25	267.73	267.73	224.97	260.38	312.0	105.15	189.02	255.0	301.33	170.25	148.09	105.89	105.15	152.28	159.9	173.85	320.8	171.45	309.83	177.53	183.82	195.72	303.44	291.04	199.85	403.5	132.44	177.53	199.85	157.68	209.84	115.16	127.0	176.29	318.57	217.27	441.64	178.77	198.47	130.6	95.34	255.0	167.9	514.56	87.65	183.82	198.47	279.14	209.84	71.5	303.44	327.56	486.75	109.66	249.73	144.01	246.28	103.69	297.17	258.57	177.53	119.26	144.01	89.51	181.28	185.11	209.84	127.89	123.5	279.14	40.07	169.07	224.97	148.09	133.36	265.87	361.04	363.56	167.9	102.97	339.14	199.85	214.27	153.34	144.01	743.43	0.0	603.67
