	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
FOXC2	2.56	108.9	5.19	3.47	4.46	18.29	8.19	39.5	170.25	6.94	3.69	19.39	1.39	17.77	39.79	26.47	13.42	22.92	22.43	29.27	31.0	25.35	18.43	12.27	23.93	10.88	1.51	3.32	8.13	8.92	1.33	28.65	12.45	1.99	7.06	12.18	10.79	12.74	1.66	8.38	27.05	20.71	10.08	8.92	64.34	17.51	72.52	17.64	251.48	0.0	10.96	17.9	75.11	57.49	1.66	7.51	2.41	4.1	3.17	17.64	1.35	17.77	2.16	1.53	2.48	37.85	0.78	1.51	2.29	0.54	146.03	429.54	15.11	92.7	11.47	5.63	36.53	36.01	28.04	33.3	24.99	2.76	54.33	0.0	0.0	2.76	33.54	1.97	36.79	8.78	10.47	28.45	9.27	10.63	14.78
FOXJ2	358.54	417.77	152.28	167.9	295.11	466.88	389.72	373.81	395.18	497.0	503.95	371.22	384.34	426.57	301.33	353.59	363.56	361.04	384.34	327.56	346.29	432.53	149.12	187.71	154.42	152.28	156.59	143.01	98.73	206.94	158.79	175.07	138.1	127.0	126.12	113.56	133.36	194.36	171.45	138.1	139.07	90.14	157.68	158.79	127.0	136.19	183.82	133.36	234.57	32.13	248.0	181.28	208.38	229.72	136.19	76.17	110.43	66.65	77.79	153.34	105.89	104.42	53.19	70.51	99.43	98.04	81.14	133.36	119.26	65.72	105.15	412.0	343.89	289.02	332.14	229.72	241.19	201.25	497.0	486.75	438.59	234.57	285.03	226.54	158.79	242.88	248.0	295.11	142.01	215.77	125.24	215.77	239.52	130.6	242.88
GAPVD1	189.02	420.68	173.85	125.24	273.37	236.21	376.41	341.51	228.13	387.02	262.2	395.18	275.28	329.84	353.59	273.37	329.84	323.03	241.19	279.14	232.94	314.17	137.14	164.42	205.5	177.53	104.42	150.17	77.25	88.26	234.57	118.43	178.77	229.72	169.07	112.77	145.02	148.09	194.36	170.25	198.47	91.41	164.42	334.46	164.42	148.09	242.88	183.82	384.34	41.52	186.4	325.29	301.33	305.55	112.77	162.14	120.1	117.6	100.13	197.09	193.01	117.6	153.34	141.02	134.3	130.6	155.5	144.01	164.42	115.97	161.02	703.28	457.25	529.06	379.04	332.14	329.84	269.6	397.93	514.56	438.59	406.31	281.09	214.27	146.03	242.88	339.14	334.46	201.25	155.5	128.79	281.09	417.77	111.21	256.78
GATAD2B	299.25	293.07	115.97	127.0	170.25	267.73	316.37	267.73	237.86	316.37	283.05	258.57	262.2	265.87	379.04	253.23	318.57	260.38	283.05	295.11	236.21	361.04	91.41	86.43	90.14	92.05	92.7	68.07	83.45	94.67	105.15	88.88	95.34	93.35	96.68	100.83	85.22	154.42	88.88	84.63	93.35	77.25	96.01	98.04	161.02	109.66	199.85	103.69	265.87	25.54	152.28	128.79	228.13	212.78	107.38	85.22	80.57	70.01	73.03	145.02	96.01	97.36	105.89	80.01	96.01	81.71	138.1	77.25	198.47	77.79	121.79	400.71	237.86	336.79	368.65	193.01	193.01	256.78	366.09	318.57	363.56	191.67	229.72	186.4	154.42	189.02	262.2	231.32	162.14	166.73	166.73	267.73	229.72	112.77	229.72
GDAP2	173.85	273.37	110.43	90.77	108.9	133.36	121.79	166.73	125.24	150.17	102.97	165.57	117.6	172.65	64.34	132.44	113.56	106.63	120.94	148.09	118.43	123.5	91.41	75.11	102.25	72.52	89.51	52.82	72.01	77.79	61.68	96.68	95.34	81.14	84.63	90.77	87.03	101.54	55.89	68.55	59.97	61.68	78.34	129.69	220.32	244.57	170.25	69.03	132.44	38.67	162.14	115.16	182.55	201.25	72.52	127.0	58.3	129.69	102.25	176.29	143.01	111.21	123.5	148.09	148.09	98.04	94.67	158.79	57.89	96.68	125.24	329.84	175.07	158.79	140.04	171.45	163.28	190.34	176.29	215.77	164.42	119.26	212.78	165.57	106.63	175.07	236.21	166.73	161.02	194.36	178.77	172.65	147.06	178.77	176.29
GDF10	314.17	543.96	18.56	14.78	44.25	156.59	435.55	246.28	379.04	514.56	339.14	183.82	73.03	171.45	41.22	88.26	166.73	361.04	153.34	236.21	125.24	309.83	1.35	0.0	15.0	3.17	0.97	1.22	2.81	0.8	0.42	0.0	4.24	0.0	0.44	0.0	0.83	3.23	1.19	3.92	0.4	5.19	0.0	1.53	0.14	0.17	0.29	0.97	13.93	0.0	2.51	1.77	3.0	1.39	0.0	1.23	0.0	0.51	4.24	0.39	2.56	2.25	3.32	0.0	0.0	4.94	0.74	0.0	0.64	0.0	8.38	1832.01	1477.58	57.08	27.44	1.17	25.72	28.45	30.56	11.47	42.41	0.0	186.4	10.16	7.17	10.31	20.26	34.02	36.79	6.67	0.0	28.86	93.35	1.27	100.83
GEMIN4	221.86	381.68	312.0	299.25	248.0	214.27	295.11	163.28	283.05	325.29	131.51	180.02	229.72	267.73	169.07	224.97	248.0	209.84	198.47	291.04	281.09	231.32	56.68	63.89	68.55	79.45	39.79	84.04	73.54	53.57	94.01	56.28	69.03	74.06	60.39	48.52	88.88	72.01	111.99	67.59	76.17	67.12	73.03	111.99	123.5	114.36	143.01	66.65	126.12	33.3	121.79	108.14	136.19	162.14	70.01	139.07	66.18	38.4	108.9	133.36	162.14	253.23	145.02	134.3	173.85	104.42	231.32	127.89	182.55	40.36	131.51	836.53	543.96	202.66	291.04	493.56	258.57	198.47	237.86	293.07	303.44	329.84	149.12	693.58	409.15	571.05	183.82	246.28	444.72	486.75	193.01	120.94	305.55	71.0	297.17
GLT8D2	1167.14	836.53	104.42	148.09	190.34	607.87	1059.11	928.3	1378.57	1508.65	769.69	1159.07	1233.75	1127.35	334.46	909.17	753.83	961.07	743.43	896.64	414.87	555.41	53.19	51.35	80.01	51.35	24.63	31.67	34.75	29.48	20.26	21.32	40.64	12.74	19.68	4.9	24.63	31.22	26.67	16.15	29.27	74.06	29.48	27.05	109.66	78.89	37.85	61.68	253.23	12.45	34.26	77.25	110.43	96.68	11.21	23.76	8.65	25.54	2.76	12.93	16.27	46.18	16.39	7.4	5.68	72.52	4.46	21.16	9.27	40.36	178.77	1199.98	559.28	490.14	318.57	113.56	490.14	353.59	387.02	540.19	466.88	76.71	1909.85	127.0	60.39	99.43	486.75	642.59	220.32	185.11	55.89	703.28	123.5	129.69	988.12
GNG2	1806.78	878.17	151.22	277.2	218.79	356.05	902.89	624.99	684.02	890.44	595.34	878.17	967.76	866.07	480.04	493.56	518.15	769.69	441.64	842.36	293.07	389.72	100.13	22.43	49.56	125.24	28.86	49.56	35.76	21.16	40.64	141.02	115.16	38.67	69.52	66.18	70.01	289.02	28.24	149.12	52.82	70.01	45.85	84.63	158.79	69.52	57.89	94.67	271.48	35.76	108.9	122.64	185.11	246.28	71.0	46.84	50.63	29.7	92.7	221.86	34.51	100.83	27.25	29.48	33.06	126.12	51.35	84.63	69.52	62.12	281.09	1059.11	447.82	688.78	624.99	159.9	204.07	178.77	579.04	743.43	595.34	111.99	3467.27	139.07	84.63	133.36	470.14	387.02	109.66	258.57	156.59	287.01	171.45	152.28	187.71
GPCPD1	450.94	403.5	373.81	353.59	193.01	808.0	1088.92	713.11	599.49	563.18	836.53	567.1	429.54	466.88	1242.34	718.08	1167.14	884.29	543.96	684.02	500.46	307.69	80.01	79.45	43.94	109.66	95.34	120.94	120.94	48.87	91.41	136.19	135.24	71.5	117.6	64.34	66.65	269.6	129.69	128.79	90.77	140.04	80.57	126.12	228.13	175.07	480.04	163.28	660.68	13.72	115.16	178.77	305.55	158.79	228.13	96.01	155.5	76.17	99.43	244.57	177.53	123.5	87.03	92.7	140.04	70.51	109.66	127.0	417.77	183.82	175.07	2224.63	1519.15	708.18	651.58	180.02	785.88	305.55	759.08	444.72	532.74	232.94	660.68	158.79	193.01	320.8	438.59	379.04	194.36	341.51	318.57	525.39	318.57	309.83	500.46
GPR161	120.1	231.32	32.82	44.89	92.05	126.12	94.01	161.02	183.82	123.5	172.65	176.29	132.44	162.14	141.02	105.89	147.06	171.45	126.12	162.14	152.28	177.53	14.35	6.52	21.16	25.54	6.31	12.18	13.72	44.57	10.55	40.93	16.63	8.92	14.35	14.89	17.64	14.24	18.29	13.42	23.08	57.08	12.45	15.68	15.56	18.97	24.63	36.27	107.38	7.75	16.75	28.65	40.36	25.35	8.0	18.43	9.85	4.58	7.4	34.51	49.56	31.22	13.03	3.0	15.22	17.64	9.56	18.29	6.36	11.64	45.53	229.72	129.69	49.56	75.11	40.64	111.99	67.59	320.8	146.03	163.28	21.94	134.3	16.39	19.68	39.79	65.26	118.43	67.59	66.18	42.11	150.17	41.81	45.85	82.29
GPR171	75.11	6.62	193.01	78.34	30.12	3.17	7.51	100.83	0.92	3.14	7.0	3.0	5.32	5.11	2.23	5.87	12.55	9.13	0.99	1.81	3.29	11.3	2.25	0.39	2.16	11.91	3.86	0.0	24.81	0.0	0.42	6.94	13.22	1.93	1.31	56.28	3.26	2.43	0.0	9.41	1.99	1.22	6.16	1.53	4.58	4.31	1.68	4.86	190.34	0.78	31.67	11.47	8.45	39.5	65.26	10.63	3.5	5.5	37.59	57.89	0.87	40.07	43.94	1.48	19.97	19.39	5.5	23.42	28.65	1.97	48.52	236.21	466.88	256.78	341.51	35.25	153.34	61.68	226.54	214.27	172.65	102.97	5.73	19.25	22.59	36.01	92.7	96.68	204.07	44.57	2.46	64.8	5.5	5.36	146.03
HECA	587.13	476.71	178.77	217.27	389.72	215.77	409.15	532.74	325.29	281.09	269.6	226.54	279.14	336.79	229.72	493.56	463.65	260.38	351.14	265.87	341.51	503.95	105.15	73.54	94.67	134.3	85.22	68.55	86.43	69.52	104.42	403.5	201.25	96.01	76.71	194.36	80.01	129.69	106.63	111.99	128.79	82.87	170.25	154.42	209.84	120.1	212.78	142.01	320.8	19.39	293.07	157.68	206.94	212.78	68.07	89.51	84.63	68.07	116.78	167.9	58.3	109.66	44.57	76.17	137.14	117.6	91.41	148.09	155.5	119.26	241.19	651.58	371.22	532.74	397.93	269.6	389.72	205.5	336.79	363.56	351.14	198.47	521.76	239.52	159.9	208.38	470.14	426.57	295.11	262.2	145.02	291.04	237.86	148.09	358.54
HES5	11.21	10.0	18.56	21.94	25.72	8.25	7.51	2.84	14.78	12.36	10.08	14.14	23.59	10.0	0.0	5.23	21.94	7.75	10.39	15.91	7.11	0.83	9.41	0.39	3.47	1.62	2.89	3.26	1.89	3.59	0.85	12.18	5.19	0.78	0.88	2.03	2.46	0.42	3.2	2.36	3.99	3.63	1.91	0.78	0.0	5.11	0.0	1.48	36.79	1.95	0.0	2.23	1.01	0.0	0.0	0.0	3.14	0.52	0.0	5.32	0.0	0.92	0.85	0.0	0.41	3.63	0.0	1.95	1.69	11.73	48.18	62.12	1.55	3.99	1.39	7.88	0.61	0.97	1.03	11.64	2.36	18.7	91.41	6.57	0.0	12.0	2.89	28.04	11.73	3.11	0.0	7.94	2.27	20.86	9.63
HNRNPD	4769.75	4937.99	4736.79	4607.24	3060.45	3018.3	4095.0	4543.8	3467.27	3614.55	3039.3	4450.27	3955.48	4123.49	3060.45	3955.48	4010.71	3540.14	3212.66	3280.18	3372.43	3794.3	3690.52	2976.74	2240.11	3982.99	3874.05	3395.89	1896.65	2645.74	3564.78	3303.0	4639.29	3372.43	3614.55	2468.49	2573.36	4704.07	3955.48	4328.55	3190.46	2895.31	3564.78	3257.52	3081.75	2875.3	3372.43	4869.99	4972.34	854.13	4298.64	4736.79	3491.39	3589.58	4358.66	1572.76	2520.38	3303.0	2367.9	4123.49	2090.03	2193.99	3212.66	2451.44	3212.66	2720.15	3212.66	3235.01	3146.52	1674.06	3190.46	6792.79	8363.13	5219.6	6561.36	4639.29	5041.77	4671.57	4210.15	4298.64	4095.0	4010.71	4268.94	3874.05	3325.99	4181.07	4869.99	3820.7	3081.75	3614.55	3665.02	6561.36	3325.99	2875.3	5479.15
HNRNPLL	723.08	753.83	341.51	403.5	490.14	493.56	575.03	660.68	414.87	397.93	543.96	454.09	384.34	563.18	426.57	460.44	567.1	473.41	490.14	503.95	460.44	638.15	212.78	231.32	289.02	314.17	305.55	175.07	239.52	214.27	305.55	327.56	363.56	273.37	191.67	389.72	256.78	417.77	214.27	291.04	289.02	241.19	251.48	314.17	371.22	392.44	358.54	316.37	395.18	392.44	540.19	473.41	457.25	412.0	232.94	242.88	152.28	170.25	223.41	409.15	409.15	255.0	348.71	287.01	236.21	262.2	332.14	264.03	256.78	249.73	271.48	785.88	642.59	651.58	521.76	476.71	769.69	713.11	647.07	723.08	624.99	536.45	497.0	389.72	316.37	400.71	703.28	595.34	363.56	414.87	392.44	540.19	353.59	336.79	525.39
IKZF5	379.04	318.57	147.06	204.07	183.82	229.72	423.61	297.17	366.09	336.79	242.88	295.11	312.0	361.04	202.66	299.25	293.07	327.56	267.73	332.14	198.47	314.17	124.37	103.69	89.51	114.36	99.43	64.34	61.68	47.5	116.78	125.24	125.24	119.26	197.09	140.04	63.89	211.31	78.89	96.01	110.43	58.71	83.45	177.53	358.54	191.67	406.31	87.65	202.66	303.44	115.16	151.22	299.25	241.19	109.66	91.41	79.45	68.55	61.68	111.99	99.43	62.12	82.87	81.14	92.7	104.42	90.77	86.43	353.59	82.87	98.04	551.56	412.0	316.37	303.44	158.79	249.73	181.28	281.09	273.37	281.09	208.38	532.74	341.51	169.07	212.78	228.13	316.37	255.0	249.73	105.15	105.89	217.27	85.22	285.03
IL18R1	31.67	37.05	140.04	117.6	68.07	45.53	39.79	63.0	287.01	165.57	14.78	56.28	66.65	356.05	103.69	567.1	63.45	295.11	80.01	35.5	212.78	281.09	1.87	6.62	35.0	23.42	7.88	3.35	5.32	2.48	2.61	6.26	10.16	1.6	6.67	8.19	2.12	6.62	7.28	33.78	2.46	7.0	5.36	4.31	40.36	16.51	241.19	12.83	75.64	3.17	11.04	28.65	43.94	67.59	31.67	13.32	64.34	61.68	63.45	30.78	3.08	13.32	7.69	19.82	50.63	69.52	38.4	33.54	63.45	43.63	38.67	343.89	109.66	122.64	92.7	97.36	111.99	65.26	50.98	70.51	84.04	75.11	42.41	27.25	23.59	87.65	58.3	116.78	50.63	62.56	11.55	91.41	8.32	16.51	38.67
IL6	3372.43	138.1	20.56	14.89	224.97	39.79	775.05	2240.11	1225.22	412.0	68.55	181.28	23.42	753.83	2351.53	2502.97	4736.79	118.43	961.07	169.07	2720.15	314.17	379.04	28.65	7.63	20.71	11.38	11.13	20.41	2.39	2.92	18.03	49.21	4.54	27.64	3.59	131.51	3.2	11.73	12.0	3.14	15.8	16.88	0.75	28.24	23.93	18304.63	24.81	118.43	3.82	42.11	5.68	42.71	22.75	3.14	11.73	2.71	5.45	0.0	9.34	78.89	43.02	1.25	12.27	1.19	58.71	1.08	44.57	12.93	2.61	62.56	8718.32	595.34	46.18	141.02	16.88	39.22	41.52	559.28	189.02	31.9	281.09	371.22	9.56	0.0	24.81	234.57	77.79	226.54	118.43	3.14	3443.31	27.44	10.55	325.29
INHBA	47.5	48.87	3.63	0.75	1.71	87.03	96.01	112.77	44.89	69.03	129.69	68.07	66.65	90.77	147.06	85.82	95.34	92.7	97.36	95.34	87.03	57.08	26.86	4.54	125.24	17.77	4.31	15.22	7.94	7.94	19.11	8.92	14.45	3.44	7.34	9.56	7.28	45.53	9.06	25.91	11.38	63.0	21.63	59.97	12.18	8.51	167.9	56.28	759.08	1.53	16.51	54.72	48.18	39.5	7.88	10.16	6.57	10.96	3.08	22.75	20.26	18.29	2.51	3.66	7.11	121.79	2.18	18.56	127.0	38.67	112.77	2047.0	1111.82	218.79	211.31	82.87	571.05	447.82	52.82	693.58	543.96	132.44	88.26	7.28	2.43	14.45	20.71	67.12	26.67	33.54	14.03	332.14	24.28	17.25	52.82
INPP5B	314.17	426.57	224.97	248.0	325.29	642.59	620.67	647.07	507.46	748.61	718.08	583.07	403.5	674.59	848.22	493.56	595.34	476.71	432.53	693.58	753.83	603.67	97.36	112.77	124.37	106.63	60.82	97.36	118.43	77.79	111.21	107.38	92.05	82.87	115.97	93.35	60.82	178.77	98.04	90.77	69.52	90.77	76.71	155.5	157.68	108.14	199.85	96.68	532.74	15.8	165.57	162.14	246.28	165.57	81.14	89.51	49.56	82.29	111.21	130.6	146.03	106.63	108.14	113.56	98.04	101.54	50.98	115.97	126.12	201.25	183.82	796.86	961.07	571.05	551.56	185.11	221.86	281.09	567.1	507.46	497.0	220.32	329.84	170.25	162.14	228.13	262.2	312.0	178.77	241.19	221.86	229.72	221.86	127.0	273.37
IRF1	1572.76	1628.26	988.12	1250.98	995.0	599.49	693.58	447.82	1175.27	1167.14	351.14	688.78	595.34	1001.93	2777.33	769.69	1143.1	974.5	1572.76	688.78	1832.01	575.03	293.07	457.25	287.01	450.94	267.73	137.14	316.37	117.6	220.32	493.56	490.14	212.78	248.0	1059.11	551.56	316.37	249.73	579.04	189.02	348.71	400.71	119.26	358.54	277.2	3124.78	361.04	2090.03	162.14	258.57	198.47	450.94	743.43	420.68	190.34	450.94	172.65	277.2	764.36	105.15	438.59	231.32	215.77	186.4	514.56	426.57	285.03	575.03	429.54	624.99	7857.29	1991.0	2061.24	1709.26	1037.29	1617.0	1572.76	1697.45	2485.67	1359.57	1709.26	1304.15	1088.92	967.76	1104.13	2104.58	1001.93	518.15	1594.73	228.13	642.59	497.0	341.51	3103.19
JAM2	3103.19	1923.14	208.38	215.77	218.79	988.12	1721.16	1295.13	1628.26	1794.29	830.75	1340.84	1427.22	1519.15	435.55	2976.74	1407.55	1199.98	2075.59	1304.15	836.53	872.1	146.03	42.71	26.1	128.79	57.89	32.13	69.03	25.72	32.59	241.19	150.17	40.93	123.5	66.18	46.5	50.63	22.43	170.25	50.27	105.89	104.42	45.53	273.37	262.2	189.02	120.94	130.6	55.1	92.05	105.89	136.19	251.48	52.08	23.93	27.84	28.86	18.03	84.63	23.25	82.29	19.82	18.29	26.1	95.34	35.0	87.65	34.02	75.64	198.47	1639.59	3665.02	486.75	503.95	106.63	503.95	336.79	890.44	647.07	460.44	171.45	5872.48	432.53	104.42	267.73	902.89	967.76	389.72	353.59	226.54	974.5	295.11	301.33	909.17
KAT6A	299.25	532.74	155.5	144.01	221.86	205.5	353.59	397.93	314.17	279.14	234.57	277.2	241.19	379.04	299.25	403.5	318.57	251.48	320.8	277.2	206.94	403.5	180.02	119.26	202.66	186.4	120.1	141.02	94.01	197.09	231.32	232.94	172.65	253.23	164.42	143.01	156.59	130.6	190.34	191.67	205.5	144.01	101.54	269.6	204.07	94.67	525.39	144.01	256.78	21.94	140.04	217.27	251.48	285.03	81.14	85.22	61.68	78.89	75.11	145.02	141.02	102.97	86.43	75.11	81.14	125.24	77.25	84.04	80.01	46.18	90.14	878.17	325.29	493.56	423.61	262.2	283.05	256.78	353.59	332.14	307.69	264.03	379.04	189.02	113.56	199.85	289.02	366.09	226.54	209.84	166.73	191.67	265.87	100.13	314.17
KAT7	612.11	525.39	271.48	295.11	392.44	470.14	466.88	371.22	441.64	420.68	476.71	511.0	368.65	511.0	289.02	466.88	426.57	429.54	417.77	432.53	358.54	387.02	271.48	366.09	318.57	299.25	181.28	236.21	224.97	273.37	303.44	277.2	275.28	285.03	224.97	236.21	287.01	486.75	305.55	301.33	301.33	202.66	281.09	312.0	525.39	441.64	595.34	273.37	429.54	63.89	497.0	368.65	629.35	633.73	264.03	343.89	323.03	353.59	297.17	361.04	575.03	429.54	303.44	256.78	412.0	447.82	417.77	351.14	197.09	316.37	258.57	1073.91	819.3	497.0	629.35	435.55	447.82	363.56	890.44	679.29	665.29	497.0	607.87	518.15	309.83	395.18	466.88	476.71	529.06	420.68	660.68	490.14	802.41	258.57	551.56
KCNA5	21.01	85.82	14.14	19.25	18.16	70.51	32.36	139.07	18.7	35.76	191.67	31.9	130.6	41.22	25.91	36.27	48.87	41.81	111.99	22.1	47.17	65.26	4.94	0.78	3.89	7.57	1.95	4.06	10.79	1.62	0.44	18.7	12.74	1.55	2.18	3.23	6.94	5.28	3.2	2.76	52.82	19.97	8.51	8.38	38.12	32.59	108.9	17.38	76.17	0.79	10.0	20.71	64.34	43.94	4.39	0.84	3.53	2.03	1.95	13.22	1.73	2.73	1.27	2.58	1.62	6.31	0.0	3.38	1.53	0.6	37.32	450.94	51.71	23.59	57.49	1.23	50.63	98.73	679.29	35.76	55.1	1.48	55.1	16.51	2.29	32.36	161.02	384.34	212.78	20.56	202.66	15.11	31.0	58.71	19.97
KIAA0922	343.89	603.67	89.51	127.0	156.59	242.88	237.86	429.54	336.79	258.57	329.84	275.28	303.44	363.56	656.11	293.07	353.59	285.03	186.4	217.27	182.55	236.21	41.81	85.82	64.8	153.34	46.5	55.1	197.09	177.53	136.19	142.01	262.2	99.43	75.64	72.01	239.52	142.01	148.09	141.02	109.66	115.97	147.06	208.38	33.54	33.78	92.05	214.27	285.03	13.32	108.14	151.22	92.05	82.29	103.69	43.94	59.55	33.3	59.13	81.71	44.25	68.55	80.57	45.85	43.94	46.84	158.79	37.32	223.41	441.64	173.85	656.11	384.34	629.35	656.11	72.01	242.88	103.69	318.57	264.03	373.81	115.16	115.97	93.35	87.03	81.14	133.36	164.42	208.38	116.78	89.51	336.79	130.6	112.77	234.57
KIR3DX1	0.65	4.98	1.69	0.0	1.23	1.69	1.1	10.71	0.6	0.0	0.59	0.0	0.0	1.06	1.68	1.68	10.39	1.11	1.87	0.0	0.54	1.19	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.4	0.48	0.0	1.31	0.0	0.0	0.0	2.97	0.39	0.42	0.44	1.0	0.0	0.0	0.0	0.79	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	11.47	1.23	2.76	2.92	0.0	0.0	0.27	2.56	1.58	1.73	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	5.73
KLHL28	176.29	117.6	69.52	74.06	64.8	96.68	113.56	81.71	107.38	113.56	67.12	110.43	90.14	114.36	58.71	101.54	66.18	112.77	87.65	120.94	54.33	71.0	44.57	85.82	67.59	61.25	43.02	50.63	39.5	40.93	59.13	122.64	56.28	70.51	68.55	59.97	59.55	65.72	62.12	58.3	63.89	37.59	55.1	100.13	109.66	53.95	93.35	35.76	95.34	29.7	81.14	77.79	100.83	99.43	30.56	31.45	34.51	28.65	29.7	34.75	44.25	29.06	36.53	36.27	36.27	47.5	38.12	44.57	81.71	38.67	50.27	242.88	215.77	131.51	120.94	96.01	110.43	103.69	129.69	121.79	127.0	97.36	208.38	97.36	38.12	64.34	142.01	85.82	88.26	104.42	54.33	53.19	80.01	46.5	127.89
KLHL41	20.26	0.75	7.4	17.25	11.55	74.06	12.45	45.85	84.63	59.13	109.66	67.59	57.89	93.35	37.85	50.63	15.56	76.17	28.24	46.18	24.28	30.56	0.47	0.79	0.45	1.64	1.48	2.07	1.93	2.86	0.88	0.85	0.51	3.89	2.23	4.1	2.51	2.07	0.83	1.22	7.22	5.73	1.46	1.95	5.77	1.25	10.16	2.48	9.93	0.41	3.41	7.17	7.63	3.29	10.79	2.1	0.82	1.04	3.14	3.86	1.31	2.76	11.38	6.73	3.26	0.0	4.1	0.0	1.55	15.8	20.11	56.28	113.56	44.57	82.87	8.45	14.24	43.94	22.43	36.79	40.93	11.21	63.0	10.31	19.39	11.38	46.18	17.77	28.86	23.59	7.28	11.82	3.2	7.69	17.25
