	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.A565.01A.31R.A28H.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	TCGA.AA.3527.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.ZYVF.2826.SM.5GIDK	GTEX.146FH.2426.SM.5Q5EW	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.XAJ8.0726.SM.47JY5	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZG7Y.1826.SM.4WWD3	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.AF.3400.11A.01R.A32Z.07	TCGA.FP.A4BF.01A.12R.A36D.31
LRRC31	134.3	54.33	139.07	105.89	215.77	94.01	169.07	819.3	738.29	1551.09	1023.0	878.17	1059.11	802.41	1167.14	921.88	854.13	941.27	612.11	974.5	1030.12	115.97	1417.35	1037.29	1167.14	728.11	718.08	152.28	258.57	514.56	323.03	1250.98	473.41	921.88	1331.57	651.58	633.73	486.75	915.51	1583.71	417.77	1051.79	463.65	139.07	1066.48	1447.15	173.85	941.27	693.58	665.29	341.51	108.9	688.78	1167.14	1127.35	866.07	138.1	1135.2	1175.27	529.06	1051.79	947.83	674.59	1051.79	1143.1	1313.23	1313.23	1175.27	1594.73	1769.57	33.06	108.14	1015.93	87.03	1001.93	1467.37	417.77	84.04	1378.57	1088.92	1583.71	1088.92	642.59	1216.75	1023.0	723.08	1594.73	536.45	796.86	854.13	1242.34	703.28	947.83	1183.45	318.57	1073.91	669.92	587.13	1572.76	1529.73	134.3	785.88	579.04	860.08	1388.16	1073.91	890.44	143.01	1295.13	1104.13	547.75	384.34	665.29	536.45	808.0	753.83	152.28	1208.34	61.68	221.86	1477.58	1096.5	129.69	14.45
MOGAT2	536.45	420.68	218.79	291.04	633.73	447.82	361.04	4210.15	4010.71	3515.68	4903.87	5751.61	4937.99	4066.71	4575.41	5479.15	4575.41	3820.7	3303.0	5403.7	3982.99	169.07	5076.84	4038.61	4704.07	3982.99	3690.52	743.43	1369.04	2739.08	2133.97	7032.37	3212.66	7081.29	4607.24	4388.98	2485.67	1857.6	4152.18	4836.35	2609.3	5292.48	2163.77	490.14	4095.0	4268.94	616.37	4802.93	3190.46	4181.07	2018.8	295.11	2609.3	4575.41	5633.22	3515.68	334.46	3847.29	5112.16	1923.14	4736.79	5006.93	2537.92	4010.71	4607.24	3716.2	4268.94	3955.48	7180.15	7081.29	88.26	629.35	6250.56	150.17	2935.74	5366.37	2319.15	314.17	5255.91	5479.15	5751.61	5006.93	2956.17	6250.56	5791.62	3235.01	4736.79	1896.65	5479.15	4937.99	5183.54	3060.45	5147.73	4769.75	718.08	4181.07	4095.0	4010.71	5791.62	4512.4	1073.91	3639.7	3081.75	2351.53	4607.24	4937.99	2468.49	314.17	4802.93	5441.3	2739.08	1447.15	3168.41	3081.75	3589.58	2855.44	536.45	3716.2	226.54	753.83	4836.35	3060.45	351.14	4.06
NEU4	25.72	124.37	19.25	629.35	212.78	466.88	269.6	2163.77	1870.53	713.11	2090.03	3280.18	1936.53	2367.9	2796.65	1388.16	2104.58	2255.7	967.76	2573.36	2104.58	69.03	1250.98	2032.85	3467.27	1427.22	1857.6	202.66	108.9	1359.57	808.0	3190.46	2032.85	4038.61	2645.74	825.0	1104.13	603.67	2468.49	2178.83	1369.04	2796.65	791.35	180.02	1639.59	2104.58	450.94	1685.71	1233.75	961.07	532.74	241.19	1127.35	1651.0	2384.37	2384.37	193.01	3280.18	2777.33	1051.79	1685.71	3639.7	902.89	2104.58	4152.18	1806.78	1340.84	791.35	2133.97	2875.3	49.21	229.72	2255.7	82.29	684.02	1378.57	2351.53	165.57	2468.49	1250.98	4671.57	2645.74	1127.35	2319.15	1487.87	1794.29	1268.46	1023.0	2163.77	1950.0	3564.78	995.0	3280.18	1225.22	420.68	2335.28	2451.44	1175.27	2502.97	2835.7	273.37	2434.5	1159.07	1397.83	2485.67	3018.3	1594.73	151.22	2835.7	872.1	1304.15	450.94	1617.0	1088.92	941.27	1167.14	339.14	2400.97	85.22	273.37	3146.52	1745.2	796.86	5.59
NUDT14	343.89	343.89	1037.29	708.18	1685.71	514.56	269.6	1191.69	947.83	1111.82	1259.69	1199.98	1059.11	1030.12	1059.11	981.29	1081.39	860.08	928.3	1167.14	947.83	688.78	1143.1	1369.04	1073.91	1322.37	743.43	341.51	718.08	748.61	743.43	1127.35	769.69	1242.34	1331.57	1037.29	718.08	480.04	1199.98	1111.82	796.86	1322.37	854.13	656.11	1111.82	1030.12	373.81	1447.15	1001.93	1096.5	947.83	638.15	890.44	624.99	860.08	1044.52	417.77	1096.5	915.51	591.22	1143.1	1001.93	802.41	738.29	941.27	967.76	921.88	988.12	1111.82	1572.76	289.02	403.5	1208.34	723.08	902.89	1268.46	1037.29	305.55	902.89	1331.57	1322.37	1143.1	723.08	1191.69	1322.37	947.83	1111.82	579.04	1044.52	1199.98	1340.84	974.5	1073.91	1304.15	603.67	1037.29	1159.07	902.89	1183.45	928.3	400.71	1167.14	791.35	612.11	1286.18	1066.48	995.0	332.14	1175.27	1167.14	866.07	679.29	1111.82	941.27	785.88	808.0	753.83	934.76	314.17	361.04	1119.56	947.83	802.41	532.74
NXPE4	295.11	878.17	500.46	638.15	1059.11	718.08	620.67	17317.18	5872.48	15075.35	20310.37	9808.75	13215.02	9279.58	12502.12	14262.1	11745.96	16611.71	12415.75	16960.78	15824.9	543.96	18178.19	18560.17	11745.96	17804.06	7230.1	1388.16	3168.41	9606.86	6652.97	16727.26	6840.04	11424.74	17927.91	11345.82	7857.29	5076.84	17804.06	16611.71	7032.37	16727.26	5255.91	764.36	15180.22	17681.08	2303.12	12502.12	9279.58	11035.54	7695.57	718.08	6381.92	10014.87	9945.68	9740.98	1572.76	14163.58	17927.91	5872.48	16843.62	11909.94	8901.53	11664.82	13033.07	18689.27	12676.65	20451.65	21919.61	22535.88	320.8	961.07	15392.14	457.25	11584.24	14361.31	6426.31	514.56	10154.69	18689.27	17927.91	15499.21	7695.57	17437.64	19082.0	12415.75	13306.94	6607.01	17804.06	11992.79	16727.26	8421.31	11424.74	22850.48	4704.07	18819.27	9344.14	9740.98	20030.74	18178.19	31.45	15607.02	11345.82	9344.14	21468.49	16383.0	11992.79	1151.06	17681.08	12943.04	10296.45	2468.49	11504.21	5954.47	9088.59	9673.69	1304.15	9151.82	571.05	1709.26	15285.81	14461.21	1081.39	7.75
PCK2	1143.1	954.43	1397.83	1991.0	1991.0	1733.13	2178.83	3716.2	2796.65	3419.52	3982.99	3564.78	4607.24	2777.33	4869.99	3280.18	2976.74	3212.66	2720.15	4575.41	3081.75	679.29	3690.52	4298.64	5076.84	4038.61	2956.17	1051.79	1427.22	1963.57	1447.15	5479.15	3124.78	3847.29	3768.09	4937.99	2555.58	1617.0	4010.71	4010.71	1909.85	4210.15	2758.13	1250.98	3467.27	4736.79	884.29	4038.61	3349.13	3515.68	2720.15	718.08	4575.41	2875.3	3928.15	2855.44	902.89	3146.52	3847.29	1639.59	3491.39	3372.43	2367.9	3060.45	4903.87	3168.41	3168.41	3564.78	5791.62	4328.55	395.18	780.44	3491.39	603.67	2739.08	4268.94	2434.5	607.87	3235.01	3419.52	4388.98	3395.89	2148.82	4268.94	4210.15	4210.15	3564.78	1936.53	5076.84	3325.99	4388.98	4802.93	3589.58	3540.14	1594.73	3467.27	2739.08	3081.75	3847.29	3690.52	2645.74	4095.0	2119.22	2720.15	3564.78	3639.7	2502.97	698.41	3419.52	3614.55	2090.03	1350.18	2915.45	3060.45	2148.82	2319.15	1051.79	4869.99	432.53	902.89	3768.09	3982.99	1135.2	441.64
PHGR1	783730.52	38164.99	389157.95	172949.54	472513.8	49322.93	45701.96	269512.87	180294.02	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	253213.41	233003.78	149521.18	338781.54	348306.01	33224.42	355624.68	307450.64	301123.38	271387.49	248002.34	42054.3	133825.1	174152.51	107948.72	288856.81	175363.84	509950.32	271387.49	262143.0	126606.21	138544.47	320506.81	234624.45	208544.12	299043.36	137587.47	48982.22	229795.93	253213.41	28328.16	437825.58	414208.18	311742.51	189257.69	36357.37	131982.68	341137.96	267651.2	228208.61	37639.55	279017.26	301123.38	119776.72	256748.15	237899.7	107948.72	220434.95	290865.98	239554.43	271387.49	249727.34	279017.26	313910.86	23169.48	26614.89	271387.49	70238.75	187950.38	338781.54	311742.51	38697.77	218912.29	194578.47	307450.64	256748.15	140478.49	204252.32	284880.02	303217.87	248002.34	148488.36	378516.38	221968.2	253213.41	244588.0	370726.6	239554.43	76330.98	322736.12	389157.95	273275.14	209994.66	269512.87	42641.37	400098.69	117311.73	114103.8	290865.98	229795.93	184082.4	25179.16	244588.0	419990.32	135693.24	81244.48	223512.12	249727.34	253213.41	134755.94	45386.27	263966.36	29943.43	40062.48	288856.81	294926.33	50011.46	25179.16
PKLR	2.07	5.02	24.99	12.45	15.34	11.3	12.27	94.01	23.93	39.5	124.37	27.64	80.57	46.5	58.71	29.48	35.0	59.97	15.56	56.68	35.25	12.09	62.12	59.13	108.14	90.77	27.05	11.13	22.75	17.0	23.76	162.14	52.82	71.5	86.43	45.85	19.97	12.55	70.01	59.13	33.54	172.65	20.11	5.02	78.89	31.45	5.11	172.65	32.36	127.89	36.01	3.96	11.13	15.22	103.69	36.53	8.78	55.49	96.01	8.85	50.98	89.51	10.24	35.0	111.99	48.52	167.9	40.36	77.25	89.51	0.0	3.82	25.54	7.69	19.39	64.8	18.7	4.17	46.84	122.64	88.88	58.3	40.64	138.1	23.42	64.34	35.5	31.67	242.88	142.01	66.65	20.86	96.68	44.57	9.93	96.01	15.91	20.26	43.94	43.32	61.68	103.69	19.68	37.05	50.98	77.25	57.08	3.14	47.5	54.72	17.64	17.13	94.01	83.45	28.04	35.76	4.94	36.53	4.13	5.54	53.95	57.49	8.58	0.1
RABEP2	285.03	547.75	256.78	518.15	599.49	417.77	368.65	674.59	616.37	638.15	748.61	651.58	660.68	579.04	571.05	583.07	656.11	525.39	638.15	708.18	595.34	329.84	612.11	688.78	698.41	647.07	493.56	265.87	656.11	543.96	486.75	679.29	547.75	698.41	738.29	551.56	497.0	490.14	679.29	743.43	483.38	896.64	559.28	295.11	651.58	688.78	387.02	825.0	665.29	563.18	595.34	656.11	571.05	500.46	567.1	603.67	497.0	703.28	651.58	368.65	748.61	642.59	486.75	575.03	759.08	525.39	595.34	518.15	559.28	684.02	228.13	420.68	759.08	444.72	595.34	796.86	684.02	392.44	775.05	733.19	698.41	669.92	435.55	642.59	738.29	555.41	633.73	395.18	684.02	656.11	791.35	551.56	616.37	718.08	454.09	642.59	802.41	571.05	674.59	733.19	346.29	607.87	629.35	371.22	679.29	748.61	629.35	384.34	743.43	723.08	551.56	529.06	521.76	486.75	629.35	529.06	414.87	575.03	392.44	373.81	651.58	665.29	476.71	363.56
REP15	246.28	620.67	135.24	295.11	271.48	409.15	329.84	1023.0	2075.59	2451.44	3419.52	2573.36	3103.19	1487.87	2032.85	1733.13	1651.0	1769.57	890.44	1583.71	2335.28	400.71	1397.83	1551.09	2319.15	1651.0	1467.37	307.69	842.36	974.5	738.29	4210.15	1745.2	3982.99	3955.48	890.44	1088.92	748.61	2178.83	2777.33	1023.0	3443.31	698.41	178.77	2032.85	2835.7	629.35	3146.52	1909.85	1508.65	571.05	497.0	1923.14	2417.67	2682.69	1991.0	454.09	3257.52	2555.58	466.88	1477.58	2004.85	312.0	2148.82	3325.99	2224.63	1498.22	2777.33	4210.15	4937.99	115.16	426.57	2400.97	287.01	1909.85	2018.8	748.61	269.6	3372.43	1674.06	3257.52	2119.22	954.43	3146.52	2148.82	1066.48	1991.0	738.29	2047.0	1037.29	3212.66	1183.45	2303.12	2739.08	525.39	3124.78	1477.58	1685.71	3039.3	2400.97	170.25	1605.83	1359.57	830.75	3665.02	1991.0	1199.98	301.33	2451.44	3103.19	728.11	769.69	1111.82	1104.13	2209.26	1447.15	305.55	1359.57	217.27	579.04	2997.45	1697.45	470.14	40.93
RNF128	521.76	56.68	154.42	99.43	403.5	180.02	161.02	1096.5	733.19	1628.26	1104.13	1159.07	974.5	909.17	954.43	1167.14	647.07	941.27	830.75	1350.18	1030.12	89.51	2075.59	1199.98	1059.11	1175.27	890.44	147.06	255.0	995.0	366.09	1369.04	395.18	1286.18	1313.23	674.59	607.87	447.82	1023.0	1225.22	438.59	860.08	406.31	111.99	830.75	1685.71	220.32	1268.46	708.18	860.08	854.13	104.42	693.58	1175.27	1233.75	780.44	106.63	808.0	1340.84	540.19	1175.27	1127.35	688.78	967.76	1111.82	1286.18	1369.04	1551.09	1216.75	1359.57	51.35	178.77	1295.13	100.83	733.19	1143.1	620.67	89.51	1088.92	1313.23	1199.98	1073.91	738.29	1447.15	1313.23	796.86	1081.39	551.56	1111.82	1030.12	1051.79	595.34	921.88	1857.6	387.02	1081.39	928.3	890.44	1378.57	1151.06	470.14	1044.52	802.41	915.51	1359.57	1096.5	759.08	142.01	1143.1	1286.18	674.59	224.97	896.64	723.08	842.36	624.99	108.9	1015.93	118.43	224.97	1242.34	1096.5	152.28	521.76
SAMD13	136.19	86.43	412.0	105.15	228.13	158.79	100.13	759.08	403.5	759.08	733.19	591.22	693.58	738.29	493.56	543.96	529.06	457.25	525.39	660.68	775.05	139.07	941.27	733.19	529.06	743.43	511.0	121.79	244.57	463.65	332.14	808.0	297.17	738.29	660.68	392.44	376.41	248.0	819.3	688.78	301.33	674.59	283.05	102.97	493.56	813.63	248.0	780.44	490.14	591.22	503.95	126.12	454.09	723.08	753.83	490.14	249.73	651.58	684.02	389.72	647.07	723.08	532.74	616.37	819.3	713.11	753.83	947.83	733.19	1111.82	70.51	127.0	708.18	209.84	460.44	612.11	348.71	86.43	620.67	679.29	633.73	723.08	444.72	836.53	764.36	638.15	583.07	334.46	688.78	651.58	796.86	503.95	579.04	808.0	248.0	775.05	435.55	423.61	878.17	633.73	65.72	698.41	381.68	420.68	890.44	616.37	432.53	124.37	769.69	884.29	441.64	244.57	718.08	368.65	540.19	351.14	253.23	708.18	69.03	151.22	660.68	728.11	223.41	71.5
SATB2	170.25	283.05	981.29	420.68	514.56	379.04	624.99	2032.85	1909.85	2287.2	2047.0	1745.2	2451.44	1651.0	1757.34	2075.59	1457.23	1617.0	1685.71	2004.85	2032.85	271.48	2796.65	2209.26	2119.22	1781.89	1487.87	329.84	679.29	1467.37	791.35	2319.15	1340.84	2319.15	2451.44	1651.0	934.76	802.41	2061.24	2319.15	915.51	1870.53	802.41	329.84	1529.73	2485.67	854.13	2119.22	1191.69	1685.71	1350.18	253.23	1467.37	2997.45	2520.38	1745.2	381.68	2209.26	2148.82	890.44	2417.67	2209.26	1313.23	1963.57	2104.58	1757.34	1583.71	2720.15	2163.77	2434.5	162.14	376.41	2148.82	279.14	1745.2	2335.28	947.83	242.88	2485.67	2090.03	2240.11	2351.53	1551.09	2255.7	2119.22	1233.75	1883.54	941.27	2434.5	1745.2	1832.01	1781.89	2178.83	2468.49	1096.5	2119.22	1498.22	1397.83	1991.0	2271.4	152.28	1639.59	1477.58	1388.16	2400.97	1991.0	1605.83	281.09	2335.28	2090.03	1331.57	753.83	1909.85	1151.06	1819.35	1242.34	384.34	1685.71	189.02	387.02	2287.2	1963.57	688.78	84.04
SDF4	4575.41	2976.74	2047.0	4038.61	4481.23	4268.94	3901.01	4736.79	5255.91	5006.93	5791.62	6250.56	5255.91	4704.07	5403.7	4671.57	4358.66	5183.54	5006.93	5366.37	4836.35	3325.99	4575.41	4639.29	5872.48	5479.15	4972.34	3716.2	3874.05	4239.45	3716.2	5791.62	3540.14	5219.6	5517.27	5366.37	4152.18	4328.55	5633.22	5255.91	4358.66	6250.56	4419.52	3794.3	6079.61	5441.3	3280.18	5292.48	4937.99	5711.87	4736.79	4268.94	4704.07	5076.84	4802.93	4769.75	3742.05	5147.73	5219.6	3928.15	4639.29	5441.3	3820.7	4607.24	5112.16	4671.57	5329.3	4736.79	5995.9	5292.48	3124.78	3639.7	5183.54	3589.58	5183.54	5479.15	4575.41	3614.55	5041.77	5995.9	5872.48	4972.34	4123.49	4769.75	5913.33	5403.7	4769.75	4095.0	7180.15	5329.3	4769.75	3820.7	5219.6	4543.8	3491.39	4869.99	4358.66	5219.6	5517.27	4869.99	4095.0	5791.62	4328.55	3955.48	5219.6	5751.61	4671.57	3103.19	5329.3	5076.84	4066.71	3515.68	4836.35	4836.35	4298.64	4298.64	3257.52	5255.91	2682.69	3443.31	4903.87	4388.98	4328.55	2255.7
SHPK	152.28	181.28	132.44	165.57	187.71	204.07	212.78	255.0	253.23	305.55	226.54	199.85	232.94	215.77	309.83	271.48	234.57	248.0	258.57	289.02	249.73	139.07	255.0	329.84	318.57	336.79	283.05	108.9	149.12	197.09	161.02	334.46	221.86	320.8	289.02	231.32	165.57	194.36	323.03	305.55	215.77	307.69	152.28	171.45	309.83	283.05	145.02	307.69	228.13	323.03	189.02	157.68	220.32	260.38	244.57	212.78	121.79	277.2	273.37	201.25	507.46	332.14	232.94	204.07	273.37	255.0	309.83	262.2	293.07	312.0	87.03	133.36	287.01	178.77	260.38	348.71	239.52	126.12	249.73	271.48	312.0	293.07	248.0	244.57	361.04	291.04	325.29	201.25	287.01	325.29	305.55	220.32	307.69	325.29	144.01	281.09	269.6	182.55	283.05	332.14	182.55	314.17	181.28	231.32	241.19	206.94	248.0	106.63	318.57	307.69	185.11	202.66	249.73	178.77	214.27	204.07	178.77	249.73	66.18	102.97	291.04	226.54	181.28	135.24
SIAE	1819.35	1081.39	1191.69	921.88	1605.83	1709.26	1359.57	4010.71	2591.27	5112.16	3901.01	4038.61	4328.55	2915.45	3564.78	3742.05	3018.3	4010.71	4123.49	5441.3	3325.99	988.12	4450.27	3901.01	3874.05	4937.99	3190.46	866.07	1304.15	2451.44	1721.16	4802.93	1857.6	4869.99	4095.0	3794.3	2468.49	1709.26	4239.45	4328.55	1745.2	4328.55	1950.0	1151.06	3639.7	5633.22	896.64	5041.77	3103.19	4328.55	3540.14	1030.12	2591.27	3303.0	4512.4	3639.7	954.43	3955.48	4358.66	1857.6	3614.55	4328.55	2609.3	3589.58	4607.24	4210.15	4419.52	4419.52	4268.94	5479.15	555.41	1143.1	4095.0	1044.52	2895.31	4607.24	2468.49	688.78	4181.07	4903.87	4388.98	4181.07	2956.17	4239.45	5147.73	3589.58	4210.15	1977.24	3768.09	4095.0	4388.98	3060.45	4575.41	4123.49	1417.35	4210.15	3039.3	3349.13	4769.75	4038.61	703.28	4239.45	3018.3	2537.92	4095.0	4388.98	2796.65	571.05	4298.64	4972.34	2451.44	1167.14	4152.18	2573.36	2855.44	2255.7	981.29	3665.02	567.1	934.76	3716.2	3901.01	1757.34	444.72
SLC44A3	836.53	518.15	441.64	603.67	567.1	466.88	703.28	1191.69	1427.22	1561.89	1896.65	1709.26	1806.78	1477.58	1183.45	1540.37	1183.45	1208.34	967.76	1709.26	1111.82	529.06	1674.06	1583.71	1519.15	1295.13	1183.45	262.2	612.11	1208.34	802.41	1685.71	1030.12	1295.13	1745.2	1037.29	941.27	595.34	1757.34	1963.57	674.59	1674.06	825.0	214.27	1340.84	1857.6	423.61	1651.0	1225.22	1259.69	1313.23	575.03	1059.11	1963.57	1697.45	1313.23	316.37	1359.57	1359.57	915.51	1216.75	1259.69	1037.29	1806.78	1923.14	1369.04	1594.73	2178.83	1605.83	2104.58	256.78	483.38	1662.49	277.2	1268.46	1427.22	1081.39	237.86	1745.2	1225.22	1359.57	1963.57	928.3	2104.58	1745.2	1225.22	1259.69	902.89	1259.69	1697.45	1757.34	1175.27	1350.18	1369.04	579.04	1991.0	1088.92	1529.73	1551.09	1407.55	220.32	1617.0	1167.14	1037.29	2335.28	1605.83	995.0	320.8	1322.37	2018.8	967.76	595.34	1417.35	1183.45	1437.15	988.12	500.46	1359.57	246.28	423.61	1685.71	1709.26	842.36	629.35
SMPD3	896.64	358.54	104.42	441.64	406.31	426.57	334.46	1096.5	947.83	1081.39	1191.69	669.92	1216.75	878.17	974.5	1159.07	1151.06	928.3	785.88	1119.56	921.88	138.1	854.13	1104.13	1104.13	1175.27	921.88	242.88	373.81	587.13	532.74	1437.15	802.41	1304.15	1359.57	1001.93	638.15	532.74	1104.13	1127.35	780.44	1208.34	547.75	132.44	1216.75	1242.34	215.77	1397.83	748.61	941.27	525.39	275.28	884.29	928.3	1037.29	954.43	199.85	1268.46	1044.52	486.75	1135.2	1191.69	583.07	934.76	1135.2	988.12	934.76	1051.79	1561.89	1662.49	155.5	249.73	1437.15	237.86	1008.9	1059.11	780.44	195.72	1268.46	1167.14	1561.89	1111.82	583.07	1175.27	1313.23	1175.27	1051.79	441.64	1407.55	1008.9	1498.22	769.69	1233.75	1242.34	287.01	1175.27	1030.12	872.1	1073.91	1175.27	438.59	961.07	612.11	435.55	1233.75	1096.5	693.58	201.25	1295.13	1088.92	674.59	395.18	1111.82	665.29	1037.29	647.07	293.07	915.51	115.97	303.44	1088.92	842.36	417.77	169.07
SMPDL3B	629.35	135.24	62.12	118.43	698.41	283.05	267.73	1605.83	1378.57	1909.85	1977.24	1819.35	2209.26	1304.15	1359.57	1923.14	1159.07	1397.83	1639.59	2032.85	1605.83	146.03	1685.71	1457.23	1857.6	1639.59	1369.04	234.57	607.87	1183.45	764.36	1733.13	1059.11	1733.13	1950.0	1467.37	1001.93	583.07	2032.85	1519.15	890.44	1733.13	708.18	161.02	1685.71	1551.09	267.73	1733.13	1378.57	1561.89	1477.58	287.01	1277.29	1685.71	1583.71	1437.15	353.59	2090.03	1857.6	759.08	1628.26	1467.37	988.12	1529.73	1963.57	1617.0	1427.22	1594.73	2004.85	2148.82	50.63	232.94	1639.59	123.5	1233.75	1605.83	1151.06	158.79	1529.73	1651.0	2018.8	1909.85	1059.11	1806.78	1883.54	1457.23	1529.73	713.11	1651.0	1498.22	1709.26	1119.56	1757.34	1769.57	941.27	1781.89	1135.2	1733.13	1674.06	1757.34	285.03	1745.2	1159.07	1008.9	2047.0	1896.65	1216.75	169.07	1870.53	2240.11	890.44	438.59	1806.78	1183.45	1286.18	1073.91	295.11	1295.13	239.52	293.07	1923.14	1572.76	775.05	497.0
