	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.13YAN.0926.SM.5O9C3	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.14C38.0826.SM.5S2U8	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
MITF	41.81	3.96	20.26	39.79	30.34	28.04	24.81	23.08	12.83	36.79	32.59	6.94	16.63	99.43	11.21	15.45	62.56	7.94	40.36	555.41	559.28	339.14	547.75	376.41	373.81	289.02	373.81	1044.52	909.17	896.64	764.36	346.29	373.81	674.59	543.96	536.45	674.59	698.41	460.44	753.83	607.87	555.41	674.59	429.54	791.35	629.35	693.58	651.58	624.99	612.11	429.54	819.3	521.76	620.67	486.75	669.92	595.34	373.81	536.45	500.46	395.18	571.05	559.28	684.02	438.59	490.14	543.96	503.95	599.49	511.0	511.0	121.79	0.0	167.9	120.94	81.14	122.64	186.4	89.51	204.07	193.01	144.01	120.94	253.23	158.79	140.04	91.41
MTMR10	221.86	163.28	201.25	150.17	226.54	127.0	275.28	241.19	87.03	239.52	175.07	176.29	161.02	348.71	128.79	249.73	120.94	101.54	146.03	400.71	995.0	540.19	1044.52	759.08	848.22	759.08	1001.93	1427.22	1295.13	860.08	1617.0	507.46	559.28	808.0	928.3	1008.9	981.29	915.51	708.18	1001.93	860.08	842.36	1030.12	647.07	1111.82	1143.1	1208.34	981.29	1044.52	1104.13	753.83	896.64	733.19	764.36	928.3	878.17	1127.35	656.11	764.36	808.0	693.58	764.36	1023.0	967.76	775.05	813.63	1096.5	995.0	780.44	769.69	878.17	242.88	0.0	379.04	567.1	301.33	595.34	532.74	447.82	688.78	595.34	476.71	361.04	483.38	567.1	587.13	435.55
MUT	121.79	171.45	241.19	195.72	334.46	146.03	220.32	260.38	221.86	202.66	231.32	420.68	303.44	297.17	277.2	312.0	346.29	197.09	186.4	392.44	1008.9	1208.34	878.17	995.0	1477.58	785.88	1340.84	961.07	1322.37	1369.04	872.1	507.46	1015.93	1331.57	974.5	878.17	1015.93	954.43	612.11	1268.46	1277.29	1059.11	1225.22	1066.48	1529.73	1119.56	1208.34	1111.82	974.5	1051.79	947.83	1208.34	915.51	1073.91	738.29	1159.07	1037.29	896.64	878.17	802.41	1088.92	967.76	1119.56	848.22	1059.11	1322.37	1286.18	860.08	866.07	988.12	1159.07	688.78	0.0	409.15	275.28	307.69	358.54	423.61	371.22	426.57	406.31	417.77	318.57	518.15	429.54	258.57	575.03
NAT2	0.69	0.0	1.23	0.33	1.03	0.74	0.73	0.0	0.0	4.7	0.0	0.0	8.65	5.23	0.0	7.75	12.55	2.18	2.34	0.0	16.63	76.17	12.18	31.67	18.56	6.78	6.06	71.0	38.67	67.12	25.91	4.94	38.4	20.86	18.43	16.51	31.45	17.51	19.82	44.25	24.11	23.59	29.48	35.5	45.85	48.18	33.54	15.8	23.76	30.34	14.35	60.82	57.49	16.51	22.43	44.57	18.84	47.84	9.7	19.25	20.56	16.51	57.49	13.12	32.59	12.0	33.78	13.52	14.89	7.06	9.7	2271.4	0.0	0.0	1.22	2.53	0.0	0.0	0.0	0.0	0.0	0.59	0.0	2.1	0.88	1.95	0.85
NDUFS1	400.71	463.65	808.0	429.54	1233.75	457.25	406.31	642.59	435.55	224.97	332.14	579.04	476.71	896.64	723.08	775.05	733.19	195.72	490.14	890.44	2163.77	1991.0	1769.57	2209.26	2935.74	1159.07	2875.3	2417.67	2956.17	3742.05	2468.49	1561.89	2163.77	2796.65	2075.59	1781.89	1883.54	2047.0	2682.69	2664.15	2720.15	2255.7	2468.49	1923.14	3325.99	2720.15	2855.44	2502.97	1963.57	2367.9	2240.11	2468.49	1757.34	2537.92	1697.45	2240.11	2384.37	1617.0	1896.65	1950.0	2627.46	2193.99	2335.28	2178.83	2627.46	2434.5	3168.41	1909.85	2555.58	2178.83	2573.36	1119.56	0.0	591.22	587.13	624.99	563.18	612.11	525.39	674.59	595.34	769.69	473.41	902.89	679.29	532.74	743.43
NMNAT3	39.79	6.26	2.56	64.8	108.9	10.08	43.32	17.38	1.28	115.16	82.87	122.64	63.45	48.87	75.11	9.2	41.52	2.27	87.03	127.89	267.73	231.32	236.21	295.11	620.67	120.1	191.67	287.01	220.32	234.57	289.02	269.6	285.03	253.23	215.77	231.32	265.87	193.01	258.57	187.71	256.78	202.66	242.88	271.48	208.38	267.73	221.86	236.21	204.07	287.01	305.55	226.54	195.72	264.03	193.01	214.27	229.72	253.23	234.57	353.59	289.02	212.78	239.52	181.28	316.37	267.73	241.19	239.52	224.97	287.01	242.88	127.89	0.0	211.31	181.28	122.64	316.37	255.0	120.1	299.25	170.25	128.79	197.09	325.29	348.71	197.09	232.94
PACSIN2	473.41	435.55	591.22	579.04	435.55	693.58	624.99	642.59	543.96	493.56	466.88	884.29	543.96	819.3	669.92	713.11	476.71	412.0	708.18	1427.22	1781.89	780.44	1397.83	1127.35	2090.03	1322.37	2004.85	1685.71	2104.58	2104.58	1950.0	836.53	1295.13	1427.22	1397.83	1359.57	1487.87	1233.75	1781.89	1313.23	1561.89	1407.55	1313.23	1096.5	1359.57	1508.65	1709.26	1561.89	1457.23	1313.23	1143.1	1427.22	1259.69	1417.35	1447.15	1242.34	1378.57	1104.13	1313.23	1594.73	1605.83	1540.37	1427.22	1551.09	1923.14	1467.37	1605.83	1331.57	2075.59	1697.45	1662.49	1594.73	0.0	1199.98	947.83	974.5	1331.57	1378.57	967.76	1529.73	1242.34	1216.75	1044.52	1340.84	896.64	860.08	961.07
PARD6B	307.69	94.01	42.11	68.55	132.44	76.71	133.36	30.12	161.02	102.25	84.04	77.79	267.73	165.57	134.3	299.25	46.5	64.8	183.82	9.85	273.37	180.02	297.17	164.42	567.1	466.88	249.73	902.89	525.39	444.72	1407.55	186.4	409.15	429.54	361.04	435.55	463.65	389.72	264.03	368.65	327.56	423.61	409.15	299.25	748.61	525.39	521.76	444.72	567.1	473.41	483.38	563.18	256.78	389.72	262.2	426.57	490.14	438.59	312.0	414.87	293.07	351.14	518.15	389.72	318.57	543.96	444.72	332.14	327.56	525.39	432.53	57.89	140.04	105.89	80.01	38.4	57.08	104.42	80.57	126.12	130.6	96.68	72.01	127.89	88.88	90.14	78.89
PAXIP1-AS2	113.56	51.71	87.03	35.76	69.52	45.85	40.36	65.72	21.01	58.71	55.49	53.95	57.08	96.68	56.68	54.72	57.89	28.04	49.21	127.0	206.94	118.43	108.9	164.42	163.28	199.85	103.69	147.06	162.14	150.17	172.65	232.94	153.34	189.02	164.42	218.79	113.56	115.16	131.51	185.11	180.02	119.26	236.21	136.19	185.11	167.9	161.02	186.4	166.73	189.02	178.77	171.45	171.45	116.78	172.65	133.36	180.02	70.51	128.79	140.04	132.44	158.79	155.5	150.17	133.36	101.54	161.02	183.82	153.34	108.9	122.64	22.92	0.0	96.01	145.02	106.63	136.19	140.04	110.43	111.21	183.82	98.73	121.79	116.78	110.43	99.43	94.67
PHKB	660.68	480.04	651.58	373.81	450.94	543.96	500.46	688.78	540.19	551.56	379.04	660.68	432.53	507.46	320.8	633.73	473.41	441.64	454.09	624.99	1191.69	884.29	1096.5	1175.27	1447.15	1081.39	1286.18	1794.29	1378.57	1340.84	1572.76	1242.34	1059.11	1322.37	1151.06	1313.23	1183.45	1151.06	1437.15	1467.37	1437.15	1044.52	1304.15	1208.34	1572.76	1304.15	1322.37	1295.13	1233.75	1286.18	1350.18	1183.45	1359.57	1183.45	866.07	1225.22	1378.57	1037.29	1015.93	1159.07	1378.57	1111.82	1135.2	1096.5	1143.1	1073.91	1313.23	1104.13	1151.06	1008.9	1369.04	551.56	647.07	1104.13	733.19	638.15	921.88	830.75	753.83	1277.29	981.29	1225.22	703.28	981.29	1044.52	713.11	733.19
PKD2	201.25	59.97	171.45	68.07	194.36	39.22	88.26	88.26	62.56	182.55	138.1	202.66	223.41	205.5	102.25	199.85	84.04	43.02	100.13	723.08	1111.82	423.61	633.73	483.38	476.71	921.88	718.08	1051.79	1191.69	1159.07	2061.24	947.83	591.22	759.08	665.29	802.41	759.08	764.36	1081.39	1015.93	909.17	642.59	954.43	579.04	1242.34	896.64	769.69	934.76	819.3	981.29	764.36	802.41	878.17	688.78	872.1	860.08	1073.91	447.82	669.92	961.07	733.19	669.92	878.17	819.3	890.44	808.0	1135.2	791.35	974.5	866.07	974.5	108.9	0.0	229.72	309.83	239.52	406.31	420.68	363.56	547.75	426.57	397.93	232.94	417.77	325.29	334.46	346.29
PLCL1	9.85	0.99	6.21	1.28	5.15	4.06	17.0	4.98	5.77	15.34	11.82	2.1	10.08	11.91	2.07	20.41	9.93	1.89	5.73	180.02	688.78	748.61	620.67	540.19	1605.83	325.29	555.41	579.04	1066.48	1519.15	656.11	38.95	595.34	1073.91	759.08	860.08	981.29	521.76	656.11	1529.73	796.86	947.83	1388.16	759.08	1119.56	1167.14	1199.98	1159.07	884.29	713.11	775.05	1081.39	616.37	890.44	567.1	759.08	759.08	638.15	961.07	536.45	647.07	796.86	1001.93	748.61	555.41	896.64	764.36	555.41	403.5	743.43	825.0	4.82	0.0	74.06	68.07	28.04	107.38	100.83	23.76	153.34	46.5	71.5	38.12	50.27	79.45	42.71	100.13
PLCL2	30.34	8.85	28.24	4.5	10.96	8.19	20.41	10.79	5.82	14.24	9.7	1.85	45.21	29.7	57.49	46.5	24.99	58.71	16.15	68.07	353.59	239.52	309.83	269.6	753.83	116.78	417.77	289.02	395.18	426.57	229.72	154.42	291.04	329.84	226.54	320.8	346.29	267.73	395.18	381.68	414.87	336.79	341.51	303.44	511.0	447.82	463.65	299.25	318.57	356.05	318.57	400.71	387.02	334.46	366.09	438.59	457.25	269.6	301.33	353.59	343.89	277.2	334.46	303.44	336.79	420.68	420.68	253.23	329.84	351.14	423.61	109.66	0.0	112.77	43.63	64.8	72.52	114.36	54.72	48.18	77.25	56.28	34.75	115.16	85.82	69.52	41.22
PNMA1	346.29	154.42	33.06	96.01	251.48	698.41	170.25	217.27	190.34	122.64	249.73	56.68	193.01	473.41	157.68	234.57	186.4	500.46	145.02	703.28	1066.48	579.04	1081.39	791.35	921.88	947.83	1030.12	1151.06	1397.83	878.17	1359.57	336.79	733.19	909.17	915.51	1059.11	1037.29	878.17	967.76	928.3	961.07	954.43	981.29	748.61	890.44	1030.12	1044.52	928.3	1044.52	878.17	684.02	974.5	988.12	802.41	995.0	915.51	902.89	961.07	921.88	878.17	759.08	872.1	1127.35	878.17	813.63	660.68	830.75	842.36	995.0	872.1	848.22	624.99	232.94	518.15	432.53	303.44	351.14	633.73	297.17	470.14	497.0	587.13	348.71	842.36	500.46	277.2	583.07
PPARGC1A	1.38	0.0	0.33	0.0	7.75	4.03	2.89	0.39	0.0	0.33	1.85	18.43	0.36	3.63	4.66	1.19	1.04	0.33	1.03	83.45	769.69	567.1	723.08	559.28	2240.11	214.27	1096.5	759.08	1208.34	1447.15	420.68	37.32	656.11	1037.29	1059.11	769.69	748.61	808.0	669.92	1096.5	802.41	563.18	842.36	518.15	954.43	1030.12	1088.92	988.12	915.51	708.18	708.18	1023.0	507.46	521.76	579.04	620.67	921.88	521.76	698.41	551.56	633.73	878.17	728.11	825.0	536.45	624.99	1151.06	896.64	638.15	571.05	624.99	361.04	0.0	309.83	155.5	228.13	167.9	115.97	473.41	215.77	264.03	420.68	215.77	275.28	463.65	38.4	718.08
PPP2R3A	45.21	20.56	68.07	20.71	87.65	16.63	15.0	74.06	6.46	34.26	48.52	59.97	43.94	31.9	132.44	18.97	50.27	16.63	29.7	92.7	483.38	291.04	483.38	325.29	273.37	1250.98	656.11	633.73	775.05	642.59	2047.0	389.72	470.14	733.19	429.54	432.53	511.0	878.17	521.76	629.35	466.88	412.0	656.11	381.68	684.02	599.49	669.92	551.56	571.05	447.82	423.61	521.76	435.55	738.29	444.72	511.0	480.04	265.87	409.15	381.68	438.59	438.59	480.04	511.0	429.54	387.02	493.56	395.18	642.59	420.68	438.59	11.55	0.0	53.57	46.5	44.57	63.0	84.04	41.81	70.51	36.27	37.05	70.51	54.72	66.65	68.07	55.1
PREPL	486.75	177.53	409.15	138.1	463.65	412.0	356.05	397.93	366.09	314.17	432.53	450.94	343.89	532.74	435.55	490.14	293.07	165.57	223.41	624.99	1540.37	1350.18	1397.83	1457.23	1427.22	1159.07	1757.34	1832.01	1674.06	1923.14	1561.89	1250.98	1427.22	1605.83	1457.23	1340.84	1447.15	1605.83	1477.58	1733.13	1508.65	1572.76	1639.59	1397.83	2193.99	1572.76	1832.01	1617.0	1551.09	1551.09	1487.87	1844.76	1572.76	1322.37	1250.98	1457.23	1605.83	1151.06	1388.16	1135.2	1594.73	1369.04	1477.58	1295.13	1350.18	1551.09	1896.65	1216.75	1331.57	1277.29	1551.09	208.38	0.0	842.36	1167.14	743.43	2148.82	1143.1	813.63	1397.83	1397.83	1001.93	995.0	1167.14	1277.29	1250.98	1286.18
PRKAA2	1.38	1.97	2.51	0.34	5.11	3.69	2.92	0.4	0.33	3.79	2.97	0.92	65.72	3.32	14.24	1.6	2.43	0.0	0.0	65.72	269.6	211.31	255.0	206.94	447.82	323.03	246.28	447.82	241.19	312.0	435.55	206.94	293.07	423.61	312.0	332.14	400.71	346.29	336.79	493.56	329.84	353.59	432.53	301.33	450.94	441.64	400.71	438.59	379.04	314.17	387.02	400.71	332.14	283.05	202.66	309.83	303.44	209.84	275.28	229.72	269.6	293.07	384.34	285.03	305.55	305.55	348.71	229.72	237.86	251.48	265.87	10.08	0.0	56.68	78.34	33.06	136.19	55.49	79.45	142.01	59.55	46.18	68.55	52.82	68.07	87.65	45.53
PSKH1	521.76	287.01	343.89	320.8	373.81	170.25	412.0	166.73	242.88	400.71	251.48	332.14	239.52	289.02	395.18	177.53	366.09	239.52	198.47	679.29	723.08	540.19	521.76	540.19	450.94	733.19	1008.9	688.78	1088.92	947.83	708.18	435.55	579.04	616.37	595.34	521.76	532.74	429.54	607.87	693.58	591.22	587.13	543.96	450.94	651.58	656.11	638.15	629.35	525.39	473.41	567.1	723.08	395.18	473.41	417.77	500.46	638.15	540.19	872.1	738.29	633.73	723.08	819.3	890.44	785.88	616.37	813.63	825.0	713.11	896.64	708.18	237.86	0.0	563.18	351.14	486.75	497.0	536.45	629.35	353.59	521.76	579.04	392.44	595.34	412.0	579.04	529.06
QRSL1	79.45	80.57	63.45	95.34	118.43	50.63	161.02	148.09	100.13	85.82	119.26	133.36	59.55	146.03	145.02	110.43	117.6	177.53	147.06	111.99	251.48	190.34	190.34	251.48	351.14	169.07	277.2	241.19	295.11	279.14	389.72	237.86	236.21	255.0	265.87	242.88	248.0	287.01	226.54	316.37	283.05	228.13	248.0	232.94	255.0	283.05	232.94	277.2	220.32	223.41	194.36	287.01	204.07	189.02	217.27	269.6	202.66	239.52	214.27	228.13	248.0	220.32	215.77	181.28	211.31	246.28	237.86	202.66	223.41	211.31	199.85	145.02	0.0	212.78	189.02	128.79	211.31	220.32	176.29	237.86	199.85	173.85	129.69	197.09	163.28	157.68	193.01
RASSF8	57.49	36.27	33.78	5.82	86.43	30.78	32.36	13.93	41.52	47.5	81.14	12.36	136.19	63.89	23.25	54.72	27.25	13.93	44.89	361.04	480.04	325.29	473.41	329.84	1119.56	224.97	414.87	764.36	463.65	599.49	723.08	205.5	579.04	872.1	595.34	713.11	665.29	656.11	511.0	748.61	583.07	432.53	656.11	486.75	759.08	674.59	575.03	860.08	684.02	583.07	511.0	607.87	567.1	679.29	536.45	547.75	603.67	285.03	532.74	420.68	490.14	476.71	454.09	414.87	473.41	497.0	684.02	500.46	521.76	486.75	470.14	156.59	0.0	143.01	162.14	87.65	129.69	145.02	181.28	180.02	156.59	110.43	92.7	175.07	153.34	166.73	119.26
RBM47	457.25	426.57	1008.9	470.14	902.89	343.89	579.04	363.56	872.1	603.67	511.0	603.67	1233.75	1340.84	759.08	988.12	830.75	1030.12	961.07	149.12	2018.8	1143.1	1651.0	1331.57	3103.19	1572.76	2485.67	3690.52	2855.44	3690.52	3491.39	896.64	1819.35	2209.26	1794.29	2061.24	2075.59	1923.14	1781.89	2303.12	2148.82	2133.97	2287.2	1883.54	2591.27	2609.3	2335.28	2163.77	2163.77	2061.24	1819.35	2485.67	1733.13	2018.8	1437.15	2271.4	2434.5	1709.26	1721.16	1923.14	1709.26	1963.57	2555.58	2047.0	2193.99	2319.15	2434.5	1639.59	2255.7	2271.4	2417.67	363.56	571.05	1250.98	954.43	1066.48	1119.56	1529.73	988.12	1529.73	1583.71	1721.16	1340.84	1674.06	1561.89	1135.2	1508.65
SALL1	8.58	2.27	7.82	3.2	7.88	2.23	17.13	5.77	6.41	7.88	19.68	3.29	14.56	33.78	6.46	18.97	16.27	0.0	12.83	1.06	921.88	708.18	802.41	612.11	341.51	1551.09	1001.93	1286.18	1733.13	2468.49	1628.26	316.37	1216.75	1259.69	599.49	563.18	500.46	780.44	780.44	1225.22	713.11	733.19	1059.11	878.17	819.3	909.17	743.43	775.05	791.35	642.59	1242.34	1066.48	384.34	529.06	429.54	403.5	629.35	813.63	836.53	493.56	693.58	860.08	1073.91	620.67	872.1	651.58	1199.98	674.59	728.11	638.15	647.07	178.77	0.0	723.08	693.58	182.55	218.79	743.43	497.0	703.28	1963.57	447.82	438.59	1331.57	624.99	872.1	633.73
SEMA6D	17.0	1.97	4.06	2.89	9.2	2.97	23.42	8.78	2.16	28.45	5.96	2.41	7.11	17.9	9.41	32.82	4.5	1.28	7.75	115.97	379.04	269.6	244.57	229.72	251.48	171.45	638.15	267.73	808.0	813.63	273.37	6.73	153.34	633.73	486.75	480.04	441.64	171.45	242.88	961.07	470.14	293.07	591.22	167.9	483.38	567.1	693.58	563.18	460.44	332.14	409.15	791.35	127.0	231.32	237.86	176.29	441.64	287.01	460.44	140.04	269.6	493.56	638.15	329.84	145.02	215.77	620.67	460.44	169.07	256.78	289.02	29.06	0.0	112.77	98.04	65.26	271.48	339.14	50.63	204.07	318.57	264.03	37.85	228.13	323.03	120.1	57.08
SETD3	651.58	473.41	796.86	438.59	1111.82	651.58	674.59	529.06	629.35	420.68	819.3	743.43	796.86	819.3	738.29	1397.83	406.31	748.61	723.08	995.0	2178.83	1991.0	2303.12	2004.85	4095.0	1191.69	2351.53	2351.53	2573.36	2997.45	2627.46	1322.37	2468.49	2591.27	1617.0	2133.97	1950.0	2178.83	2287.2	2627.46	2351.53	2287.2	2537.92	2351.53	3103.19	2502.97	2400.97	2178.83	2090.03	2303.12	2148.82	2255.7	1923.14	2384.37	1639.59	2287.2	2240.11	1909.85	1844.76	2133.97	2758.13	1896.65	2271.4	1794.29	2303.12	2591.27	2609.3	1909.85	1794.29	2193.99	2384.37	638.15	0.0	1225.22	1001.93	1167.14	1059.11	1135.2	981.29	1551.09	1015.93	1059.11	1350.18	1313.23	1104.13	842.36	1340.84
SNX24	133.36	125.24	202.66	191.67	267.73	146.03	107.38	136.19	27.05	195.72	277.2	181.28	312.0	269.6	105.15	201.25	185.11	127.0	177.53	256.78	426.57	420.68	483.38	493.56	1088.92	339.14	454.09	651.58	651.58	651.58	376.41	420.68	518.15	457.25	447.82	476.71	417.77	400.71	400.71	389.72	429.54	432.53	521.76	500.46	555.41	480.04	435.55	470.14	466.88	497.0	409.15	454.09	521.76	497.0	450.94	480.04	429.54	392.44	371.22	412.0	486.75	403.5	361.04	389.72	384.34	441.64	371.22	363.56	346.29	325.29	420.68	466.88	368.65	262.2	371.22	325.29	395.18	271.48	351.14	400.71	314.17	327.56	312.0	309.83	423.61	320.8	241.19
SNX29	193.01	88.26	55.49	67.59	117.6	96.68	117.6	146.03	119.26	104.42	147.06	84.63	117.6	175.07	69.03	127.89	164.42	77.25	134.3	199.85	688.78	307.69	587.13	334.46	1407.55	486.75	1096.5	872.1	624.99	791.35	579.04	543.96	1073.91	1199.98	579.04	669.92	633.73	529.06	708.18	872.1	669.92	536.45	928.3	612.11	974.5	796.86	896.64	665.29	674.59	571.05	656.11	848.22	490.14	785.88	441.64	656.11	759.08	289.02	483.38	679.29	703.28	555.41	764.36	679.29	713.11	819.3	1023.0	651.58	743.43	796.86	796.86	26.1	0.0	221.86	109.66	119.26	146.03	157.68	220.32	205.5	143.01	183.82	205.5	149.12	134.3	147.06	201.25
SOX6	3.76	0.35	0.96	0.0	9.48	2.97	6.89	5.36	2.14	7.22	4.82	4.17	4.39	13.12	3.53	12.93	11.64	0.34	0.36	11.91	329.84	169.07	264.03	169.07	688.78	176.29	325.29	384.34	406.31	412.0	796.86	18.16	312.0	376.41	244.57	336.79	283.05	226.54	371.22	409.15	297.17	202.66	339.14	248.0	384.34	339.14	301.33	318.57	312.0	303.44	281.09	381.68	303.44	262.2	258.57	289.02	327.56	115.97	220.32	269.6	241.19	214.27	251.48	255.0	285.03	248.0	341.51	234.57	346.29	256.78	262.2	124.37	0.0	33.3	28.04	20.86	66.18	48.52	29.06	85.82	43.63	33.78	55.89	75.64	35.5	26.86	42.41
STK32B	6.78	1.64	2.51	1.93	4.78	12.45	6.52	4.98	3.66	4.43	6.26	0.0	5.06	17.38	0.61	11.3	4.46	2.2	9.34	31.22	341.51	341.51	289.02	392.44	476.71	400.71	147.06	180.02	460.44	457.25	764.36	291.04	242.88	497.0	346.29	417.77	327.56	265.87	392.44	679.29	392.44	409.15	480.04	420.68	435.55	660.68	511.0	518.15	361.04	343.89	376.41	480.04	264.03	381.68	262.2	262.2	368.65	348.71	417.77	279.14	392.44	463.65	441.64	490.14	356.05	397.93	392.44	246.28	423.61	277.2	490.14	6.11	0.0	33.3	9.13	7.4	28.45	14.14	55.89	9.7	37.85	46.84	30.12	60.82	22.1	22.43	23.59
TCTA	447.82	511.0	353.59	429.54	665.29	633.73	575.03	460.44	371.22	384.34	1023.0	532.74	836.53	866.07	543.96	493.56	693.58	287.01	693.58	780.44	1551.09	2178.83	1369.04	2119.22	2720.15	1143.1	2855.44	2875.3	2090.03	2163.77	1519.15	961.07	1819.35	1397.83	1397.83	1477.58	1572.76	1350.18	1832.01	1529.73	1685.71	1437.15	1417.35	1832.01	1529.73	1572.76	1594.73	1551.09	1447.15	1605.83	2133.97	1508.65	1477.58	1572.76	1407.55	1447.15	1519.15	1369.04	1651.0	1437.15	1733.13	1733.13	1769.57	1529.73	1745.2	1721.16	1572.76	1639.59	1757.34	1844.76	1745.2	1199.98	0.0	2061.24	813.63	1295.13	1015.93	1369.04	1015.93	1540.37	1242.34	1806.78	1561.89	1628.26	860.08	981.29	1199.98
TCTN3	463.65	409.15	848.22	339.14	490.14	348.71	603.67	579.04	647.07	543.96	373.81	555.41	323.03	629.35	480.04	775.05	429.54	356.05	457.25	656.11	1073.91	759.08	961.07	1111.82	753.83	703.28	1191.69	1030.12	1467.37	1313.23	947.83	1794.29	860.08	836.53	1051.79	842.36	1001.93	1008.9	954.43	954.43	967.76	1030.12	961.07	808.0	1104.13	872.1	1081.39	1044.52	988.12	967.76	878.17	1030.12	1023.0	819.3	1225.22	1066.48	1066.48	848.22	954.43	941.27	921.88	1037.29	981.29	866.07	902.89	902.89	896.64	909.17	1015.93	836.53	988.12	607.87	0.0	1233.75	753.83	759.08	693.58	1191.69	909.17	587.13	1208.34	1340.84	954.43	1044.52	647.07	688.78	1143.1
TM4SF18	45.53	16.88	54.33	27.64	72.01	8.19	223.41	38.4	90.14	202.66	48.87	37.32	115.97	70.51	25.17	223.41	50.63	12.83	73.54	48.52	651.58	532.74	642.59	620.67	529.06	215.77	231.32	412.0	743.43	314.17	728.11	6381.92	514.56	341.51	420.68	514.56	860.08	819.3	764.36	743.43	503.95	616.37	595.34	836.53	536.45	500.46	738.29	651.58	660.68	780.44	775.05	579.04	1199.98	497.0	988.12	718.08	665.29	607.87	368.65	775.05	579.04	595.34	503.95	368.65	503.95	503.95	486.75	368.65	708.18	283.05	444.72	111.99	0.0	277.2	70.51	40.36	332.14	353.59	38.12	85.22	215.77	190.34	191.67	123.5	432.53	115.16	114.36
