	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
NR2C2	217.27	100.83	35.25	93.35	204.07	77.25	57.08	88.26	121.79	181.28	60.82	81.14	293.07	43.32	157.68	181.28	143.01	82.29	92.7	94.67	96.68	59.55	127.89	59.97	45.85	158.79	120.1	69.03	49.21	163.28	90.77	155.5	96.01	114.36	82.87	123.5	47.17	34.26	108.9	53.57	224.97	27.64	127.89	114.36	92.05	66.65	95.34	96.01	163.28	171.45	95.34	113.56	251.48	122.64	64.8	163.28	181.28	139.07	132.44	267.73	39.79	100.83	197.09	55.89	82.29	221.86	99.43	76.71	110.43	55.1	94.01	37.85	104.42	63.89	67.12	140.04	60.39	171.45	119.26	153.34	221.86	49.21	169.07	212.78
NSUN3	183.82	147.06	106.63	122.64	215.77	102.25	143.01	169.07	108.14	166.73	117.6	140.04	208.38	103.69	115.97	180.02	157.68	111.21	104.42	102.25	137.14	152.28	120.1	117.6	112.77	211.31	154.42	120.94	118.43	152.28	162.14	151.22	143.01	139.07	173.85	164.42	66.18	86.43	159.9	92.7	236.21	73.54	150.17	139.07	137.14	105.15	162.14	125.24	189.02	152.28	96.68	131.51	172.65	137.14	134.3	176.29	193.01	143.01	147.06	202.66	94.67	112.77	197.09	118.43	126.12	176.29	121.79	84.63	132.44	124.37	139.07	111.21	97.36	105.15	131.51	122.64	108.9	195.72	175.07	129.69	186.4	115.16	163.28	183.82
NUP153	379.04	343.89	112.77	246.28	476.71	209.84	198.47	253.23	320.8	441.64	208.38	234.57	409.15	208.38	248.0	358.54	265.87	208.38	246.28	171.45	285.03	253.23	253.23	165.57	211.31	371.22	293.07	215.77	195.72	253.23	320.8	299.25	251.48	248.0	329.84	341.51	117.6	114.36	241.19	119.26	423.61	189.02	258.57	241.19	239.52	251.48	226.54	283.05	336.79	287.01	195.72	258.57	473.41	260.38	186.4	348.71	361.04	185.11	236.21	371.22	140.04	228.13	381.68	176.29	218.79	305.55	228.13	202.66	273.37	199.85	198.47	144.01	194.36	177.53	165.57	246.28	189.02	351.14	269.6	283.05	420.68	218.79	358.54	373.81
OGFOD1	571.05	438.59	279.14	490.14	599.49	336.79	435.55	228.13	414.87	785.88	312.0	447.82	629.35	414.87	395.18	503.95	412.0	438.59	293.07	187.71	480.04	454.09	371.22	180.02	397.93	567.1	511.0	336.79	281.09	353.59	379.04	511.0	447.82	392.44	514.56	470.14	236.21	198.47	414.87	281.09	718.08	177.53	507.46	371.22	305.55	262.2	353.59	309.83	555.41	447.82	314.17	373.81	674.59	490.14	346.29	633.73	571.05	271.48	400.71	629.35	277.2	457.25	583.07	363.56	373.81	563.18	336.79	318.57	373.81	376.41	366.09	283.05	269.6	215.77	291.04	450.94	334.46	567.1	417.77	493.56	693.58	409.15	665.29	713.11
OTUD4	299.25	237.86	61.25	169.07	361.04	115.16	154.42	183.82	285.03	406.31	142.01	162.14	343.89	134.3	195.72	273.37	182.55	131.51	197.09	117.6	182.55	175.07	178.77	126.12	125.24	356.05	162.14	149.12	158.79	251.48	211.31	253.23	148.09	187.71	231.32	303.44	77.79	84.04	186.4	105.15	381.68	72.52	165.57	149.12	138.1	108.14	175.07	251.48	255.0	185.11	141.02	181.28	329.84	190.34	146.03	325.29	301.33	151.22	197.09	301.33	85.82	180.02	371.22	126.12	176.29	206.94	159.9	157.68	175.07	111.21	175.07	92.7	197.09	128.79	127.0	157.68	150.17	287.01	221.86	217.27	389.72	151.22	273.37	277.2
OXSR1	551.56	397.93	275.28	423.61	480.04	435.55	341.51	432.53	373.81	521.76	353.59	397.93	511.0	348.71	417.77	444.72	420.68	395.18	353.59	271.48	423.61	341.51	329.84	329.84	450.94	473.41	373.81	356.05	353.59	438.59	381.68	457.25	351.14	406.31	511.0	497.0	273.37	242.88	409.15	289.02	599.49	309.83	400.71	358.54	366.09	323.03	395.18	435.55	497.0	376.41	366.09	412.0	476.71	441.64	363.56	460.44	503.95	368.65	373.81	507.46	214.27	397.93	490.14	341.51	412.0	444.72	392.44	363.56	358.54	371.22	389.72	339.14	447.82	318.57	339.14	379.04	373.81	450.94	389.72	420.68	567.1	343.89	536.45	490.14
PAK2	878.17	497.0	336.79	563.18	796.86	381.68	426.57	503.95	486.75	848.22	470.14	486.75	848.22	547.75	521.76	591.22	603.67	480.04	493.56	329.84	503.95	466.88	379.04	381.68	543.96	713.11	551.56	503.95	417.77	463.65	358.54	813.63	460.44	480.04	759.08	693.58	267.73	275.28	486.75	379.04	860.08	368.65	563.18	511.0	540.19	529.06	486.75	529.06	656.11	555.41	389.72	339.14	854.13	460.44	395.18	743.43	638.15	441.64	490.14	785.88	417.77	420.68	575.03	241.19	423.61	642.59	412.0	409.15	579.04	497.0	466.88	397.93	483.38	406.31	341.51	514.56	353.59	603.67	438.59	599.49	775.05	426.57	563.18	688.78
PAXIP1-AS2	204.07	97.36	44.25	138.1	189.02	86.43	64.34	93.35	94.01	166.73	105.89	105.89	176.29	65.72	123.5	193.01	116.78	98.04	108.14	98.73	99.43	93.35	106.63	71.5	85.22	199.85	71.0	108.9	45.21	78.34	82.29	156.59	87.65	103.69	121.79	139.07	22.26	49.21	127.0	50.27	193.01	51.35	101.54	66.18	96.01	93.35	150.17	120.1	148.09	125.24	72.01	85.82	162.14	99.43	70.01	127.0	181.28	131.51	99.43	124.37	46.5	114.36	149.12	63.89	82.87	133.36	93.35	55.89	143.01	95.34	75.64	49.91	43.32	59.13	88.26	94.67	96.01	190.34	136.19	113.56	186.4	80.01	176.29	228.13
PBRM1	633.73	262.2	135.24	334.46	607.87	221.86	221.86	283.05	262.2	620.67	249.73	279.14	708.18	218.79	343.89	406.31	395.18	229.72	277.2	221.86	327.56	267.73	312.0	178.77	260.38	429.54	323.03	258.57	217.27	348.71	295.11	463.65	346.29	312.0	423.61	483.38	120.94	133.36	293.07	157.68	703.28	201.25	384.34	260.38	269.6	212.78	218.79	287.01	435.55	429.54	228.13	249.73	703.28	363.56	249.73	529.06	497.0	299.25	353.59	633.73	140.04	299.25	591.22	217.27	255.0	429.54	258.57	241.19	295.11	220.32	277.2	176.29	253.23	194.36	186.4	414.87	231.32	493.56	316.37	426.57	629.35	239.52	420.68	529.06
PIAS1	878.17	323.03	180.02	363.56	802.41	267.73	356.05	466.88	295.11	836.53	412.0	447.82	624.99	226.54	336.79	466.88	348.71	301.33	392.44	195.72	368.65	497.0	312.0	329.84	371.22	785.88	305.55	353.59	291.04	341.51	336.79	480.04	332.14	426.57	521.76	616.37	129.69	194.36	353.59	265.87	718.08	264.03	366.09	316.37	316.37	209.84	312.0	303.44	514.56	579.04	287.01	379.04	551.56	320.8	373.81	633.73	599.49	376.41	368.65	595.34	228.13	371.22	703.28	291.04	389.72	616.37	373.81	208.38	353.59	237.86	384.34	224.97	303.44	253.23	269.6	363.56	397.93	595.34	480.04	536.45	860.08	341.51	743.43	769.69
PJA2	2119.22	1143.1	587.13	1340.84	1781.89	981.29	1023.0	974.5	848.22	2271.4	1216.75	1175.27	1781.89	934.76	1066.48	1540.37	1242.34	961.07	1191.69	387.02	1225.22	1407.55	1023.0	708.18	1001.93	743.43	1073.91	967.76	1066.48	1216.75	1350.18	1417.35	1023.0	1104.13	2148.82	1242.34	395.18	500.46	1268.46	665.29	1950.0	450.94	1295.13	1159.07	753.83	947.83	1119.56	995.0	1721.16	1397.83	718.08	728.11	1883.54	1119.56	860.08	2163.77	1487.87	961.07	1104.13	1540.37	575.03	1037.29	1883.54	450.94	1199.98	1378.57	1151.06	928.3	1023.0	813.63	1233.75	878.17	785.88	693.58	947.83	1088.92	842.36	1781.89	1388.16	1457.23	2178.83	1268.46	1757.34	2335.28
POLA1	133.36	80.01	60.82	81.14	155.5	88.26	70.01	75.64	84.63	133.36	102.25	82.87	136.19	61.25	98.04	108.14	87.65	72.01	69.52	82.29	105.15	94.67	66.18	72.52	76.71	120.94	84.63	95.34	90.14	107.38	90.14	102.97	61.68	102.25	102.97	129.69	75.11	65.72	77.79	66.65	130.6	57.08	118.43	75.11	112.77	67.12	88.26	107.38	94.01	108.14	100.83	82.87	118.43	82.29	80.01	108.9	119.26	78.89	102.25	131.51	60.82	100.83	145.02	82.29	76.17	110.43	84.63	78.89	84.04	91.41	64.8	63.45	66.18	72.01	57.08	88.88	71.5	136.19	110.43	98.73	137.14	79.45	115.97	120.1
POLH	122.64	53.19	59.13	82.29	117.6	70.01	81.71	105.15	61.68	131.51	86.43	81.71	140.04	67.59	92.05	121.79	99.43	62.12	78.34	66.18	76.71	98.04	115.16	49.21	60.39	123.5	78.89	68.55	62.12	110.43	62.12	87.65	100.13	119.26	54.33	105.89	40.07	42.11	124.37	44.25	141.02	35.76	91.41	60.39	107.38	74.58	74.58	82.87	148.09	106.63	74.06	94.67	126.12	91.41	86.43	134.3	176.29	91.41	87.65	149.12	65.72	73.54	110.43	52.08	85.22	114.36	143.01	73.54	81.14	76.71	99.43	63.89	77.25	98.04	63.45	87.65	75.64	177.53	98.04	106.63	195.72	75.11	161.02	140.04
PRDM2	521.76	454.09	172.65	420.68	575.03	301.33	307.69	341.51	426.57	571.05	312.0	389.72	607.87	305.55	450.94	525.39	336.79	339.14	361.04	356.05	387.02	454.09	476.71	231.32	289.02	514.56	353.59	348.71	283.05	555.41	343.89	420.68	255.0	353.59	389.72	426.57	186.4	279.14	397.93	248.0	629.35	195.72	420.68	325.29	325.29	253.23	361.04	339.14	384.34	426.57	368.65	414.87	529.06	435.55	316.37	500.46	493.56	397.93	412.0	571.05	260.38	423.61	525.39	343.89	376.41	483.38	387.02	279.14	332.14	258.57	363.56	275.28	351.14	305.55	329.84	395.18	343.89	551.56	432.53	423.61	583.07	325.29	567.1	476.71
PREPL	915.51	536.45	420.68	647.07	842.36	379.04	547.75	500.46	454.09	1477.58	583.07	547.75	915.51	503.95	599.49	780.44	854.13	647.07	748.61	376.41	679.29	599.49	713.11	363.56	493.56	825.0	679.29	563.18	591.22	796.86	915.51	718.08	607.87	988.12	819.3	928.3	318.57	275.28	543.96	447.82	967.76	291.04	633.73	599.49	808.0	629.35	514.56	540.19	764.36	669.92	503.95	441.64	1023.0	688.78	521.76	928.3	921.88	738.29	547.75	796.86	363.56	555.41	909.17	521.76	543.96	848.22	559.28	684.02	536.45	327.56	738.29	376.41	450.94	466.88	460.44	633.73	490.14	764.36	708.18	713.11	961.07	595.34	884.29	909.17
PRPF4B	733.19	647.07	301.33	514.56	1175.27	483.38	403.5	647.07	651.58	854.13	642.59	563.18	796.86	368.65	642.59	819.3	555.41	521.76	620.67	547.75	521.76	426.57	656.11	432.53	397.93	961.07	642.59	521.76	514.56	842.36	660.68	595.34	620.67	587.13	669.92	633.73	400.71	409.15	651.58	366.09	974.5	444.72	579.04	624.99	555.41	454.09	633.73	587.13	599.49	490.14	470.14	587.13	785.88	679.29	470.14	698.41	688.78	656.11	575.03	842.36	329.84	633.73	813.63	441.64	547.75	679.29	493.56	500.46	579.04	500.46	463.65	271.48	669.92	497.0	591.22	497.0	547.75	620.67	624.99	555.41	728.11	379.04	738.29	624.99
PTPRG	368.65	84.63	46.5	167.9	201.25	56.68	100.83	92.7	103.69	441.64	77.25	79.45	275.28	119.26	156.59	206.94	171.45	136.19	316.37	91.41	73.03	118.43	127.89	81.71	103.69	148.09	111.99	84.04	57.89	164.42	149.12	181.28	133.36	127.89	156.59	115.16	15.0	50.98	69.03	96.01	232.94	66.18	178.77	144.01	164.42	205.5	120.1	84.63	218.79	136.19	115.16	67.12	171.45	204.07	105.15	165.57	301.33	162.14	135.24	249.73	49.91	98.73	368.65	94.01	147.06	332.14	127.89	108.9	167.9	68.55	206.94	62.56	103.69	94.67	76.71	95.34	82.87	167.9	105.89	131.51	314.17	81.14	202.66	353.59
PURA	376.41	265.87	128.79	267.73	412.0	211.31	293.07	194.36	206.94	327.56	197.09	246.28	414.87	285.03	287.01	312.0	297.17	209.84	277.2	145.02	285.03	316.37	205.5	193.01	255.0	297.17	291.04	248.0	166.73	275.28	258.57	269.6	199.85	244.57	325.29	341.51	142.01	152.28	262.2	145.02	379.04	163.28	279.14	187.71	220.32	318.57	281.09	215.77	329.84	285.03	144.01	142.01	339.14	232.94	183.82	426.57	332.14	320.8	275.28	343.89	173.85	201.25	366.09	89.51	249.73	309.83	232.94	220.32	231.32	176.29	228.13	248.0	217.27	232.94	264.03	269.6	182.55	395.18	264.03	327.56	420.68	275.28	316.37	392.44
RABL3	444.72	312.0	239.52	395.18	521.76	305.55	234.57	348.71	293.07	583.07	241.19	299.25	447.82	251.48	318.57	348.71	429.54	273.37	384.34	175.07	289.02	314.17	381.68	285.03	279.14	463.65	320.8	285.03	232.94	323.03	361.04	334.46	318.57	346.29	483.38	392.44	187.71	185.11	334.46	199.85	503.95	187.71	346.29	332.14	336.79	305.55	264.03	289.02	381.68	363.56	198.47	201.25	514.56	412.0	285.03	483.38	417.77	363.56	323.03	444.72	241.19	312.0	470.14	351.14	262.2	246.28	291.04	265.87	253.23	295.11	320.8	231.32	180.02	275.28	208.38	271.48	299.25	395.18	332.14	403.5	540.19	299.25	450.94	409.15
RASA1	325.29	273.37	153.34	285.03	500.46	114.36	205.5	271.48	297.17	483.38	339.14	236.21	450.94	220.32	312.0	414.87	295.11	248.0	173.85	194.36	285.03	234.57	305.55	187.71	221.86	412.0	279.14	258.57	267.73	336.79	346.29	373.81	258.57	309.83	309.83	387.02	100.13	144.01	305.55	147.06	521.76	112.77	346.29	287.01	271.48	158.79	277.2	327.56	305.55	336.79	221.86	234.57	381.68	285.03	211.31	403.5	348.71	267.73	281.09	417.77	104.42	297.17	432.53	241.19	249.73	234.57	279.14	211.31	325.29	130.6	239.52	189.02	251.48	229.72	217.27	303.44	215.77	381.68	346.29	343.89	420.68	214.27	403.5	400.71
RBM12B	255.0	136.19	44.89	127.0	339.14	109.66	88.88	98.73	122.64	303.44	129.69	144.01	309.83	98.73	180.02	176.29	145.02	100.13	128.79	98.04	159.9	85.82	178.77	66.18	105.15	214.27	161.02	124.37	110.43	253.23	150.17	176.29	117.6	146.03	159.9	183.82	62.12	49.91	183.82	57.49	267.73	84.63	155.5	150.17	88.26	85.22	125.24	176.29	228.13	166.73	105.15	131.51	244.57	157.68	100.13	218.79	197.09	152.28	209.84	232.94	81.71	146.03	264.03	73.54	91.41	178.77	115.97	91.41	167.9	91.41	109.66	38.12	146.03	102.25	111.99	131.51	89.51	169.07	171.45	127.0	169.07	72.01	183.82	187.71
RBM41	181.28	93.35	59.55	119.26	217.27	114.36	75.11	113.56	90.77	197.09	116.78	110.43	169.07	80.57	117.6	156.59	126.12	111.99	108.14	100.13	105.15	65.72	109.66	102.25	73.54	177.53	96.68	110.43	82.87	137.14	156.59	98.73	87.65	123.5	93.35	120.94	69.03	56.68	120.1	82.29	195.72	71.5	139.07	116.78	115.97	101.54	100.83	142.01	130.6	128.79	90.14	85.22	157.68	129.69	85.82	133.36	152.28	135.24	115.97	169.07	69.52	116.78	183.82	59.97	102.25	115.97	117.6	103.69	116.78	108.9	89.51	72.52	143.01	81.71	94.67	111.21	76.17	151.22	133.36	134.3	158.79	70.51	182.55	128.79
REST	301.33	141.02	95.34	185.11	336.79	146.03	187.71	162.14	197.09	341.51	197.09	175.07	361.04	158.79	190.34	267.73	239.52	152.28	173.85	166.73	182.55	176.29	171.45	115.97	143.01	241.19	172.65	180.02	185.11	197.09	262.2	217.27	141.02	189.02	258.57	277.2	99.43	91.41	215.77	112.77	426.57	100.83	211.31	190.34	172.65	80.57	187.71	229.72	237.86	244.57	137.14	166.73	231.32	194.36	173.85	299.25	271.48	180.02	185.11	341.51	111.99	159.9	325.29	159.9	180.02	161.02	183.82	159.9	183.82	159.9	185.11	122.64	122.64	150.17	139.07	195.72	143.01	305.55	212.78	228.13	297.17	169.07	218.79	334.46
RHBDD1	466.88	255.0	177.53	353.59	403.5	258.57	305.55	271.48	264.03	486.75	214.27	283.05	435.55	289.02	289.02	429.54	318.57	241.19	253.23	232.94	295.11	381.68	224.97	158.79	283.05	356.05	289.02	273.37	226.54	293.07	237.86	392.44	275.28	307.69	332.14	395.18	135.24	180.02	312.0	215.77	493.56	147.06	314.17	236.21	226.54	189.02	229.72	231.32	447.82	438.59	232.94	269.6	441.64	269.6	228.13	503.95	417.77	228.13	305.55	406.31	178.77	256.78	503.95	265.87	287.01	312.0	287.01	205.5	256.78	269.6	283.05	202.66	194.36	220.32	273.37	299.25	226.54	414.87	379.04	400.71	432.53	295.11	426.57	473.41
RNF169	135.24	82.29	23.93	63.89	183.82	57.08	67.12	76.71	80.01	158.79	61.25	88.26	153.34	55.49	87.03	117.6	85.22	62.12	64.8	50.27	85.22	87.65	70.01	38.4	60.82	115.97	71.0	72.01	58.71	145.02	61.25	94.01	60.39	79.45	100.13	127.89	25.91	26.67	90.14	31.22	153.34	36.79	82.29	60.82	69.03	52.82	58.3	87.03	102.25	102.25	63.0	92.05	113.56	85.22	65.26	141.02	138.1	76.71	77.25	139.07	32.82	61.25	146.03	45.85	70.01	108.9	81.14	57.49	82.87	59.55	82.87	33.06	57.89	48.87	53.19	81.14	50.98	155.5	98.04	94.01	143.01	58.3	104.42	112.77
RNF38	473.41	260.38	181.28	323.03	480.04	255.0	309.83	297.17	269.6	493.56	291.04	305.55	435.55	258.57	346.29	397.93	351.14	277.2	279.14	248.0	267.73	400.71	217.27	231.32	283.05	403.5	208.38	277.2	264.03	251.48	346.29	379.04	253.23	283.05	450.94	466.88	105.15	155.5	301.33	182.55	500.46	185.11	341.51	237.86	244.57	262.2	291.04	303.44	460.44	384.34	234.57	265.87	466.88	314.17	253.23	555.41	420.68	239.52	332.14	414.87	175.07	258.57	473.41	221.86	351.14	343.89	327.56	177.53	301.33	191.67	262.2	201.25	264.03	273.37	201.25	299.25	208.38	447.82	361.04	336.79	543.96	273.37	409.15	579.04
ROCK1	447.82	221.86	92.05	293.07	551.56	197.09	190.34	231.32	248.0	493.56	241.19	262.2	409.15	186.4	262.2	417.77	309.83	212.78	183.82	208.38	237.86	258.57	346.29	177.53	180.02	373.81	262.2	244.57	204.07	432.53	314.17	320.8	226.54	244.57	289.02	346.29	59.13	96.01	323.03	173.85	514.56	99.43	320.8	271.48	295.11	285.03	253.23	312.0	305.55	305.55	223.41	229.72	236.21	332.14	190.34	470.14	384.34	314.17	199.85	373.81	115.16	248.0	483.38	189.02	253.23	273.37	260.38	251.48	202.66	154.42	264.03	155.5	281.09	173.85	201.25	267.73	186.4	400.71	289.02	325.29	483.38	182.55	371.22	450.94
RPE	723.08	511.0	297.17	753.83	575.03	466.88	521.76	412.0	473.41	743.43	490.14	463.65	728.11	432.53	518.15	624.99	595.34	547.75	503.95	218.79	503.95	483.38	441.64	397.93	500.46	693.58	529.06	466.88	423.61	466.88	698.41	476.71	432.53	575.03	567.1	511.0	283.05	303.44	486.75	332.14	669.92	389.72	559.28	500.46	493.56	336.79	521.76	567.1	718.08	595.34	403.5	384.34	723.08	543.96	381.68	651.58	669.92	536.45	432.53	660.68	376.41	579.04	698.41	511.0	543.96	559.28	559.28	409.15	363.56	420.68	463.65	387.02	307.69	389.72	397.93	470.14	435.55	529.06	591.22	624.99	813.63	450.94	764.36	759.08
RPRD2	486.75	189.02	170.25	312.0	454.09	249.73	285.03	239.52	229.72	463.65	189.02	325.29	511.0	267.73	329.84	363.56	426.57	271.48	244.57	237.86	361.04	406.31	260.38	163.28	336.79	366.09	229.72	269.6	208.38	353.59	199.85	441.64	329.84	303.44	327.56	426.57	122.64	153.34	291.04	187.71	450.94	195.72	341.51	258.57	287.01	218.79	242.88	255.0	356.05	420.68	271.48	316.37	514.56	297.17	256.78	429.54	426.57	305.55	332.14	466.88	194.36	277.2	463.65	236.21	275.28	551.56	267.73	236.21	341.51	214.27	329.84	198.47	264.03	187.71	231.32	348.71	215.77	507.46	341.51	346.29	470.14	275.28	353.59	486.75
RSBN1	244.57	149.12	82.87	136.19	241.19	125.24	136.19	102.25	139.07	267.73	134.3	180.02	226.54	123.5	172.65	208.38	182.55	94.67	145.02	113.56	111.21	166.73	136.19	108.14	125.24	205.5	146.03	136.19	124.37	202.66	163.28	244.57	100.83	123.5	186.4	226.54	77.25	67.12	151.22	92.05	265.87	97.36	151.22	145.02	140.04	155.5	138.1	193.01	185.11	175.07	121.79	153.34	251.48	165.57	100.83	234.57	217.27	131.51	139.07	224.97	100.13	116.78	234.57	128.79	171.45	211.31	122.64	123.5	115.97	71.5	144.01	75.11	134.3	113.56	114.36	138.1	127.89	208.38	164.42	182.55	234.57	155.5	212.78	220.32
RSBN1L	262.2	109.66	80.57	175.07	353.59	113.56	153.34	173.85	132.44	299.25	217.27	169.07	212.78	128.79	164.42	190.34	146.03	137.14	189.02	162.14	122.64	154.42	167.9	84.63	137.14	279.14	111.21	151.22	124.37	177.53	220.32	194.36	151.22	138.1	217.27	223.41	84.04	104.42	143.01	145.02	277.2	102.97	186.4	173.85	129.69	129.69	195.72	237.86	187.71	157.68	112.77	156.59	214.27	197.09	117.6	267.73	211.31	139.07	145.02	209.84	127.0	159.9	253.23	151.22	195.72	193.01	165.57	121.79	182.55	110.43	157.68	115.16	161.02	158.79	150.17	153.34	143.01	223.41	158.79	182.55	287.01	157.68	228.13	209.84
RSF1	460.44	195.72	176.29	289.02	563.18	209.84	229.72	295.11	244.57	490.14	194.36	273.37	518.15	229.72	244.57	323.03	314.17	211.31	218.79	218.79	309.83	242.88	244.57	206.94	271.48	423.61	281.09	299.25	242.88	420.68	325.29	346.29	221.86	285.03	329.84	336.79	137.14	157.68	307.69	181.28	521.76	206.94	309.83	206.94	249.73	215.77	258.57	334.46	329.84	351.14	218.79	244.57	420.68	295.11	241.19	379.04	406.31	265.87	297.17	444.72	154.42	281.09	384.34	148.09	277.2	255.0	291.04	226.54	281.09	209.84	234.57	181.28	339.14	209.84	211.31	253.23	246.28	371.22	329.84	327.56	503.95	195.72	351.14	373.81
RTF1	723.08	503.95	309.83	412.0	629.35	460.44	444.72	480.04	450.94	703.28	507.46	486.75	599.49	457.25	486.75	629.35	389.72	514.56	470.14	420.68	470.14	518.15	493.56	320.8	490.14	669.92	473.41	417.77	387.02	463.65	432.53	563.18	476.71	547.75	616.37	599.49	361.04	314.17	518.15	366.09	698.41	438.59	547.75	426.57	500.46	392.44	463.65	500.46	551.56	595.34	412.0	493.56	624.99	543.96	417.77	698.41	579.04	511.0	567.1	591.22	305.55	511.0	595.34	454.09	476.71	547.75	470.14	409.15	567.1	460.44	454.09	366.09	417.77	403.5	376.41	532.74	414.87	684.02	503.95	567.1	703.28	447.82	656.11	698.41
SEC24B	633.73	336.79	212.78	371.22	540.19	279.14	275.28	334.46	316.37	607.87	376.41	320.8	518.15	277.2	325.29	400.71	400.71	269.6	454.09	224.97	343.89	314.17	305.55	236.21	248.0	521.76	373.81	309.83	269.6	346.29	400.71	368.65	323.03	414.87	435.55	473.41	197.09	186.4	316.37	244.57	525.39	293.07	373.81	339.14	358.54	295.11	293.07	366.09	555.41	438.59	279.14	289.02	547.75	314.17	237.86	470.14	409.15	356.05	358.54	551.56	217.27	329.84	483.38	237.86	291.04	532.74	287.01	275.28	358.54	293.07	332.14	256.78	265.87	279.14	241.19	346.29	256.78	432.53	389.72	379.04	511.0	253.23	486.75	486.75
SENP1	146.03	90.77	53.95	108.9	149.12	66.18	76.17	74.06	102.97	202.66	102.25	96.01	158.79	80.01	113.56	120.1	127.0	85.22	92.05	74.58	84.04	88.26	111.99	68.55	84.04	165.57	86.43	89.51	75.11	153.34	87.03	144.01	99.43	111.99	128.79	131.51	48.52	69.52	96.68	59.97	129.69	60.39	135.24	97.36	88.26	95.34	94.01	123.5	114.36	127.0	67.59	95.34	142.01	123.5	74.06	124.37	147.06	101.54	113.56	158.79	59.55	111.21	150.17	87.03	100.13	129.69	100.13	90.77	99.43	105.15	76.71	67.59	96.68	85.82	72.01	90.14	92.05	145.02	119.26	126.12	186.4	83.45	146.03	163.28
