	TCGA.KM.8639.01A.11R.2403.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	GTEX.YB5E.0326.SM.5IFHU
SMAP1	633.73	450.94	518.15	356.05	444.72	583.07	532.74	466.88	457.25	403.5	559.28	460.44	450.94	532.74	258.57	363.56	336.79	332.14	454.09	543.96	400.71	518.15	373.81	454.09	493.56	406.31	403.5	295.11	444.72	248.0	406.31	441.64	332.14	497.0	483.38	262.2	480.04	387.02	353.59	429.54	450.94	529.06	486.75	346.29	441.64	423.61	483.38	521.76	371.22	450.94	490.14	376.41	571.05	381.68	412.0	503.95	325.29	387.02	420.68	226.54	309.83	441.64	414.87	438.59	503.95	318.57	346.29	327.56	466.88	351.14	346.29	500.46	273.37	209.84	104.42	281.09	277.2	269.6	346.29
SMC3	334.46	915.51	536.45	332.14	223.41	414.87	567.1	679.29	567.1	620.67	1030.12	525.39	759.08	420.68	169.07	211.31	339.14	251.48	521.76	285.03	336.79	575.03	387.02	260.38	493.56	287.01	412.0	289.02	381.68	181.28	329.84	323.03	334.46	387.02	334.46	105.89	438.59	525.39	503.95	575.03	336.79	444.72	507.46	295.11	334.46	583.07	454.09	490.14	277.2	368.65	301.33	438.59	189.02	264.03	480.04	400.71	358.54	529.06	447.82	343.89	400.71	414.87	255.0	212.78	217.27	409.15	366.09	198.47	412.0	204.07	403.5	647.07	265.87	212.78	131.51	170.25	195.72	201.25	476.71
SNX18	144.01	1001.93	221.86	159.9	195.72	224.97	334.46	269.6	376.41	447.82	759.08	273.37	429.54	96.68	88.26	55.49	129.69	241.19	273.37	119.26	177.53	149.12	76.17	97.36	194.36	120.94	153.34	39.79	83.45	146.03	140.04	157.68	140.04	170.25	209.84	115.16	318.57	84.04	186.4	145.02	99.43	201.25	178.77	208.38	112.77	215.77	180.02	162.14	121.79	120.1	73.03	1143.1	148.09	147.06	283.05	139.07	68.55	267.73	190.34	126.12	450.94	194.36	120.1	71.5	224.97	150.17	503.95	69.03	201.25	55.89	239.52	267.73	170.25	159.9	99.43	228.13	122.64	131.51	281.09
SPIN1	1208.34	1628.26	1199.98	718.08	1350.18	1175.27	1733.13	1551.09	1583.71	1447.15	1832.01	1359.57	1832.01	1359.57	802.41	529.06	1088.92	599.49	1685.71	1015.93	842.36	733.19	438.59	529.06	1081.39	848.22	1225.22	483.38	743.43	432.53	995.0	642.59	884.29	941.27	995.0	460.44	1104.13	397.93	961.07	753.83	947.83	1250.98	1066.48	796.86	819.3	1350.18	954.43	1233.75	753.83	921.88	525.39	1369.04	836.53	708.18	1259.69	988.12	669.92	1498.22	1331.57	780.44	896.64	1259.69	624.99	426.57	703.28	1066.48	967.76	423.61	988.12	329.84	1225.22	1685.71	220.32	173.85	71.5	144.01	158.79	190.34	287.01
SPOPL	132.44	397.93	309.83	104.42	202.66	215.77	327.56	291.04	323.03	297.17	518.15	258.57	289.02	142.01	97.36	112.77	87.03	118.43	301.33	155.5	169.07	379.04	62.12	133.36	309.83	131.51	201.25	73.03	121.79	86.43	170.25	110.43	145.02	154.42	183.82	85.82	194.36	66.18	120.94	159.9	148.09	221.86	303.44	215.77	108.9	241.19	208.38	172.65	123.5	194.36	96.68	212.78	161.02	146.03	305.55	134.3	111.99	224.97	231.32	80.01	113.56	232.94	88.88	108.9	173.85	135.24	141.02	92.05	158.79	55.89	149.12	239.52	116.78	62.12	49.56	94.67	94.01	76.71	115.97
SPP1	517068.97	35609.13	168220.2	405683.88	338781.54	654483.73	348306.01	111755.56	177811.84	59887.86	200048.85	226632.25	263966.36	363097.14	422911.59	179048.63	258533.99	242898.5	290865.98	303217.87	311742.51	492579.5	120609.84	402881.61	318292.9	221968.2	195931.88	68793.23	614902.29	170568.48	212926.09	397335.0	234624.45	265802.39	334117.42	141455.6	273275.14	271387.49	277089.94	509950.32	363097.14	204252.32	305326.92	260332.24	271387.49	189257.69	414208.18	520665.48	234624.45	386469.83	296977.71	358098.26	292889.12	244588.0	301123.38	262143.0	263966.36	184082.4	226632.25	299043.36	822695.06	472513.8	193234.41	241220.67	383800.28	275175.93	499455.67	233003.78	405683.88	422911.59	258533.99	221968.2	69271.73	19348.38	37.32	44452.21	56657.31	46662.28	951601.81
SS18	1617.0	1721.16	1127.35	665.29	656.11	684.02	1135.2	1175.27	1359.57	1250.98	1963.57	1127.35	1388.16	555.41	759.08	457.25	708.18	620.67	1183.45	764.36	753.83	559.28	202.66	503.95	1023.0	860.08	909.17	197.09	412.0	483.38	1030.12	620.67	967.76	748.61	1073.91	620.67	1008.9	403.5	981.29	961.07	872.1	1030.12	1111.82	708.18	642.59	1151.06	1369.04	1001.93	723.08	954.43	536.45	1183.45	226.54	693.58	1167.14	703.28	559.28	995.0	1081.39	591.22	1111.82	802.41	555.41	518.15	974.5	813.63	1143.1	536.45	1175.27	353.59	1167.14	1167.14	420.68	303.44	287.01	363.56	379.04	293.07	361.04
STAT3	1639.59	2451.44	2240.11	1487.87	1757.34	1794.29	3325.99	2627.46	2956.17	2367.9	3060.45	2720.15	3982.99	1909.85	928.3	785.88	1277.29	1617.0	2720.15	1322.37	1594.73	2468.49	995.0	2468.49	1870.53	1388.16	1991.0	1023.0	981.29	1388.16	1540.37	1331.57	1322.37	1295.13	2255.7	878.17	2240.11	769.69	1628.26	3235.01	2075.59	2075.59	1561.89	2047.0	1769.57	2555.58	1832.01	1023.0	1447.15	1769.57	967.76	2645.74	1417.35	1757.34	3124.78	2004.85	1417.35	2119.22	2061.24	1104.13	1883.54	1447.15	1225.22	825.0	2627.46	1963.57	2485.67	1583.71	2720.15	470.14	2720.15	2777.33	1685.71	890.44	543.96	684.02	1781.89	764.36	1605.83
TAF3	65.26	218.79	102.25	72.52	71.0	88.26	113.56	142.01	172.65	164.42	166.73	106.63	113.56	91.41	65.26	44.57	78.34	76.71	114.36	71.0	74.58	135.24	84.04	76.71	110.43	85.82	105.15	64.34	76.71	48.52	81.71	68.55	74.06	95.34	101.54	41.52	124.37	63.45	90.77	102.25	75.11	96.01	88.26	63.45	83.45	99.43	63.0	87.65	81.14	88.88	65.72	141.02	69.52	58.3	116.78	93.35	59.97	111.21	111.99	72.52	137.14	57.49	71.0	43.32	61.25	85.22	104.42	63.45	109.66	47.5	119.26	135.24	53.57	45.21	41.22	36.01	32.59	33.06	67.59
TANC2	170.25	283.05	279.14	158.79	66.65	273.37	303.44	183.82	212.78	211.31	450.94	279.14	316.37	220.32	46.5	60.82	96.01	131.51	320.8	90.14	150.17	1331.57	43.94	244.57	181.28	118.43	159.9	43.94	77.79	82.29	119.26	120.94	83.45	86.43	198.47	44.57	178.77	38.95	137.14	693.58	190.34	194.36	201.25	220.32	80.01	339.14	267.73	674.59	90.14	204.07	163.28	507.46	92.05	139.07	447.82	223.41	92.7	171.45	214.27	153.34	137.14	186.4	95.34	46.18	147.06	147.06	255.0	81.71	193.01	32.59	189.02	256.78	24.81	21.47	2.03	3.86	19.82	6.06	8.99
TCF12	540.19	1127.35	860.08	417.77	409.15	426.57	981.29	954.43	825.0	934.76	1199.98	728.11	961.07	665.29	543.96	239.52	346.29	356.05	954.43	463.65	511.0	612.11	368.65	334.46	769.69	447.82	651.58	205.5	412.0	201.25	490.14	376.41	476.71	486.75	567.1	182.55	909.17	249.73	595.34	665.29	476.71	872.1	679.29	466.88	595.34	934.76	836.53	854.13	353.59	511.0	368.65	587.13	351.14	397.93	902.89	543.96	307.69	769.69	656.11	260.38	429.54	660.68	301.33	271.48	435.55	567.1	426.57	253.23	842.36	171.45	521.76	775.05	206.94	120.1	101.54	163.28	176.29	127.89	139.07
TGFBR2	941.27	4639.29	1806.78	1159.07	928.3	743.43	2627.46	3820.7	4450.27	5076.84	3395.89	2701.35	4038.61	1572.76	497.0	620.67	595.34	1066.48	2061.24	802.41	1378.57	1950.0	314.17	825.0	1477.58	995.0	1073.91	253.23	500.46	591.22	1477.58	728.11	884.29	915.51	1081.39	708.18	1757.34	314.17	1037.29	1417.35	1508.65	1208.34	1127.35	785.88	1008.9	2609.3	1331.57	733.19	866.07	884.29	353.59	1572.76	660.68	1135.2	2303.12	693.58	587.13	1268.46	1498.22	441.64	575.03	813.63	921.88	753.83	1037.29	1561.89	1250.98	551.56	2319.15	269.6	1594.73	2303.12	529.06	387.02	157.68	373.81	536.45	356.05	1628.26
THRAP3	974.5	1407.55	1096.5	748.61	733.19	796.86	1508.65	1407.55	1250.98	1286.18	1721.16	1467.37	1447.15	1044.52	595.34	579.04	718.08	748.61	1233.75	934.76	759.08	1457.23	460.44	921.88	1233.75	743.43	884.29	759.08	587.13	764.36	961.07	878.17	961.07	860.08	961.07	629.35	1143.1	638.15	947.83	1233.75	947.83	1059.11	1008.9	928.3	647.07	1081.39	1277.29	1233.75	753.83	836.53	866.07	1199.98	981.29	753.83	1295.13	1191.69	703.28	1044.52	961.07	713.11	967.76	1111.82	718.08	780.44	1030.12	878.17	1051.79	624.99	1286.18	343.89	1066.48	1508.65	607.87	438.59	429.54	460.44	583.07	412.0	532.74
TMEM245	397.93	1832.01	769.69	723.08	902.89	723.08	995.0	896.64	1119.56	1159.07	2104.58	884.29	1268.46	836.53	392.44	373.81	493.56	336.79	1277.29	476.71	842.36	1685.71	307.69	403.5	1127.35	629.35	759.08	341.51	603.67	271.48	624.99	325.29	536.45	638.15	743.43	336.79	679.29	242.88	500.46	1950.0	555.41	921.88	1369.04	463.65	567.1	1104.13	1030.12	571.05	463.65	743.43	423.61	1359.57	356.05	395.18	1111.82	406.31	638.15	954.43	743.43	351.14	660.68	1066.48	379.04	432.53	507.46	723.08	718.08	358.54	1001.93	384.34	718.08	988.12	260.38	151.22	156.59	173.85	228.13	251.48	591.22
TMTC3	175.07	329.84	303.44	113.56	180.02	112.77	232.94	189.02	220.32	206.94	587.13	177.53	212.78	135.24	125.24	88.26	114.36	105.15	241.19	138.1	158.79	358.54	131.51	108.9	150.17	153.34	146.03	115.97	126.12	48.87	149.12	89.51	158.79	144.01	161.02	51.35	201.25	134.3	106.63	234.57	127.0	217.27	228.13	127.89	140.04	185.11	186.4	169.07	97.36	220.32	92.05	236.21	181.28	141.02	170.25	134.3	61.25	175.07	150.17	83.45	135.24	158.79	102.97	135.24	134.3	109.66	120.1	116.78	170.25	58.3	173.85	175.07	54.33	45.21	39.22	36.01	40.36	27.84	91.41
TNS3	435.55	1359.57	1508.65	599.49	412.0	961.07	1923.14	1572.76	1832.01	2104.58	2061.24	1883.54	2075.59	764.36	575.03	599.49	728.11	1268.46	1322.37	536.45	759.08	1322.37	327.56	825.0	819.3	518.15	775.05	323.03	551.56	995.0	836.53	708.18	684.02	995.0	836.53	660.68	1991.0	738.29	1191.69	665.29	748.61	780.44	896.64	1388.16	503.95	1059.11	866.07	575.03	493.56	733.19	400.71	1119.56	808.0	866.07	1806.78	872.1	769.69	941.27	1151.06	595.34	947.83	420.68	500.46	483.38	921.88	748.61	1208.34	559.28	1322.37	368.65	1250.98	2018.8	995.0	915.51	343.89	620.67	583.07	733.19	400.71
TTC28	67.12	507.46	395.18	134.3	121.79	146.03	660.68	429.54	346.29	312.0	206.94	366.09	361.04	152.28	234.57	127.89	104.42	117.6	291.04	181.28	166.73	97.36	129.69	152.28	368.65	111.99	199.85	124.37	120.94	115.16	232.94	170.25	198.47	136.19	209.84	77.25	249.73	55.1	165.57	142.01	120.1	234.57	209.84	253.23	111.21	281.09	285.03	457.25	122.64	228.13	57.49	231.32	205.5	198.47	214.27	258.57	140.04	246.28	218.79	105.15	58.3	255.0	205.5	108.14	150.17	175.07	139.07	121.79	376.41	94.01	120.94	348.71	74.06	38.95	30.78	31.45	39.79	40.64	40.07
UBE4A	287.01	679.29	480.04	223.41	273.37	356.05	441.64	397.93	403.5	397.93	665.29	366.09	435.55	295.11	242.88	127.0	258.57	180.02	521.76	269.6	273.37	361.04	206.94	237.86	379.04	228.13	297.17	119.26	108.14	127.89	289.02	181.28	336.79	234.57	371.22	135.24	373.81	166.73	262.2	379.04	264.03	559.28	356.05	297.17	151.22	457.25	373.81	381.68	150.17	246.28	217.27	480.04	165.57	232.94	480.04	297.17	190.34	400.71	353.59	187.71	228.13	403.5	217.27	153.34	287.01	348.71	307.69	156.59	384.34	75.64	314.17	356.05	190.34	90.77	143.01	97.36	135.24	134.3	220.32
UBE4B	500.46	743.43	518.15	351.14	366.09	309.83	718.08	647.07	476.71	567.1	486.75	665.29	521.76	536.45	293.07	275.28	397.93	403.5	507.46	400.71	395.18	420.68	169.07	361.04	612.11	414.87	395.18	295.11	156.59	275.28	575.03	540.19	432.53	320.8	466.88	336.79	595.34	341.51	323.03	493.56	438.59	476.71	473.41	441.64	218.79	547.75	497.0	723.08	371.22	497.0	450.94	392.44	612.11	444.72	629.35	796.86	387.02	500.46	514.56	305.55	438.59	591.22	486.75	395.18	262.2	400.71	444.72	251.48	595.34	145.02	532.74	612.11	283.05	236.21	191.67	145.02	212.78	159.9	258.57
UTRN	343.89	2956.17	1015.93	212.78	395.18	426.57	848.22	842.36	884.29	848.22	1457.23	579.04	1477.58	583.07	72.01	53.57	265.87	195.72	1044.52	293.07	329.84	890.44	127.89	155.5	470.14	536.45	819.3	67.12	253.23	90.14	291.04	314.17	267.73	316.37	860.08	156.59	693.58	50.63	511.0	480.04	353.59	656.11	493.56	231.32	466.88	1183.45	669.92	1322.37	435.55	708.18	193.01	890.44	229.72	244.57	1359.57	507.46	130.6	902.89	679.29	150.17	305.55	363.56	104.42	122.64	232.94	583.07	409.15	90.77	435.55	84.04	483.38	764.36	161.02	82.87	25.54	89.51	94.67	67.59	283.05
VPS4B	941.27	1225.22	825.0	395.18	486.75	400.71	1008.9	848.22	836.53	872.1	1457.23	995.0	1015.93	262.2	429.54	312.0	323.03	329.84	796.86	423.61	466.88	571.05	194.36	417.77	713.11	346.29	389.72	118.43	293.07	312.0	429.54	432.53	361.04	392.44	444.72	336.79	647.07	353.59	457.25	703.28	571.05	642.59	698.41	432.53	262.2	728.11	603.67	780.44	343.89	591.22	483.38	941.27	373.81	384.34	796.86	470.14	320.8	514.56	483.38	381.68	620.67	346.29	351.14	318.57	366.09	334.46	708.18	273.37	607.87	224.97	733.19	769.69	316.37	289.02	191.67	289.02	255.0	232.94	406.31
WASF2	890.44	2434.5	1369.04	769.69	866.07	759.08	1295.13	1143.1	1073.91	1159.07	1651.0	1088.92	1259.69	1467.37	341.51	775.05	738.29	728.11	1540.37	921.88	896.64	1757.34	307.69	1331.57	1674.06	698.41	1030.12	567.1	366.09	612.11	1119.56	1104.13	981.29	785.88	1167.14	693.58	1583.71	476.71	665.29	988.12	921.88	954.43	1104.13	718.08	647.07	1427.22	1529.73	1583.71	848.22	684.02	902.89	981.29	476.71	660.68	1923.14	1594.73	587.13	1437.15	1304.15	738.29	764.36	507.46	688.78	723.08	830.75	1216.75	718.08	447.82	1427.22	285.03	1135.2	1001.93	473.41	309.83	84.04	291.04	297.17	381.68	363.56
WDR47	389.72	403.5	241.19	132.44	147.06	158.79	180.02	241.19	198.47	201.25	299.25	162.14	193.01	185.11	136.19	108.9	95.34	115.16	180.02	218.79	123.5	267.73	43.32	117.6	150.17	167.9	171.45	77.79	112.77	107.38	127.0	142.01	102.25	102.25	159.9	115.97	166.73	57.08	164.42	159.9	171.45	214.27	239.52	111.21	120.94	199.85	237.86	150.17	118.43	166.73	149.12	183.82	255.0	151.22	175.07	136.19	66.65	187.71	152.28	92.7	162.14	220.32	115.97	111.21	71.5	103.69	127.89	99.43	147.06	89.51	191.67	161.02	45.21	29.06	23.25	22.26	31.9	23.25	30.34
WTIP	232.94	447.82	115.97	152.28	137.14	106.63	262.2	318.57	356.05	457.25	125.24	507.46	339.14	152.28	195.72	140.04	279.14	79.45	336.79	125.24	129.69	121.79	20.11	74.58	201.25	215.77	269.6	28.24	199.85	62.56	249.73	264.03	162.14	125.24	218.79	101.54	264.03	52.82	244.57	185.11	171.45	102.25	186.4	111.21	117.6	289.02	204.07	343.89	269.6	208.38	325.29	152.28	83.45	70.51	234.57	366.09	132.44	361.04	348.71	31.45	299.25	212.78	140.04	171.45	44.89	221.86	221.86	43.32	221.86	316.37	457.25	348.71	39.22	44.25	18.97	18.43	30.56	36.27	41.81
WWC2	283.05	813.63	389.72	157.68	176.29	190.34	723.08	547.75	587.13	547.75	878.17	476.71	723.08	224.97	190.34	59.97	138.1	129.69	444.72	206.94	154.42	480.04	58.3	146.03	366.09	176.29	232.94	105.15	204.07	67.59	205.5	103.69	244.57	133.36	242.88	65.72	260.38	80.57	356.05	209.84	169.07	255.0	318.57	144.01	95.34	371.22	258.57	256.78	102.25	269.6	127.0	392.44	163.28	164.42	379.04	220.32	108.14	336.79	297.17	84.04	187.71	244.57	114.36	87.65	173.85	182.55	169.07	64.8	287.01	70.51	283.05	591.22	105.89	75.11	58.3	106.63	127.0	71.0	161.02
ZBTB34	47.5	113.56	64.8	51.35	73.03	84.63	119.26	108.9	81.14	93.35	133.36	100.13	96.68	87.03	55.89	51.71	82.29	65.72	98.73	63.45	76.17	45.21	53.57	74.58	127.89	70.01	86.43	27.64	67.59	53.19	83.45	66.65	87.03	61.25	73.03	36.27	103.69	18.43	80.01	67.59	67.12	63.45	77.79	68.55	52.08	119.26	53.57	83.45	64.8	79.45	63.89	56.28	45.21	94.01	102.25	59.13	56.28	97.36	94.67	50.27	47.5	112.77	59.55	53.95	63.89	100.83	49.21	35.5	85.22	38.12	71.5	105.89	35.25	21.78	11.38	24.11	36.27	27.44	14.45
ZC2HC1A	125.24	525.39	384.34	139.07	232.94	205.5	244.57	301.33	269.6	239.52	412.0	182.55	273.37	167.9	147.06	57.08	155.5	103.69	262.2	135.24	204.07	249.73	81.14	87.03	159.9	194.36	323.03	54.33	171.45	52.08	185.11	137.14	167.9	134.3	193.01	80.01	232.94	111.21	249.73	301.33	150.17	182.55	275.28	180.02	131.51	351.14	283.05	231.32	137.14	197.09	145.02	253.23	116.78	144.01	241.19	147.06	120.1	260.38	327.56	129.69	212.78	212.78	119.26	100.13	136.19	152.28	248.0	69.03	173.85	43.63	201.25	256.78	46.84	34.51	27.05	40.64	13.52	18.56	30.34
ZFAND4	64.8	236.21	172.65	71.0	120.94	100.83	127.89	161.02	162.14	132.44	202.66	133.36	136.19	125.24	47.84	66.65	118.43	93.35	187.71	117.6	50.27	63.45	38.12	48.87	118.43	73.54	115.97	63.89	57.08	54.33	111.99	93.35	81.71	113.56	127.0	49.91	138.1	62.56	110.43	60.39	91.41	105.89	70.51	96.01	78.34	133.36	90.14	120.1	84.63	71.0	112.77	150.17	96.68	83.45	135.24	133.36	52.82	136.19	145.02	52.82	96.68	137.14	68.55	63.45	69.52	114.36	108.14	62.12	116.78	45.85	92.7	149.12	82.87	67.12	90.77	71.5	67.12	77.79	49.21
ZFHX3	36.27	214.27	108.14	67.59	35.0	105.15	155.5	144.01	132.44	147.06	239.52	124.37	173.85	56.68	62.12	31.9	48.52	71.5	88.26	64.34	62.56	211.31	35.76	68.55	80.01	63.0	45.21	23.42	79.45	40.93	53.19	35.25	69.52	56.28	54.33	51.71	126.12	39.22	108.9	114.36	96.01	93.35	91.41	75.11	45.21	105.15	85.82	96.68	27.84	70.01	51.35	120.1	46.5	65.26	133.36	52.45	34.75	64.34	88.88	45.85	69.03	130.6	89.51	49.56	67.59	62.56	80.01	30.34	97.36	32.59	86.43	127.89	55.89	35.76	23.42	29.06	37.85	19.39	29.7
ZMYM4	201.25	890.44	414.87	221.86	303.44	251.48	547.75	493.56	521.76	490.14	819.3	457.25	629.35	329.84	161.02	195.72	291.04	204.07	417.77	289.02	262.2	518.15	105.15	224.97	395.18	214.27	301.33	81.14	142.01	152.28	327.56	271.48	341.51	260.38	242.88	131.51	373.81	157.68	351.14	426.57	314.17	384.34	450.94	307.69	133.36	423.61	325.29	426.57	217.27	275.28	237.86	381.68	277.2	248.0	379.04	387.02	224.97	392.44	309.83	232.94	209.84	470.14	217.27	177.53	209.84	307.69	275.28	181.28	389.72	74.06	312.0	480.04	164.42	108.14	59.97	94.67	99.43	104.42	115.97
ZNF24	397.93	954.43	483.38	303.44	423.61	291.04	579.04	571.05	575.03	579.04	1111.82	511.0	660.68	202.66	356.05	223.41	371.22	249.73	532.74	323.03	301.33	209.84	145.02	283.05	480.04	323.03	384.34	106.63	151.22	182.55	417.77	255.0	395.18	289.02	373.81	177.53	363.56	244.57	334.46	226.54	346.29	389.72	454.09	305.55	172.65	497.0	397.93	447.82	273.37	307.69	256.78	426.57	182.55	279.14	536.45	325.29	265.87	486.75	460.44	251.48	295.11	371.22	198.47	214.27	341.51	414.87	312.0	211.31	429.54	178.77	373.81	529.06	220.32	185.11	189.02	234.57	206.94	156.59	220.32
ZNF25	82.87	366.09	201.25	85.22	85.22	198.47	123.5	152.28	205.5	182.55	232.94	108.9	171.45	116.78	62.56	56.68	95.34	94.67	119.26	103.69	94.67	94.67	61.68	88.26	120.94	85.22	145.02	40.07	90.14	40.93	114.36	114.36	101.54	83.45	105.89	31.0	141.02	85.22	165.57	90.14	123.5	123.5	127.89	87.65	50.98	173.85	121.79	82.87	87.65	71.5	50.63	151.22	78.34	92.05	105.89	116.78	94.01	131.51	157.68	57.49	121.79	82.29	93.35	50.63	96.01	105.89	116.78	34.26	149.12	84.04	127.0	161.02	53.57	31.0	16.51	23.08	38.67	32.13	29.27
ZNF292	202.66	285.03	258.57	90.77	120.1	186.4	220.32	201.25	181.28	181.28	379.04	177.53	267.73	199.85	61.25	41.22	111.21	70.01	187.71	98.04	94.67	231.32	62.12	144.01	212.78	87.65	139.07	40.64	80.01	26.1	107.38	83.45	175.07	71.0	136.19	16.03	150.17	98.73	135.24	158.79	128.79	153.34	190.34	113.56	72.01	187.71	223.41	251.48	63.45	144.01	92.7	341.51	82.87	70.01	211.31	131.51	108.14	164.42	187.71	69.03	204.07	269.6	90.14	45.53	102.97	145.02	256.78	34.26	229.72	27.05	117.6	228.13	61.25	38.4	12.83	29.91	46.5	52.45	9.56
ZNF532	438.59	679.29	543.96	223.41	172.65	309.83	503.95	460.44	420.68	441.64	403.5	361.04	529.06	279.14	287.01	99.43	258.57	166.73	454.09	366.09	228.13	406.31	68.07	336.79	769.69	291.04	327.56	51.71	157.68	141.02	438.59	381.68	397.93	198.47	329.84	150.17	392.44	48.52	358.54	536.45	363.56	320.8	329.84	215.77	141.02	595.34	567.1	547.75	256.78	279.14	118.43	457.25	89.51	217.27	555.41	389.72	182.55	511.0	571.05	215.77	246.28	221.86	277.2	178.77	299.25	441.64	348.71	63.0	591.22	172.65	309.83	543.96	98.73	53.57	7.82	47.5	60.39	46.5	20.71
ZNF609	141.02	371.22	209.84	123.5	85.82	198.47	287.01	297.17	260.38	249.73	251.48	234.57	285.03	198.47	135.24	92.7	136.19	130.6	283.05	125.24	141.02	242.88	110.43	138.1	299.25	144.01	198.47	103.69	153.34	113.56	164.42	158.79	152.28	134.3	161.02	92.7	267.73	72.52	221.86	297.17	138.1	190.34	244.57	133.36	170.25	285.03	204.07	241.19	127.0	163.28	131.51	205.5	132.44	135.24	309.83	211.31	100.83	208.38	251.48	90.77	111.99	232.94	120.94	94.01	133.36	158.79	171.45	85.82	249.73	81.14	156.59	277.2	98.04	55.49	59.97	89.51	78.89	74.58	47.84
ZNF649	215.77	343.89	125.24	127.89	134.3	81.71	165.57	185.11	220.32	198.47	275.28	182.55	303.44	165.57	46.5	60.82	89.51	73.54	137.14	108.14	78.34	152.28	9.34	106.63	267.73	98.73	118.43	9.56	78.89	42.41	136.19	98.04	125.24	67.59	63.0	54.33	148.09	36.01	114.36	102.25	123.5	70.01	133.36	73.03	25.54	193.01	115.97	50.63	60.82	61.25	48.18	236.21	45.53	58.3	134.3	128.79	44.57	189.02	157.68	36.27	165.57	175.07	38.12	55.89	148.09	89.51	154.42	24.81	214.27	20.11	162.14	224.97	22.1	17.77	17.77	17.25	17.13	26.67	21.16
