	TCGA.ZF.AA58.01A.12R.A42T.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.D6.8569.01A.11R.2403.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.S33H.1626.SM.4AD68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.132NY.0926.SM.5P9G3	GTEX.13NZ9.1326.SM.5MR3V	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PHLPP1	28.86	366.09	80.01	187.71	249.73	58.71	68.07	125.24	65.72	127.0	93.35	76.17	125.24	175.07	47.17	112.77	110.43	76.71	101.54	195.72	122.64	185.11	122.64	169.07	149.12	194.36	122.64	194.36	173.85	162.14	258.57	204.07	293.07	241.19	231.32	85.82	237.86	206.94	265.87	126.12	118.43	246.28	264.03	186.4	69.03	75.11	316.37	287.01	249.73	262.2	108.9	291.04	77.25	323.03	113.56	87.03	141.02	341.51	85.82	228.13	106.63	167.9	81.71	154.42	420.68	198.47	143.01	180.02	332.14	185.11	409.15	253.23	109.66	361.04
PIK3R1	101.54	1721.16	132.44	1015.93	743.43	155.5	116.78	143.01	36.53	45.85	242.88	125.24	163.28	3190.46	420.68	500.46	1037.29	297.17	381.68	376.41	738.29	532.74	785.88	1044.52	612.11	802.41	423.61	543.96	529.06	1081.39	1199.98	583.07	884.29	547.75	403.5	444.72	493.56	583.07	813.63	473.41	432.53	1769.57	1259.69	896.64	409.15	334.46	1883.54	511.0	954.43	947.83	417.77	974.5	137.14	417.77	813.63	199.85	303.44	830.75	400.71	1388.16	808.0	651.58	253.23	780.44	934.76	624.99	403.5	248.0	1104.13	444.72	1159.07	1322.37	0.0	0.61
PLIN1	3.03	88291.3	1.64	511.0	269.6	1.48	0.95	0.55	1.6	4.1	0.53	0.58	0.57	348.71	27.05	50.27	205.5	480.04	275.28	190.34	14.67	119.26	7.17	54.72	185.11	185.11	55.89	166.73	197.09	275.28	198.47	503.95	547.75	185.11	63.89	1159.07	450.94	808.0	129.69	229.72	237.86	665.29	555.41	371.22	48.87	19.53	1277.29	2895.31	48.52	486.75	141.02	176.29	703.28	392.44	2351.53	291.04	258.57	656.11	63.0	187.71	547.75	1066.48	27.64	323.03	133.36	351.14	87.03	202.66	2664.15	145.02	1359.57	981.29	0.0	0.46
PPP1R1C	1.83	8.19	29.48	320.8	242.88	131.51	28.45	50.63	35.5	71.5	48.18	25.35	7.94	190.34	1.87	7.34	51.35	199.85	60.39	135.24	60.82	141.02	9.56	59.97	138.1	23.93	2.94	343.89	316.37	163.28	206.94	395.18	281.09	414.87	151.22	275.28	239.52	277.2	232.94	130.6	62.12	400.71	234.57	287.01	4.46	12.64	620.67	1277.29	379.04	660.68	49.21	603.67	29.06	426.57	540.19	34.51	12.55	769.69	35.5	1583.71	36.27	123.5	35.76	189.02	343.89	70.01	93.35	17.38	1572.76	211.31	1313.23	181.28	0.0	0.01
RMDN2	57.08	208.38	43.32	376.41	435.55	114.36	55.89	61.25	24.46	53.19	56.68	36.79	67.12	126.12	138.1	105.89	381.68	289.02	258.57	214.27	166.73	387.02	58.71	295.11	242.88	348.71	159.9	420.68	346.29	480.04	426.57	412.0	373.81	447.82	199.85	361.04	312.0	447.82	371.22	271.48	346.29	591.22	500.46	403.5	190.34	162.14	587.13	503.95	764.36	854.13	490.14	1242.34	183.82	463.65	289.02	387.02	429.54	679.29	202.66	470.14	480.04	209.84	139.07	244.57	665.29	381.68	301.33	325.29	503.95	808.0	693.58	435.55	0.0	0.0
SAA1	12676.65	2068278.89	21617.82	1290947.48	33922.56	35118.87	30361.44	34396.12	1225.22	30361.44	15934.98	29327.18	25179.16	358098.26	355624.68	978355.0	520665.48	417089.23	2343119.96	1715263.94	16383.0	1668359.93	706337.4	585779.24	365622.68	912837.43	28328.16	2845004.48	299043.36	4194303.0	2126426.15	520665.48	79022.82	59474.18	383800.28	231394.29	139508.13	1221310.69	789181.81	2011721.67	3336720.86	50709.61	40062.48	3178687.03	772940.66	506427.83	531605.79	900270.11	998912.34	1012856.65	1775752.63	800198.39	875652.15	520665.48	489177.0	1255646.43	482442.34	573724.06	672883.8	2097151.0	1055868.42	517068.97	144427.91	1535204.12	839981.65	711250.37	1364554.84	294926.33	789181.81	1327240.99	1561.89	181548.07	0.0	0.57
SHMT1	748.61	1651.0	518.15	11504.21	9025.81	264.03	503.95	392.44	521.76	204.07	361.04	226.54	287.01	1540.37	1437.15	3419.52	4607.24	8363.13	11035.54	3491.39	5041.77	8363.13	1857.6	2537.92	3443.31	3564.78	3564.78	6699.25	6887.62	6121.9	6471.02	8598.28	10296.45	9474.59	4836.35	12943.04	7331.05	9025.81	6935.54	6792.79	6561.36	9740.98	11035.54	8718.32	2777.33	7966.99	9344.14	10368.08	10585.95	32767.0	8134.41	28723.62	5366.37	5112.16	5112.16	3395.89	5219.6	23656.34	2271.4	20593.91	6381.92	11745.96	1088.92	13586.57	26431.04	3955.48	8134.41	6516.03	36106.23	11112.3	9945.68	8901.53	0.0	0.0
SIGIRR	454.09	283.05	947.83	4607.24	4268.94	420.68	543.96	389.72	264.03	246.28	420.68	624.99	403.5	1199.98	1143.1	4298.64	3874.05	3257.52	1561.89	842.36	1794.29	2915.45	791.35	2573.36	1883.54	1709.26	3303.0	1286.18	2875.3	2537.92	1508.65	6426.31	4903.87	4769.75	3665.02	5006.93	2573.36	3742.05	1844.76	4704.07	2032.85	3168.41	4639.29	3257.52	2645.74	884.29	4210.15	5751.61	1059.11	2855.44	2047.0	2935.74	1104.13	4512.4	4802.93	1051.79	1832.01	2271.4	1844.76	2119.22	1059.11	3982.99	3955.48	3419.52	1963.57	3303.0	3190.46	1883.54	5831.91	3124.78	12676.65	5112.16	0.0	0.74
SLC16A10	62.12	51.71	28.24	110.43	64.8	13.93	9.93	34.02	10.55	10.88	10.79	98.73	40.36	84.63	38.4	26.67	74.58	49.56	40.07	187.71	52.45	29.48	193.01	80.57	55.49	27.05	3.53	275.28	53.19	201.25	170.25	84.04	75.11	99.43	29.48	109.66	51.71	81.14	91.41	78.34	124.37	145.02	201.25	124.37	47.84	4.28	256.78	166.73	104.42	381.68	60.39	170.25	59.55	86.43	285.03	85.22	62.12	107.38	41.81	194.36	40.36	58.71	13.32	118.43	291.04	137.14	197.09	101.54	157.68	171.45	591.22	356.05	59.55	36.53
SLC22A1	10.71	1.79	20.11	36106.23	20170.07	66.65	7.17	153.34	102.97	173.85	16.15	11.82	9.78	10.96	21.01	7032.37	21320.18	24832.5	10512.82	633.73	14561.8	13492.72	1733.13	23492.92	3874.05	21617.82	688.78	3419.52	24832.5	21617.82	19754.96	36106.23	46662.28	20451.65	20737.16	36864.92	21026.65	33455.53	32994.92	29943.43	6983.79	42641.37	43537.38	24660.96	316.37	111.21	82951.62	17197.56	8778.97	87681.42	6935.54	72715.74	808.0	77396.54	68318.04	708.18	620.67	44761.41	9673.69	82951.62	808.0	2915.45	5633.22	88905.42	57847.82	50011.46	3540.14	30.34	263966.36	35363.15	145432.49	22850.48	0.0	0.43
SLC35D1	90.77	157.68	102.25	1059.11	775.05	115.16	125.24	85.82	106.63	85.22	212.78	68.07	137.14	73.54	237.86	281.09	802.41	395.18	403.5	271.48	447.82	733.19	934.76	769.69	395.18	1008.9	366.09	688.78	624.99	1242.34	1001.93	713.11	842.36	679.29	438.59	902.89	612.11	896.64	872.1	743.43	934.76	981.29	1008.9	796.86	713.11	674.59	1487.87	1242.34	1936.53	1583.71	728.11	1757.34	454.09	543.96	713.11	373.81	620.67	1417.35	358.54	1685.71	1350.18	567.1	205.5	384.34	1733.13	775.05	802.41	460.44	813.63	1225.22	1697.45	1369.04	0.0	0.39
SLC6A13	3.56	4.98	8.71	599.49	571.05	0.0	1.13	7.88	1.38	1.14	1.04	0.82	6.26	0.87	1015.93	147.06	123.5	108.9	320.8	131.51	242.88	551.56	54.72	915.51	156.59	381.68	39.79	275.28	264.03	157.68	435.55	476.71	279.14	493.56	346.29	303.44	169.07	486.75	122.64	323.03	84.63	358.54	460.44	305.55	23.59	0.66	571.05	830.75	129.69	890.44	318.57	825.0	1.89	417.77	457.25	57.49	75.64	629.35	30.12	693.58	114.36	547.75	86.43	206.94	507.46	583.07	417.77	64.8	490.14	341.51	1119.56	896.64	0.0	0.0
SORD	162.14	48.87	327.56	7331.05	4607.24	95.34	463.65	830.75	679.29	624.99	547.75	981.29	1427.22	1037.29	236.21	2240.11	5751.61	1674.06	2240.11	6381.92	2075.59	5633.22	10512.82	4836.35	4450.27	4704.07	2682.69	8134.41	3901.01	8778.97	8479.89	6983.79	7589.61	8191.0	4869.99	2855.44	5913.33	5995.9	6207.38	4543.8	5517.27	8901.53	11504.21	3982.99	941.27	884.29	12160.22	22380.2	6294.04	10014.87	3039.3	34158.52	1088.92	4388.98	3716.2	2319.15	2090.03	10883.59	988.12	11424.74	3742.05	1794.29	791.35	3690.52	15607.02	1844.76	7331.05	2303.12	16496.96	7485.11	12676.65	16496.96	0.0	0.35
STRADB	486.75	2271.4	137.14	1583.71	1378.57	381.68	163.28	60.82	94.01	65.26	223.41	236.21	199.85	190.34	1268.46	514.56	1023.0	612.11	1030.12	802.41	642.59	1059.11	665.29	1225.22	796.86	1685.71	1008.9	785.88	1447.15	1617.0	1322.37	1427.22	1127.35	1242.34	1143.1	988.12	1369.04	1551.09	1745.2	1388.16	981.29	1832.01	1583.71	1594.73	616.37	612.11	1832.01	1350.18	1628.26	2400.97	934.76	1806.78	638.15	1950.0	1242.34	1037.29	1733.13	1674.06	1151.06	1457.23	995.0	759.08	753.83	909.17	1896.65	1508.65	854.13	1639.59	1757.34	2485.67	2701.35	1870.53	0.0	0.43
SULT1E1	0.0	3.08	6.78	104.42	417.77	4.17	31.22	124.37	24.11	301.33	0.0	19.97	13.22	43.02	1.53	11.64	165.57	58.3	2.51	406.31	21.94	96.01	84.04	47.17	42.11	92.7	12.36	42.41	242.88	90.14	185.11	395.18	273.37	303.44	181.28	82.87	293.07	435.55	68.07	55.1	3.82	514.56	406.31	94.67	5.73	1.87	708.18	368.65	96.01	242.88	31.0	206.94	0.0	167.9	128.79	33.3	15.22	698.41	40.07	159.9	9.93	78.89	20.86	15.56	281.09	111.21	71.5	83.45	414.87	105.89	2090.03	1059.11	0.0	0.48
TMEM27	55.89	24.46	80.01	674.59	563.18	19.25	35.76	6.41	56.28	12.09	14.78	7.63	21.16	37.59	656.11	15.34	248.0	231.32	21.01	6.73	14.67	432.53	16.03	273.37	253.23	343.89	6.41	177.53	195.72	403.5	253.23	334.46	536.45	297.17	157.68	387.02	291.04	397.93	392.44	547.75	285.03	647.07	473.41	518.15	8.71	3.82	1001.93	791.35	514.56	1119.56	67.59	928.3	80.01	981.29	521.76	85.22	82.87	651.58	100.83	551.56	39.79	161.02	36.01	163.28	775.05	208.38	102.97	329.84	2075.59	896.64	4704.07	571.05	0.0	0.0
TPMT	273.37	82.87	251.48	872.1	1030.12	279.14	305.55	575.03	307.69	341.51	291.04	497.0	301.33	285.03	708.18	353.59	866.07	733.19	780.44	612.11	447.82	1044.52	775.05	759.08	679.29	1331.57	403.5	854.13	902.89	1096.5	947.83	981.29	1008.9	947.83	866.07	860.08	1037.29	1143.1	890.44	775.05	808.0	1191.69	921.88	974.5	785.88	435.55	1242.34	1498.22	1322.37	1561.89	616.37	1794.29	483.38	1044.52	1216.75	414.87	583.07	1051.79	409.15	1088.92	575.03	902.89	332.14	896.64	1167.14	555.41	612.11	698.41	1277.29	995.0	1286.18	1135.2	0.0	0.33
TTC36	0.92	84.63	4.86	4802.93	3589.58	3.08	0.0	0.0	0.0	2.16	0.0	0.0	1.39	1.08	44.25	31.22	1819.35	1745.2	1143.1	743.43	497.0	1498.22	2287.2	2004.85	890.44	854.13	34.26	1457.23	4181.07	3443.31	3540.14	4328.55	3443.31	4010.71	3303.0	2537.92	2739.08	3955.48	2935.74	2271.4	1936.53	3564.78	5329.3	3491.39	7.0	8.92	6516.03	14361.31	493.56	7537.18	738.29	5711.87	29.27	8363.13	3257.52	426.57	387.02	2287.2	260.38	3690.52	8.06	1991.0	860.08	6426.31	3467.27	1304.15	8305.36	46.84	14262.1	4239.45	13968.57	7382.04	0.0	0.0
TUBE1	104.42	265.87	151.22	813.63	638.15	135.24	114.36	88.26	70.01	79.45	78.34	105.15	170.25	147.06	267.73	111.99	723.08	389.72	262.2	176.29	149.12	318.57	173.85	603.67	283.05	607.87	81.71	283.05	435.55	500.46	567.1	460.44	848.22	371.22	339.14	532.74	616.37	341.51	642.59	500.46	521.76	928.3	674.59	493.56	397.93	343.89	1233.75	521.76	417.77	884.29	262.2	775.05	182.55	441.64	514.56	285.03	325.29	633.73	295.11	679.29	457.25	414.87	500.46	490.14	638.15	371.22	454.09	244.57	753.83	583.07	1208.34	738.29	0.0	0.36
ZNF385B	3.0	1.01	102.25	209.84	208.38	1.95	3.99	0.0	0.78	3.38	6.57	0.0	3.79	8.92	6.06	12.93	169.07	52.82	26.1	87.65	26.1	162.14	24.11	218.79	127.89	126.12	26.47	244.57	145.02	226.54	241.19	178.77	239.52	170.25	164.42	71.0	181.28	208.38	232.94	120.1	81.14	432.53	299.25	204.07	23.93	11.64	438.59	224.97	119.26	275.28	113.56	567.1	10.96	94.67	327.56	12.27	81.71	91.41	104.42	212.78	57.49	102.25	32.36	119.26	232.94	137.14	206.94	73.03	412.0	164.42	1088.92	444.72	0.0	0.06
