	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	GTEX.1399S.0526.SM.5IJG8	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07
STX7	264.03	307.69	351.14	154.42	974.5	1277.29	688.78	967.76	1832.01	629.35	2104.58	2004.85	1457.23	1127.35	2104.58	1008.9	1709.26	1167.14	1369.04	1844.76	1857.6	1757.34	1407.55	1769.57	1295.13	1769.57	1508.65	2032.85	941.27	567.1	941.27	947.83	1427.22	1295.13	1674.06	2240.11	1628.26	1313.23	1467.37	1313.23	1498.22	638.15	293.07	406.31	343.89	159.9	248.0	258.57	848.22	698.41	351.14	297.17	457.25	409.15	392.44	392.44	341.51	599.49	289.02	1073.91	1242.34	466.88
SUCLA2	218.79	497.0	426.57	329.84	1331.57	1388.16	909.17	1250.98	2271.4	684.02	2400.97	1844.76	1909.85	1313.23	1697.45	1233.75	1844.76	2287.2	1909.85	1331.57	2271.4	2682.69	1617.0	2163.77	2178.83	1963.57	2303.12	2520.38	2119.22	1208.34	915.51	961.07	1745.2	1594.73	1498.22	2758.13	2777.33	1617.0	934.76	1037.29	703.28	1023.0	620.67	503.95	457.25	258.57	780.44	521.76	713.11	1051.79	1191.69	414.87	775.05	674.59	384.34	693.58	1008.9	543.96	409.15	890.44	507.46	490.14
TACC1	229.72	152.28	417.77	127.0	2119.22	5517.27	1594.73	1883.54	3515.68	1304.15	6840.04	6607.01	3124.78	4123.49	5006.93	3515.68	4607.24	4268.94	3018.3	5329.3	5219.6	4575.41	4671.57	6561.36	5255.91	4388.98	4328.55	1963.57	5672.41	2997.45	2875.3	3564.78	836.53	4802.93	5403.7	9151.82	11745.96	2018.8	3467.27	5633.22	4937.99	1781.89	221.86	312.0	473.41	201.25	237.86	208.38	3847.29	1819.35	236.21	199.85	224.97	283.05	325.29	118.43	307.69	426.57	162.14	2351.53	1561.89	88.88
TEAD1	101.54	73.54	98.73	61.25	368.65	1030.12	332.14	348.71	1388.16	214.27	1963.57	1340.84	995.0	890.44	1001.93	764.36	1167.14	988.12	1015.93	961.07	1191.69	1674.06	1015.93	1167.14	1277.29	1322.37	1697.45	1088.92	1073.91	848.22	660.68	366.09	497.0	1417.35	1286.18	1175.27	2178.83	808.0	507.46	995.0	651.58	441.64	68.55	170.25	134.3	166.73	204.07	87.65	279.14	212.78	232.94	75.64	137.14	273.37	178.77	75.11	150.17	190.34	69.52	500.46	111.21	30.78
TLCD2	32.59	25.17	74.06	3.89	72.52	151.22	73.54	85.82	195.72	70.01	395.18	206.94	215.77	209.84	190.34	123.5	403.5	176.29	182.55	287.01	309.83	177.53	176.29	198.47	204.07	246.28	194.36	180.02	157.68	106.63	162.14	56.28	48.52	129.69	281.09	281.09	155.5	191.67	57.89	71.0	80.01	95.34	49.56	26.86	28.45	45.21	15.34	11.3	108.9	139.07	30.12	18.43	22.26	23.76	47.84	12.83	88.88	125.24	29.48	80.01	130.6	22.43
TMEM245	231.32	246.28	241.19	113.56	409.15	819.3	435.55	438.59	967.76	269.6	1096.5	1030.12	688.78	684.02	941.27	713.11	981.29	954.43	967.76	698.41	1081.39	1030.12	854.13	1051.79	1378.57	878.17	1745.2	1350.18	1175.27	633.73	518.15	525.39	483.38	575.03	1030.12	1467.37	1242.34	836.53	674.59	651.58	872.1	507.46	153.34	273.37	341.51	96.01	373.81	123.5	379.04	376.41	178.77	209.84	309.83	307.69	237.86	155.5	343.89	429.54	180.02	947.83	379.04	229.72
TMEM56	63.0	8.71	23.59	5.19	123.5	129.69	98.04	116.78	325.29	37.59	363.56	336.79	175.07	175.07	224.97	57.89	346.29	135.24	109.66	244.57	214.27	327.56	199.85	218.79	139.07	185.11	441.64	500.46	153.34	90.14	116.78	53.57	186.4	205.5	316.37	256.78	457.25	239.52	181.28	91.41	166.73	51.71	11.55	17.64	84.04	2.66	2.01	6.62	135.24	70.01	0.62	6.52	5.11	2.03	17.51	1.0	2.32	61.68	1.83	98.73	113.56	6.57
TRAK2	105.15	74.06	105.15	88.26	529.06	791.35	295.11	438.59	629.35	265.87	1096.5	1151.06	679.29	764.36	728.11	612.11	819.3	684.02	738.29	738.29	848.22	698.41	791.35	934.76	902.89	825.0	708.18	1447.15	988.12	612.11	651.58	866.07	860.08	902.89	518.15	1073.91	872.1	718.08	1233.75	497.0	780.44	318.57	49.21	116.78	195.72	47.84	102.25	98.73	497.0	389.72	49.56	92.05	119.26	165.57	90.77	76.17	89.51	178.77	59.13	480.04	191.67	71.0
TTPA	0.0	0.0	0.0	0.97	27.05	35.0	20.41	29.48	80.01	11.47	46.18	46.18	48.52	70.01	50.98	39.22	30.78	42.11	80.57	43.32	76.17	126.12	38.67	29.27	88.88	80.01	55.1	312.0	52.45	33.06	82.87	1.77	33.3	88.26	108.14	67.59	64.34	98.73	8.71	15.56	13.22	10.55	9.41	1.07	2.84	0.0	0.0	0.0	9.48	32.13	0.0	0.0	0.0	0.0	0.69	0.0	0.44	0.0	0.42	3.53	3.08	3.0
UBA2	909.17	1397.83	1340.84	1617.0	2335.28	2664.15	1617.0	3018.3	3742.05	1378.57	4481.23	3190.46	3928.15	3690.52	3491.39	2319.15	2935.74	2997.45	3614.55	2701.35	4972.34	3794.3	3515.68	3235.01	3928.15	4181.07	2915.45	4239.45	3124.78	2193.99	2468.49	3742.05	1819.35	2875.3	2591.27	2855.44	3716.2	2573.36	2645.74	2796.65	3325.99	1561.89	1540.37	1721.16	1340.84	1104.13	1674.06	1508.65	2701.35	1936.53	1529.73	1119.56	1950.0	1662.49	1427.22	1369.04	1417.35	1397.83	1295.13	1295.13	1127.35	1697.45
WNK1	287.01	289.02	389.72	289.02	961.07	2468.49	1001.93	872.1	2609.3	607.87	3716.2	3716.2	1733.13	2178.83	2855.44	1819.35	3039.3	2303.12	2133.97	2591.27	2664.15	2434.5	2367.9	3349.13	2720.15	2720.15	1991.0	1963.57	3081.75	1417.35	1721.16	2193.99	848.22	1794.29	2400.97	4010.71	4736.79	1350.18	2090.03	1551.09	3018.3	1467.37	1066.48	536.45	836.53	703.28	209.84	1001.93	1477.58	878.17	1023.0	497.0	1066.48	1119.56	633.73	559.28	1111.82	872.1	1259.69	2796.65	988.12	132.44
ZBTB20	2.92	7.57	2.84	8.58	11.73	56.28	14.14	11.91	65.72	7.11	147.06	169.07	19.97	54.33	90.14	21.63	71.0	58.71	60.39	112.77	75.11	49.91	57.08	81.14	80.01	36.01	25.72	25.72	14.45	27.44	16.75	44.89	90.77	16.27	33.78	6.41	18.7	6.11	27.64	46.18	56.28	16.75	9.93	12.36	4.31	2.34	2.36	4.98	27.84	6.67	3.82	4.54	2.76	15.22	10.39	0.55	5.06	7.34	2.89	33.06	13.52	5.23
ZC3H12C	10.39	14.03	21.63	7.4	53.57	124.37	37.59	44.57	124.37	39.79	158.79	123.5	69.52	91.41	153.34	75.64	137.14	96.01	118.43	117.6	96.68	150.17	96.68	149.12	138.1	82.87	148.09	127.0	132.44	54.33	72.01	105.15	59.97	113.56	102.97	159.9	307.69	68.55	142.01	157.68	228.13	45.85	28.04	30.56	22.1	24.28	16.03	39.79	208.38	42.11	79.45	22.43	115.97	202.66	64.8	15.91	92.05	40.36	19.97	83.45	58.71	53.57
ZNF106	70.51	82.29	100.83	80.57	753.83	1104.13	376.41	543.96	1350.18	346.29	2133.97	1709.26	974.5	1015.93	1685.71	848.22	1340.84	1427.22	1457.23	1268.46	1487.87	1242.34	1529.73	1733.13	1721.16	1477.58	1832.01	1605.83	1277.29	1051.79	587.13	583.07	1159.07	1388.16	902.89	2209.26	2209.26	890.44	483.38	802.41	511.0	540.19	194.36	99.43	193.01	128.79	91.41	116.78	303.44	301.33	109.66	88.26	163.28	273.37	258.57	77.25	231.32	159.9	88.26	603.67	289.02	34.02
ZNF275	120.94	40.64	54.33	68.55	154.42	217.27	126.12	149.12	301.33	104.42	336.79	251.48	236.21	183.82	224.97	226.54	291.04	169.07	249.73	226.54	255.0	314.17	231.32	206.94	236.21	251.48	158.79	346.29	271.48	273.37	161.02	392.44	170.25	159.9	316.37	285.03	249.73	470.14	693.58	406.31	379.04	206.94	62.12	68.07	57.89	75.64	25.54	37.05	197.09	127.89	62.56	58.3	59.13	116.78	262.2	39.5	107.38	60.39	94.67	277.2	65.72	9.63
ZYG11B	151.22	60.39	117.6	74.06	206.94	273.37	151.22	156.59	379.04	131.51	403.5	336.79	297.17	289.02	262.2	253.23	291.04	343.89	368.65	299.25	312.0	395.18	283.05	363.56	395.18	346.29	432.53	470.14	291.04	191.67	316.37	271.48	202.66	299.25	221.86	432.53	426.57	295.11	262.2	283.05	297.17	166.73	85.22	82.29	105.15	54.33	60.82	59.55	162.14	127.89	51.71	66.65	87.03	114.36	125.24	45.53	73.54	125.24	81.14	187.71	231.32	46.18
