	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.A7UZ.01A.12R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
PRUNE	287.01	387.02	660.68	813.63	748.61	693.58	607.87	802.41	842.36	769.69	403.5	1030.12	884.29	842.36	1015.93	753.83	406.31	698.41	633.73	497.0	1519.15	713.11	620.67	802.41	890.44	769.69	679.29	830.75	780.44	748.61	759.08	674.59	769.69	624.99	693.58	743.43	647.07	854.13	1015.93	738.29	769.69	693.58	780.44	775.05	796.86	808.0	860.08	753.83	669.92	713.11	866.07	738.29	769.69	363.56	314.17	297.17	312.0	293.07	283.05	299.25	265.87	248.0	356.05	208.38	426.57	366.09	258.57	260.38	447.82	363.56	309.83	607.87	642.59	620.67	579.04	555.41	738.29	642.59	764.36	493.56	647.07	693.58	796.86	591.22	775.05	688.78	121.79	128.79	142.01	154.42	688.78	1447.15	1268.46	1143.1	1059.11	848.22	1909.85	813.63	1457.23	848.22
PWWP2A	118.43	112.77	232.94	215.77	127.89	163.28	157.68	157.68	156.59	86.43	417.77	166.73	100.13	316.37	346.29	226.54	191.67	249.73	220.32	138.1	854.13	329.84	148.09	209.84	248.0	262.2	239.52	224.97	197.09	248.0	232.94	143.01	248.0	183.82	158.79	237.86	130.6	277.2	277.2	241.19	236.21	221.86	226.54	191.67	180.02	199.85	204.07	158.79	214.27	186.4	204.07	269.6	253.23	55.49	78.34	126.12	111.99	60.39	55.49	87.65	76.17	102.25	24.99	73.03	128.79	151.22	67.59	81.14	48.87	57.49	57.49	148.09	183.82	211.31	132.44	133.36	189.02	205.5	197.09	154.42	157.68	150.17	193.01	148.09	153.34	162.14	64.8	84.63	66.18	72.52	159.9	251.48	169.07	255.0	217.27	150.17	232.94	158.79	228.13	177.53
RAB18	909.17	1286.18	2061.24	1883.54	1896.65	2032.85	1896.65	2133.97	4358.66	1819.35	1259.69	2047.0	2224.63	2739.08	2335.28	2468.49	974.5	1674.06	1561.89	1551.09	2915.45	753.83	1977.24	2133.97	2319.15	1991.0	2520.38	2075.59	2287.2	2502.97	2335.28	2178.83	2303.12	2193.99	2018.8	2434.5	2224.63	2434.5	2895.31	2209.26	2335.28	2119.22	1991.0	2271.4	2148.82	2047.0	1844.76	3060.45	2255.7	2061.24	2627.46	2720.15	1923.14	1388.16	1417.35	1216.75	988.12	764.36	1304.15	1242.34	1340.84	836.53	802.41	656.11	1304.15	819.3	1216.75	1066.48	698.41	947.83	1233.75	1991.0	1651.0	1639.59	1963.57	1662.49	1721.16	1605.83	1561.89	1685.71	1819.35	1844.76	1628.26	1757.34	1407.55	1857.6	854.13	995.0	1127.35	1073.91	1819.35	1639.59	2502.97	1540.37	1709.26	1388.16	2367.9	1617.0	2367.9	1721.16
RAB5B	540.19	660.68	2018.8	2047.0	1359.57	1697.45	1757.34	1540.37	2777.33	1331.57	1437.15	1685.71	2303.12	3168.41	2090.03	1844.76	872.1	1340.84	988.12	1277.29	1832.01	884.29	1870.53	2018.8	2287.2	1769.57	2287.2	2335.28	2178.83	2591.27	1991.0	1950.0	2178.83	1909.85	1617.0	2303.12	1628.26	2193.99	2434.5	2287.2	2271.4	2303.12	2047.0	1963.57	1923.14	2271.4	2004.85	1896.65	2047.0	1950.0	2004.85	2148.82	2133.97	651.58	1519.15	1457.23	651.58	457.25	830.75	1175.27	753.83	463.65	928.3	785.88	1322.37	902.89	1037.29	848.22	1001.93	384.34	902.89	974.5	1857.6	1870.53	1870.53	1819.35	1883.54	1977.24	1806.78	1857.6	1757.34	1991.0	1709.26	1870.53	1721.16	2047.0	406.31	476.71	518.15	417.77	1594.73	1896.65	1883.54	1594.73	1369.04	1073.91	1508.65	1745.2	1909.85	1832.01
RAB6A	1135.2	1159.07	1605.83	1529.73	1250.98	1674.06	1721.16	1529.73	2271.4	961.07	1111.82	1437.15	2148.82	2104.58	1662.49	1457.23	1242.34	1605.83	1540.37	1073.91	1674.06	780.44	1498.22	1745.2	1936.53	1697.45	2193.99	1806.78	1977.24	2224.63	2032.85	1709.26	1757.34	1709.26	1651.0	1896.65	1639.59	1936.53	2384.37	1794.29	1674.06	1909.85	1806.78	1757.34	1487.87	2032.85	1519.15	2119.22	1628.26	1883.54	1896.65	2485.67	1781.89	1250.98	1111.82	1167.14	819.3	884.29	995.0	836.53	1407.55	848.22	571.05	624.99	1037.29	878.17	1104.13	1030.12	536.45	748.61	1233.75	1369.04	1331.57	1457.23	1378.57	1359.57	1369.04	1519.15	1268.46	1407.55	1388.16	1467.37	1378.57	1651.0	1208.34	1457.23	1259.69	1143.1	896.64	961.07	1651.0	1388.16	1605.83	1427.22	1909.85	1551.09	2271.4	1259.69	1896.65	1487.87
RANBP6	116.78	72.01	303.44	226.54	221.86	239.52	251.48	221.86	209.84	265.87	406.31	323.03	397.93	371.22	400.71	409.15	135.24	137.14	143.01	191.67	164.42	70.51	242.88	303.44	314.17	334.46	381.68	271.48	312.0	358.54	307.69	297.17	363.56	285.03	346.29	351.14	264.03	358.54	483.38	287.01	395.18	309.83	339.14	303.44	273.37	356.05	334.46	346.29	262.2	285.03	353.59	470.14	339.14	115.97	131.51	172.65	140.04	132.44	185.11	173.85	198.47	187.71	65.26	143.01	182.55	195.72	156.59	209.84	85.82	116.78	201.25	236.21	273.37	262.2	231.32	241.19	327.56	262.2	283.05	239.52	251.48	287.01	279.14	295.11	279.14	295.11	183.82	164.42	102.25	88.88	147.06	224.97	181.28	307.69	193.01	123.5	387.02	151.22	283.05	241.19
REST	120.1	139.07	297.17	228.13	112.77	217.27	185.11	140.04	185.11	181.28	224.97	371.22	271.48	559.28	309.83	253.23	70.01	155.5	89.51	123.5	234.57	90.77	234.57	329.84	281.09	262.2	356.05	267.73	291.04	356.05	291.04	241.19	339.14	267.73	231.32	363.56	189.02	371.22	412.0	320.8	303.44	318.57	346.29	264.03	206.94	351.14	341.51	229.72	248.0	236.21	301.33	525.39	356.05	150.17	126.12	171.45	95.34	84.63	77.79	70.01	109.66	112.77	28.45	84.04	91.41	161.02	132.44	133.36	57.08	79.45	120.1	182.55	195.72	253.23	172.65	217.27	269.6	269.6	248.0	197.09	191.67	242.88	204.07	264.03	228.13	241.19	74.06	72.01	97.36	74.06	246.28	204.07	193.01	327.56	231.32	140.04	249.73	226.54	267.73	248.0
RLIM	84.04	170.25	236.21	193.01	108.9	223.41	229.72	134.3	215.77	195.72	255.0	228.13	265.87	423.61	339.14	256.78	166.73	185.11	153.34	148.09	281.09	147.06	209.84	325.29	320.8	332.14	389.72	301.33	339.14	389.72	323.03	271.48	373.81	275.28	262.2	327.56	231.32	346.29	417.77	314.17	336.79	334.46	334.46	273.37	193.01	366.09	305.55	351.14	253.23	289.02	325.29	575.03	351.14	111.21	124.37	155.5	133.36	110.43	124.37	127.0	173.85	148.09	59.97	87.65	138.1	150.17	142.01	149.12	113.56	153.34	153.34	180.02	228.13	246.28	194.36	251.48	265.87	293.07	255.0	204.07	218.79	267.73	228.13	343.89	232.94	256.78	115.97	98.04	63.89	98.73	348.71	224.97	301.33	251.48	242.88	166.73	295.11	232.94	309.83	249.73
RSBN1	65.26	108.9	185.11	163.28	121.79	129.69	150.17	113.56	172.65	85.22	115.97	191.67	285.03	791.35	127.89	128.79	125.24	123.5	97.36	96.01	101.54	83.45	150.17	258.57	212.78	161.02	251.48	187.71	231.32	208.38	242.88	165.57	237.86	173.85	171.45	218.79	157.68	218.79	229.72	194.36	231.32	201.25	234.57	217.27	177.53	248.0	218.79	199.85	187.71	154.42	176.29	237.86	228.13	60.82	62.56	94.67	56.28	53.57	68.07	49.21	85.22	85.22	33.78	44.25	80.57	82.29	53.95	66.65	63.89	37.85	62.56	147.06	181.28	121.79	119.26	140.04	136.19	191.67	145.02	117.6	127.89	161.02	143.01	158.79	171.45	190.34	46.84	48.52	40.64	74.58	228.13	206.94	212.78	218.79	206.94	140.04	208.38	241.19	241.19	239.52
RSF1	137.14	191.67	384.34	231.32	171.45	295.11	253.23	181.28	285.03	180.02	239.52	258.57	291.04	483.38	343.89	373.81	122.64	177.53	212.78	209.84	299.25	112.77	220.32	395.18	363.56	279.14	444.72	265.87	323.03	423.61	361.04	242.88	470.14	318.57	212.78	409.15	181.28	476.71	447.82	343.89	327.56	361.04	358.54	309.83	271.48	493.56	387.02	287.01	323.03	356.05	346.29	406.31	376.41	157.68	140.04	165.57	119.26	109.66	127.89	78.34	183.82	118.43	33.3	96.01	62.56	161.02	116.78	161.02	59.97	159.9	70.51	177.53	241.19	303.44	231.32	242.88	234.57	297.17	265.87	204.07	229.72	309.83	239.52	329.84	224.97	253.23	83.45	88.26	85.22	85.82	353.59	371.22	312.0	336.79	543.96	454.09	379.04	376.41	420.68	406.31
SCAMP1	392.44	289.02	571.05	466.88	435.55	444.72	457.25	500.46	551.56	444.72	457.25	708.18	603.67	1081.39	684.02	1295.13	473.41	426.57	441.64	307.69	1059.11	470.14	563.18	656.11	718.08	693.58	775.05	642.59	728.11	723.08	669.92	567.1	708.18	579.04	595.34	693.58	511.0	728.11	1008.9	540.19	698.41	674.59	651.58	595.34	647.07	808.0	575.03	825.0	660.68	607.87	748.61	708.18	620.67	172.65	265.87	291.04	366.09	246.28	397.93	379.04	358.54	197.09	111.21	255.0	490.14	285.03	332.14	299.25	181.28	291.04	253.23	400.71	532.74	507.46	483.38	454.09	507.46	483.38	450.94	450.94	483.38	674.59	490.14	532.74	426.57	521.76	132.44	193.01	144.01	197.09	460.44	450.94	703.28	507.46	500.46	389.72	813.63	309.83	587.13	423.61
SECISBP2L	121.79	78.34	563.18	460.44	320.8	493.56	460.44	351.14	381.68	327.56	414.87	656.11	583.07	1508.65	995.0	460.44	169.07	305.55	249.73	239.52	497.0	198.47	463.65	753.83	713.11	536.45	733.19	674.59	599.49	733.19	595.34	559.28	796.86	629.35	518.15	813.63	463.65	808.0	813.63	669.92	669.92	679.29	629.35	575.03	490.14	693.58	595.34	612.11	567.1	587.13	595.34	703.28	660.68	277.2	193.01	334.46	175.07	117.6	159.9	112.77	297.17	327.56	33.78	172.65	100.13	253.23	229.72	293.07	103.69	94.01	199.85	314.17	470.14	500.46	466.88	432.53	543.96	525.39	493.56	503.95	447.82	587.13	460.44	555.41	426.57	460.44	86.43	138.1	120.1	104.42	890.44	629.35	769.69	915.51	571.05	414.87	842.36	718.08	764.36	571.05
SEPT10	995.0	251.48	1044.52	974.5	1119.56	1001.93	1183.45	1143.1	934.76	438.59	753.83	848.22	1008.9	1369.04	1127.35	679.29	647.07	733.19	629.35	764.36	753.83	599.49	995.0	1023.0	1175.27	941.27	1304.15	890.44	1044.52	1407.55	1250.98	1023.0	1073.91	1096.5	934.76	1159.07	1183.45	1304.15	1477.58	915.51	1023.0	1088.92	1088.92	1199.98	1250.98	1143.1	866.07	1104.13	830.75	1051.79	1295.13	1259.69	1104.13	384.34	395.18	571.05	329.84	339.14	420.68	248.0	764.36	307.69	88.26	555.41	320.8	414.87	339.14	836.53	113.56	260.38	323.03	842.36	748.61	967.76	896.64	775.05	915.51	961.07	728.11	836.53	902.89	909.17	830.75	988.12	780.44	854.13	432.53	444.72	656.11	743.43	1135.2	866.07	1037.29	896.64	921.88	842.36	1175.27	703.28	1216.75	813.63
SLC25A40	63.45	190.34	376.41	325.29	283.05	228.13	334.46	397.93	444.72	224.97	170.25	236.21	483.38	511.0	363.56	182.55	127.0	307.69	226.54	166.73	275.28	198.47	293.07	251.48	363.56	454.09	332.14	343.89	358.54	591.22	236.21	236.21	301.33	318.57	323.03	379.04	251.48	373.81	529.06	353.59	353.59	341.51	318.57	366.09	387.02	466.88	264.03	371.22	309.83	293.07	341.51	406.31	277.2	223.41	151.22	271.48	133.36	88.26	122.64	123.5	164.42	211.31	108.9	102.25	129.69	336.79	151.22	167.9	117.6	56.68	395.18	258.57	248.0	228.13	242.88	255.0	316.37	271.48	267.73	197.09	214.27	262.2	312.0	234.57	190.34	217.27	87.03	102.97	187.71	81.14	260.38	264.03	287.01	318.57	265.87	154.42	536.45	202.66	341.51	173.85
SMAD2	647.07	414.87	1304.15	1044.52	988.12	1208.34	1127.35	1088.92	2018.8	529.06	934.76	988.12	1529.73	1540.37	934.76	1030.12	796.86	1023.0	723.08	708.18	1044.52	543.96	1119.56	1277.29	1313.23	1183.45	1447.15	1225.22	1313.23	1457.23	1561.89	1277.29	1388.16	1151.06	1127.35	1259.69	981.29	1322.37	1551.09	1250.98	1199.98	1225.22	1388.16	1175.27	1151.06	1447.15	1242.34	1295.13	1259.69	1350.18	1295.13	1487.87	1216.75	384.34	866.07	607.87	476.71	255.0	651.58	764.36	665.29	366.09	665.29	318.57	1208.34	612.11	748.61	540.19	591.22	674.59	669.92	921.88	872.1	1159.07	1066.48	954.43	1096.5	1259.69	967.76	981.29	1073.91	1143.1	988.12	1268.46	981.29	1143.1	336.79	297.17	490.14	255.0	1250.98	1457.23	1806.78	1529.73	1896.65	1417.35	1721.16	1216.75	1757.34	1498.22
SMAD4	175.07	186.4	1191.69	981.29	915.51	902.89	981.29	1044.52	1151.06	368.65	698.41	830.75	1896.65	2591.27	1286.18	1059.11	395.18	463.65	417.77	547.75	954.43	320.8	1081.39	1388.16	1350.18	1023.0	1508.65	1059.11	1167.14	1870.53	1388.16	890.44	1304.15	1199.98	934.76	1268.46	981.29	1508.65	1757.34	954.43	1268.46	1313.23	1295.13	1487.87	1369.04	1551.09	1277.29	1233.75	1127.35	1111.82	1259.69	1477.58	1191.69	218.79	244.57	473.41	281.09	78.89	212.78	231.32	395.18	346.29	115.97	249.73	607.87	420.68	269.6	426.57	236.21	232.94	329.84	791.35	878.17	928.3	878.17	796.86	1015.93	928.3	967.76	813.63	909.17	1066.48	1001.93	1073.91	743.43	909.17	325.29	242.88	144.01	215.77	1832.01	1487.87	1498.22	2178.83	1135.2	802.41	1896.65	1216.75	1950.0	1208.34
SMIM15	684.02	540.19	1191.69	1199.98	909.17	1216.75	1119.56	1066.48	2119.22	802.41	1001.93	884.29	1331.57	1233.75	1378.57	1427.22	890.44	808.0	791.35	884.29	1378.57	579.04	974.5	1135.2	1304.15	1322.37	1233.75	1199.98	1191.69	1477.58	1331.57	1096.5	1081.39	1127.35	1081.39	1225.22	1051.79	1167.14	1457.23	1268.46	1259.69	1208.34	1225.22	1119.56	1081.39	1350.18	1183.45	1183.45	1088.92	1051.79	1225.22	1674.06	1119.56	738.29	764.36	967.76	780.44	819.3	872.1	909.17	1059.11	567.1	432.53	563.18	1151.06	872.1	674.59	802.41	642.59	583.07	780.44	1313.23	902.89	1037.29	1015.93	1008.9	1225.22	1037.29	1059.11	1030.12	1015.93	1143.1	1015.93	1088.92	915.51	1037.29	587.13	656.11	808.0	743.43	638.15	848.22	791.35	890.44	1066.48	813.63	1242.34	642.59	796.86	915.51
SMU1	830.75	599.49	941.27	878.17	718.08	928.3	825.0	785.88	842.36	947.83	753.83	921.88	1427.22	1233.75	1030.12	1044.52	934.76	813.63	842.36	860.08	624.99	409.15	748.61	988.12	1119.56	1088.92	1127.35	947.83	1081.39	1119.56	1119.56	961.07	1066.48	1001.93	967.76	1119.56	808.0	1096.5	1208.34	1008.9	1159.07	947.83	1051.79	1051.79	854.13	1151.06	1030.12	1051.79	974.5	1051.79	1191.69	1407.55	1073.91	563.18	624.99	674.59	669.92	555.41	620.67	743.43	775.05	536.45	703.28	616.37	808.0	780.44	728.11	759.08	708.18	698.41	575.03	954.43	802.41	890.44	915.51	854.13	884.29	848.22	836.53	769.69	896.64	915.51	802.41	961.07	896.64	934.76	559.28	532.74	551.56	521.76	633.73	1066.48	780.44	830.75	748.61	679.29	1498.22	866.07	1104.13	1008.9
SRFBP1	59.13	52.82	147.06	124.37	132.44	133.36	135.24	146.03	251.48	95.34	148.09	111.99	198.47	175.07	127.0	171.45	90.77	102.25	98.04	62.12	152.28	108.14	129.69	147.06	150.17	180.02	185.11	153.34	153.34	205.5	186.4	127.89	159.9	142.01	122.64	180.02	149.12	177.53	201.25	163.28	161.02	165.57	169.07	156.59	144.01	171.45	150.17	156.59	125.24	153.34	173.85	236.21	150.17	71.0	38.95	92.05	60.82	45.85	49.56	57.89	102.25	45.21	12.09	52.82	57.08	93.35	55.49	68.07	20.11	60.82	51.35	132.44	126.12	136.19	123.5	109.66	133.36	143.01	104.42	102.97	121.79	143.01	111.21	140.04	104.42	127.0	57.08	43.94	65.26	59.55	100.13	133.36	101.54	122.64	109.66	109.66	264.03	101.54	165.57	141.02
SRP72	656.11	638.15	1259.69	1088.92	1242.34	1088.92	1081.39	1250.98	1508.65	753.83	679.29	1081.39	1313.23	1685.71	1081.39	1119.56	1096.5	1044.52	1023.0	830.75	2178.83	536.45	1295.13	1183.45	1286.18	1529.73	1583.71	1259.69	1313.23	1498.22	1340.84	1183.45	1350.18	1096.5	1159.07	1359.57	1322.37	1350.18	1313.23	1295.13	1259.69	1250.98	1233.75	1277.29	1250.98	1378.57	1104.13	1561.89	1304.15	1331.57	1467.37	1250.98	1159.07	480.04	854.13	775.05	656.11	595.34	521.76	693.58	759.08	441.64	371.22	507.46	633.73	860.08	629.35	607.87	500.46	775.05	674.59	954.43	1096.5	1183.45	1096.5	878.17	1073.91	1096.5	995.0	995.0	1111.82	1225.22	1030.12	1277.29	974.5	1037.29	830.75	633.73	743.43	1023.0	1023.0	1159.07	988.12	1151.06	1250.98	947.83	1832.01	954.43	1277.29	1417.35
SS18	547.75	392.44	1127.35	961.07	532.74	974.5	934.76	669.92	819.3	638.15	974.5	1159.07	1183.45	1721.16	1794.29	1340.84	599.49	629.35	934.76	808.0	1583.71	629.35	802.41	1037.29	1233.75	1059.11	1242.34	1199.98	1059.11	1250.98	1216.75	947.83	1127.35	1111.82	890.44	1191.69	723.08	1199.98	1617.0	1051.79	988.12	1151.06	1191.69	941.27	785.88	1350.18	928.3	915.51	1096.5	1250.98	1119.56	1407.55	1111.82	483.38	529.06	830.75	603.67	197.09	620.67	579.04	743.43	575.03	163.28	381.68	848.22	679.29	518.15	759.08	511.0	353.59	547.75	684.02	878.17	988.12	902.89	854.13	921.88	1104.13	836.53	890.44	890.44	974.5	830.75	1001.93	872.1	902.89	567.1	476.71	305.55	591.22	1508.65	1277.29	1350.18	1551.09	921.88	775.05	1617.0	1359.57	1259.69	1340.84
STAG2	473.41	432.53	842.36	733.19	511.0	723.08	651.58	543.96	780.44	318.57	412.0	497.0	638.15	2133.97	1081.39	603.67	332.14	460.44	466.88	384.34	503.95	395.18	656.11	1037.29	995.0	890.44	1151.06	791.35	909.17	1191.69	909.17	753.83	1051.79	848.22	748.61	1044.52	708.18	1175.27	1350.18	1008.9	947.83	974.5	896.64	872.1	703.28	1183.45	954.43	1066.48	848.22	785.88	988.12	1001.93	902.89	325.29	269.6	327.56	244.57	336.79	209.84	62.56	447.82	275.28	61.68	258.57	171.45	356.05	297.17	334.46	149.12	231.32	253.23	575.03	642.59	708.18	607.87	633.73	708.18	665.29	679.29	595.34	624.99	775.05	656.11	708.18	629.35	693.58	205.5	283.05	156.59	320.8	1051.79	974.5	1151.06	1015.93	1066.48	1037.29	1119.56	785.88	1143.1	1037.29
STAM2	193.01	149.12	435.55	373.81	397.93	348.71	325.29	406.31	334.46	161.02	275.28	384.34	381.68	733.19	559.28	346.29	158.79	205.5	204.07	264.03	389.72	195.72	358.54	466.88	500.46	438.59	466.88	460.44	460.44	624.99	426.57	336.79	563.18	395.18	392.44	473.41	368.65	518.15	511.0	373.81	444.72	511.0	429.54	435.55	392.44	559.28	466.88	466.88	403.5	356.05	389.72	480.04	476.71	132.44	120.94	177.53	173.85	101.54	121.79	104.42	183.82	187.71	39.5	131.51	121.79	154.42	124.37	214.27	73.54	84.63	149.12	295.11	361.04	325.29	343.89	318.57	363.56	379.04	327.56	291.04	305.55	397.93	348.71	358.54	285.03	316.37	84.04	115.97	122.64	163.28	316.37	329.84	432.53	341.51	241.19	186.4	432.53	395.18	353.59	312.0
STOX1	17.13	34.26	48.52	85.22	62.12	49.91	47.17	58.3	34.02	29.48	22.1	112.77	55.49	71.0	74.06	41.81	1.73	33.78	11.13	36.27	146.03	120.1	48.52	92.7	64.8	77.25	102.97	80.01	68.55	138.1	45.85	85.22	75.64	114.36	91.41	127.89	68.07	76.71	109.66	80.01	69.52	82.29	58.71	56.68	65.72	94.01	91.41	41.22	103.69	42.41	68.07	64.8	72.52	2.36	3.66	1.22	4.74	7.4	3.06	15.11	2.58	0.32	2.56	0.61	1.1	18.84	4.9	3.17	9.27	11.73	2.86	59.97	77.79	49.91	51.35	94.67	52.08	47.5	59.97	38.4	55.49	49.21	48.87	47.84	51.71	48.18	4.17	7.28	4.78	0.79	57.08	140.04	460.44	87.65	107.38	65.72	90.14	134.3	99.43	90.14
TCF12	177.53	190.34	769.69	571.05	325.29	551.56	529.06	486.75	579.04	239.52	579.04	575.03	583.07	1127.35	981.29	947.83	291.04	723.08	371.22	371.22	679.29	332.14	607.87	785.88	759.08	733.19	1008.9	748.61	1008.9	813.63	995.0	665.29	848.22	587.13	529.06	796.86	587.13	830.75	825.0	780.44	764.36	785.88	825.0	679.29	591.22	954.43	718.08	748.61	698.41	728.11	738.29	733.19	785.88	212.78	314.17	412.0	265.87	205.5	182.55	212.78	368.65	262.2	73.03	199.85	249.73	379.04	271.48	305.55	226.54	171.45	336.79	397.93	493.56	780.44	583.07	497.0	555.41	633.73	503.95	567.1	518.15	616.37	595.34	791.35	447.82	669.92	189.02	191.67	182.55	139.07	679.29	540.19	473.41	703.28	703.28	373.81	1030.12	483.38	825.0	563.18
TMEM164	156.59	381.68	473.41	420.68	205.5	341.51	343.89	307.69	166.73	271.48	420.68	503.95	660.68	507.46	599.49	101.54	147.06	232.94	121.79	151.22	166.73	251.48	283.05	379.04	426.57	567.1	450.94	486.75	447.82	591.22	358.54	373.81	460.44	426.57	406.31	417.77	277.2	454.09	669.92	483.38	571.05	493.56	490.14	334.46	291.04	629.35	547.75	334.46	435.55	420.68	353.59	587.13	447.82	147.06	275.28	175.07	134.3	220.32	136.19	198.47	127.89	181.28	205.5	126.12	271.48	178.77	154.42	162.14	199.85	128.79	154.42	277.2	429.54	353.59	312.0	463.65	406.31	457.25	525.39	381.68	339.14	343.89	406.31	417.77	392.44	412.0	44.57	25.72	88.26	28.45	348.71	633.73	1159.07	529.06	417.77	262.2	607.87	412.0	583.07	423.61
TMEM167B	336.79	403.5	723.08	607.87	612.11	688.78	669.92	665.29	1081.39	460.44	463.65	497.0	854.13	1167.14	860.08	473.41	406.31	599.49	426.57	612.11	547.75	312.0	571.05	753.83	836.53	728.11	785.88	723.08	830.75	854.13	836.53	718.08	928.3	738.29	669.92	884.29	660.68	854.13	890.44	693.58	825.0	791.35	669.92	738.29	669.92	836.53	575.03	819.3	791.35	825.0	854.13	1023.0	718.08	312.0	397.93	454.09	412.0	309.83	334.46	351.14	599.49	435.55	341.51	297.17	473.41	514.56	476.71	490.14	432.53	373.81	438.59	511.0	624.99	684.02	647.07	612.11	583.07	587.13	587.13	607.87	665.29	665.29	607.87	698.41	511.0	571.05	305.55	206.94	303.44	389.72	921.88	753.83	961.07	698.41	785.88	941.27	1088.92	698.41	780.44	1119.56
