	TCGA.AZ.4323.01A.21R.1839.07	GTEX.Y111.1826.SM.4SOIR	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.P78B.1026.SM.3NMC4	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.T2IS.0926.SM.4DM5B	TCGA.BP.4988.01A.01R.1334.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.MP.A4TH.01A.31R.A262.07	TCGA.38.4625.01A.01R.1206.07	TCGA.MP.A4T6.01A.32R.A262.07	TCGA.44.A4SU.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.85.A4PA.01A.11R.A24Z.07
TUBGCP6	830.75	1350.18	1605.83	1508.65	1127.35	1583.71	1242.34	1268.46	1088.92	1991.0	264.03	258.57	80.57	234.57	90.14	414.87	341.51	314.17	579.04	470.14	320.8	500.46	221.86	341.51	353.59	629.35	312.0	293.07	400.71	177.53	497.0	283.05	194.36	251.48	325.29	248.0	389.72	473.41	587.13	273.37	264.03	262.2	301.33	279.14	353.59	371.22	220.32	151.22	463.65	612.11	239.52	384.34	323.03	275.28	441.64	141.02	236.21	346.29	202.66	157.68	642.59	785.88	878.17	915.51	0.0	1225.22	1051.79	1.22	1183.45	981.29	819.3	1991.0
WDR27	947.83	1151.06	1044.52	1407.55	1073.91	1151.06	1233.75	1369.04	1008.9	1119.56	123.5	81.14	33.54	63.45	29.48	125.24	137.14	183.82	303.44	195.72	189.02	181.28	114.36	63.0	215.77	403.5	135.24	129.69	255.0	58.71	241.19	146.03	82.87	163.28	130.6	120.94	226.54	212.78	273.37	96.68	66.18	113.56	156.59	195.72	155.5	198.47	80.57	100.13	180.02	256.78	95.34	122.64	114.36	150.17	281.09	40.07	46.18	220.32	111.99	81.71	555.41	414.87	316.37	438.59	0.0	529.06	718.08	1.04	379.04	486.75	457.25	848.22
WDR73	961.07	633.73	954.43	848.22	780.44	708.18	988.12	791.35	583.07	909.17	226.54	148.09	44.25	132.44	105.15	212.78	142.01	186.4	281.09	260.38	279.14	194.36	114.36	167.9	262.2	414.87	131.51	320.8	237.86	163.28	265.87	151.22	122.64	246.28	151.22	172.65	228.13	323.03	476.71	136.19	181.28	84.63	118.43	224.97	205.5	183.82	124.37	140.04	205.5	329.84	142.01	180.02	260.38	155.5	221.86	66.18	81.14	172.65	161.02	87.03	575.03	480.04	563.18	532.74	0.0	638.15	785.88	0.54	567.1	559.28	591.22	603.67
ZC3HAV1L	65.26	73.03	111.99	57.49	97.36	48.52	88.88	75.11	55.49	145.02	0.0	2.84	5.87	0.65	5.5	0.45	0.0	3.41	4.66	2.73	4.9	0.21	0.0	11.55	1.03	8.71	2.92	8.32	2.63	6.26	0.0	3.5	6.31	4.06	1.95	0.44	1.77	15.11	6.41	0.84	6.89	2.07	6.46	8.45	16.03	2.97	0.64	3.79	8.45	0.0	0.0	1.14	5.15	3.06	10.63	0.38	0.0	7.88	0.0	6.21	74.06	50.27	102.97	49.91	0.0	75.64	77.79	0.52	43.02	50.27	69.52	15.34
ZDHHC8	921.88	1295.13	1030.12	1832.01	1572.76	1259.69	954.43	1242.34	1250.98	1259.69	490.14	387.02	62.56	460.44	39.22	441.64	723.08	186.4	713.11	1081.39	483.38	400.71	147.06	236.21	490.14	392.44	329.84	339.14	256.78	170.25	361.04	237.86	228.13	435.55	974.5	332.14	279.14	457.25	616.37	432.53	409.15	320.8	708.18	624.99	248.0	140.04	157.68	246.28	473.41	441.64	291.04	620.67	384.34	285.03	660.68	262.2	50.27	376.41	363.56	497.0	830.75	759.08	915.51	1008.9	0.0	1135.2	995.0	1.08	988.12	1216.75	988.12	1096.5
ZNF133	540.19	603.67	555.41	547.75	540.19	713.11	547.75	497.0	518.15	525.39	155.5	120.1	30.78	96.01	52.82	211.31	140.04	141.02	165.57	204.07	146.03	155.5	121.79	69.03	183.82	258.57	98.04	111.99	191.67	84.63	195.72	100.13	84.04	176.29	108.9	149.12	211.31	191.67	241.19	91.41	66.18	100.83	111.21	171.45	152.28	146.03	82.29	72.01	197.09	206.94	91.41	89.51	122.64	75.64	162.14	42.71	52.82	187.71	164.42	67.59	283.05	199.85	271.48	214.27	0.0	444.72	624.99	0.46	275.28	351.14	281.09	264.03
ZNF202	279.14	197.09	309.83	258.57	387.02	202.66	214.27	191.67	172.65	190.34	69.03	20.71	18.16	36.53	23.93	63.45	42.41	36.01	45.53	68.55	75.11	78.34	37.59	41.22	52.82	98.73	48.87	55.49	49.56	36.53	67.12	15.11	40.36	47.5	51.35	36.27	52.45	102.97	96.68	37.05	44.25	54.72	48.87	42.11	59.55	58.71	23.59	31.45	77.79	77.25	33.78	63.0	63.0	42.11	70.51	7.0	85.82	62.12	49.21	45.85	171.45	139.07	194.36	175.07	0.0	289.02	173.85	0.0	164.42	199.85	208.38	220.32
ZNF251	514.56	954.43	466.88	669.92	343.89	1073.91	808.0	825.0	733.19	547.75	115.16	100.83	22.1	70.01	26.67	176.29	85.82	110.43	173.85	176.29	127.89	164.42	136.19	61.25	146.03	218.79	102.25	94.01	157.68	67.12	157.68	91.41	48.18	95.34	110.43	81.14	155.5	154.42	201.25	77.25	59.55	60.39	126.12	100.83	122.64	104.42	47.5	61.68	138.1	198.47	93.35	51.71	134.3	89.51	151.22	27.84	42.41	143.01	138.1	52.45	616.37	256.78	271.48	460.44	0.0	305.55	638.15	0.77	332.14	521.76	358.54	463.65
ZNF276	1037.29	909.17	1628.26	1519.15	1467.37	1104.13	909.17	896.64	769.69	1407.55	215.77	193.01	68.55	175.07	60.82	295.11	281.09	199.85	293.07	400.71	232.94	435.55	186.4	305.55	389.72	543.96	189.02	223.41	297.17	167.9	371.22	142.01	105.15	289.02	223.41	186.4	275.28	320.8	665.29	166.73	148.09	232.94	334.46	241.19	265.87	376.41	186.4	111.99	444.72	435.55	153.34	351.14	297.17	229.72	336.79	137.14	273.37	283.05	221.86	113.56	435.55	532.74	629.35	748.61	0.0	1508.65	785.88	1.0	698.41	703.28	603.67	1674.06
ZNF362	493.56	802.41	490.14	493.56	435.55	723.08	748.61	775.05	748.61	366.09	111.99	124.37	85.82	144.01	66.18	297.17	244.57	193.01	223.41	234.57	149.12	223.41	152.28	81.14	185.11	343.89	194.36	127.89	224.97	161.02	246.28	162.14	181.28	231.32	234.57	180.02	236.21	277.2	215.77	92.05	119.26	138.1	236.21	155.5	204.07	283.05	69.52	198.47	277.2	285.03	177.53	71.0	173.85	115.16	267.73	81.14	50.27	237.86	183.82	117.6	854.13	665.29	612.11	423.61	0.0	1044.52	836.53	0.27	579.04	532.74	497.0	363.56
ZNF692	2591.27	2351.53	2664.15	2720.15	2520.38	2777.33	2351.53	2004.85	1709.26	2451.44	309.83	262.2	58.71	273.37	120.94	429.54	197.09	351.14	559.28	633.73	339.14	361.04	293.07	231.32	483.38	532.74	241.19	231.32	521.76	218.79	476.71	307.69	143.01	271.48	228.13	329.84	473.41	432.53	836.53	332.14	169.07	285.03	293.07	406.31	318.57	376.41	229.72	143.01	373.81	423.61	293.07	242.88	336.79	242.88	529.06	110.43	89.51	412.0	295.11	180.02	1594.73	1467.37	2816.11	1617.0	0.0	3874.05	2915.45	1.11	1225.22	1388.16	1277.29	1883.54
ZNF76	890.44	1674.06	854.13	1216.75	961.07	1832.01	1781.89	1977.24	1350.18	1651.0	387.02	297.17	178.77	351.14	175.07	395.18	353.59	503.95	559.28	607.87	476.71	426.57	395.18	356.05	493.56	713.11	332.14	403.5	543.96	295.11	543.96	316.37	320.8	373.81	379.04	297.17	486.75	525.39	616.37	228.13	287.01	323.03	447.82	483.38	435.55	503.95	267.73	327.56	521.76	595.34	281.09	283.05	384.34	371.22	599.49	226.54	195.72	438.59	312.0	293.07	1088.92	723.08	1467.37	988.12	0.0	1359.57	1268.46	0.78	1030.12	902.89	759.08	1467.37
