	TCGA.B8.5164.01A.01R.1420.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B3.8121.01A.21R.2404.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.B9.5156.01A.01R.1592.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A0ZA.01A.11R.A10U.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A420.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.S4Z8.0326.SM.3K2AU	GTEX.1399R.0126.SM.5IFEV	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.V955.0426.SM.3GAEL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.13CF3.0926.SM.5LZZC	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
SCO1	518.15	1066.48	444.72	748.61	1044.52	995.0	1001.93	1135.2	728.11	395.18	351.14	1023.0	283.05	521.76	351.14	381.68	351.14	353.59	336.79	346.29	295.11	260.38	642.59	420.68	348.71	220.32	334.46	497.0	339.14	271.48	361.04	353.59	297.17	547.75	281.09	258.57	343.89	376.41	540.19	329.84	473.41	406.31	376.41	295.11	339.14	320.8	379.04	318.57	483.38	334.46	532.74	249.73	318.57	309.83	291.04	249.73	293.07	457.25	303.44	256.78	297.17	500.46	511.0	356.05	353.59	356.05	248.0	305.55	660.68	334.46	314.17	289.02	237.86	371.22	312.0	397.93	262.2	285.03	295.11	332.14	323.03	283.05	291.04	483.38	293.07	343.89	301.33	353.59	389.72	264.03	389.72	325.29	379.04	518.15	325.29	583.07	432.53	563.18	500.46	432.53	454.09	511.0	483.38	490.14
SMCR8	329.84	299.25	228.13	356.05	271.48	291.04	186.4	281.09	387.02	85.82	34.75	115.16	44.57	110.43	80.01	15.68	70.01	57.49	31.0	26.1	17.77	13.93	80.01	47.17	84.04	22.1	76.71	59.97	111.99	52.08	46.5	121.79	53.19	50.63	104.42	27.25	87.03	139.07	75.64	87.65	52.82	33.78	63.45	92.7	14.24	153.34	82.29	108.9	33.54	11.64	63.45	8.65	40.64	83.45	101.54	43.63	94.01	109.66	18.16	21.47	75.64	109.66	66.18	43.63	67.59	96.68	14.24	71.0	120.1	43.63	163.28	26.47	15.45	17.25	69.52	115.97	23.93	61.68	65.26	54.72	71.5	105.15	22.92	132.44	98.73	112.77	28.45	55.1	37.85	49.91	36.79	49.91	157.68	69.03	61.25	167.9	169.07	195.72	265.87	126.12	148.09	193.01	131.51	59.55
SMG8	376.41	262.2	293.07	265.87	318.57	346.29	159.9	327.56	281.09	181.28	127.0	283.05	135.24	163.28	111.99	98.73	149.12	141.02	102.97	85.22	72.01	40.93	163.28	125.24	148.09	70.01	138.1	96.01	150.17	89.51	111.99	150.17	88.26	152.28	104.42	85.22	147.06	201.25	158.79	149.12	105.15	99.43	142.01	141.02	68.07	171.45	135.24	189.02	68.55	78.89	129.69	52.82	102.97	107.38	164.42	146.03	173.85	146.03	81.71	104.42	186.4	115.97	159.9	96.01	122.64	173.85	69.52	140.04	236.21	127.0	201.25	111.99	81.71	74.58	85.82	163.28	77.79	102.97	159.9	128.79	153.34	117.6	88.88	251.48	114.36	149.12	119.26	112.77	99.43	98.73	127.0	105.89	239.52	181.28	72.52	191.67	255.0	198.47	223.41	239.52	193.01	172.65	193.01	198.47
SNX4	954.43	1277.29	1081.39	995.0	854.13	633.73	2287.2	1073.91	1617.0	813.63	389.72	660.68	490.14	753.83	470.14	341.51	555.41	460.44	503.95	403.5	299.25	281.09	842.36	860.08	454.09	414.87	466.88	813.63	563.18	293.07	698.41	309.83	356.05	599.49	457.25	454.09	450.94	723.08	693.58	679.29	647.07	435.55	521.76	444.72	271.48	511.0	624.99	450.94	674.59	447.82	909.17	318.57	373.81	395.18	638.15	521.76	381.68	688.78	612.11	403.5	575.03	688.78	743.43	412.0	457.25	414.87	256.78	642.59	1023.0	348.71	674.59	403.5	397.93	791.35	444.72	366.09	412.0	476.71	543.96	305.55	511.0	525.39	406.31	684.02	503.95	500.46	341.51	514.56	595.34	414.87	612.11	457.25	961.07	1225.22	1397.83	1001.93	1135.2	967.76	995.0	1037.29	1066.48	620.67	902.89	1037.29
SPTY2D1	473.41	255.0	339.14	346.29	376.41	312.0	140.04	336.79	420.68	139.07	116.78	172.65	137.14	201.25	167.9	105.89	165.57	138.1	114.36	108.9	84.63	64.34	133.36	108.14	140.04	85.82	166.73	126.12	178.77	103.69	101.54	165.57	133.36	156.59	120.94	69.03	173.85	195.72	137.14	139.07	112.77	93.35	129.69	181.28	88.88	195.72	144.01	163.28	122.64	102.25	137.14	84.04	121.79	162.14	144.01	115.16	166.73	186.4	80.01	105.15	158.79	190.34	126.12	103.69	133.36	165.57	70.51	150.17	99.43	127.89	215.77	111.21	83.45	100.13	151.22	162.14	129.69	120.1	122.64	123.5	148.09	158.79	78.89	154.42	143.01	248.0	102.97	126.12	109.66	125.24	116.78	132.44	248.0	291.04	208.38	265.87	327.56	246.28	343.89	220.32	218.79	209.84	255.0	242.88
STX7	1417.35	1388.16	2061.24	2104.58	1259.69	1104.13	1477.58	1487.87	1819.35	551.56	473.41	575.03	511.0	480.04	616.37	353.59	647.07	595.34	612.11	466.88	332.14	392.44	406.31	567.1	571.05	426.57	629.35	447.82	688.78	368.65	395.18	503.95	607.87	595.34	444.72	249.73	738.29	713.11	764.36	674.59	441.64	387.02	514.56	612.11	289.02	620.67	395.18	642.59	251.48	392.44	518.15	395.18	555.41	540.19	583.07	583.07	507.46	660.68	289.02	406.31	532.74	612.11	341.51	432.53	536.45	559.28	348.71	629.35	486.75	497.0	718.08	483.38	381.68	429.54	571.05	665.29	543.96	480.04	518.15	420.68	579.04	595.34	376.41	591.22	555.41	679.29	373.81	559.28	406.31	511.0	511.0	457.25	902.89	808.0	780.44	802.41	872.1	728.11	1397.83	819.3	974.5	785.88	1015.93	698.41
STXBP4	145.02	78.89	128.79	85.22	135.24	117.6	38.95	104.42	92.05	71.5	37.85	76.17	46.84	76.71	53.57	32.59	60.82	53.19	44.25	36.01	29.06	32.82	54.72	45.21	53.19	30.12	55.89	72.01	63.89	24.99	67.59	50.27	43.32	85.22	53.57	29.48	52.08	94.01	53.57	59.97	42.11	39.79	46.18	48.52	24.28	63.0	91.41	60.82	48.87	50.63	50.63	44.89	35.5	71.0	85.22	42.71	73.03	67.12	44.89	42.11	60.82	61.68	79.45	47.17	47.84	55.89	36.27	64.34	78.34	38.95	111.21	48.87	31.67	52.82	59.13	60.82	44.25	63.0	46.18	27.25	72.52	60.82	42.41	129.69	45.21	74.06	38.4	54.72	63.89	42.71	40.07	46.84	65.26	61.68	45.85	94.01	72.52	127.0	86.43	87.03	44.25	82.87	53.57	88.88
TBC1D5	698.41	775.05	412.0	1183.45	1088.92	660.68	389.72	1225.22	656.11	351.14	253.23	460.44	327.56	409.15	336.79	165.57	376.41	297.17	244.57	234.57	175.07	176.29	389.72	312.0	387.02	226.54	444.72	316.37	420.68	246.28	260.38	403.5	305.55	346.29	358.54	199.85	381.68	497.0	450.94	287.01	309.83	226.54	293.07	371.22	163.28	571.05	366.09	397.93	255.0	241.19	343.89	181.28	234.57	348.71	450.94	295.11	361.04	514.56	185.11	205.5	381.68	540.19	450.94	237.86	363.56	379.04	202.66	291.04	480.04	223.41	616.37	242.88	197.09	221.86	327.56	301.33	209.84	281.09	316.37	248.0	295.11	432.53	223.41	476.71	414.87	521.76	206.94	285.03	269.6	273.37	251.48	229.72	616.37	571.05	353.59	583.07	693.58	551.56	921.88	693.58	532.74	454.09	334.46	642.59
THUMPD1	878.17	743.43	612.11	748.61	902.89	860.08	490.14	854.13	647.07	571.05	381.68	460.44	470.14	651.58	432.53	291.04	511.0	414.87	387.02	417.77	312.0	249.73	429.54	307.69	432.53	242.88	507.46	320.8	438.59	368.65	429.54	476.71	423.61	363.56	486.75	356.05	432.53	693.58	334.46	429.54	318.57	325.29	414.87	395.18	256.78	547.75	476.71	511.0	483.38	460.44	429.54	297.17	429.54	389.72	507.46	426.57	616.37	507.46	412.0	417.77	507.46	384.34	381.68	392.44	429.54	493.56	339.14	470.14	463.65	387.02	607.87	463.65	329.84	339.14	346.29	417.77	447.82	414.87	389.72	329.84	444.72	454.09	314.17	599.49	493.56	493.56	400.71	450.94	343.89	368.65	379.04	381.68	791.35	708.18	423.61	651.58	842.36	728.11	775.05	713.11	679.29	764.36	656.11	620.67
TM9SF2	3325.99	3419.52	3081.75	3124.78	2816.11	3768.09	1991.0	2875.3	2739.08	1685.71	1508.65	1832.01	1685.71	2645.74	2075.59	1769.57	2104.58	1781.89	1806.78	1208.34	1561.89	1135.2	2271.4	2255.7	2047.0	1561.89	1909.85	1991.0	2224.63	1143.1	1628.26	1674.06	1977.24	2018.8	1572.76	1508.65	2032.85	2303.12	2287.2	1769.57	2119.22	1508.65	1781.89	2384.37	1594.73	2018.8	2133.97	1819.35	2335.28	1159.07	2193.99	995.0	1662.49	2061.24	1923.14	1561.89	1883.54	2400.97	1540.37	1250.98	2018.8	2956.17	1950.0	1583.71	1529.73	2119.22	1001.93	1909.85	2351.53	1745.2	2417.67	1277.29	1199.98	1662.49	2119.22	1733.13	2090.03	1844.76	1781.89	1674.06	1870.53	1721.16	1111.82	2148.82	1870.53	2555.58	1259.69	1794.29	1529.73	1662.49	1583.71	1950.0	2367.9	3614.55	1832.01	2835.7	3280.18	2976.74	3467.27	3716.2	2855.44	2367.9	3103.19	2739.08
TMEM170B	157.68	87.03	172.65	146.03	78.89	81.71	53.95	100.83	159.9	30.78	19.82	54.72	20.56	38.12	34.26	21.01	27.25	19.53	18.84	20.56	31.9	8.58	55.1	23.76	25.17	11.38	20.86	35.0	37.59	13.93	21.47	35.76	12.83	34.26	25.35	16.39	19.82	65.72	49.21	40.07	26.1	23.08	25.72	14.03	12.93	29.06	18.7	45.85	22.92	22.26	30.12	12.93	23.42	31.67	36.79	26.1	32.82	49.21	25.17	14.56	27.05	49.56	38.4	21.01	33.78	34.26	22.26	31.0	47.84	18.56	54.72	20.41	20.86	26.1	25.72	32.13	25.17	28.45	21.47	21.16	22.59	25.35	15.22	29.27	33.06	28.65	15.68	29.27	28.04	22.75	18.56	16.75	77.79	81.71	37.05	62.56	61.68	67.12	127.0	90.77	48.18	105.15	92.05	37.05
TMX4	974.5	954.43	1066.48	733.19	1104.13	1594.73	251.48	583.07	688.78	397.93	314.17	529.06	466.88	447.82	447.82	346.29	363.56	348.71	358.54	275.28	361.04	376.41	454.09	616.37	444.72	358.54	463.65	432.53	583.07	251.48	387.02	476.71	466.88	624.99	366.09	341.51	381.68	769.69	361.04	346.29	376.41	343.89	463.65	397.93	457.25	483.38	447.82	341.51	403.5	356.05	490.14	351.14	450.94	460.44	547.75	406.31	521.76	599.49	339.14	291.04	514.56	559.28	251.48	406.31	547.75	547.75	444.72	429.54	318.57	289.02	591.22	389.72	329.84	397.93	529.06	684.02	463.65	412.0	412.0	348.71	518.15	435.55	264.03	603.67	514.56	483.38	318.57	387.02	351.14	414.87	373.81	473.41	555.41	507.46	518.15	603.67	733.19	529.06	660.68	624.99	555.41	612.11	551.56	532.74
TNPO1	995.0	514.56	854.13	796.86	791.35	656.11	703.28	587.13	1407.55	476.71	327.56	567.1	376.41	551.56	518.15	305.55	490.14	438.59	346.29	332.14	279.14	267.73	547.75	403.5	470.14	309.83	525.39	457.25	591.22	299.25	351.14	511.0	412.0	532.74	518.15	206.94	490.14	698.41	629.35	432.53	429.54	305.55	387.02	525.39	224.97	620.67	583.07	518.15	299.25	285.03	426.57	267.73	361.04	536.45	507.46	368.65	547.75	688.78	265.87	256.78	563.18	674.59	366.09	351.14	432.53	559.28	281.09	417.77	607.87	332.14	674.59	312.0	256.78	293.07	500.46	503.95	486.75	490.14	435.55	297.17	470.14	497.0	297.17	507.46	480.04	633.73	253.23	435.55	397.93	435.55	417.77	412.0	1001.93	866.07	1030.12	1167.14	974.5	866.07	1551.09	1111.82	866.07	961.07	947.83	1073.91
TOMM70A	748.61	988.12	769.69	1397.83	2502.97	1551.09	1051.79	1794.29	665.29	595.34	447.82	759.08	536.45	551.56	497.0	395.18	620.67	518.15	483.38	486.75	444.72	400.71	813.63	521.76	480.04	406.31	579.04	567.1	500.46	387.02	466.88	480.04	450.94	595.34	438.59	387.02	543.96	571.05	624.99	507.46	540.19	470.14	432.53	563.18	447.82	493.56	511.0	536.45	521.76	447.82	551.56	420.68	441.64	483.38	503.95	507.46	507.46	514.56	429.54	466.88	599.49	612.11	728.11	457.25	529.06	514.56	470.14	532.74	872.1	480.04	563.18	444.72	397.93	500.46	525.39	438.59	583.07	612.11	460.44	435.55	521.76	457.25	420.68	587.13	500.46	521.76	412.0	476.71	563.18	555.41	473.41	525.39	679.29	688.78	607.87	748.61	665.29	688.78	698.41	674.59	624.99	616.37	591.22	603.67
TRIM44	1208.34	1044.52	961.07	934.76	1088.92	738.29	813.63	947.83	1037.29	454.09	165.57	412.0	221.86	406.31	346.29	131.51	271.48	244.57	201.25	171.45	111.21	134.3	325.29	251.48	305.55	121.79	368.65	269.6	417.77	194.36	208.38	356.05	271.48	325.29	332.14	108.9	336.79	563.18	392.44	258.57	297.17	157.68	237.86	353.59	113.56	555.41	301.33	379.04	206.94	119.26	285.03	88.88	214.27	320.8	323.03	214.27	299.25	423.61	103.69	145.02	301.33	483.38	239.52	191.67	283.05	361.04	102.97	287.01	305.55	242.88	518.15	157.68	102.25	157.68	269.6	356.05	195.72	237.86	228.13	224.97	264.03	371.22	132.44	295.11	303.44	454.09	151.22	273.37	220.32	223.41	244.57	221.86	483.38	318.57	480.04	679.29	551.56	567.1	1159.07	397.93	490.14	848.22	693.58	389.72
TTC26	185.11	224.97	129.69	242.88	616.37	249.73	295.11	320.8	185.11	86.43	71.5	163.28	84.63	93.35	76.71	51.35	84.04	84.04	81.71	68.55	47.5	37.32	169.07	80.57	63.89	42.41	76.71	74.06	82.29	49.91	56.68	85.22	66.65	71.5	71.5	41.22	73.54	101.54	81.71	77.25	80.57	63.45	73.03	72.01	53.57	87.03	80.01	92.7	53.57	93.35	85.22	59.13	63.89	78.34	80.57	68.07	72.52	97.36	52.82	65.26	65.72	94.67	80.57	58.71	77.25	85.82	46.84	95.34	81.71	76.17	98.73	72.52	38.4	59.55	66.18	82.87	73.54	82.29	78.34	50.98	69.52	80.01	50.63	77.25	57.89	97.36	64.8	81.14	59.13	65.26	70.01	68.55	98.73	139.07	73.03	131.51	123.5	127.0	127.89	144.01	122.64	126.12	131.51	124.37
TTC28	583.07	273.37	351.14	373.81	234.57	366.09	39.79	473.41	189.02	165.57	120.94	165.57	163.28	171.45	165.57	63.45	146.03	138.1	105.15	115.97	72.52	111.21	121.79	102.97	136.19	83.45	185.11	144.01	167.9	123.5	176.29	178.77	143.01	134.3	199.85	112.77	148.09	231.32	224.97	143.01	149.12	100.83	146.03	172.65	87.65	208.38	178.77	154.42	77.79	124.37	111.21	77.79	111.21	162.14	226.54	150.17	167.9	241.19	74.06	140.04	189.02	206.94	145.02	100.83	151.22	175.07	105.15	118.43	220.32	120.1	255.0	123.5	96.68	96.68	126.12	189.02	127.0	153.34	133.36	103.69	115.16	221.86	105.15	208.38	214.27	195.72	108.9	120.1	167.9	155.5	98.73	110.43	275.28	191.67	193.01	248.0	239.52	214.27	262.2	116.78	142.01	186.4	162.14	212.78
UTP14C	497.0	279.14	318.57	255.0	303.44	400.71	208.38	234.57	262.2	242.88	122.64	237.86	144.01	269.6	171.45	109.66	172.65	144.01	143.01	119.26	94.67	71.0	249.73	195.72	159.9	79.45	182.55	237.86	206.94	110.43	169.07	154.42	156.59	241.19	143.01	100.83	176.29	260.38	255.0	199.85	204.07	129.69	145.02	169.07	97.36	214.27	182.55	191.67	194.36	83.45	181.28	63.89	133.36	181.28	205.5	121.79	170.25	226.54	132.44	92.05	162.14	271.48	202.66	119.26	171.45	187.71	70.01	202.66	249.73	125.24	275.28	117.6	90.77	115.16	151.22	163.28	139.07	139.07	150.17	124.37	155.5	185.11	89.51	231.32	167.9	234.57	113.56	157.68	172.65	133.36	115.16	154.42	275.28	392.44	154.42	353.59	435.55	332.14	432.53	412.0	271.48	262.2	323.03	267.73
VRK3	1250.98	961.07	1008.9	974.5	1208.34	1037.29	2875.3	1359.57	947.83	713.11	674.59	796.86	559.28	718.08	656.11	753.83	575.03	429.54	595.34	612.11	629.35	612.11	1008.9	830.75	698.41	497.0	698.41	638.15	483.38	567.1	633.73	759.08	693.58	808.0	607.87	629.35	764.36	547.75	802.41	753.83	775.05	629.35	708.18	679.29	688.78	753.83	738.29	743.43	567.1	521.76	532.74	507.46	616.37	629.35	684.02	591.22	656.11	775.05	728.11	454.09	540.19	791.35	660.68	713.11	595.34	423.61	429.54	656.11	896.64	713.11	616.37	543.96	447.82	514.56	642.59	651.58	647.07	684.02	603.67	718.08	583.07	567.1	525.39	571.05	543.96	571.05	693.58	607.87	624.99	629.35	603.67	764.36	890.44	825.0	698.41	743.43	961.07	1151.06	995.0	1225.22	878.17	836.53	1037.29	769.69
WDFY3	1104.13	486.75	679.29	684.02	748.61	444.72	759.08	587.13	961.07	229.72	194.36	214.27	195.72	267.73	226.54	150.17	228.13	194.36	214.27	175.07	156.59	143.01	170.25	191.67	244.57	146.03	237.86	214.27	262.2	186.4	197.09	295.11	209.84	211.31	241.19	127.0	279.14	387.02	275.28	217.27	215.77	143.01	211.31	241.19	158.79	379.04	249.73	220.32	165.57	193.01	201.25	186.4	170.25	253.23	260.38	234.57	269.6	314.17	157.68	178.77	236.21	336.79	157.68	181.28	218.79	246.28	145.02	241.19	291.04	202.66	409.15	198.47	157.68	144.01	187.71	281.09	224.97	220.32	211.31	197.09	209.84	255.0	157.68	251.48	218.79	301.33	193.01	217.27	178.77	201.25	191.67	191.67	483.38	309.83	299.25	420.68	297.17	547.75	529.06	353.59	273.37	389.72	358.54	275.28
WDR47	256.78	167.9	204.07	173.85	214.27	163.28	131.51	169.07	248.0	103.69	74.58	142.01	81.14	94.01	122.64	91.41	84.63	84.04	80.57	76.71	58.3	51.71	108.14	96.01	107.38	55.89	107.38	92.05	115.97	58.3	80.57	93.35	105.15	120.1	78.34	52.82	103.69	121.79	142.01	119.26	94.01	58.3	87.65	100.13	53.57	117.6	106.63	113.56	57.89	59.97	86.43	59.13	89.51	106.63	109.66	87.03	91.41	114.36	71.5	60.39	91.41	120.94	98.73	77.79	85.22	73.03	59.13	94.01	111.99	77.79	121.79	77.79	56.68	67.59	80.57	115.16	108.9	78.89	78.89	80.01	90.14	107.38	62.56	115.16	99.43	105.89	73.03	83.45	81.71	77.25	72.52	81.71	132.44	146.03	77.25	141.02	156.59	150.17	214.27	162.14	123.5	115.97	135.24	120.94
XRN2	1250.98	1104.13	974.5	1143.1	1857.6	1594.73	854.13	1023.0	974.5	713.11	693.58	688.78	764.36	884.29	842.36	728.11	796.86	688.78	665.29	723.08	698.41	532.74	878.17	866.07	934.76	551.56	928.3	753.83	974.5	603.67	540.19	902.89	842.36	656.11	764.36	728.11	961.07	890.44	738.29	743.43	753.83	642.59	679.29	825.0	591.22	1037.29	693.58	915.51	624.99	457.25	825.0	423.61	607.87	884.29	842.36	665.29	902.89	842.36	543.96	470.14	748.61	896.64	669.92	669.92	813.63	884.29	587.13	802.41	791.35	738.29	1008.9	612.11	470.14	591.22	860.08	866.07	647.07	728.11	647.07	698.41	764.36	743.43	483.38	684.02	872.1	967.76	607.87	769.69	543.96	651.58	651.58	769.69	928.3	909.17	974.5	1225.22	988.12	961.07	1073.91	947.83	1023.0	1295.13	1051.79	1008.9
ZBTB38	1685.71	1030.12	934.76	1008.9	988.12	1151.06	1044.52	1159.07	1359.57	463.65	332.14	684.02	384.34	521.76	486.75	260.38	412.0	381.68	307.69	297.17	231.32	190.34	518.15	269.6	480.04	265.87	476.71	406.31	547.75	291.04	309.83	638.15	463.65	414.87	563.18	234.57	567.1	860.08	507.46	463.65	358.54	256.78	363.56	486.75	275.28	819.3	470.14	532.74	190.34	285.03	406.31	246.28	423.61	529.06	575.03	329.84	616.37	748.61	212.78	260.38	476.71	688.78	493.56	358.54	486.75	575.03	214.27	420.68	660.68	361.04	941.27	309.83	291.04	289.02	454.09	503.95	460.44	417.77	400.71	435.55	486.75	603.67	217.27	563.18	540.19	679.29	329.84	348.71	376.41	348.71	273.37	392.44	723.08	583.07	361.04	642.59	836.53	813.63	1030.12	743.43	620.67	603.67	547.75	457.25
ZNF320	1015.93	638.15	1023.0	583.07	1059.11	1119.56	358.54	265.87	426.57	256.78	232.94	256.78	194.36	297.17	297.17	163.28	289.02	264.03	173.85	193.01	171.45	96.68	281.09	175.07	260.38	165.57	334.46	260.38	314.17	148.09	209.84	325.29	248.0	198.47	271.48	149.12	295.11	384.34	241.19	389.72	175.07	176.29	255.0	348.71	146.03	417.77	241.19	460.44	145.02	134.3	318.57	161.02	220.32	241.19	320.8	212.78	269.6	277.2	133.36	167.9	237.86	303.44	149.12	251.48	246.28	293.07	120.1	392.44	273.37	251.48	409.15	273.37	135.24	158.79	314.17	314.17	242.88	271.48	190.34	217.27	293.07	260.38	156.59	295.11	226.54	334.46	209.84	244.57	191.67	246.28	220.32	242.88	358.54	264.03	181.28	224.97	307.69	323.03	389.72	339.14	198.47	253.23	258.57	283.05
ZNF468	275.28	182.55	234.57	226.54	237.86	343.89	241.19	181.28	269.6	128.79	122.64	155.5	171.45	158.79	122.64	118.43	177.53	158.79	190.34	129.69	101.54	94.01	223.41	153.34	136.19	88.26	166.73	108.9	171.45	100.83	93.35	155.5	134.3	289.02	136.19	81.14	178.77	150.17	148.09	152.28	190.34	90.14	180.02	158.79	87.03	186.4	135.24	198.47	142.01	134.3	277.2	96.01	131.51	139.07	134.3	145.02	129.69	273.37	84.63	152.28	125.24	490.14	145.02	102.97	193.01	170.25	57.89	246.28	180.02	149.12	206.94	124.37	89.51	140.04	180.02	115.97	132.44	133.36	153.34	114.36	159.9	118.43	75.11	323.03	99.43	177.53	93.35	108.9	130.6	127.0	134.3	141.02	191.67	314.17	228.13	157.68	218.79	255.0	265.87	214.27	236.21	234.57	202.66	127.89
ZNF611	366.09	339.14	379.04	400.71	361.04	314.17	111.21	371.22	301.33	76.17	59.55	84.04	60.82	70.01	73.54	46.5	65.72	62.56	48.52	63.45	36.01	34.75	102.97	52.08	56.28	31.22	67.59	69.52	88.26	70.01	62.12	100.13	50.27	53.19	78.89	38.95	76.17	72.52	61.25	76.17	50.98	38.67	55.1	95.34	43.94	112.77	61.68	96.68	37.85	49.21	57.89	50.98	70.51	74.58	94.67	49.91	77.79	88.26	45.85	46.84	75.11	83.45	44.57	62.12	59.13	81.14	38.12	69.03	101.54	52.82	107.38	56.68	40.36	48.52	63.89	88.26	54.72	63.89	59.97	64.34	80.57	90.77	53.57	72.52	61.68	78.89	50.27	56.68	58.71	55.89	56.28	56.28	120.1	85.82	94.67	117.6	75.64	120.94	108.9	105.89	83.45	107.38	85.82	78.89
