	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.75.6203.01A.11R.1755.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07
FAM212B	51.71	52.45	80.01	13.12	41.81	84.04	52.45	63.89	43.94	41.52	28.24	25.54	50.63	10.88	20.86	66.65	29.27	15.0	12.27	13.42	92.7	98.73	49.21	13.83	37.85	31.45	59.13	24.28	20.56	116.78	10.71	34.26	18.7	49.91	32.36	106.63	29.48	21.94	27.64	28.65	44.25	21.78	47.5	55.1	30.12	30.56	23.76	14.24	20.41	5.59	31.0	7.28	27.64	28.04	11.13	17.64	13.83	114.36	74.06	20.71	95.34	121.79	117.6	68.07	223.41	224.97	232.94	244.57	60.82	166.73	25.35	201.25	258.57	32.36	80.57	316.37	128.79	323.03	81.14	258.57	51.71	412.0	130.6	148.09	98.73	111.21	159.9	177.53	85.22	92.7	180.02	120.1	50.98	108.14	255.0	134.3	127.89	131.51	100.83	191.67	551.56	144.01	96.01	45.53	105.89	26.1
FAM63B	116.78	102.25	101.54	46.18	37.59	10.96	15.0	48.52	38.67	53.95	32.59	25.91	28.86	27.05	14.67	18.03	26.86	31.0	20.41	23.59	34.75	20.26	47.17	28.24	49.21	38.95	31.45	26.67	21.63	36.27	25.17	70.01	15.11	59.13	31.0	13.83	28.65	22.75	19.39	48.87	16.27	38.12	35.25	41.52	32.36	40.36	27.44	29.06	38.4	19.68	32.36	28.65	31.9	16.63	22.75	61.68	40.07	110.43	130.6	34.02	82.87	154.42	183.82	77.25	92.05	237.86	190.34	105.15	171.45	187.71	444.72	104.42	129.69	297.17	106.63	69.52	145.02	119.26	120.94	159.9	163.28	120.94	139.07	209.84	152.28	265.87	232.94	111.99	50.98	287.01	138.1	190.34	224.97	135.24	262.2	194.36	151.22	157.68	201.25	127.89	176.29	122.64	166.73	38.67	83.45	27.64
FBXW2	417.77	450.94	616.37	264.03	454.09	476.71	466.88	400.71	363.56	392.44	353.59	387.02	483.38	299.25	366.09	674.59	450.94	291.04	237.86	220.32	457.25	307.69	603.67	432.53	414.87	371.22	551.56	532.74	275.28	361.04	305.55	249.73	271.48	473.41	753.83	265.87	277.2	387.02	447.82	307.69	236.21	358.54	293.07	521.76	426.57	493.56	387.02	373.81	316.37	379.04	529.06	400.71	269.6	305.55	351.14	339.14	743.43	854.13	769.69	366.09	884.29	802.41	819.3	642.59	563.18	1498.22	1111.82	941.27	723.08	1044.52	651.58	947.83	1001.93	603.67	738.29	1175.27	543.96	616.37	974.5	860.08	884.29	1023.0	1104.13	1216.75	1015.93	674.59	536.45	1216.75	412.0	860.08	878.17	733.19	379.04	759.08	738.29	796.86	1030.12	1066.48	1044.52	780.44	1350.18	890.44	775.05	483.38	713.11	476.71
FGD5	126.12	96.68	237.86	134.3	125.24	195.72	209.84	60.39	24.28	37.32	111.99	105.89	17.0	80.01	50.63	16.88	64.34	43.63	47.5	77.79	57.08	54.33	90.77	23.25	38.12	239.52	68.55	47.5	483.38	33.54	58.3	140.04	70.51	151.22	49.56	7.17	68.55	43.02	57.49	124.37	17.25	50.98	18.43	262.2	41.81	127.89	71.5	24.46	41.52	31.67	108.9	24.11	22.1	40.64	90.14	176.29	90.14	358.54	476.71	29.27	76.17	825.0	612.11	190.34	555.41	866.07	1709.26	220.32	441.64	454.09	125.24	191.67	158.79	2047.0	277.2	144.01	476.71	536.45	281.09	607.87	387.02	441.64	571.05	909.17	414.87	1250.98	1073.91	525.39	336.79	1159.07	842.36	825.0	743.43	307.69	921.88	493.56	214.27	429.54	361.04	447.82	1277.29	199.85	587.13	46.84	224.97	39.79
FLI1	397.93	204.07	647.07	166.73	155.5	253.23	368.65	248.0	291.04	55.49	191.67	165.57	73.54	132.44	96.01	118.43	117.6	80.57	139.07	100.13	234.57	58.71	265.87	28.24	262.2	85.82	127.89	42.71	70.01	31.22	161.02	163.28	99.43	248.0	64.34	23.08	125.24	152.28	71.5	253.23	33.78	112.77	47.84	387.02	109.66	153.34	132.44	81.14	62.12	66.18	140.04	85.82	108.9	94.67	117.6	256.78	77.25	599.49	836.53	53.19	118.43	780.44	1001.93	718.08	642.59	2018.8	1709.26	429.54	665.29	872.1	251.48	521.76	679.29	540.19	1477.58	890.44	872.1	1127.35	457.25	753.83	748.61	703.28	791.35	1617.0	728.11	1417.35	1127.35	511.0	158.79	674.59	728.11	1259.69	406.31	551.56	2384.37	651.58	258.57	450.94	1143.1	559.28	679.29	403.5	1447.15	96.01	713.11	47.84
FTL	1422501.74	919186.72	1355129.16	932018.1	998912.34	1422501.74	1048575.0	783730.52	992012.34	726195.27	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	906531.99	1393227.06	875652.15	1055868.42	851707.37	696613.03	828417.36	1514068.5	919186.72	985160.01	746611.43	1100706.72	958220.73	912837.43	741454.2	746611.43	932018.1	857631.47	1147449.11	1493223.86	649962.87	992012.34	900270.11	811368.76	627822.72	925580.18	736332.6	881742.8	772940.66	822695.06	762299.34	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	925580.18	2326934.84	998912.34	517068.97	978355.0	1273174.62	561916.97	492579.5	1204496.53	757033.75	301123.38	296977.71	741454.2	938500.81	834179.46	845824.19	1336472.68	623486.02	938500.81	945028.61	751804.53	614902.29	971597.0	845824.19	581732.96	875652.15	716197.51	783730.52	322736.12	932018.1	531605.79	645473.24	887875.81	1327240.99	499455.67	778316.89	627822.72	741454.2	619179.28	687022.54	535303.41	659036.03	945028.61	539026.74	900270.11	443937.41	1179708.33	762299.34	971597.0	971597.0	645473.24
GANC	269.6	187.71	187.71	135.24	197.09	89.51	148.09	185.11	158.79	144.01	218.79	132.44	158.79	198.47	178.77	78.89	297.17	116.78	148.09	119.26	149.12	141.02	175.07	197.09	232.94	169.07	167.9	96.01	148.09	161.02	137.14	241.19	150.17	148.09	85.82	156.59	287.01	100.13	114.36	205.5	111.99	152.28	224.97	176.29	303.44	165.57	234.57	149.12	126.12	147.06	187.71	175.07	117.6	159.9	236.21	171.45	141.02	723.08	358.54	98.04	167.9	587.13	674.59	384.34	525.39	612.11	285.03	532.74	406.31	665.29	373.81	438.59	1119.56	473.41	351.14	392.44	547.75	703.28	728.11	909.17	575.03	748.61	688.78	336.79	435.55	665.29	896.64	651.58	540.19	738.29	1001.93	713.11	336.79	1304.15	412.0	1208.34	708.18	928.3	1015.93	1242.34	674.59	759.08	571.05	185.11	567.1	102.97
GAPVD1	161.02	145.02	180.02	100.13	117.6	60.39	208.38	94.67	94.67	150.17	108.9	133.36	143.01	72.01	97.36	135.24	145.02	122.64	70.01	48.52	153.34	83.45	242.88	87.03	193.01	122.64	98.04	161.02	63.45	128.79	80.57	128.79	64.8	163.28	301.33	65.72	81.14	131.51	155.5	102.97	83.45	130.6	82.29	177.53	80.57	124.37	88.88	98.04	94.67	75.11	99.43	82.29	70.01	98.73	131.51	144.01	185.11	312.0	318.57	135.24	293.07	414.87	480.04	242.88	264.03	688.78	429.54	246.28	358.54	346.29	301.33	287.01	334.46	540.19	209.84	251.48	191.67	234.57	444.72	353.59	438.59	291.04	438.59	346.29	400.71	312.0	293.07	336.79	283.05	656.11	329.84	267.73	226.54	334.46	327.56	521.76	379.04	466.88	497.0	253.23	599.49	713.11	314.17	171.45	279.14	108.14
GIMAP7	327.56	228.13	769.69	94.01	176.29	163.28	178.77	153.34	130.6	92.05	368.65	281.09	100.83	305.55	162.14	305.55	295.11	281.09	460.44	220.32	466.88	177.53	728.11	63.89	287.01	158.79	312.0	130.6	131.51	53.19	267.73	343.89	260.38	466.88	143.01	75.11	483.38	134.3	108.9	466.88	58.71	180.02	80.01	830.75	118.43	183.82	293.07	72.01	105.89	289.02	525.39	78.89	104.42	279.14	547.75	392.44	293.07	684.02	1437.15	77.25	187.71	928.3	1331.57	1359.57	974.5	4388.98	3901.01	878.17	228.13	2682.69	356.05	441.64	2075.59	808.0	1259.69	1457.23	2777.33	1806.78	395.18	1662.49	878.17	1088.92	1313.23	2004.85	1883.54	4298.64	1498.22	995.0	301.33	1073.91	2004.85	2758.13	1457.23	1781.89	6294.04	2417.67	848.22	579.04	2485.67	854.13	748.61	281.09	884.29	153.34	981.29	45.85
GIMAP8	100.83	72.52	295.11	47.5	65.72	105.89	128.79	66.18	92.05	27.84	104.42	107.38	23.08	88.88	45.85	102.25	67.12	48.18	100.83	63.0	123.5	43.63	202.66	13.52	120.1	41.22	78.34	28.04	52.45	23.08	80.01	120.1	103.69	152.28	62.12	13.22	115.16	71.5	48.52	167.9	21.32	55.89	17.77	256.78	33.78	85.82	104.42	59.55	47.17	84.04	190.34	23.76	63.45	136.19	253.23	177.53	126.12	376.41	633.73	14.14	68.07	473.41	860.08	400.71	371.22	1594.73	1088.92	223.41	128.79	470.14	93.35	211.31	518.15	629.35	376.41	518.15	674.59	387.02	119.26	791.35	198.47	366.09	791.35	928.3	909.17	1896.65	909.17	447.82	111.21	703.28	708.18	878.17	406.31	460.44	2018.8	441.64	381.68	237.86	775.05	389.72	444.72	351.14	301.33	50.98	287.01	14.45
GLTSCR1L	106.63	72.01	119.26	71.5	59.13	52.82	132.44	88.88	87.03	69.03	62.56	47.17	39.5	92.05	46.5	18.03	91.41	57.08	40.07	43.32	61.25	23.59	110.43	50.98	66.65	46.84	49.56	47.5	56.68	72.52	75.64	98.04	49.91	94.67	120.1	39.22	78.34	101.54	61.25	56.28	43.32	119.26	68.55	76.17	46.18	84.04	47.84	53.57	30.56	72.52	43.32	62.56	52.08	49.56	73.03	81.71	82.29	139.07	167.9	62.56	53.19	152.28	197.09	88.26	96.01	171.45	173.85	163.28	84.04	223.41	115.16	133.36	206.94	205.5	141.02	127.89	211.31	175.07	150.17	131.51	151.22	182.55	159.9	287.01	97.36	341.51	232.94	148.09	80.01	126.12	166.73	212.78	161.02	190.34	258.57	249.73	171.45	150.17	199.85	223.41	191.67	114.36	149.12	94.01	92.05	65.26
GPATCH8	165.57	141.02	178.77	77.79	113.56	57.89	212.78	117.6	101.54	145.02	106.63	100.83	111.99	94.67	57.49	80.01	105.15	154.42	68.07	61.68	120.1	52.82	258.57	111.99	120.94	111.21	82.29	122.64	88.26	116.78	82.87	175.07	81.14	151.22	244.57	49.91	78.34	145.02	130.6	110.43	80.01	190.34	111.99	140.04	121.79	111.99	94.67	124.37	45.53	87.03	117.6	48.18	54.33	77.79	70.01	143.01	69.03	273.37	297.17	141.02	248.0	239.52	381.68	140.04	178.77	258.57	412.0	190.34	148.09	265.87	198.47	175.07	450.94	264.03	256.78	146.03	228.13	229.72	181.28	316.37	273.37	329.84	246.28	571.05	307.69	403.5	224.97	334.46	122.64	327.56	226.54	253.23	212.78	253.23	295.11	341.51	283.05	312.0	373.81	381.68	463.65	253.23	201.25	152.28	182.55	81.14
INPP4A	146.03	105.15	211.31	67.12	102.97	103.69	158.79	75.11	65.72	78.34	111.21	93.35	88.88	77.79	65.72	78.34	80.01	51.71	66.65	78.89	132.44	51.35	182.55	80.01	127.0	110.43	58.3	52.08	59.97	61.25	68.07	147.06	52.08	138.1	134.3	34.75	29.7	84.04	97.36	122.64	31.45	96.01	60.39	164.42	108.14	116.78	46.5	78.34	39.5	30.12	115.16	59.55	59.55	46.5	53.57	164.42	53.57	251.48	253.23	89.51	152.28	297.17	279.14	178.77	167.9	387.02	275.28	134.3	260.38	172.65	273.37	242.88	223.41	447.82	277.2	100.83	285.03	159.9	309.83	211.31	358.54	194.36	258.57	269.6	403.5	429.54	279.14	131.51	161.02	503.95	191.67	242.88	237.86	153.34	269.6	356.05	115.97	232.94	228.13	199.85	215.77	503.95	232.94	93.35	177.53	55.1
IREB2	205.5	151.22	221.86	115.97	177.53	64.8	142.01	123.5	122.64	194.36	143.01	136.19	95.34	133.36	115.16	80.57	201.25	145.02	106.63	149.12	226.54	124.37	283.05	212.78	316.37	144.01	143.01	186.4	217.27	295.11	118.43	271.48	124.37	189.02	241.19	74.06	141.02	157.68	146.03	161.02	125.24	211.31	218.79	181.28	178.77	172.65	105.15	175.07	224.97	156.59	202.66	193.01	117.6	115.97	181.28	202.66	187.71	307.69	277.2	185.11	312.0	371.22	341.51	323.03	229.72	629.35	387.02	277.2	301.33	312.0	353.59	346.29	303.44	356.05	339.14	309.83	325.29	239.52	214.27	314.17	289.02	301.33	341.51	323.03	525.39	373.81	341.51	249.73	193.01	603.67	332.14	366.09	220.32	320.8	287.01	348.71	723.08	438.59	379.04	275.28	674.59	463.65	248.0	295.11	285.03	181.28
ITM2A	103.69	125.24	684.02	103.69	139.07	262.2	353.59	242.88	164.42	20.56	116.78	221.86	12.55	161.02	92.7	158.79	309.83	43.63	236.21	105.15	265.87	87.65	860.08	71.5	201.25	52.08	158.79	62.56	96.01	112.77	120.1	199.85	153.34	339.14	30.78	38.12	158.79	35.76	42.41	346.29	53.19	101.54	28.86	379.04	32.36	157.68	152.28	48.87	57.89	42.11	242.88	94.01	158.79	70.51	224.97	698.41	172.65	708.18	1286.18	167.9	228.13	441.64	1331.57	1870.53	703.28	738.29	1183.45	417.77	1037.29	1769.57	323.03	295.11	1081.39	486.75	1051.79	1059.11	1427.22	1487.87	293.07	1540.37	3419.52	3589.58	1208.34	1977.24	819.3	4937.99	1104.13	339.14	255.0	1963.57	1359.57	1350.18	1378.57	2485.67	941.27	1583.71	1617.0	444.72	633.73	384.34	2178.83	1639.59	1963.57	197.09	872.1	34.51
JAK2	118.43	94.01	133.36	33.06	45.85	16.15	48.18	54.72	35.25	36.53	62.56	35.76	57.89	37.85	17.13	42.41	35.76	18.43	31.22	16.75	76.17	19.53	157.68	26.86	77.79	42.71	38.95	28.04	20.56	16.51	34.75	45.21	18.16	65.72	14.45	14.89	32.36	27.25	22.43	60.39	12.64	26.28	19.97	109.66	56.68	33.06	21.94	39.22	32.82	29.7	72.52	22.92	21.32	34.02	32.36	50.27	33.3	152.28	172.65	45.85	57.49	249.73	236.21	202.66	175.07	551.56	209.84	97.36	251.48	343.89	941.27	155.5	195.72	267.73	129.69	137.14	256.78	171.45	237.86	166.73	226.54	171.45	120.94	417.77	198.47	361.04	264.03	129.69	142.01	353.59	161.02	180.02	241.19	99.43	185.11	379.04	182.55	123.5	275.28	170.25	307.69	229.72	195.72	65.26	199.85	24.46
JMJD1C	547.75	457.25	368.65	281.09	157.68	71.0	131.51	277.2	269.6	497.0	376.41	575.03	476.71	339.14	373.81	353.59	521.76	435.55	303.44	356.05	361.04	366.09	429.54	314.17	547.75	346.29	295.11	1268.46	423.61	400.71	348.71	543.96	281.09	432.53	444.72	193.01	356.05	638.15	480.04	587.13	400.71	718.08	314.17	575.03	395.18	305.55	244.57	651.58	457.25	454.09	281.09	819.3	547.75	312.0	457.25	432.53	325.29	775.05	607.87	366.09	307.69	718.08	915.51	555.41	1216.75	1175.27	728.11	571.05	1008.9	547.75	890.44	460.44	733.19	612.11	624.99	567.1	674.59	854.13	575.03	753.83	769.69	785.88	633.73	638.15	2835.7	656.11	703.28	669.92	384.34	1259.69	660.68	543.96	642.59	460.44	620.67	718.08	1781.89	791.35	1350.18	836.53	1417.35	974.5	698.41	293.07	651.58	287.01
KAT6A	105.15	76.71	143.01	75.11	102.97	68.07	148.09	92.7	85.22	110.43	73.54	81.14	105.89	46.18	36.79	64.8	78.34	87.65	79.45	35.76	73.54	26.1	151.22	87.65	54.33	90.14	40.64	98.04	56.68	63.89	94.67	130.6	34.51	81.14	180.02	16.51	38.95	91.41	50.27	67.59	55.1	62.56	56.28	94.67	117.6	56.28	59.97	165.57	112.77	56.68	75.11	34.51	65.72	77.79	82.29	170.25	141.02	191.67	260.38	65.72	260.38	211.31	368.65	162.14	153.34	551.56	438.59	182.55	297.17	205.5	186.4	120.1	180.02	591.22	141.02	161.02	149.12	117.6	287.01	251.48	244.57	177.53	241.19	246.28	791.35	348.71	187.71	285.03	154.42	325.29	186.4	206.94	218.79	164.42	289.02	211.31	232.94	249.73	154.42	185.11	303.44	381.68	201.25	119.26	176.29	73.03
KAT6B	80.01	55.49	102.25	49.91	48.87	37.32	84.04	51.71	35.5	69.03	46.84	58.71	37.85	41.81	37.59	33.54	59.55	43.94	29.06	34.02	57.08	31.9	73.03	31.9	48.18	53.19	31.22	72.01	55.49	57.49	45.21	101.54	29.91	61.25	100.83	19.25	40.93	48.52	53.19	57.49	40.07	64.34	24.28	71.5	45.85	40.64	42.41	55.49	48.52	43.63	37.59	33.54	48.87	41.22	60.39	100.13	77.79	132.44	182.55	33.78	63.45	154.42	242.88	80.01	93.35	144.01	173.85	151.22	74.58	199.85	146.03	114.36	246.28	173.85	151.22	96.68	206.94	161.02	133.36	212.78	258.57	279.14	199.85	287.01	169.07	301.33	214.27	215.77	100.83	208.38	183.82	187.71	217.27	202.66	198.47	264.03	229.72	185.11	260.38	221.86	351.14	169.07	167.9	52.82	89.51	64.34
KCNA3	11.3	12.83	44.57	1.93	10.31	8.38	17.13	12.36	6.01	0.36	1.68	1.62	0.71	4.46	1.58	2.78	9.13	2.56	2.27	1.71	11.13	0.0	67.59	0.0	5.96	0.38	1.33	0.73	1.43	0.34	2.03	4.74	2.56	13.32	1.01	0.0	3.35	0.0	0.31	5.59	0.3	1.48	0.0	15.8	1.46	1.68	3.5	7.34	3.76	10.47	7.34	11.04	26.67	5.06	5.45	22.1	2.53	33.06	56.68	8.25	3.38	123.5	113.56	15.91	183.82	348.71	204.07	117.6	607.87	55.89	33.78	44.89	137.14	8.45	82.87	64.8	72.01	82.29	45.21	36.79	234.57	71.0	79.45	159.9	96.01	265.87	84.63	26.67	17.9	1037.29	38.95	38.4	123.5	18.03	185.11	264.03	34.02	27.44	17.13	85.82	241.19	40.36	57.08	4.74	46.5	1.14
KDR	30.34	29.7	239.52	72.01	94.01	155.5	75.64	28.86	34.51	73.54	115.97	180.02	38.12	162.14	167.9	29.48	102.25	102.97	170.25	115.97	100.83	80.01	221.86	29.91	99.43	94.01	127.89	85.82	90.14	29.27	158.79	281.09	115.97	208.38	172.65	9.41	258.57	55.1	49.56	271.48	27.84	128.79	31.45	241.19	44.57	194.36	120.94	54.72	80.01	226.54	287.01	104.42	48.18	136.19	497.0	191.67	309.83	476.71	500.46	21.94	173.85	281.09	703.28	285.03	249.73	1572.76	1295.13	305.55	204.07	1008.9	76.71	94.67	279.14	555.41	279.14	336.79	579.04	571.05	158.79	373.81	334.46	941.27	334.46	1030.12	218.79	2319.15	511.0	297.17	37.05	1277.29	351.14	967.76	242.88	555.41	651.58	500.46	1044.52	679.29	460.44	371.22	1066.48	214.27	323.03	59.55	303.44	58.3
KHNYN	395.18	327.56	470.14	169.07	202.66	260.38	379.04	295.11	277.2	403.5	368.65	283.05	299.25	265.87	323.03	231.32	371.22	237.86	295.11	403.5	392.44	307.69	460.44	547.75	170.25	450.94	279.14	206.94	463.65	167.9	209.84	514.56	358.54	674.59	406.31	232.94	127.0	54.72	241.19	277.2	140.04	348.71	363.56	381.68	271.48	511.0	223.41	198.47	127.0	248.0	205.5	169.07	206.94	281.09	186.4	318.57	293.07	775.05	532.74	435.55	371.22	629.35	642.59	363.56	460.44	1159.07	785.88	387.02	587.13	587.13	555.41	444.72	842.36	684.02	346.29	320.8	713.11	486.75	226.54	669.92	480.04	713.11	368.65	1369.04	733.19	764.36	567.1	480.04	314.17	1605.83	497.0	559.28	525.39	454.09	599.49	890.44	246.28	470.14	435.55	713.11	1001.93	854.13	518.15	318.57	463.65	417.77
KIAA1432	162.14	89.51	140.04	71.0	85.22	77.25	125.24	90.14	84.63	100.13	82.29	92.05	105.89	70.51	72.01	83.45	108.14	66.18	45.53	41.22	120.1	51.35	209.84	84.63	137.14	68.07	73.03	144.01	52.82	80.57	59.55	93.35	49.91	111.99	93.35	29.48	79.45	110.43	52.82	90.77	54.72	116.78	36.53	114.36	135.24	90.77	59.97	46.84	78.34	58.3	100.83	66.18	46.5	75.64	108.9	135.24	115.97	208.38	186.4	59.97	80.01	186.4	206.94	170.25	114.36	334.46	262.2	115.16	130.6	161.02	224.97	142.01	217.27	214.27	189.02	95.34	125.24	115.16	151.22	201.25	234.57	180.02	132.44	293.07	366.09	189.02	144.01	170.25	65.72	470.14	146.03	120.1	93.35	105.89	118.43	211.31	295.11	167.9	279.14	144.01	379.04	713.11	124.37	74.06	176.29	37.05
KIAA2026	87.65	72.01	124.37	43.63	53.57	29.7	55.49	55.89	27.84	69.52	74.58	60.39	76.17	60.39	43.32	41.52	63.0	53.57	46.5	45.21	92.7	29.91	133.36	55.89	89.51	51.35	70.01	100.13	31.9	50.27	67.59	77.25	47.5	91.41	63.0	28.45	43.02	74.58	45.53	73.03	38.4	71.0	43.02	90.14	66.18	68.55	62.56	96.01	35.5	106.63	65.72	80.01	62.12	62.56	70.51	99.43	126.12	146.03	149.12	32.36	115.16	171.45	236.21	88.26	112.77	339.14	255.0	134.3	159.9	234.57	103.69	153.34	176.29	180.02	176.29	92.7	228.13	121.79	154.42	146.03	165.57	123.5	187.71	301.33	154.42	429.54	336.79	149.12	111.99	198.47	141.02	260.38	191.67	148.09	339.14	285.03	205.5	159.9	205.5	135.24	271.48	120.1	185.11	34.51	117.6	41.22
KIDINS220	265.87	289.02	312.0	138.1	194.36	132.44	327.56	249.73	133.36	224.97	181.28	169.07	228.13	195.72	172.65	120.1	162.14	208.38	120.94	118.43	189.02	121.79	256.78	131.51	228.13	137.14	122.64	149.12	248.0	140.04	159.9	353.59	100.83	197.09	447.82	82.87	109.66	190.34	285.03	220.32	98.04	190.34	181.28	253.23	231.32	164.42	118.43	187.71	164.42	133.36	279.14	138.1	114.36	217.27	201.25	307.69	232.94	551.56	511.0	141.02	463.65	493.56	674.59	348.71	400.71	624.99	638.15	412.0	409.15	738.29	595.34	299.25	684.02	1127.35	332.14	305.55	426.57	429.54	500.46	708.18	540.19	507.46	612.11	563.18	514.56	872.1	764.36	525.39	193.01	775.05	518.15	547.75	555.41	665.29	547.75	708.18	813.63	656.11	483.38	473.41	587.13	417.77	429.54	242.88	325.29	126.12
KLF13	780.44	1794.29	1551.09	941.27	780.44	1081.39	507.46	1397.83	1001.93	866.07	1498.22	728.11	318.57	1216.75	1023.0	780.44	718.08	1104.13	981.29	1685.71	769.69	1447.15	728.11	1561.89	1066.48	2209.26	909.17	854.13	1651.0	1551.09	441.64	1015.93	974.5	1397.83	1447.15	791.35	1051.79	830.75	674.59	941.27	620.67	1268.46	1037.29	1001.93	361.04	1407.55	995.0	209.84	211.31	521.76	379.04	314.17	423.61	237.86	387.02	379.04	215.77	1769.57	1427.22	299.25	2004.85	1529.73	2018.8	1487.87	1350.18	2351.53	2004.85	2075.59	1407.55	3146.52	2303.12	1572.76	4010.71	1674.06	1605.83	1781.89	1498.22	3639.7	941.27	3768.09	1662.49	2777.33	2855.44	2287.2	1572.76	1651.0	2287.2	2627.46	1417.35	2224.63	4298.64	1508.65	1857.6	3190.46	1066.48	2090.03	1963.57	3257.52	6607.01	4239.45	4358.66	3124.78	1832.01	267.73	1259.69	660.68
