	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
MAML2	189.02	65.72	37.32	102.25	17.77	139.07	217.27	108.14	17.77	85.82	115.16	94.01	74.58	142.01	113.56	94.67	68.55	70.51	90.77	197.09	143.01	40.64	28.45	42.71	36.01	48.52	67.59	135.24	37.05	50.98	62.56	70.01	3.56	35.0	138.1	77.25	23.42	115.97	114.36	9.06	53.19	65.72	60.39	83.45	81.71	50.27	92.7	65.72	32.59	69.03	189.02	96.01	50.63	111.99	44.89	65.26	186.4	199.85	61.25	84.04	49.91	46.18	22.1	36.53	101.54	70.01	131.51	49.56	100.83	56.28	176.29	16.63	81.71	40.64	236.21	49.21	54.72	71.0	37.85	32.13	187.71	186.4	293.07	283.05	339.14	181.28	185.11	193.01	152.28	256.78	136.19	189.02	197.09	206.94	246.28	226.54	131.51	169.07	251.48	223.41
MCC	183.82	93.35	28.45	128.79	46.18	214.27	255.0	18.97	9.34	105.15	147.06	96.68	109.66	194.36	68.55	83.45	74.06	23.25	144.01	183.82	186.4	38.12	36.27	57.08	53.95	28.86	39.5	156.59	86.43	64.8	45.53	84.04	3.86	55.49	129.69	28.86	31.0	211.31	152.28	24.63	20.26	83.45	55.89	128.79	120.94	156.59	80.57	117.6	28.65	9.34	186.4	30.78	20.86	54.33	52.82	17.38	171.45	234.57	66.65	100.13	41.22	57.08	15.34	25.17	151.22	76.71	120.94	43.32	103.69	29.48	253.23	50.63	26.28	40.36	334.46	73.03	76.71	41.52	96.01	98.73	244.57	226.54	470.14	518.15	392.44	265.87	287.01	314.17	295.11	368.65	181.28	264.03	194.36	185.11	279.14	432.53	223.41	122.64	351.14	376.41
MEIS2	457.25	289.02	85.22	514.56	71.0	688.78	981.29	62.56	43.02	389.72	571.05	447.82	379.04	830.75	269.6	466.88	146.03	120.1	567.1	1143.1	571.05	97.36	113.56	246.28	172.65	305.55	236.21	518.15	218.79	249.73	193.01	348.71	8.38	218.79	633.73	154.42	206.94	679.29	665.29	55.49	117.6	450.94	215.77	607.87	420.68	190.34	417.77	395.18	47.5	42.11	507.46	185.11	120.94	189.02	163.28	82.87	780.44	909.17	143.01	320.8	163.28	236.21	71.5	127.89	651.58	289.02	665.29	180.02	414.87	105.89	1259.69	57.08	101.54	291.04	1001.93	187.71	299.25	87.65	237.86	214.27	890.44	656.11	1191.69	1529.73	1407.55	1059.11	1199.98	1175.27	1175.27	1167.14	665.29	884.29	921.88	703.28	1277.29	1208.34	791.35	921.88	1023.0	1151.06
MPP2	94.67	34.75	12.18	76.71	15.45	91.41	147.06	8.13	8.51	84.63	63.45	69.03	70.01	98.73	46.84	71.0	36.01	26.47	123.5	187.71	111.99	16.51	10.24	54.72	38.4	28.86	46.84	66.65	36.27	40.93	40.36	98.73	2.16	58.3	111.99	40.07	38.67	176.29	175.07	7.06	23.25	52.45	55.49	92.7	63.89	17.77	43.02	68.07	10.88	3.79	112.77	32.36	17.51	43.63	11.21	8.06	139.07	127.0	17.13	62.56	24.63	57.49	9.34	20.41	158.79	56.68	148.09	22.1	39.5	17.38	143.01	10.63	33.3	72.52	163.28	23.25	58.3	10.16	49.21	44.25	88.88	53.95	273.37	144.01	135.24	183.82	204.07	159.9	176.29	198.47	223.41	157.68	275.28	124.37	129.69	262.2	123.5	78.34	255.0	253.23
MSRB3	808.0	271.48	55.49	529.06	119.26	780.44	616.37	78.89	44.25	480.04	591.22	371.22	642.59	825.0	368.65	587.13	353.59	124.37	866.07	1008.9	486.75	73.03	119.26	299.25	279.14	218.79	341.51	412.0	167.9	182.55	327.56	738.29	21.01	303.44	312.0	432.53	214.27	819.3	830.75	25.17	129.69	406.31	323.03	555.41	490.14	138.1	320.8	339.14	94.67	43.63	642.59	209.84	127.89	236.21	120.1	78.89	1044.52	1023.0	117.6	312.0	128.79	400.71	100.83	111.99	785.88	343.89	651.58	124.37	241.19	73.54	1175.27	33.54	111.21	521.76	854.13	128.79	316.37	96.01	186.4	217.27	884.29	351.14	1685.71	974.5	854.13	1225.22	1819.35	884.29	1286.18	1397.83	1088.92	954.43	1662.49	954.43	728.11	1540.37	1030.12	693.58	1331.57	1457.23
MYOF	684.02	426.57	133.36	529.06	127.89	642.59	954.43	81.14	96.01	470.14	563.18	283.05	232.94	728.11	236.21	363.56	169.07	260.38	651.58	759.08	656.11	193.01	108.9	186.4	223.41	429.54	131.51	633.73	231.32	260.38	231.32	267.73	23.76	173.85	934.76	191.67	162.14	830.75	620.67	34.51	204.07	341.51	172.65	441.64	532.74	223.41	444.72	297.17	208.38	49.21	825.0	234.57	218.79	111.99	169.07	43.94	769.69	848.22	189.02	363.56	223.41	147.06	194.36	194.36	647.07	376.41	780.44	209.84	497.0	134.3	967.76	70.01	256.78	356.05	921.88	177.53	281.09	150.17	143.01	144.01	1059.11	848.22	1709.26	1388.16	1583.71	884.29	819.3	1268.46	819.3	1250.98	791.35	825.0	1216.75	848.22	1295.13	1561.89	825.0	703.28	1721.16	1151.06
NAV2	88.88	35.0	10.88	69.03	14.78	133.36	131.51	14.24	5.59	79.45	92.05	50.98	48.52	127.89	44.25	54.72	34.75	10.31	92.7	111.99	102.25	36.53	9.78	27.05	34.51	14.89	18.7	73.54	43.94	44.25	38.4	29.7	2.23	27.84	109.66	22.59	25.91	117.6	93.35	3.89	25.35	42.11	32.13	71.0	62.56	29.27	65.26	36.53	38.67	9.56	73.03	21.94	22.43	28.86	15.11	11.04	87.65	128.79	24.99	48.87	20.86	23.93	11.64	12.09	74.58	24.99	75.11	26.47	103.69	21.01	164.42	19.39	351.14	26.28	195.72	39.79	34.75	21.94	30.12	38.12	93.35	67.12	323.03	215.77	185.11	144.01	110.43	125.24	96.01	173.85	187.71	105.89	208.38	97.36	129.69	169.07	98.73	84.04	144.01	173.85
NHS	49.21	16.15	4.43	16.51	5.45	45.53	41.52	6.57	2.53	16.15	26.28	12.83	26.47	39.22	20.71	20.71	11.91	6.89	36.79	42.11	23.93	9.2	4.31	11.38	15.34	7.28	16.39	36.53	9.63	11.64	17.64	27.84	1.04	7.88	43.32	10.88	7.22	48.87	28.65	3.76	5.77	17.13	14.14	20.86	22.1	10.96	19.68	22.43	5.54	5.45	24.81	11.13	11.21	11.13	6.06	3.76	41.52	53.95	9.34	19.25	5.36	11.21	3.79	5.92	31.0	19.39	32.36	9.41	20.41	6.94	61.68	4.1	11.82	10.96	44.25	16.27	15.91	4.5	16.88	8.13	49.91	27.25	81.71	68.55	99.43	45.21	57.08	58.3	44.89	77.79	28.24	38.67	37.59	49.91	52.45	80.57	38.95	31.45	50.63	62.56
NRG2	61.25	33.3	5.73	38.12	13.32	68.07	103.69	7.46	2.63	51.71	65.72	22.26	23.08	43.32	27.64	25.35	17.25	20.11	62.56	113.56	64.8	8.45	3.96	15.8	16.39	8.06	17.13	36.01	13.62	24.81	10.88	17.25	2.92	24.81	65.26	18.16	21.63	90.14	106.63	2.03	4.66	16.15	13.03	58.71	49.21	11.47	23.93	20.71	4.17	3.86	78.34	14.35	12.64	22.59	13.32	4.98	64.34	58.71	16.51	35.0	15.8	6.94	2.78	4.06	70.01	15.91	74.06	28.04	36.79	9.06	71.5	5.63	10.16	31.22	150.17	12.74	31.22	5.96	28.86	18.56	92.7	84.04	115.16	132.44	133.36	96.01	124.37	121.79	162.14	127.0	90.14	104.42	66.18	88.88	98.73	110.43	58.71	55.49	170.25	124.37
NYNRIN	87.03	21.63	19.53	43.02	6.57	164.42	187.71	14.56	4.54	48.52	102.25	37.85	46.5	80.57	55.49	52.82	32.59	14.35	66.65	116.78	94.01	17.38	12.36	27.44	26.28	18.29	37.85	127.89	57.08	39.22	23.59	48.52	3.5	33.78	128.79	19.82	27.84	150.17	90.77	4.06	20.86	53.95	38.67	54.72	51.71	22.1	46.5	68.07	16.51	7.22	68.07	31.0	18.7	35.76	13.22	5.5	94.01	148.09	28.24	48.52	22.75	18.43	6.84	10.24	75.64	45.21	103.69	24.81	78.34	23.76	283.05	9.48	55.1	24.63	164.42	31.22	55.89	10.71	26.47	29.91	163.28	105.89	260.38	198.47	260.38	181.28	149.12	177.53	124.37	215.77	136.19	113.56	148.09	115.16	181.28	275.28	126.12	102.97	197.09	190.34
PADI2	62.12	16.75	6.36	32.82	8.25	63.89	281.09	14.24	2.32	24.63	58.3	29.48	52.45	75.64	15.8	25.17	9.85	6.73	48.52	30.34	23.93	10.71	13.52	12.09	21.47	7.88	9.27	50.63	15.68	10.79	10.47	18.16	1.45	44.89	14.45	29.7	20.26	49.21	23.08	5.06	13.72	24.46	41.52	13.52	46.84	13.72	30.12	15.68	15.22	6.06	24.99	15.34	24.11	7.34	9.27	11.55	26.86	43.02	12.36	21.78	6.41	13.03	8.32	7.88	19.25	17.13	124.37	12.18	23.76	10.08	57.08	5.92	16.15	28.86	65.26	27.84	19.11	35.0	18.84	18.16	38.12	137.14	228.13	65.72	102.97	62.12	86.43	17.9	22.92	128.79	51.35	128.79	30.34	32.13	100.13	79.45	46.84	47.17	68.55	140.04
PAQR8	60.39	20.11	18.56	53.19	9.34	100.83	92.05	19.11	4.43	63.45	56.28	63.45	42.11	95.34	29.06	44.57	24.81	24.81	70.51	102.97	53.19	12.27	6.73	35.0	18.16	19.53	23.25	53.57	29.48	33.78	18.84	52.82	2.34	25.54	49.21	24.11	32.59	82.87	111.99	4.58	18.29	40.93	29.27	61.25	39.5	21.78	38.67	38.95	15.68	5.87	88.26	23.42	21.01	23.25	20.86	9.27	81.71	87.65	12.45	28.45	15.68	39.22	15.91	13.83	92.05	31.9	75.64	19.53	66.18	10.39	94.01	12.45	22.59	34.51	150.17	35.25	37.85	12.09	28.24	24.46	100.13	60.82	117.6	98.04	127.0	126.12	115.16	189.02	105.89	130.6	165.57	108.14	92.7	65.26	87.65	167.9	102.97	72.01	149.12	145.02
PCDH7	234.57	82.29	9.06	147.06	25.91	130.6	299.25	15.34	5.82	133.36	149.12	121.79	84.63	255.0	64.34	98.04	28.45	31.9	147.06	239.52	156.59	16.51	9.7	50.27	33.54	19.97	39.22	178.77	35.0	73.54	55.49	57.89	0.34	42.71	126.12	38.95	26.1	118.43	206.94	4.9	20.11	76.17	40.93	177.53	73.54	39.5	74.58	63.89	14.67	37.32	228.13	32.59	13.52	26.86	21.78	11.21	253.23	204.07	23.93	111.99	31.9	57.08	9.93	22.75	204.07	29.06	133.36	34.51	100.83	17.77	253.23	10.24	54.33	55.1	301.33	30.56	60.39	15.8	51.35	47.17	246.28	111.99	175.07	279.14	476.71	281.09	212.78	312.0	126.12	289.02	271.48	356.05	244.57	228.13	248.0	348.71	150.17	205.5	273.37	206.94
PDGFC	457.25	205.5	45.21	248.0	78.34	543.96	567.1	48.18	114.36	267.73	295.11	224.97	260.38	281.09	224.97	323.03	122.64	161.02	353.59	595.34	275.28	61.25	94.67	161.02	95.34	218.79	271.48	267.73	77.25	131.51	169.07	387.02	5.45	115.97	246.28	283.05	102.25	567.1	368.65	47.5	84.63	171.45	155.5	299.25	287.01	154.42	262.2	320.8	64.34	12.18	368.65	194.36	73.54	201.25	198.47	46.84	500.46	669.92	65.72	220.32	94.67	109.66	108.14	72.01	356.05	204.07	312.0	77.25	228.13	60.82	555.41	25.91	123.5	217.27	470.14	137.14	215.77	63.45	130.6	151.22	356.05	525.39	928.3	764.36	679.29	607.87	1023.0	684.02	775.05	620.67	420.68	567.1	507.46	412.0	400.71	902.89	656.11	423.61	674.59	947.83
PDPN	267.73	164.42	68.07	167.9	87.65	363.56	368.65	11.73	7.11	299.25	167.9	167.9	120.94	232.94	145.02	224.97	60.39	75.64	295.11	406.31	224.97	57.08	55.49	126.12	109.66	63.89	65.26	206.94	93.35	71.0	19.25	163.28	2.32	121.79	234.57	104.42	71.0	351.14	320.8	21.01	61.25	147.06	144.01	175.07	217.27	65.72	182.55	126.12	78.34	11.47	329.84	105.89	57.49	108.9	51.35	36.79	293.07	341.51	66.18	138.1	91.41	29.48	44.25	45.53	249.73	189.02	289.02	93.35	197.09	56.28	358.54	63.45	50.63	113.56	432.53	87.65	182.55	51.71	135.24	61.25	341.51	309.83	748.61	429.54	417.77	563.18	435.55	332.14	470.14	454.09	674.59	447.82	529.06	454.09	373.81	420.68	320.8	293.07	521.76	591.22
PJA1	400.71	287.01	141.02	379.04	318.57	476.71	473.41	289.02	231.32	356.05	420.68	287.01	414.87	486.75	346.29	429.54	379.04	336.79	406.31	500.46	389.72	260.38	312.0	450.94	435.55	379.04	327.56	470.14	400.71	275.28	205.5	567.1	129.69	463.65	353.59	224.97	435.55	454.09	426.57	325.29	297.17	490.14	417.77	351.14	395.18	307.69	463.65	329.84	366.09	212.78	423.61	346.29	314.17	307.69	267.73	226.54	543.96	486.75	301.33	384.34	265.87	336.79	195.72	363.56	397.93	351.14	409.15	258.57	312.0	229.72	599.49	420.68	397.93	234.57	493.56	204.07	395.18	301.33	343.89	291.04	503.95	476.71	603.67	536.45	563.18	514.56	633.73	463.65	624.99	587.13	441.64	555.41	575.03	447.82	500.46	599.49	575.03	507.46	518.15	656.11
PLD4	69.03	26.1	20.56	56.68	22.75	75.64	126.12	19.11	1.25	24.63	55.1	69.52	46.84	71.5	42.41	95.34	23.42	24.63	111.21	61.25	76.71	28.86	28.86	24.46	27.25	23.76	27.05	55.49	63.89	26.47	28.24	38.12	2.2	186.4	120.94	43.02	84.63	69.52	47.84	16.03	62.12	45.53	28.86	59.97	72.52	39.22	54.72	52.08	24.99	8.19	64.34	59.55	65.72	41.22	15.34	24.81	31.9	108.14	15.0	68.55	48.18	16.75	37.59	11.38	57.08	55.89	62.12	34.51	39.22	27.05	128.79	30.12	27.84	32.82	127.89	44.25	85.82	34.75	49.56	23.76	113.56	74.06	87.65	115.16	129.69	84.04	149.12	77.25	121.79	138.1	58.71	88.26	33.3	59.97	105.89	126.12	59.13	31.9	161.02	221.86
PLEKHA2	224.97	59.13	40.64	119.26	31.67	154.42	264.03	78.89	15.56	193.01	148.09	92.7	106.63	187.71	87.65	111.21	89.51	81.71	164.42	163.28	162.14	67.12	41.22	59.13	57.49	55.49	66.65	141.02	96.68	90.77	80.57	136.19	10.96	63.0	120.94	63.0	79.45	231.32	169.07	13.93	69.52	86.43	98.04	118.43	115.16	57.49	129.69	104.42	43.32	20.41	151.22	59.13	53.95	68.55	73.03	24.46	242.88	253.23	71.5	103.69	41.52	74.58	21.32	39.79	157.68	76.17	141.02	48.18	137.14	63.45	297.17	24.46	102.97	81.14	232.94	67.12	76.17	38.67	63.89	76.17	269.6	181.28	466.88	249.73	379.04	253.23	353.59	197.09	291.04	381.68	164.42	223.41	228.13	208.38	217.27	381.68	211.31	175.07	351.14	327.56
PLEKHG3	255.0	162.14	105.15	197.09	156.59	353.59	269.6	55.1	63.45	309.83	297.17	295.11	145.02	363.56	202.66	180.02	158.79	211.31	299.25	521.76	273.37	100.83	130.6	215.77	167.9	141.02	258.57	353.59	211.31	151.22	249.73	173.85	169.07	226.54	258.57	246.28	218.79	297.17	361.04	59.13	182.55	187.71	112.77	236.21	156.59	169.07	153.34	172.65	124.37	90.14	312.0	248.0	164.42	221.86	127.0	73.54	273.37	327.56	113.56	269.6	212.78	209.84	140.04	194.36	287.01	133.36	320.8	183.82	183.82	206.94	450.94	95.34	206.94	194.36	409.15	239.52	167.9	279.14	205.5	202.66	307.69	189.02	587.13	547.75	511.0	366.09	438.59	470.14	348.71	518.15	575.03	348.71	480.04	293.07	432.53	563.18	371.22	307.69	518.15	497.0
POU2F2	64.34	37.85	19.97	47.5	24.46	57.08	63.0	26.86	7.46	28.45	89.51	47.84	34.75	44.25	24.63	63.89	23.59	40.64	63.89	90.77	49.21	11.38	50.63	36.53	15.8	32.59	41.81	29.91	28.45	37.05	64.34	37.05	10.16	52.08	39.5	27.25	28.86	44.57	94.01	25.72	76.71	62.12	41.22	42.71	43.63	22.92	39.5	37.59	9.7	46.84	50.27	42.41	60.82	27.64	14.35	12.45	52.82	71.5	21.94	44.25	36.53	30.78	31.9	17.51	51.71	43.94	55.1	18.29	34.75	28.86	55.1	13.72	42.11	26.86	77.79	46.18	39.22	27.84	33.3	24.81	34.02	33.06	99.43	68.55	66.65	60.82	84.04	60.39	77.79	77.25	82.87	57.89	92.05	48.52	67.59	90.77	56.28	37.85	74.06	77.79
PPIC	616.37	267.73	441.64	480.04	128.79	490.14	521.76	255.0	241.19	403.5	514.56	417.77	348.71	529.06	406.31	521.76	253.23	242.88	1051.79	638.15	387.02	102.97	314.17	185.11	629.35	563.18	381.68	206.94	166.73	555.41	379.04	607.87	71.0	483.38	414.87	426.57	275.28	688.78	620.67	175.07	417.77	412.0	476.71	356.05	547.75	162.14	403.5	429.54	187.71	70.51	414.87	336.79	165.57	387.02	97.36	234.57	432.53	435.55	241.19	312.0	540.19	199.85	111.21	236.21	629.35	271.48	518.15	780.44	281.09	301.33	638.15	72.52	540.19	651.58	684.02	295.11	497.0	115.97	241.19	136.19	769.69	521.76	1143.1	529.06	718.08	620.67	802.41	591.22	669.92	830.75	796.86	536.45	629.35	483.38	693.58	808.0	872.1	738.29	748.61	854.13
PQLC3	612.11	384.34	190.34	463.65	166.73	599.49	420.68	242.88	323.03	381.68	409.15	420.68	371.22	575.03	660.68	480.04	285.03	334.46	503.95	563.18	603.67	195.72	273.37	329.84	669.92	503.95	759.08	329.84	295.11	412.0	470.14	493.56	140.04	325.29	616.37	444.72	384.34	497.0	547.75	255.0	376.41	412.0	529.06	420.68	500.46	218.79	688.78	486.75	346.29	156.59	536.45	366.09	320.8	366.09	279.14	409.15	748.61	525.39	285.03	373.81	305.55	165.57	154.42	218.79	679.29	400.71	575.03	356.05	599.49	334.46	480.04	246.28	426.57	460.44	507.46	392.44	551.56	256.78	215.77	181.28	848.22	543.96	679.29	480.04	759.08	529.06	995.0	688.78	738.29	647.07	444.72	493.56	514.56	967.76	708.18	595.34	1008.9	563.18	769.69	830.75
PRELID2	19.68	19.97	9.34	26.1	2.53	58.3	52.45	12.83	14.14	18.97	26.1	20.26	23.59	26.1	24.46	23.42	22.43	23.76	35.5	54.33	25.91	2.61	8.51	21.94	17.9	18.29	15.91	24.11	8.99	22.92	15.45	16.63	10.63	15.0	32.13	20.71	14.78	54.33	21.16	1.33	7.11	13.03	28.04	15.22	25.35	26.1	43.02	20.56	5.32	3.32	41.22	15.11	6.84	24.46	20.26	5.19	25.17	60.39	11.82	50.63	29.91	7.82	1.68	20.86	31.45	17.64	50.98	9.7	41.81	31.0	43.02	9.48	13.83	27.84	44.89	16.03	24.81	15.45	13.93	24.99	55.49	50.27	62.56	58.71	81.14	55.49	76.71	68.55	49.56	53.19	52.45	33.78	53.95	53.57	50.63	53.57	50.63	48.87	46.5	60.39
PRICKLE2	152.28	85.82	10.88	64.34	36.79	113.56	127.0	13.32	3.89	75.11	72.01	51.35	92.7	119.26	50.98	72.01	36.27	33.78	106.63	139.07	97.36	20.41	18.16	42.11	34.75	29.7	35.76	82.87	33.06	32.13	47.17	108.9	3.2	39.22	66.18	32.36	24.99	164.42	111.99	14.67	24.28	61.68	46.18	72.52	69.03	28.65	44.57	96.68	17.64	4.58	114.36	33.3	29.91	39.79	18.97	7.34	163.28	209.84	23.42	55.89	18.56	53.57	17.25	23.08	124.37	52.08	79.45	18.97	42.71	18.03	186.4	7.11	30.56	60.82	151.22	43.94	43.32	15.34	30.56	31.45	132.44	56.68	316.37	185.11	215.77	205.5	217.27	142.01	167.9	217.27	143.01	202.66	195.72	135.24	136.19	281.09	124.37	77.79	255.0	204.07
PRTFDC1	93.35	56.68	13.32	75.11	17.25	110.43	110.43	12.09	9.78	66.65	79.45	60.82	61.68	115.16	40.64	65.26	28.65	23.42	119.26	79.45	73.03	15.56	15.34	29.06	30.12	25.91	56.68	51.71	22.43	32.13	29.48	92.05	5.68	54.33	65.26	46.84	25.35	189.02	94.67	4.58	30.12	57.89	66.18	78.89	84.04	25.72	78.89	76.17	19.53	5.15	72.52	28.24	19.39	55.1	21.47	9.56	111.21	112.77	16.15	44.25	16.88	67.12	13.12	16.15	100.83	55.1	94.01	29.27	49.21	13.42	87.65	4.82	14.67	56.68	149.12	27.44	43.32	11.91	41.52	24.63	127.0	116.78	241.19	127.89	130.6	150.17	283.05	148.09	239.52	183.82	141.02	75.11	146.03	89.51	150.17	152.28	185.11	94.01	170.25	211.31
PTPLAD2	89.51	20.86	47.17	66.18	18.29	94.67	87.03	27.05	19.25	57.49	80.57	47.17	75.64	83.45	59.97	74.06	36.53	38.12	98.04	120.94	71.5	31.67	32.36	34.26	34.75	57.08	82.29	60.39	44.57	36.27	47.17	100.13	31.0	71.5	77.25	90.77	53.19	111.99	89.51	22.1	32.82	50.98	42.41	53.19	86.43	32.59	56.68	48.52	29.48	23.08	65.72	56.68	41.81	60.39	16.51	14.14	121.79	112.77	38.95	42.71	57.49	28.86	18.03	31.0	97.36	50.63	72.52	31.0	67.59	37.85	137.14	23.59	39.22	89.51	111.99	57.49	49.91	12.55	42.41	49.91	108.9	65.26	134.3	120.1	106.63	120.1	186.4	115.16	142.01	139.07	102.25	68.55	164.42	103.69	95.34	120.94	142.01	93.35	144.01	108.14
RASA3	185.11	78.89	42.11	123.5	93.35	115.97	166.73	71.0	61.68	76.17	190.34	154.42	152.28	164.42	111.21	202.66	115.97	68.55	205.5	193.01	129.69	43.63	146.03	63.0	70.51	71.5	63.0	127.0	81.71	79.45	159.9	125.24	85.82	117.6	112.77	128.79	77.25	194.36	141.02	40.64	92.05	130.6	156.59	104.42	122.64	50.27	110.43	102.25	34.75	74.58	122.64	91.41	78.89	100.83	95.34	28.65	143.01	202.66	55.1	96.68	59.97	86.43	56.68	52.08	161.02	119.26	140.04	57.49	170.25	74.58	166.73	26.47	91.41	103.69	194.36	58.71	122.64	115.16	68.07	83.45	130.6	80.01	271.48	129.69	193.01	155.5	176.29	130.6	157.68	223.41	142.01	176.29	181.28	154.42	197.09	189.02	145.02	92.05	206.94	251.48
RBPJ	934.76	454.09	728.11	575.03	490.14	1073.91	866.07	483.38	466.88	616.37	559.28	679.29	753.83	802.41	743.43	733.19	759.08	607.87	748.61	1127.35	620.67	486.75	764.36	764.36	595.34	759.08	665.29	825.0	511.0	638.15	674.59	1159.07	332.14	698.41	669.92	723.08	738.29	1030.12	1073.91	381.68	379.04	476.71	547.75	629.35	902.89	728.11	660.68	872.1	463.65	447.82	808.0	476.71	543.96	813.63	500.46	490.14	1066.48	769.69	493.56	860.08	679.29	559.28	529.06	748.61	785.88	866.07	743.43	507.46	1081.39	341.51	1059.11	244.57	651.58	769.69	759.08	2351.53	825.0	599.49	493.56	551.56	1001.93	769.69	1378.57	1159.07	1457.23	753.83	1059.11	1870.53	713.11	830.75	1167.14	813.63	1378.57	1199.98	813.63	1001.93	854.13	866.07	941.27	1096.5
