	GTEX.13CF3.2126.SM.5IFJP	TCGA.CZ.5466.11A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
SH2B1	229.72	348.71	177.53	199.85	162.14	220.32	0.0	2417.67	2451.44	1350.18	2645.74	1529.73	1322.37	1477.58	1340.84	1397.83	1651.0	974.5	1030.12	2400.97	1583.71	1832.01	1225.22	1397.83	1313.23	1745.2	1467.37	947.83	1313.23	1199.98	1015.93	2367.9	2739.08	2335.28	1909.85	1923.14	1883.54	1529.73	1857.6	1378.57	1870.53	1159.07	2133.97	2133.97	1674.06	1950.0	2104.58	1242.34	1844.76	1268.46	1369.04	2417.67	1662.49	1037.29	1350.18	947.83	1175.27	1051.79	1225.22	2047.0	2303.12	1359.57	1407.55	1044.52	1519.15	1870.53	1709.26	2351.53	2104.58	1135.2	2400.97	1073.91
SLC2A4RG	1268.46	1331.57	1639.59	1561.89	1427.22	1662.49	0.0	2664.15	2384.37	2163.77	2434.5	1397.83	967.76	1175.27	1277.29	1551.09	2502.97	543.96	1340.84	2209.26	1819.35	1745.2	1051.79	928.3	1096.5	1909.85	2061.24	941.27	1369.04	1350.18	848.22	2875.3	3419.52	2502.97	2178.83	1781.89	2209.26	1594.73	2133.97	1088.92	2451.44	1159.07	2367.9	2104.58	1757.34	2451.44	2193.99	878.17	1733.13	1417.35	1175.27	2434.5	1487.87	896.64	1733.13	896.64	848.22	1051.79	981.29	2384.37	2777.33	1551.09	2119.22	967.76	967.76	2351.53	1909.85	2855.44	1963.57	941.27	2090.03	928.3
SLC38A10	854.13	1119.56	1304.15	1769.57	1540.37	1407.55	954.43	2627.46	2720.15	2075.59	2682.69	2004.85	1639.59	1857.6	1819.35	2224.63	3124.78	1407.55	1605.83	2627.46	2240.11	2287.2	2701.35	1909.85	2271.4	2609.3	1883.54	1950.0	1819.35	2193.99	1697.45	2816.11	2367.9	2555.58	2875.3	1923.14	2351.53	2004.85	2520.38	1923.14	2178.83	1870.53	3146.52	2384.37	2303.12	2434.5	3124.78	1572.76	2047.0	2178.83	2384.37	2351.53	2104.58	1662.49	2178.83	1594.73	2148.82	2209.26	1709.26	2777.33	2485.67	2224.63	2224.63	1457.23	1844.76	2645.74	2384.37	2090.03	2133.97	2032.85	2609.3	1844.76
SNRPA	825.0	521.76	540.19	559.28	251.48	463.65	0.0	2875.3	1508.65	1135.2	1781.89	1096.5	1030.12	1143.1	1030.12	1277.29	1757.34	884.29	1225.22	1733.13	1250.98	1407.55	1427.22	1199.98	1277.29	1331.57	1340.84	961.07	1081.39	1242.34	860.08	1617.0	1561.89	1819.35	1806.78	1508.65	1388.16	1529.73	1437.15	1359.57	1051.79	1081.39	1757.34	2520.38	1331.57	1551.09	1508.65	1073.91	1519.15	1268.46	1498.22	1685.71	1594.73	1304.15	1277.29	1023.0	1175.27	1457.23	1175.27	1697.45	1709.26	1216.75	1340.84	1135.2	1015.93	1388.16	1721.16	1806.78	1923.14	1427.22	1617.0	1167.14
SPAG8	3.86	27.64	5.41	4.62	1.55	3.99	0.0	409.15	285.03	161.02	392.44	152.28	93.35	120.94	63.89	177.53	271.48	106.63	87.03	343.89	105.15	187.71	69.52	156.59	70.01	204.07	125.24	82.29	119.26	136.19	47.84	248.0	327.56	295.11	202.66	220.32	275.28	152.28	189.02	127.0	229.72	96.01	246.28	309.83	75.11	269.6	214.27	156.59	262.2	82.87	59.13	329.84	158.79	94.01	224.97	50.98	122.64	53.19	102.25	351.14	447.82	106.63	163.28	129.69	88.26	253.23	151.22	325.29	289.02	115.16	242.88	72.52
ST5	189.02	521.76	255.0	158.79	320.8	223.41	0.0	1709.26	1572.76	1437.15	1583.71	1030.12	1191.69	1175.27	1001.93	995.0	1487.87	934.76	947.83	1437.15	1242.34	1508.65	1135.2	848.22	1216.75	1407.55	1407.55	775.05	1001.93	1135.2	941.27	1519.15	1896.65	1457.23	1594.73	1023.0	1242.34	1183.45	1561.89	967.76	1551.09	866.07	1572.76	1322.37	1286.18	1561.89	1437.15	1143.1	1594.73	928.3	1259.69	1769.57	1183.45	836.53	1674.06	1001.93	1015.93	884.29	902.89	2075.59	1857.6	1331.57	1151.06	878.17	909.17	1277.29	1295.13	1286.18	1216.75	830.75	1639.59	1191.69
STARD3	599.49	684.02	450.94	642.59	460.44	476.71	0.0	1216.75	1191.69	836.53	1572.76	995.0	1073.91	954.43	842.36	915.51	1073.91	791.35	1015.93	1225.22	1183.45	1167.14	909.17	1191.69	836.53	1044.52	934.76	947.83	878.17	1081.39	842.36	1378.57	1313.23	1477.58	1427.22	1216.75	1066.48	1088.92	1242.34	1030.12	1191.69	830.75	1191.69	1081.39	848.22	1388.16	1183.45	1008.9	1135.2	808.0	842.36	1407.55	981.29	791.35	1191.69	1008.9	830.75	860.08	1008.9	1350.18	1331.57	1073.91	860.08	928.3	961.07	1191.69	1208.34	1208.34	1583.71	981.29	1073.91	796.86
SUGP1	265.87	341.51	293.07	260.38	277.2	320.8	0.0	1331.57	974.5	703.28	915.51	723.08	532.74	713.11	733.19	432.53	728.11	500.46	547.75	802.41	796.86	748.61	674.59	743.43	603.67	665.29	748.61	476.71	708.18	842.36	665.29	941.27	1096.5	941.27	934.76	669.92	674.59	796.86	802.41	674.59	723.08	698.41	808.0	813.63	698.41	915.51	802.41	607.87	728.11	708.18	748.61	995.0	723.08	669.92	769.69	460.44	629.35	703.28	764.36	780.44	988.12	759.08	872.1	595.34	669.92	791.35	595.34	1023.0	825.0	638.15	753.83	555.41
SUPT5H	915.51	1369.04	1088.92	995.0	791.35	1104.13	1870.53	3564.78	2875.3	2032.85	3372.43	2224.63	2485.67	2573.36	2004.85	1769.57	2645.74	1388.16	2400.97	2855.44	2796.65	2591.27	2351.53	2400.97	2520.38	2367.9	2645.74	2701.35	2485.67	2417.67	2573.36	3103.19	4181.07	3235.01	4152.18	2835.7	2875.3	2935.74	2935.74	2537.92	2645.74	1977.24	3235.01	2816.11	2682.69	2835.7	2520.38	2520.38	2367.9	2351.53	2796.65	3372.43	2645.74	2271.4	3018.3	2119.22	2384.37	2061.24	2816.11	3419.52	3665.02	2287.2	2303.12	2682.69	2255.7	3212.66	2855.44	3060.45	3349.13	2287.2	3690.52	2119.22
TG	4.98	75.11	59.55	38.4	5.59	16.75	0.0	627822.72	1282030.25	2068278.89	828417.36	1452391.55	2247670.86	2126426.15	1327240.99	2375828.71	1611529.43	1204496.53	1611529.43	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1273174.62	1997825.68	1290947.48	1984025.69	894051.48	1355129.16	839981.65	2986448.72	1567462.05	2025714.3	2425749.94	1402917.72	1318073.06	1929772.37	1299926.74	1327240.99	1943195.01	1048575.0	1622738.51	1727194.55	1589343.01	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	558035.51	789181.81	1645391.11	1622738.51	1131651.83	2263304.65	1535204.12	2672946.37	1864037.21	711250.37	1402917.72	1482909.4	1026995.62
TMEM240	6.06	14.89	2.89	4.5	3.38	2.61	0.0	303.44	113.56	102.97	112.77	78.34	36.01	43.94	71.5	120.1	70.51	37.59	35.5	72.52	51.71	75.64	72.52	76.17	37.05	74.58	31.22	36.01	69.03	51.71	50.27	117.6	57.89	94.01	115.16	55.1	113.56	58.3	71.0	42.41	108.9	54.72	78.34	74.58	48.52	80.01	62.12	37.32	51.35	51.71	22.1	82.87	85.22	64.8	59.13	29.91	32.13	43.02	45.85	124.37	69.52	60.39	44.89	21.16	32.13	69.52	63.0	80.01	74.58	63.0	109.66	6.06
TMEM42	169.07	555.41	244.57	163.28	149.12	138.1	0.0	1427.22	1066.48	842.36	981.29	819.3	579.04	587.13	463.65	819.3	684.02	753.83	493.56	1030.12	679.29	796.86	693.58	624.99	579.04	791.35	802.41	480.04	698.41	718.08	511.0	1044.52	1073.91	947.83	1175.27	896.64	878.17	854.13	854.13	579.04	878.17	503.95	780.44	995.0	660.68	796.86	791.35	503.95	890.44	836.53	723.08	866.07	791.35	591.22	764.36	536.45	718.08	567.1	684.02	866.07	1104.13	791.35	825.0	490.14	559.28	848.22	791.35	921.88	1175.27	629.35	890.44	567.1
TNK2	199.85	121.79	66.65	177.53	223.41	167.9	0.0	1369.04	995.0	587.13	1216.75	454.09	253.23	379.04	379.04	473.41	599.49	205.5	251.48	890.44	466.88	543.96	341.51	444.72	291.04	660.68	587.13	289.02	521.76	318.57	271.48	981.29	1008.9	1151.06	884.29	656.11	954.43	599.49	591.22	379.04	830.75	289.02	890.44	738.29	392.44	738.29	848.22	244.57	603.67	346.29	435.55	974.5	490.14	348.71	373.81	264.03	353.59	249.73	253.23	884.29	1030.12	358.54	669.92	246.28	297.17	587.13	713.11	759.08	743.43	361.04	743.43	273.37
TOP1MT	307.69	244.57	224.97	289.02	314.17	473.41	941.27	1111.82	1175.27	785.88	866.07	607.87	457.25	555.41	507.46	808.0	890.44	599.49	368.65	866.07	500.46	551.56	476.71	595.34	500.46	764.36	728.11	373.81	620.67	575.03	460.44	1066.48	1059.11	961.07	872.1	981.29	967.76	878.17	629.35	348.71	934.76	483.38	830.75	872.1	656.11	902.89	775.05	579.04	830.75	497.0	693.58	884.29	612.11	532.74	981.29	429.54	470.14	507.46	514.56	759.08	934.76	563.18	587.13	529.06	587.13	764.36	551.56	1143.1	1447.15	429.54	934.76	476.71
TRIM73	10.24	5.68	3.38	5.5	3.32	8.65	0.0	145.02	140.04	75.11	231.32	58.71	53.57	36.53	33.54	70.01	67.59	22.92	44.89	87.65	41.22	30.34	15.56	44.57	23.25	61.25	77.79	29.06	40.64	65.72	24.81	90.77	151.22	102.25	59.55	218.79	115.16	31.67	87.03	41.22	185.11	39.22	84.04	204.07	34.02	133.36	70.01	43.32	73.54	30.56	20.71	82.87	48.18	31.67	105.89	25.72	62.12	40.93	32.13	158.79	131.51	95.34	44.89	51.71	72.52	77.25	68.55	87.65	89.51	10.24	57.49	18.16
TRMT61A	228.13	122.64	81.71	108.9	132.44	149.12	0.0	470.14	511.0	301.33	387.02	332.14	316.37	273.37	299.25	358.54	536.45	181.28	260.38	511.0	258.57	358.54	312.0	379.04	281.09	384.34	312.0	260.38	258.57	301.33	348.71	521.76	426.57	409.15	473.41	426.57	403.5	406.31	457.25	323.03	466.88	271.48	497.0	480.04	309.83	536.45	543.96	277.2	275.28	312.0	327.56	387.02	303.44	336.79	361.04	237.86	299.25	307.69	265.87	463.65	426.57	299.25	269.6	305.55	273.37	457.25	371.22	363.56	423.61	305.55	507.46	323.03
TTLL3	120.1	78.34	45.85	21.78	28.65	44.89	0.0	1498.22	1167.14	603.67	1662.49	583.07	500.46	819.3	500.46	708.18	1066.48	470.14	612.11	1250.98	688.78	728.11	490.14	669.92	457.25	941.27	679.29	497.0	708.18	579.04	232.94	1268.46	1437.15	1216.75	1268.46	1594.73	1127.35	647.07	1111.82	642.59	961.07	358.54	1066.48	1277.29	674.59	1477.58	1015.93	603.67	981.29	500.46	432.53	1709.26	684.02	620.67	915.51	480.04	684.02	332.14	525.39	1883.54	1909.85	450.94	647.07	339.14	511.0	1023.0	1081.39	1030.12	1651.0	426.57	1233.75	293.07
TUBG2	193.01	341.51	93.35	55.1	81.71	76.17	0.0	1340.84	1111.82	591.22	1008.9	599.49	497.0	497.0	454.09	543.96	934.76	423.61	348.71	1051.79	571.05	536.45	348.71	723.08	460.44	825.0	595.34	348.71	529.06	397.93	249.73	860.08	909.17	902.89	688.78	854.13	796.86	587.13	738.29	438.59	884.29	423.61	679.29	1008.9	444.72	884.29	733.19	559.28	748.61	420.68	500.46	802.41	607.87	454.09	616.37	258.57	476.71	346.29	438.59	947.83	1051.79	529.06	460.44	423.61	371.22	693.58	638.15	981.29	819.3	450.94	947.83	339.14
VPS16	511.0	400.71	260.38	301.33	435.55	356.05	0.0	1159.07	967.76	669.92	1304.15	890.44	679.29	854.13	753.83	642.59	981.29	532.74	567.1	1175.27	878.17	915.51	629.35	836.53	733.19	866.07	830.75	620.67	656.11	848.22	660.68	1001.93	1208.34	1175.27	961.07	934.76	981.29	961.07	1015.93	819.3	872.1	665.29	1277.29	884.29	941.27	1225.22	909.17	723.08	915.51	708.18	915.51	1066.48	860.08	651.58	872.1	651.58	769.69	830.75	536.45	1242.34	1331.57	791.35	1088.92	500.46	708.18	961.07	813.63	1331.57	1313.23	796.86	995.0	620.67
WBP1	785.88	1685.71	902.89	896.64	988.12	748.61	0.0	6164.49	6471.02	4419.52	6792.79	3768.09	2956.17	2468.49	2915.45	4419.52	4481.23	3639.7	2956.17	5594.3	3665.02	3589.58	2895.31	2400.97	2591.27	4769.75	3742.05	2367.9	3124.78	3820.7	2090.03	6745.86	6381.92	5292.48	4152.18	6699.25	5255.91	4298.64	5555.65	3303.0	5329.3	2935.74	4358.66	5995.9	2997.45	5441.3	5751.61	3146.52	5255.91	3794.3	2591.27	5517.27	4095.0	2645.74	4512.4	2384.37	3280.18	3212.66	2777.33	5183.54	5219.6	3639.7	3589.58	2816.11	3060.45	4543.8	4769.75	5672.41	5076.84	2855.44	6164.49	2351.53
ZBTB48	199.85	215.77	285.03	264.03	295.11	400.71	0.0	1135.2	981.29	607.87	1001.93	796.86	679.29	547.75	547.75	571.05	642.59	547.75	507.46	854.13	633.73	830.75	753.83	759.08	543.96	674.59	769.69	490.14	656.11	575.03	511.0	934.76	961.07	825.0	921.88	753.83	591.22	819.3	703.28	708.18	743.43	559.28	769.69	764.36	860.08	802.41	791.35	616.37	575.03	896.64	656.11	836.53	693.58	493.56	775.05	612.11	616.37	836.53	669.92	743.43	1216.75	651.58	748.61	518.15	629.35	759.08	503.95	1015.93	1111.82	642.59	674.59	412.0
ZCWPW1	61.68	92.7	95.34	75.64	81.14	82.29	0.0	371.22	483.38	229.72	490.14	204.07	147.06	150.17	205.5	320.8	208.38	170.25	205.5	435.55	114.36	295.11	190.34	260.38	180.02	301.33	273.37	164.42	248.0	182.55	130.6	329.84	376.41	412.0	316.37	285.03	260.38	256.78	336.79	271.48	215.77	136.19	285.03	327.56	193.01	366.09	314.17	197.09	314.17	241.19	208.38	379.04	228.13	217.27	287.01	246.28	237.86	166.73	191.67	334.46	466.88	198.47	215.77	185.11	182.55	241.19	147.06	387.02	332.14	198.47	346.29	167.9
ZFHX2	30.56	42.41	5.68	6.78	0.74	0.0	0.0	105.15	59.97	46.5	51.35	19.82	20.56	18.29	15.56	43.02	20.26	33.54	26.67	53.19	15.0	40.36	36.01	24.99	25.54	47.5	43.94	19.11	38.12	18.43	16.39	65.26	78.34	30.12	63.89	50.27	61.25	49.91	52.82	24.46	53.95	28.86	55.49	44.89	36.79	49.21	66.65	33.54	31.67	56.68	28.65	35.5	34.26	14.78	77.25	17.25	22.1	27.25	14.03	74.58	73.03	19.53	38.4	12.55	28.45	66.18	32.82	43.02	37.32	27.44	64.8	30.34
ZFYVE19	309.83	518.15	329.84	432.53	251.48	256.78	0.0	728.11	647.07	543.96	775.05	363.56	260.38	389.72	460.44	429.54	536.45	490.14	256.78	551.56	441.64	575.03	466.88	521.76	376.41	454.09	493.56	249.73	323.03	327.56	234.57	738.29	769.69	753.83	728.11	457.25	624.99	587.13	629.35	260.38	748.61	361.04	665.29	414.87	507.46	660.68	518.15	373.81	854.13	432.53	529.06	624.99	409.15	307.69	373.81	316.37	361.04	397.93	406.31	660.68	753.83	571.05	423.61	171.45	327.56	624.99	540.19	620.67	563.18	438.59	559.28	318.57
ZNF341	47.5	23.93	15.8	18.7	7.94	12.09	0.0	139.07	83.45	42.41	98.73	51.35	45.85	48.87	51.35	63.89	64.8	62.56	34.75	74.06	48.52	77.25	77.79	77.25	57.89	63.0	73.03	37.59	46.5	48.87	46.5	67.59	88.88	84.63	82.29	43.94	69.52	76.71	68.55	41.52	85.22	43.02	93.35	50.27	68.55	75.11	61.25	49.21	67.59	58.3	67.12	66.65	47.5	42.41	61.68	54.33	60.82	53.57	42.71	88.26	88.88	60.82	46.84	45.85	50.63	76.71	55.89	73.03	75.11	62.56	82.29	40.36
ZNF444	115.16	323.03	381.68	642.59	368.65	575.03	0.0	1977.24	1233.75	674.59	1023.0	693.58	591.22	656.11	616.37	796.86	638.15	438.59	559.28	796.86	660.68	1268.46	575.03	842.36	536.45	718.08	830.75	559.28	866.07	642.59	591.22	1175.27	1030.12	1015.93	1208.34	928.3	860.08	708.18	612.11	830.75	842.36	728.11	872.1	1350.18	525.39	665.29	802.41	718.08	571.05	708.18	532.74	872.1	1015.93	703.28	813.63	397.93	525.39	915.51	660.68	928.3	961.07	981.29	909.17	583.07	567.1	813.63	718.08	1073.91	1111.82	698.41	961.07	480.04
ZNF487	100.13	122.64	31.22	75.64	30.34	46.18	0.0	295.11	409.15	376.41	426.57	237.86	158.79	180.02	176.29	500.46	299.25	262.2	180.02	356.05	204.07	202.66	191.67	197.09	178.77	336.79	246.28	163.28	194.36	164.42	136.19	295.11	368.65	307.69	289.02	356.05	301.33	217.27	400.71	205.5	327.56	208.38	381.68	423.61	231.32	242.88	420.68	208.38	507.46	228.13	143.01	301.33	226.54	232.94	339.14	135.24	244.57	226.54	176.29	379.04	376.41	228.13	244.57	163.28	145.02	289.02	406.31	414.87	384.34	226.54	346.29	140.04
ZNF599	30.34	148.09	44.25	25.17	10.55	20.86	0.0	466.88	529.06	358.54	432.53	346.29	279.14	312.0	241.19	414.87	323.03	305.55	205.5	583.07	314.17	376.41	287.01	293.07	201.25	463.65	343.89	209.84	291.04	395.18	217.27	387.02	341.51	395.18	327.56	395.18	400.71	368.65	329.84	293.07	371.22	334.46	356.05	551.56	262.2	297.17	444.72	305.55	318.57	483.38	307.69	438.59	312.0	271.48	285.03	199.85	242.88	395.18	309.83	397.93	457.25	348.71	295.11	253.23	281.09	341.51	441.64	379.04	503.95	267.73	525.39	204.07
ZNF775	44.25	123.5	37.32	39.22	36.27	48.52	0.0	1037.29	974.5	518.15	921.88	384.34	316.37	368.65	291.04	395.18	665.29	256.78	215.77	660.68	420.68	638.15	400.71	412.0	279.14	1001.93	486.75	195.72	417.77	346.29	198.47	733.19	669.92	743.43	802.41	688.78	684.02	603.67	521.76	299.25	616.37	356.05	733.19	620.67	447.82	872.1	813.63	262.2	909.17	251.48	329.84	934.76	392.44	267.73	493.56	244.57	389.72	285.03	303.44	679.29	1037.29	480.04	392.44	283.05	234.57	497.0	591.22	620.67	703.28	329.84	684.02	234.57
